ind,activity_label,ctx,answer,final_prompt,len_tk_qwen2.5_7b_instruct
22980.0,Welding,A man is seen holding a blow torch and begins using it while pulling his mask down. the man,C,"Context:
""A man is seen holding a blow torch and begins using it while pulling his mask down. the man""

Which of the following endings best completes the context?

Choices:
A. continues to blow the camera in various ways and give close ups to the camera when he is done.
B. continues to put on his mask while blowing up his mask.
C. continuously sparks with the machine on a piece of metal.
D. turns off the torch and uses it again with his face up and moves down his body.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
42530.0,Disc dog,The dog runs side to side and chases it. He grabs two other frisbees and tosses them around while the dog jumps. he,C,"Context:
""The dog runs side to side and chases it. He grabs two other frisbees and tosses them around while the dog jumps. he""

Which of the following endings best completes the context?

Choices:
A. runs around the track and jumps again several times.
B. sends the frisbees flying as he and the dogs chase it.
C. throws the frisbee some more while the dog runs.
D. brings a camera around and shows off his tricks afterwards.

Reply with exactly one uppercase letter out of A, B, C, or D.
",118
32200.0,Snow tubing,"An individual wearing face covering drags an inner tube type device along the snow, surrounded by other people doing the same thing. the individual",A,"Context:
""An individual wearing face covering drags an inner tube type device along the snow, surrounded by other people doing the same thing. the individual""

Which of the following endings best completes the context?

Choices:
A. walks towards another individual wearing a red jacket.
B. demonstrates what he's doing by filling a tube with water.
C. puts on their goggles and slides the piece of metal along the snow.
D. begins vacuuming the front of the inner tube on which others are walking.

Reply with exactly one uppercase letter out of A, B, C, or D.
",118
20993.0,Hand car wash,A man wearing beige shorts begins cleaning the black race car with a cloth and a spray. He wipes the car down to make it shiny and clean. both the cars,D,"Context:
""A man wearing beige shorts begins cleaning the black race car with a cloth and a spray. He wipes the car down to make it shiny and clean. both the cars""

Which of the following endings best completes the context?

Choices:
A. take off as the man continues cleaning.
B. are clean, he removes the excess dirt off the car.
C. ride neat and stay driven well.
D. are parked in the parking lot, looking clean and sparkly after a car wash.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
9948.0,Ping-pong,A young man ring a flat bell on front a ping pong table. The young man and person move around the ping pong racket. then,B,"Context:
""A young man ring a flat bell on front a ping pong table. The young man and person move around the ping pong racket. then""

Which of the following endings best completes the context?

Choices:
A. , the man and person continue talking after the person's exit.
B. , the young man serves the ball and both start to play.
C. , the young boy fix the triangle and play it.
D. , the young man put two new rings on the bell.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
23273.0,Mowing the lawn,A young boy is wearing a bandana and mowing a large yard. he,B,"Context:
""A young boy is wearing a bandana and mowing a large yard. he""

Which of the following endings best completes the context?

Choices:
A. is unrelieved by the weeds and is barely smiling.
B. walks away from the camera as he pushes the mower.
C. moves and walks the mower but gets stuck because he is engaged in a game of ping pong with another boy.
D. seems to be doing a whole lot of things and talks to the camera from behind a white fence.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
15486.0,Polishing shoes,A close up of a person's leg is shown with a man kneeling in front. The person then begins shining the shoes of another. he,C,"Context:
""A close up of a person's leg is shown with a man kneeling in front. The person then begins shining the shoes of another. he""

Which of the following endings best completes the context?

Choices:
A. hits a shoe repeatedly using a knife on the shoe.
B. stands up holding his hand high up.
C. continues to rub down the shoes while looking all around.
D. shines the shoes of the last person and the other then shines the shoes they both wore.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
41415.0,Blowing leaves,We see a tractor and a title screen. We see a tractor blowing leaves. We see the tractor up close. We see the closing title screen. we,A,"Context:
""We see a tractor and a title screen. We see a tractor blowing leaves. We see the tractor up close. We see the closing title screen. we""

Which of the following endings best completes the context?

Choices:
A. then see flowers on trees.
B. see a person with a camera.
C. see a lady ironing clothes and then a lady stepping on a dressing table.
D. see the team crowded getting ready to perform on a trophy as the scoreboard shows a photo of the award.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
34845.0,Surfing,Several pictures are shown of a beach and landscapes as well as people walking on the beach. several clips,D,"Context:
""Several pictures are shown of a beach and landscapes as well as people walking on the beach. several clips""

Which of the following endings best completes the context?

Choices:
A. are shown of people in the water posing for pictures and partying with trophies.
B. are shown of people playing water polo and speaking to the camera while surfing in a large wave.
C. are then shown of people playing sand angels while others walk near.
D. are then shown of people riding along the water and surfing the waves.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
7937.0,Using the pommel horse,A man is getting ready for a gym routine by chalking his hands. The man mounts the horse apparatus. The man does a routine on the horse. the man,C,"Context:
""A man is getting ready for a gym routine by chalking his hands. The man mounts the horse apparatus. The man does a routine on the horse. the man""

Which of the following endings best completes the context?

Choices:
A. jumps down and crosses himself.
B. dismounts and lifts his ruffled shirt up over his head revealing a body covered in tattoos.
C. dismounts and lands on the mat.
D. does a chair hop off the horse.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
36245.0,Beer pong,A group of people compete in an indoor beer pong tournament. a man in a red and black shirts,A,"Context:
""A group of people compete in an indoor beer pong tournament. a man in a red and black shirts""

Which of the following endings best completes the context?

Choices:
A. talks to the camera in a close up shot before the scene cuts away to a room filled with people playing or watching people plat beer pong.
B. walks out onto the green grass.
C. then begins to hit the ball lightly with his racket.
D. goes up to the display and places the balls in the circle.

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
38310.0,Playing drums,We see an opening title screen. We see a group of men playing drum outside as kids watch. we,B,"Context:
""We see an opening title screen. We see a group of men playing drum outside as kids watch. we""

Which of the following endings best completes the context?

Choices:
A. see the men talk together and walk around.
B. pan left and see a small boy clapping to the music.
C. see a group of boys on a street playing drums.
D. see another title screen screen and the group of men are inside of a room on instruments with their foot up.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
3229.0,Shaving,A black man caresses his beard and face in a loving way. the black man,D,"Context:
""A black man caresses his beard and face in a loving way. the black man""

Which of the following endings best completes the context?

Choices:
A. puts out an oil man's beard, but the non around mans finger touches his bottom lip.
B. begins to shave the beard with a razor attachment that creates shaving falls.
C. reaches a shipboard from the water to touches one of the crew members walk away form the ship.
D. uses a clipper trimmer to trim his beard and face.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
18760.0,Hitting a pinata,A young firl wearing a blue bubble jacket has a stick in her hand and a tie covering her eyes. a young boy,C,"Context:
""A young firl wearing a blue bubble jacket has a stick in her hand and a tie covering her eyes. a young boy""

Which of the following endings best completes the context?

Choices:
A. wearing red jump out of a red truck and serves the ball on the net to another young boy holding a stick.
B. is demonstrating how to squeegee clean the windows of a car with a sponge.
C. then spins her around and lets her go.
D. begins opening chains around her neck.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
37568.0,Tennis serve with ball bouncing,Two people are seen holding tennis rackets and hitting a ball. The people hit the ball back and fourth to one another. a close up,C,"Context:
""Two people are seen holding tennis rackets and hitting a ball. The people hit the ball back and fourth to one another. a close up""

Which of the following endings best completes the context?

Choices:
A. is seen of a man hitting a ball with a bat.
B. of the ball is seen and it continues with a shot put.
C. is shown of the girl hitting a ball.
D. is then shown of a skull hit the ball and a tiny hole is seen at the bottom.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
30920.0,Futsal,Two men are seen passing a ball to one another and leads into a group of people playing soccer. The people move up and down the court while the camera follows their movements. many people,A,"Context:
""Two men are seen passing a ball to one another and leads into a group of people playing soccer. The people move up and down the court while the camera follows their movements. many people""

Which of the following endings best completes the context?

Choices:
A. watch on the sides as the group continues to play.
B. take sides as some win and others walk away.
C. watch their being played and various advertisements are seen for the game.
D. begin speaking to one another as they continue to play.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
42039.0,Hurling,We see a man interviewed and a team huddle and see men play. A man in interviewed and we see the men play lacrosse. a man in red,B,"Context:
""We see a man interviewed and a team huddle and see men play. A man in interviewed and we see the men play lacrosse. a man in red""

Which of the following endings best completes the context?

Choices:
A. talks into a microphone then wags his arms.
B. is interviewed and the teams shake hands, hold up their trophy and pose for photos.
C. throw the ball and the teams run around.
D. talks to the camera and we see three men speak to the camera.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
36114.0,Running a marathon,He takes a run along the beach in early evening and passes a seal. He runs across a long bridge towards a city. he,A,"Context:
""He takes a run along the beach in early evening and passes a seal. He runs across a long bridge towards a city. he""

Which of the following endings best completes the context?

Choices:
A. runs through a long two lane tunnel.
B. gets back to the museum during office hours to change his tape recorder.
C. jumps off of many bridges onto the ocean surface.
D. goes down a long slope onto a bridge and is performing normal jumps down a ramp.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
29272.0,High jump,The guy in gray runs in circles. The guy in black runs in circles. The man in white runs again. we,B,"Context:
""The guy in gray runs in circles. The guy in black runs in circles. The man in white runs again. we""

Which of the following endings best completes the context?

Choices:
A. see a person with a helmet that is standing in a line.
B. end with the man in gray running again.
C. see the gopro title screen and the logo.
D. see the man in gray lying on the floor as he thumbs through a duffel bag.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
45027.0,Discus throw,"He lets go of the disc and watches it fly. A line of discs is shown before a group of people on the field, choosing their own disc. people",D,"Context:
""He lets go of the disc and watches it fly. A line of discs is shown before a group of people on the field, choosing their own disc. people""

Which of the following endings best completes the context?

Choices:
A. fall down onto the ground with the discs.
B. take their discs, get in position, and begin to hit the ball.
C. are running around the field in a marathon, chasing a disc.
D. are shown, one at a time, throwing the discs.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
29199.0,Having an ice cream,The camera follows a woman as she joins a queue. The woman the camera is following acquires ice cream from a truck. several individuals,B,"Context:
""The camera follows a woman as she joins a queue. The woman the camera is following acquires ice cream from a truck. several individuals""

Which of the following endings best completes the context?

Choices:
A. are shown at the store.
B. are shown eating ice cream and talking to the camera.
C. stand arms in an embrace as the woman's ice cream container is being taken apart.
D. receive ice cream and rub it in their faces as they sit in a truck.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
38944.0,Trimming branches or hedges,An older man is shown talking to the camera while placing his hands along a tree bush. the camera,D,"Context:
""An older man is shown talking to the camera while placing his hands along a tree bush. the camera""

Which of the following endings best completes the context?

Choices:
A. has the area in close up follows by a tree being chopped down.
B. then pans all around him and the man shows off his trimmed nails.
C. zooms in on a large tin can and the man uses it to clean a piece of wood.
D. pans around the bush and the man uses scissors to cut the brush up.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
31838.0,Tumbling,The bystander points to his head and the gymnast also does the same to his own head. The gymnast is talking to the camera again explaining what happened during that routine. a small video,C,"Context:
""The bystander points to his head and the gymnast also does the same to his own head. The gymnast is talking to the camera again explaining what happened during that routine. a small video""

Which of the following endings best completes the context?

Choices:
A. audience is watching the gymnast.
B. plays with a black over to red.
C. pops up in the lower right replaying the moment he falls.
D. then appears in itself and shows several different gymnasts doing the same whole routine.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
11944.0,Wrapping presents,The lady gift wraps the box for the man. The man takes a shot at the gift wrapping. The lady finishes wrapping the gift. the man,A,"Context:
""The lady gift wraps the box for the man. The man takes a shot at the gift wrapping. The lady finishes wrapping the gift. the man""

Which of the following endings best completes the context?

Choices:
A. folds an edge, and the lady tapes it.
B. hands the gift paper to the man, who fastens the wrapping paper.
C. and the lady walk towards the car smiling and hugging.
D. uses a light stick to remove the tissue paper.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
41666.0,Shoveling snow,A person is stuck in the snow is buried by others. A lady talks to the camera and it goes black and white. People are mainge snow angels. we,B,"Context:
""A person is stuck in the snow is buried by others. A lady talks to the camera and it goes black and white. People are mainge snow angels. we""

Which of the following endings best completes the context?

Choices:
A. hear horn blowing and people get out of the rafts to go ice skiing.
B. see the closing credits of the video.
C. see the lm, a man mopping snow and then walking to his car.
D. see people falling into colorful beautiful rapids.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
16446.0,Surfing,A person is seen throwing objects off the side of a pier. The person jumps down and begins riding on a board behind a shark. the person,D,"Context:
""A person is seen throwing objects off the side of a pier. The person jumps down and begins riding on a board behind a shark. the person""

Which of the following endings best completes the context?

Choices:
A. rides all the way down the lane and around the corner.
B. gets up holding a wooden stick and demonstrates how to use it while laughing to the camera.
C. continues riding backwards through the town and into the ocean.
D. rides a wave and cheers with other people.

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
6204.0,Elliptical trainer,A digital screen is shown zoomed in. A man presses a button on an elliptical. the man,D,"Context:
""A digital screen is shown zoomed in. A man presses a button on an elliptical. the man""

Which of the following endings best completes the context?

Choices:
A. jumps up and down.
B. pushes off of the desk and runs along a track, jogging into a car park, where he grabs a change of clothes and a laptop computer.
C. starts at the top and moves to the top.
D. holds on to the handle bars & begins vigorously using the elliptical.

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
3632.0,Hurling,The players are showing all the steps in the tutorial where the one of the player shoots the ball bravely for a point. there,C,"Context:
""The players are showing all the steps in the tutorial where the one of the player shoots the ball bravely for a point. there""

Which of the following endings best completes the context?

Choices:
A. is a picture shown on the image of bnp stadium giving an illustration.
B. is color also shown on the white screen.
C. 's a player in a blue and white uniform shooting the ball for a point and scoring a goal.
D. are a lot of people watching from the open loop stadium.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
21602.0,Rock climbing,A man is standing at the foot of a large wall. He is stretching and staring at it looking like he might climb it. he,A,"Context:
""A man is standing at the foot of a large wall. He is stretching and staring at it looking like he might climb it. he""

Which of the following endings best completes the context?

Choices:
A. looks up and down before putting a foot on the base of the wall.
B. starts moving forward slowly and, when he reaches the corner, he jumps and begins to slide down the wall.
C. continues to walk and talk about it.
D. is finally seen falling on the ground.

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
2165.0,Tennis serve with ball bouncing,The man in brown shirt is standing next to a pile of tennis ball while he is talking to the camera. he,D,"Context:
""The man in brown shirt is standing next to a pile of tennis ball while he is talking to the camera. he""

Which of the following endings best completes the context?

Choices:
A. walked along a beach, talking with people, trying to court a ball.
B. started hitting the ball with his racket on his gloved hand.
C. pulled out two tennis rackets and toss one to the man and the other's dropped the racket in the air.
D. played tennis ball with another person.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
556.0,Roof shingle removal,A technician walks along a roof and sprays it using a wand attached to a hose. the man,D,"Context:
""A technician walks along a roof and sprays it using a wand attached to a hose. the man""

Which of the following endings best completes the context?

Choices:
A. then bags a carpet of some sort and sprays it on the roof.
B. then uses a vacuum and begin vacuuming the floor on the the roof.
C. removes hoses and shakes the roof and cleans the wooden wall.
D. turns off his hose then walks along the peak of the roof.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
29282.0,Kayaking,A pair of kayakers navigate on a river waterway in calm water near a waterfall. a group of kayakers,B,"Context:
""A pair of kayakers navigate on a river waterway in calm water near a waterfall. a group of kayakers""

Which of the following endings best completes the context?

Choices:
A. walk out of a bridge into the water.
B. sit in the kayaks on the shore before pushing off into the river.
C. passes over small waterfalls and dirt trail and then onto rapids and streams.
D. board with inflatable tubes in the semi dark floating down the river.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
22774.0,Elliptical trainer,A piece of exercise equipment is put together through technology and then shown in real time. a person's hand,D,"Context:
""A piece of exercise equipment is put together through technology and then shown in real time. a person's hand""

Which of the following endings best completes the context?

Choices:
A. is then shown pointing to the steps, and then guides them up the step or the tire.
B. the use the equipment for several seconds.
C. is holding a piece of exercise equipment and then his arm is shown with a different piece of exercise equipment.
D. turns a knob on the machine and begins running on the machine.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
35351.0,Brushing teeth,The injured woman gets up and looks in the mirror only find out that she has the face of the man from the beach. the same man,C,"Context:
""The injured woman gets up and looks in the mirror only find out that she has the face of the man from the beach. the same man""

Which of the following endings best completes the context?

Choices:
A. is been interviewed again looking at the injured woman.
B. begins shaving her face from top to bottom.
C. is now back on the beach, walking along the shore.
D. is now seated on a sand pit and the other man is in a pool.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
12184.0,Laying tile,The video shows a tutorial on how to install ceramic tiles using concrete. a person wearing an orange vest and black pants,B,"Context:
""The video shows a tutorial on how to install ceramic tiles using concrete. a person wearing an orange vest and black pants""

Which of the following endings best completes the context?

Choices:
A. lancing tiles on concrete tiles uses a scraper to work the tiles.
B. is working on tiling a room in a house.
C. is helping as they extend tiles to the end of a roof.
D. stands on top of tiles with a large properly placed tile for installs.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
19053.0,Walking the dog,A large dog is holding on to a blue leash that is on a smaller dog. he,D,"Context:
""A large dog is holding on to a blue leash that is on a smaller dog. he""

Which of the following endings best completes the context?

Choices:
A. puts the leash on the second dog using the camera.
B. is holding onto the leash while the dog walks on it's right hind legs.
C. then begins walking on the leash behind the dog, walking with his regular lead weight.
D. is basically walking her, while the owner walks a third dog.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
37129.0,Playing violin,A close up of a violin is seen with a person's hands moving all around. the man,C,"Context:
""A close up of a violin is seen with a person's hands moving all around. the man""

Which of the following endings best completes the context?

Choices:
A. closes a book and shows a tune next to the instrument.
B. uses a brush to rub sumo art all over the neck of the violin followed by pushing it back.
C. begins playing the violin while moving his hands up and down.
D. holds the violin up and continues playing while moving his hands all around.

Reply with exactly one uppercase letter out of A, B, C, or D.
",118
45041.0,Playing saxophone,News anchors introduce a clip sitting at a desk in a newsroom. President obama introduces and interviews a band playing on stage. president clinton,A,"Context:
""News anchors introduce a clip sitting at a desk in a newsroom. President obama introduces and interviews a band playing on stage. president clinton""

Which of the following endings best completes the context?

Choices:
A. plays the saxophone on stage with a band.
B. is interviewed after being interviewed for an iron worker.
C. cuts to the opening credits.
D. introduces a video as the band play _start_a song and dance on stage while people stare.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
21231.0,Making a cake,This video shows how to make a microwaved cake using ganache frosting. first the woman,A,"Context:
""This video shows how to make a microwaved cake using ganache frosting. first the woman""

Which of the following endings best completes the context?

Choices:
A. adds 1 cup of sugar to 1/4 cup of vegetable oil and she puts it in a mixing bowl.
B. puts sprouts and melted butter into a clear bowl.
C. adds candies and onions.
D. pours the frosting into a clear bowl and follows the process with a cube of sugar.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
11125.0,Doing fencing,There's a man in a blue shirt walking into a tall building where there's an indoor fencing arena. he,C,"Context:
""There's a man in a blue shirt walking into a tall building where there's an indoor fencing arena. he""

Which of the following endings best completes the context?

Choices:
A. starts fencing three people that get in his way.
B. runs up to the fencing frame and looks at the fencing material.
C. walks into the arena and talks with two fencers.
D. goes back and forth through the ropes, exhibiting a unique technique of fencing while interacting with an opponent.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
46934.0,Removing ice from car,A man wearing a blue sweater walks from a warehouse to the camera. The man explains how to use an remove ice from a car windshield. the man,B,"Context:
""A man wearing a blue sweater walks from a warehouse to the camera. The man explains how to use an remove ice from a car windshield. the man""

Which of the following endings best completes the context?

Choices:
A. wipes off the ice with a towel and replaces it using a scraper.
B. brushes snow from the windshield.
C. finishes by spraying the car with water and then removing the ice from the windows and steering the car.
D. points to two holes in the car.

Reply with exactly one uppercase letter out of A, B, C, or D.
",118
14916.0,Assembling bicycle,He starts off by turning the axle of the wheel with a pair of tongs to position the axle in the center. then he,D,"Context:
""He starts off by turning the axle of the wheel with a pair of tongs to position the axle in the center. then he""

Which of the following endings best completes the context?

Choices:
A. starts bending the wheel to adjust it with the mallet.
B. pumps some liquid into the tip of the wheel with the tongs to excite the wheel.
C. takes a brush and starts to work on the driver side tire.
D. fixes the center nut and uses a wrench to loosen it.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
14877.0,Playing bagpipes,There two men dressed scottish kilts and attire standing in the courtyard. One of the men is playing the bagpipes and the other is playing the drums. a woman tourist,B,"Context:
""There two men dressed scottish kilts and attire standing in the courtyard. One of the men is playing the bagpipes and the other is playing the drums. a woman tourist""

Which of the following endings best completes the context?

Choices:
A. pass behind the men in the courtyard, and she put her hands up as if in prayer.
B. walks past them as they continue to play.
C. is also bagging and carrying boxes of pastries.
D. walks by the pair and speaks to them.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
34824.0,Bullfighting,"Men appear in a field with bulls and the words ""bullfight laos"" appear on screen. The men gather around the field where two bulls are. the bulls",A,"Context:
""Men appear in a field with bulls and the words ""bullfight laos"" appear on screen. The men gather around the field where two bulls are. the bulls""

Which of the following endings best completes the context?

Choices:
A. are encouraged to fight with their horns while the people watch.
B. are fighting and throwing each other across the field.
C. attack each other and the people run to cover and create a fire.
D. crash down in the field.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
12819.0,Starting a campfire,The man sits down in a lawn chair and enjoys the day. The man screws a nozzle onto a propane tank and fuels the fire with it. the fire,B,"Context:
""The man sits down in a lawn chair and enjoys the day. The man screws a nozzle onto a propane tank and fuels the fire with it. the fire""

Which of the following endings best completes the context?

Choices:
A. grows higher and the man gestures to the workers.
B. is put out with a bucket of water and covered in earth.
C. dies down a bit and the fire is barely visible in the distance.
D. stops and the camera zooms out into the woods.

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
5549.0,Tai chi,An introduction comes onto the screen for a trailer about a martial arts movie. the trailer,B,"Context:
""An introduction comes onto the screen for a trailer about a martial arts movie. the trailer""

Which of the following endings best completes the context?

Choices:
A. is shown in several men in various positions as they better fight off attack and protection moves like boxing and kicking.
B. is then played showing several martial arts battles and other captions on the screen.
C. shows the credits of the movie.
D. is shown from several angles, as it includes martial artists, jugglers, and singers.

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
25914.0,Futsal,3 guys stand in a cirle on a indoor field. The 3 guys each take turns throwing a soccer ball to the guy on their right. each guy,D,"Context:
""3 guys stand in a cirle on a indoor field. The 3 guys each take turns throwing a soccer ball to the guy on their right. each guy""

Which of the following endings best completes the context?

Choices:
A. goes in different directions and these go out of bounds.
B. fetches it and throws it to him.
C. jumps on top of a yellow sail and grabs onto the rope.
D. takes turns catching the ball from their left.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
39948.0,Preparing salad,"An illustrated egg, the website ""startcooking com"" and ""vegetable salad"" are shown on screen. Ingredients for the recipe are shown. A person starts preparing the recipe by chopping vegetables. the finished salad",C,"Context:
""An illustrated egg, the website ""startcooking com"" and ""vegetable salad"" are shown on screen. Ingredients for the recipe are shown. A person starts preparing the recipe by chopping vegetables. the finished salad""

Which of the following endings best completes the context?

Choices:
A. is shown afterwards being blended and seasoned with sugar.
B. is put into a storage bin.
C. is shown from above.
D. is displayed on screen by the time the vegetables are actually born.

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
33046.0,Using the rowing machine,A man is seen sitting on a piece of exercise equipment and rowing himself back and fourth on a machine. the man,D,"Context:
""A man is seen sitting on a piece of exercise equipment and rowing himself back and fourth on a machine. the man""

Which of the following endings best completes the context?

Choices:
A. moves in several more jumps while maintaining his momentum.
B. picks up a red elliptical and prepares it for use.
C. continues rowing forward and backward and faster while flipping his body and staying upright.
D. continues moving himself back and fourth as the camera captures him from several angles.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
