question,subject,split,answer,final_prompt,len_tk_mistral_7b_base
When faced with an approach-avoidance conﬂict:,professional_psychology,validation-00000-of-00001,B,"When faced with an approach-avoidance conﬂict:

Choices:
A. the closer we get to the goal, the stronger our desire to approach it.
B. the closer we get to the goal, the stronger our desire to avoid it.
C. regardless of our proximity to the goal, the desire to approach the goal is equal to the desire to avoid it.
D. the strength of our desires to approach and to avoid the goal are unaffected by our proximity to it.

Reply with exactly one uppercase letter out of A, B, C, or D.
",132
"Cerium(III) sulfate, Ce2(SO4)2, is less soluble in hot water than it is in cold. Which of the following conclusions may be related to this?",high_school_chemistry,test-00000-of-00001,A,"Cerium(III) sulfate, Ce2(SO4)2, is less soluble in hot water than it is in cold. Which of the following conclusions may be related to this?

Choices:
A. The heat of solution of cerium(III) sulfate is exothermic.
B. The hydration energies of cerium ions and sulfate ions are very low.
C. The heat of solution for cerium(III) sulfate is endothermic.
D. The solution is not an ideal solution.

Reply with exactly one uppercase letter out of A, B, C, or D.
",146
"What do the amounts of rainfall in the Maya homeland, as reflected in variations in oxygen isotopes in a stalagmite in Yok Balum Cave in Belize, correspond to?",prehistory,test-00000-of-00001,B,"What do the amounts of rainfall in the Maya homeland, as reflected in variations in oxygen isotopes in a stalagmite in Yok Balum Cave in Belize, correspond to?

Choices:
A. increased rainfall and severe flooding that led to the collapse of Maya ceremonial centers
B. severe drought and a decline in construction at Maya ceremonial centers
C. increased rainfall and increased storage of surplus food from agriculture
D. increased warfare and the abandonment of the entire region

Reply with exactly one uppercase letter out of A, B, C, or D.
",139
"Why do political scientists identify the presidential elections of Franklin Roosevelt in 1932 and Richard Nixon in 1968 as well as the midterm election of 1994 as ""critical elections""?",high_school_government_and_politics,test-00000-of-00001,B,"Why do political scientists identify the presidential elections of Franklin Roosevelt in 1932 and Richard Nixon in 1968 as well as the midterm election of 1994 as ""critical elections""?

Choices:
A. The issues at stake in those elections were more important than in most elections.
B. Those elections saw major shifts in party alignment that would last for decades.
C. Minority voters played a key role in deciding the winners of those elections.
D. Those elections took place during wartime.

Reply with exactly one uppercase letter out of A, B, C, or D.
",138
"To study the effect of alcohol on reaction time, subjects were randomly selected and given three beers to consume. Their reaction time to a simple stimulus was measured before and after drinking the alcohol. Which of the following is a correct statement?",high_school_statistics,test-00000-of-00001,D,"To study the effect of alcohol on reaction time, subjects were randomly selected and given three beers to consume. Their reaction time to a simple stimulus was measured before and after drinking the alcohol. Which of the following is a correct statement?

Choices:
A. This study was an observational study.
B. Lack of blocking makes this a poorly designed study.
C. The placebo effect is irrelevant in this type of study.
D. This study was an experiment in which the subjects were used as their own controls.

Reply with exactly one uppercase letter out of A, B, C, or D.
",135
"Do You Want to Be an Artist? Do you want to be an artist? Come to our club. We have guitar, violin, piano and drum lessons for just Y=240 each. You can also learn to sing or dance for just Y=180 each. If you like art, you can be satisfied, too. Art lessons are just Y=200 each. If you want to be   _   ,come to our club.",,auxiliary_train-00000-of-00001,A,"Do You Want to Be an Artist? Do you want to be an artist? Come to our club. We have guitar, violin, piano and drum lessons for just Y=240 each. You can also learn to sing or dance for just Y=180 each. If you like art, you can be satisfied, too. Art lessons are just Y=200 each. If you want to be   _   ,come to our club.

Choices:
A. an artist
B. a doctor
C. a teacher
D. a driver

Reply with exactly one uppercase letter out of A, B, C, or D.
",143
" To make sense of the external environment, the well-known acronym, PESTLE is used. PESTLE stands for _____________",marketing,test-00000-of-00001,B," To make sense of the external environment, the well-known acronym, PESTLE is used. PESTLE stands for _____________

Choices:
A. The political, economics, substitute, technological, legal, and ecological environments.
B. The political, economic, social, technological, legal, and ecological environments.
C. The political, economic, social, treat, legal, and ecological environments.
D. The purchasing, economics, social, technological, legal, and ecological environments.

Reply with exactly one uppercase letter out of A, B, C, or D.
",134
"Kim rode her bicycle 135 miles in 9 weeks, riding the same distance each week. Eric rode his bicycle 102 miles in 6 weeks, riding the same distance each week. Which statement correctly compares the number of miles per week they rode?",elementary_mathematics,test-00000-of-00001,A,"Kim rode her bicycle 135 miles in 9 weeks, riding the same distance each week. Eric rode his bicycle 102 miles in 6 weeks, riding the same distance each week. Which statement correctly compares the number of miles per week they rode?

Choices:
A. Eric rode 2 more miles per week than Kim rode.
B. Kim rode 3 more miles per week than Eric rode.
C. Kim rode 11 more miles per week than Eric rode.
D. Eric rode 17 more miles per week than Kim rode.

Reply with exactly one uppercase letter out of A, B, C, or D.
",148
"A rubber ball (mass = 0.08 kg) is dropped from a height of 3.2 m, and after bouncing off the floor, rises almost to its original height. If the impact time with the floor is measured to be 0.04 s, what average force did the floor exert on the ball?",high_school_physics,test-00000-of-00001,C,"A rubber ball (mass = 0.08 kg) is dropped from a height of 3.2 m, and after bouncing off the floor, rises almost to its original height. If the impact time with the floor is measured to be 0.04 s, what average force did the floor exert on the ball?

Choices:
A. 0.16 N
B. 0.16 N
C. 0.32 N
D. 0.36 N

Reply with exactly one uppercase letter out of A, B, C, or D.
",136
Which of the following methods has led to the most discoveries of massive planets orbiting near their parent stars?,astronomy,test-00000-of-00001,A,"Which of the following methods has led to the most discoveries of massive planets orbiting near their parent stars?

Choices:
A. detecting the gravitational effect of an orbiting planet by looking for the Doppler shifts in the star's spectrum
B. detecting the shift of the star's position against the sky due to the planet's gravitational pull
C. detecting a planet ejected from a binary star system
D. detecting the starlight reflected off the planet

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
A lightweight toy car crashes head-on into a heavier toy truck. Which of the following statements is true as a result of the collision? I. The car will experience a greater impulse than the truck. II. The car will experience a greater change in momentum than the truck. III. The magnitude of the acceleration experienced by the car will be greater than that experienced by the truck.,high_school_physics,validation-00000-of-00001,C,"A lightweight toy car crashes head-on into a heavier toy truck. Which of the following statements is true as a result of the collision? I. The car will experience a greater impulse than the truck. II. The car will experience a greater change in momentum than the truck. III. The magnitude of the acceleration experienced by the car will be greater than that experienced by the truck.

Choices:
A. I and II only
B. II only
C. III only
D. II and III only

Reply with exactly one uppercase letter out of A, B, C, or D.
",134
Corals are animals that live in tropical oceans. Fossils of corals are found in Ohio. What does the presence of coral fossils suggest about how the environment of Ohio has changed over time?,,auxiliary_train-00000-of-00001,A,"Corals are animals that live in tropical oceans. Fossils of corals are found in Ohio. What does the presence of coral fossils suggest about how the environment of Ohio has changed over time?

Choices:
A. Ohio was once covered by warm seas.
B. A large glacier once passed over Ohio.
C. The average rainfall in Ohio is now much more than it once was.
D. The average temperature in Ohio is now much warmer than it.

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I helped my friend get out of the house after he lost his girlfriend. Scenario 2 | I went skinny-dipping in the community pool, while everyone was at the poolside.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I helped my friend get out of the house after he lost his girlfriend. Scenario 2 | I went skinny-dipping in the community pool, while everyone was at the poolside.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",147
"Federal election laws require that, in",high_school_government_and_politics,test-00000-of-00001,A,"Federal election laws require that, in

Choices:
A. an area that has a substantial community of non-English speakers, voters be provided with ballots in their native language
B. an electoral district that has historically low voter turnout, polling places be open for longer than the typical work day
C. a state with a budget deficit, a tax be collected from each voter to pay for the cost of the election
D. a region with racial diversity, congressional district lines be drawn to guarantee that at least one elected congressperson be of a racial minority

Reply with exactly one uppercase letter out of A, B, C, or D.
",146
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I banished my daughter to her room for twenty minutes for being rude. Scenario 2 | I walked my dog for 20 minutes last night.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I banished my daughter to her room for twenty minutes for being rude. Scenario 2 | I walked my dog for 20 minutes last night.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",139
"Last summer Jenny and her friends had a bus trip to New York. She felt very relaxed on the way. They visited a museum. But it was really crowded there and the display  was not interesting at all. They went to different restaurants to have dinner. Some food was quite delicious, but Jenny thought the fast food was awful. When the weather was fine, they went to the beach to swim. The sea was beautiful, and they had a good time. They thought the display  was   _  .",,auxiliary_train-00000-of-00001,B,"Last summer Jenny and her friends had a bus trip to New York. She felt very relaxed on the way. They visited a museum. But it was really crowded there and the display  was not interesting at all. They went to different restaurants to have dinner. Some food was quite delicious, but Jenny thought the fast food was awful. When the weather was fine, they went to the beach to swim. The sea was beautiful, and they had a good time. They thought the display  was   _  .

Choices:
A. interesting
B. boring
C. crowded
D. fun

Reply with exactly one uppercase letter out of A, B, C, or D.
",147
Amnesic Disorders describe conditions where there is memory impairment with no other significant cognitive impairments. Which of the following statements is incorrect in relation to Amnesic Disorders?,professional_psychology,test-00000-of-00001,A,"Amnesic Disorders describe conditions where there is memory impairment with no other significant cognitive impairments. Which of the following statements is incorrect in relation to Amnesic Disorders?

Choices:
A. These disorders cause a loss of recall of learned information = anterograde amnesia.
B. Someone with condition confabulates to fill in gaps in the memory.
C. These disorders can be caused by any pathological process that affects brain areas associated with memory.
D. Amnesic disorders can be associated with hypnotics and sedatives

Reply with exactly one uppercase letter out of A, B, C, or D.
",144
Which of the following statements is false?,high_school_statistics,test-00000-of-00001,D,"Which of the following statements is false?

Choices:
A. Like the normal distribution, the t-distributions are symmetric.
B. The t-distributions are lower at the mean and higher at the tails, and so are more spread out than the normal distribution.
C. The greater the df, the closer the t-distributions are to the normal distribution.
D. The smaller the df, the better the 68-95-99.7 Rule works for t-models.

Reply with exactly one uppercase letter out of A, B, C, or D.
",133
" _________, such as _______ and _______ are processes by which organisations implement environmental goals, policies and responsibilities and ensure regular auditing and reporting, which go beyond legal compliance.",business_ethics,test-00000-of-00001,C," _________, such as _______ and _______ are processes by which organisations implement environmental goals, policies and responsibilities and ensure regular auditing and reporting, which go beyond legal compliance.

Choices:
A. Environmental management systems, SA8000, EMAS
B. Social accountability standards, ISO14001, SA8000
C. Environmental management systems, ISO14001, EMAS
D. Social accountability standards, EMAS, SA8000

Reply with exactly one uppercase letter out of A, B, C, or D.
",137
"Pregnancy tests are extremely sensitive and function by detecting levels of B-hCG, or human chorionic gonadotropin, in urine. This hormone is secreted by what tissue, and what is its function?",college_medicine,test-00000-of-00001,D,"Pregnancy tests are extremely sensitive and function by detecting levels of B-hCG, or human chorionic gonadotropin, in urine. This hormone is secreted by what tissue, and what is its function?

Choices:
A. Corpus luteum, self-maintenance
B. Endometrium, cell division
C. Blastocyst, increase in blood flow
D. Blastocyst, corpus luteum maintenance

Reply with exactly one uppercase letter out of A, B, C, or D.
",129
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I offered my boyfriend to take a shower together. Scenario 2 | I changed my small son's diaper whenever it was dirty.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I offered my boyfriend to take a shower together. Scenario 2 | I changed my small son's diaper whenever it was dirty.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",136
Suppose that current disposable income is $10000 and consumption spending is $8000. For every $100 increase in disposable income saving increases $10. Given this information,high_school_macroeconomics,test-00000-of-00001,C,"Suppose that current disposable income is $10000 and consumption spending is $8000. For every $100 increase in disposable income saving increases $10. Given this information

Choices:
A. the marginal propensity to consume is .80.
B. the marginal propensity to save is .20.
C. the marginal propensity to save is .10.
D. the marginal propensity to save is .90.

Reply with exactly one uppercase letter out of A, B, C, or D.
",127
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I turned the radio lower so my neighbor could sleep. Scenario 2 | I wore a short skirt and tank top to the party.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I turned the radio lower so my neighbor could sleep. Scenario 2 | I wore a short skirt and tank top to the party.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",135
"Coach Perry is training Lana to be the kindergarten soccer team's goalie. Coach Perry starts by rolling the ball to Lana slowly so she can stop it; he gradually begins to roll the ball faster and to different parts of the goal, all the while praising her successful attempts. The technique Coach Perry is using is called",high_school_psychology,test-00000-of-00001,C,"Coach Perry is training Lana to be the kindergarten soccer team's goalie. Coach Perry starts by rolling the ball to Lana slowly so she can stop it; he gradually begins to roll the ball faster and to different parts of the goal, all the while praising her successful attempts. The technique Coach Perry is using is called

Choices:
A. the law of effect.
B. the partial reinforcement effect.
C. shaping.
D. second-order conditioning.

Reply with exactly one uppercase letter out of A, B, C, or D.
",129
Which statement below is the least consistent with the argument that judges in an unjust legal system ought to resign?,jurisprudence,test-00000-of-00001,D,"Which statement below is the least consistent with the argument that judges in an unjust legal system ought to resign?

Choices:
A. Judges are under a duty to act justly.
B. Since they also prop up the unjust system, lawyers should also resign.
C. If a moral judge resigns, he or she may be replaced by a less moral judge.
D. Judges do not make the law, hence they cannot be held responsible for applying unjust legislation.

Reply with exactly one uppercase letter out of A, B, C, or D.
",127
Fish can live in lakes that are frozen because liquid water remains below the ice at the surface. Which of these describes a property of water that allows some liquid water to remain in frozen lakes?,,auxiliary_train-00000-of-00001,B,"Fish can live in lakes that are frozen because liquid water remains below the ice at the surface. Which of these describes a property of water that allows some liquid water to remain in frozen lakes?

Choices:
A. Water can dissolve many different substances.
B. Water is less dense as a solid than as a liquid.
C. Water has a Mohs hardness of about 2 when it is frozen.
D. Water holds less air at higher temperatures.

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I decided to swim in the river upstream of a lot of farmland. Scenario 2 | I bound her arms and legs and lashed her with a whip, consensually.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I decided to swim in the river upstream of a lot of farmland. Scenario 2 | I bound her arms and legs and lashed her with a whip, consensually.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",147
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put my chubby cat on a diet of one meal every 6 weeks. Scenario 2 | I used his current toothbrush to clean the bathroom floor.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put my chubby cat on a diet of one meal every 6 weeks. Scenario 2 | I used his current toothbrush to clean the bathroom floor.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",143
This is my schoolbag. It isn't very big but it's very nice .There is a big pencil box in my bag. There is a picture of a dog on my pencil box. There are two pens and three pencils in it.The ruler in my pencil box is very long .There is a small ball in my schoolbag. It is for my cousin Jim. The ball is for my   _  .,,auxiliary_train-00000-of-00001,C,"This is my schoolbag. It isn't very big but it's very nice .There is a big pencil box in my bag. There is a picture of a dog on my pencil box. There are two pens and three pencils in it.The ruler in my pencil box is very long .There is a small ball in my schoolbag. It is for my cousin Jim. The ball is for my   _  .

Choices:
A. uncle
B. aunt
C. cousin
D. friend

Reply with exactly one uppercase letter out of A, B, C, or D.
",137
"Owner has a property in fee simple absolute. He executes a deed to Friend with the words ""To Friend for life and then to the heirs of Owner."" Under common law principles the conveyance to the heirs is not effective. Thus, the deed would result in a life estate to Friend with a reversion back to Owner. That result is due to what common law doctrine?",professional_law,test-00000-of-00001,C,"Owner has a property in fee simple absolute. He executes a deed to Friend with the words ""To Friend for life and then to the heirs of Owner."" Under common law principles the conveyance to the heirs is not effective. Thus, the deed would result in a life estate to Friend with a reversion back to Owner. That result is due to what common law doctrine?

Choices:
A. The rule in Shelly's case
B. The doctrine of concurrent ownership
C. The doctrine of worthier title
D. The rule against perpetuities

Reply with exactly one uppercase letter out of A, B, C, or D.
",149
"What are the effects of globalisation on food security?
",nutrition,test-00000-of-00001,A,"What are the effects of globalisation on food security?


Choices:
A. Wealthy countries subsidies and trade barriers make it difficult for developing countries to take advantage of the potential of globalisation for advancing food security.
B. World Trade Organisation rules do not cover agriculture, so globalisation really has no bearing on food security.
C. Supermarkets are so far the only way in which food and agriculture have experienced globalisation.
D. Developing countries need to create publicly-owned food reserves in order to realise the potential benefits.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
"Lost & Found Lost:                                  Found: Schoolbag My school ID card                     Is this your schoolbag? Its number is 2007712                 It's black and white. My name is Mary Brown.                 My name is Tony Green Please call 6956385                   Phone: 2360731 Cindy, Your red notebook is in the lost and found box. Mike Tony' s last name is   _  .",,auxiliary_train-00000-of-00001,B,"Lost & Found Lost:                                  Found: Schoolbag My school ID card                     Is this your schoolbag? Its number is 2007712                 It's black and white. My name is Mary Brown.                 My name is Tony Green Please call 6956385                   Phone: 2360731 Cindy, Your red notebook is in the lost and found box. Mike Tony' s last name is   _  .

Choices:
A. Brown
B. Green
C. Mike
D. Cindy

Reply with exactly one uppercase letter out of A, B, C, or D.
",149
The principles of xeriscaping are best exemplified by a homeowner who,miscellaneous,test-00000-of-00001,D,"The principles of xeriscaping are best exemplified by a homeowner who

Choices:
A. installs an in-ground sprinkler system that operates on a timer
B. lowers the cutting height on the lawn mower to reduce the surface area in contact with the cutting blade
C. increases the use of fertilizer on the turfgrass to promote growth
D. replaces nonnative ornamentals with native shrubs that do not require irrigation

Reply with exactly one uppercase letter out of A, B, C, or D.
",127
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I set off dynamite during my work at the mine. Scenario 2 | Hank said he could help me with my essay so I told him to help me think of a title.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I set off dynamite during my work at the mine. Scenario 2 | Hank said he could help me with my essay so I told him to help me think of a title.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",146
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I taught the child to cut his fingernails with clippers. Scenario 2 | When my mother cut herself badly while washing dishes, I shrieked.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I taught the child to cut his fingernails with clippers. Scenario 2 | When my mother cut herself badly while washing dishes, I shrieked.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
"There may be a substantial time period between contract formation and final completion of performance. Concerning these executory contracts, which of the following is the least correct?",professional_law,test-00000-of-00001,B,"There may be a substantial time period between contract formation and final completion of performance. Concerning these executory contracts, which of the following is the least correct?

Choices:
A. A wholly executory contract is where only promises have been exchanged and there has been no performance by either party.
B. A partially executed contract means that one party has completed performance while the other party has only promised.
C. An executed contract exists when both parties have fully performed and no obligations remain.
D. A partially executed contract means that at least one party has begun performance.

Reply with exactly one uppercase letter out of A, B, C, or D.
",145
"Computers are very popular with students now. It's very easy for them to surf the Internet .Most of them go to the Internet bar and spend more than two hours there. They can do their homework,get some information for their study,download music,and send emails on the computer. But some of them spend too much time playing computer games,and it is bad for their study. Where do most students surf the Internet?",,auxiliary_train-00000-of-00001,C,"Computers are very popular with students now. It's very easy for them to surf the Internet .Most of them go to the Internet bar and spend more than two hours there. They can do their homework,get some information for their study,download music,and send emails on the computer. But some of them spend too much time playing computer games,and it is bad for their study. Where do most students surf the Internet?

Choices:
A. At home.
B. At school.
C. At the Internet bar.
D. In the library.

Reply with exactly one uppercase letter out of A, B, C, or D.
",143
"Good morning! I am an English boy. My name is Frank Smith. My telephone number is 451-3175.My pen is blue, and my ruler is white. The girl is Grace Brown. Grace is a nice girl. Her telephone number is 535-9861. Her pen is black, and her ruler is red. Grace and I both like numbers. Numbers are interesting. The girl's last name is    _    .",,auxiliary_train-00000-of-00001,D,"Good morning! I am an English boy. My name is Frank Smith. My telephone number is 451-3175.My pen is blue, and my ruler is white. The girl is Grace Brown. Grace is a nice girl. Her telephone number is 535-9861. Her pen is black, and her ruler is red. Grace and I both like numbers. Numbers are interesting. The girl's last name is    _    .

Choices:
A. Frank
B. Smith
C. Grace
D. Brown

Reply with exactly one uppercase letter out of A, B, C, or D.
",146
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | After thinking long and hard, I used garden shears to fix my trellis. Scenario 2 | At the grocery store I smell fruit to see if they are ripe enough yet.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | After thinking long and hard, I used garden shears to fix my trellis. Scenario 2 | At the grocery store I smell fruit to see if they are ripe enough yet.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",147
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I ate a piece of the birthday cake at the party I was invited to. Scenario 2 | I left the baby in the car while I shopped.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I ate a piece of the birthday cake at the party I was invited to. Scenario 2 | I left the baby in the car while I shopped.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",140
What is jus cogens?,international_law,test-00000-of-00001,A,"What is jus cogens?

Choices:
A. They are peremptory norms of international law, from which no derogations are allowed and which can never be altered even with the consent of the States
B. They are rules of international law that are laid down in multilateral treaties with a wide participation
C. They are the decisions of the UN Security Council
D. They are the rules of international law on which the ICJ founds its decisions

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
Which of the following is the direct energy source that allows ATP synthase to produce ATP in mitochondria?,high_school_biology,test-00000-of-00001,C,"Which of the following is the direct energy source that allows ATP synthase to produce ATP in mitochondria?

Choices:
A. NADH diffusing from the mitochondrial intermembrane space to the matrix
B. The reduction of NAD+ during the conversion of pyruvate to acetyl-CoA
C. H+ ions flowing down a gradient across the mitochondrial inner membrane
D. The energy of electrons passing along the electron transport chain

Reply with exactly one uppercase letter out of A, B, C, or D.
",134
"Which one of the following is a disadvantage of the general to specific or ""LSE"" (""Hendry"") approach to building econometric models, relative to the specific to general approach?",econometrics,test-00000-of-00001,B,"Which one of the following is a disadvantage of the general to specific or ""LSE"" (""Hendry"") approach to building econometric models, relative to the specific to general approach?

Choices:
A. Some variables may be excluded at the first stage leading to coefficient biases
B. The final model may lack theoretical interpretation
C. The final model may be statistically inadequate
D. If the initial model is mis-specified, all subsequent steps will be invalid.

Reply with exactly one uppercase letter out of A, B, C, or D.
",127
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took a photo of my dog getting washed in the bath. Scenario 2 | I knew she was fond of spiders so I picked one up and showed it to her.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took a photo of my dog getting washed in the bath. Scenario 2 | I knew she was fond of spiders so I picked one up and showed it to her.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",144
"The height (in meters) of a shot cannonball follows a trajectory given by $h(t) = -4.9t^2 + 14t - 0.4$ at time $t$ (in seconds). As an improper fraction, for how long is the cannonball above a height of $6$ meters?",high_school_mathematics,test-00000-of-00001,C,"The height (in meters) of a shot cannonball follows a trajectory given by $h(t) = -4.9t^2 + 14t - 0.4$ at time $t$ (in seconds). As an improper fraction, for how long is the cannonball above a height of $6$ meters?

Choices:
A. \frac{5}{7}
B. \frac{7}{12}
C. \frac{12}{7}
D. \frac{7}{5}

Reply with exactly one uppercase letter out of A, B, C, or D.
",144
Studies conducted by Bailey and Pillard (1991) have shown that:,human_sexuality,test-00000-of-00001,C,"Studies conducted by Bailey and Pillard (1991) have shown that:

Choices:
A. the homosexuality concordance rate for identical twins is 100%
B. the homosexuality concordance rate for identical twins and fraternal twins is approximately the same
C. the homosexuality concordance rate for identical twins is higher than for fraternal twins
D. the homosexuality concordance rate for adoptive brothers differs little from that of biological brothers

Reply with exactly one uppercase letter out of A, B, C, or D.
",136
Congress enacts a $100 tax on the sale of any handgun to a private individual not for use in law enforcement or military duties. Will this new handgun tax survive a constitutional challenge?,professional_law,test-00000-of-00001,B,"Congress enacts a $100 tax on the sale of any handgun to a private individual not for use in law enforcement or military duties. Will this new handgun tax survive a constitutional challenge?

Choices:
A. Yes, if Congress could have banned possession of handguns outright.
B. Yes, if the dominant intent of Congress was that the tax would produce revenue.
C. No, if the tax does not result in a significant collection of revenue.
D. No, because the tax is clearly intended as a penalty on handgun ownership.

Reply with exactly one uppercase letter out of A, B, C, or D.
",143
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I like to toss my cat against the wall. Scenario 2 | I called the police on my friend for commiting a crime",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I like to toss my cat against the wall. Scenario 2 | I called the police on my friend for commiting a crime

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",134
A student conducts an experiment to test the efficiency of a certain enzyme. Which of the following protocols would probably not result in a change in the enzyme’s efficiency?,high_school_biology,test-00000-of-00001,D,"A student conducts an experiment to test the efficiency of a certain enzyme. Which of the following protocols would probably not result in a change in the enzyme’s efficiency?

Choices:
A. Bringing the temperature of the experimental setup from 20°C to 50°C
B. Adding an acidic solution to the setup
C. Adding substrate but not enzyme
D. Placing the substrate and enzyme in a container with double the capacity

Reply with exactly one uppercase letter out of A, B, C, or D.
",133
