question,question_concept,_split,answer,final_prompt,len_tk_gemma2_9b_base
If you're found responsible for intentionally starting a fire what will happen?,starting fire,train-00000-of-00001,E,"Question:
If you're found responsible for intentionally starting a fire what will happen?

Which of the following is the best response to the question?

Choices:
A. warmth
B. die
C. feel cold
D. death
E. going to jail

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"A man wanted to find the United States on a visual, where should he look?",united states,train-00000-of-00001,B,"Question:
A man wanted to find the United States on a visual, where should he look?

Which of the following is the best response to the question?

Choices:
A. history book
B. atlas
C. tv channels
D. northern hemisphere
E. map

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
What information may we need to get from a person when we command them to do something?,command,train-00000-of-00001,E,"Question:
What information may we need to get from a person when we command them to do something?

Which of the following is the best response to the question?

Choices:
A. obey
B. follow
C. serve
D. assume
E. ask

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Where is a good place to plant an apple tree you just bought?,apple tree,train-00000-of-00001,C,"Question:
Where is a good place to plant an apple tree you just bought?

Which of the following is the best response to the question?

Choices:
A. pennsylvania
B. across the street
C. front yard
D. countryside
E. park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"If a reception is held with hotel guests walking by, what is the likely venue?",reception,validation-00000-of-00001,C,"Question:
If a reception is held with hotel guests walking by, what is the likely venue?

Which of the following is the best response to the question?

Choices:
A. room service
B. church basement
C. lobby
D. large room
E. country club

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"After taking measurements with an armband, the doctor recommended medicine for what purpose?",medicine,train-00000-of-00001,D,"Question:
After taking measurements with an armband, the doctor recommended medicine for what purpose?

Which of the following is the best response to the question?

Choices:
A. guard against disease
B. lower cholesterol
C. cargo
D. lower blood pressure
E. diabetes

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
Where would you get a ball if you do not have one?,ball,train-00000-of-00001,D,"Question:
Where would you get a ball if you do not have one?

Which of the following is the best response to the question?

Choices:
A. bowling alley
B. soccer field
C. sporting event
D. sporting goods store
E. cuddle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
What does someone say when they tell you to go to sleep?,go to sleep,train-00000-of-00001,C,"Question:
What does someone say when they tell you to go to sleep?

Which of the following is the best response to the question?

Choices:
A. start slowing down
B. get up early
C. rest up
D. dream
E. wake up

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
Why do people socialize when they first get a new job?,socialize,train-00000-of-00001,A,"Question:
Why do people socialize when they first get a new job?

Which of the following is the best response to the question?

Choices:
A. meet new people
B. make friends
C. small talk
D. get a raise
E. talk to people

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
Both sides in World War I used what to cause death that is now banned?,death,train-00000-of-00001,B,"Question:
Both sides in World War I used what to cause death that is now banned?

Which of the following is the best response to the question?

Choices:
A. homicide
B. poisonous gas
C. cyanide
D. nuclear weapons
E. massive weapons

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
Where can a child go to get in lines with other children?,child,train-00000-of-00001,E,"Question:
Where can a child go to get in lines with other children?

Which of the following is the best response to the question?

Choices:
A. mother's womb
B. the dmv
C. orphanage
D. most homes
E. school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
What does a person typically do when he is in a relationship?,person,train-00000-of-00001,C,"Question:
What does a person typically do when he is in a relationship?

Which of the following is the best response to the question?

Choices:
A. bank money
B. buy clothes
C. let himself go
D. thank god
E. do nothing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The toothbrush was given to the man for free, where did the man get it?",toothbrush,train-00000-of-00001,A,"Question:
The toothbrush was given to the man for free, where did the man get it?

Which of the following is the best response to the question?

Choices:
A. dentist office
B. bedroom
C. supermarket
D. drug store
E. grocery store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
Where would you put a handle if you want to bring it with you?,handle,train-00000-of-00001,A,"Question:
Where would you put a handle if you want to bring it with you?

Which of the following is the best response to the question?

Choices:
A. briefcase
B. coffee cup
C. carry object
D. frying pan
E. on a hat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
Where could there be people making noise if no one is supervising the people?,noise,train-00000-of-00001,C,"Question:
Where could there be people making noise if no one is supervising the people?

Which of the following is the best response to the question?

Choices:
A. big city
B. transmission
C. classroom
D. bowling alley
E. in the front yard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
What do you want to prevent after you get an injury?,injury,train-00000-of-00001,B,"Question:
What do you want to prevent after you get an injury?

Which of the following is the best response to the question?

Choices:
A. for it to become worse
B. become infected
C. hurts
D. cause bleeding
E. cause death

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
When a group of people are talking at work they might be doing what?,talking,validation-00000-of-00001,C,"Question:
When a group of people are talking at work they might be doing what?

Which of the following is the best response to the question?

Choices:
A. having a concert.
B. cough
C. sharing of ideas
D. speak
E. sneeze

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
A teenager that is playing a trumpet might be part of what group?,trumpet,train-00000-of-00001,C,"Question:
A teenager that is playing a trumpet might be part of what group?

Which of the following is the best response to the question?

Choices:
A. orchestra
B. music shop
C. high school band
D. rock group
E. music store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
What can a person expect from their significant other after a long time away?,person,train-00000-of-00001,B,"Question:
What can a person expect from their significant other after a long time away?

Which of the following is the best response to the question?

Choices:
A. gifts
B. passionate kisses
C. own house
D. comfortable clothes
E. ipod

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
What do people need to do to change their lives?,people,validation-00000-of-00001,A,"Question:
What do people need to do to change their lives?

Which of the following is the best response to the question?

Choices:
A. face problems
B. better themselves
C. pay bills
D. become disillusioned
E. eat chicken

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
If a person is complimentary and making trivial physical contact what are they trying to do?,person,train-00000-of-00001,A,"Question:
If a person is complimentary and making trivial physical contact what are they trying to do?

Which of the following is the best response to the question?

Choices:
A. get laid
B. acknowledgment
C. accomplish goals
D. marry
E. talk about themselves

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The moon was seen surrounded by stars, when was it seen by people?",moon,train-00000-of-00001,E,"Question:
The moon was seen surrounded by stars, when was it seen by people?

Which of the following is the best response to the question?

Choices:
A. magic
B. outer space
C. air
D. universe
E. night sky

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"I have some food that I want to eat right now, where would I put it?",food,train-00000-of-00001,E,"Question:
I have some food that I want to eat right now, where would I put it?

Which of the following is the best response to the question?

Choices:
A. cup
B. kitchen
C. pantry
D. jar
E. plate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"His cupboards were barren, so he had to go to work so he could what?",go to work,train-00000-of-00001,B,"Question:
His cupboards were barren, so he had to go to work so he could what?

Which of the following is the best response to the question?

Choices:
A. earn money
B. eat
C. take bus
D. make money
E. sleep

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
What is it called when you slowly cook using a grill?,grill,train-00000-of-00001,E,"Question:
What is it called when you slowly cook using a grill?

Which of the following is the best response to the question?

Choices:
A. backyard
B. restaurant
C. crockpot
D. neighbor's house
E. barbeque

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"A human is hitch hiking near Hoboken, where is he?",human,train-00000-of-00001,A,"Question:
A human is hitch hiking near Hoboken, where is he?

Which of the following is the best response to the question?

Choices:
A. new jersey
B. homes
C. department store
D. near italy
E. new orleans

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
What could a driver have that could cause the driver to not want to be driving car?,driving car,train-00000-of-00001,E,"Question:
What could a driver have that could cause the driver to not want to be driving car?

Which of the following is the best response to the question?

Choices:
A. car crash
B. splinter
C. automobile accidents
D. smoke
E. backache

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The advertisement appeared outside of a central Wisconsin town, where was it located?",advertisement,train-00000-of-00001,B,"Question:
The advertisement appeared outside of a central Wisconsin town, where was it located?

Which of the following is the best response to the question?

Choices:
A. web page
B. la ville
C. magazine
D. email
E. fargo

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,dream,train-00000-of-00001,A,"Question:
Stanley had a dream that was very vivid and scary. He had trouble telling it from what?

Which of the following is the best response to the question?

Choices:
A. reality
B. imagination
C. dreamworker
D. nightmare
E. awake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
The first or second floor is the safest from fire when you sleep where away from home?,second floor,train-00000-of-00001,E,"Question:
The first or second floor is the safest from fire when you sleep where away from home?

Which of the following is the best response to the question?

Choices:
A. house
B. office building
C. parking space
D. school
E. hotel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"The car had its turn signal one, where was it stopped?",car,train-00000-of-00001,E,"Question:
The car had its turn signal one, where was it stopped?

Which of the following is the best response to the question?

Choices:
A. neighbor's house
B. in phoenix
C. repair shop
D. sidewalk
E. street corner

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"If a sailor sets off on a voyage, where might they stow a suitcase?",suitcase,train-00000-of-00001,A,"Question:
If a sailor sets off on a voyage, where might they stow a suitcase?

Which of the following is the best response to the question?

Choices:
A. cargo hold
B. airplane
C. baggage compartment
D. movie
E. boat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
Where are you if there is a dental office along with other similar provider?,dental office,train-00000-of-00001,E,"Question:
Where are you if there is a dental office along with other similar provider?

Which of the following is the best response to the question?

Choices:
A. urban area
B. strip mall
C. office
D. town
E. medical building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
If you're very rude while expressing yourself what is likely to happen?,expressing yourself,train-00000-of-00001,C,"Question:
If you're very rude while expressing yourself what is likely to happen?

Which of the following is the best response to the question?

Choices:
A. people will understand
B. communication
C. being slapped
D. creation of art
E. get gift

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What is the most common but not long lasting side effect of having a bath?,having bath,train-00000-of-00001,D,"Question:
What is the most common but not long lasting side effect of having a bath?

Which of the following is the best response to the question?

Choices:
A. use of water
B. drowning
C. rash
D. wet skin
E. dry skin

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
Where would you put scissors if you will need to use them in another building soon?,scissors,train-00000-of-00001,D,"Question:
Where would you put scissors if you will need to use them in another building soon?

Which of the following is the best response to the question?

Choices:
A. haversack
B. desk
C. cabinet
D. backpack
E. house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"Bill was awaking, what was happening to him physiologically?",awaking,train-00000-of-00001,E,"Question:
Bill was awaking, what was happening to him physiologically?

Which of the following is the best response to the question?

Choices:
A. tiredness
B. grogginess
C. discomfort
D. getting out of bed
E. eyes opening

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
