question,question_concept,_split,answer,final_prompt,len_tk_gemma2_9b_base
Why do people want to play games?,play games,train-00000-of-00001,A,"Question:
Why do people want to play games?

Which of the following is the best response to the question?

Choices:
A. fun
B. keep score
C. try to win
D. attempt to win
E. bored

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
If you are going public store when sad how many you feel?,going public,train-00000-of-00001,A,"Question:
If you are going public store when sad how many you feel?

Which of the following is the best response to the question?

Choices:
A. sorrow
B. embarrassment
C. pain
D. sleepy
E. panic

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where are plants likely to be handled by a city employee?,plants,train-00000-of-00001,A,"Question:
Where are plants likely to be handled by a city employee?

Which of the following is the best response to the question?

Choices:
A. park
B. windowsill
C. ground
D. office
E. garden

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What happens when applying a heat source to combustible materials?,starting fire,train-00000-of-00001,C,"Question:
What happens when applying a heat source to combustible materials?

Which of the following is the best response to the question?

Choices:
A. go to jail
B. consume
C. burns
D. damage
E. warmth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Blowfish require what specific thing to live?,blowfish,validation-00000-of-00001,A,"Question:
Blowfish require what specific thing to live?

Which of the following is the best response to the question?

Choices:
A. sea water
B. hatred
C. fish market
D. body of water
E. jungle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
When going to sleep what noise does a human make?,going to sleep,train-00000-of-00001,C,"Question:
When going to sleep what noise does a human make?

Which of the following is the best response to the question?

Choices:
A. loss of consciousness
B. relaxation
C. snoring
D. dreaming
E. talking

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Walking to much with poorly fitting shoes can cause what?,walking,train-00000-of-00001,B,"Question:
Walking to much with poorly fitting shoes can cause what?

Which of the following is the best response to the question?

Choices:
A. weight gain
B. blisters
C. exercise
D. locomotion
E. lose weight

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where do fans watch people kick a ball?,fans,train-00000-of-00001,A,"Question:
Where do fans watch people kick a ball?

Which of the following is the best response to the question?

Choices:
A. soccer game
B. hockey game
C. olympics
D. sporting event
E. stadium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would a marmot feel most confined?,marmot,train-00000-of-00001,B,"Question:
Where would a marmot feel most confined?

Which of the following is the best response to the question?

Choices:
A. wood pile
B. petting zoo
C. wilderness
D. northern hemisphere
E. mountainous area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
If a person has to pee then their bladder is what?,bladder,train-00000-of-00001,B,"Question:
If a person has to pee then their bladder is what?

Which of the following is the best response to the question?

Choices:
A. tight
B. full
C. empty
D. stretchable
E. filled

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What does a kindergarten teacher do before nap time?,teacher,validation-00000-of-00001,E,"Question:
What does a kindergarten teacher do before nap time?

Which of the following is the best response to the question?

Choices:
A. lower expectations
B. encourage
C. fear
D. time test
E. tell story

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
where do you go to see most statues?,statue,train-00000-of-00001,E,"Question:
where do you go to see most statues?

Which of the following is the best response to the question?

Choices:
A. large city
B. church
C. amusement park
D. new york city
E. museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Why do people ready gossip magazines?,read,train-00000-of-00001,E,"Question:
Why do people ready gossip magazines?

Which of the following is the best response to the question?

Choices:
A. for a course
B. get information
C. improove know how
D. learn
E. entertained

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
How does someone become a lover?,lover,train-00000-of-00001,A,"Question:
How does someone become a lover?

Which of the following is the best response to the question?

Choices:
A. fall in love
B. make love
C. wait forever
D. distance themselves
E. being dumped

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What is used to grind wheat for bread?,wheat,validation-00000-of-00001,E,"Question:
What is used to grind wheat for bread?

Which of the following is the best response to the question?

Choices:
A. farmer's field
B. countryside
C. cereal packets
D. bread
E. mill

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What can you get after drinking too much alcohol?,drinking alcohol,train-00000-of-00001,E,"Question:
What can you get after drinking too much alcohol?

Which of the following is the best response to the question?

Choices:
A. become drunk
B. have fun
C. active
D. frequent urination
E. sickness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where might someone find an abundance of cloth?,cloth,train-00000-of-00001,B,"Question:
Where might someone find an abundance of cloth?

Which of the following is the best response to the question?

Choices:
A. egyptian tombs
B. fabric store
C. kitchen
D. washing machine
E. bedroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
The key to living life and not just existing is what?,living life,train-00000-of-00001,B,"Question:
The key to living life and not just existing is what?

Which of the following is the best response to the question?

Choices:
A. acquiring knowledge
B. happiness
C. purpose
D. existing
E. joy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where could you find a real knight?,knight,train-00000-of-00001,B,"Question:
Where could you find a real knight?

Which of the following is the best response to the question?

Choices:
A. chess board
B. middle ages
C. video game
D. chess set
E. fairy tale

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What happens when we fail at something we attempt?,attempt,train-00000-of-00001,A,"Question:
What happens when we fail at something we attempt?

Which of the following is the best response to the question?

Choices:
A. leave
B. give up
C. trying
D. we get shunned
E. fail

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What is an uncommon side effect of drinking alcohol?,drinking alcohol,train-00000-of-00001,A,"Question:
What is an uncommon side effect of drinking alcohol?

Which of the following is the best response to the question?

Choices:
A. death
B. become drunk
C. frequent urination
D. hangover
E. getting drunk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Studying is the most effective what to get what?,studying,train-00000-of-00001,D,"Question:
Studying is the most effective what to get what?

Which of the following is the best response to the question?

Choices:
A. increasing knowledge
B. money
C. higher intelligence
D. better grades
E. inspiration

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What shoots water up someones butt?,water,train-00000-of-00001,D,"Question:
What shoots water up someones butt?

Which of the following is the best response to the question?

Choices:
A. thunderstorm
B. restaurant
C. surface of earth
D. enema
E. glass of water

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"People are lying to one another, how are they behaving?",people,train-00000-of-00001,C,"Question:
People are lying to one another, how are they behaving?

Which of the following is the best response to the question?

Choices:
A. generous
B. altruistic
C. deceptive
D. stupid
E. cruel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would you go to argue about important bills?,bill,train-00000-of-00001,C,"Question:
Where would you go to argue about important bills?

Which of the following is the best response to the question?

Choices:
A. mail box
B. the post office
C. congress
D. restaurant
E. trash

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where might someone keep  moistener?,moistener,train-00000-of-00001,A,"Question:
Where might someone keep  moistener?

Which of the following is the best response to the question?

Choices:
A. bathroom
B. towelette
C. hand lotion
D. drug store
E. desk drawer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What do young boys do on the ice in the winter?,winter,validation-00000-of-00001,B,"Question:
What do young boys do on the ice in the winter?

Which of the following is the best response to the question?

Choices:
A. ski
B. play hockey
C. summer
D. knit
E. warm

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What sort of structures do you enter through a doorway?,doorway,train-00000-of-00001,C,"Question:
What sort of structures do you enter through a doorway?

Which of the following is the best response to the question?

Choices:
A. castle
B. airport
C. every building
D. wall
E. dollhouse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What holds a lit cigarette when no one is around?,cigarette,train-00000-of-00001,D,"Question:
What holds a lit cigarette when no one is around?

Which of the following is the best response to the question?

Choices:
A. hand
B. cool lip
C. light fire
D. ashtray
E. carton

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where can humans have a cup of coffee or a sandwich?,humans,train-00000-of-00001,D,"Question:
Where can humans have a cup of coffee or a sandwich?

Which of the following is the best response to the question?

Choices:
A. movies
B. idaho
C. university
D. cafe
E. universe

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What can occur in fencing if you are not careful?,fencing,train-00000-of-00001,B,"Question:
What can occur in fencing if you are not careful?

Which of the following is the best response to the question?

Choices:
A. competition
B. severe injuries
C. fever
D. perspiration
E. small cuts

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"If something is obtuse, what couldn't it be?",obtuse,train-00000-of-00001,D,"Question:
If something is obtuse, what couldn't it be?

Which of the following is the best response to the question?

Choices:
A. bright
B. pointed
C. correct
D. acute angled
E. clear

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What might have a drop of flood on their fingertip?,drop of blood,train-00000-of-00001,B,"Question:
What might have a drop of flood on their fingertip?

Which of the following is the best response to the question?

Choices:
A. needle
B. person
C. clock
D. test tube
E. battlefield

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What is the biological purpose of eating breakfast?,eating breakfast,train-00000-of-00001,E,"Question:
What is the biological purpose of eating breakfast?

Which of the following is the best response to the question?

Choices:
A. halitosis
B. fullness
C. overeating
D. gas
E. gain energy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Spending too much time contemplating can lead to what kind of pain?,contemplating,train-00000-of-00001,E,"Question:
Spending too much time contemplating can lead to what kind of pain?

Which of the following is the best response to the question?

Choices:
A. relaxation
B. deciding
C. regret
D. revelations
E. headache

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where can you likely buy many poems?,poem,train-00000-of-00001,C,"Question:
Where can you likely buy many poems?

Which of the following is the best response to the question?

Choices:
A. book of poetry
B. literature book
C. book store
D. poetry book
E. bookshelf

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What North American country really likes watching matches on a soccer field?,soccer field,train-00000-of-00001,D,"Question:
What North American country really likes watching matches on a soccer field?

Which of the following is the best response to the question?

Choices:
A. playground
B. canada
C. outside
D. mexico
E. park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where is a small house likely to have a table?,table,train-00000-of-00001,C,"Question:
Where is a small house likely to have a table?

Which of the following is the best response to the question?

Choices:
A. dining room
B. furniture store
C. kitchen
D. roof
E. conference

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
what does someone do when they do not reply to a question?,reply,train-00000-of-00001,C,"Question:
what does someone do when they do not reply to a question?

Which of the following is the best response to the question?

Choices:
A. ask
B. question
C. ignore
D. answer
E. mute

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would you find sugar in a town?,sugar,train-00000-of-00001,B,"Question:
Where would you find sugar in a town?

Which of the following is the best response to the question?

Choices:
A. coffee
B. every home
C. neighbor's house
D. cupboard
E. drawer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where could you be if you are sit quietly?,sit quietly,train-00000-of-00001,C,"Question:
Where could you be if you are sit quietly?

Which of the following is the best response to the question?

Choices:
A. sit down
B. lay down
C. alone
D. go home
E. meditate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
what is the goal of going jogging?,going jogging,train-00000-of-00001,D,"Question:
what is the goal of going jogging?

Which of the following is the best response to the question?

Choices:
A. heavy breathing
B. feel pride
C. getting tired
D. lose weight
E. run away

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What must a master do with all skills for a trade?,master,train-00000-of-00001,B,"Question:
What must a master do with all skills for a trade?

Which of the following is the best response to the question?

Choices:
A. require obedience
B. understand
C. learn
D. drill
E. teach

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where might a child keep their towel for overnight?,towel,train-00000-of-00001,A,"Question:
Where might a child keep their towel for overnight?

Which of the following is the best response to the question?

Choices:
A. backpack
B. linen closet
C. swimming pool
D. at hotel
E. shelf

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would a cat not belong?,cat,train-00000-of-00001,C,"Question:
Where would a cat not belong?

Which of the following is the best response to the question?

Choices:
A. back alley
B. swimming pool
C. milky way galaxy
D. compost pile
E. back yard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where can you store a small notepad on your person?,notepad,train-00000-of-00001,A,"Question:
Where can you store a small notepad on your person?

Which of the following is the best response to the question?

Choices:
A. back pocket
B. meeting
C. drug store
D. home
E. school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where could you find a jellyfish that does not exist?,jellyfish,train-00000-of-00001,A,"Question:
Where could you find a jellyfish that does not exist?

Which of the following is the best response to the question?

Choices:
A. cartoon
B. japanese restaurant
C. underwater
D. moon
E. red sea

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Other than wining what outcome is possible when people are competing?,competing,train-00000-of-00001,D,"Question:
Other than wining what outcome is possible when people are competing?

Which of the following is the best response to the question?

Choices:
A. enemies
B. humiliation
C. aggression
D. defeat
E. stress

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What is the goal of someone planning to kill?,kill,train-00000-of-00001,A,"Question:
What is the goal of someone planning to kill?

Which of the following is the best response to the question?

Choices:
A. take life
B. or dies
C. feel remorse
D. shoot
E. murder

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What always happens after drinking alcohol?,drinking alcohol,train-00000-of-00001,A,"Question:
What always happens after drinking alcohol?

Which of the following is the best response to the question?

Choices:
A. inebriation
B. vomit
C. frequent urination
D. hilarity
E. start singing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where in your pants would you keep a kleenex?,kleenex,train-00000-of-00001,A,"Question:
Where in your pants would you keep a kleenex?

Which of the following is the best response to the question?

Choices:
A. pocket
B. box
C. blow nose
D. purse
E. bag

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where is a good place to purchase a toy balloon?,toy balloon,train-00000-of-00001,C,"Question:
Where is a good place to purchase a toy balloon?

Which of the following is the best response to the question?

Choices:
A. birthday party
B. church
C. amusement park
D. parade
E. circus

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
To see new films you must?,see new,validation-00000-of-00001,B,"Question:
To see new films you must?

Which of the following is the best response to the question?

Choices:
A. open eyes
B. go to movies
C. kick ball
D. make art
E. look for

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where is a larger shopping mall likely to be?,shopping mall,train-00000-of-00001,C,"Question:
Where is a larger shopping mall likely to be?

Which of the following is the best response to the question?

Choices:
A. suburbs
B. suburban area
C. downtown
D. indiana
E. out of town

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where does a ticket booth stand at the front of?,ticket booth,train-00000-of-00001,B,"Question:
Where does a ticket booth stand at the front of?

Which of the following is the best response to the question?

Choices:
A. park
B. train station
C. movie theater
D. subway
E. auditorium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"The machine was very intricate, it was quite an what?",machine,train-00000-of-00001,B,"Question:
The machine was very intricate, it was quite an what?

Which of the following is the best response to the question?

Choices:
A. box
B. apparatus
C. appliance
D. wash dishes
E. implement

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where in a meadow would a snake hide?,snake,train-00000-of-00001,E,"Question:
Where in a meadow would a snake hide?

Which of the following is the best response to the question?

Choices:
A. underwater
B. tropical forest
C. amazon river
D. western texas
E. high grass

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"After killing people, the murderer went to church after feeling what?",killing people,validation-00000-of-00001,B,"Question:
After killing people, the murderer went to church after feeling what?

Which of the following is the best response to the question?

Choices:
A. murder
B. remorse
C. religious
D. retaliation
E. anguish

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Why are there so many different creatures in the oceans?,oceans,train-00000-of-00001,D,"Question:
Why are there so many different creatures in the oceans?

Which of the following is the best response to the question?

Choices:
A. saline based
B. wet
C. wide
D. very deep
E. pressure

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
When does christmas happen in Argentina?,christmas,train-00000-of-00001,B,"Question:
When does christmas happen in Argentina?

Which of the following is the best response to the question?

Choices:
A. buy presents for others
B. summer
C. when correct time comes
D. easter
E. halloween

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where does the water run-off overflow end up?,overflow,train-00000-of-00001,A,"Question:
Where does the water run-off overflow end up?

Which of the following is the best response to the question?

Choices:
A. sewer
B. bathroom
C. glass
D. drain
E. behind the curtain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where might you feel cramped in a cubicle?,cubicle,train-00000-of-00001,A,"Question:
Where might you feel cramped in a cubicle?

Which of the following is the best response to the question?

Choices:
A. work
B. bank
C. constructing office space
D. home office
E. office building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where in a city would you find many box offices?,box office,train-00000-of-00001,D,"Question:
Where in a city would you find many box offices?

Which of the following is the best response to the question?

Choices:
A. opera
B. ballpark
C. theatre
D. theater district
E. movie theater

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where could there be a battle that involves words?,battle,validation-00000-of-00001,A,"Question:
Where could there be a battle that involves words?

Which of the following is the best response to the question?

Choices:
A. court room
B. war
C. video game
D. iraq
E. church

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Victoria is the capital of what canadian province?,victoria,train-00000-of-00001,A,"Question:
Victoria is the capital of what canadian province?

Which of the following is the best response to the question?

Choices:
A. british columbia
B. seychelles
C. texas
D. zimbabwe
E. zambia

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What does a person get out of a pinata?,person,train-00000-of-00001,C,"Question:
What does a person get out of a pinata?

Which of the following is the best response to the question?

Choices:
A. contraceptives
B. well fed
C. candies
D. own house
E. fairness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where might be a well manicured lawn?,lawn,train-00000-of-00001,D,"Question:
Where might be a well manicured lawn?

Which of the following is the best response to the question?

Choices:
A. ocean
B. michigan
C. north america
D. golf course
E. united states

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where is the control room that controls a PWR located?,control room,validation-00000-of-00001,E,"Question:
Where is the control room that controls a PWR located?

Which of the following is the best response to the question?

Choices:
A. building
B. factory
C. window
D. prison
E. nuclear power plant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
If you jump in any of the oceans you will get?,oceans,validation-00000-of-00001,B,"Question:
If you jump in any of the oceans you will get?

Which of the following is the best response to the question?

Choices:
A. tanned
B. wet
C. wide
D. very deep
E. fish

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
When someone is having fun what will that result in emotionally?,having fun,train-00000-of-00001,C,"Question:
When someone is having fun what will that result in emotionally?

Which of the following is the best response to the question?

Choices:
A. glee
B. laughter
C. being happy
D. smiling
E. injuries

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where can you buy grapes directly from their growers?,grape,train-00000-of-00001,D,"Question:
Where can you buy grapes directly from their growers?

Which of the following is the best response to the question?

Choices:
A. grocery cart
B. kitchen
C. fridge
D. fruit market
E. super market

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would a kitchen towel be found?,towel,train-00000-of-00001,A,"Question:
Where would a kitchen towel be found?

Which of the following is the best response to the question?

Choices:
A. cupboard
B. at hotel
C. linen closet
D. under a rock
E. locker room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What would cause someone to use invitro for reproducing?,reproducing,train-00000-of-00001,A,"Question:
What would cause someone to use invitro for reproducing?

Which of the following is the best response to the question?

Choices:
A. problems
B. offspring
C. overpopulation
D. larger family
E. baby

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What does a town make up a small part of?,town,train-00000-of-00001,E,"Question:
What does a town make up a small part of?

Which of the following is the best response to the question?

Choices:
A. rural areas
B. city
C. countryside
D. train station
E. state

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What do you need to run after ball?,run after ball,train-00000-of-00001,B,"Question:
What do you need to run after ball?

Which of the following is the best response to the question?

Choices:
A. get tired
B. have legs
C. skip
D. not fat
E. look first

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What is a  cathode ray tube typically part of?,cathode ray tube,train-00000-of-00001,B,"Question:
What is a  cathode ray tube typically part of?

Which of the following is the best response to the question?

Choices:
A. vacuum tube
B. television
C. screen
D. oscilloscope
E. computer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where is a place a beaver wouldn't feel free?,beaver,train-00000-of-00001,E,"Question:
Where is a place a beaver wouldn't feel free?

Which of the following is the best response to the question?

Choices:
A. woodlands
B. cage
C. canada
D. ontario
E. zoo

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What high rise is often made of windows?,window,train-00000-of-00001,C,"Question:
What high rise is often made of windows?

Which of the following is the best response to the question?

Choices:
A. warehouse
B. friend's house
C. building
D. space shuttle
E. wall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What do professors primarily do?,professors,validation-00000-of-00001,E,"Question:
What do professors primarily do?

Which of the following is the best response to the question?

Choices:
A. master physics
B. state facts
C. wear wrinkled tweed jackets
D. school students
E. teach courses

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Name a location where you would not want to find mice.,mice,validation-00000-of-00001,B,"Question:
Name a location where you would not want to find mice.

Which of the following is the best response to the question?

Choices:
A. loft
B. attic
C. bell cat
D. countryside
E. laboratory

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Having food all the time can lead to what?,having food,train-00000-of-00001,D,"Question:
Having food all the time can lead to what?

Which of the following is the best response to the question?

Choices:
A. digesting
B. not hungry
C. swelling
D. weight gain
E. gas

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What might someone having a hard time writing a term paper feel?,writing term paper,train-00000-of-00001,B,"Question:
What might someone having a hard time writing a term paper feel?

Which of the following is the best response to the question?

Choices:
A. errors
B. frustration
C. illiteracy
D. anxiety
E. headaches

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where can you find a few hundred or thousand apartment?,apartment,train-00000-of-00001,A,"Question:
Where can you find a few hundred or thousand apartment?

Which of the following is the best response to the question?

Choices:
A. town
B. michigan
C. texas
D. budget
E. avoid buying

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where can you get a night table to take home?,night table,train-00000-of-00001,E,"Question:
Where can you get a night table to take home?

Which of the following is the best response to the question?

Choices:
A. hallway
B. homes
C. junk drawer
D. hotel
E. furniture store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
A villain in the middle ages is a type of what?,villain,train-00000-of-00001,B,"Question:
A villain in the middle ages is a type of what?

Which of the following is the best response to the question?

Choices:
A. nobleman
B. landowner
C. good guy
D. aristocrat
E. saint

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would you find a cottage that gets flooded often?,cottage,train-00000-of-00001,E,"Question:
Where would you find a cottage that gets flooded often?

Which of the following is the best response to the question?

Choices:
A. desert
B. painting
C. fairy story
D. mountains
E. rural area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What are beans typically used to make in a drink?,bean,train-00000-of-00001,B,"Question:
What are beans typically used to make in a drink?

Which of the following is the best response to the question?

Choices:
A. cooking
B. coffee
C. food store
D. cooking pot
E. boiling

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where is it likely to find a beach towel?,towel,train-00000-of-00001,C,"Question:
Where is it likely to find a beach towel?

Which of the following is the best response to the question?

Choices:
A. backpack
B. beach
C. swimming pool
D. locker room
E. at hotel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where is a good place to be an automobile?,automobile,train-00000-of-00001,B,"Question:
Where is a good place to be an automobile?

Which of the following is the best response to the question?

Choices:
A. garage
B. driveway
C. repair shop
D. junk yard
E. exit ramp

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would you go if you need a hardware store?,hardware store,train-00000-of-00001,B,"Question:
Where would you go if you need a hardware store?

Which of the following is the best response to the question?

Choices:
A. washington
B. sears
C. small town
D. oregon
E. canada

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
what might an intelligent person do?,person,train-00000-of-00001,D,"Question:
what might an intelligent person do?

Which of the following is the best response to the question?

Choices:
A. open doors
B. give up
C. talk to themselves
D. study greek
E. cross street

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What enables most people to transport themselves?,people,train-00000-of-00001,B,"Question:
What enables most people to transport themselves?

Which of the following is the best response to the question?

Choices:
A. helicopter
B. own cars
C. speak words
D. believe in god
E. dance together

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
You can do knitting to get the feeling of what?,knitting,validation-00000-of-00001,A,"Question:
You can do knitting to get the feeling of what?

Which of the following is the best response to the question?

Choices:
A. relaxation
B. arthritis
C. adrenaline
D. your
E. sweater may produced

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
