question,question_concept,_split,answer,final_prompt,len_tk_gemma2_9b_it
"A hard piece of rubber deflected off a stick and flew up and struck a fan, this could only happen at a what?",fan,train-00000-of-00001,B,"Question:
A hard piece of rubber deflected off a stick and flew up and struck a fan, this could only happen at a what?

Which of the following is the best response to the question?

Choices:
A. sporting event
B. hockey game
C. living room
D. soccer game
E. football stadium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"If a person spends all day at their job, what are they likely doing?",person,train-00000-of-00001,C,"Question:
If a person spends all day at their job, what are they likely doing?

Which of the following is the best response to the question?

Choices:
A. gain weight
B. walk away
C. work hard
D. turn around
E. getting a burnout

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The curious child wanted to know more about the lizard, so he opened up volume L of the what?",lizard,train-00000-of-00001,A,"Question:
The curious child wanted to know more about the lizard, so he opened up volume L of the what?

Which of the following is the best response to the question?

Choices:
A. encyclopedia
B. dessert
C. spoons
D. new hampshire
E. south america

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"The dog liked to be pet, especially on his floppy what?",dog,train-00000-of-00001,C,"Question:
The dog liked to be pet, especially on his floppy what?

Which of the following is the best response to the question?

Choices:
A. teeth
B. four legs
C. two ears
D. the gas station ran out of gas today.
E. paws

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What is a place that is far away from your house and where you could consume beer?,beer,validation-00000-of-00001,B,"Question:
What is a place that is far away from your house and where you could consume beer?

Which of the following is the best response to the question?

Choices:
A. refrigerator
B. friend's house
C. keg
D. neighbor's house
E. kitchen

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"She always made sure her infant was sleeping the right way, the articles she read had made her paranoid about what happening?",sleeping,train-00000-of-00001,B,"Question:
She always made sure her infant was sleeping the right way, the articles she read had made her paranoid about what happening?

Which of the following is the best response to the question?

Choices:
A. nightmares
B. death
C. dreams
D. erections
E. vaccines

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"They play violin, but can't learn others' musical pieces, what couldn't they do?",play violin,train-00000-of-00001,C,"Question:
They play violin, but can't learn others' musical pieces, what couldn't they do?

Which of the following is the best response to the question?

Choices:
A. calluses
B. take notes
C. read music
D. making music
E. make noise

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
Jamie wen to the theater near his home.  He was surrounded by servicemen.  Where might he be?,theater,train-00000-of-00001,D,"Question:
Jamie wen to the theater near his home.  He was surrounded by servicemen.  Where might he be?

Which of the following is the best response to the question?

Choices:
A. washington dc
B. shopping mall
C. school
D. military base
E. populated area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"Seeing his idea become reality should have brought joy to James.  Instead, it only brought what emotion?",seeing idea become reality,train-00000-of-00001,D,"Question:
Seeing his idea become reality should have brought joy to James.  Instead, it only brought what emotion?

Which of the following is the best response to the question?

Choices:
A. over joy
B. fulfilling
C. inspiration
D. pain
E. excitement

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
I typically use a travel website to book my flights is implying i used the travel site when?,book,train-00000-of-00001,E,"Question:
I typically use a travel website to book my flights is implying i used the travel site when?

Which of the following is the best response to the question?

Choices:
A. story
B. now
C. knowledge
D. at least few page
E. past

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
John didn't have any memory of the previous week and it was getting worse.  He was doing what to his entire life?,memory,train-00000-of-00001,B,"Question:
John didn't have any memory of the previous week and it was getting worse.  He was doing what to his entire life?

Which of the following is the best response to the question?

Choices:
A. last forever
B. forgetting
C. forgotten
D. rehabilitating
E. forgetfulness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"If something is very hard but you just manage to be able to do it, it can be called what?",hard,train-00000-of-00001,E,"Question:
If something is very hard but you just manage to be able to do it, it can be called what?

Which of the following is the best response to the question?

Choices:
A. controvertible
B. interesting
C. easy
D. agreeable
E. bearable

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"He chuckled as he knocked on the door, here he was actually needing to borrow a cup of sugar from where?",door,train-00000-of-00001,A,"Question:
He chuckled as he knocked on the door, here he was actually needing to borrow a cup of sugar from where?

Which of the following is the best response to the question?

Choices:
A. neighbor's house
B. office
C. theater
D. gas station
E. wall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"The prisoners often grouped to play cards, it was one of the few ways to avoid being what in there?",play cards,train-00000-of-00001,C,"Question:
The prisoners often grouped to play cards, it was one of the few ways to avoid being what in there?

Which of the following is the best response to the question?

Choices:
A. afraid
B. have fun
C. bored
D. winning
E. good at

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where would you put your change if you plan to use it soon and you are a man?,change,train-00000-of-00001,C,"Question:
Where would you put your change if you plan to use it soon and you are a man?

Which of the following is the best response to the question?

Choices:
A. backseat of car
B. purse
C. pocket
D. jar
E. wallet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
John was an idealist.  He gave away internet ready computers because he wanted to do what?,computers,train-00000-of-00001,A,"Question:
John was an idealist.  He gave away internet ready computers because he wanted to do what?

Which of the following is the best response to the question?

Choices:
A. help people
B. working
C. networked
D. cost money
E. crash

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"When they say dogs are a man's best friend, they aren't talking about just whats?",dogs,train-00000-of-00001,B,"Question:
When they say dogs are a man's best friend, they aren't talking about just whats?

Which of the following is the best response to the question?

Choices:
A. four legs
B. males
C. electrical circuit
D. pet
E. sniff

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"He looked up for a certain star, it was the one that helped him spot the rest of the what?",star,train-00000-of-00001,D,"Question:
He looked up for a certain star, it was the one that helped him spot the rest of the what?

Which of the following is the best response to the question?

Choices:
A. solar system
B. night sky
C. hollywood
D. constellation
E. red carpet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The lizard startled the vacationer, he then joked it was one thing that hadn't disappeared in the mysterious triangle where?",lizard,train-00000-of-00001,D,"Question:
The lizard startled the vacationer, he then joked it was one thing that hadn't disappeared in the mysterious triangle where?

Which of the following is the best response to the question?

Choices:
A. south america
B. south carolina
C. utah
D. bermuda
E. new mexico

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"The class was billed as a way to improve yourself, the instructor told everybody to close their eyes and what?",improve yourself,train-00000-of-00001,A,"Question:
The class was billed as a way to improve yourself, the instructor told everybody to close their eyes and what?

Which of the following is the best response to the question?

Choices:
A. meditate
B. celebrate
C. plot the teacher's destruction
D. eat better
E. feel better about yourself

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"The plants are hungry, what do they need to do for satiation?",plants,train-00000-of-00001,D,"Question:
The plants are hungry, what do they need to do for satiation?

Which of the following is the best response to the question?

Choices:
A. reproduce asexually
B. dont drink water
C. bear fruits and vegetables
D. photosynthesis
E. grow tall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Sam was alone in spite of the fact that he was at a family reunion and mingling with what?,alone,train-00000-of-00001,B,"Question:
Sam was alone in spite of the fact that he was at a family reunion and mingling with what?

Which of the following is the best response to the question?

Choices:
A. with someone
B. many people
C. together
D. party
E. in crowd

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"He was practicing deep breathing techniques, he had to have great control of his what?",breathing,train-00000-of-00001,B,"Question:
He was practicing deep breathing techniques, he had to have great control of his what?

Which of the following is the best response to the question?

Choices:
A. bringing air into body bringing air into lungs
B. abdominal muscles
C. bringing air into lungs
D. air
E. oxygen

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"If you see skyscrapers outside the window of you hotel room, what kind of area are you in?",hotel room,train-00000-of-00001,E,"Question:
If you see skyscrapers outside the window of you hotel room, what kind of area are you in?

Which of the following is the best response to the question?

Choices:
A. school
B. business interviews
C. resort
D. michigan
E. city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"Boredom led him to go out to the bar, there were many characters there and he what?",boredom,train-00000-of-00001,A,"Question:
Boredom led him to go out to the bar, there were many characters there and he what?

Which of the following is the best response to the question?

Choices:
A. meet interesting people
B. play games
C. field
D. skateboard
E. listen to music

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"A computer can process information and even choose, but it can't do what?",computer,train-00000-of-00001,C,"Question:
A computer can process information and even choose, but it can't do what?

Which of the following is the best response to the question?

Choices:
A. run programs
B. make decisions
C. believe in god
D. brain
E. receive data

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The man pleaded for peace between the two sides, but their what towards each other was too much to abide?",peace,train-00000-of-00001,A,"Question:
The man pleaded for peace between the two sides, but their what towards each other was too much to abide?

Which of the following is the best response to the question?

Choices:
A. hostility
B. turmoil
C. fights
D. fighting
E. love and understanding

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"I'm at a restaurant ans want a glass of milk, how do I find out if they serve that?",glass of milk,train-00000-of-00001,E,"Question:
I'm at a restaurant ans want a glass of milk, how do I find out if they serve that?

Which of the following is the best response to the question?

Choices:
A. accompaniment to meal
B. waitress
C. cafeteria
D. home
E. menu

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"She said it was her turn to watch television, it was time for her to what?",watch television,train-00000-of-00001,D,"Question:
She said it was her turn to watch television, it was time for her to what?

Which of the following is the best response to the question?

Choices:
A. entertained
B. plug in
C. you're bored
D. see favorite show
E. sit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"John knew that the snake probably wasn't real because he lived in the Midwest, and anacondas live in what regions?",snake,train-00000-of-00001,C,"Question:
John knew that the snake probably wasn't real because he lived in the Midwest, and anacondas live in what regions?

Which of the following is the best response to the question?

Choices:
A. nightmare
B. wyoming
C. tropics
D. ditch
E. pet shops

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"When one is using computers for a long period of time, what might happen to the human body?",using computer,train-00000-of-00001,A,"Question:
When one is using computers for a long period of time, what might happen to the human body?

Which of the following is the best response to the question?

Choices:
A. headache
B. addiction
C. editing
D. falling asleep
E. carpal tunnel syndrome

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Sally worked at a dentist office. She had to work late.  What might have caused her to work late?,dentist office,train-00000-of-00001,C,"Question:
Sally worked at a dentist office. She had to work late.  What might have caused her to work late?

Which of the following is the best response to the question?

Choices:
A. office building
B. town
C. patient
D. michigan
E. office desk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"I needed more knowledge and had a reputation for truancy, what did I need to go to more of?",knowledge,train-00000-of-00001,E,"Question:
I needed more knowledge and had a reputation for truancy, what did I need to go to more of?

Which of the following is the best response to the question?

Choices:
A. church
B. meeting
C. encyclopedia
D. university
E. class

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"Where in the U.S. might foreigners expect to see a bald eagle, but probably won't?",bald eagle,train-00000-of-00001,C,"Question:
Where in the U.S. might foreigners expect to see a bald eagle, but probably won't?

Which of the following is the best response to the question?

Choices:
A. florida
B. canada
C. in washington
D. utah
E. colorado

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"John runs a corner shop in the American Midwest, in a place known for its Vikings. In what region is his shop most likely located?",corner shop,train-00000-of-00001,E,"Question:
John runs a corner shop in the American Midwest, in a place known for its Vikings. In what region is his shop most likely located?

Which of the following is the best response to the question?

Choices:
A. california
B. england
C. street corner
D. corner of two streets
E. minnesota

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"They made rules to bar any smoking in the building, if you wanted to do it you had to what?",smoking,train-00000-of-00001,A,"Question:
They made rules to bar any smoking in the building, if you wanted to do it you had to what?

Which of the following is the best response to the question?

Choices:
A. go outside
B. unhealthy
C. coughing
D. foolish
E. inhale

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Steve needed a place to sleep so he asked around and found a place to stay.  Where might he be staying?,stove,train-00000-of-00001,B,"Question:
Steve needed a place to sleep so he asked around and found a place to stay.  Where might he be staying?

Which of the following is the best response to the question?

Choices:
A. apartment
B. friend's house
C. tent
D. outside
E. living room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
John noticed that there was a lot of dust in the room.  He cleaned off the place where food is served last.   Where might John have cleaned last?,dust,train-00000-of-00001,C,"Question:
John noticed that there was a lot of dust in the room.  He cleaned off the place where food is served last.   Where might John have cleaned last?

Which of the following is the best response to the question?

Choices:
A. shelf
B. library
C. table
D. fridge
E. refrigerator

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"He didn't like the walk up, but living on the top floor meant there was nobody above him in the what?",top floor,train-00000-of-00001,A,"Question:
He didn't like the walk up, but living on the top floor meant there was nobody above him in the what?

Which of the following is the best response to the question?

Choices:
A. apartment building
B. tall building
C. go down
D. garden
E. office building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"The college kids weren't known for their apartment decor choices, they used a folding chair inside their what?",folding chair,train-00000-of-00001,D,"Question:
The college kids weren't known for their apartment decor choices, they used a folding chair inside their what?

Which of the following is the best response to the question?

Choices:
A. bathroom
B. closet
C. school
D. room
E. church

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The teacher explained why he should play piano even though he wanted to play guitar, she said it was the best introduction to what?",play piano,train-00000-of-00001,B,"Question:
The teacher explained why he should play piano even though he wanted to play guitar, she said it was the best introduction to what?

Which of the following is the best response to the question?

Choices:
A. learn how
B. learn music
C. make music
D. take lessons
E. practice

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
James was driving away from work. He slid into the outside lane.  Up ahead he would have to do what?,cars,train-00000-of-00001,D,"Question:
James was driving away from work. He slid into the outside lane.  Up ahead he would have to do what?

Which of the following is the best response to the question?

Choices:
A. take u turn
B. turn left
C. crash
D. turn right
E. get to town

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"The bird is young and still nesting, what does it need to do soon to move on?",bird,train-00000-of-00001,C,"Question:
The bird is young and still nesting, what does it need to do soon to move on?

Which of the following is the best response to the question?

Choices:
A. spread wings
B. squawk
C. learn to fly
D. attempt to fly
E. catch food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"When people have guests over, what do they often do for their guests?",people,train-00000-of-00001,D,"Question:
When people have guests over, what do they often do for their guests?

Which of the following is the best response to the question?

Choices:
A. talk to each other
B. learn from each other
C. demand justice
D. cook food
E. share food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"If I wanted to find out the hours that Marmot was open, I might look where?",marmot,train-00000-of-00001,E,"Question:
If I wanted to find out the hours that Marmot was open, I might look where?

Which of the following is the best response to the question?

Choices:
A. hiding place
B. ocean
C. high mountains
D. north america
E. yellow pages

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"If someone is agreeing with everybody they're bound to get caught in the middle, this can create more of a what?",agreeing with,train-00000-of-00001,B,"Question:
If someone is agreeing with everybody they're bound to get caught in the middle, this can create more of a what?

Which of the following is the best response to the question?

Choices:
A. like
B. problem
C. harmony
D. peace
E. joyful

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"I went to eat in a restaurant, but I left because the person at the front wasn't what?",eat in restaurant,train-00000-of-00001,C,"Question:
I went to eat in a restaurant, but I left because the person at the front wasn't what?

Which of the following is the best response to the question?

Choices:
A. drinking wine
B. make reservations
C. polite
D. spit on me
E. prepared to pay

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",punishing,train-00000-of-00001,A,"Question:
The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?

Which of the following is the best response to the question?

Choices:
A. ignore
B. enforce
C. authoritarian
D. yell at
E. avoid

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The police had been stumped for years, the grieving family hired a private investigator in a hope to what?",investigator,train-00000-of-00001,D,"Question:
The police had been stumped for years, the grieving family hired a private investigator in a hope to what?

Which of the following is the best response to the question?

Choices:
A. notice physical evidence
B. arrest criminal
C. gather evidence
D. discover truth
E. gathering facts

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"The child remarked that despite the name the famous bridge was red, this site was just one of the many highlights of the family vacation where?",bridge,train-00000-of-00001,A,"Question:
The child remarked that despite the name the famous bridge was red, this site was just one of the many highlights of the family vacation where?

Which of the following is the best response to the question?

Choices:
A. california
B. river valley
C. over water
D. dentist
E. neverland

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"He went to visit his brother going to a Bulldog school in the south, the humidity was intense but seemed plain and ordinary by now to his brother where?",plain,train-00000-of-00001,C,"Question:
He went to visit his brother going to a Bulldog school in the south, the humidity was intense but seemed plain and ordinary by now to his brother where?

Which of the following is the best response to the question?

Choices:
A. air
B. atlanta
C. georgia
D. countryside
E. landscape

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"If a student wishes to learn about things that have already happened, what should they do?",student,train-00000-of-00001,C,"Question:
If a student wishes to learn about things that have already happened, what should they do?

Which of the following is the best response to the question?

Choices:
A. better grade
B. pass course
C. study history
D. complete test ask questions
E. answer question

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Susan climbed the slops.  It was very difficult.  She wished that she was on what?,slope,train-00000-of-00001,B,"Question:
Susan climbed the slops.  It was very difficult.  She wished that she was on what?

Which of the following is the best response to the question?

Choices:
A. flat
B. flat ground
C. downhill
D. straight
E. top

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The family decided to have a picnic, they got some bread and chips out of their walk-in what?",bread,train-00000-of-00001,D,"Question:
The family decided to have a picnic, they got some bread and chips out of their walk-in what?

Which of the following is the best response to the question?

Choices:
A. supermarket
B. plastic bag
C. toaster
D. pantry
E. house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"If you see blinking lights in the air at night, what are you usually looking at?",lights,train-00000-of-00001,B,"Question:
If you see blinking lights in the air at night, what are you usually looking at?

Which of the following is the best response to the question?

Choices:
A. carnival
B. plane
C. concert
D. turned at night
E. a penguin's bum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"When learning about the world and different cultures, what is important if you are committed to eliminating preconceived notions",learning about world,validation-00000-of-00001,D,"Question:
When learning about the world and different cultures, what is important if you are committed to eliminating preconceived notions

Which of the following is the best response to the question?

Choices:
A. newness
B. loss of innocence
C. enlightenment
D. open mind
E. smartness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"John tried to gain money, but all of his attempts to improve himself only did what to his income?",gain,train-00000-of-00001,A,"Question:
John tried to gain money, but all of his attempts to improve himself only did what to his income?

Which of the following is the best response to the question?

Choices:
A. reduce
B. loss
C. waste
D. lost
E. lose weight

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
If I were to stand up and put my leg in front of the other leg repeatedly I would do what?,stand up,train-00000-of-00001,D,"Question:
If I were to stand up and put my leg in front of the other leg repeatedly I would do what?

Which of the following is the best response to the question?

Choices:
A. legs ached
B. have to say
C. move around
D. start walking
E. fall down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"He spent all work day at a computer, so he got a footstool for more comfort at his what?",footstool,train-00000-of-00001,A,"Question:
He spent all work day at a computer, so he got a footstool for more comfort at his what?

Which of the following is the best response to the question?

Choices:
A. desk
B. bathroom
C. shoe shop
D. family room
E. living room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Johnny was looking for blowfish in places that weren't near America.  Where would he look?,blowfish,train-00000-of-00001,E,"Question:
Johnny was looking for blowfish in places that weren't near America.  Where would he look?

Which of the following is the best response to the question?

Choices:
A. fish market
B. hawaiian waters
C. gulf of mexico
D. tropical sea
E. south pacific ocean

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
I want to make something that I put peanut butter and jelly on; what do I cook?,cook,train-00000-of-00001,D,"Question:
I want to make something that I put peanut butter and jelly on; what do I cook?

Which of the following is the best response to the question?

Choices:
A. open can
B. brown meat
C. add egg
D. bake bread
E. smoke salmon

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"The artists created an elaborate wood carving for the location, it was a spiritual experience for him working at a where?",wood,train-00000-of-00001,A,"Question:
The artists created an elaborate wood carving for the location, it was a spiritual experience for him working at a where?

Which of the following is the best response to the question?

Choices:
A. synagogue
B. carpet
C. street
D. tree
E. lumberyard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"Samantha was a person, but she wasn't comfortable with others.  She'd rather spend her time with what?",person,train-00000-of-00001,B,"Question:
Samantha was a person, but she wasn't comfortable with others.  She'd rather spend her time with what?

Which of the following is the best response to the question?

Choices:
A. headache
B. animal
C. many people
D. put together
E. own house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"The cows were enjoying the sunshine and solitude by the barn, where were they?",cows,train-00000-of-00001,D,"Question:
The cows were enjoying the sunshine and solitude by the barn, where were they?

Which of the following is the best response to the question?

Choices:
A. fairgrounds
B. countryside
C. on the moon
D. farmyard
E. give birth to dogs

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"If I am playing a xylophone with a large, amateur ensemble of young people, what am I a member of?",xylophone,train-00000-of-00001,C,"Question:
If I am playing a xylophone with a large, amateur ensemble of young people, what am I a member of?

Which of the following is the best response to the question?

Choices:
A. chef
B. abc book
C. high school band
D. orchestra
E. museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"They had checked out the shipwreck with robotic ones, but now it was time to send a human down in a what?",human,train-00000-of-00001,D,"Question:
They had checked out the shipwreck with robotic ones, but now it was time to send a human down in a what?

Which of the following is the best response to the question?

Choices:
A. rowboat
B. chair
C. school
D. submarine
E. internet cafe

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"The sloppy dad saw the random stuff in the kitchen, and didn't know where to put it, where did he decide to place it?",stuff,train-00000-of-00001,E,"Question:
The sloppy dad saw the random stuff in the kitchen, and didn't know where to put it, where did he decide to place it?

Which of the following is the best response to the question?

Choices:
A. anything
B. cupboard
C. michigan
D. table
E. cabinet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
Jane read all of the related literature before she went into the room to speak with the others. Where did she keep her literature?,literature,train-00000-of-00001,E,"Question:
Jane read all of the related literature before she went into the room to speak with the others. Where did she keep her literature?

Which of the following is the best response to the question?

Choices:
A. meeting
B. conference
C. public library
D. bag
E. shelf

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
A human wants to go shopping in a dense urban area.  Where might be a good place for a person to go shopping?,human,train-00000-of-00001,D,"Question:
A human wants to go shopping in a dense urban area.  Where might be a good place for a person to go shopping?

Which of the following is the best response to the question?

Choices:
A. detroit
B. elevator
C. workplace
D. downtown
E. mall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"If grass is given plenty of water and light, what will it do?",grass,train-00000-of-00001,D,"Question:
If grass is given plenty of water and light, what will it do?

Which of the following is the best response to the question?

Choices:
A. burn
B. changes color with seasons
C. turn brown
D. continue to grow
E. eat water

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where are tires are found on all of the vehicles found where you can travel long distances?,tires,train-00000-of-00001,A,"Question:
Where are tires are found on all of the vehicles found where you can travel long distances?

Which of the following is the best response to the question?

Choices:
A. airport
B. repair shop
C. car show
D. black
E. under the bed

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
The general apologized for the confusion that led to loss of soldiers' lives. so what was happening that cause the deaths?,confusion,train-00000-of-00001,C,"Question:
The general apologized for the confusion that led to loss of soldiers' lives. so what was happening that cause the deaths?

Which of the following is the best response to the question?

Choices:
A. germany
B. class
C. war
D. quandry
E. opera

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The woman was watching TV instead of going to the gym, what was she at risk of doing?",watching tv,train-00000-of-00001,B,"Question:
The woman was watching TV instead of going to the gym, what was she at risk of doing?

Which of the following is the best response to the question?

Choices:
A. entertainment
B. get fat
C. arguments
D. break couch
E. wasting time

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where would you put sunglasses if you do not have a shirt but want to bring the sunglasses with you?,sunglasses,train-00000-of-00001,B,"Question:
Where would you put sunglasses if you do not have a shirt but want to bring the sunglasses with you?

Which of the following is the best response to the question?

Choices:
A. in shoes
B. bag
C. shirt pocket
D. drugstore
E. glove compartment of car

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"A father was trying to teach his daughter to throw a football, she didn't want to and figured her dad wanted a what?",daughter,train-00000-of-00001,E,"Question:
A father was trying to teach his daughter to throw a football, she didn't want to and figured her dad wanted a what?

Which of the following is the best response to the question?

Choices:
A. son
B. brother
C. daughtercard
D. man
E. boy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
