ind,activity_label,ctx,answer,final_prompt,len_tk_llama3.1_8b_base
11376.0,Vacuuming floor,Two vacuums appear in a gray room. One of the vacuums disappears. A lady vacuums her house then empties the vacuum. the lady,C,"Context:
""Two vacuums appear in a gray room. One of the vacuums disappears. A lady vacuums her house then empties the vacuum. the lady""

Which of the following endings best completes the context?

Choices:
A. vacuums the floor then takes a vacuum to every cupboard and closet.
B. vacuums the floor then the kitchen floor.
C. puts the vacuum in a closet.
D. vacuums the floor then some of an item.

Reply with exactly one uppercase letter out of A, B, C, or D.
",118
23441.0,Roof shingle removal,We see men working on a roof on a ranch style house. We see the supplies on the ground. We see the men on the front part of the roof. we,C,"Context:
""We see men working on a roof on a ranch style house. We see the supplies on the ground. We see the men on the front part of the roof. we""

Which of the following endings best completes the context?

Choices:
A. see kids changing the settings of the camera.
B. see the hooves and how guns work.
C. see a man throwing shingles into a trailer on the ground.
D. see men again on the home side of the roof.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
2699.0,Hopscotch,"A little girl is standing in front of a hopscotch game in her living room. She jumps forward on each square, then turns and goes the other way. she",D,"Context:
""A little girl is standing in front of a hopscotch game in her living room. She jumps forward on each square, then turns and goes the other way. she""

Which of the following endings best completes the context?

Choices:
A. finally makes it to the end and walks back into her room.
B. continues kissing as she goes around and gets off each square.
C. passes another girl sitting down, and also goes the other way.
D. smiles and bows for the camera.

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
43295.0,Javelin throw,Various shots are shown of athletes holding a pole in their hands and leaning backwards. this,C,"Context:
""Various shots are shown of athletes holding a pole in their hands and leaning backwards. this""

Which of the following endings best completes the context?

Choices:
A. leads into numerous clips of people using poles and being pulled on water skis.
B. leads into clips of people pushing poles in a snowy field.
C. leads into several clips of more athletes throwing javelins off into the distance.
D. leads into them bumping into a beam and falling into it.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
30912.0,Playing piano,"An asian man is standing by the keyboard, he is wearing a red shirt with black top inside. two people, one girl and one boy",C,"Context:
""An asian man is standing by the keyboard, he is wearing a red shirt with black top inside. two people, one girl and one boy""

Which of the following endings best completes the context?

Choices:
A. are sitting behind the keyboard, playing.
B. , are playing loudly on the keyboard together.
C. are sitting, the girl is wearing a white top, while the boy is wearing a white stripe sweater.
D. are dancing and the keyboard man behind him thumbs the keyboard.

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
7522.0,Ice fishing,A boy is ice fishing on a frozen lake in the winter time. He pulls up a fish as his parents watch him pull it in. he,C,"Context:
""A boy is ice fishing on a frozen lake in the winter time. He pulls up a fish as his parents watch him pull it in. he""

Which of the following endings best completes the context?

Choices:
A. gets one and walks over for a bite.
B. fishes and catches small fish as well as many other fish before getting tired.
C. finally gets the fish up onto the ice and he sees that it is a really big catch.
D. reels the fish in and hugs it before walking away.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
36898.0,Raking leaves,A woman and a toddler pile dry dead leaves with rakes. then,B,"Context:
""A woman and a toddler pile dry dead leaves with rakes. then""

Which of the following endings best completes the context?

Choices:
A. the woman and toddler waddle sis the driveway for puttoir the leaves and stuff.
B. , the toddler jumps on the pile of leaves and spreads them.
C. , the woman begins swinging and a toddler light the sticks.
D. , a young boy throws dry leaves into the gutter of a house and a person pass close to the pile.

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
16308.0,Building sandcastles,A group of kids is building a moat filled with water around a sand castle. A little girl with floaters on pour water in the moat. we,D,"Context:
""A group of kids is building a moat filled with water around a sand castle. A little girl with floaters on pour water in the moat. we""

Which of the following endings best completes the context?

Choices:
A. see fireworks going off in the background as the kids continue to build.
B. see an opening title screen.
C. see children on the other side avoiding the water castle.
D. see kids across the beach working on their castles in the wet sand.

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
19857.0,Laying tile,"A cartoon man is painting on a wall. A real man appears in a partially prepared room, and begins talking about the tiled floor. he",A,"Context:
""A cartoon man is painting on a wall. A real man appears in a partially prepared room, and begins talking about the tiled floor. he""

Which of the following endings best completes the context?

Choices:
A. kneels onto the floor, measuring the tiles.
B. tries to cut a little of the surface, until he loses his balance and trips and falls down, taking pictures.
C. explains that tiles are used to wash dirty chairs and floors.
D. then proceeds to use paint on a tarp.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
16221.0,Slacklining,A person is seen close up walking on a rope and jumping. a man,B,"Context:
""A person is seen close up walking on a rope and jumping. a man""

Which of the following endings best completes the context?

Choices:
A. is shown on the rope jumping down into a pit.
B. speaks to the camera while showing more clips of people walking on a rope.
C. walks up the side of the rope pulling a fish off a boat.
D. pulls off the rope and his jump is shown again several more times while other people watch on the side.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
38443.0,Vacuuming floor,The girl gets up and walks into another room. The girls shines a light on a roach on he wall and she dances with the flashlight. the man,A,"Context:
""The girl gets up and walks into another room. The girls shines a light on a roach on he wall and she dances with the flashlight. the man""

Which of the following endings best completes the context?

Choices:
A. sucks up the roach in a vacuum as the kids watch.
B. reaches across the bed to touch the girl.
C. keeps walking as the girl dances with him.
D. sweeps the floor in front of them singing in praise of the girl.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
20797.0,Cleaning sink,She pours cleaner in a sink and describes some cleaning tools. She puts a powder in the sink and squeezes a lemon over the powder. she,C,"Context:
""She pours cleaner in a sink and describes some cleaning tools. She puts a powder in the sink and squeezes a lemon over the powder. she""

Which of the following endings best completes the context?

Choices:
A. rubs the lemon juice into a plastic bottle.
B. pours water in the sink and sautes you well in a pot.
C. pours a liquid over that and scrubs with a brush.
D. then shows the lemons and leaves it in the sink.

Reply with exactly one uppercase letter out of A, B, C, or D.
",118
34949.0,Dodgeball,A countdown is shown followed by a woman catching balls thrown at her. The number counts down more and shows more clips of women playing dodgeball. several more numbers,C,"Context:
""A countdown is shown followed by a woman catching balls thrown at her. The number counts down more and shows more clips of women playing dodgeball. several more numbers""

Which of the following endings best completes the context?

Choices:
A. are shown and shows more text showing different clips.
B. are shown on the scoreboard and one of them has a directory.
C. and clips are shown ending with people performing impressive throws.
D. are shown as well as more clips of women hitting dodgeballs.

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
16679.0,Playing badminton,The opposing team players miss a shot causing the other team to win. The winning team player serves the shuttlecock to the opponent who returns the serve swiftly. the team,A,"Context:
""The opposing team players miss a shot causing the other team to win. The winning team player serves the shuttlecock to the opponent who returns the serve swiftly. the team""

Which of the following endings best completes the context?

Choices:
A. continue playing as they keep score of their match.
B. wins the round and the audience cheers.
C. player celebrates and waves their trophy.
D. player poses on front the camera and the other team team player with the shuttlecock returns it.

Reply with exactly one uppercase letter out of A, B, C, or D.
",118
36080.0,Making a sandwich,A woman is seen working at a table and at a sink. She is washing vegetables in water. she,D,"Context:
""A woman is seen working at a table and at a sink. She is washing vegetables in water. she""

Which of the following endings best completes the context?

Choices:
A. tries again and she also dips a utensil into the water and washes to the top of her head.
B. continues to wash and rinse the vegetables and pours it into a large bowl.
C. then mixes eggs with water and pours them into the sink.
D. then cuts them up, creating a dressing and a salad.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
38212.0,Playing bagpipes,A man is seen speaking to the camera while holing bagpipes and the camera pans around to other people laughing. the man,B,"Context:
""A man is seen speaking to the camera while holing bagpipes and the camera pans around to other people laughing. the man""

Which of the following endings best completes the context?

Choices:
A. continues speaking and walking back towards the main group and leads into him playing the bagpipes.
B. then begins playing the instrument while others watch on the sides.
C. continues speaking to the camera and pointing out objects in the air.
D. speaks and pans around more and the man continues talking.

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
43033.0,Slacklining,An introduction comes onto the screen for a video about a sporting competition. A woman is interviewing another woman about the competition and all the events. several clips,C,"Context:
""An introduction comes onto the screen for a video about a sporting competition. A woman is interviewing another woman about the competition and all the events. several clips""

Which of the following endings best completes the context?

Choices:
A. are shown of road trips and people gearing up for a sporting event.
B. are shown of events presented and the pay to play.
C. are shown of people enjoying different sports and activities.
D. are shown of women playing cricket, aerial events and and such.

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
47396.0,Horseback riding,A close up of a horse is seen as well as a person's hands. The person rides the horse past several cars and people. the person,A,"Context:
""A close up of a horse is seen as well as a person's hands. The person rides the horse past several cars and people. the person""

Which of the following endings best completes the context?

Choices:
A. continues riding the horse around the public area.
B. then lays down in the dirt and turns off the camera.
C. rides through landscapes and end by riding the horse to the edge of the the dirt.
D. continues riding around the area and continues to untie the horse.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
21381.0,Making a sandwich,Sandwiches are displayed in a slideshow. a person,A,"Context:
""Sandwiches are displayed in a slideshow. a person""

Which of the following endings best completes the context?

Choices:
A. spreads mustard sauce on slices of bread, then the person put on top swiss cheese, jam, sauerkraut and a slice of bread on top.
B. wrap a piece of bread in red paper then carve a sandwich.
C. demonstrates how to grind example flour and ppk it into bowls.
D. is mixing ingredients into a pot.

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
46930.0,Wakeboarding,The wakeboarder does front and back flips in the air and sometimes lands in water but gets right back on the board. he,D,"Context:
""The wakeboarder does front and back flips in the air and sometimes lands in water but gets right back on the board. he""

Which of the following endings best completes the context?

Choices:
A. falls down and has to go back to the water again.
B. gets back on the board with his paddle and goes back in the water.
C. enjoy his time on the water and land by a small waterfall.
D. continues to wakeboard as the people in the motorboat smile and wave at him.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
4024.0,Rock-paper-scissors,They show replays of him jumping on the rake. The other guy then jumps on the rake. They once again show replays. all four,B,"Context:
""They show replays of him jumping on the rake. The other guy then jumps on the rake. They once again show replays. all four""

Which of the following endings best completes the context?

Choices:
A. guys jump onto each other's backs and do a back flip onto the grass.
B. are once again talking in front of the camera.
C. of the guys lob the rake while one chases after another.
D. men are on the same rake at the same time.

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
32271.0,Using uneven bars,A gymnast is seen swinging around on a bar doing various flips and tricks across two sets of beams. she,A,"Context:
""A gymnast is seen swinging around on a bar doing various flips and tricks across two sets of beams. she""

Which of the following endings best completes the context?

Choices:
A. continues spinning around and ends with her hands up and her coach clapping.
B. finally climbs up onto the beams and begins performing various flips and tricks over and over.
C. dismounts, walking away and going back to her spot jumping onto the bars.
D. jumps off and does several flips across a beam several more times.

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
38922.0,Rope skipping,The male then starts doing flips and rolls across the floor and continues doing a series of jumps. near the end,C,"Context:
""The male then starts doing flips and rolls across the floor and continues doing a series of jumps. near the end""

Which of the following endings best completes the context?

Choices:
A. the man gives a final laugh before walking off the stage.
B. of his dismount he also joins the first man.
C. , he does a split, nods to the judges and looks at the screen for his score.
D. of each round the exercise is repeated to get the hang of it.

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
30443.0,Playing water polo,People are playing a game of water polo in a swimming pool. A woman standing on the side of the pool is talking to the camera. a man,C,"Context:
""People are playing a game of water polo in a swimming pool. A woman standing on the side of the pool is talking to the camera. a man""

Which of the following endings best completes the context?

Choices:
A. is old and is talking to the camera.
B. in blue shirt is talking to the camera in a basketball court while people are playing pool.
C. blows a whistle on the side of the swimming pool.
D. ties his shoes in the pool.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
8396.0,Plataform diving,"Two women are preparing to do dives into a large pool. They walk forward, pose, then backflip into the pool. they",A,"Context:
""Two women are preparing to do dives into a large pool. They walk forward, pose, then backflip into the pool. they""

Which of the following endings best completes the context?

Choices:
A. then get out and stand to the side, smiling and hugging at their good scores.
B. both smile and jump up, almost hitting the camera.
C. stand blathering, then start to dive into the pool.
D. stand up at the end of a diving board.

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
19313.0,Blow-drying hair,A woman sits in a barber chair and speaks to the camera. She then goes to a mirror and uses various products on her hair. she,D,"Context:
""A woman sits in a barber chair and speaks to the camera. She then goes to a mirror and uses various products on her hair. she""

Which of the following endings best completes the context?

Choices:
A. then burries and styles her hair.
B. mixes and styles the hair.
C. sprays something on the side of her head and then we see her in a ponytail.
D. then brushes and blows it dry before turning to the camera and speaking some more.

Reply with exactly one uppercase letter out of A, B, C, or D.
",118
47812.0,Tango,"A large chandelier sparkles over a stage. People in black clothing appear, backs turned. A woman lifts a crown, then the man starts dancing. she",B,"Context:
""A large chandelier sparkles over a stage. People in black clothing appear, backs turned. A woman lifts a crown, then the man starts dancing. she""

Which of the following endings best completes the context?

Choices:
A. then walks clapping, while the band plays.
B. joins him, and they dance exuberantly for the crowd.
C. raise the crown, then lifts it over her head.
D. swings back and forth, throwing the crown in the air.

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
17275.0,Drum corps,Marching band wering red uniforms are in street playing drums and doing a choreography. Behind the band kids walking in circles are doing a choreography. kids,C,"Context:
""Marching band wering red uniforms are in street playing drums and doing a choreography. Behind the band kids walking in circles are doing a choreography. kids""

Which of the following endings best completes the context?

Choices:
A. show side by side shaking their hands.
B. walking down to the stage holding hand stands on the stairs and just standing around.
C. are sitting on the sidewalk looking at them.
D. wandering around in the street around him walking around.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
31727.0,Calf roping,The man jumps from his horse and runs over and ties up the calf. The man gets up and walks back to get on his horse. several men,D,"Context:
""The man jumps from his horse and runs over and ties up the calf. The man gets up and walks back to get on his horse. several men""

Which of the following endings best completes the context?

Choices:
A. stop to watch him do his tricks.
B. are then shown in the field riding horses and trying to capture the calf one by one.
C. ride horses carrying water buckets.
D. run over to free the calf as it gets up and runs away.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
4061.0,Using the pommel horse,A gymnast is seen standing before a large beam and putting his hands up in the air. he,D,"Context:
""A gymnast is seen standing before a large beam and putting his hands up in the air. he""

Which of the following endings best completes the context?

Choices:
A. jumps at the end and runs towards a beam with arms up before jumping up and down.
B. then begins moving back and fourth while the camera follows him.
C. then springs down and onto the beam several times in slow motion.
D. then performs a gymnasts routine while swinging himself all around the bar and ends by jumping down.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
556.0,Roof shingle removal,A technician walks along a roof and sprays it using a wand attached to a hose. the man,D,"Context:
""A technician walks along a roof and sprays it using a wand attached to a hose. the man""

Which of the following endings best completes the context?

Choices:
A. then bags a carpet of some sort and sprays it on the roof.
B. then uses a vacuum and begin vacuuming the floor on the the roof.
C. removes hoses and shakes the roof and cleans the wooden wall.
D. turns off his hose then walks along the peak of the roof.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
5343.0,Baking cookies,"A white bowl is filled with sugar, eggs, and peanut butter, then blended. He presses balls of cookie dough onto a pan and bakes them. he",B,"Context:
""A white bowl is filled with sugar, eggs, and peanut butter, then blended. He presses balls of cookie dough onto a pan and bakes them. he""

Which of the following endings best completes the context?

Choices:
A. adds a few sprinkles to the pan.
B. eats one of the cookies for the camera while he talks about them.
C. then cuts up two slices and puts them onto a plate.
D. covers the cookies with tin foil, followed by baking soda.

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
31041.0,Kneeling,A man is seen speaking to the camera while holding up a foam rubber mat. the camera,D,"Context:
""A man is seen speaking to the camera while holding up a foam rubber mat. the camera""

Which of the following endings best completes the context?

Choices:
A. pans all around the holding the foam rubber and ends with the man putting it on his head.
B. then follows a tube and leads into the fabric of a mat.
C. then follows his movements while the man twists and turns the foam rubber on.
D. pans around more mats laying out while the man still speaks to the camera.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
989.0,Playing violin,A woman is playing a violin on the street while various people walk around here and behind her. she,C,"Context:
""A woman is playing a violin on the street while various people walk around here and behind her. she""

Which of the following endings best completes the context?

Choices:
A. continues to play violin while people pass by her.
B. continues playing the violin and beginning to intermittently move the sticks up and down.
C. smiles into the camera while playing and continues playing the song while several people bend down to tip her and walk around her.
D. finishes and walks off, leaving the violin lying on the ground.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
36244.0,Making a cake,A woman is standing in a kitchen surrounded by floating images of foods. She is then shown with several baking ingredients. she,B,"Context:
""A woman is standing in a kitchen surrounded by floating images of foods. She is then shown with several baking ingredients. she""

Which of the following endings best completes the context?

Choices:
A. presses tins of baking soda into a sink, and mixed with foam.
B. mixes the ingredients together and makes a bundt cake.
C. dumps the contents of a baking tube onto a white plate.
D. pours the ingredients in the pot, another woman is shown and hugs her.

Reply with exactly one uppercase letter out of A, B, C, or D.
",118
49513.0,Arm wrestling,Two men are doing hand wrestling competition on front other people. A person takes pictures of the wrestling competition. then,A,"Context:
""Two men are doing hand wrestling competition on front other people. A person takes pictures of the wrestling competition. then""

Which of the following endings best completes the context?

Choices:
A. , a man approaches an put the hands of the men in the center, until one the men win the competition.
B. , the other man does the two hand wrestles.
C. , the men fight again and the judges take photos.
D. , the man and man start out and fight each other in the ring.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
188.0,Sharpening knives,He then notices a little black and green poisonous frog sitting next to him. The frog then escapes and jumps away. he,C,"Context:
""He then notices a little black and green poisonous frog sitting next to him. The frog then escapes and jumps away. he""

Which of the following endings best completes the context?

Choices:
A. sits and hugs another man and also adjusts his camera.
B. then sits there staring at his text machine as if he has actually been given a gift from god.
C. explains how the frog secretes a poisonous fluid that can be extremely harmful.
D. takes the frog on his hand and tickles the back of it.

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
30305.0,Wrapping presents,"A person holds a ring in a small box. Then, the man wraps the box with gift paper. after",C,"Context:
""A person holds a ring in a small box. Then, the man wraps the box with gift paper. after""

Which of the following endings best completes the context?

Choices:
A. , the man wraps the gift with gift paper.
B. , the man bow the box to show his outfit.
C. , the man tries to find the end of a scotch tape roll, but he cannot find it.
D. , the person put paper of paper, then the man hang the circuit of the christmas tree.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
15403.0,Tennis serve with ball bouncing,. a man in a red shirt at an outdoor tennis court,C,"Context:
"". a man in a red shirt at an outdoor tennis court""

Which of the following endings best completes the context?

Choices:
A. of some sort throws a ball at a yellow ball, the yellow ball rolls into the net and the man and woman run to retrieve the ball.
B. says something to the camera and does some hand motions at the black object on the court.
C. is giving a tutorial on to return a serve and how to hold the racket.
D. does volley tennis and serves the ball.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
42502.0,Playing pool,A person is seen making a drink close up followed by him speaking to others on a mountain. more shots,A,"Context:
""A person is seen making a drink close up followed by him speaking to others on a mountain. more shots""

Which of the following endings best completes the context?

Choices:
A. are shown of the man having a drink as well as speaking to others.
B. are shown of people riding down the mountain at varying heights.
C. are shown of people riding down the mountain while more are seen riding up.
D. are shown of the people riding down the mountain and speaking the whole time.

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
11774.0,Doing kickboxing,There is another person standing in the same room who is video taping them fight. the boxer in the red shorts,C,"Context:
""There is another person standing in the same room who is video taping them fight. the boxer in the red shorts""

Which of the following endings best completes the context?

Choices:
A. walks towards the mirror and helps the winner stand up on the floor.
B. is doing the same moves with his right hand while the other guy is doing the same thing with his left.
C. punches the boxer in the black shorts.
D. is on his knees, jumping he arms.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
49720.0,Polishing forniture,"A man is seen in a workshop standing at a table. He shows a piece of wood, and begins to strip it with fluid. he",D,"Context:
""A man is seen in a workshop standing at a table. He shows a piece of wood, and begins to strip it with fluid. he""

Which of the following endings best completes the context?

Choices:
A. uses an iron pedal if it is sore and slowly applies to the wood, and then he shows another machine.
B. then shows different tools in the dark.
C. continues use to sharpen the knife and point at the pieces of wood.
D. then polishes it to a deep sheen.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
7378.0,Elliptical trainer,Different people are shown using the elliptical and the various features are shown and demonstrated. Finally the brand and model are shown again with the same girl from the beginning. then the screen,C,"Context:
""Different people are shown using the elliptical and the various features are shown and demonstrated. Finally the brand and model are shown again with the same girl from the beginning. then the screen""

Which of the following endings best completes the context?

Choices:
A. shifts and shows presentation of the finished product.
B. goes black and save contains a website address.
C. goes black for the rest of the video.
D. changes to a logo with the logo in the middle and by itself looking very different.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
27520.0,Making a cake,Then the little boy adds some raw eggs to the flour. The little girl in the middle stirs the mixture in circular motion. then she,C,"Context:
""Then the little boy adds some raw eggs to the flour. The little girl in the middle stirs the mixture in circular motion. then she""

Which of the following endings best completes the context?

Choices:
A. cuts up some mangos and puts them into a bowl with the egg.
B. goes to a mixing bowl to add more eggs in it many times.
C. adds some melted butter to the mixture and stirs it again.
D. scoops as around the pan and dumps around the dough.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
4486.0,Washing face,A woman with her hair up in a towel introduces her video showing how she washes her face. she,B,"Context:
""A woman with her hair up in a towel introduces her video showing how she washes her face. she""

Which of the following endings best completes the context?

Choices:
A. shows off her hard face while she talks about it.
B. applies a moisturizer to her face while dancing around.
C. begins with the nose section, covered with bumps and then applies a toothbrush and a gel to shave.
D. places lipstick on her lips and smears it on her cheek.

Reply with exactly one uppercase letter out of A, B, C, or D.
",118
5597.0,Fixing bicycle,A man is seen speaking to the camera and pointing all around a bike. Several close ups of a bike are shown with a person adjusting the sides with a screwdriver. the person,D,"Context:
""A man is seen speaking to the camera and pointing all around a bike. Several close ups of a bike are shown with a person adjusting the sides with a screwdriver. the person""

Which of the following endings best completes the context?

Choices:
A. adjusts more and demonstrates how to properly drive the bike.
B. moves around the bike with it's wheels up slowly.
C. then reinforces a wheel on the bike.
D. continues to check the specs on a bike and ends by laughing and speaking to the camera.

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
7797.0,Powerbocking,"A person is seen down a path, wearing a pair of stilts. they",A,"Context:
""A person is seen down a path, wearing a pair of stilts. they""

Which of the following endings best completes the context?

Choices:
A. walk very slowly up the gravel path on the stilts, trying to keep their balance.
B. run along a game of hop scotch together, jumping over hanging decorations.
C. play a game of tug of war, pushing the other person down the path.
D. run down the path, chasing a red ball.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
17512.0,Playing guitarra,A man is seated inside a building. He is playing a guitar in front of a drum set. he,D,"Context:
""A man is seated inside a building. He is playing a guitar in front of a drum set. he""

Which of the following endings best completes the context?

Choices:
A. alternates to the back and forth.
B. drums steadily, moving the sticks back and forth as he plays the song.
C. begins to play the guitar with two hands over a small microphone attached to his waist and another guitarist behind him playing a song on stage.
D. is talking as he continues to play.

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
41697.0,Beer pong,"Men explains the game beer pong, while people compete in the tournament. Two person wears funny clothes and white wigs. several people",C,"Context:
""Men explains the game beer pong, while people compete in the tournament. Two person wears funny clothes and white wigs. several people""

Which of the following endings best completes the context?

Choices:
A. play beer pong in the tournament and people celebrate.
B. slowly walk playing beer pong using small balls, and people standing around watching.
C. compete beer pong in a table full of cups with beer, then one person wins and people congratulates the winner.
D. celebrate and talk and drink beer.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
