question,subject,split,answer,final_prompt,len_tk_mistral_7b_instruct
Emil wants to find out the most popular football team at a game between the home team and the visiting team. Which of the following methods will give him the most accurate results?,elementary_mathematics,test-00000-of-00001,C,"Emil wants to find out the most popular football team at a game between the home team and the visiting team. Which of the following methods will give him the most accurate results?

Choices:
A. surveying the cheerleaders for the home team
B. surveying people wearing hats for the visiting team
C. surveying a group of people standing in line for tickets
D. surveying people who do not live in the home team’s city

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
Which of the following is an example of devolution?,high_school_government_and_politics,test-00000-of-00001,A,"Which of the following is an example of devolution?

Choices:
A. Allowing states to decide how to meet federally mandated greenhouse gas emissions targets
B. A ""race to the bottom"" in which states compete with one another to have the fewest environmental regulations
C. A state that legalizes marijuana possession in conflict with federal law
D. A state being prevented from implementing a fuel efficiency standard that is more stringent than that set by the federal government

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
Which of the following statements is not correct about lipids?,high_school_biology,test-00000-of-00001,D,"Which of the following statements is not correct about lipids?

Choices:
A. Lipids consist of fatty acids and glycerol.
B. Steroids are examples of lipids.
C. The molecules of a saturated fatty acid are packed so close together that they form a solid at room temperature.
D. The head of a phospholipid is hydrophobic, and the tails are hydrophilic.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
"Select the single most accurate statement about the absorptive area of the human intestine?
",nutrition,test-00000-of-00001,B,"Select the single most accurate statement about the absorptive area of the human intestine?


Choices:
A. The absorptive area is equivalent to that of a tennis court
B. All of the options given are correct
C. Changes in motility increase the contact time between nutrients and absorptive surface
D. The presence of folds, villi and microvilli on the surface of enterocytes magnifies the absorptive area

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
The false analogy fallacy is,logical_fallacies,test-00000-of-00001,D,"The false analogy fallacy is

Choices:
A. a specific type of false cause fallacy that argues that since two event happened at the same time one event must have caused the other
B. arguing that an event that preceded another event necessarily is the cause of the second event
C. arguing that since something is new it is necessarily good
D. drawing a conclusion based on a comparison when the items being compared are not similar enough to support the conclusion.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
A malignant tumour is damaging the patient's glossopharyngeal nerve. They will experience,anatomy,test-00000-of-00001,C,"A malignant tumour is damaging the patient's glossopharyngeal nerve. They will experience

Choices:
A. loss of taste over the anterior two-thirds of the tongue.
B. loss of somaesthetic sensation over the anterior two thirds of the tongue.
C. loss of taste and somaesthetic sensation over the posterior third of the tongue.
D. paralysis of the muscles of the tongue.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
Economics is best described as,high_school_microeconomics,test-00000-of-00001,C,"Economics is best described as

Choices:
A. the study of how scarce material wants are allocated between unlimited resources.
B. the study of how scarce labor can be replaced by unlimited capital.
C. the study of how decision makers choose the best way to satisfy their unlimited material wants with a scarce supply of resources.
D. the study of how unlimited material wants can best be satisfied by allocating limitless amounts of productive resources.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
Appeal to authority involves,logical_fallacies,validation-00000-of-00001,C,"Appeal to authority involves

Choices:
A. arguing that a claim should be accepted based only on the evidence that prestigious people accept it
B. arguing that small changes will lead to significant effects, when there is no evidence the effects will be that significant
C. arguing that a claim should be accepted based only on the evidence that an authority figure agrees with it
D. reasoning that a claim must be true based only on the evidence that it has been claimed quite often

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"My name is Mimi. I'm black and white. I like sitting on the chair in the sun in winter. Do you know my favorite food? It is fish. I don't like apples. I can climb trees. I can sing "" Miao, miao"". What am I? Can you guess? What color is Mimi?",,auxiliary_train-00000-of-00001,C,"My name is Mimi. I'm black and white. I like sitting on the chair in the sun in winter. Do you know my favorite food? It is fish. I don't like apples. I can climb trees. I can sing "" Miao, miao"". What am I? Can you guess? What color is Mimi?

Choices:
A. Black.
B. White.
C. Black and white.
D. Red

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"Good morning! I'm Mike Brown. I am an English boy. My telephone number is five-four-five-zero-six-seven-eight. This is my room  . The quilt is blue. In the room, there are books  , a computer   and a pencil box  . What color is Mike's quilt?",,auxiliary_train-00000-of-00001,D,"Good morning! I'm Mike Brown. I am an English boy. My telephone number is five-four-five-zero-six-seven-eight. This is my room  . The quilt is blue. In the room, there are books  , a computer   and a pencil box  . What color is Mike's quilt?

Choices:
A. white.
B. green.
C. yellow.
D. blue.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
A cross between two true breeding lines one with dark blue flowers and one with bright white flowers produces F1 offspring that are light blue. When the F1 progeny are selfed a 1:2:1 ratio of dark blue to light blue to white flowers is observed. What genetic phenomenon is consistent with these results?,medical_genetics,test-00000-of-00001,B,"A cross between two true breeding lines one with dark blue flowers and one with bright white flowers produces F1 offspring that are light blue. When the F1 progeny are selfed a 1:2:1 ratio of dark blue to light blue to white flowers is observed. What genetic phenomenon is consistent with these results?

Choices:
A. epistasis
B. incomplete dominance
C. codominance
D. inbreeding depression

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"Select the best translation into predicate logic: If Delilah is in New York City, then Juana is in Bogota or Layla is in San Juan.",formal_logic,test-00000-of-00001,D,"Select the best translation into predicate logic: If Delilah is in New York City, then Juana is in Bogota or Layla is in San Juan.

Choices:
A. Nd ⊃ (Bj • Sl)
B. Dn ≡ (Bx • Ly)
C. Nd ≡ (Bj • Sl)
D. Nd ⊃ (Bj ∨ Sl)

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
Fossils of clam shells were found in the Appalachian Mountains. Which of these statements best explains why the clam shells were found in the Appalachian Mountains?,,auxiliary_train-00000-of-00001,A,"Fossils of clam shells were found in the Appalachian Mountains. Which of these statements best explains why the clam shells were found in the Appalachian Mountains?

Choices:
A. The mountain range was once under water.
B. Birds flying overhead dropped the clam shells.
C. Animals released the clam shells in their waste.
D. The clams lived on land before moving to water.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
 To say that an action is intrinsically permissible (a feature mentioned in the doctrine of double effect) is to say that,moral_disputes,test-00000-of-00001,A," To say that an action is intrinsically permissible (a feature mentioned in the doctrine of double effect) is to say that

Choices:
A. the action, apart from its effects, is morally permissible.
B. the action, only because of its effects, is morally permissible.
C. no actual person would ever endorse that action.
D. the action is valuable because of its relationship to things that are intrinsically valuable.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
"Soft positivism accepts that the rule of recognition may include moral criteria.'
Which proposition below is the most inconsistent with this description?",jurisprudence,validation-00000-of-00001,D,"Soft positivism accepts that the rule of recognition may include moral criteria.'
Which proposition below is the most inconsistent with this description?

Choices:
A. Incorporationism' accepts that judges may decide cases by reference to moral factors.'
B. A soft positivist rejects the role of morality in the description of law.
C. Sometimes the definition of law includes moral considerations.
D. Judges lack strong discretion.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
"Two traveling waves of equal frequency, one of amplitude 4 cm and the other of amplitude 6 cm, superimpose in a single medium. Which of the following best describes the displacement, D, of the resultant wave?",high_school_physics,test-00000-of-00001,A,"Two traveling waves of equal frequency, one of amplitude 4 cm and the other of amplitude 6 cm, superimpose in a single medium. Which of the following best describes the displacement, D, of the resultant wave?

Choices:
A. 2 cm ≤ D ≤ 10 cm
B. D = 5 cm
C. D = 10 cm
D. 10 cm ≤ D ≤ 12 cm

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
"In the process of generating ATP, hydrogen ions (H+, or protons) are transported across the inner mitochondrial membrane and the thylakoid membrane by a proton pump (an ATPase). You would expect to find similar proton pumps in the plasma membranes of",high_school_biology,test-00000-of-00001,A,"In the process of generating ATP, hydrogen ions (H+, or protons) are transported across the inner mitochondrial membrane and the thylakoid membrane by a proton pump (an ATPase). You would expect to find similar proton pumps in the plasma membranes of

Choices:
A. bacteria
B. mammalian muscle cells
C. mammalian nerve cells
D. plants and fungi

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
The fallacy of reducing to an absurdity consists of,logical_fallacies,validation-00000-of-00001,A,"The fallacy of reducing to an absurdity consists of

Choices:
A. characterizing an opponent's position in such a way to make it or its consequences appear to be ridiculous
B. responding to charges of wrongdoing by saying the accuser or others do something equally bad
C. arguing someone should do something only because it will make that person better liked by others
D. arguing that an idea should be accepted or disregarded only because of it source

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
What does the doctrine of incorporation suggest in respect of treaties?,international_law,test-00000-of-00001,D,"What does the doctrine of incorporation suggest in respect of treaties?

Choices:
A. The doctrine of incorporation requires that all treaties undergo legislative transformation before they become domestic law
B. The doctrine of incorporation does not require any further action at the domestic level
C. The doctrine of incorporation treats treaties as inferior to domestic law
D. The doctrine of incorporation suggests that ratified treaties automatically pass into the sphere of domestic law

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
"It's summer movie time again.And heroes are ready to try their strength and magic on the silver screen.Check out our list of four films that look most promising to young audience. According to the passage, if you want to see a film whose leading actor is Jackie Chan, you will see the film on    _   .",,auxiliary_train-00000-of-00001,B,"It's summer movie time again.And heroes are ready to try their strength and magic on the silver screen.Check out our list of four films that look most promising to young audience. According to the passage, if you want to see a film whose leading actor is Jackie Chan, you will see the film on    _   .

Choices:
A. June 4
B. June 16
C. June 30
D. July 7

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
 Select the best translation into predicate logic: No senior graduates without a major.,formal_logic,test-00000-of-00001,A," Select the best translation into predicate logic: No senior graduates without a major.

Choices:
A. (∀x)(Sx ⊃ ~Gx)
B. ~(∀x)(Sx ⊃ Gx)
C. (∀x)( ~Sx ⊃ ~Gx)
D. (∀x) ~(Sx ⊃ ~Gx)

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
"The average number of calories in Yum-Yum Good candy bars is 210, with a standard deviation of 10. If the number of calories per candy bar is normally distributed, what percent of candy bars contain more than 225 calories?",high_school_statistics,test-00000-of-00001,D,"The average number of calories in Yum-Yum Good candy bars is 210, with a standard deviation of 10. If the number of calories per candy bar is normally distributed, what percent of candy bars contain more than 225 calories?

Choices:
A. 66.80%
B. 47.70%
C. 43.30%
D. 6.68%

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"Good morning! I'm Mike Brown. I am an English boy. My telephone number is five-four-five-zero-six-seven-eight. This is my room  . The quilt is blue. In the room, there are books  , a computer   and a pencil box  . Mike is  _  .",,auxiliary_train-00000-of-00001,B,"Good morning! I'm Mike Brown. I am an English boy. My telephone number is five-four-five-zero-six-seven-eight. This is my room  . The quilt is blue. In the room, there are books  , a computer   and a pencil box  . Mike is  _  .

Choices:
A. a Chinese boy
B. an English boy
C. an English girl
D. a Chinese girl

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
Darla and Janice are two moms raising a son Timmy. Which of the following most likely characterizes Timmy?,human_sexuality,test-00000-of-00001,C,"Darla and Janice are two moms raising a son Timmy. Which of the following most likely characterizes Timmy?

Choices:
A. He will probably grow up to be gay.
B. He will not be popular with his peers.
C. As long as Timmy has at least one supportive and accepting caregiver he will have a healthy development.
D. His social skills will lag behind his peers who are raised in heterosexual families.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
What is the molar mass of a monoprotic weak acid that requires 26.3 mL of 0.122 M KOH to neutralize 0.682 gram of the acid?,high_school_chemistry,test-00000-of-00001,A,"What is the molar mass of a monoprotic weak acid that requires 26.3 mL of 0.122 M KOH to neutralize 0.682 gram of the acid?

Choices:
A. 212 g mol-1
B. 4.70 g mol-1
C. 147 g mol-1
D. 682 g mol-1

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
"Bob writes down a number between 1 and 1,000. Mary must identify that number by asking ""yes/no"" questions of Bob. Mary knows that Bob always tells the truth. If Mary uses an optimal strategy, then she will determine the answer at the end of exactly how many questions in the worst case?",college_computer_science,test-00000-of-00001,D,"Bob writes down a number between 1 and 1,000. Mary must identify that number by asking ""yes/no"" questions of Bob. Mary knows that Bob always tells the truth. If Mary uses an optimal strategy, then she will determine the answer at the end of exactly how many questions in the worst case?

Choices:
A. 1,000
B. 999
C. 500
D. 10

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
Scientists claim that the area around the Grand Canyon was once covered by an ocean. What evidence would support their claim?,,auxiliary_train-00000-of-00001,C,"Scientists claim that the area around the Grand Canyon was once covered by an ocean. What evidence would support their claim?

Choices:
A. Dinosaur footprints were found near the Grand Canyon.
B. Fish were found living in the rivers of the Grand Canyon.
C. Fossils of ocean animals were found at the Grand Canyon.
D. Bones from desert animals were found at the Grand Canyon.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"Baron admits that the versions of the ticking bomb hypothetical she discusses are ""stunningly stupid,"" but she claims this is actually evidence of",moral_disputes,dev-00000-of-00001,D,"Baron admits that the versions of the ticking bomb hypothetical she discusses are ""stunningly stupid,"" but she claims this is actually evidence of

Choices:
A. the stupidity of most traditional philosophical examples.
B. a general lack of intelligence among people with advanced degrees.
C. the wrongness of torture.
D. the readiness on the part of many intelligent people to see torture as the best solution to deal with terrorism.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"Let S, T, and U be nonempty sets, and let f: S -> T and g: T -> U be functions such that the function g ∘ f : S -> U is one-to-one (injective). Which of the following must be true?",college_mathematics,validation-00000-of-00001,A,"Let S, T, and U be nonempty sets, and let f: S -> T and g: T -> U be functions such that the function g ∘ f : S -> U is one-to-one (injective). Which of the following must be true?

Choices:
A. f is one-to-one.
B. f is onto.
C. g is one-to-one.
D. g is onto.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect?,high_school_biology,test-00000-of-00001,A,"Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect?

Choices:
A. a deletion of a single nucleotide
B. a deletion of a nucleotide triplet
C. a single nucleotide substitution of the nucleotide occupying the first codon position
D. a single nucleotide substitution of the nucleotide occupying the third codon position

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
In what way is Responsibility to Protect (R2P) different from humanitarian intervention?,international_law,test-00000-of-00001,C,"In what way is Responsibility to Protect (R2P) different from humanitarian intervention?

Choices:
A. R2P is essentially the same as humanitarian intervention
B. R2P requires a call for assistance by the State in distress
C. R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis
D. R2P always involves armed force, whereas humanitarian intervention does not

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
A financial planner on a popular TV show convinces more Americans to save for retirement. What is the result on the supply and demand for loanable funds?,high_school_macroeconomics,test-00000-of-00001,C,"A financial planner on a popular TV show convinces more Americans to save for retirement. What is the result on the supply and demand for loanable funds?

Choices:
A. The supply curve would shift up increasing the equilibrium interest rate.
B. The demand curve would shift up increasing the equilibrium interest rate.
C. The supply curve would shift down decreasing the equilibrium interest rate.
D. The demand curve would shift down decreasing the equilibrium interest rate.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
I have six baskets. Three are big . Three are small . I have some pears and some oranges . I put three pears in each big basket and four oranges in each small basket . The number of oranges is my age . ---Where are the pears ?  ----They are in,,auxiliary_train-00000-of-00001,A,"I have six baskets. Three are big . Three are small . I have some pears and some oranges . I put three pears in each big basket and four oranges in each small basket . The number of oranges is my age . ---Where are the pears ?  ----They are in

Choices:
A. the three big baskets
B. the three small baskets
C. a big basketball
D. a small basket

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
 The question of whether the killing/letting die distinction is morally relevant can be posed by asking whether we are equally to blame for allowing people in Third World countries to starve as we would be for,moral_disputes,test-00000-of-00001,A," The question of whether the killing/letting die distinction is morally relevant can be posed by asking whether we are equally to blame for allowing people in Third World countries to starve as we would be for

Choices:
A. killing them by sending poisoned food.
B. refusing to give them the money they need to purchase food.
C. withholding medicine that they need to survive.
D. depriving them of knowledge they need to produce food.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
Which of the following statements is true of the temporomandibular joint?,anatomy,test-00000-of-00001,D,"Which of the following statements is true of the temporomandibular joint?

Choices:
A. It has an articular disc of hyaline cartilage
B. Its articular surfaces are covered by hyaline cartilage
C. Proprioceptive information is carried by the chorda tympani and deep temporal nerves
D. Proprioceptive information is carried by the masseteric and auriculotemporal nerves.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"Select the best translation into predicate logic: Cecilia breaks my heart if, and only if, Maria is either a problem or a girl.",formal_logic,test-00000-of-00001,A,"Select the best translation into predicate logic: Cecilia breaks my heart if, and only if, Maria is either a problem or a girl.

Choices:
A. Bc ≡ (Pm ∨ Gm)
B. Bc ≡ (Pm • Gm)
C. Bc ⊃ (Pm ∨ Gm)
D. Cb ⊃ (Pm • Gm)

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"Let $f(x)=3x+4$ and $g(x)=2x-3$. If $h(x)=f(g(x))$, then what is the inverse of $h(x)$?",high_school_mathematics,test-00000-of-00001,C,"Let $f(x)=3x+4$ and $g(x)=2x-3$. If $h(x)=f(g(x))$, then what is the inverse of $h(x)$?

Choices:
A. \frac{x-5}{3}
B. \frac{x+5}{3}
C. \frac{x+5}{6}
D. \frac{x-5}{6}

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
 Which of the following best characterizes Cohen's view about animal rights?,moral_disputes,validation-00000-of-00001,C," Which of the following best characterizes Cohen's view about animal rights?

Choices:
A. Animals do not have rights, and as such we do not have any obligations toward them.
B. Animals do have rights; nonetheless, we do not have any obligations toward them.
C. Animals do not have rights, but they still deserve some moral consideration.
D. Animals do have rights, and we have an obligation not to cause them suffering.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"When the Founders met in 1787 to write the Constitution, their primary objective was to",high_school_government_and_politics,test-00000-of-00001,D,"When the Founders met in 1787 to write the Constitution, their primary objective was to

Choices:
A. establish a bill of rights that would protect citizens from the government
B. create a national court system for hearing disputes between citizens of different states
C. return to the states those powers that the Articles of Confederation had given to the central government
D. replace the weak central government created by the Articles of Confederation with a stronger one

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
Which treaties are considered as 'source of international law' under article 38 ICJ Statute?,international_law,validation-00000-of-00001,B,"Which treaties are considered as 'source of international law' under article 38 ICJ Statute?

Choices:
A. All treaties that are in force at the time of the dispute
B. Only the treaties that are in force and binding upon the parties to the dispute
C. All treaties that have been concluded between the parties to the dispute, regardless whether they are in force
D. Only treaties that are multilateral and of paramount significance

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
A veterinarian holds a cat and steps on a scale. The scale reads 157.8 lb. The veterinarian weighs 148.3 lb alone. Which is the best estimate for the weight of the cat?,elementary_mathematics,test-00000-of-00001,B,"A veterinarian holds a cat and steps on a scale. The scale reads 157.8 lb. The veterinarian weighs 148.3 lb alone. Which is the best estimate for the weight of the cat?

Choices:
A. Between 4 and 7 lb
B. Between 8 and 11 lb
C. Between 12 and 15 lb
D. Between 16 and 19 lb

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
"A metal is reacted with HCl to produce hydrogen gas. If 0.0623 gram of metal produces 28.3 mL of hydrogen at STP, the mass of the metal that reacts with one mole of hydrochloric acid is",high_school_chemistry,test-00000-of-00001,C,"A metal is reacted with HCl to produce hydrogen gas. If 0.0623 gram of metal produces 28.3 mL of hydrogen at STP, the mass of the metal that reacts with one mole of hydrochloric acid is

Choices:
A. 98.6 g
B. 493 g
C. 24.7 g
D. 49.3 g

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
A psychologist is appointed by the Court to examine a defendant. The psychologist should,professional_psychology,test-00000-of-00001,A,"A psychologist is appointed by the Court to examine a defendant. The psychologist should

Choices:
A. begin the evaluation by informing the defendant that anything that is discussed maybe talked about in open court
B. begin the evaluation by asking the defendant to indicate information that should be kept confidential
C. refuse to do the evaluation unless the Court agrees thar it will be kept confidential
D. discuss confidentiality only if the defendant asks about it

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
The social phenomenon of groupthink is characterized by all of the following EXCEPT:,college_medicine,validation-00000-of-00001,C,"The social phenomenon of groupthink is characterized by all of the following EXCEPT:

Choices:
A. A significant over-rating of the decision-making abilities of members of the ingroup.
B. A decrease in the creativity of individual group members in contributing to solutions the ingroup wants to achieve.
C. High loyalty and group cohesiveness causing members to feel safe raising controversial issues and proposing alternative solutions.
D. An effort to minimize conflict and ensure consensus.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
"Every morning Amma gets up at ten to seven. She brushes her teeth, takes a shower and gets dressed . Then she goes to the kitchen and makes breakfast. She usually has orange juice and bread for breakfast. After breakfast, she reads the newspaper. At seven forty--five she leaves home and goes to work by subway. She goes to work  _  .",,auxiliary_train-00000-of-00001,C,"Every morning Amma gets up at ten to seven. She brushes her teeth, takes a shower and gets dressed . Then she goes to the kitchen and makes breakfast. She usually has orange juice and bread for breakfast. After breakfast, she reads the newspaper. At seven forty--five she leaves home and goes to work by subway. She goes to work  _  .

Choices:
A. by bus
B. by bike
C. by underground
D. by plane

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
Marginal cost (MC) is equal to average variable cost (AVC) and average total cost (ATC) when:,high_school_microeconomics,test-00000-of-00001,C,"Marginal cost (MC) is equal to average variable cost (AVC) and average total cost (ATC) when:

Choices:
A. marginal cost (MC) intersects AVC and ATC at their maximum points.
B. AVC and ATC intersect MC at its maximum point.
C. MC intersects AVC and ATC at their minimum points.
D. AVC and ATC intersect MC at its minimum point.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
" In response to the objection that it would be wrong to prohibit the manufacture and sale of fatty foods and tobacco products, de Marneffe argues that",moral_disputes,test-00000-of-00001,B," In response to the objection that it would be wrong to prohibit the manufacture and sale of fatty foods and tobacco products, de Marneffe argues that

Choices:
A. fatty foods and tobacco products are not actually harmful.
B. there is nothing wrong with limiting people's access to products that are harmful to them.
C. the benefits of prohibiting these products would not outweigh the costs.
D. all of the above

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
The most generally accepted basis on which a court will hold that X has a legal duty to aid another is the recognition by X that there is immediate danger of serious harm to,,auxiliary_train-00000-of-00001,D,"The most generally accepted basis on which a court will hold that X has a legal duty to aid another is the recognition by X that there is immediate danger of serious harm to

Choices:
A. another human being from a stranger's wrongful conduct.
B. his neighbor from a stranger's wrongful conduct.
C. his cousin from a stranger's wrongful conduct.
D. another human being from X's own nonnegligent conduct

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
"Maria collected the gas given off by a glowing piece of charcoal. The gas was then bubbled through a small amount of colorless limewater. Part of Maria's report stated, ""After the gas was put into the jar, the limewater gradually changed to a milky white color."" This statement is",,auxiliary_train-00000-of-00001,A,"Maria collected the gas given off by a glowing piece of charcoal. The gas was then bubbled through a small amount of colorless limewater. Part of Maria's report stated, ""After the gas was put into the jar, the limewater gradually changed to a milky white color."" This statement is

Choices:
A. an observation
B. a conclusion
C. a generalization
D. an assumption of the investigation (E) a hypothesis

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
