question,question_concept,_split,answer,final_prompt,len_tk_glm4_9b_base
Where can you buy a fishing rod?,rod,train-00000-of-00001,D,"Question:
Where can you buy a fishing rod?

Which of the following is the best response to the question?

Choices:
A. furniture store
B. fishing camp
C. hardware store
D. sporting goods store
E. engine

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where in a city would you find many box offices?,box office,train-00000-of-00001,D,"Question:
Where in a city would you find many box offices?

Which of the following is the best response to the question?

Choices:
A. opera
B. ballpark
C. theatre
D. theater district
E. movie theater

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What might going to play lead to for a child?,going to play,train-00000-of-00001,D,"Question:
What might going to play lead to for a child?

Which of the following is the best response to the question?

Choices:
A. moody
B. happy
C. meet
D. being entertained
E. sit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What is the responsibility of many an adult?,adult,train-00000-of-00001,D,"Question:
What is the responsibility of many an adult?

Which of the following is the best response to the question?

Choices:
A. drink beer
B. drive train
C. sweeping the floor
D. work
E. marry

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Why do parents encourage their kids to play baseball?,baseball,train-00000-of-00001,E,"Question:
Why do parents encourage their kids to play baseball?

Which of the following is the best response to the question?

Choices:
A. round
B. cheap
C. break window
D. hard
E. fun to play

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What does there need to be for a shadow to appear?,shadow,train-00000-of-00001,B,"Question:
What does there need to be for a shadow to appear?

Which of the following is the best response to the question?

Choices:
A. ground
B. bright light
C. bridge
D. sunshine
E. beam

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where could a pilot go after he or she is finished working?,pilot,train-00000-of-00001,C,"Question:
Where could a pilot go after he or she is finished working?

Which of the following is the best response to the question?

Choices:
A. cockpit
B. airplane
C. shower
D. airport
E. home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What do employees have when they want to have a group discussion?,employees,train-00000-of-00001,D,"Question:
What do employees have when they want to have a group discussion?

Which of the following is the best response to the question?

Choices:
A. talk
B. company
C. corporation
D. meeting
E. office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"The machine was very intricate, it was quite an what?",machine,train-00000-of-00001,B,"Question:
The machine was very intricate, it was quite an what?

Which of the following is the best response to the question?

Choices:
A. box
B. apparatus
C. appliance
D. wash dishes
E. implement

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What professional space is likely to have an air conditioner?,air conditioner,train-00000-of-00001,A,"Question:
What professional space is likely to have an air conditioner?

Which of the following is the best response to the question?

Choices:
A. office building
B. texas
C. house
D. humid
E. warm climates

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would a beauty parlor be?,parlor,train-00000-of-00001,C,"Question:
Where would a beauty parlor be?

Which of the following is the best response to the question?

Choices:
A. georgian houses
B. city
C. building
D. victorian house
E. underwater

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What kind of country has a government?,government,train-00000-of-00001,A,"Question:
What kind of country has a government?

Which of the following is the best response to the question?

Choices:
A. democracy
B. washington d.c
C. whitehouse
D. civilization
E. capitol building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where can leaves slide from and end up in a gutter?,leaves,train-00000-of-00001,C,"Question:
Where can leaves slide from and end up in a gutter?

Which of the following is the best response to the question?

Choices:
A. trees
B. spout
C. roof
D. ground
E. street

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where can you find pamphlets regarding diseases and ailments?,pamphlets,train-00000-of-00001,B,"Question:
Where can you find pamphlets regarding diseases and ailments?

Which of the following is the best response to the question?

Choices:
A. theaters
B. health department
C. library
D. drawer
E. mail box

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where is a small house likely to have a table?,table,train-00000-of-00001,C,"Question:
Where is a small house likely to have a table?

Which of the following is the best response to the question?

Choices:
A. dining room
B. furniture store
C. kitchen
D. roof
E. conference

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
WHat does someone usually produce a lot of when getting divorce?,getting divorce,train-00000-of-00001,B,"Question:
WHat does someone usually produce a lot of when getting divorce?

Which of the following is the best response to the question?

Choices:
A. freedom
B. tears
C. richer
D. depression
E. tissues

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What might a person be if they watch a horror movie?,person,train-00000-of-00001,E,"Question:
What might a person be if they watch a horror movie?

Which of the following is the best response to the question?

Choices:
A. uncomfortable
B. misfortune
C. criticism
D. ridiculous
E. fearful

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
what does a human have on their upperbody?,human,train-00000-of-00001,C,"Question:
what does a human have on their upperbody?

Which of the following is the best response to the question?

Choices:
A. processing power
B. one body
C. two arms
D. stupidity
E. muscles

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
A town between two mountains is located in a what?,town,validation-00000-of-00001,A,"Question:
A town between two mountains is located in a what?

Which of the following is the best response to the question?

Choices:
A. valley
B. hospital
C. state
D. train station
E. michigan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
A person who is constantly grooming is try to preserve their what?,grooming,train-00000-of-00001,E,"Question:
A person who is constantly grooming is try to preserve their what?

Which of the following is the best response to the question?

Choices:
A. late
B. injury
C. satisfaction
D. outfit
E. beauty

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
The potato might be the official vegetable of what?,potato,validation-00000-of-00001,E,"Question:
The potato might be the official vegetable of what?

Which of the following is the best response to the question?

Choices:
A. vegans
B. kitchen cupboard
C. restaurants
D. chicken
E. maryland

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
what happens when a train leaves the station?,trains,train-00000-of-00001,A,"Question:
what happens when a train leaves the station?

Which of the following is the best response to the question?

Choices:
A. accelerate
B. open doors
C. arrive late
D. decelerate
E. brake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What does a self assured person often do?,person,validation-00000-of-00001,D,"Question:
What does a self assured person often do?

Which of the following is the best response to the question?

Choices:
A. acknowledgment
B. focused
C. know what time
D. feel important
E. trust himself

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Beer is usually expensive when you attend what public event?,beer,train-00000-of-00001,D,"Question:
Beer is usually expensive when you attend what public event?

Which of the following is the best response to the question?

Choices:
A. refrigerator
B. drink
C. fridge
D. sporting event
E. bowling alley

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"A friend is greeting me, what would they say?",meet friend,train-00000-of-00001,A,"Question:
A friend is greeting me, what would they say?

Which of the following is the best response to the question?

Choices:
A. say hello
B. greet
C. associate
D. socialize
E. smile

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What does an airplane do before takeoff?,airplanes,train-00000-of-00001,B,"Question:
What does an airplane do before takeoff?

Which of the following is the best response to the question?

Choices:
A. crash
B. accelerate
C. turn around
D. catch on fire
E. carry freight

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What do you end up with after cooking?,cooking,train-00000-of-00001,B,"Question:
What do you end up with after cooking?

Which of the following is the best response to the question?

Choices:
A. full feast
B. cooked food
C. having dinner
D. get food
E. pride

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would a cat sit to soak up sunlight?,cat,train-00000-of-00001,C,"Question:
Where would a cat sit to soak up sunlight?

Which of the following is the best response to the question?

Choices:
A. barn
B. house
C. window sill
D. humane society
E. comfortable chair

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where are all employees likely to carry a weapon?,weapon,train-00000-of-00001,B,"Question:
Where are all employees likely to carry a weapon?

Which of the following is the best response to the question?

Choices:
A. war
B. police station
C. army bunker
D. security personnel
E. holster

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where is a good place to obtain a ladder?,ladder,train-00000-of-00001,C,"Question:
Where is a good place to obtain a ladder?

Which of the following is the best response to the question?

Choices:
A. apple orchard
B. backyard
C. hardware store
D. garage
E. roof

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What doorway is likely to have a large wooden door?,doorway,train-00000-of-00001,D,"Question:
What doorway is likely to have a large wooden door?

Which of the following is the best response to the question?

Choices:
A. home
B. airport
C. skyscraper
D. castle
E. every building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where are there likely to be high tech computers?,computers,train-00000-of-00001,A,"Question:
Where are there likely to be high tech computers?

Which of the following is the best response to the question?

Choices:
A. space shuttle
B. library
C. post office
D. internet cafe
E. mit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
When you plant a garden you can harvest what to eat?,plant,train-00000-of-00001,D,"Question:
When you plant a garden you can harvest what to eat?

Which of the following is the best response to the question?

Choices:
A. flower
B. animal
C. flower petals
D. vegetable
E. alive

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where might a child keep their towel for overnight?,towel,train-00000-of-00001,A,"Question:
Where might a child keep their towel for overnight?

Which of the following is the best response to the question?

Choices:
A. backpack
B. linen closet
C. swimming pool
D. at hotel
E. shelf

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where is someone likely to store their comforter?,comforter,train-00000-of-00001,B,"Question:
Where is someone likely to store their comforter?

Which of the following is the best response to the question?

Choices:
A. livingroom
B. cedar chest
C. bedroom
D. world
E. living room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where is a magnet used to make something vibrate?,magnet,train-00000-of-00001,D,"Question:
Where is a magnet used to make something vibrate?

Which of the following is the best response to the question?

Choices:
A. fridge
B. microwave
C. car
D. speaker
E. magnetricity

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where is a flat likely to be grouped with other flats?,flat,train-00000-of-00001,D,"Question:
Where is a flat likely to be grouped with other flats?

Which of the following is the best response to the question?

Choices:
A. london
B. city
C. town
D. apartment building
E. condominium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where does a child likely sit at a desk?,desk,validation-00000-of-00001,B,"Question:
Where does a child likely sit at a desk?

Which of the following is the best response to the question?

Choices:
A. furniture store
B. schoolroom
C. patio
D. office building
E. library

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What is illegal to do when you play cards at a casino?,play cards,train-00000-of-00001,C,"Question:
What is illegal to do when you play cards at a casino?

Which of the following is the best response to the question?

Choices:
A. remember
B. help
C. count
D. winning
E. dealing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What would happen in a country if everyone is loving another?,loving another,train-00000-of-00001,A,"Question:
What would happen in a country if everyone is loving another?

Which of the following is the best response to the question?

Choices:
A. peace
B. marriage
C. satisfaction
D. heartache
E. happiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would you find a lot of beds?,bed,train-00000-of-00001,D,"Question:
Where would you find a lot of beds?

Which of the following is the best response to the question?

Choices:
A. bedford
B. rest area
C. neighbor's house
D. hospital
E. loft

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What do you put around a garden to keep animals out?,garden,train-00000-of-00001,B,"Question:
What do you put around a garden to keep animals out?

Which of the following is the best response to the question?

Choices:
A. park
B. fence
C. ground
D. vines
E. full bloom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
How might someone relieve stress with friends?,stress,train-00000-of-00001,A,"Question:
How might someone relieve stress with friends?

Which of the following is the best response to the question?

Choices:
A. hang out at bar
B. running
C. drink alcohol
D. clean house
E. dream

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
How do most companies communicate advertisements directly to consumers?,advertisement,train-00000-of-00001,D,"Question:
How do most companies communicate advertisements directly to consumers?

Which of the following is the best response to the question?

Choices:
A. bus
B. la ville
C. web page
D. email
E. carrier pigeon

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"After being in shock, he settle and felt what?",shock,train-00000-of-00001,B,"Question:
After being in shock, he settle and felt what?

Which of the following is the best response to the question?

Choices:
A. quiet noisey
B. calm
C. lost
D. surprised
E. expected

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would you expect to see a human eye?,eye,train-00000-of-00001,C,"Question:
Where would you expect to see a human eye?

Which of the following is the best response to the question?

Choices:
A. faces
B. potato
C. person's head
D. mammal
E. skull

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where do you need to use a fan?,fan,train-00000-of-00001,A,"Question:
Where do you need to use a fan?

Which of the following is the best response to the question?

Choices:
A. hot room
B. sports stadium
C. appliance store
D. hockey game
E. sauna

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What do you call a metal that is not cheap?,cheap,train-00000-of-00001,C,"Question:
What do you call a metal that is not cheap?

Which of the following is the best response to the question?

Choices:
A. expensive
B. dear
C. precious
D. inexpensive
E. spendthrift

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where do humans go in cities to be in nature?,humans,train-00000-of-00001,C,"Question:
Where do humans go in cities to be in nature?

Which of the following is the best response to the question?

Choices:
A. movie theatre
B. university
C. park
D. alaska
E. country

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What would need oil to be used?,oil,train-00000-of-00001,D,"Question:
What would need oil to be used?

Which of the following is the best response to the question?

Choices:
A. ground
B. human  body
C. repair shop
D. combustion engines
E. service station

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What do you need to run after ball?,run after ball,train-00000-of-00001,B,"Question:
What do you need to run after ball?

Which of the following is the best response to the question?

Choices:
A. get tired
B. have legs
C. skip
D. not fat
E. look first

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
The trim made a good line between the floor and the what?,floor,train-00000-of-00001,D,"Question:
The trim made a good line between the floor and the what?

Which of the following is the best response to the question?

Choices:
A. obesity
B. desk
C. sky
D. wall
E. ceiling

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
WHere do you store dry food?,food,train-00000-of-00001,A,"Question:
WHere do you store dry food?

Which of the following is the best response to the question?

Choices:
A. shelf
B. supermarket
C. military base
D. neighbor's house
E. in the garage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What might understanding better what a subject is lead to?,understanding better,train-00000-of-00001,A,"Question:
What might understanding better what a subject is lead to?

Which of the following is the best response to the question?

Choices:
A. interest in
B. understanding
C. increased knowledge
D. wisdom
E. ideas

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where do people get beer after a bit of gambling?,beer,validation-00000-of-00001,C,"Question:
Where do people get beer after a bit of gambling?

Which of the following is the best response to the question?

Choices:
A. bottle
B. grocery store
C. casino
D. spaceship
E. hockey game

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What would a document be if it is not obtuse?,obtuse,train-00000-of-00001,D,"Question:
What would a document be if it is not obtuse?

Which of the following is the best response to the question?

Choices:
A. pointed
B. bright
C. easy
D. clear
E. acute angled

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What could have tens of thousands of paper clips?,paper clips,train-00000-of-00001,A,"Question:
What could have tens of thousands of paper clips?

Which of the following is the best response to the question?

Choices:
A. university
B. work
C. desktop
D. fashioned into simple tools
E. drawer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What does a person need to figure out when they have questions?,person,train-00000-of-00001,C,"Question:
What does a person need to figure out when they have questions?

Which of the following is the best response to the question?

Choices:
A. dedication
B. surprised
C. solutions
D. confidence
E. compliments

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What might a person do on their birthday or Christmas,person,train-00000-of-00001,B,"Question:
What might a person do on their birthday or Christmas

Which of the following is the best response to the question?

Choices:
A. understand themselves
B. receive gifts
C. compliments
D. drink
E. acknowledgment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What would someone wear to protect themselves from a cannon?,cannon,train-00000-of-00001,C,"Question:
What would someone wear to protect themselves from a cannon?

Which of the following is the best response to the question?

Choices:
A. ungulate
B. bomber
C. body armor
D. tank
E. hat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"Whilst his girlfriend preferred sweet, he preferred what kind of snacks?",sweet,train-00000-of-00001,D,"Question:
Whilst his girlfriend preferred sweet, he preferred what kind of snacks?

Which of the following is the best response to the question?

Choices:
A. lame
B. sour
C. ocean
D. salty
E. dry

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
In December how can you throw water at your friends?,water,train-00000-of-00001,C,"Question:
In December how can you throw water at your friends?

Which of the following is the best response to the question?

Choices:
A. tsunami
B. puddle
C. snowball
D. glass
E. backpack

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where is a good place to keep a butcher knife?,knife,train-00000-of-00001,E,"Question:
Where is a good place to keep a butcher knife?

Which of the following is the best response to the question?

Choices:
A. fishing boat
B. backpack
C. shelf
D. pocket
E. kitchen drawer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What will happen after you have rest?,have rest,train-00000-of-00001,B,"Question:
What will happen after you have rest?

Which of the following is the best response to the question?

Choices:
A. muscles tired
B. feel better
C. exhausted
D. were very tired
E. turn blue

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would you put some coffee if you are thirsty?,coffee,train-00000-of-00001,D,"Question:
Where would you put some coffee if you are thirsty?

Which of the following is the best response to the question?

Choices:
A. container
B. internet cafe
C. starbucks
D. cup
E. supermarket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What about eating hamburgers makes someone want more?,eating hamburger,train-00000-of-00001,B,"Question:
What about eating hamburgers makes someone want more?

Which of the following is the best response to the question?

Choices:
A. enjoy
B. tasty
C. health problems
D. hunger
E. indigestion

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
