question,question_concept,_split,answer,final_prompt,len_tk_qwen3_8b_instruct
What could happen if you are fishing but do not catch any fish?,fishing,train-00000-of-00001,E,"Question:
What could happen if you are fishing but do not catch any fish?

Which of the following is the best response to the question?

Choices:
A. getting food
B. eating fish
C. go home
D. getting drunk
E. anger

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
A person would join a trade school for finding information related to what?,finding information,validation-00000-of-00001,D,"Question:
A person would join a trade school for finding information related to what?

Which of the following is the best response to the question?

Choices:
A. ulcers
B. degree
C. understanding of
D. gaining knowledge
E. happiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
John is getting something important.  What does this make him feel?,getting,train-00000-of-00001,D,"Question:
John is getting something important.  What does this make him feel?

Which of the following is the best response to the question?

Choices:
A. then have
B. headaches
C. stoic
D. being happy
E. wanting more

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"They said they started what at first sight, well before their first kiss?",kiss,train-00000-of-00001,A,"Question:
They said they started what at first sight, well before their first kiss?

Which of the following is the best response to the question?

Choices:
A. falling in love
B. fall in love
C. smile
D. embrace
E. asking questions

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
The crowd wasn't that big.  It can better be described as what?,crowd,train-00000-of-00001,C,"Question:
The crowd wasn't that big.  It can better be described as what?

Which of the following is the best response to the question?

Choices:
A. field
B. alone
C. small group
D. solitude
E. solitary

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where could you put some knives if you are planning to bring them outside with you?,knives,train-00000-of-00001,B,"Question:
Where could you put some knives if you are planning to bring them outside with you?

Which of the following is the best response to the question?

Choices:
A. purse
B. backpack
C. drawer
D. sporting goods store
E. kitchen

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would you borrow some chairs if you do not have any?,chairs,train-00000-of-00001,C,"Question:
Where would you borrow some chairs if you do not have any?

Which of the following is the best response to the question?

Choices:
A. office
B. bookstore
C. friend's house
D. race track
E. firehouse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What would someone tell a person they possessed if they sing well?,sing,train-00000-of-00001,B,"Question:
What would someone tell a person they possessed if they sing well?

Which of the following is the best response to the question?

Choices:
A. annoy people around
B. had good voice
C. nice sound
D. enjoy
E. practice

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"Her son scraped his knee, she fetched a bottle of peroxide from the what?",bottle,validation-00000-of-00001,E,"Question:
Her son scraped his knee, she fetched a bottle of peroxide from the what?

Which of the following is the best response to the question?

Choices:
A. supermarket
B. diaper bag
C. liquor store
D. hollow log
E. medicine cabinet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
If your joke is funny you will not experience surprise if someone does what?,surprise,train-00000-of-00001,C,"Question:
If your joke is funny you will not experience surprise if someone does what?

Which of the following is the best response to the question?

Choices:
A. scare
B. send flowers
C. laugh
D. cries
E. keep secret

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
"If you think that the surface of the road is not good, what would you do?",surface,train-00000-of-00001,A,"Question:
If you think that the surface of the road is not good, what would you do?

Which of the following is the best response to the question?

Choices:
A. object
B. yell
C. tetrahedron
D. mirror
E. lake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
How do you indicate that you agree wtih someone?,agree with,train-00000-of-00001,B,"Question:
How do you indicate that you agree wtih someone?

Which of the following is the best response to the question?

Choices:
A. like more
B. nodding
C. by wearing rings
D. concordance
E. shake hands

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What is the likely result of buying products in excess?,buying products,validation-00000-of-00001,E,"Question:
What is the likely result of buying products in excess?

Which of the following is the best response to the question?

Choices:
A. running out of money
B. spending money
C. poverty
D. comparison shopping
E. overstocking

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"The man had much to do, but was using television, what was his problem?",using television,train-00000-of-00001,E,"Question:
The man had much to do, but was using television, what was his problem?

Which of the following is the best response to the question?

Choices:
A. boredom
B. tv shows
C. eye strain
D. falling asleep
E. laziness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
How can a person ensure their jewelry is safe in a hotel room?,jewelry,train-00000-of-00001,B,"Question:
How can a person ensure their jewelry is safe in a hotel room?

Which of the following is the best response to the question?

Choices:
A. suitcase
B. safe deposit box
C. vault
D. department store
E. hole in ground

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where does someone go to step on a scale annually?,scale,train-00000-of-00001,A,"Question:
Where does someone go to step on a scale annually?

Which of the following is the best response to the question?

Choices:
A. doctor's office
B. music store
C. bathroom
D. post office
E. fish hatchery

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
"If I am a spectator at a trade show, what am I likely watching?",spectator,train-00000-of-00001,C,"Question:
If I am a spectator at a trade show, what am I likely watching?

Which of the following is the best response to the question?

Choices:
A. sporting event
B. racing
C. demonstration
D. show
E. watch event

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What is a person chatting with friends likely hoping to accomplish?,chatting with friends,train-00000-of-00001,E,"Question:
What is a person chatting with friends likely hoping to accomplish?

Which of the following is the best response to the question?

Choices:
A. gathering of information
B. communication
C. feel relaxed
D. kill boredom
E. social bonding

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
"He picked up his pace to a run, he wanted to do what?",run,validation-00000-of-00001,E,"Question:
He picked up his pace to a run, he wanted to do what?

Which of the following is the best response to the question?

Choices:
A. learn to walk
B. frightened
C. get away from
D. exercise
E. go faster

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Before we are able to run what do we need to know how to do?,run,train-00000-of-00001,B,"Question:
Before we are able to run what do we need to know how to do?

Which of the following is the best response to the question?

Choices:
A. act quickly
B. learn to walk
C. stretches
D. buy shoes
E. go quickly

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where would you go to learn how to play a french horn?,french horn,train-00000-of-00001,C,"Question:
Where would you go to learn how to play a french horn?

Which of the following is the best response to the question?

Choices:
A. music store
B. concert hall
C. music class
D. france
E. on top of a mountain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
If a person has stage fright and is about to go on stage what will they experience?,person,train-00000-of-00001,B,"Question:
If a person has stage fright and is about to go on stage what will they experience?

Which of the following is the best response to the question?

Choices:
A. ridiculous
B. anxiety
C. open sores
D. happiness
E. different

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"Sam came to despise his sister.  On the other hand, she felt what for him?",despise,train-00000-of-00001,D,"Question:
Sam came to despise his sister.  On the other hand, she felt what for him?

Which of the following is the best response to the question?

Choices:
A. love
B. worship
C. cherish
D. admire
E. honor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"Humans enjoy sitting while expressing themselves artistically, so what did they invent?",humans,train-00000-of-00001,B,"Question:
Humans enjoy sitting while expressing themselves artistically, so what did they invent?

Which of the following is the best response to the question?

Choices:
A. sit down
B. play piano
C. excrete
D. eat meat
E. catch fish

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"Matt had issues controlling his anger, what did he do when someone set him off?",anger,train-00000-of-00001,B,"Question:
Matt had issues controlling his anger, what did he do when someone set him off?

Which of the following is the best response to the question?

Choices:
A. destroy enemy
B. punch
C. cool off
D. write letter
E. illustrate point

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What will someone do in the house in the evening because of being hungry?,being hungry,train-00000-of-00001,D,"Question:
What will someone do in the house in the evening because of being hungry?

Which of the following is the best response to the question?

Choices:
A. make bread
B. have lunch
C. eat in restaurant
D. cook dinner
E. school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
A student should not do what while their instructor is lecturing?,student,train-00000-of-00001,B,"Question:
A student should not do what while their instructor is lecturing?

Which of the following is the best response to the question?

Choices:
A. play piano
B. talk
C. talk on their phone
D. study engineering
E. read book

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"Something had the nerve to break into the garbage last night, what did it?",nerve,validation-00000-of-00001,B,"Question:
Something had the nerve to break into the garbage last night, what did it?

Which of the following is the best response to the question?

Choices:
A. eyes
B. animal
C. fingertips
D. brainstem
E. human body

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"A person wanted a seafood dinner, so what did he decide to do?",person,train-00000-of-00001,A,"Question:
A person wanted a seafood dinner, so what did he decide to do?

Which of the following is the best response to the question?

Choices:
A. fish lake
B. gain respect
C. plant flowers
D. wish really hard
E. cross street

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What can a person expect from their significant other after a long time away?,person,train-00000-of-00001,B,"Question:
What can a person expect from their significant other after a long time away?

Which of the following is the best response to the question?

Choices:
A. gifts
B. passionate kisses
C. own house
D. comfortable clothes
E. ipod

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"A person with digestion issues eats a meat-filled breakfast, what does he feel?",eating breakfast,validation-00000-of-00001,A,"Question:
A person with digestion issues eats a meat-filled breakfast, what does he feel?

Which of the following is the best response to the question?

Choices:
A. heartburn
B. overeating
C. happiness
D. being satisfied
E. gain energy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"The trees received lots of water and sunlight, what happened as a result?",trees,train-00000-of-00001,D,"Question:
The trees received lots of water and sunlight, what happened as a result?

Which of the following is the best response to the question?

Choices:
A. stand together
B. more fruit
C. produce fruit
D. grow bigger
E. branch out

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"They were all sitting down and getting comfortable, this doesn't always necessarily require a what?",sitting down,train-00000-of-00001,B,"Question:
They were all sitting down and getting comfortable, this doesn't always necessarily require a what?

Which of the following is the best response to the question?

Choices:
A. legs
B. chair
C. laziness
D. floor
E. sit on

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
An island off the coast of of California is located where?,island,train-00000-of-00001,A,"Question:
An island off the coast of of California is located where?

Which of the following is the best response to the question?

Choices:
A. pacific ocean
B. mississippi river
C. body of water
D. earth
E. middle of ocean

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
When getting in shape you need to have this in between workouts?,getting in shape,train-00000-of-00001,C,"Question:
When getting in shape you need to have this in between workouts?

Which of the following is the best response to the question?

Choices:
A. give up
B. eat more
C. period of recovery
D. dance
E. jogging

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Bringing suit against a family member will cause what with the rest of the family?,bringing suit,train-00000-of-00001,D,"Question:
Bringing suit against a family member will cause what with the rest of the family?

Which of the following is the best response to the question?

Choices:
A. peace
B. aggravation
C. randomness
D. tensions
E. verdict

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What can you use to plan your route when driving to the pacific ocean?,pacific ocean,train-00000-of-00001,C,"Question:
What can you use to plan your route when driving to the pacific ocean?

Which of the following is the best response to the question?

Choices:
A. drawings
B. san francisco bay
C. atlas
D. west
E. southern hemisphere

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"He had been doing favors for everybody at work, it was frustrating not getting any what for it?",getting,train-00000-of-00001,E,"Question:
He had been doing favors for everybody at work, it was frustrating not getting any what for it?

Which of the following is the best response to the question?

Choices:
A. let down
B. respect
C. illness
D. satisfaction
E. gratitude

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"The mother was punishing her children, she raised her voice to do what to them?",punishing,train-00000-of-00001,E,"Question:
The mother was punishing her children, she raised her voice to do what to them?

Which of the following is the best response to the question?

Choices:
A. court system
B. authoritarian
C. ignore
D. avoid
E. yell at

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
If a person is tired how can they be refreshed?,person,train-00000-of-00001,A,"Question:
If a person is tired how can they be refreshed?

Which of the following is the best response to the question?

Choices:
A. rest in bed
B. lie in bed
C. go for a run
D. water plants
E. catch cold

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"The person preferred going to the farmer's market over the grocery store, why?",person,train-00000-of-00001,C,"Question:
The person preferred going to the farmer's market over the grocery store, why?

Which of the following is the best response to the question?

Choices:
A. acknowledgment
B. price
C. fresh produce
D. smooth skin
E. good credit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What is a lover likely to want to do with their partner?,lover,train-00000-of-00001,C,"Question:
What is a lover likely to want to do with their partner?

Which of the following is the best response to the question?

Choices:
A. build family together
B. fall in love
C. make love
D. complete
E. distance themselves

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"Billy loved singing, because it let him do what?",singing,train-00000-of-00001,C,"Question:
Billy loved singing, because it let him do what?

Which of the following is the best response to the question?

Choices:
A. sore throats
B. ichiness
C. being heard
D. change in mood
E. hoarse voice

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"James loves judging things, but all he has to go on is his own what?",judging,train-00000-of-00001,E,"Question:
James loves judging things, but all he has to go on is his own what?

Which of the following is the best response to the question?

Choices:
A. misperception
B. jury
C. knowing yourself
D. ignorance
E. experience

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Where can I store this clean fork if I am not presently using it?,fork,train-00000-of-00001,C,"Question:
Where can I store this clean fork if I am not presently using it?

Which of the following is the best response to the question?

Choices:
A. in a box
B. plane
C. kitchen drawer
D. table
E. plate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"Despite doctor's orders, she ate breakfast in bed, what did she feel?",eating breakfast in bed,train-00000-of-00001,E,"Question:
Despite doctor's orders, she ate breakfast in bed, what did she feel?

Which of the following is the best response to the question?

Choices:
A. happiness
B. feel guilty
C. weight gain
D. spills
E. indigestion

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Where would a person blush or put his head down after shutting a door loudly?,door,train-00000-of-00001,E,"Question:
Where would a person blush or put his head down after shutting a door loudly?

Which of the following is the best response to the question?

Choices:
A. apartment
B. neighbor's house
C. wall
D. library
E. theater

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"The young lady favored his wealth, she did not care how what he was?",young,train-00000-of-00001,D,"Question:
The young lady favored his wealth, she did not care how what he was?

Which of the following is the best response to the question?

Choices:
A. youngstock
B. aged
C. mature
D. old
E. senior

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
"Jill walks to the second floor and sits in her cubicle, where is she?",second floor,train-00000-of-00001,A,"Question:
Jill walks to the second floor and sits in her cubicle, where is she?

Which of the following is the best response to the question?

Choices:
A. office building
B. house
C. hotel
D. school
E. a chair

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"As in part of string theory, what particle makes up hadrons?",string,train-00000-of-00001,A,"Question:
As in part of string theory, what particle makes up hadrons?

Which of the following is the best response to the question?

Choices:
A. quark
B. guitar
C. bird's nest
D. kite
E. beads

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where would a person go if he or she wants to get a good view?,person,train-00000-of-00001,E,"Question:
Where would a person go if he or she wants to get a good view?

Which of the following is the best response to the question?

Choices:
A. hill
B. building
C. family
D. water cooler
E. space shuttle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
When talking to someone and gaining their trust they will do what they want because of you have done what?,talking to,train-00000-of-00001,B,"Question:
When talking to someone and gaining their trust they will do what they want because of you have done what?

Which of the following is the best response to the question?

Choices:
A. communication
B. persuaded
C. learn
D. friendship
E. engaged

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What would you do with a sword you are holding if you do not need to use it?,sword,train-00000-of-00001,E,"Question:
What would you do with a sword you are holding if you do not need to use it?

Which of the following is the best response to the question?

Choices:
A. salon
B. stone
C. collection
D. museum
E. sheath

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What do you need to do to be able to have lunch?,have lunch,train-00000-of-00001,A,"Question:
What do you need to do to be able to have lunch?

Which of the following is the best response to the question?

Choices:
A. get food
B. eat food
C. stop working
D. spend money
E. prepare food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"When one is looking at a series of attributes, how are they typically displayed?",attribute,train-00000-of-00001,D,"Question:
When one is looking at a series of attributes, how are they typically displayed?

Which of the following is the best response to the question?

Choices:
A. on-screen
B. calculus
C. description
D. array
E. calculas

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Living life is about good and bad experiences and doing what from them?,living life,train-00000-of-00001,D,"Question:
Living life is about good and bad experiences and doing what from them?

Which of the following is the best response to the question?

Choices:
A. make love
B. get married
C. have children
D. learning
E. repeating

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What southern U.S. state is know for having many swamps?,swamp,validation-00000-of-00001,D,"Question:
What southern U.S. state is know for having many swamps?

Which of the following is the best response to the question?

Choices:
A. wetlands
B. new york
C. michigan
D. louisiana
E. river delta

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Why do some people quit work and go back to school for?,people,train-00000-of-00001,B,"Question:
Why do some people quit work and go back to school for?

Which of the following is the best response to the question?

Choices:
A. face problems
B. better themselves
C. become disillusioned
D. knowledge
E. talk to each other

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
If you're watching a comedy film what would you expect to hear from the audience?,watching film,validation-00000-of-00001,D,"Question:
If you're watching a comedy film what would you expect to hear from the audience?

Which of the following is the best response to the question?

Choices:
A. park
B. insight
C. being entertained
D. laughter
E. fear

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
If proof is found of someone killing people they will likely receive a long what?,killing people,train-00000-of-00001,E,"Question:
If proof is found of someone killing people they will likely receive a long what?

Which of the following is the best response to the question?

Choices:
A. going to jail
B. jailed
C. punishment
D. feelings of guilt
E. prison sentence

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Sarah's birds died because she didn't poke holes in the jar and they needed to do what?,birds,train-00000-of-00001,E,"Question:
Sarah's birds died because she didn't poke holes in the jar and they needed to do what?

Which of the following is the best response to the question?

Choices:
A. pick berries
B. sky
C. reproduce
D. roof
E. breathe

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"A computer can process information and even choose, but it can't do what?",computer,train-00000-of-00001,C,"Question:
A computer can process information and even choose, but it can't do what?

Which of the following is the best response to the question?

Choices:
A. run programs
B. make decisions
C. believe in god
D. brain
E. receive data

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"Residents though the city should manage garbage waste, so what did the city create to handle it?",garbage waste,train-00000-of-00001,B,"Question:
Residents though the city should manage garbage waste, so what did the city create to handle it?

Which of the following is the best response to the question?

Choices:
A. garbage can
B. garbage dump
C. sewer
D. street
E. gutter

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
The banana was green and full of sugar.   Bart took a bite and immediately felt what?,green,train-00000-of-00001,A,"Question:
The banana was green and full of sugar.   Bart took a bite and immediately felt what?

Which of the following is the best response to the question?

Choices:
A. cloy
B. ripe
C. processed
D. yellow
E. glucose

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"If people are bowing before a statue, what are they likely doing?",people,train-00000-of-00001,B,"Question:
If people are bowing before a statue, what are they likely doing?

Which of the following is the best response to the question?

Choices:
A. believe in god
B. worship idols
C. knees
D. hope for peace
E. form opinions

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What is someone doing when scheduling when to go to party?,going to party,validation-00000-of-00001,E,"Question:
What is someone doing when scheduling when to go to party?

Which of the following is the best response to the question?

Choices:
A. rumpspringa
B. meeting new people
C. having fun
D. meet new people
E. plan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Lance spotted a wet beaver in the river.  Where might have lance been?,beaver,train-00000-of-00001,E,"Question:
Lance spotted a wet beaver in the river.  Where might have lance been?

Which of the following is the best response to the question?

Choices:
A. dictionary
B. books
C. australia
D. seaside
E. countryside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"The birds were looking around in August, what were they looking to do?",birds,train-00000-of-00001,D,"Question:
The birds were looking around in August, what were they looking to do?

Which of the following is the best response to the question?

Choices:
A. breathe
B. sky
C. build a nest
D. pick berries
E. reproduce

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
When competing against a fighter with better training you'll likely get a what?,competing against,train-00000-of-00001,D,"Question:
When competing against a fighter with better training you'll likely get a what?

Which of the following is the best response to the question?

Choices:
A. pride
B. free hat
C. emotions
D. injury
E. one winner

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
"The leading team was upset, they had stopped actively reaching advantage because they had grown too comfortable what?",reaching advantage,train-00000-of-00001,C,"Question:
The leading team was upset, they had stopped actively reaching advantage because they had grown too comfortable what?

Which of the following is the best response to the question?

Choices:
A. encouraging
B. victory
C. being ahead
D. fall
E. winning

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where is a beaver unlikely to be found?,beaver,train-00000-of-00001,A,"Question:
Where is a beaver unlikely to be found?

Which of the following is the best response to the question?

Choices:
A. strip club
B. helm of ship
C. ontario
D. lake or river
E. millpond

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where would someone have to carry their brass instrument while they played?,brass instrument,train-00000-of-00001,B,"Question:
Where would someone have to carry their brass instrument while they played?

Which of the following is the best response to the question?

Choices:
A. punk rock band
B. marching band
C. brass band
D. annoy mom
E. jazz band

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What might I use if I want to give a grape as a gift?,grape,train-00000-of-00001,E,"Question:
What might I use if I want to give a grape as a gift?

Which of the following is the best response to the question?

Choices:
A. kitchen
B. bowl of fruit
C. box
D. field
E. fruit basket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What were people's thoughts on the bad words being said in church?,words,train-00000-of-00001,A,"Question:
What were people's thoughts on the bad words being said in church?

Which of the following is the best response to the question?

Choices:
A. hurtful
B. laugh
C. mean things
D. hurt people
E. mean many things

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
John walked into the courtyard of a famous palace.  Where might he be?,courtyard,train-00000-of-00001,B,"Question:
John walked into the courtyard of a famous palace.  Where might he be?

Which of the following is the best response to the question?

Choices:
A. spain
B. versailles
C. courtroom
D. office complex
E. lawn

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
The government decided it was time to allow companies to do the practice they once what?,allow,train-00000-of-00001,C,"Question:
The government decided it was time to allow companies to do the practice they once what?

Which of the following is the best response to the question?

Choices:
A. deny
B. permitted
C. forbid
D. reject
E. prohibit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
If someone has hunger in the middle of the night what should they do?,hunger,train-00000-of-00001,E,"Question:
If someone has hunger in the middle of the night what should they do?

Which of the following is the best response to the question?

Choices:
A. drink water
B. cook dinner
C. have lunch
D. eat hamburger
E. have food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"The doctor told the man to eat vegetables, he promised it would help him what?",eat vegetables,train-00000-of-00001,D,"Question:
The doctor told the man to eat vegetables, he promised it would help him what?

Which of the following is the best response to the question?

Choices:
A. good for
B. wash
C. starve
D. lose weight
E. fibre

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"If a student is staring at the ceiling while bored, where are they likely to be?",ceiling,train-00000-of-00001,E,"Question:
If a student is staring at the ceiling while bored, where are they likely to be?

Which of the following is the best response to the question?

Choices:
A. most architectural structures
B. loft
C. house
D. temple
E. classroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"Dad is putting away folding chairs after a party, where does he store them?",folding chair,train-00000-of-00001,B,"Question:
Dad is putting away folding chairs after a party, where does he store them?

Which of the following is the best response to the question?

Choices:
A. church
B. garage
C. attic
D. room
E. closet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Why would a person stay at their job without being paid?,person,train-00000-of-00001,E,"Question:
Why would a person stay at their job without being paid?

Which of the following is the best response to the question?

Choices:
A. thank god
B. wait in line
C. volunteer
D. offer help
E. enjoy working

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What could a solicitor do that would gain revenue?,solicitor,train-00000-of-00001,B,"Question:
What could a solicitor do that would gain revenue?

Which of the following is the best response to the question?

Choices:
A. buy house
B. claim compensation
C. write letter
D. charge according to time
E. go to court

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
