question,question_concept,_split,answer,final_prompt,len_tk_qwen2.5_7b_base
Why would you be unable to use a basketball?,basketball,train-00000-of-00001,B,"Question:
Why would you be unable to use a basketball?

Which of the following is the best response to the question?

Choices:
A. full of air
B. punctured
C. popular in america
D. round
E. not tall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
If your payroll tax amount is too much you'll get what from the IRS?,tax,train-00000-of-00001,B,"Question:
If your payroll tax amount is too much you'll get what from the IRS?

Which of the following is the best response to the question?

Choices:
A. discount
B. refund
C. income
D. spend
E. credit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What does committing murder lead to in teh family of the murdered?,committing murder,train-00000-of-00001,D,"Question:
What does committing murder lead to in teh family of the murdered?

Which of the following is the best response to the question?

Choices:
A. bankruptcy
B. fear
C. guilty conscience
D. great sorrow
E. find god

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What do you want to do to fat when you release energy?,release energy,train-00000-of-00001,A,"Question:
What do you want to do to fat when you release energy?

Which of the following is the best response to the question?

Choices:
A. work off
B. burn
C. think
D. exercise
E. go running

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What is ti called when people at work get together to exchange information?,information,train-00000-of-00001,D,"Question:
What is ti called when people at work get together to exchange information?

Which of the following is the best response to the question?

Choices:
A. online
B. internet
C. break
D. meeting
E. manual

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
The city's community garden was demolished for yet another what?,garden,train-00000-of-00001,D,"Question:
The city's community garden was demolished for yet another what?

Which of the following is the best response to the question?

Choices:
A. wasteland
B. ocean
C. desert
D. parking lot
E. flowers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where do you wait in a reception area for a meeting?,reception area,train-00000-of-00001,E,"Question:
Where do you wait in a reception area for a meeting?

Which of the following is the best response to the question?

Choices:
A. hall
B. motel
C. hotels
D. law firm
E. office building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
"He left camp following the river down below, his partnered remained where?",below,train-00000-of-00001,D,"Question:
He left camp following the river down below, his partnered remained where?

Which of the following is the best response to the question?

Choices:
A. upstairs
B. inside
C. over
D. upstream
E. above

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Despite numerous bad public reviews the expert found the product to be what?,bad,train-00000-of-00001,C,"Question:
Despite numerous bad public reviews the expert found the product to be what?

Which of the following is the best response to the question?

Choices:
A. sincere
B. adequate
C. first rate
D. passable
E. sufficient

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where would you get a bag after someone fills it with clothes?,bag,train-00000-of-00001,C,"Question:
Where would you get a bag after someone fills it with clothes?

Which of the following is the best response to the question?

Choices:
A. shopping cart
B. cashier
C. shopping mall
D. supermarket
E. bookstore

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What will a body be doing after jogging?,jogging,train-00000-of-00001,C,"Question:
What will a body be doing after jogging?

Which of the following is the best response to the question?

Choices:
A. breath problem
B. exhaustion
C. sweating
D. shortness of breath
E. shin splints

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
If you're going fishing what do you need to buy?,going fishing,train-00000-of-00001,C,"Question:
If you're going fishing what do you need to buy?

Which of the following is the best response to the question?

Choices:
A. tackle
B. fishing rod
C. bate
D. boat
E. fishing pole

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What proof is required to purchase beer?,buying beer,train-00000-of-00001,A,"Question:
What proof is required to purchase beer?

Which of the following is the best response to the question?

Choices:
A. i.d
B. coins
C. being over age 21
D. proper age
E. money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"James stove didn't work, so he had to cook where?",stove,train-00000-of-00001,E,"Question:
James stove didn't work, so he had to cook where?

Which of the following is the best response to the question?

Choices:
A. bathroom
B. tent
C. living room
D. apartment
E. friend's house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What is the purpose of the cabin in an airplane?,airplanes,train-00000-of-00001,D,"Question:
What is the purpose of the cabin in an airplane?

Which of the following is the best response to the question?

Choices:
A. crash
B. living
C. slow down
D. carry people
E. speed up

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
How would you express information to a deaf person?,express information,validation-00000-of-00001,C,"Question:
How would you express information to a deaf person?

Which of the following is the best response to the question?

Choices:
A. summarize main points
B. close mouth
C. write down
D. may disagree
E. talk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Water turns turbines in what type of structure?,water,train-00000-of-00001,A,"Question:
Water turns turbines in what type of structure?

Which of the following is the best response to the question?

Choices:
A. hydroelectric dam
B. puddle
C. sump pump
D. underground stream
E. sink

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would you find a large dining room containing a fancy chandelier?,dining room,validation-00000-of-00001,A,"Question:
Where would you find a large dining room containing a fancy chandelier?

Which of the following is the best response to the question?

Choices:
A. mansion
B. every house
C. own home
D. table
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Computers with audio cards can do what?,computers,train-00000-of-00001,B,"Question:
Computers with audio cards can do what?

Which of the following is the best response to the question?

Choices:
A. do work
B. produce sound
C. follow instructions
D. advance knowledge
E. solve problems

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
"He needed more information to fix it, so he consulted the what?",information,validation-00000-of-00001,E,"Question:
He needed more information to fix it, so he consulted the what?

Which of the following is the best response to the question?

Choices:
A. chickens
B. google
C. newspaper
D. online
E. manual

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What will happen if you inject water into yourself?,water,validation-00000-of-00001,B,"Question:
What will happen if you inject water into yourself?

Which of the following is the best response to the question?

Choices:
A. dilute
B. thin blood
C. take several forms
D. wet clothes
E. move mountains

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What is a person trying to accomplish when taking analgesics?,person,validation-00000-of-00001,B,"Question:
What is a person trying to accomplish when taking analgesics?

Which of the following is the best response to the question?

Choices:
A. acceptance
B. avoid pain
C. acknowledgment
D. passing grade
E. intellectual challenge

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What does an animal do when it becomes old?,animal,train-00000-of-00001,C,"Question:
What does an animal do when it becomes old?

Which of the following is the best response to the question?

Choices:
A. live long
B. leave home
C. feel pain
D. eating
E. sense fear in human

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What is someone likely to feel while going into a trance?,going into trance,train-00000-of-00001,E,"Question:
What is someone likely to feel while going into a trance?

Which of the following is the best response to the question?

Choices:
A. sleepwalking
B. memory loss
C. hypnotized
D. confusion
E. peacefulness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Every living person has what on top of their neck?,person,train-00000-of-00001,D,"Question:
Every living person has what on top of their neck?

Which of the following is the best response to the question?

Choices:
A. immune system
B. belly button
C. two eyes
D. one head
E. name

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What is likely to happen to someone who is learning?,learning,validation-00000-of-00001,C,"Question:
What is likely to happen to someone who is learning?

Which of the following is the best response to the question?

Choices:
A. overconfidence
B. effectiveness
C. knowing more
D. head grows larger
E. growth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What can be the end result of waging war?,waging war,train-00000-of-00001,A,"Question:
What can be the end result of waging war?

Which of the following is the best response to the question?

Choices:
A. people dying
B. heartache
C. killing people
D. evil
E. suffering

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Some people go their whole life doing what for love?,love,train-00000-of-00001,B,"Question:
Some people go their whole life doing what for love?

Which of the following is the best response to the question?

Choices:
A. live life
B. wait for
C. emotion affection
D. kiss
E. entertain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where could you find an armchair that is used by many people?,armchair,train-00000-of-00001,D,"Question:
Where could you find an armchair that is used by many people?

Which of the following is the best response to the question?

Choices:
A. lounge
B. office
C. study
D. hospital
E. furniture store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"James needed smooth sandpaper, but instead he got what type?",smooth,validation-00000-of-00001,A,"Question:
James needed smooth sandpaper, but instead he got what type?

Which of the following is the best response to the question?

Choices:
A. rough
B. non smooth
C. uneven
D. plastic
E. bumpy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What is a useful activity when experiencing loneliness?,loneliness,train-00000-of-00001,D,"Question:
What is a useful activity when experiencing loneliness?

Which of the following is the best response to the question?

Choices:
A. meet people
B. meet friend
C. make people laugh
D. socialize
E. liquor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
"He was very outgoing, for him making friends was no personal what?",making friends,validation-00000-of-00001,D,"Question:
He was very outgoing, for him making friends was no personal what?

Which of the following is the best response to the question?

Choices:
A. scary
B. having friends
C. good feeling
D. conflict
E. friendship

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"What events are typical, expected and not divine?",divine,train-00000-of-00001,B,"Question:
What events are typical, expected and not divine?

Which of the following is the best response to the question?

Choices:
A. undivine
B. humdrum
C. godless
D. horrible
E. cursed

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would a snake hide before ambushing prey?,snake,train-00000-of-00001,E,"Question:
Where would a snake hide before ambushing prey?

Which of the following is the best response to the question?

Choices:
A. burlap sack
B. closet
C. pet shops
D. hot country
E. deep grass

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What is a child likely to do while going to play?,going to play,train-00000-of-00001,A,"Question:
What is a child likely to do while going to play?

Which of the following is the best response to the question?

Choices:
A. laugh
B. sit
C. happiness
D. being entertained
E. walk slowly

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What's a bad thing people do?,people,train-00000-of-00001,D,"Question:
What's a bad thing people do?

Which of the following is the best response to the question?

Choices:
A. make friends
B. learn from each other
C. stand upright
D. use drugs
E. donate to charity

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What symptom does smoking relate to the organ of breathing?,smoking,train-00000-of-00001,D,"Question:
What symptom does smoking relate to the organ of breathing?

Which of the following is the best response to the question?

Choices:
A. death
B. birth defects
C. heart attack
D. persistent cough
E. bad breath

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where can butter be found in small pats?,butter,train-00000-of-00001,B,"Question:
Where can butter be found in small pats?

Which of the following is the best response to the question?

Choices:
A. refrigerator
B. restaurant
C. inside a mammoth's handbag
D. pastry
E. fridge

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What might happen to a person with a tumor?,person,train-00000-of-00001,B,"Question:
What might happen to a person with a tumor?

Which of the following is the best response to the question?

Choices:
A. travel
B. die of cancer
C. cross street
D. meet friends
E. say words

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where can you find a barber shop north of the U.S.?,barber shop,train-00000-of-00001,E,"Question:
Where can you find a barber shop north of the U.S.?

Which of the following is the best response to the question?

Choices:
A. small town
B. neighborhood
C. high street
D. motel
E. canada

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What must be done to a driveway filled with snow?,snow,train-00000-of-00001,D,"Question:
What must be done to a driveway filled with snow?

Which of the following is the best response to the question?

Choices:
A. christmas
B. avalanches
C. blizzard
D. shovelling
E. ice storm

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What type of group is a bugle used in?,bugle,train-00000-of-00001,A,"Question:
What type of group is a bugle used in?

Which of the following is the best response to the question?

Choices:
A. brass band
B. music store
C. home
D. army corps
E. american army

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"The person began exercising, what is he seeking?",person,train-00000-of-00001,B,"Question:
The person began exercising, what is he seeking?

Which of the following is the best response to the question?

Choices:
A. good relationship
B. live well
C. financial security
D. own house
E. food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Why do people want to read fiction books?,read,train-00000-of-00001,A,"Question:
Why do people want to read fiction books?

Which of the following is the best response to the question?

Choices:
A. having fun
B. falling asleep
C. learn new things
D. learn unknown concepts
E. memorize

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What moving object will a person be happy to have?,person,train-00000-of-00001,E,"Question:
What moving object will a person be happy to have?

Which of the following is the best response to the question?

Choices:
A. catch cold
B. experience joy
C. submarine
D. believe in god
E. own car

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
The matter in side a can of soda is in what state?,can of soda,train-00000-of-00001,D,"Question:
The matter in side a can of soda is in what state?

Which of the following is the best response to the question?

Choices:
A. vending machine
B. pop
C. store
D. liquid
E. picnic cooler

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"He was jealous of the winner, his eyes were what with envy?",eyes,train-00000-of-00001,A,"Question:
He was jealous of the winner, his eyes were what with envy?

Which of the following is the best response to the question?

Choices:
A. green
B. see light
C. blue
D. brown
E. red

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would you get some wood if you do not have any?,wood,validation-00000-of-00001,D,"Question:
Where would you get some wood if you do not have any?

Which of the following is the best response to the question?

Choices:
A. carpet
B. boat
C. river
D. lumberyard
E. synagogue

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
If the authorities see you hurting someone else what will happen to you?,hurting else,train-00000-of-00001,E,"Question:
If the authorities see you hurting someone else what will happen to you?

Which of the following is the best response to the question?

Choices:
A. sadness
B. racial profiling
C. anger
D. suffering
E. arrested

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
what do living things do to continue the species?,living things,train-00000-of-00001,C,"Question:
what do living things do to continue the species?

Which of the following is the best response to the question?

Choices:
A. move
B. love
C. procreate
D. increase in size
E. increase population

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where would you find a tennis court made from red clay?,tennis court,train-00000-of-00001,B,"Question:
Where would you find a tennis court made from red clay?

Which of the following is the best response to the question?

Choices:
A. new york
B. wimbledon
C. town
D. country club
E. health club

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"While he wanted to believe, what mindset prevented him from accepting it?",believe,train-00000-of-00001,B,"Question:
While he wanted to believe, what mindset prevented him from accepting it?

Which of the following is the best response to the question?

Choices:
A. deny
B. skepticism
C. doubt
D. disbelief
E. paranoid

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Riding a bike for a long time can cause what?,riding bike,validation-00000-of-00001,B,"Question:
Riding a bike for a long time can cause what?

Which of the following is the best response to the question?

Choices:
A. enjoyment
B. fatigue
C. falling down
D. getting lost
E. thirst

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where would you normally apply sunblock to protect bare skin from sunshine?,sunshine,train-00000-of-00001,E,"Question:
Where would you normally apply sunblock to protect bare skin from sunshine?

Which of the following is the best response to the question?

Choices:
A. meadow
B. summer
C. sand
D. street
E. beach

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Why does someone engage in chatting with friends when they want to workout?,chatting with friends,train-00000-of-00001,E,"Question:
Why does someone engage in chatting with friends when they want to workout?

Which of the following is the best response to the question?

Choices:
A. fun
B. agreement
C. cell phone
D. answers
E. inspiration

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where is a tap show likely to make a lot of noise?,tap,train-00000-of-00001,E,"Question:
Where is a tap show likely to make a lot of noise?

Which of the following is the best response to the question?

Choices:
A. water fountain
B. soda fountain
C. ohio
D. bathtub
E. bathroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What liquid contains naturally occurring salt?,salt,train-00000-of-00001,B,"Question:
What liquid contains naturally occurring salt?

Which of the following is the best response to the question?

Choices:
A. seashell
B. ocean water
C. table
D. fast food restaurant
E. neighbor's house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What happens after having food too much?,having food,train-00000-of-00001,D,"Question:
What happens after having food too much?

Which of the following is the best response to the question?

Choices:
A. being full
B. laziness
C. weight gain
D. getting fat
E. will not starve

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What do taking illegal drugs do long term?,drugs,train-00000-of-00001,A,"Question:
What do taking illegal drugs do long term?

Which of the following is the best response to the question?

Choices:
A. cause illness
B. damage
C. benefit well-being
D. cause accidents
E. change state of mind

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where do tourists go on hikes to take pictures?,tourists,train-00000-of-00001,B,"Question:
Where do tourists go on hikes to take pictures?

Which of the following is the best response to the question?

Choices:
A. new york
B. waterfall
C. state park
D. beach
E. disneyland

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
"The small cabin was not available, so they were upgraded to what?",cabin,train-00000-of-00001,A,"Question:
The small cabin was not available, so they were upgraded to what?

Which of the following is the best response to the question?

Choices:
A. villa
B. spacecraft
C. hall
D. palace
E. hotel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Someone who's belief in a philosophy is not slight but extreme is what?,slight,train-00000-of-00001,C,"Question:
Someone who's belief in a philosophy is not slight but extreme is what?

Which of the following is the best response to the question?

Choices:
A. significant
B. important
C. radical
D. radical
E. essencial

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
To think for a long time you need to be able to?,think,train-00000-of-00001,B,"Question:
To think for a long time you need to be able to?

Which of the following is the best response to the question?

Choices:
A. sit quietly
B. concentrate
C. know first
D. relax
E. drink

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
A person needing to rest often is often a sign of what?,rest,train-00000-of-00001,B,"Question:
A person needing to rest often is often a sign of what?

Which of the following is the best response to the question?

Choices:
A. regenerate
B. weak
C. depression
D. feel more energetic
E. need to

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where might someone play with a frisbee?,frisbee,train-00000-of-00001,B,"Question:
Where might someone play with a frisbee?

Which of the following is the best response to the question?

Choices:
A. golf course
B. park
C. roof
D. air
E. deadhead's van

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
"The bird was tired, where did it land?",bird,train-00000-of-00001,D,"Question:
The bird was tired, where did it land?

Which of the following is the best response to the question?

Choices:
A. cage
B. sky
C. on the head of a man
D. roof
E. countryside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where do you see signs that state a point of view?,signs,train-00000-of-00001,B,"Question:
Where do you see signs that state a point of view?

Which of the following is the best response to the question?

Choices:
A. freeway
B. demonstration
C. state park
D. store
E. corner of two streets

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Putting on a professional stage play requires what kind of effort?,play,train-00000-of-00001,A,"Question:
Putting on a professional stage play requires what kind of effort?

Which of the following is the best response to the question?

Choices:
A. serious
B. having fun
C. laugh
D. musical
E. doing nothing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What could happen when beginning work after it is too late?,beginning work,train-00000-of-00001,A,"Question:
What could happen when beginning work after it is too late?

Which of the following is the best response to the question?

Choices:
A. panic
B. deadlines
C. accomplishing
D. momentum
E. sitting down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where are you not likely to find an apple tree?,apple tree,train-00000-of-00001,A,"Question:
Where are you not likely to find an apple tree?

Which of the following is the best response to the question?

Choices:
A. new york
B. washington state
C. valley
D. rainforest
E. park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where would you get some chocolate if you want to bake a cake?,chocolate,train-00000-of-00001,B,"Question:
Where would you get some chocolate if you want to bake a cake?

Which of the following is the best response to the question?

Choices:
A. box
B. supermarket
C. chicken stall
D. restaurant
E. movies

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"He was a sloppy eater, so where did he leave a mess?",mess,validation-00000-of-00001,D,"Question:
He was a sloppy eater, so where did he leave a mess?

Which of the following is the best response to the question?

Choices:
A. sailboat
B. desk
C. closet
D. table
E. apartment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What do you want to do when you love something?,love,train-00000-of-00001,B,"Question:
What do you want to do when you love something?

Which of the following is the best response to the question?

Choices:
A. please parents
B. get
C. make a promise
D. reproduce
E. obstruct justice

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would you find the closest items made from wood?,wood,train-00000-of-00001,A,"Question:
Where would you find the closest items made from wood?

Which of the following is the best response to the question?

Choices:
A. own home
B. lumberyard
C. electric store
D. carpet
E. boat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
"He won a prize for hitting bottle, he had very good what?",hitting bottle,train-00000-of-00001,E,"Question:
He won a prize for hitting bottle, he had very good what?

Which of the following is the best response to the question?

Choices:
A. buying beer
B. alcoholism
C. spirit
D. table
E. aim

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What will the judge declare if someone is committing perjury?,committing perjury,train-00000-of-00001,A,"Question:
What will the judge declare if someone is committing perjury?

Which of the following is the best response to the question?

Choices:
A. mistrial
B. criminal prosecution
C. citation
D. injustices
E. penalty

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What would describe the hands of someone who doesn't do manual labor?,hands,train-00000-of-00001,B,"Question:
What would describe the hands of someone who doesn't do manual labor?

Which of the following is the best response to the question?

Choices:
A. articulate
B. soft
C. sign language
D. graceful
E. cup water

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What kind of place does a beaver call home?,beaver,train-00000-of-00001,D,"Question:
What kind of place does a beaver call home?

Which of the following is the best response to the question?

Choices:
A. ontario
B. zoo
C. marshland
D. woodlands
E. canada

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What makes it possible for your bones to move?,bone,train-00000-of-00001,D,"Question:
What makes it possible for your bones to move?

Which of the following is the best response to the question?

Choices:
A. flesh
B. human body vertebrates
C. skin and
D. muscle
E. cartilage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
How can a company get things to their customers?,company,train-00000-of-00001,D,"Question:
How can a company get things to their customers?

Which of the following is the best response to the question?

Choices:
A. mail order
B. carrier pigeon
C. own factory
D. ship goods
E. commit crime

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What event would a well dressed person visit a box office for?,box office,train-00000-of-00001,D,"Question:
What event would a well dressed person visit a box office for?

Which of the following is the best response to the question?

Choices:
A. fox theater
B. theater district
C. ballpark
D. theatre
E. counseling

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
You're likely to find broken glass where after a bar closes?,broken glass,train-00000-of-00001,E,"Question:
You're likely to find broken glass where after a bar closes?

Which of the following is the best response to the question?

Choices:
A. field
B. parking lot
C. beach
D. bridge
E. street

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where might someone find an abundance of cloth?,cloth,train-00000-of-00001,B,"Question:
Where might someone find an abundance of cloth?

Which of the following is the best response to the question?

Choices:
A. egyptian tombs
B. fabric store
C. kitchen
D. washing machine
E. bedroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where is the closest place from where you could borrow salt?,salt,validation-00000-of-00001,D,"Question:
Where is the closest place from where you could borrow salt?

Which of the following is the best response to the question?

Choices:
A. ocean water
B. table
C. shaker
D. neighbor's house
E. lake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"If I can feel material, then where am I generally speaking?",material,train-00000-of-00001,D,"Question:
If I can feel material, then where am I generally speaking?

Which of the following is the best response to the question?

Choices:
A. fabric store
B. anything
C. attic
D. physical world
E. science lab

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
where do you buy a piano?,piano,train-00000-of-00001,B,"Question:
where do you buy a piano?

Which of the following is the best response to the question?

Choices:
A. music school
B. music store
C. concert hall
D. neighbor's house
E. symphony orchestra drawing room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"The person was thirsty, what should he have done?",person,train-00000-of-00001,D,"Question:
The person was thirsty, what should he have done?

Which of the following is the best response to the question?

Choices:
A. eat
B. sunny days
C. compliments
D. drink water
E. all kinds of things

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where is a traffic artery likely to be clogged?,traffic artery,train-00000-of-00001,B,"Question:
Where is a traffic artery likely to be clogged?

Which of the following is the best response to the question?

Choices:
A. high traffic area
B. major city
C. town
D. traffic lights
E. highway

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What would you put meat on top of to cook it?,meat,validation-00000-of-00001,E,"Question:
What would you put meat on top of to cook it?

Which of the following is the best response to the question?

Choices:
A. oil
B. freezer
C. ham sandwich
D. oven
E. frying pan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
"When Bob plugs has electricity next to his nightstand, where is he?",electricity,train-00000-of-00001,D,"Question:
When Bob plugs has electricity next to his nightstand, where is he?

Which of the following is the best response to the question?

Choices:
A. church
B. concert
C. opera
D. bedroom
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What could happen after you were hiking for only a short time?,hiking,train-00000-of-00001,B,"Question:
What could happen after you were hiking for only a short time?

Which of the following is the best response to the question?

Choices:
A. adventure
B. smile
C. cramps
D. sweating
E. give up

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Exercise seems foreign to those who are just plain what?,exercise,train-00000-of-00001,C,"Question:
Exercise seems foreign to those who are just plain what?

Which of the following is the best response to the question?

Choices:
A. sloth
B. condition heart
C. lazy
D. work out
E. couch potato

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What type of place has stopped giving out plastic shopping bags?,shopping bag,train-00000-of-00001,D,"Question:
What type of place has stopped giving out plastic shopping bags?

Which of the following is the best response to the question?

Choices:
A. retail store
B. restaurant
C. mini mart
D. grocery store
E. home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
