question,question_concept,_split,answer,final_prompt,len_tk_mistral_7b_instruct
Where would a highlighter be used in a legal case?,highlighter,train-00000-of-00001,D,"Question:
Where would a highlighter be used in a legal case?

Which of the following is the best response to the question?

Choices:
A. office supply store
B. office drawer
C. desk drawer
D. case
E. school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The workers passed through the lobby, what building were they in?",lobby,train-00000-of-00001,B,"Question:
The workers passed through the lobby, what building were they in?

Which of the following is the best response to the question?

Choices:
A. opera
B. office building
C. receptionist
D. hotel
E. business plan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
How would an artist create a fox?,fox,train-00000-of-00001,A,"Question:
How would an artist create a fox?

Which of the following is the best response to the question?

Choices:
A. painting
B. england
C. wooded areas
D. ask them first
E. chicken coop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
It is important to spend time in nature and sometimes get out of where?,nature,train-00000-of-00001,A,"Question:
It is important to spend time in nature and sometimes get out of where?

Which of the following is the best response to the question?

Choices:
A. city
B. man made
C. indoors
D. town
E. artificial

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What would you do to a television after you finish using television?,using television,train-00000-of-00001,E,"Question:
What would you do to a television after you finish using television?

Which of the following is the best response to the question?

Choices:
A. entertainment
B. choosing
C. change channel
D. fall asleep
E. turning off

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is the opposite of something being liken to something else?,liken,train-00000-of-00001,E,"Question:
What is the opposite of something being liken to something else?

Which of the following is the best response to the question?

Choices:
A. discern
B. distinguish
C. metaphor
D. discriminate
E. contrast

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
The hospital next to the Sears tower is where?,hospital,train-00000-of-00001,A,"Question:
The hospital next to the Sears tower is where?

Which of the following is the best response to the question?

Choices:
A. detroit
B. most cities
C. military base
D. every state
E. ross tower

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What might someone not caught killing someone have?,killing,train-00000-of-00001,C,"Question:
What might someone not caught killing someone have?

Which of the following is the best response to the question?

Choices:
A. a conviction
B. going to jail
C. guilty conscience
D. retribution
E. criminal trial

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would someone find freshest possible eggs?,egg,train-00000-of-00001,E,"Question:
Where would someone find freshest possible eggs?

Which of the following is the best response to the question?

Choices:
A. supermarket
B. grocery store
C. in a salad
D. bird's nest
E. chicken coop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Why does a person move to the suburbs?,person,train-00000-of-00001,E,"Question:
Why does a person move to the suburbs?

Which of the following is the best response to the question?

Choices:
A. make others happy
B. good lover
C. acknowledgment
D. for fun
E. low crime

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where might be an odd place to put a washing machine?,washing machine,train-00000-of-00001,C,"Question:
Where might be an odd place to put a washing machine?

Which of the following is the best response to the question?

Choices:
A. laundromat
B. wash clothes
C. cellar
D. house
E. garage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What happens to a body when they die?,people,train-00000-of-00001,B,"Question:
What happens to a body when they die?

Which of the following is the best response to the question?

Choices:
A. killed in war
B. cremated
C. opposed to war
D. introverted
E. murdered

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
How does the first time having sex feel for a girl?,sex,train-00000-of-00001,D,"Question:
How does the first time having sex feel for a girl?

Which of the following is the best response to the question?

Choices:
A. pleasant
B. irritating
C. effect of burning calories
D. painful
E. dirty

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
When people are overly drunk how do the seem to others?,drunk,train-00000-of-00001,B,"Question:
When people are overly drunk how do the seem to others?

Which of the following is the best response to the question?

Choices:
A. disoriented
B. appear ridiculous
C. walk off
D. throw up
E. raise hell

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"I'm looking for alcohol and fried foods, any suggestions?",alcohol,train-00000-of-00001,A,"Question:
I'm looking for alcohol and fried foods, any suggestions?

Which of the following is the best response to the question?

Choices:
A. pub
B. plane
C. beer
D. store
E. fraternity house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where might  a  blowfish be kept?,blowfish,train-00000-of-00001,B,"Question:
Where might  a  blowfish be kept?

Which of the following is the best response to the question?

Choices:
A. little mermaid
B. pet shop
C. great outdoors
D. fish market
E. aquarium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"The potato wants to grow, where should it be placed?",potato,train-00000-of-00001,C,"Question:
The potato wants to grow, where should it be placed?

Which of the following is the best response to the question?

Choices:
A. pantry
B. paper bag
C. underground
D. boiling water
E. drawer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"She complained about the radio, what was it doing?",radio,train-00000-of-00001,D,"Question:
She complained about the radio, what was it doing?

Which of the following is the best response to the question?

Choices:
A. radiotracking
B. turn on
C. train
D. blaring
E. play music

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
When we are running what are we doing?,run,validation-00000-of-00001,D,"Question:
When we are running what are we doing?

Which of the following is the best response to the question?

Choices:
A. stretches
B. running from police
C. learn to walk
D. go quickly
E. get out of bed

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"When playing baseball they keep track of mistakes, this stat is called what?",playing baseball,train-00000-of-00001,E,"Question:
When playing baseball they keep track of mistakes, this stat is called what?

Which of the following is the best response to the question?

Choices:
A. happiness
B. sore muscles
C. injury
D. perfection
E. errors

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
When does christmas happen in Argentina?,christmas,train-00000-of-00001,B,"Question:
When does christmas happen in Argentina?

Which of the following is the best response to the question?

Choices:
A. buy presents for others
B. summer
C. when correct time comes
D. easter
E. halloween

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is a place a beaver wouldn't feel free?,beaver,train-00000-of-00001,E,"Question:
Where is a place a beaver wouldn't feel free?

Which of the following is the best response to the question?

Choices:
A. woodlands
B. cage
C. canada
D. ontario
E. zoo

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Why is eating breakfast the best meal of the day?,eating breakfast,train-00000-of-00001,B,"Question:
Why is eating breakfast the best meal of the day?

Which of the following is the best response to the question?

Choices:
A. feeling satisfied
B. have energy
C. start metabolism
D. full stomach
E. gain energy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What happens when applying a heat source to combustible materials?,starting fire,train-00000-of-00001,C,"Question:
What happens when applying a heat source to combustible materials?

Which of the following is the best response to the question?

Choices:
A. go to jail
B. consume
C. burns
D. damage
E. warmth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What does a person do before going on vacation?,person,train-00000-of-00001,E,"Question:
What does a person do before going on vacation?

Which of the following is the best response to the question?

Choices:
A. rest in bed
B. lie in bed
C. buy food
D. cross street
E. water plants

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What do birds have that can fall off?,bird,train-00000-of-00001,B,"Question:
What do birds have that can fall off?

Which of the following is the best response to the question?

Choices:
A. two wings
B. feathers
C. beak
D. two legs
E. keeping in zoo

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where can I drink beer or any other alcoholic beverage?,beer,train-00000-of-00001,A,"Question:
Where can I drink beer or any other alcoholic beverage?

Which of the following is the best response to the question?

Choices:
A. bar
B. vending machine
C. bottle
D. refrigerator
E. hockey game

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The moon was seen surrounded by stars, when was it seen by people?",moon,train-00000-of-00001,E,"Question:
The moon was seen surrounded by stars, when was it seen by people?

Which of the following is the best response to the question?

Choices:
A. magic
B. outer space
C. air
D. universe
E. night sky

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What city is known for having a nightclub scene?,nightclub,train-00000-of-00001,C,"Question:
What city is known for having a nightclub scene?

Which of the following is the best response to the question?

Choices:
A. new-york
B. major city
C. manhattan
D. downtown area
E. building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where can you find a number of wind instruments together in public?,wind instrument,validation-00000-of-00001,E,"Question:
Where can you find a number of wind instruments together in public?

Which of the following is the best response to the question?

Choices:
A. music store
B. create music
C. zoo
D. music room
E. symphony

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where is not likely to use a card catalog for organizing?,card catalog,train-00000-of-00001,E,"Question:
Where is not likely to use a card catalog for organizing?

Which of the following is the best response to the question?

Choices:
A. book store
B. library
C. find information resources
D. store
E. kitchen

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What force keeps objects on the surface of the earth?,earth,train-00000-of-00001,D,"Question:
What force keeps objects on the surface of the earth?

Which of the following is the best response to the question?

Choices:
A. tectonic plates
B. the sun
C. one moon
D. gravity
E. four seasons

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Bobby found the lamp beside him when he got up. Where was the lamp?,lamp,train-00000-of-00001,E,"Question:
Bobby found the lamp beside him when he got up. Where was the lamp?

Which of the following is the best response to the question?

Choices:
A. building
B. house
C. store
D. ocean
E. bedroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"He tried communicating by radio, but what did he hearing the other end?",communicating,train-00000-of-00001,A,"Question:
He tried communicating by radio, but what did he hearing the other end?

Which of the following is the best response to the question?

Choices:
A. static
B. progress
C. collaboration
D. confusion
E. sound

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"When you are drinking liquid, what are you doing?",drinking,train-00000-of-00001,D,"Question:
When you are drinking liquid, what are you doing?

Which of the following is the best response to the question?

Choices:
A. need to urinate
B. vomiting
C. having fun
D. swallow
E. sickness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What may you experience after listening to a boring talk for a long time?,listening,train-00000-of-00001,A,"Question:
What may you experience after listening to a boring talk for a long time?

Which of the following is the best response to the question?

Choices:
A. fatigue
B. hear things
C. headache
D. anxiety
E. learning

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
After he got hired he hoped for success at his what?,success,validation-00000-of-00001,B,"Question:
After he got hired he hoped for success at his what?

Which of the following is the best response to the question?

Choices:
A. vocation
B. new job
C. michigan
D. working hard
E. manual

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where is a good place to buy a fishing rod?,rod,train-00000-of-00001,D,"Question:
Where is a good place to buy a fishing rod?

Which of the following is the best response to the question?

Choices:
A. catch fish
B. fishing camp
C. dolphins
D. sporting goods store
E. engine

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What is likely to be the result of instituting civil action?,instituting civil action,train-00000-of-00001,B,"Question:
What is likely to be the result of instituting civil action?

Which of the following is the best response to the question?

Choices:
A. go to jail
B. restitution
C. illness
D. riot
E. trial

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Fencing is a sport in which participants use a what?,fencing,train-00000-of-00001,A,"Question:
Fencing is a sport in which participants use a what?

Which of the following is the best response to the question?

Choices:
A. sword
B. competition
C. fence post
D. protection
E. dexterity

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Who said ignorance was not an excuse for the crime?,ignorance,train-00000-of-00001,E,"Question:
Who said ignorance was not an excuse for the crime?

Which of the following is the best response to the question?

Choices:
A. learn about subject
B. learn new
C. find truth
D. is bliss
E. judge

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Simon put crayon pictures on the wall of what?,wall,train-00000-of-00001,A,"Question:
Simon put crayon pictures on the wall of what?

Which of the following is the best response to the question?

Choices:
A. classroom
B. labyrinth
C. zoo
D. art show
E. prison

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where would you get a dog if you do not have one?,dog,train-00000-of-00001,A,"Question:
Where would you get a dog if you do not have one?

Which of the following is the best response to the question?

Choices:
A. pet store
B. outside
C. neighbor's house
D. park
E. rug

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
If you drink too much liquor you are likely to do what?,drink,train-00000-of-00001,D,"Question:
If you drink too much liquor you are likely to do what?

Which of the following is the best response to the question?

Choices:
A. stumble
B. food
C. coffee
D. throw up
E. choke

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What do we call television that we enjoy watching a lot?,television,train-00000-of-00001,B,"Question:
What do we call television that we enjoy watching a lot?

Which of the following is the best response to the question?

Choices:
A. legal
B. entertaining
C. complex expensive and inflexible
D. obsolete
E. awesome

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where do you keep musical instrument so it doesn't get scratched?,musical instrument,validation-00000-of-00001,C,"Question:
Where do you keep musical instrument so it doesn't get scratched?

Which of the following is the best response to the question?

Choices:
A. bank
B. orchestra
C. case
D. music room
E. movie

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What do we do if we rise something and want to put it back down?,rise,train-00000-of-00001,D,"Question:
What do we do if we rise something and want to put it back down?

Which of the following is the best response to the question?

Choices:
A. fall
B. sun set
C. below
D. lower
E. place

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The play was nearly starting, everybody took their seat in the what?",seat,train-00000-of-00001,C,"Question:
The play was nearly starting, everybody took their seat in the what?

Which of the following is the best response to the question?

Choices:
A. show
B. in cinema
C. theatre
D. bench
E. martorell

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"I want a dog that's easy to spot, which one should I get?",dog,train-00000-of-00001,C,"Question:
I want a dog that's easy to spot, which one should I get?

Which of the following is the best response to the question?

Choices:
A. blind
B. fun
C. black
D. alive
E. playing dead

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What could bringing suit do to a rivalry?,bringing suit,train-00000-of-00001,D,"Question:
What could bringing suit do to a rivalry?

Which of the following is the best response to the question?

Choices:
A. going to court
B. randomness
C. anger
D. aggravation
E. tensions

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What makes someone a nomad?,person,validation-00000-of-00001,C,"Question:
What makes someone a nomad?

Which of the following is the best response to the question?

Choices:
A. unpleasant things
B. hangnail
C. have no home
D. have no car
E. schizophrenia

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What would be happening if you are pretending to be a police officer?,pretending,validation-00000-of-00001,C,"Question:
What would be happening if you are pretending to be a police officer?

Which of the following is the best response to the question?

Choices:
A. fighting
B. misunderstanding
C. deception
D. play
E. distrust

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Who does the teacher speak with most during the week?,teacher,train-00000-of-00001,A,"Question:
Who does the teacher speak with most during the week?

Which of the following is the best response to the question?

Choices:
A. school children
B. teach pupils
C. work in school
D. other teachers
E. time test

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Sunshine and warmth are the weathers associated with what?,sunshine,train-00000-of-00001,B,"Question:
Sunshine and warmth are the weathers associated with what?

Which of the following is the best response to the question?

Choices:
A. alaska
B. summer
C. disneyland
D. beach
E. meadow

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The school dress code was strict, all girls had to wear a what?",dress,train-00000-of-00001,D,"Question:
The school dress code was strict, all girls had to wear a what?

Which of the following is the best response to the question?

Choices:
A. pants
B. trousers
C. pant
D. long skirt
E. naked

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What happens to dogs when they want to play?,dogs,train-00000-of-00001,D,"Question:
What happens to dogs when they want to play?

Which of the following is the best response to the question?

Choices:
A. many colours
B. need food
C. sleep soundly
D. go outside
E. they speak english

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where might a small ball be bounced from?,ball,train-00000-of-00001,D,"Question:
Where might a small ball be bounced from?

Which of the following is the best response to the question?

Choices:
A. soccer game
B. street
C. toy store
D. child's hand
E. on the sidewalk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where is a road known as a motorway?,motorway,train-00000-of-00001,E,"Question:
Where is a road known as a motorway?

Which of the following is the best response to the question?

Choices:
A. scotland
B. europe
C. race track
D. new jersey
E. england

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What does a successful dog grooming session likely to make a owner feel?,grooming,validation-00000-of-00001,D,"Question:
What does a successful dog grooming session likely to make a owner feel?

Which of the following is the best response to the question?

Choices:
A. cleanliness
B. mistakes
C. growth
D. satisfaction
E. late

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What would it be if they get a surprising show over and over?,surprising,validation-00000-of-00001,C,"Question:
What would it be if they get a surprising show over and over?

Which of the following is the best response to the question?

Choices:
A. surprise
B. fight
C. annoyance
D. might scare
E. irritated

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What is a beaver likely to chew up?,beaver,train-00000-of-00001,A,"Question:
What is a beaver likely to chew up?

Which of the following is the best response to the question?

Choices:
A. american forests
B. great outdoors
C. rocks
D. canada
E. pair of pants

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
People have many different emotions during the day we also call these this?,people,train-00000-of-00001,B,"Question:
People have many different emotions during the day we also call these this?

Which of the following is the best response to the question?

Choices:
A. brains
B. feelings
C. brown hair
D. drug problem
E. radio

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What type of dwelling would a small dog like to live in?,small dog,train-00000-of-00001,D,"Question:
What type of dwelling would a small dog like to live in?

Which of the following is the best response to the question?

Choices:
A. bathroom
B. animal shelter
C. georgia
D. big house
E. basket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
If you're getting drunk while in public you are likely where?,drunk,train-00000-of-00001,E,"Question:
If you're getting drunk while in public you are likely where?

Which of the following is the best response to the question?

Choices:
A. jail
B. gutter
C. city hall
D. park
E. bar

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What entity would have a fire extinguisher in their boardroom?,fire extinguisher,train-00000-of-00001,D,"Question:
What entity would have a fire extinguisher in their boardroom?

Which of the following is the best response to the question?

Choices:
A. boat
B. apartment
C. public building
D. most businesses
E. chemistry lab

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Finding information in an old library requires what in a card catalog?,finding information,train-00000-of-00001,B,"Question:
Finding information in an old library requires what in a card catalog?

Which of the following is the best response to the question?

Choices:
A. chewing
B. searching for
C. ask questions
D. logic
E. time

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"If someone is sitting quietly and biting their nails, what may they be experiencing?",sitting quietly,train-00000-of-00001,C,"Question:
If someone is sitting quietly and biting their nails, what may they be experiencing?

Which of the following is the best response to the question?

Choices:
A. relaxation
B. insights
C. anxiety
D. inspiration
E. contentment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where are you likely to see stars out the window?,window,train-00000-of-00001,A,"Question:
Where are you likely to see stars out the window?

Which of the following is the best response to the question?

Choices:
A. space shuttle
B. building
C. on the lawn
D. friend's house
E. wall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What do you buy new cups for when you move in the city?,cup,train-00000-of-00001,A,"Question:
What do you buy new cups for when you move in the city?

Which of the following is the best response to the question?

Choices:
A. apartment
B. restaurant
C. table
D. zoo
E. kitchen cabinet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where in a house might someone ring a bell?,bell,train-00000-of-00001,D,"Question:
Where in a house might someone ring a bell?

Which of the following is the best response to the question?

Choices:
A. church
B. school
C. mailbox
D. front door
E. reindeer coller

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would it be too cold for a marmoset?,marmoset,train-00000-of-00001,D,"Question:
Where would it be too cold for a marmoset?

Which of the following is the best response to the question?

Choices:
A. snow
B. rainforest
C. france
D. mountains
E. colorado

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where is the lawnmower I hear from across the street?,lawn mower,train-00000-of-00001,E,"Question:
Where is the lawnmower I hear from across the street?

Which of the following is the best response to the question?

Choices:
A. shed
B. garage
C. cutting grass
D. lawn
E. neighbor's house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Why would someone be unable to walk in a line after getting drunk?,getting drunk,train-00000-of-00001,C,"Question:
Why would someone be unable to walk in a line after getting drunk?

Which of the following is the best response to the question?

Choices:
A. pass out
B. fever
C. stumbling
D. forgetfulness
E. death

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What are you trying to achieve when you're talking?,talking,train-00000-of-00001,D,"Question:
What are you trying to achieve when you're talking?

Which of the following is the best response to the question?

Choices:
A. opera
B. making sound
C. people to listen
D. attempting to communicate
E. dry mouth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where would a woman store her leg razor?,razor,train-00000-of-00001,E,"Question:
Where would a woman store her leg razor?

Which of the following is the best response to the question?

Choices:
A. outside
B. barber shop
C. psycho's pocket
D. suitcase
E. medicine cabinet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
A person needing to rest often is often a sign of what?,rest,train-00000-of-00001,B,"Question:
A person needing to rest often is often a sign of what?

Which of the following is the best response to the question?

Choices:
A. regenerate
B. weak
C. depression
D. feel more energetic
E. need to

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where would you get some tin if you do not have any?,tin,train-00000-of-00001,B,"Question:
Where would you get some tin if you do not have any?

Which of the following is the best response to the question?

Choices:
A. cupboard
B. hardware store
C. antique store
D. shop
E. grocery store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What do you have to do to get something from a store?,get,train-00000-of-00001,B,"Question:
What do you have to do to get something from a store?

Which of the following is the best response to the question?

Choices:
A. steal
B. purchase
C. work hard
D. proactive
E. reach for

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"What is the goal of a younger , risky investor?",investor,train-00000-of-00001,E,"Question:
What is the goal of a younger , risky investor?

Which of the following is the best response to the question?

Choices:
A. back project
B. lose money
C. sell stock
D. save money
E. gain wealth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
When you clean clothes what do you need to put in the washer?,clean clothes,train-00000-of-00001,A,"Question:
When you clean clothes what do you need to put in the washer?

Which of the following is the best response to the question?

Choices:
A. soap
B. take off
C. sort
D. read labels
E. use water

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
If you like your jeans already broken in where should you shop?,jeans,train-00000-of-00001,A,"Question:
If you like your jeans already broken in where should you shop?

Which of the following is the best response to the question?

Choices:
A. thrift store
B. clothing store
C. outside
D. closet
E. gap

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"A disposable razor is aptly named, it ends up where?",disposable razor,train-00000-of-00001,C,"Question:
A disposable razor is aptly named, it ends up where?

Which of the following is the best response to the question?

Choices:
A. supermarket
B. hotel room
C. garbage
D. closet
E. medicine cabinet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"When one sees an apple tree, where does one tend to be?",apple tree,train-00000-of-00001,D,"Question:
When one sees an apple tree, where does one tend to be?

Which of the following is the best response to the question?

Choices:
A. canada
B. spring
C. active
D. outside
E. washington state

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where do you see signs that state a point of view?,signs,train-00000-of-00001,B,"Question:
Where do you see signs that state a point of view?

Which of the following is the best response to the question?

Choices:
A. freeway
B. demonstration
C. state park
D. store
E. corner of two streets

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
