question,question_concept,_split,answer,final_prompt,len_tk_mistral_7b_instruct
Shopping all day is likely to lead to?,shopping,train-00000-of-00001,D,"Question:
Shopping all day is likely to lead to?

Which of the following is the best response to the question?

Choices:
A. obesity
B. bankruptcy
C. debt
D. tiredness
E. calluses

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
When a computer stops working it's called a what?,computers,train-00000-of-00001,E,"Question:
When a computer stops working it's called a what?

Which of the following is the best response to the question?

Choices:
A. do work
B. help people
C. compute
D. networked
E. crash

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is a good place to put a rosebush?,rosebush,train-00000-of-00001,C,"Question:
Where is a good place to put a rosebush?

Which of the following is the best response to the question?

Choices:
A. park
B. delaware
C. lawn
D. planting
E. washington

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What will happen to your clothes if you are full?,full,train-00000-of-00001,D,"Question:
What will happen to your clothes if you are full?

Which of the following is the best response to the question?

Choices:
A. topfull
B. incomplete
C. enlarge
D. close fitting
E. partial

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where do you head to travel to a star?,star,validation-00000-of-00001,C,"Question:
Where do you head to travel to a star?

Which of the following is the best response to the question?

Choices:
A. night sky
B. galaxy
C. outer space
D. hollywood
E. eat cake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
WHen do people sit around a table together at work?,table,train-00000-of-00001,C,"Question:
WHen do people sit around a table together at work?

Which of the following is the best response to the question?

Choices:
A. kitchen
B. poker
C. meeting
D. livingroom
E. internet cafe

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
WHere do people rake a leaf into?,leaf,train-00000-of-00001,E,"Question:
WHere do people rake a leaf into?

Which of the following is the best response to the question?

Choices:
A. forrest
B. floral arrangement
C. basement
D. trees
E. compost pile

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where might you need to visit a registry office before entering?,registry office,train-00000-of-00001,E,"Question:
Where might you need to visit a registry office before entering?

Which of the following is the best response to the question?

Choices:
A. city
B. court house
C. chapel
D. town
E. office building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
A harmonica might be the smallest instrument sold where?,harmonica,train-00000-of-00001,D,"Question:
A harmonica might be the smallest instrument sold where?

Which of the following is the best response to the question?

Choices:
A. blues band
B. rock band
C. pocket
D. music store
E. shop counter

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What sport do fans often watch people loose teeth?,fans,train-00000-of-00001,D,"Question:
What sport do fans often watch people loose teeth?

Which of the following is the best response to the question?

Choices:
A. football
B. soccer game
C. race track
D. hockey game
E. sporting event

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
On what device can you watch a program without leaving your home?,program,train-00000-of-00001,A,"Question:
On what device can you watch a program without leaving your home?

Which of the following is the best response to the question?

Choices:
A. television
B. microwave
C. concert
D. theater
E. opera

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Some people use love to do what for themselves?,love,train-00000-of-00001,A,"Question:
Some people use love to do what for themselves?

Which of the following is the best response to the question?

Choices:
A. entertain
B. rub one out
C. wait for
D. procreate
E. live life

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What type of eating do people want to achieve when they eat vegetables?,eat vegetables,train-00000-of-00001,D,"Question:
What type of eating do people want to achieve when they eat vegetables?

Which of the following is the best response to the question?

Choices:
A. healthy
B. prepare
C. nutrition
D. clean
E. open mouth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What happens when people touch a hot stove?,people,train-00000-of-00001,A,"Question:
What happens when people touch a hot stove?

Which of the following is the best response to the question?

Choices:
A. burn themselves
B. teach each other
C. believe in god
D. learn
E. cross themselves

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Why would someone be wet after being full of fear?,fear,train-00000-of-00001,E,"Question:
Why would someone be wet after being full of fear?

Which of the following is the best response to the question?

Choices:
A. run
B. swimming
C. calculate things quickly
D. fight enemy
E. urinate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
The department to where vendors deliver goods for sale is called what?,deliver,validation-00000-of-00001,C,"Question:
The department to where vendors deliver goods for sale is called what?

Which of the following is the best response to the question?

Choices:
A. delivered
B. take away
C. receiving
D. pick up
E. keep

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What is the farmer's main goal?,farmer,train-00000-of-00001,D,"Question:
What is the farmer's main goal?

Which of the following is the best response to the question?

Choices:
A. farm land
B. beer cans
C. can produce
D. raise crops
E. seed plants

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is the best place to keep ice crean?,ice cream,train-00000-of-00001,A,"Question:
Where is the best place to keep ice crean?

Which of the following is the best response to the question?

Choices:
A. freezer
B. party
C. served cold
D. under the counter
E. movie

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What would someone use a personal key for?,key,validation-00000-of-00001,C,"Question:
What would someone use a personal key for?

Which of the following is the best response to the question?

Choices:
A. car stand
B. at hotel
C. own home
D. front door
E. bus depot

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What could a machine help you with if you need some food?,machine,train-00000-of-00001,B,"Question:
What could a machine help you with if you need some food?

Which of the following is the best response to the question?

Choices:
A. construct
B. dispense
C. vend
D. wash dishes
E. deliver

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What is required to go on vacation before anything else?,go on vacation,train-00000-of-00001,D,"Question:
What is required to go on vacation before anything else?

Which of the following is the best response to the question?

Choices:
A. pack
B. pay bills
C. save money
D. have money
E. reliable car

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What is likely to happen to trees that are dry?,trees,train-00000-of-00001,B,"Question:
What is likely to happen to trees that are dry?

Which of the following is the best response to the question?

Choices:
A. fall over
B. die
C. branch out
D. fall down
E. stand together

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
How can a farmer get more work done?,farmer,train-00000-of-00001,E,"Question:
How can a farmer get more work done?

Which of the following is the best response to the question?

Choices:
A. plant cows
B. water plants
C. can produce
D. raise crops
E. rise early

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
A man is supposed to walk closer to the street when with a?,men,train-00000-of-00001,E,"Question:
A man is supposed to walk closer to the street when with a?

Which of the following is the best response to the question?

Choices:
A. female group
B. father
C. gods
D. boys
E. lady

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What does a person who is lazy want?,person,train-00000-of-00001,D,"Question:
What does a person who is lazy want?

Which of the following is the best response to the question?

Choices:
A. healthy children
B. own house
C. college degree
D. easy life
E. treated with respect

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
A super ball is a popular what that children enjoy?,ball,train-00000-of-00001,A,"Question:
A super ball is a popular what that children enjoy?

Which of the following is the best response to the question?

Choices:
A. toy
B. park
C. earball
D. play with
E. bounces

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What is someone likely the to feel the first day beginning work?,beginning work,train-00000-of-00001,C,"Question:
What is someone likely the to feel the first day beginning work?

Which of the following is the best response to the question?

Choices:
A. panic
B. excitement
C. stress
D. working
E. overthinking

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What does lying about oneself likely to lead to?,lying,train-00000-of-00001,B,"Question:
What does lying about oneself likely to lead to?

Which of the following is the best response to the question?

Choices:
A. feeling guilty
B. problems
C. getting caught
D. hurt feelings
E. being fired

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would you find magazines along side many other printed works?,magazines,validation-00000-of-00001,B,"Question:
Where would you find magazines along side many other printed works?

Which of the following is the best response to the question?

Choices:
A. doctor
B. bookstore
C. market
D. train station
E. mortuary

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What might a friend throw a party for another friend?,friend,train-00000-of-00001,E,"Question:
What might a friend throw a party for another friend?

Which of the following is the best response to the question?

Choices:
A. keep secret
B. write letter
C. steady
D. rely on
E. coming home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What will the student have to do on the test?,student,train-00000-of-00001,E,"Question:
What will the student have to do on the test?

Which of the following is the best response to the question?

Choices:
A. finish college
B. begin teaching
C. write
D. answer question
E. solve equation

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What must someone go through when heading to the sky?,sky,train-00000-of-00001,D,"Question:
What must someone go through when heading to the sky?

Which of the following is the best response to the question?

Choices:
A. outdoors
B. planetarium
C. head strain
D. atmosphere
E. heavens

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would a computer user be using their own computer?,computer user,validation-00000-of-00001,E,"Question:
Where would a computer user be using their own computer?

Which of the following is the best response to the question?

Choices:
A. hell
B. school
C. indoors
D. internet cafe
E. house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What event might cause someone to get rid of their car?,car,train-00000-of-00001,E,"Question:
What event might cause someone to get rid of their car?

Which of the following is the best response to the question?

Choices:
A. roll over
B. move quickly
C. cost money
D. home
E. crash

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where can someone get a flute?,flute,train-00000-of-00001,E,"Question:
Where can someone get a flute?

Which of the following is the best response to the question?

Choices:
A. orchestra
B. steal it
C. marching band
D. symphony
E. musical instrument store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What can happen when kissing outside?,kissing,train-00000-of-00001,E,"Question:
What can happen when kissing outside?

Which of the following is the best response to the question?

Choices:
A. herpes
B. sexual stimulation
C. catch cold
D. outburst
E. get cold

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is a note likely to indicate a melody?,note,train-00000-of-00001,E,"Question:
Where is a note likely to indicate a melody?

Which of the following is the best response to the question?

Choices:
A. fridge
B. a classroom
C. envelope
D. medical chart
E. sheet music

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Why is religion so hard to understand?,religion,validation-00000-of-00001,E,"Question:
Why is religion so hard to understand?

Which of the following is the best response to the question?

Choices:
A. both positive and negative
B. unknowable
C. important to people
D. ocean
E. confusing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would you put a dog if it wants to go outside?,dog,train-00000-of-00001,B,"Question:
Where would you put a dog if it wants to go outside?

Which of the following is the best response to the question?

Choices:
A. front door
B. porch
C. table
D. leash
E. toilet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
The janitor got his pail out of where?,pail,train-00000-of-00001,E,"Question:
The janitor got his pail out of where?

Which of the following is the best response to the question?

Choices:
A. wishing well
B. kitchen
C. hardware store
D. garage
E. utility room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
The Coast Guard is a police force that often does what?,police,train-00000-of-00001,A,"Question:
The Coast Guard is a police force that often does what?

Which of the following is the best response to the question?

Choices:
A. board vessels
B. direct traffic
C. ocean
D. force law
E. arrest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is refuse stored for a long time?,refuse,train-00000-of-00001,D,"Question:
Where is refuse stored for a long time?

Which of the following is the best response to the question?

Choices:
A. incinerator
B. wastebasket
C. waste basket
D. dump
E. garbage can

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"I want everyone to hear my voice, how should I speak?",voice,train-00000-of-00001,B,"Question:
I want everyone to hear my voice, how should I speak?

Which of the following is the best response to the question?

Choices:
A. being heard
B. loud
C. upwards
D. beautiful
E. sound

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Remembering facts is how you demonstrate what when taking a test?,remembering,train-00000-of-00001,A,"Question:
Remembering facts is how you demonstrate what when taking a test?

Which of the following is the best response to the question?

Choices:
A. knowing
B. knowledge
C. sadness
D. pleasure
E. depression

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is a very bad place for bad bacteria?,bacteria,train-00000-of-00001,D,"Question:
Where is a very bad place for bad bacteria?

Which of the following is the best response to the question?

Choices:
A. sores
B. septic tank
C. petri dish
D. mouth
E. finger

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"Where can you buy a magazine, paper or gum?",magazine,validation-00000-of-00001,D,"Question:
Where can you buy a magazine, paper or gum?

Which of the following is the best response to the question?

Choices:
A. bank
B. rack
C. bed
D. newsstand
E. bus depot

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
You can view a window with your current task on what?,window,train-00000-of-00001,B,"Question:
You can view a window with your current task on what?

Which of the following is the best response to the question?

Choices:
A. bus
B. computer screen
C. classroom
D. binocular
E. car

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where in your home would you store a satchel?,satchel,train-00000-of-00001,A,"Question:
Where in your home would you store a satchel?

Which of the following is the best response to the question?

Choices:
A. room
B. desk
C. clothing store
D. school
E. luggage compartment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What will happen to you if you are staying healthy?,staying healthy,train-00000-of-00001,C,"Question:
What will happen to you if you are staying healthy?

Which of the following is the best response to the question?

Choices:
A. injury
B. happiness
C. long life
D. a long nose
E. envy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What would happen to airplanes before they start falling down?,airplanes,train-00000-of-00001,A,"Question:
What would happen to airplanes before they start falling down?

Which of the following is the best response to the question?

Choices:
A. stall
B. taxi
C. crash
D. slow down
E. halt

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is a good place to store a ladder?,ladder,train-00000-of-00001,A,"Question:
Where is a good place to store a ladder?

Which of the following is the best response to the question?

Choices:
A. garage
B. apple orchard
C. roof
D. backyard
E. hardware store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where do you stop at a gift shop while checking out?,gift shop,train-00000-of-00001,A,"Question:
Where do you stop at a gift shop while checking out?

Which of the following is the best response to the question?

Choices:
A. hotel
B. disneyland
C. airport
D. train station
E. museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What is a possible outcome for committing murder?,committing murder,validation-00000-of-00001,D,"Question:
What is a possible outcome for committing murder?

Which of the following is the best response to the question?

Choices:
A. problems
B. incarceration
C. trial
D. imprisonment
E. prosecution

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What part of us is virginia in?,virginia,train-00000-of-00001,D,"Question:
What part of us is virginia in?

Which of the following is the best response to the question?

Choices:
A. north
B. minnesota
C. united states
D. south
E. virginias

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would you be unlikely to find a freezer?,freezer,train-00000-of-00001,C,"Question:
Where would you be unlikely to find a freezer?

Which of the following is the best response to the question?

Choices:
A. own home
B. office building
C. garage
D. appliance store
E. flat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What can instituting civil action be preceded by?,instituting civil action,train-00000-of-00001,E,"Question:
What can instituting civil action be preceded by?

Which of the following is the best response to the question?

Choices:
A. law
B. trial
C. going to court
D. hurt feelings
E. bad feelings

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What usually happens to you when you're gambling?,gambling,train-00000-of-00001,C,"Question:
What usually happens to you when you're gambling?

Which of the following is the best response to the question?

Choices:
A. penury
B. bankruptcy
C. lose money
D. addiction
E. risky

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where are not many people allowed to go?,people,train-00000-of-00001,C,"Question:
Where are not many people allowed to go?

Which of the following is the best response to the question?

Choices:
A. street corner
B. supermarket
C. space shuttle
D. an airport
E. public place

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What white meat goes well with potatos?,potato,train-00000-of-00001,C,"Question:
What white meat goes well with potatos?

Which of the following is the best response to the question?

Choices:
A. kitchen cupboard
B. maryland
C. chicken
D. tuna
E. pantry

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What is a person the leader of after they are inagurated?,leader,train-00000-of-00001,B,"Question:
What is a person the leader of after they are inagurated?

Which of the following is the best response to the question?

Choices:
A. earth
B. country
C. pack
D. organization
E. army

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What do you want to do to conquer opponent?,conquer opponent,train-00000-of-00001,B,"Question:
What do you want to do to conquer opponent?

Which of the following is the best response to the question?

Choices:
A. make fun of
B. win
C. total domination
D. best
E. compete

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where do people often keep a bag from the grocery store?,bag,train-00000-of-00001,B,"Question:
Where do people often keep a bag from the grocery store?

Which of the following is the best response to the question?

Choices:
A. grocery store
B. drawer
C. shelf
D. supermarket
E. shopping cart

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where can one find a wide variety of chocolate?,chocolate,train-00000-of-00001,A,"Question:
Where can one find a wide variety of chocolate?

Which of the following is the best response to the question?

Choices:
A. candy store
B. box
C. drug store
D. movies
E. christmas stocking

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What does someone want to do when they have greed?,greed,train-00000-of-00001,E,"Question:
What does someone want to do when they have greed?

Which of the following is the best response to the question?

Choices:
A. make friends
B. buy food
C. share the wealth
D. lie
E. get

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Agreeing with someone who you have fun with can lead to what?,agreeing with,train-00000-of-00001,E,"Question:
Agreeing with someone who you have fun with can lead to what?

Which of the following is the best response to the question?

Choices:
A. compliance
B. contract
C. harmony
D. employee
E. friendship

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is an active solider likely to sleep?,soldier,train-00000-of-00001,D,"Question:
Where is an active solider likely to sleep?

Which of the following is the best response to the question?

Choices:
A. armored car
B. white house
C. underwater
D. tent
E. trenches

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Lying to a spouse is likely to make them?,lying,train-00000-of-00001,A,"Question:
Lying to a spouse is likely to make them?

Which of the following is the best response to the question?

Choices:
A. unhappiness
B. happy
C. confusion
D. good things
E. being fired

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What are you contemplating taking when you need to get something done?,contemplating,train-00000-of-00001,D,"Question:
What are you contemplating taking when you need to get something done?

Which of the following is the best response to the question?

Choices:
A. revelations
B. thinking
C. understanding
D. action
E. discovery

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
what is the end result of hiring a maid?,maid,train-00000-of-00001,E,"Question:
what is the end result of hiring a maid?

Which of the following is the best response to the question?

Choices:
A. clean bathroom
B. cleaning house
C. an affair
D. clean room
E. clean house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where might people gather while they are waiting for a ride across town?,people,train-00000-of-00001,B,"Question:
Where might people gather while they are waiting for a ride across town?

Which of the following is the best response to the question?

Choices:
A. wedding
B. bus stop
C. convention
D. pool
E. apartment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Sally was afraid of danger and always double checked what?,danger,validation-00000-of-00001,D,"Question:
Sally was afraid of danger and always double checked what?

Which of the following is the best response to the question?

Choices:
A. fight enemy
B. secure
C. being safe
D. safety
E. vicinity

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where do people sometimes use an eraser?,eraser,train-00000-of-00001,C,"Question:
Where do people sometimes use an eraser?

Which of the following is the best response to the question?

Choices:
A. rain forest
B. office supply store
C. schools
D. desk drawer
E. pencil box

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would you put a candle if you wanted it on a wall?,candle,train-00000-of-00001,A,"Question:
Where would you put a candle if you wanted it on a wall?

Which of the following is the best response to the question?

Choices:
A. shelf
B. birthday cake
C. church
D. floor
E. dark

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where might a snake slither out of?,snake,train-00000-of-00001,B,"Question:
Where might a snake slither out of?

Which of the following is the best response to the question?

Choices:
A. tropical forest
B. underbrush
C. lake
D. outdoors
E. creeks

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would you find a binder containing homework assignments?,binder,train-00000-of-00001,E,"Question:
Where would you find a binder containing homework assignments?

Which of the following is the best response to the question?

Choices:
A. backpack
B. bookcase
C. office supply store
D. office
E. class room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
When going to sleep what noise does a human make?,going to sleep,train-00000-of-00001,C,"Question:
When going to sleep what noise does a human make?

Which of the following is the best response to the question?

Choices:
A. loss of consciousness
B. relaxation
C. snoring
D. dreaming
E. talking

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
