ind,activity_label,ctx,answer,final_prompt,len_tk_glm4_9b_base
40789.0,High jump,An different lady from uzbekistan performs a high jump and we see her score. The first lady performs again and knocks the bar over and looks disappointed. the lady from china,D,"Context:
""An different lady from uzbekistan performs a high jump and we see her score. The first lady performs again and knocks the bar over and looks disappointed. the lady from china""

Which of the following endings best completes the context?

Choices:
A. starts to do a split and check one more time.
B. does a second set and she scores half the bars and another two ladies score a third bar.
C. performs a low jump this time and it lands on the bar and hangs for a few seconds before dismounting.
D. has a second turn and also knocks over the bar and looks mad.

Reply with exactly one uppercase letter out of A, B, C, or D.
",145
36281.0,Hand car wash,Several clips are shown of people washing cars and a man getting out of his car. water,A,"Context:
""Several clips are shown of people washing cars and a man getting out of his car. water""

Which of the following endings best completes the context?

Choices:
A. is shown splashing the car as well as the car moving and products being shown up a close.
B. is running down from a faucet into the sink as well as a lady washing her car.
C. is shown being poured into cars and the person standing opposite washing the cars makes his horses ready.
D. runs down the side and he shows a bottle under the water.

Reply with exactly one uppercase letter out of A, B, C, or D.
",131
1904.0,Triple jump,Once he starts he goes super fast jumping up and into the sand. They show a replay of his run and land in slow motion. when he,D,"Context:
""Once he starts he goes super fast jumping up and into the sand. They show a replay of his run and land in slow motion. when he""

Which of the following endings best completes the context?

Choices:
A. starts running again he crawls backwards and adds his paws then does the sign of the horns.
B. is done running, the clip changes to the boys playing the scissor and the catcher leaving the course.
C. is finished he walks out into the base and the segment ends.
D. is done he walks around the arena while being followed by a camera.

Reply with exactly one uppercase letter out of A, B, C, or D.
",140
33344.0,Skateboarding,A man is seen speaking to the camera behind a desk and leads into shows of people riding on skateboards. more shots of him talking,A,"Context:
""A man is seen speaking to the camera behind a desk and leads into shows of people riding on skateboards. more shots of him talking""

Which of the following endings best completes the context?

Choices:
A. are shown as well as people do tricks on the skateboards.
B. are shown while skipping his motions as well as playing several times.
C. are shown as well as people riding throughout several scenes of himself riding.
D. to the camera and walking around shows clips of him jumping rope and shots of him making it.

Reply with exactly one uppercase letter out of A, B, C, or D.
",128
15961.0,Braiding hair,A close up of a woman is seen leading into objects shown in front of the camera. a person,A,"Context:
""A close up of a woman is seen leading into objects shown in front of the camera. a person""

Which of the following endings best completes the context?

Choices:
A. is then seen putting the girl's hair up in several dos while showing it to the camera.
B. pans along a beach and into a water sports pool.
C. uses a shaver and then in large mirrors use the object when running down a road.
D. is then seen pulling weights across a bridge while speaking to the camera and bend down in front.

Reply with exactly one uppercase letter out of A, B, C, or D.
",129
17290.0,Removing curlers,"An old lady in curler, tying her robe came out and an old man in robe follows and kiss her. they",D,"Context:
""An old lady in curler, tying her robe came out and an old man in robe follows and kiss her. they""

Which of the following endings best completes the context?

Choices:
A. lantn onto a red carpet and stand in a circle.
B. film the dance the crowd and the old guy in curlers and his wife laugh.
C. play crochet in a room near the skies.
D. come and open the door and another old man came in and the man in robe shows him a notebook while the lady gets something in the closet.

Reply with exactly one uppercase letter out of A, B, C, or D.
",135
31267.0,Layup drill in basketball,A basketball player is seen jumping under a basketball ball net and shooting a ball continuously at the net. she,B,"Context:
""A basketball player is seen jumping under a basketball ball net and shooting a ball continuously at the net. she""

Which of the following endings best completes the context?

Choices:
A. continues jumping around the court with the ball throwing it off into the distance and back again.
B. continues shooting and the video ends with various text across the screen.
C. continuously throws the ball over the hoop to another child who dives in after it and takes it away.
D. is seen again in a different shot jumping over a net and shooting a ball straight across it over the net.

Reply with exactly one uppercase letter out of A, B, C, or D.
",136
8207.0,Elliptical trainer,"A person is riding on a recumbent bike, then a woman is shown taking off her shoes and standing on a scale. She rides an elliptical while another woman watches. several people",C,"Context:
""A person is riding on a recumbent bike, then a woman is shown taking off her shoes and standing on a scale. She rides an elliptical while another woman watches. several people""

Which of the following endings best completes the context?

Choices:
A. are riding bikes in a competition as they play a game.
B. talk in the background, then a woman takes off her socks.
C. are shown riding elliptical trainers.
D. are seen sitting around then a man is shown again riding on the bike doing tricks.

Reply with exactly one uppercase letter out of A, B, C, or D.
",129
9208.0,Camel ride,"The woman are waving and a man behind the camera is asking them to wave, look and say hi at the camera. the camera man",C,"Context:
""The woman are waving and a man behind the camera is asking them to wave, look and say hi at the camera. the camera man""

Which of the following endings best completes the context?

Choices:
A. is showing the waters depths growing ever so gradually while cars pass by in front of.
B. bends down and lifts up one of the soapy people, then back down using a bar to lift the hose.
C. zooms in on the women as the woman in the red jacket gives a thumbs up.
D. is then seen close up showing a shoe.

Reply with exactly one uppercase letter out of A, B, C, or D.
",136
36325.0,Javelin throw,"As the man gets closer to the line, he releases the javelin and it goes flying through the air. there",A,"Context:
""As the man gets closer to the line, he releases the javelin and it goes flying through the air. there""

Which of the following endings best completes the context?

Choices:
A. are bleachers in the background and it is a hot and sunny day.
B. 's a large crowd standing around the field and a few people are flying kites in the air.
C. is then a big splash with the man running to rescue it.
D. is another man dressed in a black t-shirt holding a javelin and he oh so easily catches it.

Reply with exactly one uppercase letter out of A, B, C, or D.
",135
8100.0,Slacklining,The young man teeters and balances himself by holding out both arms on either side while walking on the shaky rope. the boy,B,"Context:
""The young man teeters and balances himself by holding out both arms on either side while walking on the shaky rope. the boy""

Which of the following endings best completes the context?

Choices:
A. then loses his balance and falls and grabs the rope and ka-tsches.
B. reaches the end of the rope and jumps off of the rope and onto the wet sand.
C. pauses but only briefly as he is suddenly overcome with pain.
D. then then appears once again, jumping and flipping as he falls several times on the uneven rope too.

Reply with exactly one uppercase letter out of A, B, C, or D.
",132
49230.0,Making a lemonade,They skin lemons and set them on the plate. They put the fruit into a juicer and pour the juice into a large jug. they,C,"Context:
""They skin lemons and set them on the plate. They put the fruit into a juicer and pour the juice into a large jug. they""

Which of the following endings best completes the context?

Choices:
A. mix sugar and water together together and pour the juice into the jug.
B. mash the lemons and put it on the plate.
C. shake the jug in their hands.
D. pour the syrup into a tuber cup and pour the syrup over this, then they pour the syrup from the jug into a bottle.

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
18762.0,Hitting a pinata,A young boy then spins her around and lets her go. She then begins hitting the stick ferociously against the air and ground trying to hit the pinata. the tie,D,"Context:
""A young boy then spins her around and lets her go. She then begins hitting the stick ferociously against the air and ground trying to hit the pinata. the tie""

Which of the following endings best completes the context?

Choices:
A. does not change for the duration of the game as the girl continues hitting the cotton balls.
B. up lady then sits on the ground and talks for awhile.
C. hugging girl then catches the ball on the stick and brings it back around.
D. begins to fall down and she sees the pinata laying on the ground and realizes that she was no where near it.

Reply with exactly one uppercase letter out of A, B, C, or D.
",147
2717.0,Sharpening knives,A knife is put into a sharpener and moved back and forth and used on a circular sharpener. A pair of scissors is sharpened on the sharpener. the scissors,C,"Context:
""A knife is put into a sharpener and moved back and forth and used on a circular sharpener. A pair of scissors is sharpened on the sharpener. the scissors""

Which of the following endings best completes the context?

Choices:
A. bend and glide over scales.
B. then cuts down the back of the hand of the person wiping and dressed in white suit.
C. cut a purple towel and a piece of paper.
D. are began cutting smooth lines into the discs of the discs as they are placed into the bowl, the edges.

Reply with exactly one uppercase letter out of A, B, C, or D.
",133
44599.0,Layup drill in basketball,The player starts from one side of the court and runs up and lays up the basketball in the net. He repeats around the court from every angle. the man,D,"Context:
""The player starts from one side of the court and runs up and lays up the basketball in the net. He repeats around the court from every angle. the man""

Which of the following endings best completes the context?

Choices:
A. returns to his sixteenth attempt and gets a first rate layup of 4-1.
B. tails the other player with it when it's the rebound.
C. throws the ball back down the court and runs to make the serve.
D. returns to go over the concepts again as the video closes.

Reply with exactly one uppercase letter out of A, B, C, or D.
",131
27525.0,Making a cake,All three children wipe the baking tray and pour the batter into it. Then they stick it in the oven and bake the cake. once the cake,C,"Context:
""All three children wipe the baking tray and pour the batter into it. Then they stick it in the oven and bake the cake. once the cake""

Which of the following endings best completes the context?

Choices:
A. is done, they continue to talk and tease each other before wiping it down and stopping it's doing.
B. is ready they remove the wrapping paper and show the complete cake.
C. is ready, they put some white butter forsting on and decorate the cake with sprinkles.
D. is served, they continue to bake with the cookies.

Reply with exactly one uppercase letter out of A, B, C, or D.
",136
13784.0,Playing water polo,A recreation building is pictured and kids doing various activities ranging from basketball to swimming is shown. a set of young boys,B,"Context:
""A recreation building is pictured and kids doing various activities ranging from basketball to swimming is shown. a set of young boys""

Which of the following endings best completes the context?

Choices:
A. are shown with no pads and started when one boy jumps into the pool and begins swimming.
B. are picture din the water on their backs holding up a green ball and one throws it into the goal.
C. are shown swimming with one another in the pool at a amusement park.
D. are shown playing and is followed by a man raking over lawn.

Reply with exactly one uppercase letter out of A, B, C, or D.
",132
3784.0,Playing lacrosse,"People in uniforms of various characters are shown running around a green field. Then, a lacrosse game begins and they compete against one another. the large yellow character",C,"Context:
""People in uniforms of various characters are shown running around a green field. Then, a lacrosse game begins and they compete against one another. the large yellow character""

Which of the following endings best completes the context?

Choices:
A. runs towards the ball and make a strike against the yellow character.
B. falls on the field when he is hit by a gatoy.
C. attempts to get a goal but isn't successful and he falls to his knee in disappointment.
D. scores an goal and the green character scores again.

Reply with exactly one uppercase letter out of A, B, C, or D.
",129
28032.0,Drinking beer,A man is standing in a room with a hose in his mouth that is attached to a bottle. the male,A,"Context:
""A man is standing in a room with a hose in his mouth that is attached to a bottle. the male""

Which of the following endings best completes the context?

Choices:
A. then begins to lift the bottle up over his head until he has consumed all of its content and takes it out of his mouth.
B. begins spraying down the dresser.
C. then begins spraying a white wall with the foamy product.
D. uses the hose on his tongue to blow in the hose and so on and it only works after him removing the tail i'm in his mouth.

Reply with exactly one uppercase letter out of A, B, C, or D.
",137
18978.0,Removing curlers,An asian woman is shown in different pictures wearing different outfits. she,A,"Context:
""An asian woman is shown in different pictures wearing different outfits. she""

Which of the following endings best completes the context?

Choices:
A. sits down and begins to part her hair and start braiding it, she slowly grabs more and more into her braid.
B. is shown in several different different pictures holding a smile on her face and dances around inside a gym.
C. is now standing on a mat and demonstrates several moves that she does.
D. is seen balancing on a crate while speaking to the camera.

Reply with exactly one uppercase letter out of A, B, C, or D.
",127
47898.0,Playing pool,A woman is alone at a bar by a pool table playing some pool. She bends over very seductively and intentionally while she is going for her next shot. then she,D,"Context:
""A woman is alone at a bar by a pool table playing some pool. She bends over very seductively and intentionally while she is going for her next shot. then she""

Which of the following endings best completes the context?

Choices:
A. gets ready to make her shot and knocks into the table, knocking all the balls onto the ground.
B. dives into the pool, returns a few times, and waits for her next shot and bats it on the table.
C. shoots a ball and makes it out of the pool table backwards onto the bar.
D. looks over at a few men who are sitting down drinking beer.

Reply with exactly one uppercase letter out of A, B, C, or D.
",149
27487.0,Removing curlers,A young woman talks to the camera while working on her hair and occasionally talking. The young woman holds some sort of object up to the camera. the scene,B,"Context:
""A young woman talks to the camera while working on her hair and occasionally talking. The young woman holds some sort of object up to the camera. the scene""

Which of the following endings best completes the context?

Choices:
A. transitions into her drying her hair and blowing drying it using an electric water dryer while talking to the camera.
B. cuts to the woman with part of her hair clipped up at the top of her hair.
C. goes to black as the woman proudly shows off the brush that she uses in the process.
D. then fades to black as the woman continues to work her hair.

Reply with exactly one uppercase letter out of A, B, C, or D.
",143
2058.0,Getting a tattoo,They're shown singing in the car and waiting to get a tattoo down while still speaking to the camera. the girls,C,"Context:
""They're shown singing in the car and waiting to get a tattoo down while still speaking to the camera. the girls""

Which of the following endings best completes the context?

Choices:
A. sit in a hospital room holding cloths and and letting the doctor do what he wants to them.
B. get the ink to be a l and are shown leaving at the end.
C. are then each shown getting tattoos done and ends with pictures of their tattoos being shown off.
D. show a sumo tattoo as another gets tattoos.

Reply with exactly one uppercase letter out of A, B, C, or D.
",128
350.0,Assembling bicycle,A pair of handlebars are detached from the bike and is laying down flat on a table. the man,D,"Context:
""A pair of handlebars are detached from the bike and is laying down flat on a table. the man""

Which of the following endings best completes the context?

Choices:
A. unstraps the handlebars and puts them back up and begins to pedal of his bike.
B. rolls them up and ties the handles with a pulley.
C. then shows with his knife and begins to a process of cutting them in half and putting them back to the bike.
D. then picks up the handlebars and sticks them back into the bike tightening them with a key.

Reply with exactly one uppercase letter out of A, B, C, or D.
",136
30357.0,Braiding hair,She twists it again and tightens it up and secures it with a pin again. She also makes a bun out of the braid to complete the hairstyle. she,D,"Context:
""She twists it again and tightens it up and secures it with a pin again. She also makes a bun out of the braid to complete the hairstyle. she""

Which of the following endings best completes the context?

Choices:
A. shows us her work finished bun.
B. drops the pin and grabs a different one and begins another braid.
C. then tears all of the hair and puts it back in while looking to the camera for approval.
D. shows the hairspray bottle again that she has used on the model.

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
32250.0,BMX,When the gates go down they all go as fast as they can through the obstacle of dirt. There are a few people sitting by in the stands watching as the bikers go off. they,B,"Context:
""When the gates go down they all go as fast as they can through the obstacle of dirt. There are a few people sitting by in the stands watching as the bikers go off. they""

Which of the following endings best completes the context?

Choices:
A. arrive to a dirt covered area where there are lots of tents and gear on.
B. even show some of the kids waiting and having a good time watching the race.
C. continue going as riders are parked on the trail waiting to ride the bikes.
D. ride the dust bikes down the track only stopping to rest before leaving.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
1272.0,Raking leaves,A man rakes leaves from the yard into a pile and dumps them in a metal trash bin. the man,D,"Context:
""A man rakes leaves from the yard into a pile and dumps them in a metal trash bin. the man""

Which of the following endings best completes the context?

Choices:
A. shovels the leaves out and dumps them on his lawn.
B. continues to rake the leaves while the camera fishes around for objects.
C. starting reading a newspaper, then looking down talking again at the paper while standing in the center a drum set in the yard.
D. puts his tools away in the shed and carries away a bag of leaves.

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
2955.0,Painting furniture,The man begins by painting a wooden armchair metallic gray with a gold spray paint can. The man then paints a side table black with lights shining off of the black painted wood. the man,A,"Context:
""The man begins by painting a wooden armchair metallic gray with a gold spray paint can. The man then paints a side table black with lights shining off of the black painted wood. the man""

Which of the following endings best completes the context?

Choices:
A. ends with painting a dresser drawer pink before the scene fades to a black marketing graphic.
B. necks the edge of the table to position the paint brush and brush on it.
C. turns on the vacuum cleaner to vacuum the hardwood floors of the living room.
D. proceeds to clean up the stained glass.

Reply with exactly one uppercase letter out of A, B, C, or D.
",137
10560.0,Playing guitarra,A man wearing a black shirt is sitting and playing the guitar in front of a black backdrop. initially he,B,"Context:
""A man wearing a black shirt is sitting and playing the guitar in front of a black backdrop. initially he""

Which of the following endings best completes the context?

Choices:
A. picks the guitar up to play, but then bites into it and plays instead.
B. starts to play the guitar slowly to find the proper rhythm.
C. starts by singing and harmonica flat on guitar to the music and then he cuts out to a song with others on stage to record it and then he goes back to playing guitar.
D. starts with a song and then switches to speak for a bit and then just a video of him on stage, waiting to begin.

Reply with exactly one uppercase letter out of A, B, C, or D.
",153
11859.0,Elliptical trainer,A woman in a red workout shirt is talking about the benefits of an elliptical cross trainer. Another woman in a pink tank top is demonstrating the use of the elliptical. the woman in red,B,"Context:
""A woman in a red workout shirt is talking about the benefits of an elliptical cross trainer. Another woman in a pink tank top is demonstrating the use of the elliptical. the woman in red""

Which of the following endings best completes the context?

Choices:
A. sits down in a chair with an elliptical.
B. continues explaining the use of the elliptical.
C. bend down and grabs the handle and begins working out fingers moving it around her body while talking.
D. continues talking about the benefits of her elliptical.

Reply with exactly one uppercase letter out of A, B, C, or D.
",129
38175.0,Playing ice hockey,A screen is shown playing video above a stage and leads into performers skating out on ice as well as hockey players behind them. the players,A,"Context:
""A screen is shown playing video above a stage and leads into performers skating out on ice as well as hockey players behind them. the players""

Which of the following endings best completes the context?

Choices:
A. all line up on the ice with one waving a flag and then begin skating around.
B. take turns skating and using poles and jumping around.
C. perform several tricks while having hit the puck and ice hockey fans stand up and clap.
D. skate around the points of the arena with the goal being shown in only 30 seconds.

Reply with exactly one uppercase letter out of A, B, C, or D.
",131
2428.0,River tubing,A young girl sinks down in the middle of her inner-tube and jumps back up with her head soaked. Someone shows a first person view floating down the river. various other people,B,"Context:
""A young girl sinks down in the middle of her inner-tube and jumps back up with her head soaked. Someone shows a first person view floating down the river. various other people""

Which of the following endings best completes the context?

Choices:
A. float past and a still image of how to ride down the river.
B. are shown in inner-tubes and canoes in the water.
C. begin out of the water and float to the top of a waterfall.
D. are shown breathing in the water as they float and are extremely cold, but warm up, too.

Reply with exactly one uppercase letter out of A, B, C, or D.
",139
3475.0,Shaving legs,"Two men standing in front of a pair of bathroom sinks and mirrors remove the robes they're wearing to reveal spandex clothing, then turn to face the camera to speak. a large group of people",D,"Context:
""Two men standing in front of a pair of bathroom sinks and mirrors remove the robes they're wearing to reveal spandex clothing, then turn to face the camera to speak. a large group of people""

Which of the following endings best completes the context?

Choices:
A. walk up a winding tiled walkway from the bridge.
B. are seen fencing with one another while one woman throws her arms in the air in order to win.
C. are seen walking around a gym and talk with one another.
D. ride bicycles down the road.

Reply with exactly one uppercase letter out of A, B, C, or D.
",131
16527.0,Using parallel bars,"The man starts to advance holding on his hands. The man stops in the middle of the parallel bars, raise his legs and after continues advancing. then",A,"Context:
""The man starts to advance holding on his hands. The man stops in the middle of the parallel bars, raise his legs and after continues advancing. then""

Which of the following endings best completes the context?

Choices:
A. , the man stops at the end of the bars, again he raises his legs, then exercises up and down.
B. , the man jumps on the bars and lands on his hands and knees.
C. knocks his weight forward and his friend steps in to help him.
D. , the man lowers his chest, then raises one arm.

Reply with exactly one uppercase letter out of A, B, C, or D.
",135
25045.0,Doing karate,"He starts to do some of his karate moves, moving all around the court. He is a blue belt being judged for his skills. he",B,"Context:
""He starts to do some of his karate moves, moving all around the court. He is a blue belt being judged for his skills. he""

Which of the following endings best completes the context?

Choices:
A. continues to dance around the court as he tries to avoid being run over.
B. bows gracefully before walking off and the judges throw up their flags.
C. turns and bends to his side, mistakes his moves, and goes to center.
D. slows his movements a bit to catch his breath and his feet are ready to kick.

Reply with exactly one uppercase letter out of A, B, C, or D.
",132
24381.0,Triple jump,A man in an athletic outfit and a paper number pinned to his chest paces on a sports field. The man runs a distance and performs a long jump. the man,B,"Context:
""A man in an athletic outfit and a paper number pinned to his chest paces on a sports field. The man runs a distance and performs a long jump. the man""

Which of the following endings best completes the context?

Choices:
A. jumps in the air with his arms out in front of him and flips in the air and out of bounds.
B. smiles and paces after the long jump as a british flag waves in the background and a template of his score goes across the screen along with slow motion re-inactments.
C. steps over and over and over again to demonstrate a perfect jump.
D. finishes and holds the printed paper on front his chest.

Reply with exactly one uppercase letter out of A, B, C, or D.
",157
31807.0,Surfing,A person is seen riding waves on the water as well as people partying at a house. A dj is shown playing music as well as people dancing around and surfers surfing. more shots,B,"Context:
""A person is seen riding waves on the water as well as people partying at a house. A dj is shown playing music as well as people dancing around and surfers surfing. more shots""

Which of the following endings best completes the context?

Choices:
A. are shown of people surfing waves as well as socializing and partying around drinks.
B. are shown of people surfing and having fun at the house.
C. are shown of people partying and singing while one person scores goals on a wave.
D. are shown of people riding waves and being made happy.

Reply with exactly one uppercase letter out of A, B, C, or D.
",137
26065.0,Making a sandwich,"Then he puts cheese slices and cold lunch meat slices inside the sandwich, followed by a few slices of salami. then he",C,"Context:
""Then he puts cheese slices and cold lunch meat slices inside the sandwich, followed by a few slices of salami. then he""

Which of the following endings best completes the context?

Choices:
A. adds ham and ham to the sandwich and cuts it very fast apart with mayonnaise for quick polls.
B. goes into crispies and paste and puts ham and cheese on them.
C. tops it with chopped lettuce and a few tomato and pickle slices, some jalapenos and onions.
D. grabs lettuce in a close up mirror, cooks it, and takes a potato slice, sets it into the juicer along with the salami, a cherry tomato, ham, mayo and some different cheeses.

Reply with exactly one uppercase letter out of A, B, C, or D.
",164
42885.0,Calf roping,"A dirt clodden rodea is shown, as a man on a horse is released from a gate. He ropes a calf, dismounted to tie it up. another man",C,"Context:
""A dirt clodden rodea is shown, as a man on a horse is released from a gate. He ropes a calf, dismounted to tie it up. another man""

Which of the following endings best completes the context?

Choices:
A. is released into the pen where another person is tied up.
B. joins him, evening dry the calf while the other man mounts and ties up the calf.
C. rides on screen momentarily.
D. is, will is then free from a gate and head to rope a calf but is captured at the start.

Reply with exactly one uppercase letter out of A, B, C, or D.
",135
27779.0,Walking the dog,A man is seen speaking to the camera while walking a dog on the side of him. the man,C,"Context:
""A man is seen speaking to the camera while walking a dog on the side of him. the man""

Which of the following endings best completes the context?

Choices:
A. then holds up scissors and continues shaving the dog's shoulder.
B. then points to the dog's ears and begins begins to pain them while the dog continuously struggles to get away.
C. continues walking down the street with the dog right by his side and passing by various houses.
D. then grabs a soccer ball and throws it to the dog trying to get it off of his back.

Reply with exactly one uppercase letter out of A, B, C, or D.
",134
13720.0,Making a cake,"An image shows a bag of m&m's and a bag of maltersers being suspended in midair, appearing to pour onto a cake. a woman",C,"Context:
""An image shows a bag of m&m's and a bag of maltersers being suspended in midair, appearing to pour onto a cake. a woman""

Which of the following endings best completes the context?

Choices:
A. presents various ingredients and their contents before "" how to make a linear fix on a cutting machine "".
B. blows white smoke out of a torch in a this corner of the room.
C. bakes a round cake, frosting it and surrounding it by chocolate bars.
D. with a microphone talks in a frozen time frame.

Reply with exactly one uppercase letter out of A, B, C, or D.
",133
1049.0,Removing ice from car,A person is then shown walking out to the car with a utensil taking the snow off of the glass. then another screen,A,"Context:
""A person is then shown walking out to the car with a utensil taking the snow off of the glass. then another screen""

Which of the following endings best completes the context?

Choices:
A. appears with white words and displays a sentence and the location.
B. appears showing the laying down of snow before blowing it off the car while still speaking to the camera.
C. appears with more text and then two men are shown trimming snow off of the snow of the car and driving it to a snow covered field and laying out snow on two tires as the car continues to snow covered.
D. shows up with a list of ingredients, and with the roads and such they put the light coating over the inside.

Reply with exactly one uppercase letter out of A, B, C, or D.
",164
30740.0,Decorating the Christmas tree,Snowflakes are shown falling down the screen before we see a christmas tree. A woman is talking before she starts preparing and decorating the tree. she,D,"Context:
""Snowflakes are shown falling down the screen before we see a christmas tree. A woman is talking before she starts preparing and decorating the tree. she""

Which of the following endings best completes the context?

Choices:
A. began by painting the tree a light blue and yellow.
B. wraps the christmas tree in paper and she tapes it up.
C. carves the fabric, preparing the tree before going outside for a bite to feed the cat.
D. applies a plethora of ornaments and lights, and the tree is shown several different states of decoration.

Reply with exactly one uppercase letter out of A, B, C, or D.
",134
