question,question_concept,_split,answer,final_prompt,len_tk_phi3_mini_4k_instruct
James was looking for a place to buy bitcoins.  He searched and found a large menu of what?,menu,train-00000-of-00001,E,"Question:
James was looking for a place to buy bitcoins.  He searched and found a large menu of what?

Which of the following is the best response to the question?

Choices:
A. advertisement
B. news
C. bar
D. cafe
E. internet sites

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"With all the Great Lakes nearby he bought a boat, but it needed storage during the harsh winters where?",storage,train-00000-of-00001,B,"Question:
With all the Great Lakes nearby he bought a boat, but it needed storage during the harsh winters where?

Which of the following is the best response to the question?

Choices:
A. locker
B. michigan
C. building
D. warehouse
E. in the cupboard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
A person who wants to make more at their job but can't will often need to find a what?,person,train-00000-of-00001,B,"Question:
A person who wants to make more at their job but can't will often need to find a what?

Which of the following is the best response to the question?

Choices:
A. own house
B. better job
C. win lottery
D. save money
E. feel safe

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"Neuroepithelium is found in a few places, you're using which one to read this text if you're human?",neuroepithelium,train-00000-of-00001,E,"Question:
Neuroepithelium is found in a few places, you're using which one to read this text if you're human?

Which of the following is the best response to the question?

Choices:
A. glasses
B. nasal cavity
C. tastebud
D. inner ear
E. retina

Reply with exactly one uppercase letter out of A, B, C, D or E.
",102
"The sick boy began reading letter after letter, there had been a campaign of strangers all over sending him letters and it brought him feelings of what?",reading letter,train-00000-of-00001,B,"Question:
The sick boy began reading letter after letter, there had been a campaign of strangers all over sending him letters and it brought him feelings of what?

Which of the following is the best response to the question?

Choices:
A. strain
B. happiness
C. realization
D. get news
E. illness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
If you tell you boss your suffering from boredom they'll likely tell you to get back to what?,boredom,train-00000-of-00001,E,"Question:
If you tell you boss your suffering from boredom they'll likely tell you to get back to what?

Which of the following is the best response to the question?

Choices:
A. dream
B. fiddle
C. watch film
D. see new
E. work

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
What is someone looking for in a new mattress when returning one that had lots of rigidity?,rigidity,train-00000-of-00001,C,"Question:
What is someone looking for in a new mattress when returning one that had lots of rigidity?

Which of the following is the best response to the question?

Choices:
A. ductility
B. empity
C. softness
D. flexibility
E. malleability

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
It was a ridiculous answer to a simple question.   The professor expected something loss convoluted and more what?,ridiculous,train-00000-of-00001,B,"Question:
It was a ridiculous answer to a simple question.   The professor expected something loss convoluted and more what?

Which of the following is the best response to the question?

Choices:
A. solemn
B. straightforward
C. pensive
D. somber
E. serious

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"He liked to write every address out on an index card, then he would sort and store them in his what?",index card,train-00000-of-00001,E,"Question:
He liked to write every address out on an index card, then he would sort and store them in his what?

Which of the following is the best response to the question?

Choices:
A. office supply store
B. library
C. address book
D. oral report
E. card catalogue

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
"The painter explained how he never achieved a flawless portrait, he said this was because all people are what?",flawless,train-00000-of-00001,A,"Question:
The painter explained how he never achieved a flawless portrait, he said this was because all people are what?

Which of the following is the best response to the question?

Choices:
A. imperfect
B. disfigured
C. damaged
D. flawed
E. defective

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
John is bringing suit against Seth.   This problem has straight there relationship.  What might be increasing between them?,bringing suit,train-00000-of-00001,A,"Question:
John is bringing suit against Seth.   This problem has straight there relationship.  What might be increasing between them?

Which of the following is the best response to the question?

Choices:
A. tensions
B. going to court
C. resentment
D. verdict
E. civility

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
"Though the thin film seemed fragile, for it's intended purpose it was actually nearly what?",fragile,validation-00000-of-00001,D,"Question:
Though the thin film seemed fragile, for it's intended purpose it was actually nearly what?

Which of the following is the best response to the question?

Choices:
A. indestructible
B. durable
C. undestroyable
D. indestructible
E. unbreakable

Reply with exactly one uppercase letter out of A, B, C, D or E.
",99
What is a great way for teens to build character and pad their resume?,teens,train-00000-of-00001,B,"Question:
What is a great way for teens to build character and pad their resume?

Which of the following is the best response to the question?

Choices:
A. hang out
B. volunteer
C. smoke
D. be stranded on a desert island
E. homework

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
Bob destroyed Wendy's favorite toy. Wendy isn't sad because she believes she can do what to it?,destroy,train-00000-of-00001,D,"Question:
Bob destroyed Wendy's favorite toy. Wendy isn't sad because she believes she can do what to it?

Which of the following is the best response to the question?

Choices:
A. raise
B. make
C. reincarnate
D. repair
E. build

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
"If I wanted the gallery to be an equal distance from everyone, where might I put it?",gallery,train-00000-of-00001,B,"Question:
If I wanted the gallery to be an equal distance from everyone, where might I put it?

Which of the following is the best response to the question?

Choices:
A. downtown area
B. middle of town
C. large city
D. london
E. lot of people

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
"The boy's mind was not right.  He couldn't care for himself, so he had to be what?",mind,train-00000-of-00001,C,"Question:
The boy's mind was not right.  He couldn't care for himself, so he had to be what?

Which of the following is the best response to the question?

Choices:
A. play tricks on
B. form images
C. tended
D. michigan
E. mindblown

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
My chest is swelling at the prospect of gaining more land. Why is my chest swelling?,gaining more land,train-00000-of-00001,D,"Question:
My chest is swelling at the prospect of gaining more land. Why is my chest swelling?

Which of the following is the best response to the question?

Choices:
A. go to war
B. higher taxes
C. heart attack
D. pride
E. disputes

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
"The man didn't like getting out of bed and stepping on the cold tile, so where did he put carpeting?",carpeting,train-00000-of-00001,B,"Question:
The man didn't like getting out of bed and stepping on the cold tile, so where did he put carpeting?

Which of the following is the best response to the question?

Choices:
A. houses
B. bedroom
C. istanbul
D. open tress
E. gym

Reply with exactly one uppercase letter out of A, B, C, D or E.
",99
The travelers came across many a toll road during their road drip through New England and other parts of where?,toll road,train-00000-of-00001,B,"Question:
The travelers came across many a toll road during their road drip through New England and other parts of where?

Which of the following is the best response to the question?

Choices:
A. connecticut
B. eastern united states
C. florida
D. new york
E. sea

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
Sammy was a union member.   He had to be.  It was the only way to advance in his profession.  What was his profession?,union,train-00000-of-00001,E,"Question:
Sammy was a union member.   He had to be.  It was the only way to advance in his profession.  What was his profession?

Which of the following is the best response to the question?

Choices:
A. workplace
B. science
C. algebra
D. province
E. construction business

Reply with exactly one uppercase letter out of A, B, C, D or E.
",99
"A car was hailed to chauffeur someone to the opera house, where was it heading?",car,validation-00000-of-00001,A,"Question:
A car was hailed to chauffeur someone to the opera house, where was it heading?

Which of the following is the best response to the question?

Choices:
A. go downtown
B. appear suddenly
C. go fast
D. bottom out
E. east

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
What do people do when they remember that they left their oven turned on?,people,train-00000-of-00001,C,"Question:
What do people do when they remember that they left their oven turned on?

Which of the following is the best response to the question?

Choices:
A. learn from each other
B. jump to conclusions
C. hurry home
D. build trust
E. talk to each other

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
John is in a dressing room changing into shorts and sweat pants.  What sort of building is he most likely to be in?,dressing room,train-00000-of-00001,A,"Question:
John is in a dressing room changing into shorts and sweat pants.  What sort of building is he most likely to be in?

Which of the following is the best response to the question?

Choices:
A. gym
B. swimming pool
C. theatre
D. department store
E. boutique

Reply with exactly one uppercase letter out of A, B, C, D or E.
",101
"He was scared of skiing after the accident, what did he want to avoid in general?",skiing,train-00000-of-00001,C,"Question:
He was scared of skiing after the accident, what did he want to avoid in general?

Which of the following is the best response to the question?

Choices:
A. broken spirit
B. healthy body
C. broken bones
D. cold nose
E. broken legs

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
What should my brother and I find if we want to see a robin at the end of summer instead of this blue egg?,egg,train-00000-of-00001,C,"Question:
What should my brother and I find if we want to see a robin at the end of summer instead of this blue egg?

Which of the following is the best response to the question?

Choices:
A. fridge
B. plate
C. bird's nest
D. yolk
E. henhouse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
James found two abandoned garbage cans behind an old building.  Where might they have been concealed?,garbage can,train-00000-of-00001,B,"Question:
James found two abandoned garbage cans behind an old building.  Where might they have been concealed?

Which of the following is the best response to the question?

Choices:
A. driveway
B. alley
C. garage
D. street
E. own backyard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"If a pregnant woman is diagnosed with exhaustion, what is a likely treatment?",exhaustion,train-00000-of-00001,E,"Question:
If a pregnant woman is diagnosed with exhaustion, what is a likely treatment?

Which of the following is the best response to the question?

Choices:
A. run out of steam
B. give birth
C. have rest
D. sit down
E. stay in bed

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"If someone saved up for a new bass, where would they go to get it?",bass,train-00000-of-00001,C,"Question:
If someone saved up for a new bass, where would they go to get it?

Which of the following is the best response to the question?

Choices:
A. freshwater lake
B. seafood restaurant
C. music store
D. barbershop quartette
E. river

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"Though he believed in the underdog the odds were not good enough, he instead pointed his money towards the what?",underdog,train-00000-of-00001,C,"Question:
Though he believed in the underdog the odds were not good enough, he instead pointed his money towards the what?

Which of the following is the best response to the question?

Choices:
A. sure bet
B. top dog
C. favourite
D. favorite
E. safe bet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
"He was running late for class and forgot his book, but he didn't realize that until he was already in the what?",book,train-00000-of-00001,A,"Question:
He was running late for class and forgot his book, but he didn't realize that until he was already in the what?

Which of the following is the best response to the question?

Choices:
A. school room
B. lecture hall
C. discount store
D. bedside table
E. classroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",99
"The woman was watching TV instead of going to the gym, what was she at risk of doing?",watching tv,train-00000-of-00001,B,"Question:
The woman was watching TV instead of going to the gym, what was she at risk of doing?

Which of the following is the best response to the question?

Choices:
A. entertainment
B. get fat
C. arguments
D. break couch
E. wasting time

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
When a newborn's eyes open for the first time it will be the first time the ever?,eyes,train-00000-of-00001,B,"Question:
When a newborn's eyes open for the first time it will be the first time the ever?

Which of the following is the best response to the question?

Choices:
A. tear up
B. see light
C. fill with tears
D. be happy
E. glass over

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"The person was there to study the apes, she would have to live out the in what for months?",person,train-00000-of-00001,A,"Question:
The person was there to study the apes, she would have to live out the in what for months?

Which of the following is the best response to the question?

Choices:
A. isolation
B. mistrust
C. make mistakes
D. executed
E. desert

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"Studying for taking final exams can be nerve wracking, especially if you're afraid of what?",taking final exams,train-00000-of-00001,C,"Question:
Studying for taking final exams can be nerve wracking, especially if you're afraid of what?

Which of the following is the best response to the question?

Choices:
A. success
B. graduation
C. failure
D. anxiety
E. studying

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
Bill lives some place that has an extremely diverse animal population spread out across a very wide area and many unique climates.  Where might he live?,animal,train-00000-of-00001,B,"Question:
Bill lives some place that has an extremely diverse animal population spread out across a very wide area and many unique climates.  Where might he live?

Which of the following is the best response to the question?

Choices:
A. pet store
B. north america
C. outside
D. park
E. zoo

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
"If someone had been smoking, an easy way to tell would be if they were what?",smoking,train-00000-of-00001,E,"Question:
If someone had been smoking, an easy way to tell would be if they were what?

Which of the following is the best response to the question?

Choices:
A. inhale
B. unhealthy
C. a chimney
D. go outside
E. coughing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
The water spout at the center was impressive.  The spout was at the center of what?,water spout,train-00000-of-00001,A,"Question:
The water spout at the center was impressive.  The spout was at the center of what?

Which of the following is the best response to the question?

Choices:
A. fountain
B. connecting hose
C. sewage plant
D. sink
E. florida

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
John didn't have to ride his bike.  He did it for only one reason. What reason is that?,riding bike,train-00000-of-00001,B,"Question:
John didn't have to ride his bike.  He did it for only one reason. What reason is that?

Which of the following is the best response to the question?

Choices:
A. thirst
B. enjoyment
C. for fun
D. pleasure
E. fatigue

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
"Anybody could be hired in the kitchen, what was needed of them?",anybody,validation-00000-of-00001,D,"Question:
Anybody could be hired in the kitchen, what was needed of them?

Which of the following is the best response to the question?

Choices:
A. forget
B. oil squeaky hinge
C. question authority
D. wash dishes
E. oik squeaky hinge

Reply with exactly one uppercase letter out of A, B, C, D or E.
",99
"They made their way down the motorway to watch some car drive in circles, where were they going?",motorway,train-00000-of-00001,D,"Question:
They made their way down the motorway to watch some car drive in circles, where were they going?

Which of the following is the best response to the question?

Choices:
A. indiana
B. new jersey
C. england
D. race track
E. patina

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
James was a senior. He was looking forward to talking a year off once he was finished.  Where might James be?,senior,train-00000-of-00001,B,"Question:
James was a senior. He was looking forward to talking a year off once he was finished.  Where might James be?

Which of the following is the best response to the question?

Choices:
A. highschool or college
B. high school or college
C. ball stopped
D. republican party
E. old people's home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",104
Where is a good place for a safabed to be so it can also be used for seating?,sofabed,train-00000-of-00001,B,"Question:
Where is a good place for a safabed to be so it can also be used for seating?

Which of the following is the best response to the question?

Choices:
A. garage
B. sitting room
C. spare room
D. livingroom
E. dinning roam

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
In a conversation what is the first thing you must do in order to listen?,listen,train-00000-of-00001,B,"Question:
In a conversation what is the first thing you must do in order to listen?

Which of the following is the best response to the question?

Choices:
A. hear things
B. stop speaking
C. look at speaker
D. you'll learn
E. concentrate on sounds

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
If you entire body is experiencing fatigue what would you do at the end of the day?,fatigue,train-00000-of-00001,A,"Question:
If you entire body is experiencing fatigue what would you do at the end of the day?

Which of the following is the best response to the question?

Choices:
A. sleep
B. sit down
C. sit on chair
D. have rest
E. lie on floor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"She was always falling on the ice in comical ways,  what was she growing sick of?",falling,train-00000-of-00001,B,"Question:
She was always falling on the ice in comical ways,  what was she growing sick of?

Which of the following is the best response to the question?

Choices:
A. hair pulling
B. being laughed at
C. contact with
D. lacerations
E. injury

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"If a person uses a computer at night to surf the internet, what feeling might they try to alleviate?",using computer,train-00000-of-00001,E,"Question:
If a person uses a computer at night to surf the internet, what feeling might they try to alleviate?

Which of the following is the best response to the question?

Choices:
A. eye strain
B. happiness
C. program created
D. lonely
E. stress

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"When you want to get the skin off of an apple, you do what to it?",apples,train-00000-of-00001,C,"Question:
When you want to get the skin off of an apple, you do what to it?

Which of the following is the best response to the question?

Choices:
A. seeds inside
B. stems
C. peel
D. grocery store
E. green market

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
They decided that they were going public with the big announcment. The announcement was completely unexpected and confusing. It brought the nation to a what?,going public,train-00000-of-00001,A,"Question:
They decided that they were going public with the big announcment. The announcement was completely unexpected and confusing. It brought the nation to a what?

Which of the following is the best response to the question?

Choices:
A. shock
B. standstill
C. pain
D. scandal
E. controversy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",101
James was driving away from work. He slid into the outside lane.  Up ahead he would have to do what?,cars,train-00000-of-00001,D,"Question:
James was driving away from work. He slid into the outside lane.  Up ahead he would have to do what?

Which of the following is the best response to the question?

Choices:
A. take u turn
B. turn left
C. crash
D. turn right
E. get to town

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
"James hates his rug but his wife insisted he display it.  As a compromise, he put it under something. What might have he put it under?",rug,train-00000-of-00001,C,"Question:
James hates his rug but his wife insisted he display it.  As a compromise, he put it under something. What might have he put it under?

Which of the following is the best response to the question?

Choices:
A. bedroom
B. place
C. table
D. persia
E. his wife

Reply with exactly one uppercase letter out of A, B, C, D or E.
",103
"When William the conqueror crossed the English Channel, where was he looking to tgo?",english channel,train-00000-of-00001,A,"Question:
When William the conqueror crossed the English Channel, where was he looking to tgo?

Which of the following is the best response to the question?

Choices:
A. england
B. go boating
C. northern hemisphere
D. watch tv
E. atlantic ocean

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"A boy is leaving line because he's tired of listening to the teacher's orders, what might the teacher give?",leaving line,train-00000-of-00001,A,"Question:
A boy is leaving line because he's tired of listening to the teacher's orders, what might the teacher give?

Which of the following is the best response to the question?

Choices:
A. punishment
B. utter chaos
C. trouble
D. have to start over
E. high five

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
"She found the housing option in the midwest were plain, where should she look for houses for less plain architecture?",plain,train-00000-of-00001,D,"Question:
She found the housing option in the midwest were plain, where should she look for houses for less plain architecture?

Which of the following is the best response to the question?

Choices:
A. landscape
B. azawakh
C. middle america
D. georgia
E. countryside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",99
"If one sees a fox and is standing in a coastal, eastern seaboard state, where is this person?",fox,train-00000-of-00001,E,"Question:
If one sees a fox and is standing in a coastal, eastern seaboard state, where is this person?

Which of the following is the best response to the question?

Choices:
A. mountains
B. arkansas
C. louisiana
D. california
E. south carolina

Reply with exactly one uppercase letter out of A, B, C, D or E.
",102
"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",punishing,train-00000-of-00001,A,"Question:
The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?

Which of the following is the best response to the question?

Choices:
A. ignore
B. enforce
C. authoritarian
D. yell at
E. avoid

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
"The therapist told him he had to communicate his problems, he said to just be willing to do what?",communicate,train-00000-of-00001,E,"Question:
The therapist told him he had to communicate his problems, he said to just be willing to do what?

Which of the following is the best response to the question?

Choices:
A. write in code
B. listen
C. send email
D. talk to people
E. talk with people

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
"James likes listening to after a long and hard day, along with a cool bath.  He finds that it makes him what?",listening to music,train-00000-of-00001,D,"Question:
James likes listening to after a long and hard day, along with a cool bath.  He finds that it makes him what?

Which of the following is the best response to the question?

Choices:
A. ardor
B. amusement
C. fall asleep
D. feeling better
E. enlightenment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",101
"The back courtyard was common feature of every house in the neighborhood, where could they be found?",back courtyard,train-00000-of-00001,C,"Question:
The back courtyard was common feature of every house in the neighborhood, where could they be found?

Which of the following is the best response to the question?

Choices:
A. palace
B. poor suburbs
C. suburbs
D. country estate
E. large house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
Lisa was driving down the highway when she saw a billboard telling her that she was near the border.  Where might she be?,billboard,train-00000-of-00001,C,"Question:
Lisa was driving down the highway when she saw a billboard telling her that she was near the border.  Where might she be?

Which of the following is the best response to the question?

Choices:
A. street
B. in the usa
C. texas
D. every city
E. countryside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",102
"Their first kiss was ruined, his bad choice of smoking had given him what?",smoking,train-00000-of-00001,D,"Question:
Their first kiss was ruined, his bad choice of smoking had given him what?

Which of the following is the best response to the question?

Choices:
A. lung disease
B. persistent cough
C. birth defects
D. bad breath
E. ashtray

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
Billy lived with his uncle.  This was an unusual arrangement. Name something that is different from this arrangement.,uncle,train-00000-of-00001,C,"Question:
Billy lived with his uncle.  This was an unusual arrangement. Name something that is different from this arrangement.

Which of the following is the best response to the question?

Choices:
A. dormitories
B. older generation
C. most families
D. aunt's house
E. aunts house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
"The child wanted to test electricity, so what did he feel as a result?",electricity,train-00000-of-00001,B,"Question:
The child wanted to test electricity, so what did he feel as a result?

Which of the following is the best response to the question?

Choices:
A. cause fire
B. shock
C. short fuse
D. kill if used improperly
E. produce heat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
Modesty is an important virtue.   An insufficient amount of it in the face of individuals of greater station may be interpreted as what?,modesty,train-00000-of-00001,C,"Question:
Modesty is an important virtue.   An insufficient amount of it in the face of individuals of greater station may be interpreted as what?

Which of the following is the best response to the question?

Choices:
A. extravagance
B. lack
C. impudence
D. boldness
E. immodesty

Reply with exactly one uppercase letter out of A, B, C, D or E.
",103
"If I need to store old stuff out of the way without concerns of them getting damp, where do I go?",old stuff,train-00000-of-00001,C,"Question:
If I need to store old stuff out of the way without concerns of them getting damp, where do I go?

Which of the following is the best response to the question?

Choices:
A. waste bin
B. cellar
C. attic
D. fridge
E. museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"There are many sayings and metaphors about flirting, which one could be found in a machine shop?",flirting,train-00000-of-00001,C,"Question:
There are many sayings and metaphors about flirting, which one could be found in a machine shop?

Which of the following is the best response to the question?

Choices:
A. feelings
B. sexual excitement
C. sparks fly
D. problems
E. unwanted pregnancy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
The foreman told the new worker to stop standing in the way and to do what in regards to the dangerous equipment?,stop standing in,train-00000-of-00001,E,"Question:
The foreman told the new worker to stop standing in the way and to do what in regards to the dangerous equipment?

Which of the following is the best response to the question?

Choices:
A. get off
B. sit down
C. step out of
D. have moved
E. move away from

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
Erin struggled to be entertaining.  She didn't have many friends and wanted people to do what to her?,entertaining,train-00000-of-00001,A,"Question:
Erin struggled to be entertaining.  She didn't have many friends and wanted people to do what to her?

Which of the following is the best response to the question?

Choices:
A. like
B. happiness
C. favors
D. fulfillment
E. laughter

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
"The tourists saw what they thought was a statue, but they soon discovered it was performance art went it began what?",statue,train-00000-of-00001,B,"Question:
The tourists saw what they thought was a statue, but they soon discovered it was performance art went it began what?

Which of the following is the best response to the question?

Choices:
A. growing mold
B. moving
C. accent garden
D. green
E. painting

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"She finally gave up smoking when they decided to grow their family, this was because she had heard it can cause what?",smoking,train-00000-of-00001,C,"Question:
She finally gave up smoking when they decided to grow their family, this was because she had heard it can cause what?

Which of the following is the best response to the question?

Choices:
A. pleasure
B. ill-omen
C. birth defects
D. bad breath
E. persistent cough

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
"What do you do when you pray, even if you are paralyzed?",pray,train-00000-of-00001,B,"Question:
What do you do when you pray, even if you are paralyzed?

Which of the following is the best response to the question?

Choices:
A. go to church
B. speak to god
C. praise god
D. kneel
E. sincere

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
Turkey only has a small northern part of their country located in part of the what?,turkey,validation-00000-of-00001,C,"Question:
Turkey only has a small northern part of their country located in part of the what?

Which of the following is the best response to the question?

Choices:
A. middle east
B. oven
C. balkan peninsula
D. provide meat
E. asia minor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
James was hiking through a desert when he looked up and saw some birds above him.  Where might the birds have been?,birds,train-00000-of-00001,E,"Question:
James was hiking through a desert when he looked up and saw some birds above him.  Where might the birds have been?

Which of the following is the best response to the question?

Choices:
A. roof
B. forest
C. countryside park
D. air
E. sky

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
"The lock kept the steering wheel from moving, but the thief still took his chances and began to work on the what?",lock,validation-00000-of-00001,C,"Question:
The lock kept the steering wheel from moving, but the thief still took his chances and began to work on the what?

Which of the following is the best response to the question?

Choices:
A. keep cloesd
B. train
C. ignition switch
D. drawer
E. firearm

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
