question,question_concept,_split,answer,final_prompt,len_tk_phi3_mini_4k_instruct
WHat type of keyboard is made up of one or more pipe divisions?,keyboard,validation-00000-of-00001,E,"Question:
WHat type of keyboard is made up of one or more pipe divisions?

Which of the following is the best response to the question?

Choices:
A. killing
B. typewriter
C. office
D. terminal
E. organ

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is likely to satisfy someone's curiosity?,curiosity,validation-00000-of-00001,A,"Question:
What is likely to satisfy someone's curiosity?

Which of the following is the best response to the question?

Choices:
A. hear news
B. read book
C. see favorite show
D. comedy show
E. go somewhere

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is the result of reaching a tentative agreement?,reach tentative agreement,train-00000-of-00001,B,"Question:
What is the result of reaching a tentative agreement?

Which of the following is the best response to the question?

Choices:
A. communicate with
B. settlement
C. shake hands
D. celebration
E. part ways

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Why would you want to be using computer?,using computer,train-00000-of-00001,E,"Question:
Why would you want to be using computer?

Which of the following is the best response to the question?

Choices:
A. carpal tunnel syndrome
B. eye strain
C. work
D. pleasure
E. increased efficiency

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is likely a safe place to keep money?,money,train-00000-of-00001,E,"Question:
Where is likely a safe place to keep money?

Which of the following is the best response to the question?

Choices:
A. pocket
B. casino
C. supermarket
D. on the ground
E. cash register

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is there a very large graveyard?,graveyard,train-00000-of-00001,A,"Question:
Where is there a very large graveyard?

Which of the following is the best response to the question?

Choices:
A. arlington
B. city
C. every town
D. church grounds
E. on the ocean

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What might a child do with cards?,children,train-00000-of-00001,D,"Question:
What might a child do with cards?

Which of the following is the best response to the question?

Choices:
A. play with toys
B. play ball
C. hear stories
D. play games
E. do homework

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
How are people not likely to find those always holding  a remote?,remote,train-00000-of-00001,C,"Question:
How are people not likely to find those always holding  a remote?

Which of the following is the best response to the question?

Choices:
A. attached
B. lovable
C. companionable
D. close
E. likely

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Why is it hard for a young child to read a long book?,book,validation-00000-of-00001,E,"Question:
Why is it hard for a young child to read a long book?

Which of the following is the best response to the question?

Choices:
A. knowledge
B. cover
C. no pictures
D. past
E. many words

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"James was a mean person, but he was also very what?",mean,train-00000-of-00001,A,"Question:
James was a mean person, but he was also very what?

Which of the following is the best response to the question?

Choices:
A. generous
B. mean cruel
C. nice
D. friendly
E. kindness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is one likely trying to find an answer for when something is broken?,answer,train-00000-of-00001,C,"Question:
What is one likely trying to find an answer for when something is broken?

Which of the following is the best response to the question?

Choices:
A. question
B. wrong
C. problem
D. swear
E. confusion

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would children be preparing for future playing?,children,train-00000-of-00001,E,"Question:
Where would children be preparing for future playing?

Which of the following is the best response to the question?

Choices:
A. zoo
B. soccer game
C. classroom
D. bathroom
E. toy store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
All humans have what which is used to distinguish them from one another?,all humans,train-00000-of-00001,C,"Question:
All humans have what which is used to distinguish them from one another?

Which of the following is the best response to the question?

Choices:
A. ears
B. feelings
C. names
D. naval
E. bladders

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where does the shopping bag go after you finish shopping?,shopping bag,train-00000-of-00001,D,"Question:
Where does the shopping bag go after you finish shopping?

Which of the following is the best response to the question?

Choices:
A. crank
B. mart
C. supermarket
D. home
E. closet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where could you see a gentleman that is not real?,gentleman,train-00000-of-00001,A,"Question:
Where could you see a gentleman that is not real?

Which of the following is the best response to the question?

Choices:
A. movie
B. church
C. big house
D. a tv screen
E. tuxedo

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Justin couldn't dance long because he experienced what?,dancing,train-00000-of-00001,C,"Question:
Justin couldn't dance long because he experienced what?

Which of the following is the best response to the question?

Choices:
A. meeting people
B. having fun
C. fatigue
D. manual
E. become tired

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where does water in the sky come from?,water,train-00000-of-00001,B,"Question:
Where does water in the sky come from?

Which of the following is the best response to the question?

Choices:
A. space
B. rain cloud
C. surface of earth
D. wishing well
E. lake or river

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The journalist had a simple approach, see story; do what?",see story,train-00000-of-00001,E,"Question:
The journalist had a simple approach, see story; do what?

Which of the following is the best response to the question?

Choices:
A. sit down
B. would read
C. reading
D. remember
E. write down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
An employer would prefer your planning vacation take place during what?,planning vacation,train-00000-of-00001,B,"Question:
An employer would prefer your planning vacation take place during what?

Which of the following is the best response to the question?

Choices:
A. organization
B. free time
C. imagination
D. meetings
E. money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where do you stop at a gift shop while checking out?,gift shop,train-00000-of-00001,A,"Question:
Where do you stop at a gift shop while checking out?

Which of the following is the best response to the question?

Choices:
A. hotel
B. disneyland
C. airport
D. train station
E. museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"If you find a bone wrapped in clothe, where are you?",bone,train-00000-of-00001,A,"Question:
If you find a bone wrapped in clothe, where are you?

Which of the following is the best response to the question?

Choices:
A. tomb
B. museum
C. arm
D. human body
E. hospital

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What do you call the caretakers of a child?,child,validation-00000-of-00001,E,"Question:
What do you call the caretakers of a child?

Which of the following is the best response to the question?

Choices:
A. principal
B. birth
C. loving couple
D. act of sex
E. parents

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
A statue that shoots liquid is called a what?,statue,validation-00000-of-00001,A,"Question:
A statue that shoots liquid is called a what?

Which of the following is the best response to the question?

Choices:
A. water fountain
B. large city
C. museum
D. pool
E. central park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where do you mix things on a counter?,counter,train-00000-of-00001,C,"Question:
Where do you mix things on a counter?

Which of the following is the best response to the question?

Choices:
A. mixer stand
B. candy store
C. kitchen
D. butcher shop
E. post office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What kind of life is not acknowledged in the secular world?,secular,train-00000-of-00001,C,"Question:
What kind of life is not acknowledged in the secular world?

Which of the following is the best response to the question?

Choices:
A. short term
B. religious
C. eternal
D. beyond
E. frequent

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What do you need energy to do in gym class?,energy,validation-00000-of-00001,D,"Question:
What do you need energy to do in gym class?

Which of the following is the best response to the question?

Choices:
A. work
B. tacos
C. mass
D. play sports
E. wrestle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"After a winning baseball game, what experience would a team member feel?",winning baseball game,train-00000-of-00001,E,"Question:
After a winning baseball game, what experience would a team member feel?

Which of the following is the best response to the question?

Choices:
A. sensation
B. celebrating
C. happiness
D. recognition
E. pride

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where does a person usually plant a rosebush?,rosebush,train-00000-of-00001,B,"Question:
Where does a person usually plant a rosebush?

Which of the following is the best response to the question?

Choices:
A. ballpark
B. flower bed
C. park
D. backyard
E. outdoors

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where can you find a few hundred or thousand apartment?,apartment,train-00000-of-00001,A,"Question:
Where can you find a few hundred or thousand apartment?

Which of the following is the best response to the question?

Choices:
A. town
B. michigan
C. texas
D. budget
E. avoid buying

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where does a bald eagle like to fly?,bald eagle,train-00000-of-00001,E,"Question:
Where does a bald eagle like to fly?

Which of the following is the best response to the question?

Choices:
A. wildlife refuge
B. mountains
C. pine tree
D. colorado
E. open country

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
When people are exposed to a virus what happens?,people,train-00000-of-00001,A,"Question:
When people are exposed to a virus what happens?

Which of the following is the best response to the question?

Choices:
A. get sick
B. experience joy
C. laugh
D. talk to each other
E. ask questions

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Some cars have racing lines on them called?,cars,train-00000-of-00001,D,"Question:
Some cars have racing lines on them called?

Which of the following is the best response to the question?

Choices:
A. seat belts
B. breaks to help stop
C. designs
D. stripes
E. radios

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
The tourist was probably most happy to capture pictures of snow on what?,snow,train-00000-of-00001,C,"Question:
The tourist was probably most happy to capture pictures of snow on what?

Which of the following is the best response to the question?

Choices:
A. canada
B. roof
C. mountains
D. ground
E. ground

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would you need to use a lantern?,lantern,validation-00000-of-00001,D,"Question:
Where would you need to use a lantern?

Which of the following is the best response to the question?

Choices:
A. grocery store
B. antique shop
C. house
D. dark place
E. street

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
where would a good newspaper boy put a paper in the rain?,newspaper,train-00000-of-00001,E,"Question:
where would a good newspaper boy put a paper in the rain?

Which of the following is the best response to the question?

Choices:
A. library
B. lawn
C. trash
D. roof
E. front door

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What would children do if they are bored?,children,train-00000-of-00001,C,"Question:
What would children do if they are bored?

Which of the following is the best response to the question?

Choices:
A. walk
B. change shoes
C. play tag
D. smell smoke
E. reach over

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where could there be a battle that is not real?,battle,train-00000-of-00001,B,"Question:
Where could there be a battle that is not real?

Which of the following is the best response to the question?

Choices:
A. vietnam
B. video game
C. court room
D. war
E. iraq

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where can a finger be warm?,finger,train-00000-of-00001,A,"Question:
Where can a finger be warm?

Which of the following is the best response to the question?

Choices:
A. glove
B. ring
C. cake batter to taste add weight to scale
D. nose
E. hand

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is likely the result of falling from a height?,falling,train-00000-of-00001,B,"Question:
What is likely the result of falling from a height?

Which of the following is the best response to the question?

Choices:
A. pain
B. broken bones
C. going down
D. diving
E. injuries

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What could snoring cause in rare cases?,snoring,train-00000-of-00001,E,"Question:
What could snoring cause in rare cases?

Which of the following is the best response to the question?

Choices:
A. complaining
B. an upset partner
C. disturbed sleep
D. loud noise
E. death

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
An adult called an engineer does what while on the job?,adult,train-00000-of-00001,A,"Question:
An adult called an engineer does what while on the job?

Which of the following is the best response to the question?

Choices:
A. drive train
B. dress himself
C. drink beer
D. marry
E. field

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What do police do when getting ready to work?,police,train-00000-of-00001,A,"Question:
What do police do when getting ready to work?

Which of the following is the best response to the question?

Choices:
A. arm themselves
B. force law
C. pull someone over
D. help people
E. direct traffic

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is a good place to find a lot of fictional words?,words,train-00000-of-00001,A,"Question:
Where is a good place to find a lot of fictional words?

Which of the following is the best response to the question?

Choices:
A. books
B. newspaper
C. mouth
D. sentence
E. in the package

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What could happen when beginning work after it is too late?,beginning work,train-00000-of-00001,A,"Question:
What could happen when beginning work after it is too late?

Which of the following is the best response to the question?

Choices:
A. panic
B. deadlines
C. accomplishing
D. momentum
E. sitting down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where should an excavation never take place?,excavation,train-00000-of-00001,B,"Question:
Where should an excavation never take place?

Which of the following is the best response to the question?

Choices:
A. construction site
B. cemetary
C. building
D. city
E. archeological site

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
She would only buy things on sale as to what?,buy,train-00000-of-00001,C,"Question:
She would only buy things on sale as to what?

Which of the following is the best response to the question?

Choices:
A. selling
B. get money
C. save money
D. steal
E. spend money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
On what device can you watch a program without leaving your home?,program,train-00000-of-00001,A,"Question:
On what device can you watch a program without leaving your home?

Which of the following is the best response to the question?

Choices:
A. television
B. microwave
C. concert
D. theater
E. opera

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is a group of bungalows in a small area?,bungalow,train-00000-of-00001,D,"Question:
What is a group of bungalows in a small area?

Which of the following is the best response to the question?

Choices:
A. park
B. woods
C. bed
D. neighborhood
E. suburbs

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What type of apples do people prefer?,apples,train-00000-of-00001,B,"Question:
What type of apples do people prefer?

Which of the following is the best response to the question?

Choices:
A. good to eat
B. crisp
C. grocery store
D. good for
E. farm

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What about you will decrease after you exercise for many months?,exercise,train-00000-of-00001,E,"Question:
What about you will decrease after you exercise for many months?

Which of the following is the best response to the question?

Choices:
A. work out
B. blood
C. expend energy
D. stretch
E. weigh

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What do you put around a garden to keep animals out?,garden,train-00000-of-00001,B,"Question:
What do you put around a garden to keep animals out?

Which of the following is the best response to the question?

Choices:
A. park
B. fence
C. ground
D. vines
E. full bloom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where can one use opera glasses?,opera glasses,train-00000-of-00001,C,"Question:
Where can one use opera glasses?

Which of the following is the best response to the question?

Choices:
A. theme park
B. antique store
C. theater
D. woman's purse
E. museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What might cause someone to have a last passing sentence?,passing sentence,train-00000-of-00001,B,"Question:
What might cause someone to have a last passing sentence?

Which of the following is the best response to the question?

Choices:
A. bounding
B. death
C. grief
D. judgement
E. appeals

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would someone keep their nylon leggings?,nylon,validation-00000-of-00001,E,"Question:
Where would someone keep their nylon leggings?

Which of the following is the best response to the question?

Choices:
A. stockings
B. rope
C. car
D. clothing
E. drawer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
When a curtain closes this is over.  What is this?,curtain,train-00000-of-00001,B,"Question:
When a curtain closes this is over.  What is this?

Which of the following is the best response to the question?

Choices:
A. bridge
B. show
C. house
D. department store
E. window

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where might a chess set outside get frozen?,chess set,train-00000-of-00001,A,"Question:
Where might a chess set outside get frozen?

Which of the following is the best response to the question?

Choices:
A. michigan
B. dorm
C. cupboard
D. toy store
E. snow

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is the last place food is before being eaten?,food,train-00000-of-00001,B,"Question:
Where is the last place food is before being eaten?

Which of the following is the best response to the question?

Choices:
A. kitchen
B. plate
C. dinning
D. stomach
E. pantry

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The muscle stretched, and after it did what?",stretch,train-00000-of-00001,D,"Question:
The muscle stretched, and after it did what?

Which of the following is the best response to the question?

Choices:
A. popped
B. loose
C. compressing
D. contract
E. cramped

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is the definition of cogitating?,cogitating,train-00000-of-00001,B,"Question:
What is the definition of cogitating?

Which of the following is the best response to the question?

Choices:
A. sit comfortably
B. think about things
C. might understand
D. enjoy
E. brain work

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What does an airplane do before takeoff?,airplanes,train-00000-of-00001,B,"Question:
What does an airplane do before takeoff?

Which of the following is the best response to the question?

Choices:
A. crash
B. accelerate
C. turn around
D. catch on fire
E. carry freight

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would you be unlikely to find a freezer?,freezer,train-00000-of-00001,C,"Question:
Where would you be unlikely to find a freezer?

Which of the following is the best response to the question?

Choices:
A. own home
B. office building
C. garage
D. appliance store
E. flat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What do people try to avoid?,people,train-00000-of-00001,A,"Question:
What do people try to avoid?

Which of the following is the best response to the question?

Choices:
A. suffer pain
B. talk to each other
C. believe in god
D. bank money
E. wait in line

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where do I put my coffee mug after it's dry?,coffee mug,train-00000-of-00001,A,"Question:
Where do I put my coffee mug after it's dry?

Which of the following is the best response to the question?

Choices:
A. shelf
B. desktop
C. cabinet
D. kitchen
E. cupboard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Attending church and praying are examples of what?,praying,train-00000-of-00001,A,"Question:
Attending church and praying are examples of what?

Which of the following is the best response to the question?

Choices:
A. religiosity
B. peacefulness
C. relief
D. feeling better
E. feel better

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
How can people acquire things they desire?,people,train-00000-of-00001,D,"Question:
How can people acquire things they desire?

Which of the following is the best response to the question?

Choices:
A. riots
B. wait in line
C. suffer pain
D. bank money
E. believe in god

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Lying to a spouse is likely to make them?,lying,train-00000-of-00001,A,"Question:
Lying to a spouse is likely to make them?

Which of the following is the best response to the question?

Choices:
A. unhappiness
B. happy
C. confusion
D. good things
E. being fired

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What does eating lunch accomplish?,eating lunch,train-00000-of-00001,B,"Question:
What does eating lunch accomplish?

Which of the following is the best response to the question?

Choices:
A. having energy
B. satisfy hunger
C. feel full
D. feel sleepy
E. drowsiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
what can one add to a building to increase it's size?,building,train-00000-of-00001,C,"Question:
what can one add to a building to increase it's size?

Which of the following is the best response to the question?

Choices:
A. city
B. town
C. rooms
D. fall down
E. urban area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where might a mouse be found to make it country?,mouse,validation-00000-of-00001,D,"Question:
Where might a mouse be found to make it country?

Which of the following is the best response to the question?

Choices:
A. kitchen
B. cook
C. computer lab
D. old barn
E. research laboratory

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where are you likely to set papers while working on them?,papers,validation-00000-of-00001,A,"Question:
Where are you likely to set papers while working on them?

Which of the following is the best response to the question?

Choices:
A. table
B. meeting
C. drawer
D. toilet
E. garage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where can someone get a flute?,flute,train-00000-of-00001,E,"Question:
Where can someone get a flute?

Which of the following is the best response to the question?

Choices:
A. orchestra
B. steal it
C. marching band
D. symphony
E. musical instrument store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is the goal of driving to work?,driving to work,train-00000-of-00001,E,"Question:
What is the goal of driving to work?

Which of the following is the best response to the question?

Choices:
A. speeding ticket
B. use gas
C. go fast
D. anxiety
E. get to work

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What must a student in engineering do?,student,validation-00000-of-00001,C,"Question:
What must a student in engineering do?

Which of the following is the best response to the question?

Choices:
A. answer question
B. learn language
C. do mathematics
D. be able to count
E. begin to study

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is a good place to buy moistener?,moistener,train-00000-of-00001,C,"Question:
Where is a good place to buy moistener?

Which of the following is the best response to the question?

Choices:
A. bathroom
B. purse
C. drug store
D. hand lotion
E. water

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What white meat goes well with potatos?,potato,train-00000-of-00001,C,"Question:
What white meat goes well with potatos?

Which of the following is the best response to the question?

Choices:
A. kitchen cupboard
B. maryland
C. chicken
D. tuna
E. pantry

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
The child was taken against its will and what the parents?,against,train-00000-of-00001,B,"Question:
The child was taken against its will and what the parents?

Which of the following is the best response to the question?

Choices:
A. for or
B. away from
C. being for
D. because
E. for someone

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is a good place to keep a shoe?,shoe,train-00000-of-00001,C,"Question:
Where is a good place to keep a shoe?

Which of the following is the best response to the question?

Choices:
A. left foot
B. wedding
C. closet
D. shoebox
E. house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What does the sky look like on a sunny day?,sky,train-00000-of-00001,D,"Question:
What does the sky look like on a sunny day?

Which of the following is the best response to the question?

Choices:
A. dark
B. cloud over
C. rain water
D. appear blue
E. starry

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is a tin likely to be stored?,tin,train-00000-of-00001,E,"Question:
Where is a tin likely to be stored?

Which of the following is the best response to the question?

Choices:
A. shopping bag
B. kitchen
C. hardware store
D. grocery store
E. cupboard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Why does someone need to be doing housework themselves?,doing housework,train-00000-of-00001,C,"Question:
Why does someone need to be doing housework themselves?

Which of the following is the best response to the question?

Choices:
A. become tired
B. backache
C. low pay
D. fatigue
E. funny

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would you get sugar if you do not have any?,sugar,train-00000-of-00001,C,"Question:
Where would you get sugar if you do not have any?

Which of the following is the best response to the question?

Choices:
A. kitchen
B. cabinet
C. neighbor's house
D. container
E. cupboard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where in a house would a table be most likely placed?,table,train-00000-of-00001,C,"Question:
Where in a house would a table be most likely placed?

Which of the following is the best response to the question?

Choices:
A. living room
B. kitchen
C. dining room
D. conference
E. demonstration

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is helping likely to make someone have?,helping,train-00000-of-00001,C,"Question:
What is helping likely to make someone have?

Which of the following is the best response to the question?

Choices:
A. enjoyment
B. better world
C. good feelings
D. contentment
E. feel good about yourself

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where do you head to travel to a star?,star,validation-00000-of-00001,C,"Question:
Where do you head to travel to a star?

Which of the following is the best response to the question?

Choices:
A. night sky
B. galaxy
C. outer space
D. hollywood
E. eat cake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would you get a bass clarinet to take home?,bass clarinet,train-00000-of-00001,C,"Question:
Where would you get a bass clarinet to take home?

Which of the following is the best response to the question?

Choices:
A. orchestra
B. school band
C. music store
D. opera house
E. home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Why might someone purposefully be going into trance?,going into trance,train-00000-of-00001,A,"Question:
Why might someone purposefully be going into trance?

Which of the following is the best response to the question?

Choices:
A. meditation
B. nothing
C. confused
D. epilepsy
E. meditate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where do monkeys hang out?,monkey,train-00000-of-00001,B,"Question:
Where do monkeys hang out?

Which of the following is the best response to the question?

Choices:
A. south africa
B. tree tops
C. zoos
D. great outdoors
E. tropical areas

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What do people want to feel more than anything?,person,train-00000-of-00001,D,"Question:
What do people want to feel more than anything?

Which of the following is the best response to the question?

Choices:
A. hurry home
B. appreciated
C. laugh out loud
D. feel loved
E. thank god

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Every person would get along in a what?,person,train-00000-of-00001,C,"Question:
Every person would get along in a what?

Which of the following is the best response to the question?

Choices:
A. eat well
B. live comfortably
C. perfect world
D. fruit bowl
E. own house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is best to have clothes folded?,clothes,train-00000-of-00001,E,"Question:
Where is best to have clothes folded?

Which of the following is the best response to the question?

Choices:
A. laundry room
B. bedroom
C. suitcase
D. closet
E. dresser

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would you find the closest items made from wood?,wood,train-00000-of-00001,A,"Question:
Where would you find the closest items made from wood?

Which of the following is the best response to the question?

Choices:
A. own home
B. lumberyard
C. electric store
D. carpet
E. boat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Name an adjective that can mean the opposite of normal.,normal,train-00000-of-00001,A,"Question:
Name an adjective that can mean the opposite of normal.

Which of the following is the best response to the question?

Choices:
A. unconventional
B. reverse
C. strange
D. uncommon
E. ill

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What happens when glass has been hit?,glass,train-00000-of-00001,C,"Question:
What happens when glass has been hit?

Which of the following is the best response to the question?

Choices:
A. melted
B. break easily
C. shattering
D. hold water
E. many different colors

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Why do manufacturers have many machines?,machines,train-00000-of-00001,C,"Question:
Why do manufacturers have many machines?

Which of the following is the best response to the question?

Choices:
A. turn jars
B. perform work
C. produce products
D. answering questions
E. serve humanity

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
