question,question_concept,_split,answer,final_prompt,len_tk_phi3_mini_4k_instruct
If I were to suffer from sudden illness I would be within reason to visit where?,illness,train-00000-of-00001,B,"Question:
If I were to suffer from sudden illness I would be within reason to visit where?

Which of the following is the best response to the question?

Choices:
A. nursing home
B. hospital
C. brain
D. elderly person
E. building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"While he was falling into a pile of broken glass, what did he fear?",falling,train-00000-of-00001,E,"Question:
While he was falling into a pile of broken glass, what did he fear?

Which of the following is the best response to the question?

Choices:
A. injury
B. being laughed at
C. breaking the glass
D. contact with
E. lacerations

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
Billy went away because his parents were fighting and he didn't want to stay where?,away,train-00000-of-00001,C,"Question:
Billy went away because his parents were fighting and he didn't want to stay where?

Which of the following is the best response to the question?

Choices:
A. home team
B. present
C. at home
D. come back
E. charming

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"Cats are looking longingly at an aquarium, what are they looking to do?",cats,train-00000-of-00001,C,"Question:
Cats are looking longingly at an aquarium, what are they looking to do?

Which of the following is the best response to the question?

Choices:
A. like heat
B. play
C. eating fish
D. drink water
E. come to dinner

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
How can people fulfill their own calorie requirements?,people,validation-00000-of-00001,B,"Question:
How can people fulfill their own calorie requirements?

Which of the following is the best response to the question?

Choices:
A. compete with each other
B. feed themselves
C. feel lonely
D. talk to each other
E. ask a doctor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
Where would a weasel go if it is hungry?,weasel,train-00000-of-00001,E,"Question:
Where would a weasel go if it is hungry?

Which of the following is the best response to the question?

Choices:
A. court room
B. chicken coop
C. backyards
D. natural history museum
E. cherry tree

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
The clicking away of a shorthand typewriter was doing what while hearing testimony?,hearing testimony,train-00000-of-00001,D,"Question:
The clicking away of a shorthand typewriter was doing what while hearing testimony?

Which of the following is the best response to the question?

Choices:
A. anger
B. nodding
C. listening
D. take notes
E. writing down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
What kind of person would believe in God and kill a divine entity?,divine,train-00000-of-00001,E,"Question:
What kind of person would believe in God and kill a divine entity?

Which of the following is the best response to the question?

Choices:
A. undivine
B. godless
C. wonderful
D. humdrum
E. horrible

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"I have a lot of money and a need to visit a desert, where is my likely destination?",money,train-00000-of-00001,C,"Question:
I have a lot of money and a need to visit a desert, where is my likely destination?

Which of the following is the best response to the question?

Choices:
A. bank account
B. race track
C. casino
D. supermarket
E. art show

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
What could happen to a cat other than wanting food?,cat,validation-00000-of-00001,B,"Question:
What could happen to a cat other than wanting food?

Which of the following is the best response to the question?

Choices:
A. feline
B. thirsty
C. sharp claws
D. pussycat
E. hungry

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
What type of explosive weapon often kills innocents long after the war is over?,explosive,train-00000-of-00001,D,"Question:
What type of explosive weapon often kills innocents long after the war is over?

Which of the following is the best response to the question?

Choices:
A. fireworks display
B. bomb
C. gun
D. landmine
E. army

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"He was washing hands, what happened to his hands as a result?",washing hands,train-00000-of-00001,C,"Question:
He was washing hands, what happened to his hands as a result?

Which of the following is the best response to the question?

Choices:
A. jazz hands
B. health
C. become wet
D. skin irritation
E. dry skin

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
What is a maid usually hired for?,maid,train-00000-of-00001,A,"Question:
What is a maid usually hired for?

Which of the following is the best response to the question?

Choices:
A. cleaning house
B. iron shirts and trousers
C. clean house
D. maid uniform
E. clean room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
Where could you put a dollar that would make it hard to get out without breaking?,dollar,train-00000-of-00001,B,"Question:
Where could you put a dollar that would make it hard to get out without breaking?

Which of the following is the best response to the question?

Choices:
A. cash drawer
B. piggy bank
C. purse
D. box
E. pocket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"Billy tried to arise, but he could not stand from bed. He continued to do what?",arise,train-00000-of-00001,D,"Question:
Billy tried to arise, but he could not stand from bed. He continued to do what?

Which of the following is the best response to the question?

Choices:
A. fall down
B. lie flat
C. get down
D. lay down
E. sitting down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"The glass ceiling was a what, that wasn't enough to defeat her opponent?",ceiling,train-00000-of-00001,E,"Question:
The glass ceiling was a what, that wasn't enough to defeat her opponent?

Which of the following is the best response to the question?

Choices:
A. building
B. leak
C. loft
D. sag
E. metaphor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
Having fun with people you care about will likely cause you to do what?,having fun,train-00000-of-00001,D,"Question:
Having fun with people you care about will likely cause you to do what?

Which of the following is the best response to the question?

Choices:
A. better mood
B. smiling
C. feeling better
D. feeling happy
E. being excited

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"A beaver is taking logs from a Pacific beach, where is it located?",beaver,train-00000-of-00001,A,"Question:
A beaver is taking logs from a Pacific beach, where is it located?

Which of the following is the best response to the question?

Choices:
A. washington
B. ontario
C. books
D. canada
E. in russia

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"Ones and zeroes are how computers do everything, you could say they simply what?",computers,train-00000-of-00001,C,"Question:
Ones and zeroes are how computers do everything, you could say they simply what?

Which of the following is the best response to the question?

Choices:
A. addition
B. do work
C. do arithmetic
D. multitask
E. share files

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
A hurricane is similar to what other wind event?,hurricane,train-00000-of-00001,C,"Question:
A hurricane is similar to what other wind event?

Which of the following is the best response to the question?

Choices:
A. tornadocane
B. disaster
C. tornadoes
D. death
E. horrendous

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"She needed a new night table, what does she need to visit to get one legally?",night table,train-00000-of-00001,A,"Question:
She needed a new night table, what does she need to visit to get one legally?

Which of the following is the best response to the question?

Choices:
A. furniture store
B. homes
C. hotel
D. hallway
E. grocery

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
What is a way that couples like to go about 	having fun ?,having fun,train-00000-of-00001,D,"Question:
What is a way that couples like to go about 	having fun ?

Which of the following is the best response to the question?

Choices:
A. cleaning house
B. playing around
C. constructing
D. kiss
E. wild ride

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
What can cause someone to want to go somewhere else because it's so smelly?,go somewhere,train-00000-of-00001,E,"Question:
What can cause someone to want to go somewhere else because it's so smelly?

Which of the following is the best response to the question?

Choices:
A. rose bush
B. go back
C. die
D. arrive there
E. fart

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"I want to buy a gong, where should I look for one?",gong,validation-00000-of-00001,E,"Question:
I want to buy a gong, where should I look for one?

Which of the following is the best response to the question?

Choices:
A. orchestra
B. church
C. chinese temple
D. chinatown
E. music store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"The person signed up for a dating website, what is he looking for?",person,train-00000-of-00001,E,"Question:
The person signed up for a dating website, what is he looking for?

Which of the following is the best response to the question?

Choices:
A. financial security
B. quick marriage
C. live well
D. own house
E. good relationship

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
If you turn off the music in a room with no other noise that room would be what?,music,validation-00000-of-00001,A,"Question:
If you turn off the music in a room with no other noise that room would be what?

Which of the following is the best response to the question?

Choices:
A. silent
B. opera
C. silence
D. television
E. elevator

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"The buildings were designed to hold a lot of people, where should it be built?",buildings,train-00000-of-00001,C,"Question:
The buildings were designed to hold a lot of people, where should it be built?

Which of the following is the best response to the question?

Choices:
A. small
B. in a hole
C. large city
D. university
E. town

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
What are all living things that have at least one nerve called?,nerve,train-00000-of-00001,C,"Question:
What are all living things that have at least one nerve called?

Which of the following is the best response to the question?

Choices:
A. person's body
B. brainstem
C. organism
D. turtles
E. fingertips

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
Seeing how old things created so long ago is likely to cause?,seeing old things,train-00000-of-00001,B,"Question:
Seeing how old things created so long ago is likely to cause?

Which of the following is the best response to the question?

Choices:
A. painful memories
B. reverence
C. curiosity
D. depression
E. nostalgia

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
Sam ran out of clipboards. Where might he got for more?,clipboard,train-00000-of-00001,D,"Question:
Sam ran out of clipboards. Where might he got for more?

Which of the following is the best response to the question?

Choices:
A. windows 95
B. school
C. ammunition shop
D. office supply store
E. desk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"When a person is on trial for killing, what is a jury likely to decide?",killing,train-00000-of-00001,E,"Question:
When a person is on trial for killing, what is a jury likely to decide?

Which of the following is the best response to the question?

Choices:
A. execution
B. investigation
C. going to jail
D. retribution
E. punishment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"The advertisement appeared outside of a central Wisconsin town, where was it located?",advertisement,train-00000-of-00001,B,"Question:
The advertisement appeared outside of a central Wisconsin town, where was it located?

Which of the following is the best response to the question?

Choices:
A. web page
B. la ville
C. magazine
D. email
E. fargo

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
What would you need to do to start work if you do not work in your house?,work,train-00000-of-00001,C,"Question:
What would you need to do to start work if you do not work in your house?

Which of the following is the best response to the question?

Choices:
A. walk in rain
B. sleep at night
C. go somewhere
D. rest
E. ride bus

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
Where do you go when you're about to board a vehicle on railing?,railing,train-00000-of-00001,A,"Question:
Where do you go when you're about to board a vehicle on railing?

Which of the following is the best response to the question?

Choices:
A. railway station
B. deck
C. flight of stairs
D. porch
E. bus station

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
What happens to water in a leaky faucet?,water,train-00000-of-00001,C,"Question:
What happens to water in a leaky faucet?

Which of the following is the best response to the question?

Choices:
A. water spout
B. wet clothes
C. dribble
D. power turbine
E. thin soup

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
Where do investment bankers hang out in the suburbs?,banker,train-00000-of-00001,E,"Question:
Where do investment bankers hang out in the suburbs?

Which of the following is the best response to the question?

Choices:
A. wall street
B. city hall
C. monopoly game
D. michigan
E. country club

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
Sam turned on the projector and showed his powerpoint presentation to his partners.  Where might he be?,projector,train-00000-of-00001,E,"Question:
Sam turned on the projector and showed his powerpoint presentation to his partners.  Where might he be?

Which of the following is the best response to the question?

Choices:
A. theatre
B. conference
C. show films
D. movies
E. meeting

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
Playing chess is like most things where practice helps to build your what at it?,playing chess,train-00000-of-00001,D,"Question:
Playing chess is like most things where practice helps to build your what at it?

Which of the following is the best response to the question?

Choices:
A. sharking abilities
B. opponent
C. thought
D. skill
E. intelligence

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
The roses flowered in June.  Sarah loved smelling the what?,flower,train-00000-of-00001,A,"Question:
The roses flowered in June.  Sarah loved smelling the what?

Which of the following is the best response to the question?

Choices:
A. blossom
B. vase
C. park
D. cast shadow
E. open

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
What will a person who is a narcissist do when around other people?,person,train-00000-of-00001,D,"Question:
What will a person who is a narcissist do when around other people?

Which of the following is the best response to the question?

Choices:
A. put down others
B. get laid
C. acknowledgment
D. talk about themselves
E. accomplish goals

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"People want to explore space, so what should they use to do it?",people,train-00000-of-00001,C,"Question:
People want to explore space, so what should they use to do it?

Which of the following is the best response to the question?

Choices:
A. public place
B. roadblock
C. space shuttle
D. hoverboard
E. supermarket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
Where do you store your groceries when you drive home?,groceries,train-00000-of-00001,E,"Question:
Where do you store your groceries when you drive home?

Which of the following is the best response to the question?

Choices:
A. grocery cart
B. supermarket
C. pantry
D. shelf
E. trunk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"A bad person places little value on being honest, acting without pretense or being what?",bad,train-00000-of-00001,E,"Question:
A bad person places little value on being honest, acting without pretense or being what?

Which of the following is the best response to the question?

Choices:
A. excellent
B. upright
C. premium
D. competent
E. sincere

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
What do adults do at a cookout with friends?,adults,train-00000-of-00001,C,"Question:
What do adults do at a cookout with friends?

Which of the following is the best response to the question?

Choices:
A. dress themselves
B. drive vehicle
C. drink beer
D. play games
E. smoke cigarettes

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"All that was left to purchase was a bass drum, what would he have as a result?",bass drum,train-00000-of-00001,C,"Question:
All that was left to purchase was a bass drum, what would he have as a result?

Which of the following is the best response to the question?

Choices:
A. rock band
B. marching band
C. drum set
D. orchestra
E. violin

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"When someone is watching a film like Saw, what are they likely experiencing?",watching film,train-00000-of-00001,B,"Question:
When someone is watching a film like Saw, what are they likely experiencing?

Which of the following is the best response to the question?

Choices:
A. they want to close their eyes
B. fear
C. like
D. being entertained
E. insight

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"If there is a bird at my window, what is it likely sitting on?",bird,train-00000-of-00001,D,"Question:
If there is a bird at my window, what is it likely sitting on?

Which of the following is the best response to the question?

Choices:
A. cage
B. forest
C. a ledge
D. windowsill
E. countryside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
What can happen when you contemplate alone for a long time?,contemplate,validation-00000-of-00001,A,"Question:
What can happen when you contemplate alone for a long time?

Which of the following is the best response to the question?

Choices:
A. daydream
B. headache
C. get ideas
D. sleep
E. become distracted

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
How does going jogging generally affect one's self esteem?,going jogging,validation-00000-of-00001,A,"Question:
How does going jogging generally affect one's self esteem?

Which of the following is the best response to the question?

Choices:
A. feel better
B. feel pride
C. sweating
D. ocean
E. arthritis

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
What is likely to be the feeling of someone who hurts someone else?,hurting else,train-00000-of-00001,A,"Question:
What is likely to be the feeling of someone who hurts someone else?

Which of the following is the best response to the question?

Choices:
A. feel remorse
B. will resent
C. anger
D. sadness
E. bad karma

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
My company is vertical.  How do I make it more horizontal?,company,train-00000-of-00001,A,"Question:
My company is vertical.  How do I make it more horizontal?

Which of the following is the best response to the question?

Choices:
A. branch out
B. ship goods
C. commit crime
D. change strategies
E. own resources

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"The poet needed to write about his distant past, where did he have to go to do so?",poet,train-00000-of-00001,D,"Question:
The poet needed to write about his distant past, where did he have to go to do so?

Which of the following is the best response to the question?

Choices:
A. garden
B. bathroom
C. classroom
D. home
E. university

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
where do some monkeys tend to live taht is hot?,monkey,train-00000-of-00001,E,"Question:
where do some monkeys tend to live taht is hot?

Which of the following is the best response to the question?

Choices:
A. rain forest
B. tree tops
C. treetops
D. great outdoors
E. tropical areas

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
What do people in love do on their birthdays?,love,train-00000-of-00001,D,"Question:
What do people in love do on their birthdays?

Which of the following is the best response to the question?

Choices:
A. stay away from each other
B. please parents
C. meet friend
D. buy presents for others
E. make friends

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"He was serious and pragmatic, so why did he drive his car?",driving car,train-00000-of-00001,A,"Question:
He was serious and pragmatic, so why did he drive his car?

Which of the following is the best response to the question?

Choices:
A. transportation
B. car crash
C. death
D. sleepy
E. stress

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
What will happen to the animal if it doesn't eat?,animal,train-00000-of-00001,A,"Question:
What will happen to the animal if it doesn't eat?

Which of the following is the best response to the question?

Choices:
A. die
B. meat
C. cuddly pet
D. feel hunger
E. learn how to dance

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"A man wants air conditioning while we watches the game on Saturday, where will it likely be installed?",air conditioning,validation-00000-of-00001,B,"Question:
A man wants air conditioning while we watches the game on Saturday, where will it likely be installed?

Which of the following is the best response to the question?

Choices:
A. car
B. house
C. offices
D. park
E. movie theatre

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
What does a person do if they want to appear authroitative?,person,train-00000-of-00001,A,"Question:
What does a person do if they want to appear authroitative?

Which of the following is the best response to the question?

Choices:
A. stand erect
B. washing dishes
C. catch cold
D. bow to people
E. wait patiently

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"Being tired makes humans realize they need what even in a car, or chair?",being tired,train-00000-of-00001,D,"Question:
Being tired makes humans realize they need what even in a car, or chair?

Which of the following is the best response to the question?

Choices:
A. snore
B. go to bed
C. read a book
D. have rest
E. go to sleep

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"If a person is working a lot, what are they likely trying to earn?",person,validation-00000-of-00001,A,"Question:
If a person is working a lot, what are they likely trying to earn?

Which of the following is the best response to the question?

Choices:
A. much money
B. own house
C. creativity
D. new car
E. caregiver

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"After exercising for 3 hours straight, what did the girl experience?",exercising,train-00000-of-00001,E,"Question:
After exercising for 3 hours straight, what did the girl experience?

Which of the following is the best response to the question?

Choices:
A. exhaustion
B. muscle growth
C. tiredness
D. sore muscles
E. pain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"The shark was feeling cold, what did it decide to look for?",shark,train-00000-of-00001,B,"Question:
The shark was feeling cold, what did it decide to look for?

Which of the following is the best response to the question?

Choices:
A. ocean
B. tropical waters
C. sea world
D. tomales bay
E. great oceans

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
Artificial intelligence is changing society.  Shifting needs and capabilities have led to what?,changing society,train-00000-of-00001,A,"Question:
Artificial intelligence is changing society.  Shifting needs and capabilities have led to what?

Which of the following is the best response to the question?

Choices:
A. change in leadership
B. revolution
C. no water
D. acceptance
E. depression

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
Where do you live if there are a lot of mailboxes in the foyer?,foyer,train-00000-of-00001,D,"Question:
Where do you live if there are a lot of mailboxes in the foyer?

Which of the following is the best response to the question?

Choices:
A. spacious house
B. mansion
C. building
D. apartment
E. townhouse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"They needed a machine to help with their studies, it was used often in the where?",machine,train-00000-of-00001,D,"Question:
They needed a machine to help with their studies, it was used often in the where?

Which of the following is the best response to the question?

Choices:
A. industrial area
B. restaurant
C. house
D. laboratory
E. office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
What is someone doing when scheduling when to go to party?,going to party,validation-00000-of-00001,E,"Question:
What is someone doing when scheduling when to go to party?

Which of the following is the best response to the question?

Choices:
A. rumpspringa
B. meeting new people
C. having fun
D. meet new people
E. plan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
A product that has been out of stock but is now restocked is what?,scarce,train-00000-of-00001,E,"Question:
A product that has been out of stock but is now restocked is what?

Which of the following is the best response to the question?

Choices:
A. plenty
B. empty
C. abundant
D. plentiful
E. available

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
Reaching advantage position in a competitin puts me in what position as compared to others?,reaching advantage,train-00000-of-00001,C,"Question:
Reaching advantage position in a competitin puts me in what position as compared to others?

Which of the following is the best response to the question?

Choices:
A. determination
B. upper hand
C. superior
D. higher position
E. skill

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
What is a person chatting with friends likely hoping to accomplish?,chatting with friends,train-00000-of-00001,E,"Question:
What is a person chatting with friends likely hoping to accomplish?

Which of the following is the best response to the question?

Choices:
A. gathering of information
B. communication
C. feel relaxed
D. kill boredom
E. social bonding

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"Long term consumption of beer can lead to all sorts of problems, it can be quite what?",beer,train-00000-of-00001,E,"Question:
Long term consumption of beer can lead to all sorts of problems, it can be quite what?

Which of the following is the best response to the question?

Choices:
A. water
B. liquid
C. foamy
D. intoxicating
E. harmful

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
In order to give birth to a child you have to do this with a man?,child,train-00000-of-00001,A,"Question:
In order to give birth to a child you have to do this with a man?

Which of the following is the best response to the question?

Choices:
A. have sex
B. eat vegetables
C. go to school
D. become adult
E. use birth control

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
WHat do many people like to do at festivals?,many people,train-00000-of-00001,E,"Question:
WHat do many people like to do at festivals?

Which of the following is the best response to the question?

Choices:
A. play games
B. talk
C. hear birds voices
D. eat ice cream
E. listen to music

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"If you didn't find any plants on another planet, where might you look to find some?",plants,train-00000-of-00001,A,"Question:
If you didn't find any plants on another planet, where might you look to find some?

Which of the following is the best response to the question?

Choices:
A. surface of earth
B. park
C. greenhouse
D. windowsill
E. ice burg

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"There is a lot of ways to live life, but it all ends the same with what?",life,train-00000-of-00001,C,"Question:
There is a lot of ways to live life, but it all ends the same with what?

Which of the following is the best response to the question?

Choices:
A. void
B. created
C. death
D. coma
E. happy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
Where can I find a steakhouse with a view of corn fields?,steak house,train-00000-of-00001,A,"Question:
Where can I find a steakhouse with a view of corn fields?

Which of the following is the best response to the question?

Choices:
A. nebraska
B. new york
C. mexico
D. home
E. utah

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"After the bald eagle was caught, where did it spend the rest of its life?",bald eagle,train-00000-of-00001,B,"Question:
After the bald eagle was caught, where did it spend the rest of its life?

Which of the following is the best response to the question?

Choices:
A. cliff
B. captivity
C. colorado
D. texas
E. utah

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
What do people use in the army when they are being attacked?,people,train-00000-of-00001,C,"Question:
What do people use in the army when they are being attacked?

Which of the following is the best response to the question?

Choices:
A. desire to travel
B. talk to each other
C. use weapons
D. crying
E. smoke marijuana

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
James thought that cost of buying the new screen outweighted the what?,cost,train-00000-of-00001,E,"Question:
James thought that cost of buying the new screen outweighted the what?

Which of the following is the best response to the question?

Choices:
A. retail markup
B. revenue
C. for free
D. income
E. benefit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
What is a place where clippers are used on women?,clippers,train-00000-of-00001,A,"Question:
What is a place where clippers are used on women?

Which of the following is the best response to the question?

Choices:
A. salon
B. barbershop
C. pharmacy
D. barber's shop
E. bathroom cabinet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
If you have beans while eating breakfast you may experience what?,eating breakfast,train-00000-of-00001,C,"Question:
If you have beans while eating breakfast you may experience what?

Which of the following is the best response to the question?

Choices:
A. fullness
B. indigestion
C. gas
D. gain energy
E. stomach ache

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
When an unpopular change in the way things are done occurs what is the public reaction?,instituting civil action,train-00000-of-00001,C,"Question:
When an unpopular change in the way things are done occurs what is the public reaction?

Which of the following is the best response to the question?

Choices:
A. confusion
B. going to court
C. moral outrage
D. trial
E. hurt feelings

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
Where would you put a plate immediately after eating from it?,plate,validation-00000-of-00001,D,"Question:
Where would you put a plate immediately after eating from it?

Which of the following is the best response to the question?

Choices:
A. kitchen cupboard
B. floor
C. table
D. dishwasher
E. flea market

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"If a person wants to sort a pile of stuff, they must start by what?",person,train-00000-of-00001,E,"Question:
If a person wants to sort a pile of stuff, they must start by what?

Which of the following is the best response to the question?

Choices:
A. control computer
B. go on vacation
C. cross street
D. gain weight
E. separate things

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
Where is a public monument likely to be erected by a city?,monument,validation-00000-of-00001,A,"Question:
Where is a public monument likely to be erected by a city?

Which of the following is the best response to the question?

Choices:
A. municipal park
B. office
C. state park
D. cemetary
E. public gardens

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"Because of safety concerns a law was passed, now all cars must have what?",cars,train-00000-of-00001,D,"Question:
Because of safety concerns a law was passed, now all cars must have what?

Which of the following is the best response to the question?

Choices:
A. windows
B. trunks
C. four wheels
D. seat belts
E. diesel engines

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
Where would you see some people standing on a line near a road?,people,train-00000-of-00001,E,"Question:
Where would you see some people standing on a line near a road?

Which of the following is the best response to the question?

Choices:
A. water fountain
B. military base
C. apartment
D. fire house
E. bus stop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
