question,question_concept,_split,answer,final_prompt,len_tk_glm4_9b_base
Fencing is a sport in which participants use a what?,fencing,train-00000-of-00001,A,"Question:
Fencing is a sport in which participants use a what?

Which of the following is the best response to the question?

Choices:
A. sword
B. competition
C. fence post
D. protection
E. dexterity

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What does a human feel when their friends ditch tehm?,human,train-00000-of-00001,A,"Question:
What does a human feel when their friends ditch tehm?

Which of the following is the best response to the question?

Choices:
A. let down
B. better himself
C. bored
D. row boat
E. turn away

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Where can a talking bee be found?,bee,train-00000-of-00001,B,"Question:
Where can a talking bee be found?

Which of the following is the best response to the question?

Choices:
A. great outdoors
B. story book
C. flower shop
D. field of flowers
E. herb garden

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What will be made easier during good weather in the winter?,good weather,train-00000-of-00001,D,"Question:
What will be made easier during good weather in the winter?

Which of the following is the best response to the question?

Choices:
A. climb
B. travel
C. ride bike
D. travel
E. go somewhere

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
How are people typically positioned in an interview?,people,train-00000-of-00001,A,"Question:
How are people typically positioned in an interview?

Which of the following is the best response to the question?

Choices:
A. facing each other
B. round-table
C. gather together
D. get angry
E. believe in god

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
The city's community garden was demolished for yet another what?,garden,train-00000-of-00001,D,"Question:
The city's community garden was demolished for yet another what?

Which of the following is the best response to the question?

Choices:
A. wasteland
B. ocean
C. desert
D. parking lot
E. flowers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where can you get in shape and drink at a juice bar?,juice,train-00000-of-00001,D,"Question:
Where can you get in shape and drink at a juice bar?

Which of the following is the best response to the question?

Choices:
A. fridge
B. limejuice
C. square
D. gym
E. refrigerator

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where can travellers pull off the road to stretch their legs?,travellers,train-00000-of-00001,A,"Question:
Where can travellers pull off the road to stretch their legs?

Which of the following is the best response to the question?

Choices:
A. rest area
B. airport
C. train station
D. come home
E. bus depot

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What do millenials do when they experience boredom?,boredom,train-00000-of-00001,A,"Question:
What do millenials do when they experience boredom?

Which of the following is the best response to the question?

Choices:
A. surf net
B. play cards
C. surf new
D. learn new
E. see new

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
If you have trouble beginning work you're suffering from what?,beginning work,train-00000-of-00001,E,"Question:
If you have trouble beginning work you're suffering from what?

Which of the following is the best response to the question?

Choices:
A. sitting down
B. excitement
C. tiredness
D. progress
E. procrastination

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What will a body be doing after jogging?,jogging,train-00000-of-00001,C,"Question:
What will a body be doing after jogging?

Which of the following is the best response to the question?

Choices:
A. breath problem
B. exhaustion
C. sweating
D. shortness of breath
E. shin splints

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What happens when you try to help someone but make it worse?,help,train-00000-of-00001,D,"Question:
What happens when you try to help someone but make it worse?

Which of the following is the best response to the question?

Choices:
A. succeed
B. do nothing
C. anticipate
D. hinder
E. hurting

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What could you find in a bookstore that is not for sale?,bookstore,train-00000-of-00001,C,"Question:
What could you find in a bookstore that is not for sale?

Which of the following is the best response to the question?

Choices:
A. magazines
B. phone book
C. carpeting
D. town
E. city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
How are people not likely to find those always holding  a remote?,remote,train-00000-of-00001,C,"Question:
How are people not likely to find those always holding  a remote?

Which of the following is the best response to the question?

Choices:
A. attached
B. lovable
C. companionable
D. close
E. likely

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"The doctor recommended washing hands, what was being promoted?",washing hands,train-00000-of-00001,C,"Question:
The doctor recommended washing hands, what was being promoted?

Which of the following is the best response to the question?

Choices:
A. cold hands
B. wet floor
C. health
D. become wet
E. dry skin

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
How would you express information to a deaf person?,express information,validation-00000-of-00001,C,"Question:
How would you express information to a deaf person?

Which of the following is the best response to the question?

Choices:
A. summarize main points
B. close mouth
C. write down
D. may disagree
E. talk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Water turns turbines in what type of structure?,water,train-00000-of-00001,A,"Question:
Water turns turbines in what type of structure?

Which of the following is the best response to the question?

Choices:
A. hydroelectric dam
B. puddle
C. sump pump
D. underground stream
E. sink

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where would you find a large dining room containing a fancy chandelier?,dining room,validation-00000-of-00001,A,"Question:
Where would you find a large dining room containing a fancy chandelier?

Which of the following is the best response to the question?

Choices:
A. mansion
B. every house
C. own home
D. table
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"Since we aren't immortal, people should what?",people,train-00000-of-00001,A,"Question:
Since we aren't immortal, people should what?

Which of the following is the best response to the question?

Choices:
A. expect to die
B. pay bills
C. buy pets
D. stay in
E. eat corn

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"He needed more information to fix it, so he consulted the what?",information,validation-00000-of-00001,E,"Question:
He needed more information to fix it, so he consulted the what?

Which of the following is the best response to the question?

Choices:
A. chickens
B. google
C. newspaper
D. online
E. manual

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Athletes soak in hot tubs to relieve what after playing baseball?,playing baseball,validation-00000-of-00001,E,"Question:
Athletes soak in hot tubs to relieve what after playing baseball?

Which of the following is the best response to the question?

Choices:
A. fame
B. errors
C. pain
D. strikes
E. sore muscles

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What is a person trying to accomplish when taking analgesics?,person,validation-00000-of-00001,B,"Question:
What is a person trying to accomplish when taking analgesics?

Which of the following is the best response to the question?

Choices:
A. acceptance
B. avoid pain
C. acknowledgment
D. passing grade
E. intellectual challenge

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What would easily hide a snake?,snake,train-00000-of-00001,D,"Question:
What would easily hide a snake?

Which of the following is the best response to the question?

Choices:
A. living room of a house
B. kew gardens
C. terrarium
D. thick forest
E. tropical forest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What do many people believe happens after you die?,die,train-00000-of-00001,C,"Question:
What do many people believe happens after you die?

Which of the following is the best response to the question?

Choices:
A. stop moving
B. nothing
C. go to heaven
D. stop living
E. stop breathing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Every living person has what on top of their neck?,person,train-00000-of-00001,D,"Question:
Every living person has what on top of their neck?

Which of the following is the best response to the question?

Choices:
A. immune system
B. belly button
C. two eyes
D. one head
E. name

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What is likely to happen to someone who is learning?,learning,validation-00000-of-00001,C,"Question:
What is likely to happen to someone who is learning?

Which of the following is the best response to the question?

Choices:
A. overconfidence
B. effectiveness
C. knowing more
D. head grows larger
E. growth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where can a mouse be found in a box?,mouse,train-00000-of-00001,B,"Question:
Where can a mouse be found in a box?

Which of the following is the best response to the question?

Choices:
A. at the store
B. computer store
C. cupboard
D. pantry
E. own home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where would a cat be digging for a mouse?,cat,train-00000-of-00001,A,"Question:
Where would a cat be digging for a mouse?

Which of the following is the best response to the question?

Choices:
A. compost pile
B. floor
C. hostel
D. milky way galaxy
E. back alley

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where would someone find freshest possible eggs?,egg,train-00000-of-00001,E,"Question:
Where would someone find freshest possible eggs?

Which of the following is the best response to the question?

Choices:
A. supermarket
B. grocery store
C. in a salad
D. bird's nest
E. chicken coop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
"James needed smooth sandpaper, but instead he got what type?",smooth,validation-00000-of-00001,A,"Question:
James needed smooth sandpaper, but instead he got what type?

Which of the following is the best response to the question?

Choices:
A. rough
B. non smooth
C. uneven
D. plastic
E. bumpy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What is a fast but expensive way to send small cargo?,cargo,train-00000-of-00001,A,"Question:
What is a fast but expensive way to send small cargo?

Which of the following is the best response to the question?

Choices:
A. airplane
B. ship's hold
C. boat
D. truck
E. train

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"He was a sloppy eater, so where did he leave a mess?",mess,validation-00000-of-00001,D,"Question:
He was a sloppy eater, so where did he leave a mess?

Which of the following is the best response to the question?

Choices:
A. sailboat
B. desk
C. closet
D. table
E. apartment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What do you get when you analysing something new?,analysing,train-00000-of-00001,B,"Question:
What do you get when you analysing something new?

Which of the following is the best response to the question?

Choices:
A. change
B. better knowledge
C. enlightened
D. get smart
E. learning more about

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
A surprising strike is likely to start this. What is it?,surprising,train-00000-of-00001,D,"Question:
A surprising strike is likely to start this. What is it?

Which of the following is the best response to the question?

Choices:
A. funny
B. frightened
C. humor
D. fight
E. labor problems

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Who sits at the center table at a receeption?,reception,train-00000-of-00001,B,"Question:
Who sits at the center table at a receeption?

Which of the following is the best response to the question?

Choices:
A. restorand
B. wedding party
C. church basement
D. corridor
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What happens after having food too much?,having food,train-00000-of-00001,D,"Question:
What happens after having food too much?

Which of the following is the best response to the question?

Choices:
A. being full
B. laziness
C. weight gain
D. getting fat
E. will not starve

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What symptom does smoking relate to the organ of breathing?,smoking,train-00000-of-00001,D,"Question:
What symptom does smoking relate to the organ of breathing?

Which of the following is the best response to the question?

Choices:
A. death
B. birth defects
C. heart attack
D. persistent cough
E. bad breath

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What area would you find a large number of wheat fields?,wheat,train-00000-of-00001,A,"Question:
What area would you find a large number of wheat fields?

Which of the following is the best response to the question?

Choices:
A. countryside
B. mill
C. bread
D. eat cake
E. farmer's field

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What do you add to you dough when making bread to make it rise?,making bread,train-00000-of-00001,A,"Question:
What do you add to you dough when making bread to make it rise?

Which of the following is the best response to the question?

Choices:
A. yeast
B. oven
C. mess
D. flour
E. biscuit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
One way to resolve confusion here is to raise my hand. Where am I?,confusion,train-00000-of-00001,B,"Question:
One way to resolve confusion here is to raise my hand. Where am I?

Which of the following is the best response to the question?

Choices:
A. war
B. class
C. mind
D. school
E. opera

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What must be done to a driveway filled with snow?,snow,train-00000-of-00001,D,"Question:
What must be done to a driveway filled with snow?

Which of the following is the best response to the question?

Choices:
A. christmas
B. avalanches
C. blizzard
D. shovelling
E. ice storm

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What do most people hope to achieve when playing sports?,playing sports,train-00000-of-00001,C,"Question:
What do most people hope to achieve when playing sports?

Which of the following is the best response to the question?

Choices:
A. an mbe
B. running
C. winning
D. have fun
E. cheat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"The person began exercising, what is he seeking?",person,train-00000-of-00001,B,"Question:
The person began exercising, what is he seeking?

Which of the following is the best response to the question?

Choices:
A. good relationship
B. live well
C. financial security
D. own house
E. food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What will the judge declare if someone is committing perjury?,committing perjury,train-00000-of-00001,A,"Question:
What will the judge declare if someone is committing perjury?

Which of the following is the best response to the question?

Choices:
A. mistrial
B. criminal prosecution
C. citation
D. injustices
E. penalty

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
If you're drinking what body part does most of the work?,drinking,train-00000-of-00001,D,"Question:
If you're drinking what body part does most of the work?

Which of the following is the best response to the question?

Choices:
A. glass
B. swallowing
C. throat
D. mouth
E. use glass

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What kind of heart test might you have while having a check up?,having checkup,train-00000-of-00001,B,"Question:
What kind of heart test might you have while having a check up?

Which of the following is the best response to the question?

Choices:
A. anxiety
B. stress
C. trouble
D. uncertainty
E. a bug bite

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What is the primary reason for visiting a shop?,shop,train-00000-of-00001,C,"Question:
What is the primary reason for visiting a shop?

Which of the following is the best response to the question?

Choices:
A. spending of money
B. spend too much
C. purchasing
D. sell items
E. compare prices

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Why is it hard for a young child to read a long book?,book,validation-00000-of-00001,E,"Question:
Why is it hard for a young child to read a long book?

Which of the following is the best response to the question?

Choices:
A. knowledge
B. cover
C. no pictures
D. past
E. many words

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
When you drive you may have to stop if someone is doing what?,drive,train-00000-of-00001,C,"Question:
When you drive you may have to stop if someone is doing what?

Which of the following is the best response to the question?

Choices:
A. while driving
B. check mirrors
C. walking
D. stop
E. passenger

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
what do living things do to continue the species?,living things,train-00000-of-00001,C,"Question:
what do living things do to continue the species?

Which of the following is the best response to the question?

Choices:
A. move
B. love
C. procreate
D. increase in size
E. increase population

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where could you make a hole with your fist?,hole,train-00000-of-00001,E,"Question:
Where could you make a hole with your fist?

Which of the following is the best response to the question?

Choices:
A. swiss cheese
B. football ground
C. ground
D. golf course
E. wall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"While he wanted to believe, what mindset prevented him from accepting it?",believe,train-00000-of-00001,B,"Question:
While he wanted to believe, what mindset prevented him from accepting it?

Which of the following is the best response to the question?

Choices:
A. deny
B. skepticism
C. doubt
D. disbelief
E. paranoid

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What could happen to a cat other than wanting food?,cat,validation-00000-of-00001,B,"Question:
What could happen to a cat other than wanting food?

Which of the following is the best response to the question?

Choices:
A. feline
B. thirsty
C. sharp claws
D. pussycat
E. hungry

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What does a person want at work?,person,train-00000-of-00001,E,"Question:
What does a person want at work?

Which of the following is the best response to the question?

Choices:
A. own house
B. easy life
C. reoccuring headache
D. healthy children
E. treated with respect

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Singers go to a studio to do what?,singers,train-00000-of-00001,D,"Question:
Singers go to a studio to do what?

Which of the following is the best response to the question?

Choices:
A. clear throats
B. sound beautiful
C. warm up
D. create music
E. make noise

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Why would you be going fishing and releasing the fish?,going fishing,train-00000-of-00001,E,"Question:
Why would you be going fishing and releasing the fish?

Which of the following is the best response to the question?

Choices:
A. catching fish
B. wet clothes
C. boredom
D. forgetfulness
E. have fun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What liquid contains naturally occurring salt?,salt,train-00000-of-00001,B,"Question:
What liquid contains naturally occurring salt?

Which of the following is the best response to the question?

Choices:
A. seashell
B. ocean water
C. table
D. fast food restaurant
E. neighbor's house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
when im competing in a competition what should i aim for,competing,train-00000-of-00001,B,"Question:
when im competing in a competition what should i aim for

Which of the following is the best response to the question?

Choices:
A. jealousy
B. wins
C. enemies
D. winning or losing
E. success

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where might we find a place to stay that only has one floor?,place to stay,train-00000-of-00001,E,"Question:
Where might we find a place to stay that only has one floor?

Which of the following is the best response to the question?

Choices:
A. mexico
B. magic
C. hotel
D. phone book
E. motel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where is a tin likely to have food in it?,tin,train-00000-of-00001,C,"Question:
Where is a tin likely to have food in it?

Which of the following is the best response to the question?

Choices:
A. pizza hut
B. hardware store
C. grocery store
D. antique store
E. cupboard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where is a telephone booth likely to be red?,telephone booth,train-00000-of-00001,C,"Question:
Where is a telephone booth likely to be red?

Which of the following is the best response to the question?

Choices:
A. airport
B. gotham city
C. london
D. city
E. gas stations

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"The sickness was beginning to fade after resting, he was what?",resting,train-00000-of-00001,C,"Question:
The sickness was beginning to fade after resting, he was what?

Which of the following is the best response to the question?

Choices:
A. relaxation
B. relaxation
C. feeling better
D. recuperation
E. doing nothing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
To think for a long time you need to be able to?,think,train-00000-of-00001,B,"Question:
To think for a long time you need to be able to?

Which of the following is the best response to the question?

Choices:
A. sit quietly
B. concentrate
C. know first
D. relax
E. drink

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Which way is the pacific ocean from Nevada?,pacific ocean,train-00000-of-00001,E,"Question:
Which way is the pacific ocean from Nevada?

Which of the following is the best response to the question?

Choices:
A. atlas
B. san francisco bay
C. beach
D. southern hemisphere
E. west

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What article of apparel or accessory is typically made of felt?,felt,train-00000-of-00001,E,"Question:
What article of apparel or accessory is typically made of felt?

Which of the following is the best response to the question?

Choices:
A. shoes
B. table
C. hat shop
D. clothes
E. man's hat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
"Where can you buy copy paper, pens and desks?",paper,train-00000-of-00001,C,"Question:
Where can you buy copy paper, pens and desks?

Which of the following is the best response to the question?

Choices:
A. computer printer
B. artist's studio
C. office supply store
D. classroom
E. supermarket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What could happen if a band is not very good?,band,train-00000-of-00001,D,"Question:
What could happen if a band is not very good?

Which of the following is the best response to the question?

Choices:
A. play music
B. include drummer
C. record album
D. blaring
E. encore

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Putting on a professional stage play requires what kind of effort?,play,train-00000-of-00001,A,"Question:
Putting on a professional stage play requires what kind of effort?

Which of the following is the best response to the question?

Choices:
A. serious
B. having fun
C. laugh
D. musical
E. doing nothing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Victoria is the capital of what canadian province?,victoria,train-00000-of-00001,A,"Question:
Victoria is the capital of what canadian province?

Which of the following is the best response to the question?

Choices:
A. british columbia
B. seychelles
C. texas
D. zimbabwe
E. zambia

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What is good way to break boredom for kids?,boredom,train-00000-of-00001,B,"Question:
What is good way to break boredom for kids?

Which of the following is the best response to the question?

Choices:
A. play chess
B. play games
C. play basket
D. play cards
E. watch film

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where would you get some chocolate if you want to bake a cake?,chocolate,train-00000-of-00001,B,"Question:
Where would you get some chocolate if you want to bake a cake?

Which of the following is the best response to the question?

Choices:
A. box
B. supermarket
C. chicken stall
D. restaurant
E. movies

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
The poker dealer spread the flop of cards across the what?,cards,validation-00000-of-00001,D,"Question:
The poker dealer spread the flop of cards across the what?

Which of the following is the best response to the question?

Choices:
A. players
B. play games
C. casino
D. table
E. toy store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where in your home would you store a satchel?,satchel,train-00000-of-00001,A,"Question:
Where in your home would you store a satchel?

Which of the following is the best response to the question?

Choices:
A. room
B. desk
C. clothing store
D. school
E. luggage compartment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Sam loved buying Christmas presents. Giving to others made him feel what?,buying christmas presents,train-00000-of-00001,C,"Question:
Sam loved buying Christmas presents. Giving to others made him feel what?

Which of the following is the best response to the question?

Choices:
A. lack of money
B. pleasure
C. happiness
D. love
E. relief

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Where would art books likely to be found on a shelf or two?,shelf,train-00000-of-00001,B,"Question:
Where would art books likely to be found on a shelf or two?

Which of the following is the best response to the question?

Choices:
A. cabinet
B. school building
C. cupboard
D. bedroom
E. museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What is someone likely the to feel the first day beginning work?,beginning work,train-00000-of-00001,C,"Question:
What is someone likely the to feel the first day beginning work?

Which of the following is the best response to the question?

Choices:
A. panic
B. excitement
C. stress
D. working
E. overthinking

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What would describe the hands of someone who doesn't do manual labor?,hands,train-00000-of-00001,B,"Question:
What would describe the hands of someone who doesn't do manual labor?

Which of the following is the best response to the question?

Choices:
A. articulate
B. soft
C. sign language
D. graceful
E. cup water

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What kind of place does a beaver call home?,beaver,train-00000-of-00001,D,"Question:
What kind of place does a beaver call home?

Which of the following is the best response to the question?

Choices:
A. ontario
B. zoo
C. marshland
D. woodlands
E. canada

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where would you put coins if you want to bring them with you?,coins,train-00000-of-00001,E,"Question:
Where would you put coins if you want to bring them with you?

Which of the following is the best response to the question?

Choices:
A. medium
B. water fountain
C. wishing well
D. desk
E. purse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What happens to your bladder when you drink a lot of water?,bladder,train-00000-of-00001,C,"Question:
What happens to your bladder when you drink a lot of water?

Which of the following is the best response to the question?

Choices:
A. stretchable
B. full
C. filled
D. padding
E. empty

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
The Coast Guard is a police force that often does what?,police,train-00000-of-00001,A,"Question:
The Coast Guard is a police force that often does what?

Which of the following is the best response to the question?

Choices:
A. board vessels
B. direct traffic
C. ocean
D. force law
E. arrest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where might someone find an abundance of cloth?,cloth,train-00000-of-00001,B,"Question:
Where might someone find an abundance of cloth?

Which of the following is the best response to the question?

Choices:
A. egyptian tombs
B. fabric store
C. kitchen
D. washing machine
E. bedroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where can you find a single musician that an audience is listening to?,musician,train-00000-of-00001,B,"Question:
Where can you find a single musician that an audience is listening to?

Which of the following is the best response to the question?

Choices:
A. studio
B. stage
C. band
D. symphony
E. orchestra

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where is the closest place from where you could borrow salt?,salt,validation-00000-of-00001,D,"Question:
Where is the closest place from where you could borrow salt?

Which of the following is the best response to the question?

Choices:
A. ocean water
B. table
C. shaker
D. neighbor's house
E. lake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"He said he also wanted in, he threatened to tattle what?",also,train-00000-of-00001,D,"Question:
He said he also wanted in, he threatened to tattle what?

Which of the following is the best response to the question?

Choices:
A. differently
B. mere
C. only
D. otherwise
E. anyway

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
When people are exposed to a virus what happens?,people,train-00000-of-00001,A,"Question:
When people are exposed to a virus what happens?

Which of the following is the best response to the question?

Choices:
A. get sick
B. experience joy
C. laugh
D. talk to each other
E. ask questions

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
The bookend was on a shelf in what location?,bookend,train-00000-of-00001,E,"Question:
The bookend was on a shelf in what location?

Which of the following is the best response to the question?

Choices:
A. bookshelf
B. pair
C. school cafeteria
D. library book
E. school library

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What happens when we fail at something we attempt?,attempt,train-00000-of-00001,A,"Question:
What happens when we fail at something we attempt?

Which of the following is the best response to the question?

Choices:
A. leave
B. give up
C. trying
D. we get shunned
E. fail

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What would you put meat on top of to cook it?,meat,validation-00000-of-00001,E,"Question:
What would you put meat on top of to cook it?

Which of the following is the best response to the question?

Choices:
A. oil
B. freezer
C. ham sandwich
D. oven
E. frying pan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Someone who's belief in a philosophy is not slight but extreme is what?,slight,train-00000-of-00001,C,"Question:
Someone who's belief in a philosophy is not slight but extreme is what?

Which of the following is the best response to the question?

Choices:
A. significant
B. important
C. radical
D. radical
E. essencial

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Success is usually a product of preparation and what?,success,train-00000-of-00001,D,"Question:
Success is usually a product of preparation and what?

Which of the following is the best response to the question?

Choices:
A. awards ceremony
B. various situations
C. vocation
D. working hard
E. promotion

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"He was jealous of the winner, his eyes were what with envy?",eyes,train-00000-of-00001,A,"Question:
He was jealous of the winner, his eyes were what with envy?

Which of the following is the best response to the question?

Choices:
A. green
B. see light
C. blue
D. brown
E. red

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
what happens when visiting museum that have narrow halls?,visiting museum,train-00000-of-00001,E,"Question:
what happens when visiting museum that have narrow halls?

Which of the following is the best response to the question?

Choices:
A. sore feet
B. amazement
C. retrospection
D. boredom
E. crowding

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
