question,subject,split,answer,final_prompt,len_tk_glm4_9b_base
"People have been burying the dead at Salem's Hope Cemetery since 1833. The place is filled with old gravestones and gothic mausoleums , the spirits of the dead hanging over the land like an early morning fog. Keeping watch, a few steps from the road with her skirt over the pedestal  , is Goldie Belle Taylor, her face weathered but otherwise in good condition. On this day, she is holding a bunch of pink rises because Goldie Belle always holds flowers. Someone makes sure of _ . ""And she has had fresh flowers in her hands for the last 150 years."" Karen Biery lives in Damascus, about five miles west of Hope Cemetery. She's written a book based on the legend of Goldie Belle Taylor titledBelieve.In 1886, at the age of two, young Goldie Belle used her hands to sop up   the left over elderberry juice from her father's iron kettle. She died not long after from poisoning. She was the love of her dad's life, and he was so upset that he sold the family farm to buy the Italian made statue, which today marks her grave. At first, it was her father who brought the flowers and laid them in her hands. When he died in 1896, the flowers kept coming. Her flowers are different per season. Why do the flowers keep miraculously appearing? People have tried to find out by having camped by the statue, but not even the groundskeepers have been able to catch the criminal. It's said that a fairy arrives at Hope Cemetery looking for the grave of her birth mother. She comes across Goldie Belle's statue. After her father died, the flowers in the hands of Goldie Belle Taylor  _  .",,auxiliary_train-00000-of-00001,A,"People have been burying the dead at Salem's Hope Cemetery since 1833. The place is filled with old gravestones and gothic mausoleums , the spirits of the dead hanging over the land like an early morning fog. Keeping watch, a few steps from the road with her skirt over the pedestal  , is Goldie Belle Taylor, her face weathered but otherwise in good condition. On this day, she is holding a bunch of pink rises because Goldie Belle always holds flowers. Someone makes sure of _ . ""And she has had fresh flowers in her hands for the last 150 years."" Karen Biery lives in Damascus, about five miles west of Hope Cemetery. She's written a book based on the legend of Goldie Belle Taylor titledBelieve.In 1886, at the age of two, young Goldie Belle used her hands to sop up   the left over elderberry juice from her father's iron kettle. She died not long after from poisoning. She was the love of her dad's life, and he was so upset that he sold the family farm to buy the Italian made statue, which today marks her grave. At first, it was her father who brought the flowers and laid them in her hands. When he died in 1896, the flowers kept coming. Her flowers are different per season. Why do the flowers keep miraculously appearing? People have tried to find out by having camped by the statue, but not even the groundskeepers have been able to catch the criminal. It's said that a fairy arrives at Hope Cemetery looking for the grave of her birth mother. She comes across Goldie Belle's statue. After her father died, the flowers in the hands of Goldie Belle Taylor  _  .

Choices:
A. usually change
B. were stolen
C. are no longer fresh
D. come from a criminal

Reply with exactly one uppercase letter out of A, B, C, or D.
",401
"There once was a girl named Erin who had a really close friend named Kevin.  They really liked being with each other, only it was difficult as Erin lived in England and Kevin lived in the United States.  Because they both liked traveling and Erin wanted to see Kevin, she planned a trip to see him in the United States one summer.  They had planned to travel around where Kevin lived and then go to see New York City at one point in order to see the sights and have a really nice steak dinner together.  Once Erin arrived and met Kevin at the airport, she ran up to him and jumped into his arms, giving him a great big hug.  They drove home where Kevin helped Erin organize her things before they changed and watched a movie together.  The next day, they went out to have breakfast at the diner.  They thought about getting eggs, French toast, or cereal... but couldn't make up their minds.  Finally, Kevin asked the worker to bring out pancakes for the two of them to share.  They had a really fun time together, visiting the beach, watching movies, and even visiting New York City like they had planned.  In the morning, they went to see the Empire State building.  In the afternoon, they saw the Statue of Liberty and Central Park.  At night, they went to have their dinner and went back to their hotel.  As Erin's trip was ending, Erin became really sad about leaving Kevin.  They talked and came up with a plan for the months ahead which made Erin feel a lot better.  Erin then went home and waited for Kyle to come to see her. What kind of dinner did Kevin have with Erin in New York?",,auxiliary_train-00000-of-00001,B,"There once was a girl named Erin who had a really close friend named Kevin.  They really liked being with each other, only it was difficult as Erin lived in England and Kevin lived in the United States.  Because they both liked traveling and Erin wanted to see Kevin, she planned a trip to see him in the United States one summer.  They had planned to travel around where Kevin lived and then go to see New York City at one point in order to see the sights and have a really nice steak dinner together.  Once Erin arrived and met Kevin at the airport, she ran up to him and jumped into his arms, giving him a great big hug.  They drove home where Kevin helped Erin organize her things before they changed and watched a movie together.  The next day, they went out to have breakfast at the diner.  They thought about getting eggs, French toast, or cereal... but couldn't make up their minds.  Finally, Kevin asked the worker to bring out pancakes for the two of them to share.  They had a really fun time together, visiting the beach, watching movies, and even visiting New York City like they had planned.  In the morning, they went to see the Empire State building.  In the afternoon, they saw the Statue of Liberty and Central Park.  At night, they went to have their dinner and went back to their hotel.  As Erin's trip was ending, Erin became really sad about leaving Kevin.  They talked and came up with a plan for the months ahead which made Erin feel a lot better.  Erin then went home and waited for Kyle to come to see her. What kind of dinner did Kevin have with Erin in New York?

Choices:
A. chocolate
B. steak
C. eggs
D. pancakes

Reply with exactly one uppercase letter out of A, B, C, or D.
",384
"Uganda is a country in East Africa and,as in many such countries,a high percentage of the population,about 80 percent,are village-dwellers living in huts,which are often no bigger than a garage. The walls of the huts are made of mud,which is held together by reeds and sticks,and the roofs of the older ones are thatched with grass,although an increasing number of newer village houses have roofs made from corrugated iron. Several generations of the same family live together in the huts,which are usually divided into two sections by a curtain. The inner section,the one furthest from the open door of the hut,is where everyone sleeps and food is prepared and served in the outer part. If the family owns chickens or goats,they are kept in a small room attached to the main house. Food is usually prepared on open fires although some people prefer to cook inside. However,this is quite dangerous and also means that the walls of the hut are stained by smoke and the atmosphere is acrid. The family sit in a circle on mats while they eat. Newer village houses are almost always made of corrugated iron and are bigger,with one or two separate bedrooms and the kitchen in a smaller building beside the main house. But,old or new,the houses are not powered by electricity,and all homes are lit by paraffin candles called ""tadobba"". Nor is there any running water in the houses. Some villages have their own well,but in many cases,collecting water involves a long and arduous walk to a river or spring,carrying plastic containers or pots made of clay. Children are the ones who have to fetch water,and they have to do this early in the morning before they go to school,or in the evening when they come home. They often have to climb high hills or walk through valleys with narrow paths through dense vegetation. It is no surprise that they grow up muscular and fit after such daily exercise,walking for several kilometres carrying such heavy weights. Where is food usually prepared?",,auxiliary_train-00000-of-00001,C,"Uganda is a country in East Africa and,as in many such countries,a high percentage of the population,about 80 percent,are village-dwellers living in huts,which are often no bigger than a garage. The walls of the huts are made of mud,which is held together by reeds and sticks,and the roofs of the older ones are thatched with grass,although an increasing number of newer village houses have roofs made from corrugated iron. Several generations of the same family live together in the huts,which are usually divided into two sections by a curtain. The inner section,the one furthest from the open door of the hut,is where everyone sleeps and food is prepared and served in the outer part. If the family owns chickens or goats,they are kept in a small room attached to the main house. Food is usually prepared on open fires although some people prefer to cook inside. However,this is quite dangerous and also means that the walls of the hut are stained by smoke and the atmosphere is acrid. The family sit in a circle on mats while they eat. Newer village houses are almost always made of corrugated iron and are bigger,with one or two separate bedrooms and the kitchen in a smaller building beside the main house. But,old or new,the houses are not powered by electricity,and all homes are lit by paraffin candles called ""tadobba"". Nor is there any running water in the houses. Some villages have their own well,but in many cases,collecting water involves a long and arduous walk to a river or spring,carrying plastic containers or pots made of clay. Children are the ones who have to fetch water,and they have to do this early in the morning before they go to school,or in the evening when they come home. They often have to climb high hills or walk through valleys with narrow paths through dense vegetation. It is no surprise that they grow up muscular and fit after such daily exercise,walking for several kilometres carrying such heavy weights. Where is food usually prepared?

Choices:
A. In the kitchen.
B. On the floor in the middle of the house.
C. On fires in front of the hut.
D. In a small room attached to the main house.

Reply with exactly one uppercase letter out of A, B, C, or D.
",478
"Sometimes people call each other  "" scared cat"" , but have you ever thought about this expression? When a cat is frightened, its heart starts beating faster, its muscles get tense, and there are changes in the chemicals in its blood-stream.  If the danger continues, this animal will do one of the two things. It will defend itself, or it will run away as fast as it can. Something like this also happens to people. When we are excited, angry, scared, or aroused by other emotions, our bodies go through many physical changes. Our hearts beat faster, and our muscles get tense. All of these changes make us more alert and ready to react. We, too, get ready to defend ourselves or run. Human beings, however, have a problem. If we give way to our feelings and let them take over, we can get into trouble. Have you ever said something in anger - and regretted later? Have you ever shouted at a teacher or told somebody you were lonely and then wished later you had kept your mouth shut? It isn't always wise to express your feelings freely. Does this mean that it's always smarter to hide our feelings? No! If you keep feelings like anger hidden away or bottled up inside, your body stays tense. Physical illnesses can develop, and you can feel disturbed badly inside. _ can actually be bad for your health. Feelings that you keep all bottled up inside don't just go away. It's as if you bought some bananas and stuck them in a cupboard. You might not be able to see them, but before long you'd smell them. And if you opened the cupboard, chances are you'd see little fruit flies hovering  all over them. They'd be rotten. You can try to treat emotions as if they were bananas in the cupboard. You can hide them and you can pretend they don't exit, but they'll still be around. And at last you'll have to deal with them, just like those bananas. The best title for this article is",,auxiliary_train-00000-of-00001,C,"Sometimes people call each other  "" scared cat"" , but have you ever thought about this expression? When a cat is frightened, its heart starts beating faster, its muscles get tense, and there are changes in the chemicals in its blood-stream.  If the danger continues, this animal will do one of the two things. It will defend itself, or it will run away as fast as it can. Something like this also happens to people. When we are excited, angry, scared, or aroused by other emotions, our bodies go through many physical changes. Our hearts beat faster, and our muscles get tense. All of these changes make us more alert and ready to react. We, too, get ready to defend ourselves or run. Human beings, however, have a problem. If we give way to our feelings and let them take over, we can get into trouble. Have you ever said something in anger - and regretted later? Have you ever shouted at a teacher or told somebody you were lonely and then wished later you had kept your mouth shut? It isn't always wise to express your feelings freely. Does this mean that it's always smarter to hide our feelings? No! If you keep feelings like anger hidden away or bottled up inside, your body stays tense. Physical illnesses can develop, and you can feel disturbed badly inside. _ can actually be bad for your health. Feelings that you keep all bottled up inside don't just go away. It's as if you bought some bananas and stuck them in a cupboard. You might not be able to see them, but before long you'd smell them. And if you opened the cupboard, chances are you'd see little fruit flies hovering  all over them. They'd be rotten. You can try to treat emotions as if they were bananas in the cupboard. You can hide them and you can pretend they don't exit, but they'll still be around. And at last you'll have to deal with them, just like those bananas. The best title for this article is

Choices:
A. What Happens to An Excited Person
B. What Happens to A Frightened Cat
C. Emotions Affect Our Bodies
D. Feelings That People Have

Reply with exactly one uppercase letter out of A, B, C, or D.
",472
"While most teachers enjoy the summer break from work, other teachers try to find part-time work during that time. If you're one of those teachers who are finding part-time work during the summer, writing for children might be the right job you're looking for. During the school year, you're very familiar with children in your classroom. That means you know what children think about, how they talk and how they act. If you read stories and books for children with your students during the school year, you also know the kinds of story that children are fond of. As a teacher, you can go to the school library and find out what kinds of books students are most interested in. Also, what kinds of books seem to be in short supply? Use this information to create stories and novels. If you continue writing for children during the school year, you won't have enough time to write as much while you're teaching, but you can probably manage to work on at least one short story for children each month. Even if you don't finish these pieces during the school year, when school ends for the summer you will have lots of writing projects to finish and hand in to editors  . Recently, many teachers have turned to writing for children as a part-time job. If you enjoy writing as much as you enjoy teaching, then writing for children might be the second job for you, too. Who is the passage probably written for?",,auxiliary_train-00000-of-00001,B,"While most teachers enjoy the summer break from work, other teachers try to find part-time work during that time. If you're one of those teachers who are finding part-time work during the summer, writing for children might be the right job you're looking for. During the school year, you're very familiar with children in your classroom. That means you know what children think about, how they talk and how they act. If you read stories and books for children with your students during the school year, you also know the kinds of story that children are fond of. As a teacher, you can go to the school library and find out what kinds of books students are most interested in. Also, what kinds of books seem to be in short supply? Use this information to create stories and novels. If you continue writing for children during the school year, you won't have enough time to write as much while you're teaching, but you can probably manage to work on at least one short story for children each month. Even if you don't finish these pieces during the school year, when school ends for the summer you will have lots of writing projects to finish and hand in to editors  . Recently, many teachers have turned to writing for children as a part-time job. If you enjoy writing as much as you enjoy teaching, then writing for children might be the second job for you, too. Who is the passage probably written for?

Choices:
A. Students.
B. Teachers.
C. Workers.
D. Schools.

Reply with exactly one uppercase letter out of A, B, C, or D.
",324
"There is no doubt that for a long time college education has been accepted. All high school graduates ought to go, says conventional wisdom and statistical evidence, because college will help them earn more money, become ""better"" people, and learn to be more responsible citizens than those who don't go. But college has never been able to work its magic for everyone. And now that close to half our high school graduates are attending, those who don't fit the pattern are becoming more numerous, and more obvious. College graduates are selling shoes and driving taxis; college students interfere(;) with each other's experiments and write false letters of recommendation in the fierce competition so as to get admitted into graduate schools. Others find no stimulation   in their studies, and consequently have to drop out, which is often encouraged by college administrators. Some observers say the fault is with the young people themselves--they are spoiled and they are expecting too much. But that's a condemnation  of the students as a whole, and doesn't explain all campus unhappiness. Others blame the state of the world, and they are partly right. We have been told that young people have to go to college because our economy can't absorb an army of untrained eighteen-year-olds. But disappointed graduates are learning that it can no longer absorb an army of trained twenty-two-year-olds,either. The reason why more young people drop out of college is that   _  .",,auxiliary_train-00000-of-00001,B,"There is no doubt that for a long time college education has been accepted. All high school graduates ought to go, says conventional wisdom and statistical evidence, because college will help them earn more money, become ""better"" people, and learn to be more responsible citizens than those who don't go. But college has never been able to work its magic for everyone. And now that close to half our high school graduates are attending, those who don't fit the pattern are becoming more numerous, and more obvious. College graduates are selling shoes and driving taxis; college students interfere(;) with each other's experiments and write false letters of recommendation in the fierce competition so as to get admitted into graduate schools. Others find no stimulation   in their studies, and consequently have to drop out, which is often encouraged by college administrators. Some observers say the fault is with the young people themselves--they are spoiled and they are expecting too much. But that's a condemnation  of the students as a whole, and doesn't explain all campus unhappiness. Others blame the state of the world, and they are partly right. We have been told that young people have to go to college because our economy can't absorb an army of untrained eighteen-year-olds. But disappointed graduates are learning that it can no longer absorb an army of trained twenty-two-year-olds,either. The reason why more young people drop out of college is that   _  .

Choices:
A. they can start selling shoes and driving taxis.
B. they are no longer motivated in their studies.
C. they compete for admission to graduate schools.
D. college administrators force them to do so.

Reply with exactly one uppercase letter out of A, B, C, or D.
",349
"A Battery's Nightmare Portable electronics that can be carried about easily are only as good as their batteries   and, let's face it, batteries aren't very good, especially when compared with, say, petrol, which packs 100 times a battery's energy into an equal space. That's why a large group of mechanical engineers (centered at the Massachusetts Institute of Technology, but with partners at other universities and companies) are hard at work in an effort to replace batteries with a tiny engine that runs on fuel. Imagine a battery-free life! When the fuel runs out in your mobile phone, you just fill up and go. The engine---about the size of a ten-cent coin---starts with a combustion chamber   that burns hydrogen. Its tiny parts are etched   onto silicon wafers   in the same manner that computer parts are etched onto integrated circuits  . The first engine is made up of five wafers. And since these wafers could be produced in much the same way as computer chips, they could probably be produced quite cheaply. But the _ in all this nice detail is efficiency. Tiny engine parts don't always behave like the bigger parts of the first engine. Something between the parts can slow down the works, according to Columbia University Professor LucFrechette, one of the engine's designers. Extreme heat from the combustion chamber is also a problem, often leaking to other parts of the engine. The scientists' goal is to create an engine that will operate 10 times better than batteries operate. Frechette says that a complete system, with all parts in place and working, will be set up in the next couple of years, but commercial models aren't likely until at least the end of the next ten years. According to the passage, the title suggests that   _   .",,auxiliary_train-00000-of-00001,C,"A Battery's Nightmare Portable electronics that can be carried about easily are only as good as their batteries   and, let's face it, batteries aren't very good, especially when compared with, say, petrol, which packs 100 times a battery's energy into an equal space. That's why a large group of mechanical engineers (centered at the Massachusetts Institute of Technology, but with partners at other universities and companies) are hard at work in an effort to replace batteries with a tiny engine that runs on fuel. Imagine a battery-free life! When the fuel runs out in your mobile phone, you just fill up and go. The engine---about the size of a ten-cent coin---starts with a combustion chamber   that burns hydrogen. Its tiny parts are etched   onto silicon wafers   in the same manner that computer parts are etched onto integrated circuits  . The first engine is made up of five wafers. And since these wafers could be produced in much the same way as computer chips, they could probably be produced quite cheaply. But the _ in all this nice detail is efficiency. Tiny engine parts don't always behave like the bigger parts of the first engine. Something between the parts can slow down the works, according to Columbia University Professor LucFrechette, one of the engine's designers. Extreme heat from the combustion chamber is also a problem, often leaking to other parts of the engine. The scientists' goal is to create an engine that will operate 10 times better than batteries operate. Frechette says that a complete system, with all parts in place and working, will be set up in the next couple of years, but commercial models aren't likely until at least the end of the next ten years. According to the passage, the title suggests that   _   .

Choices:
A. batteries should be greatly improved
B. petrol will be used instead of batteries
C. the time of batteries will be gone forever
D. pollution problems caused by batteries must be solved

Reply with exactly one uppercase letter out of A, B, C, or D.
",428
"One in ten teens says they use""study drugs""to improve their performance in school. So-called ""study drugs""refer to prescription medicines  that are used to treat ADHD .But most parents have no understanding of the problem, a new study finds. In January, 2013, researchers from the University of Michigan Mott Children's Hospital did a national survey of more than seven hundred families with teens. They found that only one percent of parents believe their child has taken a study drug. Yet in a 2012 University of Michigan study, ten percent of second-year high school students and twelve percent of third-year high school students say they use a study drug. The misuse of study drugs didn't come to the attention of almost all parents.""What we found in this survey is a clear mismatch ,""said Dr. Matthew Davis, one of the researchers. It is a mismatch between what parents believed and what their kids were reporting. ""We know teens are spreading the word that these drugs can improve their grades,""Davis said.""But these prescription medicines are drugs. And teens who use them without a prescription are taking a serious risk."" The new survey showed that fifty-four percent of white parents were""very concerned""about their child taking study drugs, compared with thirty-eight percent of Hispanic  parents and thirty-seven percent of black parents. However, just twenty-seven percent of parents surveyed have talked to their teens about using study drugs. Of these parents, forty-one percent were black, twenty-seven percent were white and seventeen percent were Hispanic. Students with a prescription for an ADHD drug should be required to keep their medicines in a safe place, such as the school nurse's office. Seventy-nine percent of parents think so, the survey shows. This may help prevent _ from being shared or used by other students. What is the purpose of this text?",,auxiliary_train-00000-of-00001,C,"One in ten teens says they use""study drugs""to improve their performance in school. So-called ""study drugs""refer to prescription medicines  that are used to treat ADHD .But most parents have no understanding of the problem, a new study finds. In January, 2013, researchers from the University of Michigan Mott Children's Hospital did a national survey of more than seven hundred families with teens. They found that only one percent of parents believe their child has taken a study drug. Yet in a 2012 University of Michigan study, ten percent of second-year high school students and twelve percent of third-year high school students say they use a study drug. The misuse of study drugs didn't come to the attention of almost all parents.""What we found in this survey is a clear mismatch ,""said Dr. Matthew Davis, one of the researchers. It is a mismatch between what parents believed and what their kids were reporting. ""We know teens are spreading the word that these drugs can improve their grades,""Davis said.""But these prescription medicines are drugs. And teens who use them without a prescription are taking a serious risk."" The new survey showed that fifty-four percent of white parents were""very concerned""about their child taking study drugs, compared with thirty-eight percent of Hispanic  parents and thirty-seven percent of black parents. However, just twenty-seven percent of parents surveyed have talked to their teens about using study drugs. Of these parents, forty-one percent were black, twenty-seven percent were white and seventeen percent were Hispanic. Students with a prescription for an ADHD drug should be required to keep their medicines in a safe place, such as the school nurse's office. Seventy-nine percent of parents think so, the survey shows. This may help prevent _ from being shared or used by other students. What is the purpose of this text?

Choices:
A. To give useful advice.
B. To introduce a new drug.
C. To report a research result
D. To explain what ADHD is.

Reply with exactly one uppercase letter out of A, B, C, or D.
",422
"""Global warming could make humans shorter,"" warn scientists who claim to have found evidence that it caused the world's first horses to shrink  nearly 50 million years ago. In fact, a team from the universities of Florida and Nebraska says it has found a link between the Earth heating up and the size of mammals - horses, in this case. The scientists used fossils to follow the evolution of horses from their earliest appearance 56 million years ago. As temperature went up,their size went down, and vice versa ;"" At one point they were as small as a house cat,"" said Dr Jonathan Bloch, curator  of the Florida Museum of Natural History, which was quoted by the ""Daily Mail"" as saying. The scientists say that the current warming could have the same effect on mammals and could even make humans smaller.""Horses started out small, about the size of a small dog . What's surprising is that after they first appeared, they then became even smaller and then dramatically increased in size, and that exactly _ the global warming event, followed by cooling"" ""It had been known that mammals were small during that time and that it was warm, but we hadn't realized that temperature specifically was driving the evolution of body size,"" Dr Bloch said in the ""Science"" journal. How did scientists find out the horses' earliest appearance millions of years ago?",,auxiliary_train-00000-of-00001,C,"""Global warming could make humans shorter,"" warn scientists who claim to have found evidence that it caused the world's first horses to shrink  nearly 50 million years ago. In fact, a team from the universities of Florida and Nebraska says it has found a link between the Earth heating up and the size of mammals - horses, in this case. The scientists used fossils to follow the evolution of horses from their earliest appearance 56 million years ago. As temperature went up,their size went down, and vice versa ;"" At one point they were as small as a house cat,"" said Dr Jonathan Bloch, curator  of the Florida Museum of Natural History, which was quoted by the ""Daily Mail"" as saying. The scientists say that the current warming could have the same effect on mammals and could even make humans smaller.""Horses started out small, about the size of a small dog . What's surprising is that after they first appeared, they then became even smaller and then dramatically increased in size, and that exactly _ the global warming event, followed by cooling"" ""It had been known that mammals were small during that time and that it was warm, but we hadn't realized that temperature specifically was driving the evolution of body size,"" Dr Bloch said in the ""Science"" journal. How did scientists find out the horses' earliest appearance millions of years ago?

Choices:
A. searching the data on the net
B. sorting through the pictures of ancient times
C. using fossils to follow the evolution
D. analyzing the related images

Reply with exactly one uppercase letter out of A, B, C, or D.
",330
"The Christmas Eve meal is very important in most European countries. While other Christian families around the world celebrate this great meal with different kinds of meat, it is a tradition for Italians to eat seven different kinds of fish. Such a meal is called the ""Feast of the Seven Fishes"". It's also considered traditional that there may be nine, eleven, or even thirteen fishes for the meal. This kind of celebration is held to remember the birth of the baby Jesus. The Feast of the Seven Fishes was held just by southern Italians as a custom at first, but today Italians all over the world hold it. Although the Feast of the Seven Fishes has been regarded as an Italian custom, no one _ knows the meaning of it. There are lots of explanations for it. Some people believe that seven fishes are served because it took God seven days to create the world. Other explanations mention the Seven Hills of Rome. For the Feast of the Seven Fishes, it's not certain that which kinds of fish should be served. At the Feast of the Seven Fishes, the meal usually begins with antipasto   and ends with delicious desserts. The Feast of the Seven Fishes has been a tradition since ancient times, and it will continue or even change as life changes. However, for Italians all over the world, the cultural meaning of the tradition is more important than anything else. Italian families celebrate the Christmas Eve meal with different kinds of   _  .",,auxiliary_train-00000-of-00001,B,"The Christmas Eve meal is very important in most European countries. While other Christian families around the world celebrate this great meal with different kinds of meat, it is a tradition for Italians to eat seven different kinds of fish. Such a meal is called the ""Feast of the Seven Fishes"". It's also considered traditional that there may be nine, eleven, or even thirteen fishes for the meal. This kind of celebration is held to remember the birth of the baby Jesus. The Feast of the Seven Fishes was held just by southern Italians as a custom at first, but today Italians all over the world hold it. Although the Feast of the Seven Fishes has been regarded as an Italian custom, no one _ knows the meaning of it. There are lots of explanations for it. Some people believe that seven fishes are served because it took God seven days to create the world. Other explanations mention the Seven Hills of Rome. For the Feast of the Seven Fishes, it's not certain that which kinds of fish should be served. At the Feast of the Seven Fishes, the meal usually begins with antipasto   and ends with delicious desserts. The Feast of the Seven Fishes has been a tradition since ancient times, and it will continue or even change as life changes. However, for Italians all over the world, the cultural meaning of the tradition is more important than anything else. Italian families celebrate the Christmas Eve meal with different kinds of   _  .

Choices:
A. meat
B. fish
C. desserts
D. antipasto

Reply with exactly one uppercase letter out of A, B, C, or D.
",332
"Once you've tasted the joy and freedom of an all-access backstage pass, sitting in the balcony  far from the stage has little attraction. In March of 2008, I had the opportunity to tour with a band. The experience was eye-opening. I hadn't realized how many misconceptions I had about the lifestyle of a world-class musician. Such a life is not as great as it appears. In fact, some aspects are extremely _ . Hours and hours are spent waiting. The musicians wait for their transportation; they wait for the sound check; they wait to perform. After the show, they wait for the crowds of fans to go away. When the musicians are not waiting, they are traveling. Sometimes the travel itself can seem attractive and exciting, with the limousines  and the first-class seats on the plane. However, even these luxuries cannot make up for long, boring hours on the road or in the air. Basic needs are all but ignored. Late-night shows and early wake-up calls make them know the preciousness of sleep. The demanding travel itineraries  and show schedules make regular meals impossible. In spite of the sacrifices, life on tour has its advantage, at least for the talent. A support team generally travels with the band, with at least one person dedicated to meeting the musicians' needs at all times. The musicians are expected to perform at the shows, but they are not expected to manage any detail of their lives. When I was with the band, I poured glasses of grapefruit juice, made sandwiches, prepared dressing rooms, and performed all kinds of routine work, such as buying toothpaste and getting money from the ATM. In addition, efforts are made by promoters to keep the musicians happy. Most places offer private dressing rooms for the musicians. There is also usually a green room, a room that is large with comfortable furnishings where the band can visit with friends and family while waiting to go on stage. Before the band goes on, their families and friends file out into the auditorium and find their seats. The house lights go dark and curtain rises. When the lights flash on and the band starts playing, the scene is magical. A behind-the-scenes view makes the experience even more spectacular. Which might be the best title for the passage?",,auxiliary_train-00000-of-00001,A,"Once you've tasted the joy and freedom of an all-access backstage pass, sitting in the balcony  far from the stage has little attraction. In March of 2008, I had the opportunity to tour with a band. The experience was eye-opening. I hadn't realized how many misconceptions I had about the lifestyle of a world-class musician. Such a life is not as great as it appears. In fact, some aspects are extremely _ . Hours and hours are spent waiting. The musicians wait for their transportation; they wait for the sound check; they wait to perform. After the show, they wait for the crowds of fans to go away. When the musicians are not waiting, they are traveling. Sometimes the travel itself can seem attractive and exciting, with the limousines  and the first-class seats on the plane. However, even these luxuries cannot make up for long, boring hours on the road or in the air. Basic needs are all but ignored. Late-night shows and early wake-up calls make them know the preciousness of sleep. The demanding travel itineraries  and show schedules make regular meals impossible. In spite of the sacrifices, life on tour has its advantage, at least for the talent. A support team generally travels with the band, with at least one person dedicated to meeting the musicians' needs at all times. The musicians are expected to perform at the shows, but they are not expected to manage any detail of their lives. When I was with the band, I poured glasses of grapefruit juice, made sandwiches, prepared dressing rooms, and performed all kinds of routine work, such as buying toothpaste and getting money from the ATM. In addition, efforts are made by promoters to keep the musicians happy. Most places offer private dressing rooms for the musicians. There is also usually a green room, a room that is large with comfortable furnishings where the band can visit with friends and family while waiting to go on stage. Before the band goes on, their families and friends file out into the auditorium and find their seats. The house lights go dark and curtain rises. When the lights flash on and the band starts playing, the scene is magical. A behind-the-scenes view makes the experience even more spectacular. Which might be the best title for the passage?

Choices:
A. Behind the Scene.
B. Hard Life of Musicians.
C. My Part-time Job.
D. How to Make Musicians Happy.

Reply with exactly one uppercase letter out of A, B, C, or D.
",512
"It's become part of the restaurant table setting: knife, fork, napkin and cell phone. Distracted   dining is the new concern with customers constantly texting friends, uploading a Weibo photo of the meal they're about to chew down or emailing the boss. For many smart-phone users, it's hard just to focus on the meal and company at hand. Now, one restaurant in Los Angeles is giving diners a reason to turn off the digital world, by offering customers willing to check   their phones at the door a 5-percent discount on their bill. Owner and chef Mark Gold of Eva Restaurant, located on Beverly Boulevard near N. Gardner Street, hopes this gives customers a way to truly sit back and relax, enjoy their meal and actually talk with friends and family in person. ""For us, it's really not about people disturbing other guests. Eva is home, and we want to create that environment of home, and we want people to connect again,"" he explained. ""It's about two people sitting together and just connecting, without the distraction of a phone, and we're trying to create an atmosphere where you come in and really enjoy the experience and the food and the company."" Gold said applying the suggestion reminds him to avoid cell phone usage, too. ""I'm guilty of it as well. When my wife and I go to dinner it seems like the cell phone is part of the table setting now. Every table you look at, it's a wine glass, the silverware and the cell phone,"" he joked. The husband and wife team runs Eva, a 40-person space with European flair. Gold said a little less than half take advantage of the deal, and no one has gotten upset about it. ""I think once the server approaches the table and they're presented with the offer, they like the idea of actually talking to each other again,"" he said. When having meal in Eva Restaurant, we are not offered  _  on the table.[,",,auxiliary_train-00000-of-00001,B,"It's become part of the restaurant table setting: knife, fork, napkin and cell phone. Distracted   dining is the new concern with customers constantly texting friends, uploading a Weibo photo of the meal they're about to chew down or emailing the boss. For many smart-phone users, it's hard just to focus on the meal and company at hand. Now, one restaurant in Los Angeles is giving diners a reason to turn off the digital world, by offering customers willing to check   their phones at the door a 5-percent discount on their bill. Owner and chef Mark Gold of Eva Restaurant, located on Beverly Boulevard near N. Gardner Street, hopes this gives customers a way to truly sit back and relax, enjoy their meal and actually talk with friends and family in person. ""For us, it's really not about people disturbing other guests. Eva is home, and we want to create that environment of home, and we want people to connect again,"" he explained. ""It's about two people sitting together and just connecting, without the distraction of a phone, and we're trying to create an atmosphere where you come in and really enjoy the experience and the food and the company."" Gold said applying the suggestion reminds him to avoid cell phone usage, too. ""I'm guilty of it as well. When my wife and I go to dinner it seems like the cell phone is part of the table setting now. Every table you look at, it's a wine glass, the silverware and the cell phone,"" he joked. The husband and wife team runs Eva, a 40-person space with European flair. Gold said a little less than half take advantage of the deal, and no one has gotten upset about it. ""I think once the server approaches the table and they're presented with the offer, they like the idea of actually talking to each other again,"" he said. When having meal in Eva Restaurant, we are not offered  _  on the table.[,

Choices:
A. forks
B. cellphones
C. napkins
D. knives

Reply with exactly one uppercase letter out of A, B, C, or D.
",440
