question,subject,split,answer,final_prompt,len_tk_mistral_7b_base
"People are different. Some are _ . These people are outgoing, confident, and know the ""gift of the gab"". They also feel very comfortable when in groups of people. Unfortunately we have the other extreme. This is the introvert. The introvert feels sick in crowds, and does not like them. These people feel awkward in the crowds, when placed in this type of situation. Many introverts are shy and lack confidence. They need to get used to people, and want to run away when questioned by people. The introvert feels very lonely in a crowd, but this could happen to the outgoing  as well. I think that I fall into the middle of the two kinds. Sometimes if I am comfortable about the type of people in the crowds, I feel welcome. If for some reason the crowd consists of different types of people, then I do not feel very comfortable in the crowd. So what do I do when I suddenly feel lost and alone in the crowd? I try to calm my mind by taking deep breath and telling myself that even this will pass. I then try, and get away from the crowd by making excuses or even trying to get to my car and go home. This, of course, is a poor excuse and doesn't often work well. These are excuses that are employed. The ones that I am not so proud of are acting like I have an emergency to go to. This is a very good lie, but I feel really bad afterwards. I have tried this one, and have succeeded. I try and find someone who feels just like I do. I then try and make a new friend. Sometimes this works and sometimes it does not. This is quite a noble way of staying in the crowd. The word ""extrovert"" is most likely to mean   _  .",,auxiliary_train-00000-of-00001,C,"People are different. Some are _ . These people are outgoing, confident, and know the ""gift of the gab"". They also feel very comfortable when in groups of people. Unfortunately we have the other extreme. This is the introvert. The introvert feels sick in crowds, and does not like them. These people feel awkward in the crowds, when placed in this type of situation. Many introverts are shy and lack confidence. They need to get used to people, and want to run away when questioned by people. The introvert feels very lonely in a crowd, but this could happen to the outgoing  as well. I think that I fall into the middle of the two kinds. Sometimes if I am comfortable about the type of people in the crowds, I feel welcome. If for some reason the crowd consists of different types of people, then I do not feel very comfortable in the crowd. So what do I do when I suddenly feel lost and alone in the crowd? I try to calm my mind by taking deep breath and telling myself that even this will pass. I then try, and get away from the crowd by making excuses or even trying to get to my car and go home. This, of course, is a poor excuse and doesn't often work well. These are excuses that are employed. The ones that I am not so proud of are acting like I have an emergency to go to. This is a very good lie, but I feel really bad afterwards. I have tried this one, and have succeeded. I try and find someone who feels just like I do. I then try and make a new friend. Sometimes this works and sometimes it does not. This is quite a noble way of staying in the crowd. The word ""extrovert"" is most likely to mean   _  .

Choices:
A. serious
B. excited
C. outgoing
D. nervous

Reply with exactly one uppercase letter out of A, B, C, or D.
",417
"Alan Izhar-Bodner, an Israeli inventor, has developed a swimming suit for divers to breathe underwater without carrying heavy oxygen tanks. His suit makes use of the air that is dissolved in water, just like fish do. The system uses the Henry Law which states that the amount of gas that can be dissolved in a liquid is proportional  to the pressure on the liquid. Raise the pressure ---more gas can be dissolved in the liquid. Decrease the pressure --- less gas dissolved in the liquid releases the gas. This is exactly what happens when you open a can of soda; carbon dioxide gas is dissolved in the liquid and is under pressure in the can. Open the can, releasing the pressure, and the gas fizzes out. Bodner's System obviously uses a special machine to lower pressure in part of a small amount of seawater taken into the system; dissolved gas is taken out. The patent reads: A self-contained open-circuit breathing instrument for use within a body of water naturally containing dissolved air. The instrument is adapted to provide breathable air. The instrument contains an inlet for taking out a quantity of water from the body of water. It further contains a separator for separating the dissolved air from the quantity of water, thus gaining the breathable air. The instrument further contains an outlet for expelling  the separated water back into the body of water, and another outlet for removing the breathable air and supplying it for breathing. The air is supplied so as to enable it to be expelled back into the body of water after it has been breathed . Human beings have been thinking about how to breathe underwater since they started swimming. This long-held desire plays an important part in one of the first great science fiction novels, Jules Verne's 20,000 Leagues Under the Sea. This passage is mainly about   _  .",,auxiliary_train-00000-of-00001,C,"Alan Izhar-Bodner, an Israeli inventor, has developed a swimming suit for divers to breathe underwater without carrying heavy oxygen tanks. His suit makes use of the air that is dissolved in water, just like fish do. The system uses the Henry Law which states that the amount of gas that can be dissolved in a liquid is proportional  to the pressure on the liquid. Raise the pressure ---more gas can be dissolved in the liquid. Decrease the pressure --- less gas dissolved in the liquid releases the gas. This is exactly what happens when you open a can of soda; carbon dioxide gas is dissolved in the liquid and is under pressure in the can. Open the can, releasing the pressure, and the gas fizzes out. Bodner's System obviously uses a special machine to lower pressure in part of a small amount of seawater taken into the system; dissolved gas is taken out. The patent reads: A self-contained open-circuit breathing instrument for use within a body of water naturally containing dissolved air. The instrument is adapted to provide breathable air. The instrument contains an inlet for taking out a quantity of water from the body of water. It further contains a separator for separating the dissolved air from the quantity of water, thus gaining the breathable air. The instrument further contains an outlet for expelling  the separated water back into the body of water, and another outlet for removing the breathable air and supplying it for breathing. The air is supplied so as to enable it to be expelled back into the body of water after it has been breathed . Human beings have been thinking about how to breathe underwater since they started swimming. This long-held desire plays an important part in one of the first great science fiction novels, Jules Verne's 20,000 Leagues Under the Sea. This passage is mainly about   _  .

Choices:
A. how Bodner invented the instrument for breathing underwater
B. why Bodner invented the instrument for breathing underwater
C. how Bodner's instrument for breathing underwater works
D. how Bodner's instrument is used by divers for breathing underwater

Reply with exactly one uppercase letter out of A, B, C, or D.
",492
"The ""babies"" tend to be on or near me, or crying, or both. I spend a fair amount of time trying to get William to sleep, to get Elliott to get involved in something that will actually keep him happy for a little while, or to get William to play on the floor for 10 minutes straight so that I can get something done. But, a lot of days, it seems like I'm not succeeding in any of those efforts. So, yesterday, a friend of mine posted a picture on Facebook. This particular friend has a baby who is about a month younger than William. The picture was of the baby, who had made his way across the floor to the toys housed along the side of the room. I just kept looking at that picture and thinking that if only William had some different toys to play with, perhaps he would stay occupied a bit longer at a stretch. But William seems so bored with all of his toys! _ . In order to find a way to make him playing longer, I kept looking at that picture. Suddenly, I realized my sons need to play closer to me. So I cleared off the cubby shelves in the playroom, and my husband and I moved it to the living room. We found all of the toys that would be safe for William and put them in the cubbies. Then, we pulled the play kitchen in. William was so interested in what I was doing that he sat there and played and chewed on his toys while we moved furniture. When we were done, I moved him over closer to the cubbies and he got so excited that he didn't disturb for an hour, while I made dinner and cleaned up! Even Elliott played happily for a few hours. It was a dream come true! And I got to know that my lack of happy children was because of my desire for a toy--free living room. Why did the author move furniture and toys into the living room?",,auxiliary_train-00000-of-00001,C,"The ""babies"" tend to be on or near me, or crying, or both. I spend a fair amount of time trying to get William to sleep, to get Elliott to get involved in something that will actually keep him happy for a little while, or to get William to play on the floor for 10 minutes straight so that I can get something done. But, a lot of days, it seems like I'm not succeeding in any of those efforts. So, yesterday, a friend of mine posted a picture on Facebook. This particular friend has a baby who is about a month younger than William. The picture was of the baby, who had made his way across the floor to the toys housed along the side of the room. I just kept looking at that picture and thinking that if only William had some different toys to play with, perhaps he would stay occupied a bit longer at a stretch. But William seems so bored with all of his toys! _ . In order to find a way to make him playing longer, I kept looking at that picture. Suddenly, I realized my sons need to play closer to me. So I cleared off the cubby shelves in the playroom, and my husband and I moved it to the living room. We found all of the toys that would be safe for William and put them in the cubbies. Then, we pulled the play kitchen in. William was so interested in what I was doing that he sat there and played and chewed on his toys while we moved furniture. When we were done, I moved him over closer to the cubbies and he got so excited that he didn't disturb for an hour, while I made dinner and cleaned up! Even Elliott played happily for a few hours. It was a dream come true! And I got to know that my lack of happy children was because of my desire for a toy--free living room. Why did the author move furniture and toys into the living room?

Choices:
A. Because she wanted to sort out her house.
B. Because she wanted to throw the unnecessary items.
C. Because she wanted to have her sons closer to her.
D. Because she wanted to teach her sons to cook.

Reply with exactly one uppercase letter out of A, B, C, or D.
",487
"Here is some information about some of the wonders of the world. I am sure you will be interested in them. The Pyramids of Egypt There are about eighty pyramids known today. The most well-known was for Pharaoh  Khufu. It is known as the ""Great Pyramid"". It's also the largest one. Workers used about 2.3 million blocks of stone to build it. (A)20.  The Hanging Gardens of Babylon The garden sat on a hill. It was a large and wonderful structure . Many parts of the garden were high up on large columns . There were many big and green trees with lovely flowers. Although there are many different ideas about the garden, we are not sure whether this wonder ever existed ! The Lighthouse of Alexandria The Lighthouse of Alexandria was designed about 2,000 years ago. It was in Egypt, too. (B) It was one of the ancient wonders of the world, about 135 metres high. It was once the highest building in the world. Although it doesn't exist now, many people come to see its relic  every year. _   raised high up the parts of the garden.",,auxiliary_train-00000-of-00001,D,"Here is some information about some of the wonders of the world. I am sure you will be interested in them. The Pyramids of Egypt There are about eighty pyramids known today. The most well-known was for Pharaoh  Khufu. It is known as the ""Great Pyramid"". It's also the largest one. Workers used about 2.3 million blocks of stone to build it. (A)20.  The Hanging Gardens of Babylon The garden sat on a hill. It was a large and wonderful structure . Many parts of the garden were high up on large columns . There were many big and green trees with lovely flowers. Although there are many different ideas about the garden, we are not sure whether this wonder ever existed ! The Lighthouse of Alexandria The Lighthouse of Alexandria was designed about 2,000 years ago. It was in Egypt, too. (B) It was one of the ancient wonders of the world, about 135 metres high. It was once the highest building in the world. Although it doesn't exist now, many people come to see its relic  every year. _   raised high up the parts of the garden.

Choices:
A. Big green trees
B. Lovely flowers
C. Stones
D. Large columns

Reply with exactly one uppercase letter out of A, B, C, or D.
",311
"You might say that Barack Obama was elected President of the US because he knows how to give a speech. In 2004, the little-known Obama gave a speech at the Democratic National Convention  . It was a great speech -- poetic, and inspiring. The people who heard it would remember it for a long time. Since 2004, Obama has written and delivered thousands of speeches. There are usually praised for two reasons: he treats the audiences like intelligent adults, and he is able to express complicated ideas in a straightforward, natural way. Before becoming President, Obama was a lawyer, a college professor, and a successful writer - his two memoirs   have become best sellers. The skills he needed to succeed in his previous jobs have also contributed to his success as a speechmaker. As a lawyer, Obama learned how to make strong, convincing arguments. As a professor, he learned how to explain complex subjects in ways that helped students understand without boring them. As a writer, he learned how to use languages to have a powerful influence on his audience. A famous American musician even turned one of Obama's early speeches into a song during the election campaign. Secret weapons of Obama Writing team: Obama has a team of people who write his speeches. The writers chat with Obama for hours about what he wants to say. Then listen to recordings of past presidential addresses and seek advice from advisers. Obama usually edits and rewrites the drafts several times. Make fun of the guests: Obama starts his speech by gently making fun of his guests. His opening lines attract the audience's attention while giving them an opportunity to relax and laugh at themselves and each other. Make fun of himself: Obama laughs at his past mistakes and is never afraid of showing them to the public. Obama delivers speeches to audiences large and small. He can make his audiences laugh or cry. His speeches are always thoughtful, well written and just right for each occasion. What's the author's attitude towards Obama's speeches?",,auxiliary_train-00000-of-00001,C,"You might say that Barack Obama was elected President of the US because he knows how to give a speech. In 2004, the little-known Obama gave a speech at the Democratic National Convention  . It was a great speech -- poetic, and inspiring. The people who heard it would remember it for a long time. Since 2004, Obama has written and delivered thousands of speeches. There are usually praised for two reasons: he treats the audiences like intelligent adults, and he is able to express complicated ideas in a straightforward, natural way. Before becoming President, Obama was a lawyer, a college professor, and a successful writer - his two memoirs   have become best sellers. The skills he needed to succeed in his previous jobs have also contributed to his success as a speechmaker. As a lawyer, Obama learned how to make strong, convincing arguments. As a professor, he learned how to explain complex subjects in ways that helped students understand without boring them. As a writer, he learned how to use languages to have a powerful influence on his audience. A famous American musician even turned one of Obama's early speeches into a song during the election campaign. Secret weapons of Obama Writing team: Obama has a team of people who write his speeches. The writers chat with Obama for hours about what he wants to say. Then listen to recordings of past presidential addresses and seek advice from advisers. Obama usually edits and rewrites the drafts several times. Make fun of the guests: Obama starts his speech by gently making fun of his guests. His opening lines attract the audience's attention while giving them an opportunity to relax and laugh at themselves and each other. Make fun of himself: Obama laughs at his past mistakes and is never afraid of showing them to the public. Obama delivers speeches to audiences large and small. He can make his audiences laugh or cry. His speeches are always thoughtful, well written and just right for each occasion. What's the author's attitude towards Obama's speeches?

Choices:
A. negative
B. indifferent
C. positive
D. doubtful

Reply with exactly one uppercase letter out of A, B, C, or D.
",477
"Marie Curie, born in Sklodovka, Poland in 1876, led a hard life as a girl. Her parents, both teachers, had small salaries and were quite poor, especially after her mother stopped teaching to raise five children and take care of her poor health. Marie's mother suffered from tuberculosis   and died of it when Marie was ten. When Marie was small, she showed great interest in science. She loved to study and hoped to become a scientist when she grew up. Her parents encouraged her interest in science. Excellent as she was in her studies, she couldn't go on with the advanced education she needed because Poland was then ruled by Russia and women were not permitted to go to college. In order to continue her education, she smoothed away many difficulties and entered Paris University. she lived a simple life and studied hard, so she graduated with the highest grades in her class. After graduation, she was engaged in scientific research in Paris University. There she met Pierre Curie, whom she married later. Pierre joined her in her research into an unknown phenomenon radiation, which a certain scientist had declared the uranium   gave off. The Curies spent several years trying their best to find the element that produced radiation. Finally they succeeded in 1902. Marie Curie won two Nobel Prizes, one for physics in 1906, together with her husband and another scientist who had also contributed to the research, the other for chemistry herself in 1911.Marie Curie was a scientist of great achievement, and the first woman ever to be honoured in the Nobel Prize history. The fact that proves Marie was the best student in her class is that   _  .",,auxiliary_train-00000-of-00001,B,"Marie Curie, born in Sklodovka, Poland in 1876, led a hard life as a girl. Her parents, both teachers, had small salaries and were quite poor, especially after her mother stopped teaching to raise five children and take care of her poor health. Marie's mother suffered from tuberculosis   and died of it when Marie was ten. When Marie was small, she showed great interest in science. She loved to study and hoped to become a scientist when she grew up. Her parents encouraged her interest in science. Excellent as she was in her studies, she couldn't go on with the advanced education she needed because Poland was then ruled by Russia and women were not permitted to go to college. In order to continue her education, she smoothed away many difficulties and entered Paris University. she lived a simple life and studied hard, so she graduated with the highest grades in her class. After graduation, she was engaged in scientific research in Paris University. There she met Pierre Curie, whom she married later. Pierre joined her in her research into an unknown phenomenon radiation, which a certain scientist had declared the uranium   gave off. The Curies spent several years trying their best to find the element that produced radiation. Finally they succeeded in 1902. Marie Curie won two Nobel Prizes, one for physics in 1906, together with her husband and another scientist who had also contributed to the research, the other for chemistry herself in 1911.Marie Curie was a scientist of great achievement, and the first woman ever to be honoured in the Nobel Prize history. The fact that proves Marie was the best student in her class is that   _  .

Choices:
A. she smoothed away many difficulties and entered Paris University
B. her grades were the highest in her class
C. she did research work after her graduation
D. she won the Nobel Prize finally

Reply with exactly one uppercase letter out of A, B, C, or D.
",439
"A group of old classmates, who have succeeded in their work, got together to visit their old university professor. The conversation soon turned to complaining about the stress in work and life. Offering his guests coffee, the professor went to the kitchen and returned with a large pot of coffee and many cups-china , plastic and glass, some plain  looking, some expensive and some lovely. The professor told them to help themselves to the coffee. When all the students had a cup of coffee in hand, the professor said, ""Can you notice all the nice looking expensive cups were taken, leaving behind the plain and cheap ones? While it is normal for you to want only the best for yourselves, that is the source  of your problems and stress."" ""What all of you really wanted was coffee, not the cup, but you went for the best cups and were eyeing each other's cups."" ""Now think about this: life is the coffee, and the jobs, money and position in society are the cups. They are just tools to hold and contain life, and do not change the quality of life. Sometimes, by concentrating only on the cups, we fail to enjoy the coffee. So don't let the cups drive you, enjoy the coffee instead."" What is the best title of this passage?",,auxiliary_train-00000-of-00001,A,"A group of old classmates, who have succeeded in their work, got together to visit their old university professor. The conversation soon turned to complaining about the stress in work and life. Offering his guests coffee, the professor went to the kitchen and returned with a large pot of coffee and many cups-china , plastic and glass, some plain  looking, some expensive and some lovely. The professor told them to help themselves to the coffee. When all the students had a cup of coffee in hand, the professor said, ""Can you notice all the nice looking expensive cups were taken, leaving behind the plain and cheap ones? While it is normal for you to want only the best for yourselves, that is the source  of your problems and stress."" ""What all of you really wanted was coffee, not the cup, but you went for the best cups and were eyeing each other's cups."" ""Now think about this: life is the coffee, and the jobs, money and position in society are the cups. They are just tools to hold and contain life, and do not change the quality of life. Sometimes, by concentrating only on the cups, we fail to enjoy the coffee. So don't let the cups drive you, enjoy the coffee instead."" What is the best title of this passage?

Choices:
A. Life Is the Coffee
B. An Old University Professor
C. Stress in Your Life
D. Coffee and Coffee Cups

Reply with exactly one uppercase letter out of A, B, C, or D.
",326
"What is the hottest English word of 2013? It's ""selfie"", according to Oxford dictionaries. Selfie is a photo that one takes of oneself, according to the Oxford online dictionary. People usually take selfies with a smartphone  and send them to a social media website. The word was first used in 2002. In the past 12 months, its frequency   in the English language has increased by 17,000 percent, said Oxford dictionaries. Now, almost everybody knows it. ""Almost every day, I take a photo of myself at school, and save it in my Qzone (QQ),"" said Huang Xu, 13, from Hunan. These photos record her happy and sad moments. Pop stars also take a lot of selfies. Li Chunping, 14, from Harbin, is a big fan of Yang Mi. ""She has used many selfies to tell us what's going on in her personal life,"" said Li. What makes people love selfies? Some people say it's narcissism  . ""The rise of the selfie is a perfect symbol for our narcissistic culture. We're crying out: Look at me!"" said US psychiatrist  Carole Lieberman. Young people are using selfies to make friends online, Jonathan Freedland wrote in The Guardian. ""The usual purpose of taking a selfie is to share online. They express a human need to connect with others,"" wrote Freedland. Huang Xu agrees with that. ""During summer vacation, my classmates and I shared many selfies online. Hair or clothes were not our interests. Through these photos, we got to know each other's holidays and feelings,"" said Huang Xu. We can tell from the story that   _  .",,auxiliary_train-00000-of-00001,C,"What is the hottest English word of 2013? It's ""selfie"", according to Oxford dictionaries. Selfie is a photo that one takes of oneself, according to the Oxford online dictionary. People usually take selfies with a smartphone  and send them to a social media website. The word was first used in 2002. In the past 12 months, its frequency   in the English language has increased by 17,000 percent, said Oxford dictionaries. Now, almost everybody knows it. ""Almost every day, I take a photo of myself at school, and save it in my Qzone (QQ),"" said Huang Xu, 13, from Hunan. These photos record her happy and sad moments. Pop stars also take a lot of selfies. Li Chunping, 14, from Harbin, is a big fan of Yang Mi. ""She has used many selfies to tell us what's going on in her personal life,"" said Li. What makes people love selfies? Some people say it's narcissism  . ""The rise of the selfie is a perfect symbol for our narcissistic culture. We're crying out: Look at me!"" said US psychiatrist  Carole Lieberman. Young people are using selfies to make friends online, Jonathan Freedland wrote in The Guardian. ""The usual purpose of taking a selfie is to share online. They express a human need to connect with others,"" wrote Freedland. Huang Xu agrees with that. ""During summer vacation, my classmates and I shared many selfies online. Hair or clothes were not our interests. Through these photos, we got to know each other's holidays and feelings,"" said Huang Xu. We can tell from the story that   _  .

Choices:
A. only famous people enjoy taking selfies
B. all people love selfies because of narcissism
C. people love to share selfies online
D. US psychiatrist Carole Lieberman hates selfies

Reply with exactly one uppercase letter out of A, B, C, or D.
",475
"Jay Kohl, an American student, posted an online advertisement two weeks ago searching for a Chinese family to stay with so that he can learn the language and culture. ""I'm a clean, non-smoking, and warm-hearted American man looking for a homestay in the Wudaokou area to improve my Chinese language skills,"" he wrote. ""I'm willing to offer help with English tutoring and even can help you with applying for foreign universities."" He still hasn't found a suitable home. ""Most of the families that contacted me seem to be interested in doing business instead of cultural exchange,"" he said. ""I think I might have to rent an apartment in the end."" Kohl isn't the only foreigner finding it difficult to find a homestay in Beijing. Michael Benson, who wants to come to Beijing in September, has also faced the same problem. Why is finding a homestay family so difficult? Beijing Today _ a Chinese teacher, Jessie Xi, who has been teaching foreign students at the University of International Business and Economics for more than six years. Xi has accepted many homestays, and from her own experience and what she's been told, she said there were four major problems visitors may meet when applying for homestays. Problem 1:Having too high expectation for language improvement. Problem 2: Considering oneself as a guest instead of a family member. Problem 3: Not making clear what a family's rules are beforehand. Problem 4; Overly high demands for the living environment. Kohl wanted to look for a homestay in China because he  _  ..",,auxiliary_train-00000-of-00001,A,"Jay Kohl, an American student, posted an online advertisement two weeks ago searching for a Chinese family to stay with so that he can learn the language and culture. ""I'm a clean, non-smoking, and warm-hearted American man looking for a homestay in the Wudaokou area to improve my Chinese language skills,"" he wrote. ""I'm willing to offer help with English tutoring and even can help you with applying for foreign universities."" He still hasn't found a suitable home. ""Most of the families that contacted me seem to be interested in doing business instead of cultural exchange,"" he said. ""I think I might have to rent an apartment in the end."" Kohl isn't the only foreigner finding it difficult to find a homestay in Beijing. Michael Benson, who wants to come to Beijing in September, has also faced the same problem. Why is finding a homestay family so difficult? Beijing Today _ a Chinese teacher, Jessie Xi, who has been teaching foreign students at the University of International Business and Economics for more than six years. Xi has accepted many homestays, and from her own experience and what she's been told, she said there were four major problems visitors may meet when applying for homestays. Problem 1:Having too high expectation for language improvement. Problem 2: Considering oneself as a guest instead of a family member. Problem 3: Not making clear what a family's rules are beforehand. Problem 4; Overly high demands for the living environment. Kohl wanted to look for a homestay in China because he  _  ..

Choices:
A. hoped to learn Chinese language and culture further
B. wanted to do a research on the Chinese daily life
C. would like to make friends with Chinese families
D. was interested in Chinese food

Reply with exactly one uppercase letter out of A, B, C, or D.
",419
"The best family vacation that I ever had was going on a road trip to Myrtle Beach. The trip was for 2 weeks during the March break from school. This trip was probably about 20 years ago so it was before the time of things like portable video games and being able to watch movies in the back seat.2 So to pass the many hours of travel my brother and I had to entertain ourselves and each other. My mum would set the back seat up so that it was our own little playroom. She would pack everything up so that we had a big level area to play in. We would play cards and board games.C When it got to the point where we were at each other's throats we would be sent back to our own side of the seat and would be forced to either nap or read by ourselves until we could be friendly to each other again. I can remember us playing for quite some time when we turned the back seat into a spaceship and traveled around the earth.f Another time we turned it into a kitchen and had a bake-off . But the thing that I remember the most and that gave us many hours of enjoyment was using each other's faces as silly Plasticine  and making funny faces. We would see how far we could stretch each other's mouths open, see how thin we could make the other's eye by pulling on it. We would keep going until one of us begged for mercy because we had to give our faces a rest.7 So while I can remember us having a great time on the beach, laughing a lot trying to put the tent up in the rain, what I remember the most of that trip and what always makes me smile the most is remembering the pain that our faces would be in after the trip.g What impressed the author most during the trip?",,auxiliary_train-00000-of-00001,B,"The best family vacation that I ever had was going on a road trip to Myrtle Beach. The trip was for 2 weeks during the March break from school. This trip was probably about 20 years ago so it was before the time of things like portable video games and being able to watch movies in the back seat.2 So to pass the many hours of travel my brother and I had to entertain ourselves and each other. My mum would set the back seat up so that it was our own little playroom. She would pack everything up so that we had a big level area to play in. We would play cards and board games.C When it got to the point where we were at each other's throats we would be sent back to our own side of the seat and would be forced to either nap or read by ourselves until we could be friendly to each other again. I can remember us playing for quite some time when we turned the back seat into a spaceship and traveled around the earth.f Another time we turned it into a kitchen and had a bake-off . But the thing that I remember the most and that gave us many hours of enjoyment was using each other's faces as silly Plasticine  and making funny faces. We would see how far we could stretch each other's mouths open, see how thin we could make the other's eye by pulling on it. We would keep going until one of us begged for mercy because we had to give our faces a rest.7 So while I can remember us having a great time on the beach, laughing a lot trying to put the tent up in the rain, what I remember the most of that trip and what always makes me smile the most is remembering the pain that our faces would be in after the trip.g What impressed the author most during the trip?

Choices:
A. Playing cards and board games.
B. Pulling each other's faces and eyes.
C. Having a cooking competition.
D. Playing with silly Plasticine .

Reply with exactly one uppercase letter out of A, B, C, or D.
",450
"Buying a house for most of the people is a once in a lifetime decision, which means people decide to do so only after coming across the ideal house. Surprisingly, eight in every 10 home buyers are unhappy with their houses. A survey conducted by the Beijing Consumers' Association (BCA) recently shows about 80 percent of the 2,315 respondents in 23 residential complexes of Beijing are dissatisfied with the soaring house prices. They think the reasonable price in Beijing should be between 3,000 yuan and 7,000 yuan per square meter. The quality of the buildings, the surrounding environment and traffic and property management are the other factors that play a role in people's decision to buy a house. The BCA has suggested strict sales regulations and contracts to ease house-owners' sufferings. It has urged the authorities to impose severe punishment on developers found violating building and other rules and joining hands with others to bid up property prices, About 41.2 percent of the respondents have complained that their house have defective designs, while nearly 40 percent say the lighting and ventilation are far from satisfactory. The landscapes in the residential areas are a source of unhappiness for 43.2 percent of the respondents, and about one-third say they were "" "" into buying ""third grade"" house. And more than half are not satisfied with the sport and entertainment facilities in their neighborhood. Property management in the buildings, 56.5 percent of the respondents say, is way below standard compared to the high fee charged by the complexes. 60 percent of the consumers doubt the contents of developers' advertisements, with only 6.3 percent being satisfied. Experts have suggested consumers gather thorough knowledge about a developer and their work before deciding to buy a house from it. They should check the day-light conditions and ventilation in different weather conditions in advance, if possible. According to the passage   _    of the buyers are NOT content with their houses.",,auxiliary_train-00000-of-00001,A,"Buying a house for most of the people is a once in a lifetime decision, which means people decide to do so only after coming across the ideal house. Surprisingly, eight in every 10 home buyers are unhappy with their houses. A survey conducted by the Beijing Consumers' Association (BCA) recently shows about 80 percent of the 2,315 respondents in 23 residential complexes of Beijing are dissatisfied with the soaring house prices. They think the reasonable price in Beijing should be between 3,000 yuan and 7,000 yuan per square meter. The quality of the buildings, the surrounding environment and traffic and property management are the other factors that play a role in people's decision to buy a house. The BCA has suggested strict sales regulations and contracts to ease house-owners' sufferings. It has urged the authorities to impose severe punishment on developers found violating building and other rules and joining hands with others to bid up property prices, About 41.2 percent of the respondents have complained that their house have defective designs, while nearly 40 percent say the lighting and ventilation are far from satisfactory. The landscapes in the residential areas are a source of unhappiness for 43.2 percent of the respondents, and about one-third say they were "" "" into buying ""third grade"" house. And more than half are not satisfied with the sport and entertainment facilities in their neighborhood. Property management in the buildings, 56.5 percent of the respondents say, is way below standard compared to the high fee charged by the complexes. 60 percent of the consumers doubt the contents of developers' advertisements, with only 6.3 percent being satisfied. Experts have suggested consumers gather thorough knowledge about a developer and their work before deciding to buy a house from it. They should check the day-light conditions and ventilation in different weather conditions in advance, if possible. According to the passage   _    of the buyers are NOT content with their houses.

Choices:
A. 80%
B. 60%
C. 56.5 %
D. 41.2%

Reply with exactly one uppercase letter out of A, B, C, or D.
",495
"My wife and I used to feel that it was impossible to be a true friend to someone whose name we didn't know. How wrong we were! Years of Sunday-morning bus trips through the city with the same group of ""nameless"" people have changed our thinking. Before the bus takes off, we all join in a conversation: where's the silent woman who sits up front and never responds to our cheery greetings? Here she comes. Her worn clothing suggests she doesn't have much money to spare, but she always takes an extra cup of coffee for the driver. We get smiles from a Mexican couple as they get on the bus hand in hand. When they get off, they're still holding hands. The woman was pregnant late last year, and one day her change of shape confirmed that she'd delivered the child. We even felt a little pride at the thought of our extended family. For many months, our only sadness lay in our inability to _ the same friendship with the silent woman at the front of the bus. Then, one evening, we went to a fish restaurant. We were shown to a table alongside someone sitting alone. It was the woman from the bus. We greeted her with friendly familiarity we'd shown all year, but this time her face softened, then a shy smile. When she spoke, the words escaped awkwardly from her lips. All at once we realized why she hadn't spoken to us before. Talking was hard for her. Over dinner; we learned the stay of a single mother with a disabled son who was receiving special care away from home. She missed him desperately, she explained. ""I love him... and he loves me, even though he doesn't express it very well,"" she murmured. ""Lots of us have that problem, don't we? We don't say what we want to say, what we should be saying. And that's not good enough.""The candles flared on our tables. Our fish had never tasted better. But the atmosphere grew pleasant, and when we parted as friends--we shared names. Why did the woman usually keep silence while taking the bus?",,auxiliary_train-00000-of-00001,C,"My wife and I used to feel that it was impossible to be a true friend to someone whose name we didn't know. How wrong we were! Years of Sunday-morning bus trips through the city with the same group of ""nameless"" people have changed our thinking. Before the bus takes off, we all join in a conversation: where's the silent woman who sits up front and never responds to our cheery greetings? Here she comes. Her worn clothing suggests she doesn't have much money to spare, but she always takes an extra cup of coffee for the driver. We get smiles from a Mexican couple as they get on the bus hand in hand. When they get off, they're still holding hands. The woman was pregnant late last year, and one day her change of shape confirmed that she'd delivered the child. We even felt a little pride at the thought of our extended family. For many months, our only sadness lay in our inability to _ the same friendship with the silent woman at the front of the bus. Then, one evening, we went to a fish restaurant. We were shown to a table alongside someone sitting alone. It was the woman from the bus. We greeted her with friendly familiarity we'd shown all year, but this time her face softened, then a shy smile. When she spoke, the words escaped awkwardly from her lips. All at once we realized why she hadn't spoken to us before. Talking was hard for her. Over dinner; we learned the stay of a single mother with a disabled son who was receiving special care away from home. She missed him desperately, she explained. ""I love him... and he loves me, even though he doesn't express it very well,"" she murmured. ""Lots of us have that problem, don't we? We don't say what we want to say, what we should be saying. And that's not good enough.""The candles flared on our tables. Our fish had never tasted better. But the atmosphere grew pleasant, and when we parted as friends--we shared names. Why did the woman usually keep silence while taking the bus?

Choices:
A. She was worried about her disabled son.
B. She was sad to see the happy Mexican couple us a single mother.
C. She had difficulty in expressing herself.
D. She was only interested in the bus driver.

Reply with exactly one uppercase letter out of A, B, C, or D.
",533
