ind,activity_label,ctx,answer,final_prompt,len_tk_mistral_7b_base
1019.0,Mixing drinks,A bartender is shown speaking to the camera while pouring ice into a glass and various liquids into a blender. he,D,"Context:
""A bartender is shown speaking to the camera while pouring ice into a glass and various liquids into a blender. he""

Which of the following endings best completes the context?

Choices:
A. then adds sugar to the glass and pours it into a martini glass before spreading whiskey into a martini glass along with ice.
B. then demonstrates how to ice the glass using alcohol and pouring it into a shaker and then drinking it while he holds the glass up to demonstrate.
C. then adds a yellow drink to the glass which he stirs in response before holding it against the glass to finish it off.
D. pours more ice into the blender and mixes up the liquids all together.

Reply with exactly one uppercase letter out of A, B, C, or D.
",188
32228.0,Cleaning shoes,The woman sprays hairspray on a scuff mark on the shoe and takes a cotton tip and rubs the scuff mark out. the scuff mark,B,"Context:
""The woman sprays hairspray on a scuff mark on the shoe and takes a cotton tip and rubs the scuff mark out. the scuff mark""

Which of the following endings best completes the context?

Choices:
A. is sterilized by a sterilized brushed blue tool and job is done.
B. is gone and she talks to the camera.
C. is gone and the woman puts a second rubber one on to cover it.
D. is located on the heel and she takes out the floor plans and places them on the table.

Reply with exactly one uppercase letter out of A, B, C, or D.
",154
30918.0,Removing ice from car,"An elderly woman wearing glasses is standing in front of a car. She walks over to the car, and cannot get the door open at first. she",C,"Context:
""An elderly woman wearing glasses is standing in front of a car. She walks over to the car, and cannot get the door open at first. she""

Which of the following endings best completes the context?

Choices:
A. finally moves it open enough for her to push first the door, and then the car before finally and finally shutting it again.
B. finally gets the upper lock and then pulls the door open and moves it to the side.
C. gets inside the car, then gets out and cleans the snow off the car before getting back in and driving away.
D. tries again, finally but again the door all the way open.

Reply with exactly one uppercase letter out of A, B, C, or D.
",170
35340.0,Rope skipping,A young man is shown in a gym performing tricks with a jump rope as music plays in the background. He then lays down and begins doing tricks on the floor. the young man,D,"Context:
""A young man is shown in a gym performing tricks with a jump rope as music plays in the background. He then lays down and begins doing tricks on the floor. the young man""

Which of the following endings best completes the context?

Choices:
A. does tricks on the floor as he does casual tricks on the jump bar using a jump rope to fly.
B. jumps all around the floor he just did a jump on while the music plays.
C. is shown perform several more tricks and smiles while standing out from the floor.
D. gets up again and does more tricks while standing.

Reply with exactly one uppercase letter out of A, B, C, or D.
",159
30771.0,Mowing the lawn,"A black screen appears with white words that read ""gopro hero3+black making everyday tasks fun 'mowing the lawn' resolution: 1080p superwide. a view from the top of a lawn mower",D,"Context:
""A black screen appears with white words that read ""gopro hero3+black making everyday tasks fun 'mowing the lawn' resolution: 1080p superwide. a view from the top of a lawn mower""

Which of the following endings best completes the context?

Choices:
A. peeks out of the bottom of the screen with picture of a front yard.
B. is shown with title notes at the bottom left am.
C. holding a rake and a rubix cube and a disc are shown that change and fade to black.
D. shows a woman pulling onto the pull handle of the lawn mower.

Reply with exactly one uppercase letter out of A, B, C, or D.
",170
49320.0,Swimming,A second man enters the pool and begins to talk to the camera as well while submerged and bobbing in the water with a yellow volley ball in hand. the men,A,"Context:
""A second man enters the pool and begins to talk to the camera as well while submerged and bobbing in the water with a yellow volley ball in hand. the men""

Which of the following endings best completes the context?

Choices:
A. alternate turns talking while in the water before a black and white graphic appears.
B. then begin scraping the surface of the pool while everyone in the stands watch on.
C. continue talking with their hands under the water as a referee appears before running in and grabbing the ball.
D. continue playing pool and the officer throws a yellow birdie and grabs a yellow birdie from the forefront before returning in the water again.

Reply with exactly one uppercase letter out of A, B, C, or D.
",178
20569.0,Hanging wallpaper,The video is about wallwik and wallpaper removal system. It shows a woman removing wallpaper off the wall in a convenient and easy manner. she,D,"Context:
""The video is about wallwik and wallpaper removal system. It shows a woman removing wallpaper off the wall in a convenient and easy manner. she""

Which of the following endings best completes the context?

Choices:
A. uses a brush and a machete to do it.
B. starts with bare wallnig which is then lined with real wallpaper.
C. then demonstrates the process using wallpaper spray and vegetable oil and other liquid materials.
D. is using a a scouring tool to scratch off the wallpaper from the wall.

Reply with exactly one uppercase letter out of A, B, C, or D.
",152
36631.0,Playing saxophone,This man walks in the middle of the street and puts the case down while the saxophone is in there. then he,B,"Context:
""This man walks in the middle of the street and puts the case down while the saxophone is in there. then he""

Which of the following endings best completes the context?

Choices:
A. plays the saxophone and keeps walking.
B. is shown taking parts out to put the saxophone together where there isn't anyone really looking.
C. goes to the front of the building and shows the contents of the case, and he takes out the saxophone and talks and shows the information of the case.
D. walks back, puts that case on the ground and talks again while still playing the saxophone.

Reply with exactly one uppercase letter out of A, B, C, or D.
",172
6155.0,Playing rubik cube,A girl with her back facing the camera turns around and begins solving a rubik's cube. The female passes the unsolved rubik's cube to a man. the man,D,"Context:
""A girl with her back facing the camera turns around and begins solving a rubik's cube. The female passes the unsolved rubik's cube to a man. the man""

Which of the following endings best completes the context?

Choices:
A. sexy the cube faster.
B. picks up the cube and sums up the time and frantically writes something down with his hands.
C. adds the solved cube as the girl helps him solve it.
D. begins quickly turning the rubik's cubes until the colors are all the same on each side.

Reply with exactly one uppercase letter out of A, B, C, or D.
",160
24836.0,Smoking hookah,A man wearing a black sleeveless shirt comes there and kneels down to begins smoking the hookah. He smokes the hookah and blows out smoke. he,D,"Context:
""A man wearing a black sleeveless shirt comes there and kneels down to begins smoking the hookah. He smokes the hookah and blows out smoke. he""

Which of the following endings best completes the context?

Choices:
A. pauses to catch his words while exhaling smoke.
B. blows out magh smoke from a mouth.
C. continues smoking the hookah with its smoke still blowing out smoke and, when he's done, he wipes the face of the person with the hookah.
D. takes a few puffs of the hookah and exhales the smoke out.

Reply with exactly one uppercase letter out of A, B, C, or D.
",164
9308.0,Laying tile,A person is seen bending over a floor placing tiles down over the plaster. the person,B,"Context:
""A person is seen bending over a floor placing tiles down over the plaster. the person""

Which of the following endings best completes the context?

Choices:
A. adds tile over the tile and continues to measure the tiles out and then drain it.
B. continues laying tiles down and pushing down on the floor to make sure it's sturdy.
C. then uses chalk all around the floor as well as rubbing down stixes.
D. then uses a tool to hold a tile down and pushes it around to the paint.

Reply with exactly one uppercase letter out of A, B, C, or D.
",151
7954.0,Painting furniture,Man is in a room an puts a large cloth in he floor and a wooden fence on top and clean it with a cloth. man,A,"Context:
""Man is in a room an puts a large cloth in he floor and a wooden fence on top and clean it with a cloth. man""

Which of the following endings best completes the context?

Choices:
A. open the lid of the paint and start painting.
B. starts cut of the roofing using a sanded board and a tool and cleans the work.
C. is in an exhibit in a mall and is walking in a line cleaning the wall and.
D. is ador in a house practicnig a red blanket on the floor.

Reply with exactly one uppercase letter out of A, B, C, or D.
",152
26600.0,Grooming dog,She starts to cut the hair of a dog that is sitting on a table. She stands the dog up and continues to cut its hair. next,C,"Context:
""She starts to cut the hair of a dog that is sitting on a table. She stands the dog up and continues to cut its hair. next""

Which of the following endings best completes the context?

Choices:
A. she rinses the dog and serves it cookies to cook in a bowl.
B. , she runs her fingers through the boy's hair as she clips it.
C. , she moves on and start to cut the hair on its ears.
D. , she takes scissors and cuts the dogs nails and throws it on the ground.

Reply with exactly one uppercase letter out of A, B, C, or D.
",153
30673.0,Brushing teeth,They wear braces so they make sure to scrub all around very well. You can see the tongue moving around never really being comfortable inside of the mouth. the man,D,"Context:
""They wear braces so they make sure to scrub all around very well. You can see the tongue moving around never really being comfortable inside of the mouth. the man""

Which of the following endings best completes the context?

Choices:
A. cleans his face from underneath by rubbing a razor all around.
B. holds the tooth steady and then pierces it with a pin and walks away.
C. then moves the mouth around to form a fixed shape and when he looks all the way down he goes back to speaking again.
D. continues to brush, toothpaste spewing down his lips a bit.

Reply with exactly one uppercase letter out of A, B, C, or D.
",163
4020.0,Rock-paper-scissors,They show replays again of him jumping on it. A different set of guys hold the rake and play rock paper scissors again. one,C,"Context:
""They show replays again of him jumping on it. A different set of guys hold the rake and play rock paper scissors again. one""

Which of the following endings best completes the context?

Choices:
A. jumps and lands inside the rake and talks.
B. throws the discus and three re poses and adds a thumbs up to show the loser.
C. loses and jumps on the rake again.
D. of the backflips multiple times on the rake while another man's hand grabs it and gets in front of him.

Reply with exactly one uppercase letter out of A, B, C, or D.
",159
41372.0,Ballet,A young lady dressed in a pink leotard and tuto begins prancing around a large stage. as she,A,"Context:
""A young lady dressed in a pink leotard and tuto begins prancing around a large stage. as she""

Which of the following endings best completes the context?

Choices:
A. continues her routine, she continues doing ballet leaps and swinging her arms and twisting like a ballerina.
B. is about to perform, she begins stepping up and down and one of her feet falls off.
C. leaps she twirls her legs and hocks her body as she leaves the stage to come to a stop at the end.
D. continues prancing, a small monkey appears, screaming continually and banging the girl in the face during her performance.

Reply with exactly one uppercase letter out of A, B, C, or D.
",177
20412.0,Horseback riding,First there is a screen shown for a small amount of time letting viewers know what this video is about. then there,C,"Context:
""First there is a screen shown for a small amount of time letting viewers know what this video is about. then there""

Which of the following endings best completes the context?

Choices:
A. is the gymnast on the field that she smokes from a cigarette while she watches the others.
B. is a 2013 olympics paintball game that is shown in slow motion.
C. is a man riding different horses in different settings where people watch them.
D. is a large d logo with white numbers and black words behind the screen say "" your website "".

Reply with exactly one uppercase letter out of A, B, C, or D.
",155
49084.0,Gargling mouthwash,A woman is seen holding a baby and begins taking a drink from a cup and spitting it into the sink. the woman,B,"Context:
""A woman is seen holding a baby and begins taking a drink from a cup and spitting it into the sink. the woman""

Which of the following endings best completes the context?

Choices:
A. then puts scrubs on her legs and cheers and claps during more shots of the woman holding a baby.
B. does this several more times wile the baby watches and laughs.
C. then rubs her hands together while still using the cup in the sink and wipes off with a towel and stops seeing the screen.
D. then cups of different types of drinks while continuing to speak to the camera.

Reply with exactly one uppercase letter out of A, B, C, or D.
",163
30045.0,Washing hands,A doctor is then seen putting a machine on a person as well as using a needle for an iv and checking the monitor. the nurse,A,"Context:
""A doctor is then seen putting a machine on a person as well as using a needle for an iv and checking the monitor. the nurse""

Which of the following endings best completes the context?

Choices:
A. wipes down a table and then demonstrates how to properly wash your hands.
B. then shows the different different tasks the person is engaged in while a tattoo artist is seen tattooing the person's arms, legs, feet, and put them on the machine.
C. then shows off the tubes she is putting on the person's legs and giving him an std.
D. then does the same thing and where the doctor is now he is seen pulling the rope.

Reply with exactly one uppercase letter out of A, B, C, or D.
",177
43602.0,Roof shingle removal,From the roof we see the street where a car is parked and a man standing on the room the man begins to pry up roof shingles. The man adds a fixed piece of shingles and nails hem down. the man,D,"Context:
""From the roof we see the street where a car is parked and a man standing on the room the man begins to pry up roof shingles. The man adds a fixed piece of shingles and nails hem down. the man""

Which of the following endings best completes the context?

Choices:
A. puts a latch on the hole and attach a wire to the roofing stuff.
B. picks up around the car that was parked at a straight angle on the floor and fixes it on the side and then shows the place the roof came in.
C. finishes and jumps on the piece of roof and towers over it thoroughly.
D. finishes and walks away.

Reply with exactly one uppercase letter out of A, B, C, or D.
",179
29729.0,Paintball,A group of people holding paintball guns and dressed in costume run into a staged setting as if in combat. The people aim at objects and people and shoot the paintball guns. the players,C,"Context:
""A group of people holding paintball guns and dressed in costume run into a staged setting as if in combat. The people aim at objects and people and shoot the paintball guns. the players""

Which of the following endings best completes the context?

Choices:
A. enter a separate animal pen and all proceed to shoot people.
B. begin playing a game of paintball in the middle of the game.
C. peer around corners and aim and shoot the paintball guns amidst objects splattered with paint.
D. continue to play and aim while people watch on the sidelines.

Reply with exactly one uppercase letter out of A, B, C, or D.
",156
2428.0,River tubing,A young girl sinks down in the middle of her inner-tube and jumps back up with her head soaked. Someone shows a first person view floating down the river. various other people,B,"Context:
""A young girl sinks down in the middle of her inner-tube and jumps back up with her head soaked. Someone shows a first person view floating down the river. various other people""

Which of the following endings best completes the context?

Choices:
A. float past and a still image of how to ride down the river.
B. are shown in inner-tubes and canoes in the water.
C. begin out of the water and float to the top of a waterfall.
D. are shown breathing in the water as they float and are extremely cold, but warm up, too.

Reply with exactly one uppercase letter out of A, B, C, or D.
",163
32659.0,Tai chi,A light blue screen appears and it has multiple blue words that are not in english and they're scrolling from bottom to top. the direction of the scrolling letters,B,"Context:
""A light blue screen appears and it has multiple blue words that are not in english and they're scrolling from bottom to top. the direction of the scrolling letters""

Which of the following endings best completes the context?

Choices:
A. is seen on the screen which turns to a number and then to a globe with a spinning globe and then to a white screen with red and blue words across it.
B. change from bottom to top and now they're in the middle.
C. is directly above a wooden table with a bottle of shoe polish and some tools and jars of lotion.
D. say to google them.

Reply with exactly one uppercase letter out of A, B, C, or D.
",169
40523.0,Baking cookies,"The person opens an oven and pulls out a tray of chocolate chip cookies. The woman stares at the cookies, and a second batch is checked. the woman",B,"Context:
""The person opens an oven and pulls out a tray of chocolate chip cookies. The woman stares at the cookies, and a second batch is checked. the woman""

Which of the following endings best completes the context?

Choices:
A. touches the thick treats to her face while smiling, and finishes by touching them to her nose and smiling.
B. scoops the cookies off the tray, loosening them.
C. puts the tray in the oven and watches it in slow motion.
D. pours oil and chocolate powder into the tray.

Reply with exactly one uppercase letter out of A, B, C, or D.
",150
40310.0,Playing ice hockey,A hockey player is injured and is helped up from the ice by the coach. the hockey player,D,"Context:
""A hockey player is injured and is helped up from the ice by the coach. the hockey player""

Which of the following endings best completes the context?

Choices:
A. one second himself and then for the next several moments instructs one of the tables with a hockey stick.
B. gets back on after a multiple game match and is given a candy bar and is another boy on the ice to play with.
C. smiles, kisses the referee, and leaves before being shown again several times.
D. is escorted from the ice by the coach.

Reply with exactly one uppercase letter out of A, B, C, or D.
",151
45970.0,Putting on shoes,Man is in a chair in a living room doing the same and have a back pain too and a publciity of a plastic instrument is shown. The man and the woman are puting the socks with the instrument. then people,C,"Context:
""Man is in a chair in a living room doing the same and have a back pain too and a publciity of a plastic instrument is shown. The man and the woman are puting the socks with the instrument. then people""

Which of the following endings best completes the context?

Choices:
A. aye puting a tile and is running in the street puffing on the floor.
B. are doing shoes and making publhes with a nail clipper.
C. are talking to the camera about the instrument.
D. are playing the drums blowin the air.

Reply with exactly one uppercase letter out of A, B, C, or D.
",157
13784.0,Playing water polo,A recreation building is pictured and kids doing various activities ranging from basketball to swimming is shown. a set of young boys,B,"Context:
""A recreation building is pictured and kids doing various activities ranging from basketball to swimming is shown. a set of young boys""

Which of the following endings best completes the context?

Choices:
A. are shown with no pads and started when one boy jumps into the pool and begins swimming.
B. are picture din the water on their backs holding up a green ball and one throws it into the goal.
C. are shown swimming with one another in the pool at a amusement park.
D. are shown playing and is followed by a man raking over lawn.

Reply with exactly one uppercase letter out of A, B, C, or D.
",154
44625.0,Playing pool,A man in a light blue shirt breaks the pool balls to start the game. He walks around the table looking for a good spot to hit. then he,A,"Context:
""A man in a light blue shirt breaks the pool balls to start the game. He walks around the table looking for a good spot to hit. then he""

Which of the following endings best completes the context?

Choices:
A. moves around the table again and makes it in again.
B. walks away from the table and the game ends in a salsa dance.
C. gets all angry and continues playing so hard that some players start to do some part of the game when they start to look for his not playing an the game.
D. starts to read the lower paper and grab the ball.

Reply with exactly one uppercase letter out of A, B, C, or D.
",160
43613.0,Blowing leaves,This elderly man is blowing the leaves out of the way using a leaf blower. First the camera is giving viewers a close up view only showing the man's face. then the camera,D,"Context:
""This elderly man is blowing the leaves out of the way using a leaf blower. First the camera is giving viewers a close up view only showing the man's face. then the camera""

Which of the following endings best completes the context?

Choices:
A. man is showing viewers how the elderly man placed a close up of his face using an 8 inch leaf blower.
B. briefly focuses on the person's hands on the rake as he continues raking and leaves fall on the ground.
C. returns to the same young man blowing leaves with the blower.
D. zooms out and shows the man blowing the leaves using a machine and when he's done half doing his job, he turns the leaf blower off.

Reply with exactly one uppercase letter out of A, B, C, or D.
",190
43590.0,Shaving legs,A females left leg and foot is in a bathtub as the lady shaves her leg. once she,B,"Context:
""A females left leg and foot is in a bathtub as the lady shaves her leg. once she""

Which of the following endings best completes the context?

Choices:
A. is done, another hair stylist works on her leg and starts at the back of her leg to cut and trim it.
B. is done with the front, she turns her legs to the left and right and shaves the sides in an upward motion.
C. is done, she gets out to buy lotion.
D. is finished applying make up to her nails, she breaks the nail in two and she finishes off with a metallic grey nail polish.

Reply with exactly one uppercase letter out of A, B, C, or D.
",171
41123.0,Starting a campfire,A woman is seen making a stack of logs while the boy walks into frame. She continues lighting the stick until a flame begins and puts it into the fire. the fire,B,"Context:
""A woman is seen making a stack of logs while the boy walks into frame. She continues lighting the stick until a flame begins and puts it into the fire. the fire""

Which of the following endings best completes the context?

Choices:
A. spreads through the area and lights up the area.
B. gradually gets bigger and the woman puts more and more bark into it.
C. takes hold and the thing then takes all of its wood down and the woman is seen again blowing the fire out of the upper logs.
D. starts up with a smell and it spreads quickly.

Reply with exactly one uppercase letter out of A, B, C, or D.
",156
49130.0,Painting,A close of paint brushes are shown as well as colors. A person is seen dipping the brush in the paint an rubbing it along her arm. she,C,"Context:
""A close of paint brushes are shown as well as colors. A person is seen dipping the brush in the paint an rubbing it along her arm. she""

Which of the following endings best completes the context?

Choices:
A. continues rubbing the brush along all types of colors while talking to the camera.
B. then moves closer to the camera and brushes it along her arm again.
C. continues to paint a flower on her arm and show it to the camera.
D. takes another brush and roller and dips it into more paint.

Reply with exactly one uppercase letter out of A, B, C, or D.
",152
49736.0,Running a marathon,A lo f people are in th start of a race and a man grab the other man's hand. A papernews is shown in the screen. A city with a lot of multicolored lights is shown. men,C,"Context:
""A lo f people are in th start of a race and a man grab the other man's hand. A papernews is shown in the screen. A city with a lot of multicolored lights is shown. men""

Which of the following endings best completes the context?

Choices:
A. take turns out of the race in the zipline.
B. are at the carnival traveling in a car.
C. are running in street and the old man is in the middle.
D. walk holding a car and get in a car and then drive away from the race.

Reply with exactly one uppercase letter out of A, B, C, or D.
",158
43812.0,Ironing clothes,She then grabs an iron and continues to iron a yellow piece of cloth on the ironing board. once the front,A,"Context:
""She then grabs an iron and continues to iron a yellow piece of cloth on the ironing board. once the front""

Which of the following endings best completes the context?

Choices:
A. is finished, she grabs it and flips it over so she can complete the ironing.
B. of the shirt is ironed, she picks up shaving cream and uses it on the back.
C. part of the clothes is lifted, they swing open at an angle and she picks up a pink parasail from the hanger and begins to work.
D. part is ironed, she takes a pair of tweezers and begins to push the belt back and forth over the shirt that she already has ironed.

Reply with exactly one uppercase letter out of A, B, C, or D.
",185
1261.0,Making a cake,The lady puts a dome in a chocolate dome and puts a crispies circle on it. The lady puts holes in a chocolate dome. The lady sprays the domes. the lady,B,"Context:
""The lady puts a dome in a chocolate dome and puts a crispies circle on it. The lady puts holes in a chocolate dome. The lady sprays the domes. the lady""

Which of the following endings best completes the context?

Choices:
A. folds the dome in half and removes the frosting from it dome.
B. puts the red dome on top of a black one and put the dome with holes on top of it.
C. adds a baking soda to the top of the dome.
D. opens a toy egg again.

Reply with exactly one uppercase letter out of A, B, C, or D.
",161
23159.0,Rock climbing,"Three kids are climbing up a mountain with out any rope. Then, they are hanging out in their room laughing and having fun. they",D,"Context:
""Three kids are climbing up a mountain with out any rope. Then, they are hanging out in their room laughing and having fun. they""

Which of the following endings best completes the context?

Choices:
A. are on water skis gliding to their best pace while getting ready to go ice fishing.
B. are giving a person white pills using their feet or making funny gestures.
C. then slide down the snow covered slope talking and laughing.
D. 're just three best friend doing everything together, walking, shopping, relaxing and climbing mountains.

Reply with exactly one uppercase letter out of A, B, C, or D.
",150
14501.0,Playing lacrosse,Outside in the backyard two little boys in matching swim suits are playing with nets trying to catch a ball. they,A,"Context:
""Outside in the backyard two little boys in matching swim suits are playing with nets trying to catch a ball. they""

Which of the following endings best completes the context?

Choices:
A. are both trying to get the ball in their own net basically playfully fighting over whose going to get it.
B. land in the sand and sit down showing how to help each other by hugging and running away at the same time.
C. go into a big pile of sand and cast it into the water.
D. do a volley of the net and throw the ball at each other, trying to catch it.

Reply with exactly one uppercase letter out of A, B, C, or D.
",164
39414.0,Polishing shoes,He then shows a pair of worn down boots and a pair and a black pair of dress shoes. the man,D,"Context:
""He then shows a pair of worn down boots and a pair and a black pair of dress shoes. the man""

Which of the following endings best completes the context?

Choices:
A. stands in front of the small window with his shoes and smooths the pockets in the chair, then grips the long aluminum hanger.
B. touches the legs of the shoes to show the size they were used in.
C. puts on the shoes and the hot and cold foot irons he wore all over, afterwards he goes to the shower.
D. then picks up he black dress shoe and begin polishing it with a cloth, a stick, and brushing the shoes.

Reply with exactly one uppercase letter out of A, B, C, or D.
",174
25917.0,Layup drill in basketball,The woman n white is instructing the girls in blue uniform on how to do a lay up. The girl one by one rent to the basketball and threw the balls. the girls,A,"Context:
""The woman n white is instructing the girls in blue uniform on how to do a lay up. The girl one by one rent to the basketball and threw the balls. the girls""

Which of the following endings best completes the context?

Choices:
A. dribble the ball as then do a lay up to the basket.
B. in blue skateboarded and girls in white are walked up stairs around the gym.
C. did the same back and fourth to the man on the monitor.
D. continue to do back flips and doing shots, and the little girl jumps and splits on the grass.

Reply with exactly one uppercase letter out of A, B, C, or D.
",164
