question,question_concept,_split,answer,final_prompt,len_tk_llama3.1_8b_base
Why would you be unable to use a basketball?,basketball,train-00000-of-00001,B,"Question:
Why would you be unable to use a basketball?

Which of the following is the best response to the question?

Choices:
A. full of air
B. punctured
C. popular in america
D. round
E. not tall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What does a human feel when their friends ditch tehm?,human,train-00000-of-00001,A,"Question:
What does a human feel when their friends ditch tehm?

Which of the following is the best response to the question?

Choices:
A. let down
B. better himself
C. bored
D. row boat
E. turn away

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where do students do most of their learning?,student,train-00000-of-00001,A,"Question:
Where do students do most of their learning?

Which of the following is the best response to the question?

Choices:
A. class room
B. hallway
C. library
D. every aspect of life
E. kindergarten class

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What is a square constructed of?,square,train-00000-of-00001,E,"Question:
What is a square constructed of?

Which of the following is the best response to the question?

Choices:
A. peanut butter and chocolate
B. four right angles
C. four corners
D. squarial
E. four sides

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"The dream was so terrible, what did the dreamer do?",dream,train-00000-of-00001,E,"Question:
The dream was so terrible, what did the dreamer do?

Which of the following is the best response to the question?

Choices:
A. reality
B. nightmare
C. park
D. dreamworker
E. awake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
The city's community garden was demolished for yet another what?,garden,train-00000-of-00001,D,"Question:
The city's community garden was demolished for yet another what?

Which of the following is the best response to the question?

Choices:
A. wasteland
B. ocean
C. desert
D. parking lot
E. flowers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where do you wait in a reception area for a meeting?,reception area,train-00000-of-00001,E,"Question:
Where do you wait in a reception area for a meeting?

Which of the following is the best response to the question?

Choices:
A. hall
B. motel
C. hotels
D. law firm
E. office building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"He left camp following the river down below, his partnered remained where?",below,train-00000-of-00001,D,"Question:
He left camp following the river down below, his partnered remained where?

Which of the following is the best response to the question?

Choices:
A. upstairs
B. inside
C. over
D. upstream
E. above

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What is likely to satisfy someone's curiosity?,curiosity,validation-00000-of-00001,A,"Question:
What is likely to satisfy someone's curiosity?

Which of the following is the best response to the question?

Choices:
A. hear news
B. read book
C. see favorite show
D. comedy show
E. go somewhere

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where would you get a bag after someone fills it with clothes?,bag,train-00000-of-00001,C,"Question:
Where would you get a bag after someone fills it with clothes?

Which of the following is the best response to the question?

Choices:
A. shopping cart
B. cashier
C. shopping mall
D. supermarket
E. bookstore

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where can a mouse be found in a box?,mouse,train-00000-of-00001,B,"Question:
Where can a mouse be found in a box?

Which of the following is the best response to the question?

Choices:
A. at the store
B. computer store
C. cupboard
D. pantry
E. own home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would you go if you want to get many types of goods?,goods,train-00000-of-00001,B,"Question:
Where would you go if you want to get many types of goods?

Which of the following is the best response to the question?

Choices:
A. shop
B. supermarket
C. shop
D. mall
E. grocery store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What is something that isn't the main focus of a video?,main,train-00000-of-00001,A,"Question:
What is something that isn't the main focus of a video?

Which of the following is the best response to the question?

Choices:
A. peripheral
B. secondary
C. maintopmast
D. characters
E. minor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"If an outdoors man wants accommodations, where is he likely looking to go?",accommodations,train-00000-of-00001,E,"Question:
If an outdoors man wants accommodations, where is he likely looking to go?

Which of the following is the best response to the question?

Choices:
A. motel
B. comfort
C. hostel
D. theater
E. camp ground

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What is the purpose of the cabin in an airplane?,airplanes,train-00000-of-00001,D,"Question:
What is the purpose of the cabin in an airplane?

Which of the following is the best response to the question?

Choices:
A. crash
B. living
C. slow down
D. carry people
E. speed up

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Printing on a printer can get expensive because it does what?,printing on printer,validation-00000-of-00001,B,"Question:
Printing on a printer can get expensive because it does what?

Which of the following is the best response to the question?

Choices:
A. explode
B. use paper
C. store information
D. queue
E. noise

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"He tried communicating by radio, but what did he hearing the other end?",communicating,train-00000-of-00001,A,"Question:
He tried communicating by radio, but what did he hearing the other end?

Which of the following is the best response to the question?

Choices:
A. static
B. progress
C. collaboration
D. confusion
E. sound

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"Sarah loved birds, but when they flew overhead she was covered with what?",birds,train-00000-of-00001,D,"Question:
Sarah loved birds, but when they flew overhead she was covered with what?

Which of the following is the best response to the question?

Choices:
A. roof
B. sky
C. grieve
D. poop
E. molt

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
where do you use a tourniquet temporarily?,tourniquet,train-00000-of-00001,B,"Question:
where do you use a tourniquet temporarily?

Which of the following is the best response to the question?

Choices:
A. doctor's office
B. ambulance
C. applying even pressure
D. hospital
E. emergency kit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Why do people spend time chatting with friends?,chatting with friends,train-00000-of-00001,C,"Question:
Why do people spend time chatting with friends?

Which of the following is the best response to the question?

Choices:
A. moroseness
B. laughter
C. feel close to
D. feel relaxed
E. gathering of information

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where would you find a head that does not move?,head,train-00000-of-00001,C,"Question:
Where would you find a head that does not move?

Which of the following is the best response to the question?

Choices:
A. submarine
B. human body
C. morgue
D. movie theater
E. hat shop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What is often the purpose of a shopping basket?,shopping basket,train-00000-of-00001,B,"Question:
What is often the purpose of a shopping basket?

Which of the following is the best response to the question?

Choices:
A. grocery store
B. shop
C. carrying goods
D. to hold onto
E. supermarkets

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would a business man keep a plane ticket with other documents?,plane ticket,train-00000-of-00001,A,"Question:
Where would a business man keep a plane ticket with other documents?

Which of the following is the best response to the question?

Choices:
A. briefcase
B. boarding plane
C. airport
D. pocket
E. shirt sleeve

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What do dogs get that make them itch?,dogs,train-00000-of-00001,B,"Question:
What do dogs get that make them itch?

Which of the following is the best response to the question?

Choices:
A. bones
B. fleas
C. bad breath
D. wagging tails
E. four legs

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
The oven was left open after turning off to do what?,oven,train-00000-of-00001,C,"Question:
The oven was left open after turning off to do what?

Which of the following is the best response to the question?

Choices:
A. roast
B. baking food
C. cool temperature
D. heat
E. bake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where might I find a bowl nestled among other bowls in the kitchen?,bowl,train-00000-of-00001,C,"Question:
Where might I find a bowl nestled among other bowls in the kitchen?

Which of the following is the best response to the question?

Choices:
A. refrigerator
B. kitchen top
C. cupboard
D. dishwasher
E. apartment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Fabric is cut to order at what type of seller?,fabric,train-00000-of-00001,B,"Question:
Fabric is cut to order at what type of seller?

Which of the following is the best response to the question?

Choices:
A. curtains
B. tailor shop
C. clothing store
D. sewing room
E. hardware store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What might cause someone to stop driving a car?,driving car,train-00000-of-00001,D,"Question:
What might cause someone to stop driving a car?

Which of the following is the best response to the question?

Choices:
A. going someplace
B. car crash
C. boredom
D. get sleepy
E. moving

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Why might someone not get things they need?,things,train-00000-of-00001,A,"Question:
Why might someone not get things they need?

Which of the following is the best response to the question?

Choices:
A. cost money
B. fall apart
C. be demanding
D. happen to
E. go wrong

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What does a person receive in jail from loved ones?,person,train-00000-of-00001,B,"Question:
What does a person receive in jail from loved ones?

Which of the following is the best response to the question?

Choices:
A. cross street
B. receive letters
C. give gifts
D. feel embarrassed
E. watching movie

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What is a useful activity when experiencing loneliness?,loneliness,train-00000-of-00001,D,"Question:
What is a useful activity when experiencing loneliness?

Which of the following is the best response to the question?

Choices:
A. meet people
B. meet friend
C. make people laugh
D. socialize
E. liquor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
His mind was far away even though his body was what?,away,train-00000-of-00001,E,"Question:
His mind was far away even though his body was what?

Which of the following is the best response to the question?

Choices:
A. there
B. being here
C. at home
D. home team
E. present

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where should you keep your mustard after it's been opened?,mustard,train-00000-of-00001,E,"Question:
Where should you keep your mustard after it's been opened?

Which of the following is the best response to the question?

Choices:
A. jar
B. hot dog
C. hamburger
D. fast food restaurant
E. refrigerator

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Why does a person go to a soup kitchen?,person,train-00000-of-00001,E,"Question:
Why does a person go to a soup kitchen?

Which of the following is the best response to the question?

Choices:
A. own house
B. oral sex
C. statue
D. in mail
E. free food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What is a child likely to do while going to play?,going to play,train-00000-of-00001,A,"Question:
What is a child likely to do while going to play?

Which of the following is the best response to the question?

Choices:
A. laugh
B. sit
C. happiness
D. being entertained
E. walk slowly

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What's a bad thing people do?,people,train-00000-of-00001,D,"Question:
What's a bad thing people do?

Which of the following is the best response to the question?

Choices:
A. make friends
B. learn from each other
C. stand upright
D. use drugs
E. donate to charity

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Why might happen to two individuals experiencing fear that can't agree?,fear,train-00000-of-00001,A,"Question:
Why might happen to two individuals experiencing fear that can't agree?

Which of the following is the best response to the question?

Choices:
A. separate people
B. confuse
C. stop people
D. charming
E. motivate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
He is beginning work at his first job.  What is he feeling?,beginning work,train-00000-of-00001,D,"Question:
He is beginning work at his first job.  What is he feeling?

Which of the following is the best response to the question?

Choices:
A. panic
B. resting
C. stress
D. excitement
E. working

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What is the outcome when two people are competing against each other?,competing against,train-00000-of-00001,D,"Question:
What is the outcome when two people are competing against each other?

Which of the following is the best response to the question?

Choices:
A. encouraging
B. injury
C. frustration
D. one winner
E. pride

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"John was driving to work and running late, what did he feel?",driving to work,train-00000-of-00001,E,"Question:
John was driving to work and running late, what did he feel?

Which of the following is the best response to the question?

Choices:
A. anxiety
B. boredom
C. pressure
D. getting there
E. stress

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where would you likely find a spa alongside similar services?,spa,train-00000-of-00001,B,"Question:
Where would you likely find a spa alongside similar services?

Which of the following is the best response to the question?

Choices:
A. sweden
B. health centre
C. backyard
D. house
E. country club

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where do fans watch people kick a ball?,fans,train-00000-of-00001,A,"Question:
Where do fans watch people kick a ball?

Which of the following is the best response to the question?

Choices:
A. soccer game
B. hockey game
C. olympics
D. sporting event
E. stadium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What can someone do after going to bed?,going to bed,train-00000-of-00001,E,"Question:
What can someone do after going to bed?

Which of the following is the best response to the question?

Choices:
A. pregnancy
B. drowsiness
C. insomnia
D. make a sandwich
E. sleeping in

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Why do people want to read fiction books?,read,train-00000-of-00001,A,"Question:
Why do people want to read fiction books?

Which of the following is the best response to the question?

Choices:
A. having fun
B. falling asleep
C. learn new things
D. learn unknown concepts
E. memorize

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
One way to resolve confusion here is to raise my hand. Where am I?,confusion,train-00000-of-00001,B,"Question:
One way to resolve confusion here is to raise my hand. Where am I?

Which of the following is the best response to the question?

Choices:
A. war
B. class
C. mind
D. school
E. opera

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Why does a person find a routine odd when things go astray?,odd,train-00000-of-00001,B,"Question:
Why does a person find a routine odd when things go astray?

Which of the following is the best response to the question?

Choices:
A. unexpected
B. habitual
C. even
D. expected
E. common

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
He had to take oath that he would be what?,take oath,train-00000-of-00001,A,"Question:
He had to take oath that he would be what?

Which of the following is the best response to the question?

Choices:
A. truthful
B. not fib
C. not lie
D. sense of duty
E. think

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where event might one obtain an injury via a skate?,injury,train-00000-of-00001,C,"Question:
Where event might one obtain an injury via a skate?

Which of the following is the best response to the question?

Choices:
A. hospital
B. the rink
C. hockey game
D. emergency room
E. accident

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
The aorta is the main artery in what area of the body?,main artery,train-00000-of-00001,D,"Question:
The aorta is the main artery in what area of the body?

Which of the following is the best response to the question?

Choices:
A. neck
B. own brain
C. human body
D. torso
E. heart

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Going public about a controversial issue is likely to get what?,going public,train-00000-of-00001,E,"Question:
Going public about a controversial issue is likely to get what?

Which of the following is the best response to the question?

Choices:
A. wide acceptance
B. consequences
C. getting high
D. media attention
E. press coverage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
When having food it is common to do what other act of consumption?,having food,train-00000-of-00001,A,"Question:
When having food it is common to do what other act of consumption?

Which of the following is the best response to the question?

Choices:
A. drinking
B. playing poker
C. sit
D. talk
E. being greedy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Bill suffered from boredom. He'd stare off and do what?,boredom,train-00000-of-00001,E,"Question:
Bill suffered from boredom. He'd stare off and do what?

Which of the following is the best response to the question?

Choices:
A. work
B. see visions.
C. fiddle
D. play games
E. dream

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
"The king needed to feel safe, where did he go?",king,train-00000-of-00001,A,"Question:
The king needed to feel safe, where did he go?

Which of the following is the best response to the question?

Choices:
A. castle
B. throne room
C. deck of cards
D. fort
E. court

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What is someone having a hard time learning abut science likely to experience?,learning about science,train-00000-of-00001,B,"Question:
What is someone having a hard time learning abut science likely to experience?

Which of the following is the best response to the question?

Choices:
A. smiles
B. frustration
C. accidents
D. become happy
E. experiment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What midwestern area is likely to have a marmot running free?,marmot,train-00000-of-00001,E,"Question:
What midwestern area is likely to have a marmot running free?

Which of the following is the best response to the question?

Choices:
A. zoo
B. encyclopedia
C. jungle
D. countryside
E. great plains

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where is a tap show likely to make a lot of noise?,tap,train-00000-of-00001,E,"Question:
Where is a tap show likely to make a lot of noise?

Which of the following is the best response to the question?

Choices:
A. water fountain
B. soda fountain
C. ohio
D. bathtub
E. bathroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
A good interview after applying for a job may cause you to feel what?,applying for job,validation-00000-of-00001,E,"Question:
A good interview after applying for a job may cause you to feel what?

Which of the following is the best response to the question?

Choices:
A. offer
B. income
C. rejection
D. hostile
E. hope

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What happens after having food too much?,having food,train-00000-of-00001,D,"Question:
What happens after having food too much?

Which of the following is the best response to the question?

Choices:
A. being full
B. laziness
C. weight gain
D. getting fat
E. will not starve

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What do taking illegal drugs do long term?,drugs,train-00000-of-00001,A,"Question:
What do taking illegal drugs do long term?

Which of the following is the best response to the question?

Choices:
A. cause illness
B. damage
C. benefit well-being
D. cause accidents
E. change state of mind

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What is the goal for a student to improve in?,student,train-00000-of-00001,D,"Question:
What is the goal for a student to improve in?

Which of the following is the best response to the question?

Choices:
A. kindergarten class
B. kitchen
C. class room
D. every aspect of life
E. library

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
"The small cabin was not available, so they were upgraded to what?",cabin,train-00000-of-00001,A,"Question:
The small cabin was not available, so they were upgraded to what?

Which of the following is the best response to the question?

Choices:
A. villa
B. spacecraft
C. hall
D. palace
E. hotel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What holds a lit cigarette when no one is around?,cigarette,train-00000-of-00001,D,"Question:
What holds a lit cigarette when no one is around?

Which of the following is the best response to the question?

Choices:
A. hand
B. cool lip
C. light fire
D. ashtray
E. carton

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where is mountain marmot likely ot live?,marmot,train-00000-of-00001,D,"Question:
Where is mountain marmot likely ot live?

Which of the following is the best response to the question?

Choices:
A. north america
B. northern hemisphere
C. tree
D. colorado
E. in wild

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
You can do what do share your memories of visiting a museum?,visiting museum,train-00000-of-00001,B,"Question:
You can do what do share your memories of visiting a museum?

Which of the following is the best response to the question?

Choices:
A. cry
B. take pictures
C. talk loudly
D. whisper
E. entertainment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where would you go if you need an eraser?,eraser,train-00000-of-00001,E,"Question:
Where would you go if you need an eraser?

Which of the following is the best response to the question?

Choices:
A. desk drawer
B. schools
C. pencil box
D. principal
E. office supply store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
The tourist was probably most happy to capture pictures of snow on what?,snow,train-00000-of-00001,C,"Question:
The tourist was probably most happy to capture pictures of snow on what?

Which of the following is the best response to the question?

Choices:
A. canada
B. roof
C. mountains
D. ground
E. ground

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
If you let go of a balloon where will it go?,balloon,train-00000-of-00001,D,"Question:
If you let go of a balloon where will it go?

Which of the following is the best response to the question?

Choices:
A. birthday party
B. grocery store
C. away
D. sky
E. circus

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"If I am away, I couldn't currently be what?",away,train-00000-of-00001,A,"Question:
If I am away, I couldn't currently be what?

Which of the following is the best response to the question?

Choices:
A. being here
B. come back
C. come here
D. stay here
E. present

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
News and reality shows are examples of programs that are not works of what?,news,train-00000-of-00001,A,"Question:
News and reality shows are examples of programs that are not works of what?

Which of the following is the best response to the question?

Choices:
A. fiction
B. old information
C. fun
D. documentary
E. propaganda

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where could you find a library that people of any age can visit?,library,train-00000-of-00001,E,"Question:
Where could you find a library that people of any age can visit?

Which of the following is the best response to the question?

Choices:
A. house
B. school
C. college
D. inside
E. downtown

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
To think for a long time you need to be able to?,think,train-00000-of-00001,B,"Question:
To think for a long time you need to be able to?

Which of the following is the best response to the question?

Choices:
A. sit quietly
B. concentrate
C. know first
D. relax
E. drink

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
A number is the usual response to what?,number,train-00000-of-00001,B,"Question:
A number is the usual response to what?

Which of the following is the best response to the question?

Choices:
A. telephone book
B. math problem
C. chinese takeaway menu
D. statistic
E. roulette wheel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
James had trouble learning the French language because he never had any what to it?,learning,train-00000-of-00001,B,"Question:
James had trouble learning the French language because he never had any what to it?

Which of the following is the best response to the question?

Choices:
A. attempt
B. exposure
C. study
D. effort
E. thought

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
"Sam thought that his money would grow, instead his savings only did what?",grow,train-00000-of-00001,C,"Question:
Sam thought that his money would grow, instead his savings only did what?

Which of the following is the best response to the question?

Choices:
A. shrink
B. explode
C. diminish
D. get smaller
E. stagnant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where would you find magazines along side many other printed works?,magazines,validation-00000-of-00001,B,"Question:
Where would you find magazines along side many other printed works?

Which of the following is the best response to the question?

Choices:
A. doctor
B. bookstore
C. market
D. train station
E. mortuary

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
If you drink too much liquor you are likely to do what?,drink,train-00000-of-00001,D,"Question:
If you drink too much liquor you are likely to do what?

Which of the following is the best response to the question?

Choices:
A. stumble
B. food
C. coffee
D. throw up
E. choke

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"If I needed help with answering questions, what would help me?",answering questions,train-00000-of-00001,C,"Question:
If I needed help with answering questions, what would help me?

Which of the following is the best response to the question?

Choices:
A. getting tired
B. better grade
C. sharing information
D. interesting
E. teaching

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
How do most people feel about a person they love?,person,train-00000-of-00001,D,"Question:
How do most people feel about a person they love?

Which of the following is the best response to the question?

Choices:
A. popularity
B. know all
C. own house
D. care about
E. flu

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would you find a shelf with toys for young people learning?,shelf,train-00000-of-00001,B,"Question:
Where would you find a shelf with toys for young people learning?

Which of the following is the best response to the question?

Choices:
A. corner
B. school building
C. wall
D. library
E. bookstore

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What is a beaver likely to chew up?,beaver,train-00000-of-00001,A,"Question:
What is a beaver likely to chew up?

Which of the following is the best response to the question?

Choices:
A. american forests
B. great outdoors
C. rocks
D. canada
E. pair of pants

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where are you likely to find a corner shop selling hats?,corner shop,train-00000-of-00001,C,"Question:
Where are you likely to find a corner shop selling hats?

Which of the following is the best response to the question?

Choices:
A. subway
B. street corner
C. england
D. town
E. minnesota

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"When taking a long walk, where would you store your clothing?",clothing,train-00000-of-00001,E,"Question:
When taking a long walk, where would you store your clothing?

Which of the following is the best response to the question?

Choices:
A. suitcase
B. department store
C. purse
D. mall
E. backpack

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What state is Pat Roberts the senator of?,republican,train-00000-of-00001,D,"Question:
What state is Pat Roberts the senator of?

Which of the following is the best response to the question?

Choices:
A. demopublican
B. new york
C. nebraska
D. kansas
E. colorado

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
"When visiting a museum, what might a child experience?",visiting museum,train-00000-of-00001,B,"Question:
When visiting a museum, what might a child experience?

Which of the following is the best response to the question?

Choices:
A. crowding
B. wonder
C. being bored
D. fear
E. sore feet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"If I can feel material, then where am I generally speaking?",material,train-00000-of-00001,D,"Question:
If I can feel material, then where am I generally speaking?

Which of the following is the best response to the question?

Choices:
A. fabric store
B. anything
C. attic
D. physical world
E. science lab

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What would cause a person to have  headaches?,person,train-00000-of-00001,E,"Question:
What would cause a person to have  headaches?

Which of the following is the best response to the question?

Choices:
A. fall
B. schizophrenia
C. made fun of
D. false information
E. brain tumor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
A cemetery surrounded by many houses and businesses is located in what area?,cemetery,train-00000-of-00001,A,"Question:
A cemetery surrounded by many houses and businesses is located in what area?

Which of the following is the best response to the question?

Choices:
A. city
B. churchyard
C. most cities
D. ocean
E. field

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where would you find teeth whitening bleachers?,bleachers,train-00000-of-00001,D,"Question:
Where would you find teeth whitening bleachers?

Which of the following is the best response to the question?

Choices:
A. gymnasium
B. soccer game
C. sporting event
D. pharmacy
E. soccer game

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where is one likely to find a brownstone?,brownstone,validation-00000-of-00001,A,"Question:
Where is one likely to find a brownstone?

Which of the following is the best response to the question?

Choices:
A. new york city
B. subdivision
C. ring
D. hazleton
E. live in

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where can you buy a two wheel transportation machine?,wheel,validation-00000-of-00001,D,"Question:
Where can you buy a two wheel transportation machine?

Which of the following is the best response to the question?

Choices:
A. boat
B. michigan
C. train station
D. bicycle shop
E. trunk of car

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where might people gather while they are waiting for a ride across town?,people,train-00000-of-00001,B,"Question:
Where might people gather while they are waiting for a ride across town?

Which of the following is the best response to the question?

Choices:
A. wedding
B. bus stop
C. convention
D. pool
E. apartment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What happens when people touch a hot stove?,people,train-00000-of-00001,A,"Question:
What happens when people touch a hot stove?

Which of the following is the best response to the question?

Choices:
A. burn themselves
B. teach each other
C. believe in god
D. learn
E. cross themselves

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What type of place has stopped giving out plastic shopping bags?,shopping bag,train-00000-of-00001,D,"Question:
What type of place has stopped giving out plastic shopping bags?

Which of the following is the best response to the question?

Choices:
A. retail store
B. restaurant
C. mini mart
D. grocery store
E. home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
