question,question_concept,_split,answer,final_prompt,len_tk_mistral_7b_base
Sam listened for instructions from the ground on the radio.  Where might have Sam been?,radio,train-00000-of-00001,C,"Question:
Sam listened for instructions from the ground on the radio.  Where might have Sam been?

Which of the following is the best response to the question?

Choices:
A. school
B. shop
C. space shuttle
D. train
E. bedroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"An electronics store had things damaged from the rain, where should these things be stored?",electronics store,train-00000-of-00001,C,"Question:
An electronics store had things damaged from the rain, where should these things be stored?

Which of the following is the best response to the question?

Choices:
A. large city
B. strip mall
C. building
D. shopping mall
E. aquarium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
Where are you likely to receive mouthwash in a little paper cup?,mouthwash,train-00000-of-00001,C,"Question:
Where are you likely to receive mouthwash in a little paper cup?

Which of the following is the best response to the question?

Choices:
A. bottle
B. drug store
C. dentist's office
D. doctor office
E. bathroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"She knew what presents she was getting, none of them were what she wanted and so she felt what?",getting,train-00000-of-00001,E,"Question:
She knew what presents she was getting, none of them were what she wanted and so she felt what?

Which of the following is the best response to the question?

Choices:
A. excited
B. ownership
C. satisfaction
D. being happy
E. disappointment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"If you get something,  you'll what it?",getting,train-00000-of-00001,D,"Question:
If you get something,  you'll what it?

Which of the following is the best response to the question?

Choices:
A. being happy
B. in underpants drawer
C. wanting more
D. then have
E. headaches

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"The science major was planning on digging in the earth one day, his favorite class was what?",science,train-00000-of-00001,D,"Question:
The science major was planning on digging in the earth one day, his favorite class was what?

Which of the following is the best response to the question?

Choices:
A. religion
B. faith
C. health
D. geography
E. history studies

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
If you are getting drunk you will need to drink what?,getting drunk,train-00000-of-00001,A,"Question:
If you are getting drunk you will need to drink what?

Which of the following is the best response to the question?

Choices:
A. booze
B. ethanol
C. sauce
D. consumption of alcohol
E. drinking alcohol

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The competition contestant had simply run out of steam, it seemed she was doing what?",run out of steam,train-00000-of-00001,B,"Question:
The competition contestant had simply run out of steam, it seemed she was doing what?

Which of the following is the best response to the question?

Choices:
A. dying
B. quitting
C. you'll sleep
D. rest
E. pause

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
What place has many coasts and is a place where you could find a sloth?,sloth,train-00000-of-00001,B,"Question:
What place has many coasts and is a place where you could find a sloth?

Which of the following is the best response to the question?

Choices:
A. commercial
B. costa rica
C. dictionary
D. civil service
E. paraguay

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"If I want to find more information about things in general, what am I seeking?",finding information,train-00000-of-00001,A,"Question:
If I want to find more information about things in general, what am I seeking?

Which of the following is the best response to the question?

Choices:
A. increased knowledge
B. knowing more
C. wisdom
D. gaining knowledge
E. headaches

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"If man and mammoth wanted to meet, they would probably have to do it during when?",mammoth,train-00000-of-00001,D,"Question:
If man and mammoth wanted to meet, they would probably have to do it during when?

Which of the following is the best response to the question?

Choices:
A. a baby shower
B. ancient history
C. storybook
D. stone age
E. forest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"If people are busy, what do they tend to do?",people,train-00000-of-00001,D,"Question:
If people are busy, what do they tend to do?

Which of the following is the best response to the question?

Choices:
A. make lists
B. trade places
C. talk to each other
D. hurry along
E. say ""hello"" to one another

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"The person was looking up airline and hotel prices, what was he looking to do?",person,train-00000-of-00001,C,"Question:
The person was looking up airline and hotel prices, what was he looking to do?

Which of the following is the best response to the question?

Choices:
A. control computer
B. separate things
C. go on vacation
D. cross street
E. go out

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
Where is a tap show likely to make a lot of noise?,tap,train-00000-of-00001,E,"Question:
Where is a tap show likely to make a lot of noise?

Which of the following is the best response to the question?

Choices:
A. water fountain
B. soda fountain
C. ohio
D. bathtub
E. bathroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"He was going to sleep at his summer home, he turned on an electric fan to air out his what?",electric fan,train-00000-of-00001,E,"Question:
He was going to sleep at his summer home, he turned on an electric fan to air out his what?

Which of the following is the best response to the question?

Choices:
A. home
B. office
C. closet
D. field
E. hot room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"The traveler needs a place to say, where are hotels located?",place to stay,train-00000-of-00001,C,"Question:
The traveler needs a place to say, where are hotels located?

Which of the following is the best response to the question?

Choices:
A. in a palace
B. mexico
C. every country
D. town
E. motel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
If you turn off the music in a room with no other noise that room would be what?,music,validation-00000-of-00001,A,"Question:
If you turn off the music in a room with no other noise that room would be what?

Which of the following is the best response to the question?

Choices:
A. silent
B. opera
C. silence
D. television
E. elevator

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Sam loves to create art.   Looking at other peoples work does what to him?,create art,train-00000-of-00001,C,"Question:
Sam loves to create art.   Looking at other peoples work does what to him?

Which of the following is the best response to the question?

Choices:
A. depresses
B. express yourself
C. inspires
D. enlightenment
E. creative

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
What would happen to someone when he or she is finished going somewhere?,going somewhere,train-00000-of-00001,D,"Question:
What would happen to someone when he or she is finished going somewhere?

Which of the following is the best response to the question?

Choices:
A. going back somewhere.
B. getting there
C. having to travel
D. being there
E. get excited

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
What is something that probably has a lot of testosterone and way too much alcohol?,alcohol,train-00000-of-00001,D,"Question:
What is something that probably has a lot of testosterone and way too much alcohol?

Which of the following is the best response to the question?

Choices:
A. beer
B. wine
C. restaurant
D. fraternity house
E. pub

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
The roses flowered in June.  Sarah loved smelling the what?,flower,train-00000-of-00001,A,"Question:
The roses flowered in June.  Sarah loved smelling the what?

Which of the following is the best response to the question?

Choices:
A. blossom
B. vase
C. park
D. cast shadow
E. open

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"A person who is hungry and eating breakfast, what is their goal?",eating breakfast,train-00000-of-00001,A,"Question:
A person who is hungry and eating breakfast, what is their goal?

Which of the following is the best response to the question?

Choices:
A. being satisfied
B. heartburn
C. weight gain
D. overeating
E. gain energy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"When people are playing a game, what is their motivation to play?",people,validation-00000-of-00001,C,"Question:
When people are playing a game, what is their motivation to play?

Which of the following is the best response to the question?

Choices:
A. believe in god
B. dance
C. desire to win
D. destroy each other
E. run amok

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
If you're buying beer for a float trip what are you preparing to do?,buying beer,validation-00000-of-00001,B,"Question:
If you're buying beer for a float trip what are you preparing to do?

Which of the following is the best response to the question?

Choices:
A. get arrested
B. have fun
C. get sick
D. spend money
E. stupidity

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
Where would you expect to see a coach in Europe or South America?,coach,train-00000-of-00001,D,"Question:
Where would you expect to see a coach in Europe or South America?

Which of the following is the best response to the question?

Choices:
A. play football
B. sporting event
C. at a laundry mat.
D. soccer game
E. hockey game

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"If people are told something controversial, what do they do next?",people,train-00000-of-00001,D,"Question:
If people are told something controversial, what do they do next?

Which of the following is the best response to the question?

Choices:
A. hope for peace
B. believe in god
C. start fighting
D. form opinions
E. worship idols

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
Where is someone not likely to find a needle?,needle,train-00000-of-00001,A,"Question:
Where is someone not likely to find a needle?

Which of the following is the best response to the question?

Choices:
A. haystack
B. spool of thread
C. hospital
D. box of needles
E. doctor's office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
Where are there millions of marmoset sitting in trees?,marmoset,train-00000-of-00001,B,"Question:
Where are there millions of marmoset sitting in trees?

Which of the following is the best response to the question?

Choices:
A. france
B. latin america
C. columbia
D. underground
E. dictionary

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
What's one characteristic that separates a person from a stuffed dummy?,person,train-00000-of-00001,C,"Question:
What's one characteristic that separates a person from a stuffed dummy?

Which of the following is the best response to the question?

Choices:
A. absorb moisture
B. cross street
C. experience pain
D. deceive himself
E. dead

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"You'd find a metal rod or two in welding, home improvement, and manufacturing whats?",metal rod,train-00000-of-00001,C,"Question:
You'd find a metal rod or two in welding, home improvement, and manufacturing whats?

Which of the following is the best response to the question?

Choices:
A. broken bone
B. construction site
C. shops
D. cars
E. engine

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"The engineers were testing the automaton, where were they likely doing this?",automaton,train-00000-of-00001,E,"Question:
The engineers were testing the automaton, where were they likely doing this?

Which of the following is the best response to the question?

Choices:
A. car assembly plant
B. do chores
C. banking
D. museum
E. lab

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"When you get an F, you fail. If you get A's you are?",fail,validation-00000-of-00001,D,"Question:
When you get an F, you fail. If you get A's you are?

Which of the following is the best response to the question?

Choices:
A. passed
B. completing
C. passed
D. passing
E. succeeding

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"If one needed peas and shopped local, where might they go?",peas,train-00000-of-00001,D,"Question:
If one needed peas and shopped local, where might they go?

Which of the following is the best response to the question?

Choices:
A. supermarket
B. fridge
C. grocery store
D. farmer's market
E. freezer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
What must elementary school students do when they are going into class?,student,train-00000-of-00001,C,"Question:
What must elementary school students do when they are going into class?

Which of the following is the best response to the question?

Choices:
A. think for himself
B. answer question
C. wait in line
D. speak a foreign language
E. cross road

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"If you cut when waiting at the ticket office, what should your punishment be?",ticket office,train-00000-of-00001,E,"Question:
If you cut when waiting at the ticket office, what should your punishment be?

Which of the following is the best response to the question?

Choices:
A. auditorium
B. humans
C. opera house
D. death
E. end of line

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
Officers will carry a pistol to shoot deserters from what?,pistol,train-00000-of-00001,D,"Question:
Officers will carry a pistol to shoot deserters from what?

Which of the following is the best response to the question?

Choices:
A. police officer's belt
B. police station
C. traffic
D. war
E. pants

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"At work I do lots of math, so I keep a calculator open and handy on my what?",calculator,train-00000-of-00001,E,"Question:
At work I do lots of math, so I keep a calculator open and handy on my what?

Which of the following is the best response to the question?

Choices:
A. wristwatch
B. office
C. purse
D. accounting department
E. desktop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
What is it called when you spend time with friends and acquaintances?,friends,train-00000-of-00001,A,"Question:
What is it called when you spend time with friends and acquaintances?

Which of the following is the best response to the question?

Choices:
A. socialize
B. tell story
C. go somewhere
D. wedding
E. clean room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"If I am attending a self-help lecture, what am I hoping to accomplish?",attending lecture,train-00000-of-00001,D,"Question:
If I am attending a self-help lecture, what am I hoping to accomplish?

Which of the following is the best response to the question?

Choices:
A. go to sleep
B. gaining happiness
C. gaining knowledge
D. inspiration
E. gain knowledge

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"There's a lot to reproducing, but it begins and end with new life by giving what?",reproducing,train-00000-of-00001,B,"Question:
There's a lot to reproducing, but it begins and end with new life by giving what?

Which of the following is the best response to the question?

Choices:
A. overpopulation
B. birth
C. presents
D. propagation
E. fun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"He admired the apple tree, he was relaxing in the smallest of the fifty where?",apple tree,train-00000-of-00001,C,"Question:
He admired the apple tree, he was relaxing in the smallest of the fifty where?

Which of the following is the best response to the question?

Choices:
A. meadow
B. idaho
C. rhode island
D. garden
E. park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
What would you do with a sword you are holding if you do not need to use it?,sword,train-00000-of-00001,E,"Question:
What would you do with a sword you are holding if you do not need to use it?

Which of the following is the best response to the question?

Choices:
A. salon
B. stone
C. collection
D. museum
E. sheath

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
If you're going on vacation on a deserted island what are you hoping to achieve?,going on vacation,train-00000-of-00001,E,"Question:
If you're going on vacation on a deserted island what are you hoping to achieve?

Which of the following is the best response to the question?

Choices:
A. panic
B. having fun
C. relaxation
D. solitude
E. peace

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"John was driving to work and running late, what did he experience as he walked through the door?",driving to work,train-00000-of-00001,C,"Question:
John was driving to work and running late, what did he experience as he walked through the door?

Which of the following is the best response to the question?

Choices:
A. impatience
B. sadness
C. anxiety
D. stress
E. boredom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"She had worked hard her whole life saving money, featuring her dream entrance hall she bought a new what?",entrance hall,train-00000-of-00001,C,"Question:
She had worked hard her whole life saving money, featuring her dream entrance hall she bought a new what?

Which of the following is the best response to the question?

Choices:
A. hat rack
B. school
C. large home
D. palace
E. gateway

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
Simon's instructions were not clear.  Claire found them to be what?,clear,train-00000-of-00001,C,"Question:
Simon's instructions were not clear.  Claire found them to be what?

Which of the following is the best response to the question?

Choices:
A. park
B. invisible
C. confusing
D. obscured
E. misunderstood

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"They needed a machine to help with their studies, it was used often in the where?",machine,train-00000-of-00001,D,"Question:
They needed a machine to help with their studies, it was used often in the where?

Which of the following is the best response to the question?

Choices:
A. industrial area
B. restaurant
C. house
D. laboratory
E. office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Where could you find a magazine that does not need to be paid for to read?,magazine,train-00000-of-00001,C,"Question:
Where could you find a magazine that does not need to be paid for to read?

Which of the following is the best response to the question?

Choices:
A. train station
B. kitchen
C. waiting room
D. bookstore
E. bed

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
In what sort of region would you expect to find a large number of apartment buildings?,apartment building,train-00000-of-00001,B,"Question:
In what sort of region would you expect to find a large number of apartment buildings?

Which of the following is the best response to the question?

Choices:
A. suburbs
B. urban area
C. urban environment
D. indiana
E. housing unit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
Where might people enjoy a swimming pool before bedtime while on vacation?,swimming pool,train-00000-of-00001,A,"Question:
Where might people enjoy a swimming pool before bedtime while on vacation?

Which of the following is the best response to the question?

Choices:
A. motel
B. california
C. fitness center
D. on the street
E. school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Where does someone go to step on a scale annually?,scale,train-00000-of-00001,A,"Question:
Where does someone go to step on a scale annually?

Which of the following is the best response to the question?

Choices:
A. doctor's office
B. music store
C. bathroom
D. post office
E. fish hatchery

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
What is the yellow color of the sun an example of?,yellow,train-00000-of-00001,B,"Question:
What is the yellow color of the sun an example of?

Which of the following is the best response to the question?

Choices:
A. english carrier
B. achromatic
C. courageous
D. bright
E. fearless

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
What is it called when two people in love have children?,love,validation-00000-of-00001,B,"Question:
What is it called when two people in love have children?

Which of the following is the best response to the question?

Choices:
A. take oath
B. procreate
C. matrimony
D. please parents
E. live life

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The eloquent performance was stunning, it left everybody what?",eloquent,train-00000-of-00001,C,"Question:
The eloquent performance was stunning, it left everybody what?

Which of the following is the best response to the question?

Choices:
A. stuttering
B. stumbling
C. speechless
D. muttering
E. astounded

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"He opened up the advertisement after reading the subject line, what kind of ad was it?",advertisement,train-00000-of-00001,E,"Question:
He opened up the advertisement after reading the subject line, what kind of ad was it?

Which of the following is the best response to the question?

Choices:
A. magazine
B. mail
C. la ville
D. web page
E. email

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
What electronic device would be used when being bored?,being bored,train-00000-of-00001,C,"Question:
What electronic device would be used when being bored?

Which of the following is the best response to the question?

Choices:
A. surf net
B. go somewhere
C. use television
D. make patchwork quilt
E. hang out with friend

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
Piece of land in Canada where you can find marmot?,marmot,validation-00000-of-00001,C,"Question:
Piece of land in Canada where you can find marmot?

Which of the following is the best response to the question?

Choices:
A. north america
B. united states
C. vancouver island
D. american
E. cage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
You can find a protected forest in just about any what?,forest,train-00000-of-00001,B,"Question:
You can find a protected forest in just about any what?

Which of the following is the best response to the question?

Choices:
A. temperate zone
B. national park
C. south africa
D. countryside
E. amazon basin

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"When enjoying flowers in a recreation area run by local government, where are you?",flowers,train-00000-of-00001,E,"Question:
When enjoying flowers in a recreation area run by local government, where are you?

Which of the following is the best response to the question?

Choices:
A. countryside
B. surface of earth
C. anthology
D. observatory
E. state park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
James went into his office at city hall.  What type of building is this?,office,train-00000-of-00001,B,"Question:
James went into his office at city hall.  What type of building is this?

Which of the following is the best response to the question?

Choices:
A. skyscraper
B. public building
C. tall building
D. work
E. a house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
Where would you buy jeans in a place with a large number of indoor merchants?,jeans,train-00000-of-00001,A,"Question:
Where would you buy jeans in a place with a large number of indoor merchants?

Which of the following is the best response to the question?

Choices:
A. shopping mall
B. laundromat
C. hospital
D. clothing store
E. thrift store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"The poet needed to write about his distant past, where did he have to go to do so?",poet,train-00000-of-00001,D,"Question:
The poet needed to write about his distant past, where did he have to go to do so?

Which of the following is the best response to the question?

Choices:
A. garden
B. bathroom
C. classroom
D. home
E. university

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
Where will my kid put their coin in their room?,coin,train-00000-of-00001,A,"Question:
Where will my kid put their coin in their room?

Which of the following is the best response to the question?

Choices:
A. piggy bank
B. wishing well
C. parking meter
D. under pillow
E. change purse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"If for some reason you were to start killing people, what would you be likely to receive?",killing people,validation-00000-of-00001,B,"Question:
If for some reason you were to start killing people, what would you be likely to receive?

Which of the following is the best response to the question?

Choices:
A. feelings of guilt
B. prison sentence
C. terrible
D. encouragement
E. die

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"The tree had thousands of animals living in it, where was it located?",tree,train-00000-of-00001,C,"Question:
The tree had thousands of animals living in it, where was it located?

Which of the following is the best response to the question?

Choices:
A. back yard
B. university
C. rainforest
D. backyard
E. sea

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
What happens to water in a leaky faucet?,water,train-00000-of-00001,C,"Question:
What happens to water in a leaky faucet?

Which of the following is the best response to the question?

Choices:
A. water spout
B. wet clothes
C. dribble
D. power turbine
E. thin soup

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"The friends loved competing against one another, it was a good way to work their what?",competing,train-00000-of-00001,B,"Question:
The friends loved competing against one another, it was a good way to work their what?

Which of the following is the best response to the question?

Choices:
A. friendship
B. aggression
C. defeat
D. winning or losing
E. sweat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
Sitting to close while watching TV can cause what sort of pain?,watching tv,train-00000-of-00001,D,"Question:
Sitting to close while watching TV can cause what sort of pain?

Which of the following is the best response to the question?

Choices:
A. brain problems
B. laziness
C. get fat
D. headache
E. laughter

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
How can a person end up stopping standing in  puddle?,stopping standing in,train-00000-of-00001,E,"Question:
How can a person end up stopping standing in  puddle?

Which of the following is the best response to the question?

Choices:
A. move away from
B. laying in
C. sweating
D. movement
E. walking out of

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
What is it called when you are killing people because they are bad?,killing people,train-00000-of-00001,E,"Question:
What is it called when you are killing people because they are bad?

Which of the following is the best response to the question?

Choices:
A. war
B. get arrested
C. joy
D. going to prison
E. vengeance

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"While the statistician thought the anomaly was important, what did the contrarian demographer think?",important,train-00000-of-00001,B,"Question:
While the statistician thought the anomaly was important, what did the contrarian demographer think?

Which of the following is the best response to the question?

Choices:
A. trivial
B. negligible
C. slight
D. unimportant
E. petty

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"She wanted to donate her old clothes to charity, she began folding and stacking the clothing into a what?",old clothes,train-00000-of-00001,A,"Question:
She wanted to donate her old clothes to charity, she began folding and stacking the clothing into a what?

Which of the following is the best response to the question?

Choices:
A. box
B. basement
C. trash
D. bag
E. trunk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"The bookshop specializes in course texts, where is it located?",bookshop,train-00000-of-00001,D,"Question:
The bookshop specializes in course texts, where is it located?

Which of the following is the best response to the question?

Choices:
A. mall
B. sea shore
C. shopping center
D. student union
E. department store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The kids had been having fun all day, there was now a what?",having fun,train-00000-of-00001,B,"Question:
The kids had been having fun all day, there was now a what?

Which of the following is the best response to the question?

Choices:
A. wild ride
B. need for rest
C. a massive bear
D. playing marbles
E. constructing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
What kind of wine list can I expect to see in Paris?,wine list,train-00000-of-00001,B,"Question:
What kind of wine list can I expect to see in Paris?

Which of the following is the best response to the question?

Choices:
A. restaurant
B. french
C. boston
D. canadian
E. resturant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
What divider is found in a house that has couches and chairs in it?,divider,train-00000-of-00001,A,"Question:
What divider is found in a house that has couches and chairs in it?

Which of the following is the best response to the question?

Choices:
A. living room
B. street
C. binder
D. notebook
E. office suite

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"It was my turn to stand watch, so where did I go for my shift?",watch,train-00000-of-00001,D,"Question:
It was my turn to stand watch, so where did I go for my shift?

Which of the following is the best response to the question?

Choices:
A. department store
B. bathroom cabinet
C. bedroom drawer
D. guard tower
E. jewellers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"She found out who her father was, discovering truth had led her to feel what?",discovering truth,train-00000-of-00001,E,"Question:
She found out who her father was, discovering truth had led her to feel what?

Which of the following is the best response to the question?

Choices:
A. conclusion
B. pain
C. very sad
D. relief
E. happiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
The matter in side a can of soda is in what state?,can of soda,train-00000-of-00001,D,"Question:
The matter in side a can of soda is in what state?

Which of the following is the best response to the question?

Choices:
A. vending machine
B. pop
C. store
D. liquid
E. picnic cooler

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The teen really enjoyed listening to music, it was his way of having what?",listening to music,train-00000-of-00001,C,"Question:
The teen really enjoyed listening to music, it was his way of having what?

Which of the following is the best response to the question?

Choices:
A. relaxing
B. tinnitus
C. fun
D. pleasurable
E. deafness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"He remembered his family road trips fondly, sitting in the back seat of the what and staring out the window?",window,train-00000-of-00001,E,"Question:
He remembered his family road trips fondly, sitting in the back seat of the what and staring out the window?

Which of the following is the best response to the question?

Choices:
A. building
B. ocean
C. computer screen
D. bus
E. car

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"The artist used a stylus on a pad to draw digitally, he kept a very steady what?",stylus,train-00000-of-00001,E,"Question:
The artist used a stylus on a pad to draw digitally, he kept a very steady what?

Which of the following is the best response to the question?

Choices:
A. foot
B. record player
C. palm pilot
D. ink
E. hand

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"Billy couldn't pick a side against a friend, so he stood where?",side,train-00000-of-00001,B,"Question:
Billy couldn't pick a side against a friend, so he stood where?

Which of the following is the best response to the question?

Choices:
A. angle
B. in between
C. front back
D. toeside
E. center

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
Where could you get something that is made out of wool but cannot be worn?,wool,train-00000-of-00001,C,"Question:
Where could you get something that is made out of wool but cannot be worn?

Which of the following is the best response to the question?

Choices:
A. clothing store
B. sweater
C. fabric store
D. jewelry
E. clothing factory

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
