ind,activity_label,ctx,answer,final_prompt,len_tk_gemma2_9b_it
18725.0,Sharpening knives,The man pushes the knife on a block and starts sharpening it. The man pours water on the knife. the man,B,"Context:
""The man pushes the knife on a block and starts sharpening it. The man pours water on the knife. the man""

Which of the following endings best completes the context?

Choices:
A. cuts the knife and stand on a pushup to sharpen it.
B. adds another block on the screen and puts water on the block.
C. shows off the sharpener then scrapes the knife edge off using a saw.
D. leaves and returns with a knife.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
35268.0,Getting a piercing,Two girls are standing in a shop and hug each other. the two girls,A,"Context:
""Two girls are standing in a shop and hug each other. the two girls""

Which of the following endings best completes the context?

Choices:
A. acknowledge the girl holding the camera.
B. remove their clothes from suitcases and rub lotion on their bodies.
C. grab their toothbrush and mirror and put it under a tube, the girl with pink hair speak to the girls and walks past the store.
D. stand in a pink shop with other girls while talking.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
21145.0,Making a lemonade,A man in red turban stands in a kitchen. He pours some ingredients into a glass. He explains his methods holding a spoon. he,A,"Context:
""A man in red turban stands in a kitchen. He pours some ingredients into a glass. He explains his methods holding a spoon. he""

Which of the following endings best completes the context?

Choices:
A. then finishes the drink with a garnish.
B. holds the spoon in his hands and lifts it up to show the proper position.
C. pours the ingredients into a bowl at the counter.
D. adds salt and peppers into the glass as well.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
20407.0,Swimming,Female swimmer jump off into the water at a swim meet. They quickly race down the swim lanes. the swimmers,A,"Context:
""Female swimmer jump off into the water at a swim meet. They quickly race down the swim lanes. the swimmers""

Which of the following endings best completes the context?

Choices:
A. repeatedly go back and forth down the swim lanes using various swimming techniques.
B. come back and soak up the sun and the gas so they can sweat like scuba divers.
C. jump through numerous obstacles a ocean can created.
D. arrive at the round end then jump in.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
21887.0,Getting a piercing,A woman is seen sitting in a chair while a man uses various tools to pierce her ear. the man,A,"Context:
""A woman is seen sitting in a chair while a man uses various tools to pierce her ear. the man""

Which of the following endings best completes the context?

Choices:
A. finishes the piercing and the girl begins to turn in the end.
B. continues to pierce and speak to the camera while speaking.
C. continues trimming the ear while the woman smiles to the camera.
D. speaks to the camera more hands off and leads into people talking more.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
26613.0,Spread mulch,A man is outside in a yard. he,A,"Context:
""A man is outside in a yard. he""

Which of the following endings best completes the context?

Choices:
A. is showing the different tools needed for mulching.
B. is using a lawn mower to move a red rubber pad.
C. uses a tool on the ladder this is shown in several different ways, it appears to be an ax or some other tool.
D. is holding an ax over a pile of leaves while a woman is chopping them up.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
45092.0,Wrapping presents,Two wires are seen laid across and table with a person putting a box on top. the person,A,"Context:
""Two wires are seen laid across and table with a person putting a box on top. the person""

Which of the following endings best completes the context?

Choices:
A. wraps the box with wires and tying a bow on top.
B. continues to put the paper in and lays it on the table.
C. continues putting objects on the table and shows off the box.
D. then sparks the box to ignite the wires and gets ready to do the first part.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
25641.0,Cutting the grass,"The words ""the good works tour cuts the lawn with machetes!"" appears on screen. a volunteer named "" irene zimmerman """,B,"Context:
""The words ""the good works tour cuts the lawn with machetes!"" appears on screen. a volunteer named "" irene zimmerman """"

Which of the following endings best completes the context?

Choices:
A. walks up to the camera to tour the lawn.
B. speaks to the camera in a field.
C. is seen mowing the lawn and credits begin to flash on screen.
D. walks up to the garden and removes the leaves from a red lawn.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
24016.0,Triple jump,A man is running down a track he jumps into a pile of sand. he,A,"Context:
""A man is running down a track he jumps into a pile of sand. he""

Which of the following endings best completes the context?

Choices:
A. runs down the track again and jumps into the sand several times.
B. goes into a huge weight vault and begins rolling around on the sand.
C. is wearing flippers and is going through the sand of the beach.
D. walks away and a woman starts walking into the desert on a sand gril.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
26304.0,Triple jump,A man is seen long jumping into a pit followed by another man jumping in. More clips are shown of men running down a track into a pit. the video,D,"Context:
""A man is seen long jumping into a pit followed by another man jumping in. More clips are shown of men running down a track into a pit. the video""

Which of the following endings best completes the context?

Choices:
A. ends with different clips in white writing.
B. continues on showing people jump roping with one another.
C. continues with men holding frisbees and making several tricks.
D. continues on with more clips of men running.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
1350.0,Playing congas,A young child wearing a green shirt is playing some conga percussion instruments. an older boy wearing a burgundy shirt,C,"Context:
""A young child wearing a green shirt is playing some conga percussion instruments. an older boy wearing a burgundy shirt""

Which of the following endings best completes the context?

Choices:
A. walks into the next room of the room and takes off his shirt.
B. is sitting on a chair sitting.
C. moves into the picture behind the child who is playing the conga's and begins to dance.
D. is playing bagpipes in a room.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
37065.0,Washing face,A woman speaks to the camera while turning her face back and fourth. she,A,"Context:
""A woman speaks to the camera while turning her face back and fourth. she""

Which of the following endings best completes the context?

Choices:
A. holds up a product and wipes it all along her face.
B. demonstrates how to properly use abdominal crunches.
C. then laughs, waves, and sets her face back in the water.
D. continues speaking while showing a "" you'll never make it "" text across the screen and the woman turns around.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
17033.0,Camel ride,A young girl climbs on top of a camel while others walk around her. a man,A,"Context:
""A young girl climbs on top of a camel while others walk around her. a man""

Which of the following endings best completes the context?

Choices:
A. leads the camel around in circles while the girl laughs to the camera.
B. guides the camel while a woman stands on the camel's back.
C. lifts the young girl over a rope to position her.
D. in a suit gets on the camel as the girl mounts and then they leave.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
11841.0,Blowing leaves,A person is seen blow leaves around a yard using a leaf blower sitting on his back. the camera,A,"Context:
""A person is seen blow leaves around a yard using a leaf blower sitting on his back. the camera""

Which of the following endings best completes the context?

Choices:
A. follows him as the man moves up and down the yard blowing leaves all around the area.
B. cuts back and fourth to the person blowing the leaves around.
C. person continues to blow twigs across the yard with the camera moving around.
D. pans around the yard followed by taking pictures.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
13381.0,Installing carpet,A close up of a tool is shown followed by a person cutting along a rug. the person,D,"Context:
""A close up of a tool is shown followed by a person cutting along a rug. the person""

Which of the following endings best completes the context?

Choices:
A. uses a shirt and wipes it along the floor, followed by pushing it away.
B. bends forward and wipes down an area of the rug.
C. adds paint to a bucket and cleans along the carpet.
D. continues using the tool along the sides and the camera fades to black shortly after.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
14545.0,Baton twirling,"The words ""conga the entertainers dance company flemington new jersey"" appears on screen. four young girls",A,"Context:
""The words ""conga the entertainers dance company flemington new jersey"" appears on screen. four young girls""

Which of the following endings best completes the context?

Choices:
A. perform on stage at the "" american dance championships.
B. dance in front of a mirror while singing their song.
C. are seen standing around followed by a male student speaking to the camera and feedback shown on the screen.
D. start marching down the sidewalk in front of the advertisement.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
49989.0,Preparing pasta,The mother and son cook pasta together. The mother brings the boy a plate. We see the refrigerator list. the mother,B,"Context:
""The mother and son cook pasta together. The mother brings the boy a plate. We see the refrigerator list. the mother""

Which of the following endings best completes the context?

Choices:
A. brings the boy nother plate.
B. takes a bite of the food and salutes the son who takes a bow.
C. shows the other son how to get the best stuff.
D. pours the boy a cup of water and mixes the pasta in a pot.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
5727.0,Using uneven bars,A female gymnast is spinning around a bar in a gym. She spins around the bar multiple times before dismounting. she,B,"Context:
""A female gymnast is spinning around a bar in a gym. She spins around the bar multiple times before dismounting. she""

Which of the following endings best completes the context?

Choices:
A. walks off the bar quickly after presenting her arms in the air.
B. lands on the mat, arms in the air.
C. is then seen riding down a hill while the crowd cheers and claps.
D. climbs onto a beam and conducts a routine.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
31477.0,Ironing clothes,The lady rubs the dress and straitens it out. The lady puts a shirt on the board then puts it back in the basket. the lady,B,"Context:
""The lady rubs the dress and straitens it out. The lady puts a shirt on the board then puts it back in the basket. the lady""

Which of the following endings best completes the context?

Choices:
A. puts the new clothes on and takes them off.
B. folds the dress, smiles and the scene ends.
C. gets on a green bike and puts the case on the back of it.
D. pulls a handle of a tool.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
17125.0,Fixing bicycle,A man comes to a stop riding a bike down a hillside and talks. the man,B,"Context:
""A man comes to a stop riding a bike down a hillside and talks. the man""

Which of the following endings best completes the context?

Choices:
A. ramps up the bike then passes cars on his way quickly down the hill.
B. stand in front of a rock wall talking.
C. is then shown pedaling on a bike with a very large crowd of people watching.
D. again rides up to a hill waking up in the end then continues riding.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
25268.0,Capoeira,Two men are doing martial arts with others around them watching. Many other men are shown doing several flips and tricks around each other. two men,C,"Context:
""Two men are doing martial arts with others around them watching. Many other men are shown doing several flips and tricks around each other. two men""

Which of the following endings best completes the context?

Choices:
A. are shown hitting people to give them an out and another man joins in.
B. are joined by a woman.
C. flip near each other while others around them watch.
D. stand on a mat while a man is bartending around them.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
40362.0,BMX,The bikers are going over a curbed surface at full speed. There are several other bikers doing the same activity on another curved surface. there,A,"Context:
""The bikers are going over a curbed surface at full speed. There are several other bikers doing the same activity on another curved surface. there""

Which of the following endings best completes the context?

Choices:
A. are five bikers wearing helmets standing ready to start a race.
B. are several other spectators kneeling on the curbs helping the group go over the top.
C. is a further change of event.
D. 's also a bull in a snowy area.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
20927.0,Carving jack-o-lanterns,"A woman cuts the top off the pumpkin, emptying the seeds. She then carves the traced lines to cut out the design. when she",C,"Context:
""A woman cuts the top off the pumpkin, emptying the seeds. She then carves the traced lines to cut out the design. when she""

Which of the following endings best completes the context?

Choices:
A. is done, she plays with.
B. is done, the pumpkin is gone.
C. is done, a tea light is placed inside the pumpkin and lit.
D. puts the wrap back on the pumpkin she describes it and the hat.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
26236.0,Plastering,A man is see laying plaster on a wall and rubbing it into the wall. Another man is seen using a tool along the wall. the men,C,"Context:
""A man is see laying plaster on a wall and rubbing it into the wall. Another man is seen using a tool along the wall. the men""

Which of the following endings best completes the context?

Choices:
A. then hang the exact same plaster on the wall.
B. then touch looks of the image after he is done.
C. continue working with one another and laying plaster down all along the wall.
D. continues rubbing the plaster onto the wall.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
36291.0,Putting on shoes,A close up of objects are shown with a person sitting down and taping her feet. the woman,D,"Context:
""A close up of objects are shown with a person sitting down and taping her feet. the woman""

Which of the following endings best completes the context?

Choices:
A. is then seen speaking to the camera in between the cuts and touching different items around her.
B. is then seen putting one shoe on and appears once again brushing her teeth.
C. then shines a shoe with a kit.
D. puts pads on her feet and begins putting her shoe on.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
42884.0,Calf roping,"A dirt clodden rodea is shown, as a man on a horse is released from a gate. he",D,"Context:
""A dirt clodden rodea is shown, as a man on a horse is released from a gate. he""

Which of the following endings best completes the context?

Choices:
A. lassos the animal and washes it down with water using hands and jaw.
B. raises his arms and transforms into a bull.
C. dismounts, ropes up his horse, and throws it away from the gate.
D. ropes a calf, dismounted to tie it up.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
30672.0,Brushing teeth,Someone is brushing their teeth with an electric toothbrush. They wear braces so they make sure to scrub all around very well. you,C,"Context:
""Someone is brushing their teeth with an electric toothbrush. They wear braces so they make sure to scrub all around very well. you""

Which of the following endings best completes the context?

Choices:
A. can read their lips when they are done.
B. can see it is sore because the teeth are getting scrubbed.
C. can see the tongue moving around never really being comfortable inside of the mouth.
D. can also see the clear toothpaste on their teeth.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
38755.0,Wakeboarding,Woman is doing water skiing in a river. Man is siting in a chair showing the right position to do water ski. woman,C,"Context:
""Woman is doing water skiing in a river. Man is siting in a chair showing the right position to do water ski. woman""

Which of the following endings best completes the context?

Choices:
A. is engulfed by a blue beam and sliding down.
B. put water in drinking cup in arm.
C. is in wate standing holding the pole and puting the shoes and the deep water starts.
D. is in board and is walking being in the water.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
18062.0,Putting on shoes,"The young man put his leg over his leg and put his socks and shoes, he did the same thing on other leg. the young man",D,"Context:
""The young man put his leg over his leg and put his socks and shoes, he did the same thing on other leg. the young man""

Which of the following endings best completes the context?

Choices:
A. jumped over the fence and landed in the sand.
B. get his tattoo covered and put it on his chest and.
C. stood up and walk leisurely in barefoot shoes.
D. tied his shoes and smiled to the camera and gave a thumbs up.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
11985.0,Playing drums,"A man is sitting at a drum set. He is playing the drums and cymbals, and talking to the camera. he",C,"Context:
""A man is sitting at a drum set. He is playing the drums and cymbals, and talking to the camera. he""

Which of the following endings best completes the context?

Choices:
A. continues to speak, and then spoons his face in a bowl of water.
B. continues playing the drums while looking to the camera.
C. shows the mechanics of the pedals and the effects on the drums as he uses them.
D. then finishes and backs away.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
22019.0,Windsurfing,Several people in swim trunks sail in a body of water with multi colored parasails. a person in the foreground in blue swim trunks,B,"Context:
""Several people in swim trunks sail in a body of water with multi colored parasails. a person in the foreground in blue swim trunks""

Which of the following endings best completes the context?

Choices:
A. and sail a boat in the water.
B. flips the sail over but the sail twists and lands on the bottom so that the person and the sail land on their feet.
C. and sail in the water.
D. and then walks away.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
1961.0,Drum corps,The marching bands are in positioned in the field. Then the band started to play their instruments. the ladies with flags,B,"Context:
""The marching bands are in positioned in the field. Then the band started to play their instruments. the ladies with flags""

Which of the following endings best completes the context?

Choices:
A. were playing the drums.
B. moved their flags up and down and rotate them as the band plays.
C. came to the camp site and started to help the mother and sisters clean the back of the bike.
D. on their backs walked on front the marching band.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
25313.0,Cricket,"A team is on a field as a runner throws the ball, which the batter hits and is caught. the coach",D,"Context:
""A team is on a field as a runner throws the ball, which the batter hits and is caught. the coach""

Which of the following endings best completes the context?

Choices:
A. waves the ball and the scores.
B. runs to the field and scores a goal as people cheer.
C. walks up, and the runner runs, kicking the ball to the field players and runs back to his teammates.
D. instructs the players as they continue the game.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
27444.0,Sharpening knives,Manis holding a knife above a sharpening rock. The man is passing the knife on the rock and sharp it. the man,C,"Context:
""Manis holding a knife above a sharpening rock. The man is passing the knife on the rock and sharp it. the man""

Which of the following endings best completes the context?

Choices:
A. used the knife to sharpen the knife in the bowl.
B. is sharpening the knife on a wooden spar.
C. cleans the knife with a cloth and is cuting a piece of paper to show the sharp.
D. is passing the sharpening stone on the rock.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
6134.0,Polishing shoes,A woman walks in the sidewalk holding a box with a white sign to polish shoes. then,B,"Context:
""A woman walks in the sidewalk holding a box with a white sign to polish shoes. then""

Which of the following endings best completes the context?

Choices:
A. stands in the street talking.
B. , the woman climbs the steps of a house, and a person gives her a bundle with shoes.
C. a woman use an oil and polish shoes from a shoe holding a black box.
D. , a man walks in the street and polish the white shoes.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
34022.0,Making a cake,The man stirs the mix then turns the mixer back on. The man mixes the mix and pours it into cake pans. the man,A,"Context:
""The man stirs the mix then turns the mixer back on. The man mixes the mix and pours it into cake pans. the man""

Which of the following endings best completes the context?

Choices:
A. taps the pans then puts the cake in the oven.
B. goes back and forth over the mix and smells it out before mixing the cookies.
C. places the pans in a trash can.
D. plays inside the fridge and adds bread and milk.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
48620.0,Shuffleboard,A man is talking inside a news room. A group is shown outside playing a game of curling. the people,A,"Context:
""A man is talking inside a news room. A group is shown outside playing a game of curling. the people""

Which of the following endings best completes the context?

Choices:
A. push the pucks and talk to the camera.
B. hold up handtowels and tapes and spray socks before commentating.
C. climbs the wall and play while the camera pans around the room.
D. push the 18 ball up and down the ice.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
39276.0,Fixing bicycle,A man gives a tutorial on how to change a bike tube. the wheel,B,"Context:
""A man gives a tutorial on how to change a bike tube. the wheel""

Which of the following endings best completes the context?

Choices:
A. at the back of the tube reverses and reverts back to the front.
B. is taken off, tire irons are put in, and the tube is removed.
C. pans to reveal the finished park.
D. is scraped, he puts gel over the site, then wraps it with big cloth on both wheels.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
41239.0,Playing congas,"A man is talking and playing drums in a split screen. As he explains the process, he uses his hands to beat out a tune. he",C,"Context:
""A man is talking and playing drums in a split screen. As he explains the process, he uses his hands to beat out a tune. he""

Which of the following endings best completes the context?

Choices:
A. moves his hands up and down and ends by taking off his glasses.
B. then trips up and falls to the ground.
C. continues talking and playing until it switches exclusively to him playing the drums.
D. stops and starts again to explain.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
9332.0,Cleaning shoes,White on black text appear for a while. Two boys are sitting on bleachers and talking. they,D,"Context:
""White on black text appear for a while. Two boys are sitting on bleachers and talking. they""

Which of the following endings best completes the context?

Choices:
A. continue playing a ball game.
B. are playing an archery type game.
C. go down the metal slide on their knees to sand the bottom and walk back up and around the track together.
D. explain how to keep shoes clean, by displaying a toothbrush and several spray cans.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
46169.0,Braiding hair,"A woman is seated on a couch, brushing another woman's hair. She proceeds to talk about how to do corn rows. she",D,"Context:
""A woman is seated on a couch, brushing another woman's hair. She proceeds to talk about how to do corn rows. she""

Which of the following endings best completes the context?

Choices:
A. continues walking as the woman talks.
B. begins to help the woman for a long time.
C. wets the shears, dancing as she then clips the curls into place.
D. demonstrates by adding multiple cornrows to the woman's hair.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
39005.0,Drinking coffee,A large monkey is seen walking up onto a tree branch. The camera pans around and back to the monkey who is now sitting on the branch. the monkey,C,"Context:
""A large monkey is seen walking up onto a tree branch. The camera pans around and back to the monkey who is now sitting on the branch. the monkey""

Which of the following endings best completes the context?

Choices:
A. is seen jumping up and down excitedly.
B. walks quickly down the tree and gets back onto the branch.
C. is then seen eating food and looking at the camera.
D. then walks to a sidewalk jumping down from the branch.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
27756.0,Wakeboarding,They hold onto the rope and wait in the water. The boat pulls the person in the water up and they are wake boarding. the boat,D,"Context:
""They hold onto the rope and wait in the water. The boat pulls the person in the water up and they are wake boarding. the boat""

Which of the following endings best completes the context?

Choices:
A. pulls all of them down as the water gets higher and they go boat surfing sometimes.
B. capsizes against the rocks.
C. eventually comes back and they move away.
D. pulls another person up out of the water onto a wake board.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
28130.0,Tumbling,The young gymnast demonstrates an exercise called a back-bend move. the young gymnast with the blue ribbon in her hair,C,"Context:
""The young gymnast demonstrates an exercise called a back-bend move. the young gymnast with the blue ribbon in her hair""

Which of the following endings best completes the context?

Choices:
A. performs the 2 front forward back-flipping back-forth affects palms.
B. shows a similar moving move.
C. performs a back walkover and a front walkover and a forward roll.
D. demonstrates another workout called a back-bend behind her.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
