question,question_concept,_split,answer,final_prompt,len_tk_phi3_mini_4k_instruct
When are people buying products more?,buying products,validation-00000-of-00001,B,"Question:
When are people buying products more?

Which of the following is the best response to the question?

Choices:
A. debt
B. economic boom
C. being able to use
D. disagreements
E. trading

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where does a group of beaver build a dam?,beaver,train-00000-of-00001,B,"Question:
Where does a group of beaver build a dam?

Which of the following is the best response to the question?

Choices:
A. canada
B. river or stream
C. kentucky
D. desert
E. montana

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where do people go if they are looking for a taxi?,people,train-00000-of-00001,B,"Question:
Where do people go if they are looking for a taxi?

Which of the following is the best response to the question?

Choices:
A. apartment
B. street corner
C. space shuttle
D. public place
E. garden

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Steam turns to vapor quickly when it is exposed to what?,steam,train-00000-of-00001,E,"Question:
Steam turns to vapor quickly when it is exposed to what?

Which of the following is the best response to the question?

Choices:
A. condensate
B. rain
C. liquid water
D. ice
E. cold air

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What might be felt by a crowd during an intense competition?,competing,train-00000-of-00001,A,"Question:
What might be felt by a crowd during an intense competition?

Which of the following is the best response to the question?

Choices:
A. tension
B. argument
C. sore muscles
D. stress
E. enemies

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The poet was being analyzed by younger people, where was this happening?",poet,train-00000-of-00001,D,"Question:
The poet was being analyzed by younger people, where was this happening?

Which of the following is the best response to the question?

Choices:
A. book store
B. university
C. home
D. classroom
E. speakeasy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Where might a ficus be at the entrance?,ficus,train-00000-of-00001,B,"Question:
Where might a ficus be at the entrance?

Which of the following is the best response to the question?

Choices:
A. arboretum
B. public building
C. wet places
D. great outdoors
E. home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What would you most likely use a blower to remove snow from?,snow,train-00000-of-00001,B,"Question:
What would you most likely use a blower to remove snow from?

Which of the following is the best response to the question?

Choices:
A. canada
B. ground
C. mountains
D. surface of earth
E. yukon

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The snake was cold, what did it seek?",snake,train-00000-of-00001,A,"Question:
The snake was cold, what did it seek?

Which of the following is the best response to the question?

Choices:
A. warm place
B. wooded area
C. blanket
D. sleeping bag
E. tropical forest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What does a person use to fight off disease?,person,train-00000-of-00001,A,"Question:
What does a person use to fight off disease?

Which of the following is the best response to the question?

Choices:
A. immune system
B. name
C. one head
D. grip
E. fingernails

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"If you're not leaving a home through the window, how would you leave?",window,train-00000-of-00001,C,"Question:
If you're not leaving a home through the window, how would you leave?

Which of the following is the best response to the question?

Choices:
A. office
B. wall
C. front door
D. wall
E. building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where would you get a dog if you do not have one?,dog,train-00000-of-00001,A,"Question:
Where would you get a dog if you do not have one?

Which of the following is the best response to the question?

Choices:
A. pet store
B. outside
C. neighbor's house
D. park
E. rug

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"If you needed a lamp to do your work, where would you put it?",lamp,train-00000-of-00001,A,"Question:
If you needed a lamp to do your work, where would you put it?

Which of the following is the best response to the question?

Choices:
A. office
B. desk
C. bedroom
D. desktop
E. corner

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where would you find a pot with something alive in it?,pot,train-00000-of-00001,C,"Question:
Where would you find a pot with something alive in it?

Which of the following is the best response to the question?

Choices:
A. kitchen drawer
B. closet
C. greenhouse
D. cupboard
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"If I want to open a steakhouse, what should I get first?",steakhouse,validation-00000-of-00001,E,"Question:
If I want to open a steakhouse, what should I get first?

Which of the following is the best response to the question?

Choices:
A. michigan
B. florida
C. wine
D. texas
E. building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
What room is likely to have a sideboard on the counter?,sideboard,validation-00000-of-00001,E,"Question:
What room is likely to have a sideboard on the counter?

Which of the following is the best response to the question?

Choices:
A. home
B. serve food buffet
C. dining room
D. living room
E. kitchen

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
What do we do if we rise something and want to put it back down?,rise,train-00000-of-00001,D,"Question:
What do we do if we rise something and want to put it back down?

Which of the following is the best response to the question?

Choices:
A. fall
B. sun set
C. below
D. lower
E. place

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What would someone say about a tube television?,television,train-00000-of-00001,A,"Question:
What would someone say about a tube television?

Which of the following is the best response to the question?

Choices:
A. obsolete
B. addictive
C. entertaining
D. bycone
E. legal

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where is a snake likely to startle a farmer?,snake,train-00000-of-00001,E,"Question:
Where is a snake likely to startle a farmer?

Which of the following is the best response to the question?

Choices:
A. tropical forest
B. tree
C. pet shops
D. book store
E. feild

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
A person who has a good sense of humor is often called?,person,train-00000-of-00001,A,"Question:
A person who has a good sense of humor is often called?

Which of the following is the best response to the question?

Choices:
A. witty
B. go home
C. compliments
D. good
E. details

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
When making a list what comes after the main item?,main,train-00000-of-00001,C,"Question:
When making a list what comes after the main item?

Which of the following is the best response to the question?

Choices:
A. minor
B. impossibles
C. secondary
D. maintopmast
E. peripheral

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What is a landscape gardner likely to do?,gardner,train-00000-of-00001,C,"Question:
What is a landscape gardner likely to do?

Which of the following is the best response to the question?

Choices:
A. water lawn
B. water plants
C. plant trees
D. garden roses
E. playing on ground

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Getting a gift you wanted for you birthday will cause what state?,getting,train-00000-of-00001,D,"Question:
Getting a gift you wanted for you birthday will cause what state?

Which of the following is the best response to the question?

Choices:
A. disappointment
B. angry
C. then have
D. being happy
E. headaches

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
What is the worst thing that someone can do while driving?,driving car,train-00000-of-00001,C,"Question:
What is the worst thing that someone can do while driving?

Which of the following is the best response to the question?

Choices:
A. getting somewhere
B. use gas
C. doze off
D. listening others
E. speeding ticket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"Pens, computers, text books and paper clips can all be found where?",paper clips,validation-00000-of-00001,B,"Question:
Pens, computers, text books and paper clips can all be found where?

Which of the following is the best response to the question?

Choices:
A. desktop
B. university
C. drawer
D. table
E. work

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where do people sit outside on bleachers?,bleachers,train-00000-of-00001,B,"Question:
Where do people sit outside on bleachers?

Which of the following is the best response to the question?

Choices:
A. gymnasium
B. sporting event
C. seat with view
D. pharmacy
E. picnic

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"The office needed new computers, but it would be quite what to upgrade?",computers,train-00000-of-00001,A,"Question:
The office needed new computers, but it would be quite what to upgrade?

Which of the following is the best response to the question?

Choices:
A. expensive
B. dumb
C. fun
D. fast
E. do work

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where do gutters prevent a ball from becoming runway?,runway,train-00000-of-00001,A,"Question:
Where do gutters prevent a ball from becoming runway?

Which of the following is the best response to the question?

Choices:
A. bowling alley
B. city
C. military base
D. fashion show
E. football game

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What is committing perjury likely to lead to?,committing perjury,train-00000-of-00001,B,"Question:
What is committing perjury likely to lead to?

Which of the following is the best response to the question?

Choices:
A. shame
B. arrest
C. embarrassment
D. go to jail
E. tension

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where can you find a tennis court for non professionals?,tennis court,train-00000-of-00001,C,"Question:
Where can you find a tennis court for non professionals?

Which of the following is the best response to the question?

Choices:
A. athletic club
B. country club
C. recreational center
D. college campus
E. zoo

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"When you love someone, what will that person most likely do?",love,train-00000-of-00001,C,"Question:
When you love someone, what will that person most likely do?

Which of the following is the best response to the question?

Choices:
A. give money
B. cost nothing
C. bring joy
D. last forever
E. hurt

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where would people go if they want to talk to someone?,people,train-00000-of-00001,E,"Question:
Where would people go if they want to talk to someone?

Which of the following is the best response to the question?

Choices:
A. opera
B. park
C. end of line
D. bus depot
E. neighbor's house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Where would you put your car keys if you want to go driving?,car keys,train-00000-of-00001,A,"Question:
Where would you put your car keys if you want to go driving?

Which of the following is the best response to the question?

Choices:
A. ignition switch
B. pocket
C. purse
D. home
E. trunk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What institution are you trying to dissolve if you're getting a divorce?,getting divorce,train-00000-of-00001,B,"Question:
What institution are you trying to dissolve if you're getting a divorce?

Which of the following is the best response to the question?

Choices:
A. court
B. marriage
C. being married
D. two people
E. lawyer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
What could you find at a bus station that can help you?,bus station,train-00000-of-00001,C,"Question:
What could you find at a bus station that can help you?

Which of the following is the best response to the question?

Choices:
A. city centre
B. lottery ticket
C. maps
D. street
E. busy city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
They decided to employ prisoners to dig lines to help fight the what?,employ,train-00000-of-00001,A,"Question:
They decided to employ prisoners to dig lines to help fight the what?

Which of the following is the best response to the question?

Choices:
A. fire
B. work for
C. sack
D. lay off
E. make redundant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"They needed human to act out motion capture, what were they producing?",humans,train-00000-of-00001,B,"Question:
They needed human to act out motion capture, what were they producing?

Which of the following is the best response to the question?

Choices:
A. university
B. movies
C. actors
D. cafe
E. movie theatre

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The trees turned color and it got cold, fall had officially taken over what?",fall,train-00000-of-00001,C,"Question:
The trees turned color and it got cold, fall had officially taken over what?

Which of the following is the best response to the question?

Choices:
A. the universe
B. stand up
C. summer
D. feel stupid
E. standing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Wood has been replaced by what in most people's dwellings?,wood,train-00000-of-00001,D,"Question:
Wood has been replaced by what in most people's dwellings?

Which of the following is the best response to the question?

Choices:
A. own home
B. lumberyard
C. tree
D. carpet
E. water

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The church was giving assistance, what were they hoping to accomplish?",giving assistance,validation-00000-of-00001,D,"Question:
The church was giving assistance, what were they hoping to accomplish?

Which of the following is the best response to the question?

Choices:
A. exhilliration
B. hardship
C. risk taking
D. helping others
E. happiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where are people most likely to ride a bicycle beside canals?,bicycle,train-00000-of-00001,B,"Question:
Where are people most likely to ride a bicycle beside canals?

Which of the following is the best response to the question?

Choices:
A. university
B. netherlands
C. schoolyard
D. road
E. garage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Before someone can adopt the parent must do what with their offspring?,adopt,train-00000-of-00001,B,"Question:
Before someone can adopt the parent must do what with their offspring?

Which of the following is the best response to the question?

Choices:
A. biological child
B. give away
C. birth
D. abandon
E. orphan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
As the round object rolls down the ramp it will what?,object,train-00000-of-00001,D,"Question:
As the round object rolls down the ramp it will what?

Which of the following is the best response to the question?

Choices:
A. sound well
B. fly
C. become broken
D. gain speed
E. fall into hole

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Where in your home would you store a satchel?,satchel,train-00000-of-00001,A,"Question:
Where in your home would you store a satchel?

Which of the following is the best response to the question?

Choices:
A. room
B. desk
C. clothing store
D. school
E. luggage compartment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Where does a lizard that needs warmth likely live?,lizard,train-00000-of-00001,C,"Question:
Where does a lizard that needs warmth likely live?

Which of the following is the best response to the question?

Choices:
A. garden
B. new mexico books
C. tropics
D. china
E. forrest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What is the way that couples like to have fun?,have fun,train-00000-of-00001,B,"Question:
What is the way that couples like to have fun?

Which of the following is the best response to the question?

Choices:
A. laughter
B. have sex
C. crying
D. spontaneous
E. enjoy yourself

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where could you find a seat that sometimes vibrates?,seat,train-00000-of-00001,C,"Question:
Where could you find a seat that sometimes vibrates?

Which of the following is the best response to the question?

Choices:
A. mall
B. in cinema
C. airplane
D. martorell
E. auditorium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Where could someone give you a plate with a grape on it?,grape,train-00000-of-00001,B,"Question:
Where could someone give you a plate with a grape on it?

Which of the following is the best response to the question?

Choices:
A. salad
B. restaurant
C. grocery store
D. kitchen
E. food store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Where would you find a sign and a long line of cars behind it?,sign,train-00000-of-00001,D,"Question:
Where would you find a sign and a long line of cars behind it?

Which of the following is the best response to the question?

Choices:
A. texas
B. city
C. street corner
D. roadblock
E. bus stop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
What room would you find many bookcases and is used for contemplation?,bookcase,validation-00000-of-00001,A,"Question:
What room would you find many bookcases and is used for contemplation?

Which of the following is the best response to the question?

Choices:
A. study
B. house
C. homw
D. kitchen
E. den

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where is the best place to get a bicycle for a child?,bicycle,train-00000-of-00001,A,"Question:
Where is the best place to get a bicycle for a child?

Which of the following is the best response to the question?

Choices:
A. toy store
B. fun
C. street
D. university
E. garage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"If you are playing poker, what are you doing?",playing poker,train-00000-of-00001,C,"Question:
If you are playing poker, what are you doing?

Which of the following is the best response to the question?

Choices:
A. recreation
B. losing money
C. game playing
D. distributing cards
E. fun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"I brought the mail in, where should I put it?",mail,train-00000-of-00001,D,"Question:
I brought the mail in, where should I put it?

Which of the following is the best response to the question?

Choices:
A. neighbor's house
B. post office
C. fridge
D. table
E. bathroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What do people aim to do at work?,people,validation-00000-of-00001,A,"Question:
What do people aim to do at work?

Which of the following is the best response to the question?

Choices:
A. complete job
B. learn from each other
C. kill animals
D. wear hats
E. talk to each other

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"When Catholic people experience stress, what do they do?",people,train-00000-of-00001,A,"Question:
When Catholic people experience stress, what do they do?

Which of the following is the best response to the question?

Choices:
A. cross themselves
B. teach each other
C. burn themselves
D. talk to each other
E. die

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"If I see a laptop on a table, where might I be?",table,train-00000-of-00001,B,"Question:
If I see a laptop on a table, where might I be?

Which of the following is the best response to the question?

Choices:
A. livingroom
B. internet cafe
C. floor
D. dining room
E. meeting

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Exercising by lifting weights will give you large what?,exercising,train-00000-of-00001,C,"Question:
Exercising by lifting weights will give you large what?

Which of the following is the best response to the question?

Choices:
A. breaths
B. shortness of breath
C. muscles
D. effort
E. discipline

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
What is required for someone to be chatting with friends?,chatting with friends,train-00000-of-00001,D,"Question:
What is required for someone to be chatting with friends?

Which of the following is the best response to the question?

Choices:
A. going to school
B. phone
C. socialcapabilities
D. having friends
E. computer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
You can use a stick to swat at what growing in a field?,stick,train-00000-of-00001,E,"Question:
You can use a stick to swat at what growing in a field?

Which of the following is the best response to the question?

Choices:
A. woods
B. forest
C. bicycle spokes
D. home
E. grass

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Where is a traffic artery likely to be clogged?,traffic artery,train-00000-of-00001,B,"Question:
Where is a traffic artery likely to be clogged?

Which of the following is the best response to the question?

Choices:
A. high traffic area
B. major city
C. town
D. traffic lights
E. highway

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
When starting a fire near oxygen what can happen?,starting fire,train-00000-of-00001,E,"Question:
When starting a fire near oxygen what can happen?

Which of the following is the best response to the question?

Choices:
A. warmth
B. chaos
C. unpredictable
D. disaster
E. explosion

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What is a place with pictures that a small dog is not allowed into?,small dog,train-00000-of-00001,A,"Question:
What is a place with pictures that a small dog is not allowed into?

Which of the following is the best response to the question?

Choices:
A. movies
B. photograph
C. laboratory
D. basket
E. museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What often happens after a long day of traveling?,traveling,train-00000-of-00001,E,"Question:
What often happens after a long day of traveling?

Which of the following is the best response to the question?

Choices:
A. sickness
B. motion sickness
C. relocation
D. jet lag
E. fatigue

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"A gentleman is carrying equipment for golf, what is he likely to have?",gentleman,validation-00000-of-00001,A,"Question:
A gentleman is carrying equipment for golf, what is he likely to have?

Which of the following is the best response to the question?

Choices:
A. club
B. assembly hall
C. meditation center
D. meeting
E. church

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"He was jealous of the winner, his eyes were what with envy?",eyes,train-00000-of-00001,A,"Question:
He was jealous of the winner, his eyes were what with envy?

Which of the following is the best response to the question?

Choices:
A. green
B. see light
C. blue
D. brown
E. red

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The wheel was loose, and threatened to fall off when they were what?",loose,train-00000-of-00001,C,"Question:
The wheel was loose, and threatened to fall off when they were what?

Which of the following is the best response to the question?

Choices:
A. footloose
B. sailing
C. fast
D. tighten
E. bind

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
On what can you relax in your bedroom other than your bed?,bed,train-00000-of-00001,B,"Question:
On what can you relax in your bedroom other than your bed?

Which of the following is the best response to the question?

Choices:
A. footbed
B. chair
C. sofa
D. furniture
E. couch

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What can be done with a product on a table?,table,train-00000-of-00001,B,"Question:
What can be done with a product on a table?

Which of the following is the best response to the question?

Choices:
A. apartment
B. demonstration
C. tablecloth
D. dining room
E. furniture store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
What is the largest state with a coast in the US?,coast,train-00000-of-00001,C,"Question:
What is the largest state with a coast in the US?

Which of the following is the best response to the question?

Choices:
A. new york
B. florida
C. california
D. country
E. united states

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
If it is Chrismas time what came most recently before?,christmas,validation-00000-of-00001,A,"Question:
If it is Chrismas time what came most recently before?

Which of the following is the best response to the question?

Choices:
A. halloween
B. summer
C. easter
D. kwaanza
E. give gift

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The membrane could be observed through magnification, it protected the what?",membrane,train-00000-of-00001,B,"Question:
The membrane could be observed through magnification, it protected the what?

Which of the following is the best response to the question?

Choices:
A. protect
B. cell
C. filtration
D. animal
E. fresh egg

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What causes meeting people to be preceded by meditation?,meeting people,train-00000-of-00001,C,"Question:
What causes meeting people to be preceded by meditation?

Which of the following is the best response to the question?

Choices:
A. being bored
B. panic attack
C. anxiety
D. making new friends
E. love

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
In what state would you find the Shenandoah Valley?,valley,train-00000-of-00001,A,"Question:
In what state would you find the Shenandoah Valley?

Which of the following is the best response to the question?

Choices:
A. west virginia
B. mountainous region
C. montana
D. continent
E. earth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"If you practice answering questions, what positive thing will happen?",answering questions,train-00000-of-00001,B,"Question:
If you practice answering questions, what positive thing will happen?

Which of the following is the best response to the question?

Choices:
A. good habits
B. better grade
C. sharing information
D. getting tired
E. correct

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
There is often a final exam at the end of each quarter of what?,quarter,train-00000-of-00001,C,"Question:
There is often a final exam at the end of each quarter of what?

Which of the following is the best response to the question?

Choices:
A. quarterlight
B. hour
C. school year
D. semester
E. hundredweight

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"If an apple tree were in the North, where would it be?",apple tree,train-00000-of-00001,E,"Question:
If an apple tree were in the North, where would it be?

Which of the following is the best response to the question?

Choices:
A. alaska
B. farm yard
C. park
D. flowers
E. new jersey

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Where do kids in elementary school keep grapes?,grape,train-00000-of-00001,D,"Question:
Where do kids in elementary school keep grapes?

Which of the following is the best response to the question?

Choices:
A. kitchen
B. wine country
C. fridge
D. lunch box
E. food store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where is tomato sauce delicious?,tomatoes,train-00000-of-00001,D,"Question:
Where is tomato sauce delicious?

Which of the following is the best response to the question?

Choices:
A. market
B. refrigerator
C. grown in vegetable garden
D. pizza
E. cake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"If you ate some spicy food, what could happen to you?",eating dinner,train-00000-of-00001,D,"Question:
If you ate some spicy food, what could happen to you?

Which of the following is the best response to the question?

Choices:
A. medium
B. illness
C. throwing up
D. heartburn
E. sleepiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
How would an artist create a fox?,fox,train-00000-of-00001,A,"Question:
How would an artist create a fox?

Which of the following is the best response to the question?

Choices:
A. painting
B. england
C. wooded areas
D. ask them first
E. chicken coop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What has a cash register with a limited items line?,cash register,train-00000-of-00001,B,"Question:
What has a cash register with a limited items line?

Which of the following is the best response to the question?

Choices:
A. bookstore
B. supermarket
C. toy store
D. candy store
E. shop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where is a note likely to indicate a melody?,note,train-00000-of-00001,E,"Question:
Where is a note likely to indicate a melody?

Which of the following is the best response to the question?

Choices:
A. fridge
B. a classroom
C. envelope
D. medical chart
E. sheet music

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where would you find a horse in the desert?,horse,train-00000-of-00001,B,"Question:
Where would you find a horse in the desert?

Which of the following is the best response to the question?

Choices:
A. canada
B. american southwest
C. state fair
D. central park
E. texas

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What is a salesman responsible to do at work?,salesman,validation-00000-of-00001,D,"Question:
What is a salesman responsible to do at work?

Which of the following is the best response to the question?

Choices:
A. traveling to chicago
B. get fired
C. books
D. sell products
E. service account

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where would you store potatoes for the winter?,potatoes,train-00000-of-00001,C,"Question:
Where would you store potatoes for the winter?

Which of the following is the best response to the question?

Choices:
A. countryside
B. sliced
C. cellar
D. restaurant
E. fried

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What is something that isn't the main focus of a video?,main,train-00000-of-00001,A,"Question:
What is something that isn't the main focus of a video?

Which of the following is the best response to the question?

Choices:
A. peripheral
B. secondary
C. maintopmast
D. characters
E. minor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
where do you buy the freshest apples?,apples,train-00000-of-00001,C,"Question:
where do you buy the freshest apples?

Which of the following is the best response to the question?

Choices:
A. shop
B. fridge
C. farmers market
D. a tree
E. grocery store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where is the ticket booth often outside the building?,ticket booth,train-00000-of-00001,C,"Question:
Where is the ticket booth often outside the building?

Which of the following is the best response to the question?

Choices:
A. train station
B. stadium
C. auditorium
D. subway
E. venue

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Little cameras in the car made doing what easier?,car,train-00000-of-00001,E,"Question:
Little cameras in the car made doing what easier?

Which of the following is the best response to the question?

Choices:
A. technical difficulties
B. heat up
C. carpooler
D. set off
E. back up

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where can you buy a replacement ax handle?,handle,validation-00000-of-00001,B,"Question:
Where can you buy a replacement ax handle?

Which of the following is the best response to the question?

Choices:
A. bathroom
B. hardware store
C. water fountain
D. grocery store
E. fridge

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"When playing baseball they keep track of mistakes, this stat is called what?",playing baseball,train-00000-of-00001,E,"Question:
When playing baseball they keep track of mistakes, this stat is called what?

Which of the following is the best response to the question?

Choices:
A. happiness
B. sore muscles
C. injury
D. perfection
E. errors

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Finding information in an old library requires what in a card catalog?,finding information,train-00000-of-00001,B,"Question:
Finding information in an old library requires what in a card catalog?

Which of the following is the best response to the question?

Choices:
A. chewing
B. searching for
C. ask questions
D. logic
E. time

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The child was spiteful of his parents, what did he do?",child,train-00000-of-00001,E,"Question:
The child was spiteful of his parents, what did he do?

Which of the following is the best response to the question?

Choices:
A. become adult
B. succeeded
C. grow up
D. ask questions
E. acting out

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
