ind,activity_label,ctx,answer,final_prompt,len_tk_llama3.1_8b_instruct
44429.0,Using the rowing machine,A man is inside a gym while speaking to the camera. Other men are working out behind him. he,D,"Context:
""A man is inside a gym while speaking to the camera. Other men are working out behind him. he""

Which of the following endings best completes the context?

Choices:
A. continues to speak, demonstrating how to wear a pair.
B. demonstrates how to use a push mower to mow the lawn.
C. holds up a selfie stick and shows how to use it to send a picture.
D. demonstrates via volunteer how to use a rowing machine.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
36859.0,Hopscotch,A girl in a blue dress plays hopscotch hopping in the squares. The girl wearing a pink dress hops in the hop scotch course. the girl in the blue dress,B,"Context:
""A girl in a blue dress plays hopscotch hopping in the squares. The girl wearing a pink dress hops in the hop scotch course. the girl in the blue dress""

Which of the following endings best completes the context?

Choices:
A. stops hopscotch jumping and takes a minute before she stops.
B. hops for a second time.
C. circles the hopscotch squares.
D. sticks her left foot out in front of her to prevent fall.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
19411.0,Doing fencing,Two men are fencing inside a gym. they,A,"Context:
""Two men are fencing inside a gym. they""

Which of the following endings best completes the context?

Choices:
A. stab and jab at each other as they fence.
B. are using throwing stars and small swords to hit each other and then a man walks in and picks them up.
C. throw the swords down and another female runs over to the fighting men.
D. stick their necks out, trying to keep the other one in their corner.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
11652.0,Cutting the grass,A man walks up to the side of a cabin. He uses a large knife to cut through the grass. he,D,"Context:
""A man walks up to the side of a cabin. He uses a large knife to cut through the grass. he""

Which of the following endings best completes the context?

Choices:
A. places a cloth on a branch as he cuts.
B. grabs a bag and kneels on the floor pointing to two pieces of wood.
C. pulls up the tree off the ground before cutting it.
D. swings the knife back and forth, cutting the grass and weeds.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
41162.0,Hitting a pinata,A young boy attempts to break open a pinata at his birthday party inside a garage. another boy,B,"Context:
""A young boy attempts to break open a pinata at his birthday party inside a garage. another boy""

Which of the following endings best completes the context?

Choices:
A. skateboards inside and walks away wearing a mask.
B. nearly walks into the range of the boy's stick but is saved by an adult.
C. attempts to break a pinata at his birthday party.
D. is shown breaking open a beer keg inside a garage as well.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
5253.0,Carving jack-o-lanterns,The woman scoops out the pumpkin seeds with a spoon and puts the seeds in a halloween themed paper cup. the woman,D,"Context:
""The woman scoops out the pumpkin seeds with a spoon and puts the seeds in a halloween themed paper cup. the woman""

Which of the following endings best completes the context?

Choices:
A. makes a greenish mold into a pumpkin.
B. put a disposable coffee cup in the pumpkin to fill up with milk.
C. adds pumpkin oil to those pumpkins.
D. continues carving the face of the pumpkin to turn it into a jack-o-lantern.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
17227.0,Putting on makeup,Several clips are shown of people sitting next to another with men putting makeup on. The men put makeup all along the women while speaking to one another. the couples,C,"Context:
""Several clips are shown of people sitting next to another with men putting makeup on. The men put makeup all along the women while speaking to one another. the couples""

Which of the following endings best completes the context?

Choices:
A. then stand up against one another.
B. continue to dance and the men kiss into the camera.
C. then show off their work in the end.
D. dance together with liquid eyeliner in their eyes as they dance.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
37972.0,Slacklining,A man walks on a tight rope between two sheer rock faces. A view of an old world european city is seen. the man,D,"Context:
""A man walks on a tight rope between two sheer rock faces. A view of an old world european city is seen. the man""

Which of the following endings best completes the context?

Choices:
A. jumps off the little rope and stands in the middle of the rock.
B. falls into a pool in front of the rocks.
C. bungee jumps and floats across a water.
D. sits on a the tight rope high up in the air.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
22218.0,Windsurfing,A camera pans around a group of people sitting at a table followed by a man holding a surf board. the man,D,"Context:
""A camera pans around a group of people sitting at a table followed by a man holding a surf board. the man""

Which of the following endings best completes the context?

Choices:
A. begins surfing with a paddle and waves to the camera.
B. turns the board and begins surfing hitting the waves while looking back to the camera.
C. begins board boarding through the water into the extreme distance.
D. carries the board out onto the water and begins riding the water.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
15417.0,River tubing,A woman walks to the bank of a river holding a camera. suddenly,D,"Context:
""A woman walks to the bank of a river holding a camera. suddenly""

Which of the following endings best completes the context?

Choices:
A. , a surfer is sideways throwing a discus.
B. , a group of people kayak in the river under a bridge while a clock watches in the distance.
C. , a person sail in the water and falls on the bank.
D. , two men appears sailing in inflatable boats while the woman takes pictures.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
36309.0,Cleaning windows,"A man rides a motorcycle into a parking spot. He gets off the bike, and shows how to clean a large window. he",A,"Context:
""A man rides a motorcycle into a parking spot. He gets off the bike, and shows how to clean a large window. he""

Which of the following endings best completes the context?

Choices:
A. wipes it down and scrapes it clean with brushes.
B. then clips the edges of the window.
C. cleans the glass from the back a window before stepping clear.
D. sprays the window with paint, then sprays it with other products.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
11187.0,Tumbling,A large crowd applauds the performance. Other gymnast look on and nod with approval. A replay shows the gymnasts performance in slow motion. the gymnast,D,"Context:
""A large crowd applauds the performance. Other gymnast look on and nod with approval. A replay shows the gymnasts performance in slow motion. the gymnast""

Which of the following endings best completes the context?

Choices:
A. runs back and forth over the bars after the performance, as the crowd cheers.
B. walks to replay the performance.
C. puts on bongo sticks and celebrates the performance.
D. sits with her coach and is congratulated.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
37937.0,Painting,First the man introduces himself and what he does. then he,A,"Context:
""First the man introduces himself and what he does. then he""

Which of the following endings best completes the context?

Choices:
A. shows us how he paints a picture of nature.
B. fills in small paper cups with water and dumps it on the top of the mower.
C. shows the product he is using to make raises in rates.
D. shows how he does a hand stand on a barbell, he stands on his head for a long time.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
14532.0,Trimming branches or hedges,"A shadow is on the ground, caused by a designed shrub. a man",B,"Context:
""A shadow is on the ground, caused by a designed shrub. a man""

Which of the following endings best completes the context?

Choices:
A. runs down the sidewalk and knocks into the hedge.
B. is shown outdoors, showing off his multitude of decorative bushes in his yard.
C. is standing in front of a group of shrubbery where lawn ornaments have been taken from the lines.
D. is removing tree limbs with the help of a tripod.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
42860.0,Drum corps,"The marching band pass on front a carnival and a green field. Then, the marching band arrives to a city. an old man holding a trophy",C,"Context:
""The marching band pass on front a carnival and a green field. Then, the marching band arrives to a city. an old man holding a trophy""

Which of the following endings best completes the context?

Choices:
A. and a paul bunyan hat passes behind the marching band.
B. and three band members throws a white confetti.
C. walks on front the marching band.
D. is feeling happy being with the young band in this city so they can see.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
4342.0,High jump,A large mat is seen with a bar on top and two people watching on the sides. A man is then seen running in from the side. the man,B,"Context:
""A large mat is seen with a bar on top and two people watching on the sides. A man is then seen running in from the side. the man""

Which of the following endings best completes the context?

Choices:
A. takes his jacket off and begins beating a bag over and over.
B. jumps over the beam and stands up on the mat.
C. then throws a ball down onto the mat.
D. then performs several more lifts on the bar.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
563.0,Starting a campfire,A shirtless man is standing on porch while instructing how to build a redneck fire. he,D,"Context:
""A shirtless man is standing on porch while instructing how to build a redneck fire. he""

Which of the following endings best completes the context?

Choices:
A. starts by filling in logs and then applies the wood to the porch as quickly as possible.
B. shows a blue lit flame with his hands.
C. starts with a few bat shaped logs to create a flame, which flames themselves up.
D. shows a beer bottle and some other alcohol cans.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
17798.0,Rope skipping,Three of them at the front roll to the side and retreat to the back. The scene changes to a different group doing jump rope tricks. the scene,B,"Context:
""Three of them at the front roll to the side and retreat to the back. The scene changes to a different group doing jump rope tricks. the scene""

Which of the following endings best completes the context?

Choices:
A. changes to another set and the jump roping repeats.
B. changes to the original group performing jump rope tricks.
C. goes back to the jump ropes in the beach area.
D. switches back to the jumping rope tricks themselves.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
38042.0,Snow tubing,A man in a green jacket rides the rope tow on an inner tube. different people,C,"Context:
""A man in a green jacket rides the rope tow on an inner tube. different people""

Which of the following endings best completes the context?

Choices:
A. are shown doing the ropes, lead to them performing stunts and other tricks.
B. inside the inner tube inside of a park fall from the inner tube.
C. are featured riding down the slope on inner tubes.
D. are shown riding down the river on inner tubes and a group rides behind a boat.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
40779.0,Using the rowing machine,A large exercise machine is shown. a man,B,"Context:
""A large exercise machine is shown. a man""

Which of the following endings best completes the context?

Choices:
A. is inside the machine, using the gadget.
B. sits down and starts working out on the exercise machine.
C. then holds the handle of the machine as well as the back of the head and then a frisbee is thrown.
D. sits in front of the machine, then pulls back on a handle bar and prepares to do hand stands.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
44143.0,Playing squash,"She demonstrates the technique with his racquet. He then goes into a room, and plays a game of racquetball with a man. they",C,"Context:
""She demonstrates the technique with his racquet. He then goes into a room, and plays a game of racquetball with a man. they""

Which of the following endings best completes the context?

Choices:
A. knock each other down as they play.
B. hold hands as they go back and forth.
C. hit the ball back and forth against the wall.
D. return is at which she discusses what she has learned as the first time around.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
4269.0,Clean and jerk,A man is seen bending down before a large weight while looking off into the distance. he,D,"Context:
""A man is seen bending down before a large weight while looking off into the distance. he""

Which of the following endings best completes the context?

Choices:
A. lifts the weight up to his chest and jumps back down to grab it off the ground.
B. lifts the weight up to his face when yells out to the camera.
C. continues lifting the weight around his neck while others watch on the side.
D. then picks the weight up over his head.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
41627.0,Fun sliding down,A boy stands from the bottom of a slide and walk away. other kids,D,"Context:
""A boy stands from the bottom of a slide and walk away. other kids""

Which of the following endings best completes the context?

Choices:
A. are standing with games set up when the man rides down and swings on the slide.
B. climb from the depths as a man stands in the middle of the slide holding a sign.
C. are shown walking with the rest of the kids and leads into several moves.
D. slide on another slide in the playground.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
5600.0,Using the pommel horse,A man is seen rubbing his hands together in powder and walking over to a beam. he,D,"Context:
""A man is seen rubbing his hands together in powder and walking over to a beam. he""

Which of the following endings best completes the context?

Choices:
A. begins swinging back and fourth with a stick.
B. holds up a wooden bucket and pulls out a bag of paint and begins mixing up a shot put.
C. then throws one on the floor and begins putting decorations on the beam.
D. raises his arms up and begins spinning all around on the beam.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
3569.0,Wakeboarding,A jet ski is parked and a man is riding one. we,D,"Context:
""A jet ski is parked and a man is riding one. we""

Which of the following endings best completes the context?

Choices:
A. see a demonstration of how to fly one of the helicopters use a parachuting pole.
B. see a bar appear in the background and a news anchor.
C. see a person down below flying the plane.
D. see a man's name on the screen and a man behind a boat and a man jet skiing and flipping around.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
42265.0,Fixing bicycle,The man puts the handlebars back on. The man moves to the front of the bike to adjust the handlebars. the man,D,"Context:
""The man puts the handlebars back on. The man moves to the front of the bike to adjust the handlebars. the man""

Which of the following endings best completes the context?

Choices:
A. puts the handlebars back on the bike.
B. takes the handlebars off the bike manually.
C. turns the front wheel of the bike to face the left and turns the handlebars backward.
D. then finishes tightening the bolt on the handlebar.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
16042.0,Shoveling snow,Two people are seen hosing a news segment that leads into a man speaking in a snow storm. cars,B,"Context:
""Two people are seen hosing a news segment that leads into a man speaking in a snow storm. cars""

Which of the following endings best completes the context?

Choices:
A. move on snowy roads while people jump into the car and ski.
B. are shown off the roads as well as people driving around.
C. drive past on a city street as well as on sidewalks.
D. drives passing interviews with other people and shots of snow are shown.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
29527.0,Running a marathon,We see a lady and a man interviewed and see a store window. We see people running and another lady is interviewed and we return to the runners. the lady,D,"Context:
""We see a lady and a man interviewed and see a store window. We see people running and another lady is interviewed and we return to the runners. the lady""

Which of the following endings best completes the context?

Choices:
A. talks to the camera and runs, then is interviewed.
B. gives a video about the various runners she is running with.
C. is interviewed and we see clips of people on the runners.
D. speaks and we see the runners.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
8759.0,Roof shingle removal,A man is shown on top of a roof. He is removing shingles one by one with a tool. he,A,"Context:
""A man is shown on top of a roof. He is removing shingles one by one with a tool. he""

Which of the following endings best completes the context?

Choices:
A. then replaces the shingles, drilling them back into place.
B. is soaping the metal surfaces of the roof.
C. then throws the tiles down on top of the ceiling while continuing to work.
D. is then seen in several clips hanging from a metal beam.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
33448.0,Washing face,A young child is seen sitting next to a tub and bending over the side. a person,A,"Context:
""A young child is seen sitting next to a tub and bending over the side. a person""

Which of the following endings best completes the context?

Choices:
A. speaks to her on the side while she looks back to the camera.
B. then begins wrapping her in wrapping paper.
C. then pours water in the tub making it appear clean and a woman stands by the tub.
D. then lifts the girl onto their shoulders and lays her on a tub.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
12199.0,Beach soccer,Man is doing a corner and scores a goal and ruun to his teammates to celebrate. the game start te game and men,D,"Context:
""Man is doing a corner and scores a goal and ruun to his teammates to celebrate. the game start te game and men""

Which of the following endings best completes the context?

Choices:
A. start doing front is to the goal taking hits in the game.
B. start dancing and throwing the ball holding all the bowls as score again.
C. are celebrating is guiness.
D. keeps running and scores another goal and celebrates while there s a repetition.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
11332.0,Hitting a pinata,A camera pans around a group of people standing around each other with one spinning in circles. a man,C,"Context:
""A camera pans around a group of people standing around each other with one spinning in circles. a man""

Which of the following endings best completes the context?

Choices:
A. walks into frame and bends down to begins hurling.
B. then walks forward with a jack hammering around a piece of wood.
C. pushing the spinning girl around and around and zooms in on a pinata.
D. flips several times and a ladies ref yells at the man.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
33289.0,Breakdancing,A young child is seen standing on a stage with others and one begins dancing in the middle. the young boy,A,"Context:
""A young child is seen standing on a stage with others and one begins dancing in the middle. the young boy""

Which of the following endings best completes the context?

Choices:
A. then moves in the middle taking turns with others dancing around.
B. then starts up the stilts and failing a few times.
C. continues moving all along the floor while moving his hands and dipping his body.
D. twirls her around while others watch on the side.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
10024.0,Waterskiing,Some people are gathered at tables by a pier. They are watching boaters pulling people on water skis. the skiers,B,"Context:
""Some people are gathered at tables by a pier. They are watching boaters pulling people on water skis. the skiers""

Which of the following endings best completes the context?

Choices:
A. steadily pull all of the people on the water skis down the river.
B. are staying upright, going around in circles until they jump off and run to shore.
C. walk on alrge and onto the boat.
D. continue to row towards shore.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
8748.0,Decorating the Christmas tree,"A family shows christmas materials and family members. Then, a man and a woman set up a christmas tree. then",A,"Context:
""A family shows christmas materials and family members. Then, a man and a woman set up a christmas tree. then""

Which of the following endings best completes the context?

Choices:
A. , the couple put lights and ornaments on the tree.
B. , people decorate celebrately the tree with ornaments.
C. , the woman puts ornaments on the top of the tree.
D. , the man puts ornaments on the christmas tree including the rind and crosses the top.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
25330.0,Disc dog,"A man walks onto a field in front of his dog. He throws a frisbee, and the dog catches it. he",B,"Context:
""A man walks onto a field in front of his dog. He throws a frisbee, and the dog catches it. he""

Which of the following endings best completes the context?

Choices:
A. drops the frisbee and wipes down the dog with a towel.
B. does several tricks with the frisbees and the dog.
C. grabs a basket and walks away.
D. stands up and throws another, and lays down on it.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
24016.0,Triple jump,A man is running down a track he jumps into a pile of sand. he,A,"Context:
""A man is running down a track he jumps into a pile of sand. he""

Which of the following endings best completes the context?

Choices:
A. runs down the track again and jumps into the sand several times.
B. goes into a huge weight vault and begins rolling around on the sand.
C. is wearing flippers and is going through the sand of the beach.
D. walks away and a woman starts walking into the desert on a sand gril.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
47770.0,Playing accordion,"A man sits down in his kitchen making himself comfortable. He starts playing accordion, enjoying and feeling the rhythm. the dog",B,"Context:
""A man sits down in his kitchen making himself comfortable. He starts playing accordion, enjoying and feeling the rhythm. the dog""

Which of the following endings best completes the context?

Choices:
A. is in the background playing along.
B. come to him, he stops playing then brush his dog's hair.
C. comes into the kitchen to sit and try to help move the player.
D. follows his every movement as he moves his paws towards the keys.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
35380.0,Plataform diving,A young girl is seen walking to the end of a diving board with several other people around her. the girl,C,"Context:
""A young girl is seen walking to the end of a diving board with several other people around her. the girl""

Which of the following endings best completes the context?

Choices:
A. then slides down into the water while one man holds her up by the waist.
B. then jumps off the diving board onto a swimming board in the pool.
C. puts her arms up and then dives into the pool.
D. continues climbing up the side jumping off at the end.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
28070.0,Shot put,Men sets up and throw shot put balls in a track and field competition onto the field. Runner race in a track event. The man celebrates his throw and walks off the field. the crowd,A,"Context:
""Men sets up and throw shot put balls in a track and field competition onto the field. Runner race in a track event. The man celebrates his throw and walks off the field. the crowd""

Which of the following endings best completes the context?

Choices:
A. stands up and cheers for the athlete.
B. claps and the vated athlete picks up the trophy.
C. holds up the yellow ball and celebrate.
D. gets cheers for the runner.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
1223.0,Arm wrestling,A very muscular shirtless man is about to arm wrestle with a man in an orange hoodie. Another man in a yellow hoodie comes over. they,D,"Context:
""A very muscular shirtless man is about to arm wrestle with a man in an orange hoodie. Another man in a yellow hoodie comes over. they""

Which of the following endings best completes the context?

Choices:
A. fight with each other in the background.
B. arm wrestle making it very messy.
C. shoulders up to arm wrestle and the players fist bump.
D. begin the match, the man in the orange hoodie looks to be struggling.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
43775.0,Skiing,A skier holds a ski stick in his left hand and a pole in his right hand. then,A,"Context:
""A skier holds a ski stick in his left hand and a pole in his right hand. then""

Which of the following endings best completes the context?

Choices:
A. , the man ski down the hill covered with snow.
B. , the skier skis down a dirt track and to the other side where a lot of trees is.
C. , the man skis in snowslides going fast.
D. , the skier lands on a long pole.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
33392.0,Cleaning windows,A person is seen wiping down a rag followed by several ingredients attached to her hip. she,A,"Context:
""A person is seen wiping down a rag followed by several ingredients attached to her hip. she""

Which of the following endings best completes the context?

Choices:
A. sprays down the rag and is then seen again washing various windows around an office.
B. attaches numerous paste to the bottle and adds more ingredients.
C. then uses a brush along her leg and rubs it off with a rag.
D. turns the rag upside down and holds it down.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
1961.0,Drum corps,The marching bands are in positioned in the field. Then the band started to play their instruments. the ladies with flags,B,"Context:
""The marching bands are in positioned in the field. Then the band started to play their instruments. the ladies with flags""

Which of the following endings best completes the context?

Choices:
A. were playing the drums.
B. moved their flags up and down and rotate them as the band plays.
C. came to the camp site and started to help the mother and sisters clean the back of the bike.
D. on their backs walked on front the marching band.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
10198.0,Wrapping presents,A person is rolling out wrapping paper and using a ruler to hold it down. A box is set on top of the wrapping paper. the person,D,"Context:
""A person is rolling out wrapping paper and using a ruler to hold it down. A box is set on top of the wrapping paper. the person""

Which of the following endings best completes the context?

Choices:
A. puts wrapping paper on top and uses the ruler to put the paper on.
B. is using butterfly tape to bind the paper together with a bow.
C. jams a piece of wrapping paper onto the box.
D. begins wrapping the present.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
37431.0,Beach soccer,A group of men are seen looking off into the distance that leads into a soccer match. One man scores a goal and celebrates on the side. his goal,C,"Context:
""A group of men are seen looking off into the distance that leads into a soccer match. One man scores a goal and celebrates on the side. his goal""

Which of the following endings best completes the context?

Choices:
A. is eventually won by his opponent who is watching.
B. is scored and he walks out the side with his score.
C. is shown again several more times.
D. is scored and the score is shown again in slow motion.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
18847.0,Hand washing clothes,A man is seen sitting in front of a bucket holding clothes in his hands. Another person is seen sitting next to him sticking his hand in a bucket. the men,D,"Context:
""A man is seen sitting in front of a bucket holding clothes in his hands. Another person is seen sitting next to him sticking his hand in a bucket. the men""

Which of the following endings best completes the context?

Choices:
A. then begin cleaning the inside of the bucket.
B. leave the bucket and finishes washing up.
C. then begin mixing a beer and laughing afterwards.
D. continue washing clothes next to one another while dipping them into a bucket.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
19401.0,Baking cookies,We see young men who appear to be celebrities in an asian city. One of the guys puts on a white hat. We see the group making cookies. we,D,"Context:
""We see young men who appear to be celebrities in an asian city. One of the guys puts on a white hat. We see the group making cookies. we""

Which of the following endings best completes the context?

Choices:
A. see an animated ending screen.
B. see the closing title screens.
C. see the closing screen.
D. see two men mixing something in a large silver bowl, and another using his hand to mix something in a vat.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
42998.0,Preparing salad,"She stirs the ingredients with some tongs. She pours some tomatoes, zucchini and red onions into the mixing bowl. She cuts up some cilantro. she",B,"Context:
""She stirs the ingredients with some tongs. She pours some tomatoes, zucchini and red onions into the mixing bowl. She cuts up some cilantro. she""

Which of the following endings best completes the context?

Choices:
A. also mixes a little bit of the red pepper, some pepper ganache and pasta.
B. throws the cilantro into the mixing bowl.
C. mixes the salsa together evenly.
D. pours some cubed mango into the mixture.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
5613.0,Clipping cat claws,A woman is seen speaking to the camera and holding up a pair of clippers. she,B,"Context:
""A woman is seen speaking to the camera and holding up a pair of clippers. she""

Which of the following endings best completes the context?

Choices:
A. holds up a coconut and begins cutting the man's hair.
B. then begins cutting a cat's claws while the cat squirms around.
C. then reaches around and grabs a sharpener with her fingers.
D. trim the ends of the section along her hair and cut it all off in the end.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
35348.0,Brushing teeth,A man in folded pants is walking on the beach. He picks up a toothbrush from the sand and begins brushing his teeth. the woman in the bathroom,B,"Context:
""A man in folded pants is walking on the beach. He picks up a toothbrush from the sand and begins brushing his teeth. the woman in the bathroom""

Which of the following endings best completes the context?

Choices:
A. continues brushing and laying down in the sand.
B. is brushing her teeth and is attacked by a man with a knife.
C. is cleaning him with a sponge.
D. is watching him, and she is also reading a book.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
