question,question_concept,_split,answer,final_prompt,len_tk_phi3_mini_4k_instruct
"Joan was a baby, so there were many things she couldn't do, which caused problems for her parents.  Name one thing that makes raising a baby difficult.",baby,validation-00000-of-00001,E,"Question:
Joan was a baby, so there were many things she couldn't do, which caused problems for her parents.  Name one thing that makes raising a baby difficult.

Which of the following is the best response to the question?

Choices:
A. arrive early
B. learn to walk
C. boy or girl
D. bring joy
E. talk nonsense

Reply with exactly one uppercase letter out of A, B, C, D or E.
",110
Alexa wants to eat lunch  but she left her lunchbox and wallet at home.  John gives her a twenty so that she can go out and do what?,eat lunch,train-00000-of-00001,D,"Question:
Alexa wants to eat lunch  but she left her lunchbox and wallet at home.  John gives her a twenty so that she can go out and do what?

Which of the following is the best response to the question?

Choices:
A. borrow food
B. have food
C. prepare food
D. buy food
E. get food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",108
"Suzie waited in a room covered with posters of celeberties and robots.  She liked this place, but she wished it was better decorated.  Where might she be?",room,train-00000-of-00001,C,"Question:
Suzie waited in a room covered with posters of celeberties and robots.  She liked this place, but she wished it was better decorated.  Where might she be?

Which of the following is the best response to the question?

Choices:
A. white house
B. school
C. friend's house
D. museum
E. apartment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",111
"Some horses are white others are black, but many are this color which might lead some people to think their milk would taste like chocolate?",horses,train-00000-of-00001,D,"Question:
Some horses are white others are black, but many are this color which might lead some people to think their milk would taste like chocolate?

Which of the following is the best response to the question?

Choices:
A. big but gentle
B. kept in stables
C. cuddly
D. brown
E. running in herd

Reply with exactly one uppercase letter out of A, B, C, D or E.
",106
"Joe found that shopping  was dangerous for him.  Even though he had a great job, or maybe because of it, he found himself doing this a great deal. There were always funds left over, but not enough for his taste.  What was he doing when he was shopping?",shopping,train-00000-of-00001,A,"Question:
Joe found that shopping  was dangerous for him.  Even though he had a great job, or maybe because of it, he found himself doing this a great deal. There were always funds left over, but not enough for his taste.  What was he doing when he was shopping?

Which of the following is the best response to the question?

Choices:
A. overspending
B. loss of money
C. run out of money
D. spending money
E. deficit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",139
"John loves animals and he hates animal abuse.  Because of this, john is very careful about the places he goes.  Where might he avoid going?",animal,train-00000-of-00001,A,"Question:
John loves animals and he hates animal abuse.  Because of this, john is very careful about the places he goes.  Where might he avoid going?

Which of the following is the best response to the question?

Choices:
A. pet store
B. parking lot
C. woodland
D. north america
E. park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",107
"The peaceful nation was scared of their neighbor amassing troops at the border, what behavior did they fear?",peaceful,train-00000-of-00001,D,"Question:
The peaceful nation was scared of their neighbor amassing troops at the border, what behavior did they fear?

Which of the following is the best response to the question?

Choices:
A. violent
B. warring
C. eferendum because their country’s constitution mandates that the people go to a referendum after the icj has made a ruling in the case and not before
D. belligerent
E. nonpeaceful

Reply with exactly one uppercase letter out of A, B, C, D or E.
",129
"John and Judy were parents.  They had two wonderful kids who weren't always well behaved.  They were light tough, though.  They felt it was a parent's job to do what?",parents,validation-00000-of-00001,B,"Question:
John and Judy were parents.  They had two wonderful kids who weren't always well behaved.  They were light tough, though.  They felt it was a parent's job to do what?

Which of the following is the best response to the question?

Choices:
A. control children
B. guide children
C. speak freely
D. cry
E. understand children

Reply with exactly one uppercase letter out of A, B, C, D or E.
",117
"The morbidly obese man with unkempt facial hair got his dream job, he was eating hamburger for a show every week which brought him total what?",eating hamburger,train-00000-of-00001,D,"Question:
The morbidly obese man with unkempt facial hair got his dream job, he was eating hamburger for a show every week which brought him total what?

Which of the following is the best response to the question?

Choices:
A. french fries
B. enjoy
C. nausea
D. satisfaction
E. gas

Reply with exactly one uppercase letter out of A, B, C, D or E.
",108
John was waiting for his plane for hours.  His butt hurt from sitting in a hard plastic chair all that time.  But it was still better than sitting on what?,chair,train-00000-of-00001,E,"Question:
John was waiting for his plane for hours.  His butt hurt from sitting in a hard plastic chair all that time.  But it was still better than sitting on what?

Which of the following is the best response to the question?

Choices:
A. office
B. living room
C. bedroom
D. airport
E. floor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",106
"James used an axe and a saw to chop wood, shape it, and make a shelter.  He kept adding wood to it, building it bigger and bigger, until it became a what?",shelter,train-00000-of-00001,C,"Question:
James used an axe and a saw to chop wood, shape it, and make a shelter.  He kept adding wood to it, building it bigger and bigger, until it became a what?

Which of the following is the best response to the question?

Choices:
A. shelterbelt
B. tree
C. house
D. home
E. bus stop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",110
Violence is inescapable.  In both the conflict between nations and the conflict between men.   Donny enjoyed the violence.  He likes going up against other people.  That's why he played what?,violence,train-00000-of-00001,D,"Question:
Violence is inescapable.  In both the conflict between nations and the conflict between men.   Donny enjoyed the violence.  He likes going up against other people.  That's why he played what?

Which of the following is the best response to the question?

Choices:
A. result in getting killed
B. protest
C. being done against
D. hockey game
E. war

Reply with exactly one uppercase letter out of A, B, C, D or E.
",121
"May was watchign a film about turtles who fight crime.  It was a silly film, but exciting.  It gave her a great deal of what?",watching film,train-00000-of-00001,A,"Question:
May was watchign a film about turtles who fight crime.  It was a silly film, but exciting.  It gave her a great deal of what?

Which of the following is the best response to the question?

Choices:
A. enjoyment
B. relaxation
C. stupidity
D. masturbation
E. sadness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",108
"While on the fan boat he thought he'd see swamps and gators, but he was surprised to spot a bald eagle in what nature area?",bald eagle,validation-00000-of-00001,A,"Question:
While on the fan boat he thought he'd see swamps and gators, but he was surprised to spot a bald eagle in what nature area?

Which of the following is the best response to the question?

Choices:
A. everglades
B. high places
C. natural habitat
D. new york
E. colorado

Reply with exactly one uppercase letter out of A, B, C, D or E.
",106
"A homeless person asked Jim for advice.  Jim wasn't religious, but he told the person something that he remembered.  What might he have told the person?",person,train-00000-of-00001,D,"Question:
A homeless person asked Jim for advice.  Jim wasn't religious, but he told the person something that he remembered.  What might he have told the person?

Which of the following is the best response to the question?

Choices:
A. hospital
B. street corner
C. synagogue
D. fairy tale
E. advice

Reply with exactly one uppercase letter out of A, B, C, D or E.
",106
"Bob and Boris were standing in a queue at the grocery store.  They were standing in place.  The line was fast, but the children in front of them were loud.   They were what?",standing in queue,train-00000-of-00001,B,"Question:
Bob and Boris were standing in a queue at the grocery store.  They were standing in place.  The line was fast, but the children in front of them were loud.   They were what?

Which of the following is the best response to the question?

Choices:
A. frustration
B. being annoyed
C. delays
D. irritation
E. out of order

Reply with exactly one uppercase letter out of A, B, C, D or E.
",118
Saul is writting a program and has been told that another team has been working on added functionality.  He's not sure hot the other team's work will impact his. What does his bosses want him to do with the new code?,writing program,train-00000-of-00001,C,"Question:
Saul is writting a program and has been told that another team has been working on added functionality.  He's not sure hot the other team's work will impact his. What does his bosses want him to do with the new code?

Which of the following is the best response to the question?

Choices:
A. detail
B. loop
C. need to integrate
D. unexpected results
E. satisfaction

Reply with exactly one uppercase letter out of A, B, C, D or E.
",122
"Sally liked hair, and wanted to rub some every single day. However, she has no skill at cutting hair at all, and no interest in doing so.  What might she get to let her rub hair?",hair,train-00000-of-00001,D,"Question:
Sally liked hair, and wanted to rub some every single day. However, she has no skill at cutting hair at all, and no interest in doing so.  What might she get to let her rub hair?

Which of the following is the best response to the question?

Choices:
A. sink
B. moustache
C. oils
D. mammals
E. barber shop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",117
"Bob's feet hurt from running barefoot on the hot pavement.  I lost his shoes, didn't know where they landed, and had to run from the corner store to his home.  About where did he run?",pavement,train-00000-of-00001,D,"Question:
Bob's feet hurt from running barefoot on the hot pavement.  I lost his shoes, didn't know where they landed, and had to run from the corner store to his home.  About where did he run?

Which of the following is the best response to the question?

Choices:
A. a bed of nails
B. town
C. attractive consistent look
D. city block
E. ground

Reply with exactly one uppercase letter out of A, B, C, D or E.
",124
"Sam drove to the city square and noticed that the lines weren't quite right.  It was a few degrees off, most like a trapezoid.   What might Sam be interested in?",square,train-00000-of-00001,B,"Question:
Sam drove to the city square and noticed that the lines weren't quite right.  It was a few degrees off, most like a trapezoid.   What might Sam be interested in?

Which of the following is the best response to the question?

Choices:
A. architecture
B. geometry
C. fifties
D. town center
E. four corners

Reply with exactly one uppercase letter out of A, B, C, D or E.
",112
"Dan was ditting quietly on the couch with a book in his hand.  Laurie thought that he was just focused on what he was doing, but he actually did what?",sitting quietly,validation-00000-of-00001,E,"Question:
Dan was ditting quietly on the couch with a book in his hand.  Laurie thought that he was just focused on what he was doing, but he actually did what?

Which of the following is the best response to the question?

Choices:
A. eat
B. think
C. reading
D. meditate
E. fall asleep

Reply with exactly one uppercase letter out of A, B, C, D or E.
",106
"James is addicted to potatosol.  Potatosol is legal, but he's concerned that it might not be for long.  What might happen to potatosol i the near future?",legal,train-00000-of-00001,A,"Question:
James is addicted to potatosol.  Potatosol is legal, but he's concerned that it might not be for long.  What might happen to potatosol i the near future?

Which of the following is the best response to the question?

Choices:
A. banned
B. underage
C. black market
D. illegal
E. rules

Reply with exactly one uppercase letter out of A, B, C, D or E.
",111
"The student wanted to impress with his essay and looked up a synonym for standard, he found a word that had a slant rhyme with ""proverbial"" and was quite proud, what did he find?",standard,train-00000-of-00001,E,"Question:
The student wanted to impress with his essay and looked up a synonym for standard, he found a word that had a slant rhyme with ""proverbial"" and was quite proud, what did he find?

Which of the following is the best response to the question?

Choices:
A. informal
B. stanine
C. basic
D. nonstandard
E. colloquial

Reply with exactly one uppercase letter out of A, B, C, D or E.
",117
"Susan was attending a meeting of the KKK, even though she did not believe in their cause.  Why might she have been doing so?",attending meeting,train-00000-of-00001,D,"Question:
Susan was attending a meeting of the KKK, even though she did not believe in their cause.  Why might she have been doing so?

Which of the following is the best response to the question?

Choices:
A. sharing ideas
B. sell hotdogs
C. fall asleep
D. getting information
E. sharing information

Reply with exactly one uppercase letter out of A, B, C, D or E.
",107
"Danny was visiting a museum.  He spent all day looking at exhibits.  He studied them all careful.  In the end, he went home.  Why might he have gone home?",visiting museum,train-00000-of-00001,A,"Question:
Danny was visiting a museum.  He spent all day looking at exhibits.  He studied them all careful.  In the end, he went home.  Why might he have gone home?

Which of the following is the best response to the question?

Choices:
A. tired feet
B. pondering
C. gaining knowledge
D. exhilaration
E. wonder

Reply with exactly one uppercase letter out of A, B, C, D or E.
",116
"Simon asked his father to read him a story.  His father couldn't find Simon's book, so looked everywhere for it. Where might it be?",story,train-00000-of-00001,E,"Question:
Simon asked his father to read him a story.  His father couldn't find Simon's book, so looked everywhere for it. Where might it be?

Which of the following is the best response to the question?

Choices:
A. eat cake
B. end badly
C. communicating moral
D. near end
E. floor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",106
"The king gave a speech about it being an auspicious day, but he was assassinated in the middle of it making it actually what?",auspicious,train-00000-of-00001,E,"Question:
The king gave a speech about it being an auspicious day, but he was assassinated in the middle of it making it actually what?

Which of the following is the best response to the question?

Choices:
A. ominous
B. coincidental
C. ruinous
D. inauspicious
E. disastrous

Reply with exactly one uppercase letter out of A, B, C, D or E.
",107
James wanted a plastic saucer to put some cat food on  He certainly wasn't going to use a good saucer.  Where might he look for one?,saucer,train-00000-of-00001,B,"Question:
James wanted a plastic saucer to put some cat food on  He certainly wasn't going to use a good saucer.  Where might he look for one?

Which of the following is the best response to the question?

Choices:
A. drawer
B. kitchen cabinet
C. china cabinet
D. tea room
E. tea cabinet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",107
James saw a kite flying in the sky.  He traced the string back to its origin and found it.  Where did the string begin?,kite,validation-00000-of-00001,E,"Question:
James saw a kite flying in the sky.  He traced the string back to its origin and found it.  Where did the string begin?

Which of the following is the best response to the question?

Choices:
A. end of line
B. hobby shop
C. his hand
D. toy store
E. child's hand

Reply with exactly one uppercase letter out of A, B, C, D or E.
",108
Jane was a human who had to poop really bad.  But she couldn't because her ride was about to come in and she didn't want to miss it.  Where might she be?,human,train-00000-of-00001,B,"Question:
Jane was a human who had to poop really bad.  But she couldn't because her ride was about to come in and she didn't want to miss it.  Where might she be?

Which of the following is the best response to the question?

Choices:
A. bed
B. airport
C. mall
D. homes
E. bathroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",112
"George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what?",feet,validation-00000-of-00001,B,"Question:
George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what?

Which of the following is the best response to the question?

Choices:
A. michigan
B. walk
C. stay still
D. stink
E. hands

Reply with exactly one uppercase letter out of A, B, C, D or E.
",116
Sarah thought that buying beer with a fake idea was a good idea.  She just wanted to enjoy herself. But it turned to be anything but. What did it turn out to be?,buying beer,train-00000-of-00001,D,"Question:
Sarah thought that buying beer with a fake idea was a good idea.  She just wanted to enjoy herself. But it turned to be anything but. What did it turn out to be?

Which of the following is the best response to the question?

Choices:
A. a smart decision
B. spend money
C. get arrested
D. stupidity
E. have fun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",114
"John went to sleep on his couch and was dreaming that he was fighting a giant whale in the ocean. When he woke up he was outside in the rain, wrestling an inflatable chair.  What was John doing?",dreaming,train-00000-of-00001,D,"Question:
John went to sleep on his couch and was dreaming that he was fighting a giant whale in the ocean. When he woke up he was outside in the rain, wrestling an inflatable chair.  What was John doing?

Which of the following is the best response to the question?

Choices:
A. might awaken
B. fantasy
C. watching movie
D. sleepwalking
E. fear

Reply with exactly one uppercase letter out of A, B, C, D or E.
",121
"Sarah went to school to be a nurse.  She loved giving assistance to people in need. To better help people, she had to constantly do something.  What might she do to better help people?",giving assistance,train-00000-of-00001,B,"Question:
Sarah went to school to be a nurse.  She loved giving assistance to people in need. To better help people, she had to constantly do something.  What might she do to better help people?

Which of the following is the best response to the question?

Choices:
A. people helped
B. learning new skills
C. better circumstances
D. practice
E. happiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",114
"A shark isn't something you have to worry about at the lake in the woods, but there are plenty of dangers in the what?",shark,train-00000-of-00001,B,"Question:
A shark isn't something you have to worry about at the lake in the woods, but there are plenty of dangers in the what?

Which of the following is the best response to the question?

Choices:
A. great oceans
B. great outdoors
C. tropical waters
D. pacific ocean
E. gulf of mexico

Reply with exactly one uppercase letter out of A, B, C, D or E.
",109
"The bachelor was too lazy to take the groceries out of the shopping bag, he just put the full bags right in his pantry what?",shopping bag,train-00000-of-00001,E,"Question:
The bachelor was too lazy to take the groceries out of the shopping bag, he just put the full bags right in his pantry what?

Which of the following is the best response to the question?

Choices:
A. retail store
B. refrigerator
C. supermarket
D. car trunk
E. storage cabinet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",109
Dan is very creative. He likes to read and wants to make something like that.   On a rainy day he tries his hand.  What might he do?,rainy day,train-00000-of-00001,A,"Question:
Dan is very creative. He likes to read and wants to make something like that.   On a rainy day he tries his hand.  What might he do?

Which of the following is the best response to the question?

Choices:
A. write
B. go to movie
C. stay in bed
D. enjoy film
E. make bread

Reply with exactly one uppercase letter out of A, B, C, D or E.
",108
"Billy was was going on a long vacation, but before he did he got a bite to eat.  Where might he have eaten?",food,train-00000-of-00001,B,"Question:
Billy was was going on a long vacation, but before he did he got a bite to eat.  Where might he have eaten?

Which of the following is the best response to the question?

Choices:
A. space shuttle
B. friend's house
C. disneyland
D. supermarket
E. gas station

Reply with exactly one uppercase letter out of A, B, C, D or E.
",107
"Joe was a weasel, but he wasn't the sort who you kept was a pet.  He was the sort that used complex words that carried multiple different meanings.  Where might you find Joe",weasel,train-00000-of-00001,B,"Question:
Joe was a weasel, but he wasn't the sort who you kept was a pet.  He was the sort that used complex words that carried multiple different meanings.  Where might you find Joe

Which of the following is the best response to the question?

Choices:
A. chicken coop
B. law firm
C. classroom
D. terrarium
E. museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",117
"james told his son to settle down and be careful.  There were many frogs mating in the area, and James didn't want his son to do what to them?",settle,validation-00000-of-00001,D,"Question:
james told his son to settle down and be careful.  There were many frogs mating in the area, and James didn't want his son to do what to them?

Which of the following is the best response to the question?

Choices:
A. wander
B. migrate
C. scare
D. disturb
E. agitate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",109
Joe and John and sylvia were all running errands. They split up their tasks into blocks that were near each other and then each person took one block of tasks.  They did this because it gave them more what?,running errands,train-00000-of-00001,C,"Question:
Joe and John and sylvia were all running errands. They split up their tasks into blocks that were near each other and then each person took one block of tasks.  They did this because it gave them more what?

Which of the following is the best response to the question?

Choices:
A. stress
B. aggravation
C. efficiency
D. freed up time
E. net gain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",120
"James noticed that people who communicate well have fewer problems.  Some people communicate easily with strangers, others need to talk with members of their own groups.  A religion is a type of group.  What do members of a religion have in common?",people,train-00000-of-00001,A,"Question:
James noticed that people who communicate well have fewer problems.  Some people communicate easily with strangers, others need to talk with members of their own groups.  A religion is a type of group.  What do members of a religion have in common?

Which of the following is the best response to the question?

Choices:
A. believe in god
B. talk to each other
C. pay bills
D. learn from each other
E. believe in ghosts

Reply with exactly one uppercase letter out of A, B, C, D or E.
",130
"He went to visit his brother going to a Bulldog school in the south, the humidity was intense but seemed plain and ordinary by now to his brother where?",plain,train-00000-of-00001,C,"Question:
He went to visit his brother going to a Bulldog school in the south, the humidity was intense but seemed plain and ordinary by now to his brother where?

Which of the following is the best response to the question?

Choices:
A. air
B. atlanta
C. georgia
D. countryside
E. landscape

Reply with exactly one uppercase letter out of A, B, C, D or E.
",109
"Danny thought that the show was divine.   Lila disagreed.  She didn't think it was bad, but she thought it was what?",divine,train-00000-of-00001,D,"Question:
Danny thought that the show was divine.   Lila disagreed.  She didn't think it was bad, but she thought it was what?

Which of the following is the best response to the question?

Choices:
A. godless
B. horrible
C. undivine
D. humdrum
E. mortal

Reply with exactly one uppercase letter out of A, B, C, D or E.
",106
"Yesterday there was heavy rain and there's water standing everywhere, but it's coming down hard again, and this time it's cold, what sort of storm is it now?",water,train-00000-of-00001,A,"Question:
Yesterday there was heavy rain and there's water standing everywhere, but it's coming down hard again, and this time it's cold, what sort of storm is it now?

Which of the following is the best response to the question?

Choices:
A. blizzard
B. hurricane
C. cactus
D. ocean
E. drowning

Reply with exactly one uppercase letter out of A, B, C, D or E.
",113
"John was playing football when he suffered a concussion.  He was really worried about the possible consequences of his sport, but the concussion was less scary than what?",playing football,train-00000-of-00001,D,"Question:
John was playing football when he suffered a concussion.  He was really worried about the possible consequences of his sport, but the concussion was less scary than what?

Which of the following is the best response to the question?

Choices:
A. head injuries
B. having fun
C. being sick
D. death
E. getting hurt

Reply with exactly one uppercase letter out of A, B, C, D or E.
",109
When John flew to a new state he didn't know where any of the bars where.  He eventually found something that wasn't a bar but still served drinks. What might he have found?,bar,train-00000-of-00001,D,"Question:
When John flew to a new state he didn't know where any of the bars where.  He eventually found something that wasn't a bar but still served drinks. What might he have found?

Which of the following is the best response to the question?

Choices:
A. airport
B. restaurant
C. michigan
D. public house
E. las vegas

Reply with exactly one uppercase letter out of A, B, C, D or E.
",114
James was a weasel.  He lived in a warm place where he was surrounded by children.  Glass separated him from the  outside world.  He rested comfortably in his what?,weasel,train-00000-of-00001,E,"Question:
James was a weasel.  He lived in a warm place where he was surrounded by children.  Glass separated him from the  outside world.  He rested comfortably in his what?

Which of the following is the best response to the question?

Choices:
A. law firm
B. zoo
C. classroom
D. forrest
E. terrarium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",113
"Bill was on a diet, but that didn't matter.  He cared most about his audio quality.  He had to turn up the gain because the high-impedance equipment he used cause what to volume?",gain,train-00000-of-00001,C,"Question:
Bill was on a diet, but that didn't matter.  He cared most about his audio quality.  He had to turn up the gain because the high-impedance equipment he used cause what to volume?

Which of the following is the best response to the question?

Choices:
A. lost
B. lose weight
C. loss
D. waste
E. reduce

Reply with exactly one uppercase letter out of A, B, C, D or E.
",115
"Even though he was a tourist he went to a fast food restaurant, of all the choices of pizza alone, he still chose a chain where?",fast food restaurant,train-00000-of-00001,B,"Question:
Even though he was a tourist he went to a fast food restaurant, of all the choices of pizza alone, he still chose a chain where?

Which of the following is the best response to the question?

Choices:
A. center of town
B. new york
C. town centres
D. big cities
E. america

Reply with exactly one uppercase letter out of A, B, C, D or E.
",106
"John went to see the massive ball of yarn that was supposedly the largest in the world, but he didn't enjoy it.  In hindsight, he found it to be what?",massive,train-00000-of-00001,D,"Question:
John went to see the massive ball of yarn that was supposedly the largest in the world, but he didn't enjoy it.  In hindsight, he found it to be what?

Which of the following is the best response to the question?

Choices:
A. bad
B. insubstantial
C. inconsequential
D. lame
E. dwarf

Reply with exactly one uppercase letter out of A, B, C, D or E.
",115
Lilly owns the only kosher deli in the area.  She isn't in a heavily populated area.  Where might she live?,kosher deli,train-00000-of-00001,E,"Question:
Lilly owns the only kosher deli in the area.  She isn't in a heavily populated area.  Where might she live?

Which of the following is the best response to the question?

Choices:
A. food court
B. jerusalem
C. new york city
D. jewish community
E. town

Reply with exactly one uppercase letter out of A, B, C, D or E.
",106
"During the seated interview the hiring agent hired the man on the spot, he got a contract and pen out of the what right on the spot?",pen,train-00000-of-00001,C,"Question:
During the seated interview the hiring agent hired the man on the spot, he got a contract and pen out of the what right on the spot?

Which of the following is the best response to the question?

Choices:
A. other mans pocket
B. friend's house
C. desk drawer
D. office supply store
E. briefcase

Reply with exactly one uppercase letter out of A, B, C, D or E.
",111
"Danny found that the carpet did not ,match the drapes, which was disappointing, because this place was expensive.  But it was the only place in town that wasn't booked solid for the week and he needed it while he was in town, so he couldn't complain.   Where might this place be?",carpet,validation-00000-of-00001,E,"Question:
Danny found that the carpet did not ,match the drapes, which was disappointing, because this place was expensive.  But it was the only place in town that wasn't booked solid for the week and he needed it while he was in town, so he couldn't complain.   Where might this place be?

Which of the following is the best response to the question?

Choices:
A. brothel
B. restaurant
C. building
D. bowling alley
E. at hotel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",143
Susan was playing games with her five year old son Tim.  She played them because they were designed to help him with something.  What might they help a child with?,playing games,train-00000-of-00001,A,"Question:
Susan was playing games with her five year old son Tim.  She played them because they were designed to help him with something.  What might they help a child with?

Which of the following is the best response to the question?

Choices:
A. learning
B. competitiveness
C. losing
D. winning
E. relaxation

Reply with exactly one uppercase letter out of A, B, C, D or E.
",106
"John had his appointment book with him when he got a medical checkup but he lost it somewhere.  He doesn't want to bother looking for it, so where would he go to get a new one?",appointment book,train-00000-of-00001,C,"Question:
John had his appointment book with him when he got a medical checkup but he lost it somewhere.  He doesn't want to bother looking for it, so where would he go to get a new one?

Which of the following is the best response to the question?

Choices:
A. his house
B. pocket
C. office supply store
D. doctor's office
E. handbag

Reply with exactly one uppercase letter out of A, B, C, D or E.
",116
"Susan listened to the radio most of the day.  She didn't care for talk shows, so she mostly listened to the stations that did what?",radio,train-00000-of-00001,B,"Question:
Susan listened to the radio most of the day.  She didn't care for talk shows, so she mostly listened to the stations that did what?

Which of the following is the best response to the question?

Choices:
A. turn on
B. play music
C. eat cake
D. space shuttle
E. blaring

Reply with exactly one uppercase letter out of A, B, C, D or E.
",107
"Joe and Jane have begun reaching a tentative agreement about the merger of their two companies.  Their negotiations have become less than professional,  and have begun doing something that is very unprofessional and compromises their objectivity.  What might they be doing?",reaching tentative agreement,train-00000-of-00001,D,"Question:
Joe and Jane have begun reaching a tentative agreement about the merger of their two companies.  Their negotiations have become less than professional,  and have begun doing something that is very unprofessional and compromises their objectivity.  What might they be doing?

Which of the following is the best response to the question?

Choices:
A. compromises
B. eloping
C. calmness
D. fucking
E. handshake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",130
