question,question_concept,_split,answer,final_prompt,len_tk_llama3.1_8b_instruct
"If a person is using a computer to talk to their granddaughter, what might the computer cause for them?",using computer,validation-00000-of-00001,C,"Question:
If a person is using a computer to talk to their granddaughter, what might the computer cause for them?

Which of the following is the best response to the question?

Choices:
A. program created
B. stress
C. happiness
D. ocean
E. headache

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"It was a long trip from the farm, so he stayed in a hotel when he arrived at the what?",hotel,validation-00000-of-00001,E,"Question:
It was a long trip from the farm, so he stayed in a hotel when he arrived at the what?

Which of the following is the best response to the question?

Choices:
A. bed away from home
B. wwii bunker
C. resort
D. las vegas
E. city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"A car was hailed to chauffeur someone to the opera house, where was it heading?",car,validation-00000-of-00001,A,"Question:
A car was hailed to chauffeur someone to the opera house, where was it heading?

Which of the following is the best response to the question?

Choices:
A. go downtown
B. appear suddenly
C. go fast
D. bottom out
E. east

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"If one needed the bathroom they needed a key, to get it they had to also buy something from the what?",bathroom,validation-00000-of-00001,B,"Question:
If one needed the bathroom they needed a key, to get it they had to also buy something from the what?

Which of the following is the best response to the question?

Choices:
A. school
B. convenience store
C. rest area
D. mall
E. theater

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"The music was very dear to him, he had done what with it during an important time in his life?",music,train-00000-of-00001,C,"Question:
The music was very dear to him, he had done what with it during an important time in his life?

Which of the following is the best response to the question?

Choices:
A. night club
B. dreamt
C. composed
D. written on paper
E. stolen

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"In America, the courthouse of any given town has a likely location, where is it?",courthouse,train-00000-of-00001,D,"Question:
In America, the courthouse of any given town has a likely location, where is it?

Which of the following is the best response to the question?

Choices:
A. electrical circuit
B. getting married
C. capital city
D. center of town
E. michigan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"A shark is stuck in a lake, where does it need to go provided it isn't a bull shark?",shark,train-00000-of-00001,B,"Question:
A shark is stuck in a lake, where does it need to go provided it isn't a bull shark?

Which of the following is the best response to the question?

Choices:
A. medium
B. saltwater
C. sea world
D. atlantic ocean
E. seawater

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would you put sunglasses if you do not have anything to put them in that can be carried with you?,sunglasses,train-00000-of-00001,B,"Question:
Where would you put sunglasses if you do not have anything to put them in that can be carried with you?

Which of the following is the best response to the question?

Choices:
A. stores along beach
B. shirt pocket
C. eye doctor
D. drugstore
E. bag

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would you put a tissue holder if you have a cold and plan to stay inside?,tissue holder,train-00000-of-00001,B,"Question:
Where would you put a tissue holder if you have a cold and plan to stay inside?

Which of the following is the best response to the question?

Choices:
A. car
B. convenient spot
C. bathroom or bedroom
D. swimming pool
E. airplane

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The mascot gathered the children around the campfire, he then began to what them?",children,train-00000-of-00001,B,"Question:
The mascot gathered the children around the campfire, he then began to what them?

Which of the following is the best response to the question?

Choices:
A. go to movies
B. read to
C. imagine
D. eat smores
E. play games

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"Sarah liked driving cars more than she liked cigarettes.  After she quit, she'd take long drives for what?",driving car,train-00000-of-00001,C,"Question:
Sarah liked driving cars more than she liked cigarettes.  After she quit, she'd take long drives for what?

Which of the following is the best response to the question?

Choices:
A. smoke
B. getting somewhere
C. relaxation
D. take a break
E. wreak

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"In basic training they build you up only to do what, all in hopes of building you up even stronger the next time?",build,validation-00000-of-00001,B,"Question:
In basic training they build you up only to do what, all in hopes of building you up even stronger the next time?

Which of the following is the best response to the question?

Choices:
A. destroying
B. tear down
C. raze
D. mutilate
E. demolition

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"If you're a small dog owned by your father's mother, where would you live?",small dog,train-00000-of-00001,D,"Question:
If you're a small dog owned by your father's mother, where would you live?

Which of the following is the best response to the question?

Choices:
A. the enterprise
B. baby carriage
C. basket
D. grandma's house
E. barbeque

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
As everybody at the table began to twirl noodles she mentioned that wine was he secret ingredient in the what?,wine,train-00000-of-00001,D,"Question:
As everybody at the table began to twirl noodles she mentioned that wine was he secret ingredient in the what?

Which of the following is the best response to the question?

Choices:
A. liquor store
B. church
C. museum
D. spaghetti sauce
E. art show

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"If you're still in love and end up stopping being married to your partner, what emotion are you likely to experience?",stopping being married to,train-00000-of-00001,D,"Question:
If you're still in love and end up stopping being married to your partner, what emotion are you likely to experience?

Which of the following is the best response to the question?

Choices:
A. wrong
B. pleasure
C. encouragement
D. depression
E. relief

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"Joe was very good at thinking.  As he grew, he learned out to apply his thoughts to most situations.  This led to him doing what?",thinking,train-00000-of-00001,E,"Question:
Joe was very good at thinking.  As he grew, he learned out to apply his thoughts to most situations.  This led to him doing what?

Which of the following is the best response to the question?

Choices:
A. solution to problem
B. sadness
C. depression
D. wonder
E. solving problem

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"She always made sure her infant was sleeping the right way, the articles she read had made her paranoid about what happening?",sleeping,train-00000-of-00001,B,"Question:
She always made sure her infant was sleeping the right way, the articles she read had made her paranoid about what happening?

Which of the following is the best response to the question?

Choices:
A. nightmares
B. death
C. dreams
D. erections
E. vaccines

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"The person was having a difficult time understanding the computer program, they were beginning to what?",program,train-00000-of-00001,C,"Question:
The person was having a difficult time understanding the computer program, they were beginning to what?

Which of the following is the best response to the question?

Choices:
A. stare at computer screen
B. compile
C. get frustrated
D. write code
E. think logically

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The professor spoke in a laconic tone, what kind of language was he avoiding?",laconic,train-00000-of-00001,D,"Question:
The professor spoke in a laconic tone, what kind of language was he avoiding?

Which of the following is the best response to the question?

Choices:
A. dry
B. prolix
C. loquacious
D. verbose
E. bombastic

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"It wasn't something he had had before, but he found the chicken and grape vinaigrette what to be delicious?",grape,train-00000-of-00001,B,"Question:
It wasn't something he had had before, but he found the chicken and grape vinaigrette what to be delicious?

Which of the following is the best response to the question?

Choices:
A. bowl of fruit
B. salad
C. table
D. food store
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The instructor explained all the parts like the stock, then the cadets had to disassemble and reassemble their what?",stock,train-00000-of-00001,E,"Question:
The instructor explained all the parts like the stock, then the cadets had to disassemble and reassemble their what?

Which of the following is the best response to the question?

Choices:
A. texas
B. fishing rod
C. return dividend
D. artillery
E. machine gun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What would you be building if you designed a place for an annoying critter to stay?,mosquitoes,validation-00000-of-00001,E,"Question:
What would you be building if you designed a place for an annoying critter to stay?

Which of the following is the best response to the question?

Choices:
A. spread disease
B. swamp
C. fly away
D. cat condo
E. bug campers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"John didn't double space or use line breaks.  As a result, it was impossible to make out breaks between his what.",space,train-00000-of-00001,B,"Question:
John didn't double space or use line breaks.  As a result, it was impossible to make out breaks between his what.

Which of the following is the best response to the question?

Choices:
A. sentence
B. paragraph
C. box
D. suitcase
E. ears

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The rich kid thought he could offer the professor money, and in turn the professor would let him what?",money,train-00000-of-00001,B,"Question:
The rich kid thought he could offer the professor money, and in turn the professor would let him what?

Which of the following is the best response to the question?

Choices:
A. spend
B. pass course
C. keep
D. create art
E. pocket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Jane read all of the related literature before she went into the room to speak with the others. Where did she keep her literature?,literature,train-00000-of-00001,E,"Question:
Jane read all of the related literature before she went into the room to speak with the others. Where did she keep her literature?

Which of the following is the best response to the question?

Choices:
A. meeting
B. conference
C. public library
D. bag
E. shelf

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"John lives in Texas. If he takes the highway South and doesn't stop, where will he end up next?",highway,train-00000-of-00001,E,"Question:
John lives in Texas. If he takes the highway South and doesn't stop, where will he end up next?

Which of the following is the best response to the question?

Choices:
A. oklahoma
B. developed land
C. united states
D. desert
E. mexico

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"He wanted to but couldn't concentrate on playing game with friends, he wished he could just be doing what with it?",playing game,train-00000-of-00001,E,"Question:
He wanted to but couldn't concentrate on playing game with friends, he wished he could just be doing what with it?

Which of the following is the best response to the question?

Choices:
A. gaming
B. anger
C. stress
D. injury
E. enjoying

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The Mormon owned steak house was always busy, it was a great place to visit where?",steak house,train-00000-of-00001,A,"Question:
The Mormon owned steak house was always busy, it was a great place to visit where?

Which of the following is the best response to the question?

Choices:
A. utah
B. nebraska
C. the sun
D. new york
E. strip mall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Billy was a solider.  He joined the military because he wanted to do what?,soldier,train-00000-of-00001,B,"Question:
Billy was a solider.  He joined the military because he wanted to do what?

Which of the following is the best response to the question?

Choices:
A. to marry
B. fight for freedom
C. report for duty
D. wait for orders
E. receive orders

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Sally worked at a dentist office. She had to work late.  What might have caused her to work late?,dentist office,train-00000-of-00001,C,"Question:
Sally worked at a dentist office. She had to work late.  What might have caused her to work late?

Which of the following is the best response to the question?

Choices:
A. office building
B. town
C. patient
D. michigan
E. office desk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"After spending a hot summer day running after ball while playing baseball, what might happen to a person's body?",running after ball,train-00000-of-00001,C,"Question:
After spending a hot summer day running after ball while playing baseball, what might happen to a person's body?

Which of the following is the best response to the question?

Choices:
A. physical exertion
B. tiredness
C. sweating
D. injury
E. breathing heavily

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
James put a divider between arithmetic and English.  This meant that he could continue using what?,divider,train-00000-of-00001,E,"Question:
James put a divider between arithmetic and English.  This meant that he could continue using what?

Which of the following is the best response to the question?

Choices:
A. office suite
B. his textbook
C. binder
D. math class
E. notebook

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The person wanted to use her ear to detect the buffalo herd, where did she put it?",ear,train-00000-of-00001,D,"Question:
The person wanted to use her ear to detect the buffalo herd, where did she put it?

Which of the following is the best response to the question?

Choices:
A. on the buffalo
B. person's head
C. side of head
D. ground
E. serial killer's bedroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"If a coup-de-etat happens with hopes of changing society, what is called for?",changing society,train-00000-of-00001,E,"Question:
If a coup-de-etat happens with hopes of changing society, what is called for?

Which of the following is the best response to the question?

Choices:
A. happiness for
B. new laws
C. protest
D. change in leadership
E. cultural revolution

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"Grumpy is grooming himself because he's been told that his appearance can impact his mood, and he wants to be what?",grooming,train-00000-of-00001,E,"Question:
Grumpy is grooming himself because he's been told that his appearance can impact his mood, and he wants to be what?

Which of the following is the best response to the question?

Choices:
A. injury
B. get
C. looking pretty
D. negative
E. positive

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The illusionist had a lot of lying in his magic act, it was all part of his act of what?",lying,train-00000-of-00001,A,"Question:
The illusionist had a lot of lying in his magic act, it was all part of his act of what?

Which of the following is the best response to the question?

Choices:
A. deception
B. betrayal of trust
C. trickery
D. more lies
E. problems

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"John was a terrible writer.   To practice, his teacher suggest that he consider people he knows and do what?",writer,train-00000-of-00001,C,"Question:
John was a terrible writer.   To practice, his teacher suggest that he consider people he knows and do what?

Which of the following is the best response to the question?

Choices:
A. write novels
B. advertising firm
C. write letter
D. write notes
E. write poems

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"Before the game some players knelt to pray, they did this because they what?",pray,train-00000-of-00001,C,"Question:
Before the game some players knelt to pray, they did this because they what?

Which of the following is the best response to the question?

Choices:
A. being watched
B. you're scared
C. were religious
D. god hears
E. talk to god

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"He has lactose intolerant, but was eating dinner made of cheese, what followed for him?",eating dinner,validation-00000-of-00001,D,"Question:
He has lactose intolerant, but was eating dinner made of cheese, what followed for him?

Which of the following is the best response to the question?

Choices:
A. digestive
B. feel better
C. sleepiness
D. indigestion
E. illness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
What does a gambler do that causes him or her to be unhappy?,gambler,validation-00000-of-00001,C,"Question:
What does a gambler do that causes him or her to be unhappy?

Which of the following is the best response to the question?

Choices:
A. play cards
B. double winnings
C. lose money
D. play poker
E. to win the prize

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"When standing in queue and daydreaming, someone might get your attention from far away by doing using what technique?",standing in queue,train-00000-of-00001,B,"Question:
When standing in queue and daydreaming, someone might get your attention from far away by doing using what technique?

Which of the following is the best response to the question?

Choices:
A. become impatient
B. whistle
C. daydreaming
D. give up
E. look around

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
In what Spanish speaking North American country can you get a great cup of coffee?,cup of coffee,validation-00000-of-00001,B,"Question:
In what Spanish speaking North American country can you get a great cup of coffee?

Which of the following is the best response to the question?

Choices:
A. mildred's coffee shop
B. mexico
C. diner
D. kitchen
E. canteen

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"I need to pick up a balloon after getting some snacks and a cake, where can I get all these things at once?",balloon,train-00000-of-00001,E,"Question:
I need to pick up a balloon after getting some snacks and a cake, where can I get all these things at once?

Which of the following is the best response to the question?

Choices:
A. fair
B. child's hand
C. sky
D. birthday party
E. grocery store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"Tired of his sickness, what did the man seek as he visited various doctors?",sickness,train-00000-of-00001,E,"Question:
Tired of his sickness, what did the man seek as he visited various doctors?

Which of the following is the best response to the question?

Choices:
A. being well
B. wounds
C. cause person to hoarse
D. healthy
E. healthiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"They moved out of the city to have a master bedroom, what kind of home did they seek?",master bedroom,train-00000-of-00001,B,"Question:
They moved out of the city to have a master bedroom, what kind of home did they seek?

Which of the following is the best response to the question?

Choices:
A. large house
B. suburban home
C. big house
D. old house
E. keeping personal objects

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The teacher got frustrated at the wrong answer, he told the thick headed student ""if you just listen..."" what?",listen,train-00000-of-00001,A,"Question:
The teacher got frustrated at the wrong answer, he told the thick headed student ""if you just listen..."" what?

Which of the following is the best response to the question?

Choices:
A. you'll learn
B. hear things
C. win the lottery
D. stop speaking
E. concentrate on sounds

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
Bobby noticed that the silverware was plastic.  This was a turn off for him because it was so cheap.  Where might he have been?,silverware,train-00000-of-00001,A,"Question:
Bobby noticed that the silverware was plastic.  This was a turn off for him because it was so cheap.  Where might he have been?

Which of the following is the best response to the question?

Choices:
A. restaurant
B. silver
C. cupboard
D. table
E. kitchen

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"May was watchign a film about turtles who fight crime.  It was a silly film, but exciting.  It gave her a great deal of what?",watching film,train-00000-of-00001,A,"Question:
May was watchign a film about turtles who fight crime.  It was a silly film, but exciting.  It gave her a great deal of what?

Which of the following is the best response to the question?

Choices:
A. enjoyment
B. relaxation
C. stupidity
D. masturbation
E. sadness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
Billy is going to sleep.  What will he be for the next few hours?,going to sleep,train-00000-of-00001,B,"Question:
Billy is going to sleep.  What will he be for the next few hours?

Which of the following is the best response to the question?

Choices:
A. snoring
B. not awake
C. loss of consciousness
D. latency
E. sleep walking

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
What is a nerd most likely to have a curiosity to do that others wouldn't?,curiosity,train-00000-of-00001,D,"Question:
What is a nerd most likely to have a curiosity to do that others wouldn't?

Which of the following is the best response to the question?

Choices:
A. listen to music
B. use television
C. find truth
D. design software
E. read book

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Bob is a very creative person.  Visiting the museum gave him a lot of what?,visiting museum,train-00000-of-00001,B,"Question:
Bob is a very creative person.  Visiting the museum gave him a lot of what?

Which of the following is the best response to the question?

Choices:
A. enjoyment
B. inspiration
C. boredom
D. being bored
E. lethargy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
He was eating a roast beef sandwich on his sofa bed and spilled what spicy spicy sauce on it?,sofa bed,train-00000-of-00001,C,"Question:
He was eating a roast beef sandwich on his sofa bed and spilled what spicy spicy sauce on it?

Which of the following is the best response to the question?

Choices:
A. texas
B. guest room
C. horseradish
D. living room
E. basement

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"If you want to learn about the world and understand the real reasons behind cultural norms and mores, you have achieved a sense of what?",learning about world,validation-00000-of-00001,A,"Question:
If you want to learn about the world and understand the real reasons behind cultural norms and mores, you have achieved a sense of what?

Which of the following is the best response to the question?

Choices:
A. enlightenment
B. open mind
C. confusion
D. smartness
E. anger

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"If a person has clean laundry in the basement, what will they have to do in order to put it away in the bedroom?",person,train-00000-of-00001,C,"Question:
If a person has clean laundry in the basement, what will they have to do in order to put it away in the bedroom?

Which of the following is the best response to the question?

Choices:
A. die at home
B. cross street
C. climb stairs
D. make dinner
E. love objects

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
The teachers needed to get their classrooms ready for the school year.  What is one thing they might do?,teachers,train-00000-of-00001,C,"Question:
The teachers needed to get their classrooms ready for the school year.  What is one thing they might do?

Which of the following is the best response to the question?

Choices:
A. talk too much
B. teach children
C. open boxes
D. answering questions
E. giving homework

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The piece of paper was worth a lot of money, it was an old Apple Inc what?",paper,validation-00000-of-00001,C,"Question:
The piece of paper was worth a lot of money, it was an old Apple Inc what?

Which of the following is the best response to the question?

Choices:
A. notebook
B. copy machine
C. stock certificate
D. ream
E. thumb drive

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
What could happen if you are going fishing in a river and fall down?,going fishing,train-00000-of-00001,D,"Question:
What could happen if you are going fishing in a river and fall down?

Which of the following is the best response to the question?

Choices:
A. have fun
B. catching fish
C. bear attack
D. wet clothes
E. disappointment at not catching

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The teacher encouraged note taking because everything was important, but it turned out the information that day was what for the upcoming quiz?",important,train-00000-of-00001,E,"Question:
The teacher encouraged note taking because everything was important, but it turned out the information that day was what for the upcoming quiz?

Which of the following is the best response to the question?

Choices:
A. insignificant
B. off
C. trivial
D. ignorable
E. useless

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Bob needs a level to hang a shelf but cant find one in his home. Where would he go to get one?,level,train-00000-of-00001,D,"Question:
Bob needs a level to hang a shelf but cant find one in his home. Where would he go to get one?

Which of the following is the best response to the question?

Choices:
A. glass of water
B. build evenly
C. garage
D. carpenter's shop
E. video game

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"The coach explained respect to the players before the game against the worst team in the league, he didn't want his players to what to the opponents?",respect,train-00000-of-00001,A,"Question:
The coach explained respect to the players before the game against the worst team in the league, he didn't want his players to what to the opponents?

Which of the following is the best response to the question?

Choices:
A. belittle
B. contemn
C. diss
D. castrate
E. disregard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"He didn't know what he believed, just that after all his studying it made since there was a what than man's brain?",studying,train-00000-of-00001,C,"Question:
He didn't know what he believed, just that after all his studying it made since there was a what than man's brain?

Which of the following is the best response to the question?

Choices:
A. culture
B. inspiration
C. higher intelligence
D. increasing knowledge
E. better grades

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Joe got his kid a plush bald Eagle.  Where did he probably get it from?,bald eagle,train-00000-of-00001,E,"Question:
Joe got his kid a plush bald Eagle.  Where did he probably get it from?

Which of the following is the best response to the question?

Choices:
A. pet shop
B. great outdoors
C. nature reserve
D. canada
E. toy store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"Though the drawing of the object was ambiguous at best, the people playing the drawing game were able to identify the item because it was what?",ambiguous,train-00000-of-00001,C,"Question:
Though the drawing of the object was ambiguous at best, the people playing the drawing game were able to identify the item because it was what?

Which of the following is the best response to the question?

Choices:
A. certain
B. distinct
C. common
D. known
E. specific

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"While seeing idea become reality was rewarding, she was really after the bottom line and want to what?",seeing idea become reality,train-00000-of-00001,C,"Question:
While seeing idea become reality was rewarding, she was really after the bottom line and want to what?

Which of the following is the best response to the question?

Choices:
A. happiness
B. very nice
C. make money
D. inspiration
E. fulfilling

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"If you're releasing energy with another person and you're both naked, what are you likely to be having?",releasing energy,train-00000-of-00001,A,"Question:
If you're releasing energy with another person and you're both naked, what are you likely to be having?

Which of the following is the best response to the question?

Choices:
A. sex
B. movement
C. exercising
D. swimming
E. sweat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The doctor could tell there was a problem with his lung right away, every time he would breathe he would also what?",breathe,train-00000-of-00001,C,"Question:
The doctor could tell there was a problem with his lung right away, every time he would breathe he would also what?

Which of the following is the best response to the question?

Choices:
A. inhaling
B. cough
C. wheeze
D. inhale
E. inhale and exhale

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"When people start learning about science and presented with hard science facts, many of them turn to what, despite what they may have learned growing up?",learning about science,train-00000-of-00001,B,"Question:
When people start learning about science and presented with hard science facts, many of them turn to what, despite what they may have learned growing up?

Which of the following is the best response to the question?

Choices:
A. experiment
B. atheism
C. arabic
D. scientific knowledge
E. new ideas

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"The factory made all sorts of specialized toys; AK47's, MiGs, anything having to do with what?",factory,train-00000-of-00001,B,"Question:
The factory made all sorts of specialized toys; AK47's, MiGs, anything having to do with what?

Which of the following is the best response to the question?

Choices:
A. free trade zones
B. russia
C. industrial park
D. napoleon
E. workers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"He spent all summer in his room playing video games, because of this it wasn't surprising for Mother to find a stack of dirty dishes in her what?",dirty dishes,train-00000-of-00001,A,"Question:
He spent all summer in his room playing video games, because of this it wasn't surprising for Mother to find a stack of dirty dishes in her what?

Which of the following is the best response to the question?

Choices:
A. son's room
B. party
C. dishwasher
D. restaurant kitchen
E. shoes

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"If people are at war with one another, what might they do as a consequence?",people,train-00000-of-00001,A,"Question:
If people are at war with one another, what might they do as a consequence?

Which of the following is the best response to the question?

Choices:
A. destroy each other
B. interact
C. talk to each other
D. run amok
E. desire to win

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"After I urinate and flush the toilet and wash my hands, what should I do next?",urinate,train-00000-of-00001,D,"Question:
After I urinate and flush the toilet and wash my hands, what should I do next?

Which of the following is the best response to the question?

Choices:
A. flush toilet
B. dry hands
C. zip pants
D. eat
E. wash hands

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"Gill went forth for some time.   Because hie forgot something, he put the car in what?",forth,train-00000-of-00001,B,"Question:
Gill went forth for some time.   Because hie forgot something, he put the car in what?

Which of the following is the best response to the question?

Choices:
A. straightforth
B. reverse
C. backwards
D. back and
E. race

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"If you're a construction foreman and your job is to supervise others, what would your eyes been doing all day?",eyes,train-00000-of-00001,B,"Question:
If you're a construction foreman and your job is to supervise others, what would your eyes been doing all day?

Which of the following is the best response to the question?

Choices:
A. fill with tears
B. see work
C. burning
D. glass over
E. dry out

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Billy is an archaeologist. He looks for information about ancient human civilization. What is something that he might enjoy finding?,human,train-00000-of-00001,E,"Question:
Billy is an archaeologist. He looks for information about ancient human civilization. What is something that he might enjoy finding?

Which of the following is the best response to the question?

Choices:
A. school
B. love
C. adventure
D. space shuttle
E. library

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
