question,question_concept,_split,answer,final_prompt,len_tk_qwen3_8b_instruct
"John didn't mind getting in line.  It was what game after that he hated.  The time, the sore feet. He did not like doing what?",getting in line,validation-00000-of-00001,B,"Question:
John didn't mind getting in line.  It was what game after that he hated.  The time, the sore feet. He did not like doing what?

Which of the following is the best response to the question?

Choices:
A. have to wait for
B. standing in line
C. eat cake
D. less confusion
E. being ordered

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
"John was stuck in his house.  He couldn't get out the door.  He was very frightened when the smoke detectors went off, but luckily it was a false alarm.  Why might he be stuck?",house,train-00000-of-00001,C,"Question:
John was stuck in his house.  He couldn't get out the door.  He was very frightened when the smoke detectors went off, but luckily it was a false alarm.  Why might he be stuck?

Which of the following is the best response to the question?

Choices:
A. fire
B. belong to
C. winter storm
D. face south
E. burn down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",101
Alexa wants to eat lunch  but she left her lunchbox and wallet at home.  John gives her a twenty so that she can go out and do what?,eat lunch,train-00000-of-00001,D,"Question:
Alexa wants to eat lunch  but she left her lunchbox and wallet at home.  John gives her a twenty so that she can go out and do what?

Which of the following is the best response to the question?

Choices:
A. borrow food
B. have food
C. prepare food
D. buy food
E. get food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"Joe and Jim were running errands together.  They had a lot to do and very little time to do it, so they experienced a lot of what?",running errands,train-00000-of-00001,A,"Question:
Joe and Jim were running errands together.  They had a lot to do and very little time to do it, so they experienced a lot of what?

Which of the following is the best response to the question?

Choices:
A. stress
B. aggravation
C. efficiency
D. tiredness
E. net gain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
Bob didn't know that the secret passageway was there when he bought the place. It led to a bomb shelter in the back yard.  Where might the passage way have been?,passageway,train-00000-of-00001,E,"Question:
Bob didn't know that the secret passageway was there when he bought the place. It led to a bomb shelter in the back yard.  Where might the passage way have been?

Which of the following is the best response to the question?

Choices:
A. airport
B. building
C. hotel
D. shopping mall
E. house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
Brian was a soldier.  he just got word that he was called back to active service.  He'd have to do what soon?,soldier,train-00000-of-00001,A,"Question:
Brian was a soldier.  he just got word that he was called back to active service.  He'd have to do what soon?

Which of the following is the best response to the question?

Choices:
A. report for duty
B. wait for orders
C. fight for freedom
D. obay
E. receive orders

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"Billy emptied his trash can into the big dumpster.  Housekeeping was supposed to do it, but it was easy for him, and this place was cheap.  Where is Billy?",trash can,train-00000-of-00001,C,"Question:
Billy emptied his trash can into the big dumpster.  Housekeeping was supposed to do it, but it was easy for him, and this place was cheap.  Where is Billy?

Which of the following is the best response to the question?

Choices:
A. dump
B. office
C. motel
D. park
E. corner

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"Suzie waited in a room covered with posters of celeberties and robots.  She liked this place, but she wished it was better decorated.  Where might she be?",room,train-00000-of-00001,C,"Question:
Suzie waited in a room covered with posters of celeberties and robots.  She liked this place, but she wished it was better decorated.  Where might she be?

Which of the following is the best response to the question?

Choices:
A. white house
B. school
C. friend's house
D. museum
E. apartment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"The man  tried to break the glass in order to make his escape in time, but he could not.  The person in the cat, trying to kill him, did what?",break,validation-00000-of-00001,A,"Question:
The man  tried to break the glass in order to make his escape in time, but he could not.  The person in the cat, trying to kill him, did what?

Which of the following is the best response to the question?

Choices:
A. accelerate
B. putting together
C. working
D. construct
E. train

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
James wanted a plastic saucer to put some cat food on  He certainly wasn't going to use a good saucer.  Where might he look for one?,saucer,train-00000-of-00001,B,"Question:
James wanted a plastic saucer to put some cat food on  He certainly wasn't going to use a good saucer.  Where might he look for one?

Which of the following is the best response to the question?

Choices:
A. drawer
B. kitchen cabinet
C. china cabinet
D. tea room
E. tea cabinet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
Miss Grady took a stick from Bob because he was playing with it during class.  She wanted to make sure that he couldn't get to it so she put it where?,glue stick,validation-00000-of-00001,A,"Question:
Miss Grady took a stick from Bob because he was playing with it during class.  She wanted to make sure that he couldn't get to it so she put it where?

Which of the following is the best response to the question?

Choices:
A. desk drawer
B. kitchen drawer
C. classroom
D. pocket
E. office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"The monkey didn't touch the ground.  He jumped around, laughed, threw things, and had all sorts of fun, but he never left something. What did he never leave?",monkey,train-00000-of-00001,E,"Question:
The monkey didn't touch the ground.  He jumped around, laughed, threw things, and had all sorts of fun, but he never left something. What did he never leave?

Which of the following is the best response to the question?

Choices:
A. branches
B. brazil
C. playful mood
D. rain forest
E. treetops

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
"He showed his ticket and went straight to the bathroom to get out any pee, he didn't want anything to make him have to get up once he took his seat in the what?",bathroom,train-00000-of-00001,E,"Question:
He showed his ticket and went straight to the bathroom to get out any pee, he didn't want anything to make him have to get up once he took his seat in the what?

Which of the following is the best response to the question?

Choices:
A. convenience store
B. friend's house
C. his house
D. school
E. theater

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
"James goes to church regularly.  He needs to move, but wants to move to a place with a church.  Where, in America, might one expect to find a church?",church,train-00000-of-00001,D,"Question:
James goes to church regularly.  He needs to move, but wants to move to a place with a church.  Where, in America, might one expect to find a church?

Which of the following is the best response to the question?

Choices:
A. christian community
B. city
C. wedding
D. every town
E. preast

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"Brian  took the tool  from the shelf. He thought no one noticed.  As he was talking out, the cashier told him to do what to it?",take,train-00000-of-00001,A,"Question:
Brian  took the tool  from the shelf. He thought no one noticed.  As he was talking out, the cashier told him to do what to it?

Which of the following is the best response to the question?

Choices:
A. drop
B. bring
C. move slowly
D. caretake
E. give

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
Joe wanted to know the truth because he was an academic and south to learn as much as possible.  He would do anything in pursuit of what?,truth,train-00000-of-00001,C,"Question:
Joe wanted to know the truth because he was an academic and south to learn as much as possible.  He would do anything in pursuit of what?

Which of the following is the best response to the question?

Choices:
A. work to advantage
B. matter to
C. further knowledge
D. free mind
E. finding the way

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
Billy was opening a new Deli. He wanted to open it in a place that gets a lot of traffic.  Where might he open it?,deli,train-00000-of-00001,C,"Question:
Billy was opening a new Deli. He wanted to open it in a place that gets a lot of traffic.  Where might he open it?

Which of the following is the best response to the question?

Choices:
A. new york city
B. strip mall
C. shopping center
D. hamburg
E. office building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"Danny was meeting his friend James, but James didn't show up. James was always punctual.  As time wore on and it became clear that his friend wasn't coming, Danny began to do what?",meeting friend,train-00000-of-00001,B,"Question:
Danny was meeting his friend James, but James didn't show up. James was always punctual.  As time wore on and it became clear that his friend wasn't coming, Danny began to do what?

Which of the following is the best response to the question?

Choices:
A. cheer
B. panic
C. anger
D. relaxation
E. joy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
"Lilly was getting warm and John's hands ran down her hips and rubbed her butt.  She wasn't quite there yet, but she was beginning to experience what?",getting warm,train-00000-of-00001,E,"Question:
Lilly was getting warm and John's hands ran down her hips and rubbed her butt.  She wasn't quite there yet, but she was beginning to experience what?

Which of the following is the best response to the question?

Choices:
A. get hot
B. hyperthermia
C. feeling comfortable
D. euphoria
E. pleasure

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
A person is trying to sleep but cannot.  He tosses and he turns without rest.  What might he need to do in order to sleep?,sleep,train-00000-of-00001,E,"Question:
A person is trying to sleep but cannot.  He tosses and he turns without rest.  What might he need to do in order to sleep?

Which of the following is the best response to the question?

Choices:
A. have bad
B. go to bed
C. pills
D. get in bed
E. get comfortable

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"He was staying at a resort near Nevada and California, he left on his boat from the dock in the north and at the opposite end spotted a bald eagle, where was he?",bald eagle,train-00000-of-00001,D,"Question:
He was staying at a resort near Nevada and California, he left on his boat from the dock in the north and at the opposite end spotted a bald eagle, where was he?

Which of the following is the best response to the question?

Choices:
A. central idaho
B. hells canyon
C. canada
D. south lake tahoe
E. park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
"Bob wants to talk, but he's surrounded by gnats and he thinks they're gross.   No one can hear him because refuses to do what?",talk,train-00000-of-00001,B,"Question:
Bob wants to talk, but he's surrounded by gnats and he thinks they're gross.   No one can hear him because refuses to do what?

Which of the following is the best response to the question?

Choices:
A. will listen
B. open mouth
C. speak up
D. express opinions
E. make sound

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
Billy saw a dog running from him and did his best to get away from it.  The leaped up to where the dog couldn't reach and was stuck.  Where might he have been trapped?,dog,validation-00000-of-00001,B,"Question:
Billy saw a dog running from him and did his best to get away from it.  The leaped up to where the dog couldn't reach and was stuck.  Where might he have been trapped?

Which of the following is the best response to the question?

Choices:
A. kennel
B. table
C. porch
D. backyard
E. park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
Mom said that Sarah should stay in bed until she was able to go to school again..  What did mom say to Sarah when she tried to get up?,stay in bed,train-00000-of-00001,A,"Question:
Mom said that Sarah should stay in bed until she was able to go to school again..  What did mom say to Sarah when she tried to get up?

Which of the following is the best response to the question?

Choices:
A. you're sick
B. were sick
C. more rest
D. rest more
E. get back under the covers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
"The man set the cup on the table.  It didn't matter.   He didn't heave anything to put it on, and he lacked the what to balance it?",setting cup on table,train-00000-of-00001,D,"Question:
The man set the cup on the table.  It didn't matter.   He didn't heave anything to put it on, and he lacked the what to balance it?

Which of the following is the best response to the question?

Choices:
A. tenacity
B. hands
C. coaster
D. skill
E. breaking

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"The shark kept bumping into piers and couldn't seem to get out into open water, where was it stuck?",shark,train-00000-of-00001,C,"Question:
The shark kept bumping into piers and couldn't seem to get out into open water, where was it stuck?

Which of the following is the best response to the question?

Choices:
A. television show
B. pacific ocean
C. san francisco bay
D. new england
E. gulf of mexico

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
Jane is a pilot.  She recently got a medal and a promotion for her quick thinking when her plane did this.  What might her plane have done?,airplanes,train-00000-of-00001,C,"Question:
Jane is a pilot.  She recently got a medal and a promotion for her quick thinking when her plane did this.  What might her plane have done?

Which of the following is the best response to the question?

Choices:
A. danger
B. slow down
C. catch on fire
D. arrive late
E. carry freight

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"John heard loud noise coming from below him, which was perfectly normal.   It always happened this time of day.  He really hated living here.  Where did he live?",below,train-00000-of-00001,D,"Question:
John heard loud noise coming from below him, which was perfectly normal.   It always happened this time of day.  He really hated living here.  Where did he live?

Which of the following is the best response to the question?

Choices:
A. upstream
B. roof
C. aloft
D. upstairs
E. upwards

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"There was only one room in the place where Bill slept.  It had a bed, a fridge, a stove, a couch, and a television.  Where might he be?",room,train-00000-of-00001,D,"Question:
There was only one room in the place where Bill slept.  It had a bed, a fridge, a stove, a couch, and a television.  Where might he be?

Which of the following is the best response to the question?

Choices:
A. motel
B. school
C. hotel
D. apartment
E. friend's house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"John was playing football when he suffered a concussion.  He was really worried about the possible consequences of his sport, but the concussion was less scary than what?",playing football,train-00000-of-00001,D,"Question:
John was playing football when he suffered a concussion.  He was really worried about the possible consequences of his sport, but the concussion was less scary than what?

Which of the following is the best response to the question?

Choices:
A. head injuries
B. having fun
C. being sick
D. death
E. getting hurt

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"John went to sleep on his couch and was dreaming that he was fighting a giant whale in the ocean. When he woke up he was outside in the rain, wrestling an inflatable chair.  What was John doing?",dreaming,train-00000-of-00001,D,"Question:
John went to sleep on his couch and was dreaming that he was fighting a giant whale in the ocean. When he woke up he was outside in the rain, wrestling an inflatable chair.  What was John doing?

Which of the following is the best response to the question?

Choices:
A. might awaken
B. fantasy
C. watching movie
D. sleepwalking
E. fear

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
"Susan listened to the radio most of the day.  She didn't care for talk shows, so she mostly listened to the stations that did what?",radio,train-00000-of-00001,B,"Question:
Susan listened to the radio most of the day.  She didn't care for talk shows, so she mostly listened to the stations that did what?

Which of the following is the best response to the question?

Choices:
A. turn on
B. play music
C. eat cake
D. space shuttle
E. blaring

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
Bob pulled a rock out of the ground.  He wanted to examine the thing because he was into geology.   He was also into waterskiing.   He had many what?,examine thing,train-00000-of-00001,E,"Question:
Bob pulled a rock out of the ground.  He wanted to examine the thing because he was into geology.   He was also into waterskiing.   He had many what?

Which of the following is the best response to the question?

Choices:
A. talents
B. complex
C. interesting
D. learn more about
E. interests

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
Most people won't always say what they mean.   They're twisty like that.  They want to avoid conflict. You have to use your brain if you want to understand.    What do most people due sometimes?,most people,train-00000-of-00001,A,"Question:
Most people won't always say what they mean.   They're twisty like that.  They want to avoid conflict. You have to use your brain if you want to understand.    What do most people due sometimes?

Which of the following is the best response to the question?

Choices:
A. lie
B. set table
C. think
D. read books
E. not speak

Reply with exactly one uppercase letter out of A, B, C, D or E.
",102
Jim chose clear paint.  He could have chosen another type but it would have covered up the natural beauty of the wood.  What sort of paint could he have chosen instead?,clear,train-00000-of-00001,A,"Question:
Jim chose clear paint.  He could have chosen another type but it would have covered up the natural beauty of the wood.  What sort of paint could he have chosen instead?

Which of the following is the best response to the question?

Choices:
A. opaque
B. opal
C. obscured
D. obscure
E. thick

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
The animals were in the back of the van.  Sally and Jim were nervoud about that.  They were afraid their pets might get hurt during the what?,animals,train-00000-of-00001,C,"Question:
The animals were in the back of the van.  Sally and Jim were nervoud about that.  They were afraid their pets might get hurt during the what?

Which of the following is the best response to the question?

Choices:
A. get cold
B. lie down
C. move
D. travel
E. feel pain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"The person went to the ticket booth to buy a trip, they now had to wait for the rails to signal the arrival or their ride at the what?",ticket booth,train-00000-of-00001,D,"Question:
The person went to the ticket booth to buy a trip, they now had to wait for the rails to signal the arrival or their ride at the what?

Which of the following is the best response to the question?

Choices:
A. auditorium
B. fairgrounds
C. airport
D. metro station
E. amusement park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
Jane was a human who had to poop really bad.  But she couldn't because her ride was about to come in and she didn't want to miss it.  Where might she be?,human,train-00000-of-00001,B,"Question:
Jane was a human who had to poop really bad.  But she couldn't because her ride was about to come in and she didn't want to miss it.  Where might she be?

Which of the following is the best response to the question?

Choices:
A. bed
B. airport
C. mall
D. homes
E. bathroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"The hipsters tried to take a disingenuous kooky approach to their cafe, they were soon out of business to the competitor who took what kind of approach?",kooky,train-00000-of-00001,D,"Question:
The hipsters tried to take a disingenuous kooky approach to their cafe, they were soon out of business to the competitor who took what kind of approach?

Which of the following is the best response to the question?

Choices:
A. mainstream
B. straight
C. right
D. conventional
E. uneccentric

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"James noticed that people who communicate well have fewer problems.  Some people communicate easily with strangers, others need to talk with members of their own groups.  A religion is a type of group.  What do members of a religion have in common?",people,train-00000-of-00001,A,"Question:
James noticed that people who communicate well have fewer problems.  Some people communicate easily with strangers, others need to talk with members of their own groups.  A religion is a type of group.  What do members of a religion have in common?

Which of the following is the best response to the question?

Choices:
A. believe in god
B. talk to each other
C. pay bills
D. learn from each other
E. believe in ghosts

Reply with exactly one uppercase letter out of A, B, C, D or E.
",115
John was waiting for his plane for hours.  His butt hurt from sitting in a hard plastic chair all that time.  But it was still better than sitting on what?,chair,train-00000-of-00001,E,"Question:
John was waiting for his plane for hours.  His butt hurt from sitting in a hard plastic chair all that time.  But it was still better than sitting on what?

Which of the following is the best response to the question?

Choices:
A. office
B. living room
C. bedroom
D. airport
E. floor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
James was chatting with friends  and eating pizza when he suddenly experienced something.  He ran out of the room to get a pen and paper.   What did he experience?,chatting with friends,train-00000-of-00001,E,"Question:
James was chatting with friends  and eating pizza when he suddenly experienced something.  He ran out of the room to get a pen and paper.   What did he experience?

Which of the following is the best response to the question?

Choices:
A. fun
B. discomfort
C. love
D. car
E. inspiration

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"Sarah expected to a fortune on her new business.  However, she ended up going broke because no one could get money to buy.  What might her business have been?",fortune,train-00000-of-00001,B,"Question:
Sarah expected to a fortune on her new business.  However, she ended up going broke because no one could get money to buy.  What might her business have been?

Which of the following is the best response to the question?

Choices:
A. bunkrupt
B. real estate
C. stock market
D. bank
E. treasure chest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"Dan was ditting quietly on the couch with a book in his hand.  Laurie thought that he was just focused on what he was doing, but he actually did what?",sitting quietly,validation-00000-of-00001,E,"Question:
Dan was ditting quietly on the couch with a book in his hand.  Laurie thought that he was just focused on what he was doing, but he actually did what?

Which of the following is the best response to the question?

Choices:
A. eat
B. think
C. reading
D. meditate
E. fall asleep

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"He knew of prairie dogs back home but wasn't sure if what he saw was a marmot, but the outback tour guide explained it was during his tour of where?",marmot,train-00000-of-00001,B,"Question:
He knew of prairie dogs back home but wasn't sure if what he saw was a marmot, but the outback tour guide explained it was during his tour of where?

Which of the following is the best response to the question?

Choices:
A. north america
B. australia
C. desert
D. wilderness
E. switzerland

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"A relationship that was once filled with the heat of passion but now has someone showing no emotion towards the other, the person has now demonstrated what towards the other?",heat,train-00000-of-00001,D,"Question:
A relationship that was once filled with the heat of passion but now has someone showing no emotion towards the other, the person has now demonstrated what towards the other?

Which of the following is the best response to the question?

Choices:
A. indifference
B. air conditioning
C. coolness
D. coldness
E. cooling

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"Joe was running around his home and crossed a property boundary, running into a meticulously manicured rosebush and doing damage to both it and himself.  Where might the rosebush been located?",rosebush,train-00000-of-00001,A,"Question:
Joe was running around his home and crossed a property boundary, running into a meticulously manicured rosebush and doing damage to both it and himself.  Where might the rosebush been located?

Which of the following is the best response to the question?

Choices:
A. neighbor's yard
B. in the ground
C. field
D. nature
E. botanic garden

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
"Lilly loved peace and quiet, but she couldn't find any where she lived.  She took drastic measures and went somewhere for solitude. Where did she go?",peace and quiet,train-00000-of-00001,D,"Question:
Lilly loved peace and quiet, but she couldn't find any where she lived.  She took drastic measures and went somewhere for solitude. Where did she go?

Which of the following is the best response to the question?

Choices:
A. library
B. home
C. top of mountain
D. sea
E. grocery

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"The sloth of a man was convicted of the crime caused by his apathy, he would spend at least a hundred hours finally doing a what?",sloth,train-00000-of-00001,C,"Question:
The sloth of a man was convicted of the crime caused by his apathy, he would spend at least a hundred hours finally doing a what?

Which of the following is the best response to the question?

Choices:
A. commercial
B. three toed
C. civil service
D. paraguay
E. costa rica

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"Stood below the balloons and studied them closely.  As he looked to the sky, he didn't see anything holding them up.  He wondered what the balloons where?",below,train-00000-of-00001,A,"Question:
Stood below the balloons and studied them closely.  As he looked to the sky, he didn't see anything holding them up.  He wondered what the balloons where?

Which of the following is the best response to the question?

Choices:
A. aloft
B. overhead
C. upwards
D. upstairs
E. above

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"James didn't have any teabags at home, nor did he have any cold tea.  He wanted tea, though, he rushed out and went where?",tea,train-00000-of-00001,A,"Question:
James didn't have any teabags at home, nor did he have any cold tea.  He wanted tea, though, he rushed out and went where?

Which of the following is the best response to the question?

Choices:
A. internet cafe
B. refrigerator
C. teapot
D. cupboard
E. coffee shop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"James bought two cats for emma during her chemo.  They cheared her up.  But the chemo wasn't working as well as it was supposed to, and Emma felt that they had come to something.  What did she feel they had come to?",cats,train-00000-of-00001,D,"Question:
James bought two cats for emma during her chemo.  They cheared her up.  But the chemo wasn't working as well as it was supposed to, and Emma felt that they had come to something.  What did she feel they had come to?

Which of the following is the best response to the question?

Choices:
A. find a friend
B. excrete
C. have cancer
D. cross roads
E. drink water

Reply with exactly one uppercase letter out of A, B, C, D or E.
",115
"The tickets were supposed to arrive by 1AM, but Sally had been standing in queue for the concert since midnight and it was now 2AM and the line hadn't moved.  Why was this?",standing in queue,train-00000-of-00001,A,"Question:
The tickets were supposed to arrive by 1AM, but Sally had been standing in queue for the concert since midnight and it was now 2AM and the line hadn't moved.  Why was this?

Which of the following is the best response to the question?

Choices:
A. delays
B. frustration
C. sprinting
D. moving forward
E. being annoyed

Reply with exactly one uppercase letter out of A, B, C, D or E.
",99
"John walks down an aisle that is full of over the counter medication. and another with assorted items, toys, candy, and whatnot.  If there isn't any food other than candy, what type of store is he probably in?",aisle,train-00000-of-00001,D,"Question:
John walks down an aisle that is full of over the counter medication. and another with assorted items, toys, candy, and whatnot.  If there isn't any food other than candy, what type of store is he probably in?

Which of the following is the best response to the question?

Choices:
A. department store
B. gas station
C. grocery store
D. drugstore
E. supermarket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",106
"James was a politician, but he loved the finer things in life and had few scruples. He took things that he shouldn't have.  What might those things have been?",politician,train-00000-of-00001,C,"Question:
James was a politician, but he loved the finer things in life and had few scruples. He took things that he shouldn't have.  What might those things have been?

Which of the following is the best response to the question?

Choices:
A. win elections
B. re elected
C. bribe
D. power
E. the majority vote

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
Joe likes horses.  He likes how they move.  Unfortunately he can't keep them because he can't provide for them.  What is one thing that horses need to do to live?,horses,train-00000-of-00001,B,"Question:
Joe likes horses.  He likes how they move.  Unfortunately he can't keep them because he can't provide for them.  What is one thing that horses need to do to live?

Which of the following is the best response to the question?

Choices:
A. need space
B. drink water
C. canter
D. trot
E. carry riders

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
John walked up to the reception desk and rang a bell.  He waited for five minutes and told the reception person that he had a reservation. Where might he be?,reception desk,train-00000-of-00001,C,"Question:
John walked up to the reception desk and rang a bell.  He waited for five minutes and told the reception person that he had a reservation. Where might he be?

Which of the following is the best response to the question?

Choices:
A. lobby
B. office park
C. at hotel
D. large office
E. real estate office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"The extrovert didn't mind talking to the stranger, to him it was half the fun to him of taking public transportation to school and waiting at the what?",stranger,train-00000-of-00001,C,"Question:
The extrovert didn't mind talking to the stranger, to him it was half the fun to him of taking public transportation to school and waiting at the what?

Which of the following is the best response to the question?

Choices:
A. town
B. park
C. bus station
D. train station
E. taxi stand

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"Sally liked hair, and wanted to rub some every single day. However, she has no skill at cutting hair at all, and no interest in doing so.  What might she get to let her rub hair?",hair,train-00000-of-00001,D,"Question:
Sally liked hair, and wanted to rub some every single day. However, she has no skill at cutting hair at all, and no interest in doing so.  What might she get to let her rub hair?

Which of the following is the best response to the question?

Choices:
A. sink
B. moustache
C. oils
D. mammals
E. barber shop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",101
