question,question_concept,_split,answer,final_prompt,len_tk_llama3.1_8b_base
Where can you buy a letter opener along with high quality writing instruments?,letter opener,train-00000-of-00001,D,"Question:
Where can you buy a letter opener along with high quality writing instruments?

Which of the following is the best response to the question?

Choices:
A. grocery store
B. dek
C. martyr's chest
D. stationery store
E. office supply store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where are you likely to find a bald eagle on a floating bridge?,bald eagle,train-00000-of-00001,A,"Question:
Where are you likely to find a bald eagle on a floating bridge?

Which of the following is the best response to the question?

Choices:
A. pacific northwest
B. river
C. canada
D. northern california
E. washington state

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"The man has much to do, but was watching tv, what was he doing?",watching tv,train-00000-of-00001,E,"Question:
The man has much to do, but was watching tv, what was he doing?

Which of the following is the best response to the question?

Choices:
A. arguments
B. entertainment
C. having fun
D. get fat
E. wasting time

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What would someone do have fun at a winter party outside?,have fun,train-00000-of-00001,C,"Question:
What would someone do have fun at a winter party outside?

Which of the following is the best response to the question?

Choices:
A. find place to party
B. nothing in paticular
C. wrap up
D. drink
E. do enjoy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What state is the John Davis  Lodge toll road found in?,toll road,train-00000-of-00001,D,"Question:
What state is the John Davis  Lodge toll road found in?

Which of the following is the best response to the question?

Choices:
A. new jersey
B. eastern united states
C. good repair
D. connecticut
E. arizona

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Minerals can be found on what third rock from the sun?,mineral,train-00000-of-00001,E,"Question:
Minerals can be found on what third rock from the sun?

Which of the following is the best response to the question?

Choices:
A. nebraska
B. multivitamin
C. michigan
D. ore
E. earth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"The next step in the remodel was new flooring, so they head out to shop where?",flooring,train-00000-of-00001,A,"Question:
The next step in the remodel was new flooring, so they head out to shop where?

Which of the following is the best response to the question?

Choices:
A. home depot
B. loft
C. house
D. bundle
E. kitchen

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"Ones and zeroes are how computers do everything, you could say they simply what?",computers,train-00000-of-00001,C,"Question:
Ones and zeroes are how computers do everything, you could say they simply what?

Which of the following is the best response to the question?

Choices:
A. addition
B. do work
C. do arithmetic
D. multitask
E. share files

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What might I use to grow a ficus on my patio?,ficus,train-00000-of-00001,D,"Question:
What might I use to grow a ficus on my patio?

Which of the following is the best response to the question?

Choices:
A. tropical forest
B. arboretum
C. soil
D. pots
E. large pot

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"The family was playing cards, what would be a reason for this?",playing cards,train-00000-of-00001,D,"Question:
The family was playing cards, what would be a reason for this?

Which of the following is the best response to the question?

Choices:
A. amusement
B. losing money
C. charmed
D. having fun
E. win money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would you be unlikely to find more than one steak house?,steak house,train-00000-of-00001,E,"Question:
Where would you be unlikely to find more than one steak house?

Which of the following is the best response to the question?

Choices:
A. nebraska
B. utah
C. new york
D. city
E. strip mall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What do most companies not want to have relative to demand?,want,validation-00000-of-00001,A,"Question:
What do most companies not want to have relative to demand?

Which of the following is the best response to the question?

Choices:
A. oversupply
B. plentitude
C. stockpile
D. superabundance
E. busy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Danny sealed the box and wrote the address on it. Then he took it where?,box,train-00000-of-00001,C,"Question:
Danny sealed the box and wrote the address on it. Then he took it where?

Which of the following is the best response to the question?

Choices:
A. warehouse
B. closet
C. post office
D. street
E. garage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
I had to go somewhere involuntarily is the same as?,go somewhere,train-00000-of-00001,D,"Question:
I had to go somewhere involuntarily is the same as?

Which of the following is the best response to the question?

Choices:
A. arriving
B. might drive car
C. drive
D. stumbling down
E. get somewhere

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Indoor cats versus outdoor tend to what longer?,cat,train-00000-of-00001,C,"Question:
Indoor cats versus outdoor tend to what longer?

Which of the following is the best response to the question?

Choices:
A. walk on two legs
B. meow
C. live many years
D. cast shadow
E. see king

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"Flowers make a good center focal point, just one of many arrangements that look good on a what?",flowers,validation-00000-of-00001,B,"Question:
Flowers make a good center focal point, just one of many arrangements that look good on a what?

Which of the following is the best response to the question?

Choices:
A. market
B. table
C. countryside
D. anthology
E. vase

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"John looked for beavers but couldn't find any, because he lived where?",beaver,train-00000-of-00001,B,"Question:
John looked for beavers but couldn't find any, because he lived where?

Which of the following is the best response to the question?

Choices:
A. america
B. australia
C. countryside
D. dictionary
E. woodlands

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
LEds  are commonly found on kehyboards and other what?,led,train-00000-of-00001,B,"Question:
LEds  are commonly found on kehyboards and other what?

Which of the following is the best response to the question?

Choices:
A. television
B. electronic devices
C. pc board
D. electrical machine
E. dashboard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Why are guns not allowed in some areas?,guns,train-00000-of-00001,C,"Question:
Why are guns not allowed in some areas?

Which of the following is the best response to the question?

Choices:
A. bad
B. gun free zone
C. very dangerous
D. deadly in wrong hands
E. semiautomatic

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What room could you put a side chair to help putting on or taking off shoes?,side chair,train-00000-of-00001,B,"Question:
What room could you put a side chair to help putting on or taking off shoes?

Which of the following is the best response to the question?

Choices:
A. library
B. bedroom
C. table
D. library
E. office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What is a lover likely to want to do with their partner?,lover,train-00000-of-00001,C,"Question:
What is a lover likely to want to do with their partner?

Which of the following is the best response to the question?

Choices:
A. build family together
B. fall in love
C. make love
D. complete
E. distance themselves

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What is a person chatting with friends likely hoping to accomplish?,chatting with friends,train-00000-of-00001,E,"Question:
What is a person chatting with friends likely hoping to accomplish?

Which of the following is the best response to the question?

Choices:
A. gathering of information
B. communication
C. feel relaxed
D. kill boredom
E. social bonding

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What does a person try to do in a dangerous situation?,person,train-00000-of-00001,B,"Question:
What does a person try to do in a dangerous situation?

Which of the following is the best response to the question?

Choices:
A. compliments
B. stay alive
C. high wages
D. husband or wife
E. talk fast

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"He would entertain with a pool party regularly, it was the best way to beat the what?",entertain,train-00000-of-00001,B,"Question:
He would entertain with a pool party regularly, it was the best way to beat the what?

Which of the following is the best response to the question?

Choices:
A. please
B. hot
C. guest
D. bribe
E. liked

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"The car was out in the sun all day, what happened to the interior?",car,train-00000-of-00001,C,"Question:
The car was out in the sun all day, what happened to the interior?

Which of the following is the best response to the question?

Choices:
A. set off
B. melted
C. heat up
D. back up
E. red

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"The small dog always picked up the newspaper from the driveway, where did the dog live?",small dog,train-00000-of-00001,D,"Question:
The small dog always picked up the newspaper from the driveway, where did the dog live?

Which of the following is the best response to the question?

Choices:
A. nursing home
B. dog show
C. apart
D. suburb
E. own house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Why does a bodybuilder eat so much?,eat,train-00000-of-00001,E,"Question:
Why does a bodybuilder eat so much?

Which of the following is the best response to the question?

Choices:
A. pleasant conversation
B. store food for winter
C. satisfy hunger
D. sounds of digestion
E. gain weight

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"There were many features displayed, but most were where for the one particular gallery?",gallery,train-00000-of-00001,B,"Question:
There were many features displayed, but most were where for the one particular gallery?

Which of the following is the best response to the question?

Choices:
A. large city
B. art museum
C. london
D. france
E. new york city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
This is probably too shallow for a canoe.  What is this?,canoe,train-00000-of-00001,C,"Question:
This is probably too shallow for a canoe.  What is this?

Which of the following is the best response to the question?

Choices:
A. water
B. campground
C. mountain stream
D. broken water drain
E. boat house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"The man washed clothes, but needed more than water, what did he need?",wash clothes,train-00000-of-00001,C,"Question:
The man washed clothes, but needed more than water, what did he need?

Which of the following is the best response to the question?

Choices:
A. gather up
B. get dirty
C. use soap
D. use water
E. washcloth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"A person, cannot afford their home, they are likely to be experiencing what?",person,train-00000-of-00001,C,"Question:
A person, cannot afford their home, they are likely to be experiencing what?

Which of the following is the best response to the question?

Choices:
A. schizophrenia
B. deception
C. live in poverty
D. bad feelings
E. wealth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"If an actor is said to be on the ""small screen"" where would you see them perform?",actors,train-00000-of-00001,E,"Question:
If an actor is said to be on the ""small screen"" where would you see them perform?

Which of the following is the best response to the question?

Choices:
A. opera
B. cell phone
C. movies
D. play
E. television

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What do you use to move water out of a flooded room?,water,train-00000-of-00001,C,"Question:
What do you use to move water out of a flooded room?

Which of the following is the best response to the question?

Choices:
A. sink
B. backhoe
C. sump pump
D. underground stream
E. hydroelectric dam

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"He tried to jump his car, what terminal did he connect to after connecting the positive terminal?",positive,train-00000-of-00001,D,"Question:
He tried to jump his car, what terminal did he connect to after connecting the positive terminal?

Which of the following is the best response to the question?

Choices:
A. bad
B. uncertain
C. possimism
D. negative
E. adverse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What could happen after you are eating lunch that affects other people?,eating lunch,train-00000-of-00001,E,"Question:
What could happen after you are eating lunch that affects other people?

Which of the following is the best response to the question?

Choices:
A. gain weight
B. farts
C. jealous
D. heartburn
E. bad breath

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
All energy on earth comes from the sun.  It arrives in what form?,sun,train-00000-of-00001,A,"Question:
All energy on earth comes from the sun.  It arrives in what form?

Which of the following is the best response to the question?

Choices:
A. light
B. lightning
C. life on earth
D. sun tan
E. heat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Where would you buy alcohol from a person who will also bring things to eat?,alcohol,train-00000-of-00001,C,"Question:
Where would you buy alcohol from a person who will also bring things to eat?

Which of the following is the best response to the question?

Choices:
A. chemistry lab
B. party
C. restaurants
D. supermarket
E. pub

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Sweating excessively when you exercise will mean you need to do what?,exercise,train-00000-of-00001,D,"Question:
Sweating excessively when you exercise will mean you need to do what?

Which of the following is the best response to the question?

Choices:
A. fatigue
B. improve health
C. lazy
D. drink water
E. get tired

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where does someone lay with their leg elevated when it's broken?,leg,train-00000-of-00001,C,"Question:
Where does someone lay with their leg elevated when it's broken?

Which of the following is the best response to the question?

Choices:
A. spinning wheel
B. on a ladder
C. hospital bed
D. legroom
E. grand piano

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"Where might I ruin some papers if I place my coffee mug there, and it spills?",coffee mug,train-00000-of-00001,E,"Question:
Where might I ruin some papers if I place my coffee mug there, and it spills?

Which of the following is the best response to the question?

Choices:
A. table
B. cupboard
C. shelf
D. kitchen
E. desktop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
In the modern days we give what kind of classification to buildings to protect them from being town down?,modern,train-00000-of-00001,D,"Question:
In the modern days we give what kind of classification to buildings to protect them from being town down?

Which of the following is the best response to the question?

Choices:
A. classical
B. old fashioned
C. vintage
D. historical
E. antique

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What would you use to find out if there will be a cloud in the sky?,cloud,train-00000-of-00001,E,"Question:
What would you use to find out if there will be a cloud in the sky?

Which of the following is the best response to the question?

Choices:
A. night or day
B. atmosphere
C. car
D. murky liquid
E. weather report

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
The cat was wild but like all others he was always read for a cat what?,cat,train-00000-of-00001,E,"Question:
The cat was wild but like all others he was always read for a cat what?

Which of the following is the best response to the question?

Choices:
A. stealing
B. four legs
C. tuna fish
D. food now
E. nap

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What happens to the conscience of someone who has been caught committing a murder?,committing murder,train-00000-of-00001,E,"Question:
What happens to the conscience of someone who has been caught committing a murder?

Which of the following is the best response to the question?

Choices:
A. jail time
B. fear
C. going to prison
D. nothing
E. feeling of guilt

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"She told her child it was okay he was that way, and that everyone is what?",everyone,train-00000-of-00001,C,"Question:
She told her child it was okay he was that way, and that everyone is what?

Which of the following is the best response to the question?

Choices:
A. afraid of
B. part old
C. different
D. good at
E. smart

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"Her son scraped his knee, she fetched a bottle of peroxide from the what?",bottle,validation-00000-of-00001,E,"Question:
Her son scraped his knee, she fetched a bottle of peroxide from the what?

Which of the following is the best response to the question?

Choices:
A. supermarket
B. diaper bag
C. liquor store
D. hollow log
E. medicine cabinet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What is a place that sells suntan lotion but not food or medicine?,suntan lotion,train-00000-of-00001,B,"Question:
What is a place that sells suntan lotion but not food or medicine?

Which of the following is the best response to the question?

Choices:
A. mini mall
B. shop
C. grocery store
D. pharmacy
E. drugstore

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What do marine life use to shelter themselves from a shark?,shark,train-00000-of-00001,A,"Question:
What do marine life use to shelter themselves from a shark?

Which of the following is the best response to the question?

Choices:
A. coral reef
B. television program
C. pacific ocean
D. open ocean
E. seaweed

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Gold collected by people with peg legs and parrots was stored where?,gold,train-00000-of-00001,C,"Question:
Gold collected by people with peg legs and parrots was stored where?

Which of the following is the best response to the question?

Choices:
A. ring
B. jewelry store
C. treasure chest
D. fort knox
E. church

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
If you have a need for finding information through instruction what should you do?,finding information,train-00000-of-00001,E,"Question:
If you have a need for finding information through instruction what should you do?

Which of the following is the best response to the question?

Choices:
A. listen to online lessons
B. learn
C. ask questions
D. death
E. go to school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Billy was a human being who spent time doing something called a job. Where might a job be done?,human,train-00000-of-00001,A,"Question:
Billy was a human being who spent time doing something called a job. Where might a job be done?

Which of the following is the best response to the question?

Choices:
A. workplace
B. homes
C. store
D. school
E. park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What would friends do if they need each others' help?,friends,validation-00000-of-00001,B,"Question:
What would friends do if they need each others' help?

Which of the following is the best response to the question?

Choices:
A. call each other
B. group together
C. understand each other
D. meet for lunch
E. part company

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"People have to eat and drink, breathing is also a key factor in what?",breathing,train-00000-of-00001,A,"Question:
People have to eat and drink, breathing is also a key factor in what?

Which of the following is the best response to the question?

Choices:
A. living
B. warm air
C. hyperventilation
D. relaxation
E. oxygen

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
If a person wants to take up harmonica where might they find one to get started?,harmonica,train-00000-of-00001,C,"Question:
If a person wants to take up harmonica where might they find one to get started?

Which of the following is the best response to the question?

Choices:
A. blues band
B. outside
C. music shop
D. mouth
E. pocket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
If proof is found of someone killing people they will likely receive a long what?,killing people,train-00000-of-00001,E,"Question:
If proof is found of someone killing people they will likely receive a long what?

Which of the following is the best response to the question?

Choices:
A. going to jail
B. jailed
C. punishment
D. feelings of guilt
E. prison sentence

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"When she went to examine the thing, what was she considering doing with it?",examine thing,train-00000-of-00001,B,"Question:
When she went to examine the thing, what was she considering doing with it?

Which of the following is the best response to the question?

Choices:
A. eat cake
B. buy
C. interests
D. complex
E. learn about

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"There is a lot of ways to live life, but it all ends the same with what?",life,train-00000-of-00001,C,"Question:
There is a lot of ways to live life, but it all ends the same with what?

Which of the following is the best response to the question?

Choices:
A. void
B. created
C. death
D. coma
E. happy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
A supermarket is uncommon in what type of collection of shops?,supermarket,validation-00000-of-00001,A,"Question:
A supermarket is uncommon in what type of collection of shops?

Which of the following is the best response to the question?

Choices:
A. strip mall
B. city or town
C. shoppingcentre
D. boutique
E. vermont

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Where can you take your kids to buy things for them to play with?,kids,train-00000-of-00001,D,"Question:
Where can you take your kids to buy things for them to play with?

Which of the following is the best response to the question?

Choices:
A. disneyland
B. jungle
C. swimming pool
D. toy store
E. home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"A person with digestion issues eats a meat-filled breakfast, what does he feel?",eating breakfast,validation-00000-of-00001,A,"Question:
A person with digestion issues eats a meat-filled breakfast, what does he feel?

Which of the following is the best response to the question?

Choices:
A. heartburn
B. overeating
C. happiness
D. being satisfied
E. gain energy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
There aren't many anemone in what glove-shaped state?,anemone,train-00000-of-00001,A,"Question:
There aren't many anemone in what glove-shaped state?

Which of the following is the best response to the question?

Choices:
A. michigan
B. lake
C. tide pool
D. nursery
E. atlantic ocean

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"The diamonds were difficult for the prospectors to find, but why is that?",diamonds,train-00000-of-00001,B,"Question:
The diamonds were difficult for the prospectors to find, but why is that?

Which of the following is the best response to the question?

Choices:
A. more expensive than sand
B. rare
C. pretty
D. clear
E. dessert

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What will someone do in the house in the evening because of being hungry?,being hungry,train-00000-of-00001,D,"Question:
What will someone do in the house in the evening because of being hungry?

Which of the following is the best response to the question?

Choices:
A. make bread
B. have lunch
C. eat in restaurant
D. cook dinner
E. school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"The token was tossed aside carelessly, where did it end up?",token,train-00000-of-00001,B,"Question:
The token was tossed aside carelessly, where did it end up?

Which of the following is the best response to the question?

Choices:
A. pocket
B. ashtray
C. slot machine
D. floor
E. coin collection

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"The fight enemy choice had led him to a grave injury, he was now what?",fight enemy,train-00000-of-00001,A,"Question:
The fight enemy choice had led him to a grave injury, he was now what?

Which of the following is the best response to the question?

Choices:
A. dying
B. victory
C. casualties
D. protect yourself
E. death

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What are you usually at when you sit on a bench on a curb?,curb,train-00000-of-00001,E,"Question:
What are you usually at when you sit on a bench on a curb?

Which of the following is the best response to the question?

Choices:
A. ohio
B. city
C. street corner
D. tree
E. bus stop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
A computer user working on an important work assignment is located in what structure?,computer user,validation-00000-of-00001,A,"Question:
A computer user working on an important work assignment is located in what structure?

Which of the following is the best response to the question?

Choices:
A. office building
B. internet cafe
C. house
D. school
E. internet cafe

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"The all decided to sit down on the stools, and each order a what?",sit down,train-00000-of-00001,E,"Question:
The all decided to sit down on the stools, and each order a what?

Which of the following is the best response to the question?

Choices:
A. mindset
B. fart
C. relax
D. find seat
E. drink

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
People are genetically most likely to have this on top of their head?,people,train-00000-of-00001,C,"Question:
People are genetically most likely to have this on top of their head?

Which of the following is the best response to the question?

Choices:
A. horns
B. two eyes
C. brown hair
D. drug problem
E. feelings

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"A person needs to make a withdrawal, what is he looking for?",person,train-00000-of-00001,B,"Question:
A person needs to make a withdrawal, what is he looking for?

Which of the following is the best response to the question?

Choices:
A. buy clothes
B. bank money
C. cross street
D. rob a bank
E. let himself go

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"A man wanted to catch his favorite show, what is he most likely to do?",see favorite show,train-00000-of-00001,E,"Question:
A man wanted to catch his favorite show, what is he most likely to do?

Which of the following is the best response to the question?

Choices:
A. clap
B. feel happy
C. relax
D. record
E. watch television

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
A bus line is an example of a public what?,line,train-00000-of-00001,E,"Question:
A bus line is an example of a public what?

Which of the following is the best response to the question?

Choices:
A. electromagnetic spectrum
B. difnner
C. stanza
D. add information on spreadsheet
E. transportation system

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"If someone was in much pain they may need medicine, they would probably go where?",medicine,train-00000-of-00001,B,"Question:
If someone was in much pain they may need medicine, they would probably go where?

Which of the following is the best response to the question?

Choices:
A. pharmacy or medicine cabinet
B. hospital
C. bathroom
D. jar
E. mug

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
After walking a dog for a long time what do you have?,walking dog,train-00000-of-00001,D,"Question:
After walking a dog for a long time what do you have?

Which of the following is the best response to the question?

Choices:
A. exercise and companionship
B. pride
C. poop
D. sore feet
E. tiredness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"Jill walks to the second floor and sits in her cubicle, where is she?",second floor,train-00000-of-00001,A,"Question:
Jill walks to the second floor and sits in her cubicle, where is she?

Which of the following is the best response to the question?

Choices:
A. office building
B. house
C. hotel
D. school
E. a chair

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
It is usually difficult to forgive your spouse if they have what with someone else?,forgive,train-00000-of-00001,A,"Question:
It is usually difficult to forgive your spouse if they have what with someone else?

Which of the following is the best response to the question?

Choices:
A. sex
B. butterflies
C. flood of relief
D. nice to
E. happiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"She let him know he was being over the top, and that his antics where a little what?",little,train-00000-of-00001,A,"Question:
She let him know he was being over the top, and that his antics where a little what?

Which of the following is the best response to the question?

Choices:
A. much
B. plenty
C. larger
D. lot of
E. big

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
You can find an anemone living in what kind of fluid?,anemone,train-00000-of-00001,C,"Question:
You can find an anemone living in what kind of fluid?

Which of the following is the best response to the question?

Choices:
A. tide pool
B. dictionary
C. sea water
D. south pacific
E. movie scene

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
James wanted to stop competing.  What might he have been feeling?,competing,train-00000-of-00001,A,"Question:
James wanted to stop competing.  What might he have been feeling?

Which of the following is the best response to the question?

Choices:
A. pressure
B. death
C. trying harder
D. quitting
E. winning or losing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What are people likely to do when an unexpected decent outcome occurs?,people,validation-00000-of-00001,B,"Question:
What are people likely to do when an unexpected decent outcome occurs?

Which of the following is the best response to the question?

Choices:
A. kill each other
B. thank god
C. experience pain
D. hatred
E. talk to each other

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
A toddling child who is learning about the world is gaining what?,learning about world,train-00000-of-00001,C,"Question:
A toddling child who is learning about the world is gaining what?

Which of the following is the best response to the question?

Choices:
A. time
B. desire to travel
C. greater mobility
D. increased security
E. pleasure

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"Competing can lead to great highs, and also great lows when suffering what?",competing,validation-00000-of-00001,D,"Question:
Competing can lead to great highs, and also great lows when suffering what?

Which of the following is the best response to the question?

Choices:
A. winning or losing
B. aggression
C. gain
D. defeat
E. sweat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Care not to burn you hand on the handle of what small high-walled vessel?,handle,train-00000-of-00001,E,"Question:
Care not to burn you hand on the handle of what small high-walled vessel?

Which of the following is the best response to the question?

Choices:
A. brush
B. carry object
C. walking stick
D. umbrella
E. saucepan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"The kid wanted to go outside and play, what was he sick of doing?",play,train-00000-of-00001,D,"Question:
The kid wanted to go outside and play, what was he sick of doing?

Which of the following is the best response to the question?

Choices:
A. serious
B. hatred
C. longplay
D. doing nothing
E. musical

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"The producer didn't want to do the show live, what type of show was he looking for?",live,train-00000-of-00001,D,"Question:
The producer didn't want to do the show live, what type of show was he looking for?

Which of the following is the best response to the question?

Choices:
A. animated
B. podcast
C. broadcast
D. recorded
E. neutral

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Billy wanted to see a Forrest. Where might he go?,forest,train-00000-of-00001,A,"Question:
Billy wanted to see a Forrest. Where might he go?

Which of the following is the best response to the question?

Choices:
A. national park
B. temperate zone
C. the forest
D. countryside
E. amazon basin

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
