ind,activity_label,ctx,answer,final_prompt,len_tk_glm4_9b_chat
49034.0,Braiding hair,The woman is seated facing the camera while another woman styles her hair. The woman continues to have her hair styled while turned away from the camera. the woman,A,"Context:
""The woman is seated facing the camera while another woman styles her hair. The woman continues to have her hair styled while turned away from the camera. the woman""

Which of the following endings best completes the context?

Choices:
A. spins slowly in front of the camera showing the completed hairstyle.
B. finishes getting her hair styled by another woman.
C. speaks to the camera as the camera pans around camera angles.
D. switches hair accessories and twists her hair into a style for the camera.

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
35351.0,Brushing teeth,The injured woman gets up and looks in the mirror only find out that she has the face of the man from the beach. the same man,C,"Context:
""The injured woman gets up and looks in the mirror only find out that she has the face of the man from the beach. the same man""

Which of the following endings best completes the context?

Choices:
A. is been interviewed again looking at the injured woman.
B. begins shaving her face from top to bottom.
C. is now back on the beach, walking along the shore.
D. is now seated on a sand pit and the other man is in a pool.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
43295.0,Javelin throw,Various shots are shown of athletes holding a pole in their hands and leaning backwards. this,C,"Context:
""Various shots are shown of athletes holding a pole in their hands and leaning backwards. this""

Which of the following endings best completes the context?

Choices:
A. leads into numerous clips of people using poles and being pulled on water skis.
B. leads into clips of people pushing poles in a snowy field.
C. leads into several clips of more athletes throwing javelins off into the distance.
D. leads into them bumping into a beam and falling into it.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
11376.0,Vacuuming floor,Two vacuums appear in a gray room. One of the vacuums disappears. A lady vacuums her house then empties the vacuum. the lady,C,"Context:
""Two vacuums appear in a gray room. One of the vacuums disappears. A lady vacuums her house then empties the vacuum. the lady""

Which of the following endings best completes the context?

Choices:
A. vacuums the floor then takes a vacuum to every cupboard and closet.
B. vacuums the floor then the kitchen floor.
C. puts the vacuum in a closet.
D. vacuums the floor then some of an item.

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
29868.0,Dodgeball,A man reaches for a dodge ball rolling across the line when the other team launches an attack. Two teams play a game of dodge ball in a gym. players,D,"Context:
""A man reaches for a dodge ball rolling across the line when the other team launches an attack. Two teams play a game of dodge ball in a gym. players""

Which of the following endings best completes the context?

Choices:
A. hit a ball from the top of bleachers before dribbling and blocking and aiming to hit the ball.
B. take turns to dodge the ball back and forth.
C. make mistakes while spiking balls.
D. stand in a defensive line shoulder to shoulder.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
34484.0,Tango,A title screen loads and we see the man dance alone. We see a title and the lady in the green room dancing alone. a title,C,"Context:
""A title screen loads and we see the man dance alone. We see a title and the lady in the green room dancing alone. a title""

Which of the following endings best completes the context?

Choices:
A. screen comes up and we see her from horseback riding.
B. screen appears and we see the video video clip from the first intercity event.
C. loads and we see the man's feet as he dances.
D. screen with copropazos appears, the video ends.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
10930.0,Hopscotch,Two small children are seen drawing with chalk on a side walk while they occasionally looking back to the camera. the girl,A,"Context:
""Two small children are seen drawing with chalk on a side walk while they occasionally looking back to the camera. the girl""

Which of the following endings best completes the context?

Choices:
A. is then seen play hop scotch jumping down the chalk while the boy watches from behind.
B. continues drawing while jumping up and down.
C. continues drawing on the boy while the camera pans all around them.
D. continues pushing around the chalk while the boy walks ahead followed by him skipping.

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
36245.0,Beer pong,A group of people compete in an indoor beer pong tournament. a man in a red and black shirts,A,"Context:
""A group of people compete in an indoor beer pong tournament. a man in a red and black shirts""

Which of the following endings best completes the context?

Choices:
A. talks to the camera in a close up shot before the scene cuts away to a room filled with people playing or watching people plat beer pong.
B. walks out onto the green grass.
C. then begins to hit the ball lightly with his racket.
D. goes up to the display and places the balls in the circle.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
31828.0,Polishing forniture,A room with a table without painting is shown and a emery is on top of it. man,D,"Context:
""A room with a table without painting is shown and a emery is on top of it. man""

Which of the following endings best completes the context?

Choices:
A. is pushing a large knife in a can and chisel to make everything in a knife size.
B. is plugged the neens and stretches the fingers and opening the fingers.
C. talking to a camera and looking at the nail is shown.
D. walks into a room and use the emery on the top of the table.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
34854.0,Washing hands,"Then she takes some liquid soap in her hands and rubs her hands on the top, the palms and in between her fingers. she",B,"Context:
""Then she takes some liquid soap in her hands and rubs her hands on the top, the palms and in between her fingers. she""

Which of the following endings best completes the context?

Choices:
A. then applies lotion from a can on her hand that is featured on the rack.
B. demonstrates how to properly rub the palms and the wrist area to ensure a clean wash.
C. touches her hair with her other hand.
D. then does this several more times until the sponge is clean.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
40090.0,Baton twirling,We see two women performing a baton twirling routine in a gym. One lady does a handstand the other holds her legs. they,A,"Context:
""We see two women performing a baton twirling routine in a gym. One lady does a handstand the other holds her legs. they""

Which of the following endings best completes the context?

Choices:
A. twirl the batons high in the sky.
B. finish with a bow and forth twirl.
C. continue performing their routine in the room and ends with a hug and a face off.
D. go back and forth, twirling the batons.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
25954.0,Bullfighting,Several people are seen running around a pit that leads into a bull running around. Several people run around the bull inside the pit. the people,D,"Context:
""Several people are seen running around a pit that leads into a bull running around. Several people run around the bull inside the pit. the people""

Which of the following endings best completes the context?

Choices:
A. continue chasing the bull around and end with them playing a sport in the end.
B. sit behind a wheel while others hold on to the sides.
C. throw pins to the bull while he chases him around the area.
D. continue to run around as the bull grows more violent.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
9967.0,Carving jack-o-lanterns,Someone is showing the steps on how to carve a pumpkin. you,D,"Context:
""Someone is showing the steps on how to carve a pumpkin. you""

Which of the following endings best completes the context?

Choices:
A. place one foot on the pumpkin, and you firmly pull your head back.
B. open the pumpkin and put a wiffle card in it.
C. scrape a scoop of butter on the pumpkin.
D. choose a stencil and draw it on and then you get the carving tools, you also have to empty all the pumpkin goo out of the pumpkin.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
6528.0,Mooping floor,A girl is recorded in the kitchen while she is dancing and mopping the floor. she,A,"Context:
""A girl is recorded in the kitchen while she is dancing and mopping the floor. she""

Which of the following endings best completes the context?

Choices:
A. stops dancing and begins to focus on mopping.
B. is seen doing various dance moves in the kitchen and smells different.
C. proceeds to mop and then far away, as she talks and previews while scrubbing and rotating a towel.
D. is then shown singing and dancing with a man at hours and nights to music and cheers.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
37037.0,Disc dog,A person is seen performing tricks with a frisbee and dog. The man throws the frisbee all around while the dog jumps around him. the two,A,"Context:
""A person is seen performing tricks with a frisbee and dog. The man throws the frisbee all around while the dog jumps around him. the two""

Which of the following endings best completes the context?

Choices:
A. continue performing tricks back and fourth.
B. continue performing tricks with the next dog and can see him on a pile of leaves.
C. continues to do tricks on a dog and a frisbee.
D. perform tricks away while the dog jumps up and chase after them.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
16290.0,Playing beach volleyball,A volleyball coach talks to the camera while two volleyball players stand behind him. the two volleyball players,A,"Context:
""A volleyball coach talks to the camera while two volleyball players stand behind him. the two volleyball players""

Which of the following endings best completes the context?

Choices:
A. play volleyball with each other without a net between them.
B. lay low as the coach talks to them and show several shots of them playing.
C. prepare to serve and perform their high threw that leads into one kicking the ball to the other.
D. attack a ball intentionally both knocking it to the ground.

Reply with exactly one uppercase letter out of A, B, C, or D.
",118
31224.0,Playing accordion,The band stands up to plan and the camera goes back and forth between the accordion players and the band. they,A,"Context:
""The band stands up to plan and the camera goes back and forth between the accordion players and the band. they""

Which of the following endings best completes the context?

Choices:
A. continue to play the accordions with the band behind them.
B. are standing on the very low ground where they had to stop when the bus did flip.
C. play all around the lake and the crowd gets excited.
D. pick up their instruments and begin march out of the room.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
4024.0,Rock-paper-scissors,They show replays of him jumping on the rake. The other guy then jumps on the rake. They once again show replays. all four,B,"Context:
""They show replays of him jumping on the rake. The other guy then jumps on the rake. They once again show replays. all four""

Which of the following endings best completes the context?

Choices:
A. guys jump onto each other's backs and do a back flip onto the grass.
B. are once again talking in front of the camera.
C. of the guys lob the rake while one chases after another.
D. men are on the same rake at the same time.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
32202.0,Snow tubing,The individual hands the rein for the device to the person in the red jacket and sits on the device. the person in the red jacket,A,"Context:
""The individual hands the rein for the device to the person in the red jacket and sits on the device. the person in the red jacket""

Which of the following endings best completes the context?

Choices:
A. pulls the device downhill and the first individual rides down the slope.
B. grabs another stone the person in red falls on top of the thread and hits the ground flat.
C. applies the horn to a bmx bike.
D. is seen once again in the car with the camera aimed down.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
18062.0,Putting on shoes,"The young man put his leg over his leg and put his socks and shoes, he did the same thing on other leg. the young man",D,"Context:
""The young man put his leg over his leg and put his socks and shoes, he did the same thing on other leg. the young man""

Which of the following endings best completes the context?

Choices:
A. jumped over the fence and landed in the sand.
B. get his tattoo covered and put it on his chest and.
C. stood up and walk leisurely in barefoot shoes.
D. tied his shoes and smiled to the camera and gave a thumbs up.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
36284.0,Getting a tattoo,A woman is seen bending down and peeling paper off a mans back. The man leans forward the woman begins tattooing him while several shots are shown of sessions. the woman,B,"Context:
""A woman is seen bending down and peeling paper off a mans back. The man leans forward the woman begins tattooing him while several shots are shown of sessions. the woman""

Which of the following endings best completes the context?

Choices:
A. continues to pull back the paper peeling it off.
B. continues tattooing the man and shows off the tattoo in the end.
C. continues to brush with the needle and ends with the man laying still.
D. does the tattoo down the front of the man.

Reply with exactly one uppercase letter out of A, B, C, or D.
",126
49869.0,Mixing drinks,The man squeezes a halved lemon into the measurer and then into the glass. The man adds ice to the glass. The man shakes the liquid. the man,B,"Context:
""The man squeezes a halved lemon into the measurer and then into the glass. The man adds ice to the glass. The man shakes the liquid. the man""

Which of the following endings best completes the context?

Choices:
A. shakes the their together, stirs it and showcases the glass.
B. pours the shaken liquid into a smaller glass.
C. sits at the bar and surfs in the pool.
D. squeezes a liquid and then drinks the drink.

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
25696.0,Preparing pasta,The person gets the noodles out and puts them in the water. They stir the noodles with tongs and instructions are given along the way. then they,B,"Context:
""The person gets the noodles out and puts them in the water. They stir the noodles with tongs and instructions are given along the way. then they""

Which of the following endings best completes the context?

Choices:
A. add water and put everything in the pot to simmer.
B. drain the noodles in the sink and scrape the rest off the bottom of the pot.
C. show the grinder and the proper wording when finished.
D. continue cooking a yellow disk to get the noodles into a leafy dish.

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
47675.0,Canoeing,A close up of paper is shown followed by a person riding down a river in a kayak. more people,B,"Context:
""A close up of paper is shown followed by a person riding down a river in a kayak. more people""

Which of the following endings best completes the context?

Choices:
A. are seen riding down the river on the same personal kayak and ends with them falling into the water.
B. are seen riding down while others watch on the side.
C. are shown riding down the river and being interviewed while still talking.
D. are shown riding down the water as well as kayaking in the water.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
19233.0,Clipping cat claws,A man is holding a cat in arms getting ready to clip it's nails. he,C,"Context:
""A man is holding a cat in arms getting ready to clip it's nails. he""

Which of the following endings best completes the context?

Choices:
A. gets in his car and takes a hit out of a lemon.
B. then begins to clip the cat nails using hardwood floors.
C. starts on the cats feet nails, the cat doesn't seem to like it it starts to try to move away.
D. is checked by several perps, and then awards the cat to a woman when she finishes.

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
39168.0,Walking the dog,Two animals are seen on the ground followed by a cat and dog. a cat,B,"Context:
""Two animals are seen on the ground followed by a cat and dog. a cat""

Which of the following endings best completes the context?

Choices:
A. is seen laying down down and a dog using a cat's medicine to treat his burns.
B. is shown carrying a leash in it's mouth with a dog following close behind.
C. drops there paw and gets back up to pace and rides away.
D. is holding onto a string and a dog in a basket.

Reply with exactly one uppercase letter out of A, B, C, or D.
",118
42340.0,Plastering,A painter applies plaster to a wall using a wide flat edge tool. The man moves electrical wire handing on the while to plaster around it. other rooms of the house,B,"Context:
""A painter applies plaster to a wall using a wide flat edge tool. The man moves electrical wire handing on the while to plaster around it. other rooms of the house""

Which of the following endings best completes the context?

Choices:
A. are shown as well as rooms that includes furniture, and some miniature studio in the gym.
B. are seen in different stages of completeness.
C. follow the man doing the same job.
D. are shown being occupied by art dealers and patrons.

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
556.0,Roof shingle removal,A technician walks along a roof and sprays it using a wand attached to a hose. the man,D,"Context:
""A technician walks along a roof and sprays it using a wand attached to a hose. the man""

Which of the following endings best completes the context?

Choices:
A. then bags a carpet of some sort and sprays it on the roof.
B. then uses a vacuum and begin vacuuming the floor on the the roof.
C. removes hoses and shakes the roof and cleans the wooden wall.
D. turns off his hose then walks along the peak of the roof.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
5343.0,Baking cookies,"A white bowl is filled with sugar, eggs, and peanut butter, then blended. He presses balls of cookie dough onto a pan and bakes them. he",B,"Context:
""A white bowl is filled with sugar, eggs, and peanut butter, then blended. He presses balls of cookie dough onto a pan and bakes them. he""

Which of the following endings best completes the context?

Choices:
A. adds a few sprinkles to the pan.
B. eats one of the cookies for the camera while he talks about them.
C. then cuts up two slices and puts them onto a plate.
D. covers the cookies with tin foil, followed by baking soda.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
41307.0,Making a lemonade,Then she adds some food coloring to the lemonade and stirs it well. She then pours the lemonade in a glass with ice and gives it to her son. he,C,"Context:
""Then she adds some food coloring to the lemonade and stirs it well. She then pours the lemonade in a glass with ice and gives it to her son. he""

Which of the following endings best completes the context?

Choices:
A. 's such an obedient child that he eventually knocks over the glass and they both laugh drunk.
B. takes a taste of the contents and laughs.
C. takes a sip of the lemonade and smiles.
D. drinks the lemonade and then drops it off.

Reply with exactly one uppercase letter out of A, B, C, or D.
",126
48621.0,Tumbling,A small group of children are seen standing before a mat with an instructor helping. the girls,C,"Context:
""A small group of children are seen standing before a mat with an instructor helping. the girls""

Which of the following endings best completes the context?

Choices:
A. then begin throwing a rope to the back and covering the boys head with the rope.
B. then pole vault on the mat and swing during a routine.
C. do various gymnastics moves across the mats while an instructor assist them and another points to the side.
D. take turns running to the mat and pushing it down.

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
24882.0,Playing blackjack,Two friends ride down an escalator. The friends stand at a card table in a casino and play hands. the man,C,"Context:
""Two friends ride down an escalator. The friends stand at a card table in a casino and play hands. the man""

Which of the following endings best completes the context?

Choices:
A. jumps and puts his hand up to break, wins and walks away's satisfied.
B. who wrecked the car comes to blows.
C. makes a large bet and sits down to play a few hands at the table.
D. tattoos the friend's fingernail with a razor.

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
38731.0,Assembling bicycle,"The man adjusts a and talks off the front tire, and folds the bike in half on itself. the man",C,"Context:
""The man adjusts a and talks off the front tire, and folds the bike in half on itself. the man""

Which of the following endings best completes the context?

Choices:
A. takes an oil rag and rubs it over the tire several times, then he fills in the final screws.
B. fastens the tire, taking the jack out of the case before using the wheel.
C. unfolds the bike and puts the tire back on.
D. takes off the jack from the tire.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
23820.0,Canoeing,Man is sitting in a kayak next to the sidewalk. man,A,"Context:
""Man is sitting in a kayak next to the sidewalk. man""

Which of the following endings best completes the context?

Choices:
A. is taking out the kayak from the water.
B. is laying on two kayaks along a track and moving back and forth in the water.
C. is walking to the camera standing next to a alrge boat.
D. is standing in a park being a scissor grabs a spring board and start putting it in the water.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
14160.0,Decorating the Christmas tree,"Several people are captured decorating a christmas tree in a living room in a fast forward, speed motion video. A christmas tree stands undecorated in a living room. two people",C,"Context:
""Several people are captured decorating a christmas tree in a living room in a fast forward, speed motion video. A christmas tree stands undecorated in a living room. two people""

Which of the following endings best completes the context?

Choices:
A. brush the christmas tree with powder.
B. are then shown cutting the tree up and sweeping the base with a rake.
C. decorate the tree with a light cord.
D. walk through the door and up stairs and go to the patio.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
33114.0,Playing harmonica,There's a girl with long brown hair playing the harmonica in a hospital elevator. The elevator door opens and several people enter the elevator. she,B,"Context:
""There's a girl with long brown hair playing the harmonica in a hospital elevator. The elevator door opens and several people enter the elevator. she""

Which of the following endings best completes the context?

Choices:
A. briefly shows viewers how to get out the door and go back to her normal job in the mall.
B. continues playing her harmonica.
C. 's wearing a hoodie and a man is raising and lower his hands with the harmonica.
D. is playing the harmonica in the lobby below.

Reply with exactly one uppercase letter out of A, B, C, or D.
",126
20782.0,BMX,. several bicycle racers dressed in motocross suits and wearing helmets,B,"Context:
"". several bicycle racers dressed in motocross suits and wearing helmets""

Which of the following endings best completes the context?

Choices:
A. wander around a trails, acodea and down an alley with a trip sign attached to a bike.
B. are lined up at the start line, waiting to race.
C. talk about high dirt bike safety instructions before riding through heavy dirt and into a parking lot.
D. keep going down the track after one another, sometimes individually.

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
10127.0,Arm wrestling,Two men sit together at a booth and compete in an arm wrestling match. The friends gathered around watching make challenges with the arm wrestlers after the match. the men,B,"Context:
""Two men sit together at a booth and compete in an arm wrestling match. The friends gathered around watching make challenges with the arm wrestlers after the match. the men""

Which of the following endings best completes the context?

Choices:
A. stand up and stand in the middle of stage a man lifts up the man on the arm wrestling match.
B. shake hands and talk after the match.
C. side arm wrestle with available hands.
D. fight someone on the right because he is the short one.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
36500.0,Long jump,An athlete competes in a long jump competition in a track and field course. The long jumper fouls on numerous tries. the long jumper,D,"Context:
""An athlete competes in a long jump competition in a track and field course. The long jumper fouls on numerous tries. the long jumper""

Which of the following endings best completes the context?

Choices:
A. retrieves sand as he completes the race.
B. successfully climbs the high jump bar using only one leg.
C. spins around with the momentum of the run in his body.
D. claps his hands to get the crowd behind him as he tries his final long jump and completes a perfect jump.

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
45790.0,Spread mulch,This video gives viewers tips on how to have effective mulching. he,B,"Context:
""This video gives viewers tips on how to have effective mulching. he""

Which of the following endings best completes the context?

Choices:
A. writes down phrases, such as you can't win without style.
B. tells viewers how to not make the common mistake of over mulching and piling the dirt too high on the tree.
C. begins by making his reeds and flowers look soft at the ends of the sticks.
D. cuts the grass out for a efully short amount of time.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
32642.0,Running a marathon,"A weather map is shown for a second, then two news women sitting at a desk. Several people are shown warming up for a race. a gun",C,"Context:
""A weather map is shown for a second, then two news women sitting at a desk. Several people are shown warming up for a race. a gun""

Which of the following endings best completes the context?

Choices:
A. and machine heads keep popping up to show race, then freeze up.
B. is shown and a man runs down a track shooting his bow.
C. is fired, and the race begins.
D. is then shown being used on people mixing in a race.

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
15403.0,Tennis serve with ball bouncing,. a man in a red shirt at an outdoor tennis court,C,"Context:
"". a man in a red shirt at an outdoor tennis court""

Which of the following endings best completes the context?

Choices:
A. of some sort throws a ball at a yellow ball, the yellow ball rolls into the net and the man and woman run to retrieve the ball.
B. says something to the camera and does some hand motions at the black object on the court.
C. is giving a tutorial on to return a serve and how to hold the racket.
D. does volley tennis and serves the ball.

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
5597.0,Fixing bicycle,A man is seen speaking to the camera and pointing all around a bike. Several close ups of a bike are shown with a person adjusting the sides with a screwdriver. the person,D,"Context:
""A man is seen speaking to the camera and pointing all around a bike. Several close ups of a bike are shown with a person adjusting the sides with a screwdriver. the person""

Which of the following endings best completes the context?

Choices:
A. adjusts more and demonstrates how to properly drive the bike.
B. moves around the bike with it's wheels up slowly.
C. then reinforces a wheel on the bike.
D. continues to check the specs on a bike and ends by laughing and speaking to the camera.

Reply with exactly one uppercase letter out of A, B, C, or D.
",126
34845.0,Surfing,Several pictures are shown of a beach and landscapes as well as people walking on the beach. several clips,D,"Context:
""Several pictures are shown of a beach and landscapes as well as people walking on the beach. several clips""

Which of the following endings best completes the context?

Choices:
A. are shown of people in the water posing for pictures and partying with trophies.
B. are shown of people playing water polo and speaking to the camera while surfing in a large wave.
C. are then shown of people playing sand angels while others walk near.
D. are then shown of people riding along the water and surfing the waves.

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
32955.0,Playing violin,There's a young girl wearing a brown sweater playing the violin. She strings the violin with her left hand while she uses the bow stick with her right hand. she,A,"Context:
""There's a young girl wearing a brown sweater playing the violin. She strings the violin with her left hand while she uses the bow stick with her right hand. she""

Which of the following endings best completes the context?

Choices:
A. continues playing her tune on the violin with full concentration without pausing.
B. hits the keys ferociously with both hands as she continues to play the violin.
C. pulls the violin with her left hand.
D. lifts one foot for balance on the violin.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
22240.0,Hand car wash,"A man washes a car with a brush, while three people rinse the car with hoses. a man",D,"Context:
""A man washes a car with a brush, while three people rinse the car with hoses. a man""

Which of the following endings best completes the context?

Choices:
A. dries off the car and washes a wheel before sterilizing it.
B. uses an iron to iron a white shirt, while other men wear shorts, and people stand against the wall as cars drive by.
C. sprays salt on the car with a big squeegee.
D. sprays detergent on a car.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
