question,question_concept,_split,answer,final_prompt,len_tk_gemma2_9b_it
Where could you go on top of a superhighway?,superhighway,train-00000-of-00001,E,"Question:
Where could you go on top of a superhighway?

Which of the following is the best response to the question?

Choices:
A. city
B. rural area
C. cyberspace
D. computer network
E. industrialized country

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
She would only buy things on sale as to what?,buy,train-00000-of-00001,C,"Question:
She would only buy things on sale as to what?

Which of the following is the best response to the question?

Choices:
A. selling
B. get money
C. save money
D. steal
E. spend money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What do people usually tie a ribbon around as a present?,ribbon,train-00000-of-00001,A,"Question:
What do people usually tie a ribbon around as a present?

Which of the following is the best response to the question?

Choices:
A. floral arrangement
B. girl's hair
C. box
D. car
E. typewriter

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
How can you see an extreme closeup of a potato?,potato,train-00000-of-00001,B,"Question:
How can you see an extreme closeup of a potato?

Which of the following is the best response to the question?

Choices:
A. grocery store
B. optical device
C. pantry
D. garden patch
E. vegetable stew

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What is the goal of a poor person having food?,having food,train-00000-of-00001,C,"Question:
What is the goal of a poor person having food?

Which of the following is the best response to the question?

Choices:
A. digesting
B. being full
C. will not starve
D. survive
E. getting fat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What would easily hide a snake?,snake,train-00000-of-00001,D,"Question:
What would easily hide a snake?

Which of the following is the best response to the question?

Choices:
A. living room of a house
B. kew gardens
C. terrarium
D. thick forest
E. tropical forest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
After he got hired he hoped for success at his what?,success,validation-00000-of-00001,B,"Question:
After he got hired he hoped for success at his what?

Which of the following is the best response to the question?

Choices:
A. vocation
B. new job
C. michigan
D. working hard
E. manual

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where would a ballpoint pen be useful for a writing a check?,ballpoint pen,train-00000-of-00001,A,"Question:
Where would a ballpoint pen be useful for a writing a check?

Which of the following is the best response to the question?

Choices:
A. bank
B. backpack
C. office desk
D. home
E. desk drawer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where would you find a trash can while enjoying the great outdoors?,trash can,train-00000-of-00001,C,"Question:
Where would you find a trash can while enjoying the great outdoors?

Which of the following is the best response to the question?

Choices:
A. water cooler
B. alley
C. park
D. food place
E. motel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"The person was thirsty, what should he have done?",person,train-00000-of-00001,D,"Question:
The person was thirsty, what should he have done?

Which of the following is the best response to the question?

Choices:
A. eat
B. sunny days
C. compliments
D. drink water
E. all kinds of things

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What would cause a person to have  headaches?,person,train-00000-of-00001,E,"Question:
What would cause a person to have  headaches?

Which of the following is the best response to the question?

Choices:
A. fall
B. schizophrenia
C. made fun of
D. false information
E. brain tumor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What is a good container for a potato?,potato,train-00000-of-00001,A,"Question:
What is a good container for a potato?

Which of the following is the best response to the question?

Choices:
A. kitchen cabinet
B. pantry
C. own kitchen
D. a flower vase.
E. clam chowder

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What type of group is a bugle used in?,bugle,train-00000-of-00001,A,"Question:
What type of group is a bugle used in?

Which of the following is the best response to the question?

Choices:
A. brass band
B. music store
C. home
D. army corps
E. american army

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where would you find a large dining room containing a fancy chandelier?,dining room,validation-00000-of-00001,A,"Question:
Where would you find a large dining room containing a fancy chandelier?

Which of the following is the best response to the question?

Choices:
A. mansion
B. every house
C. own home
D. table
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
The kids wanted to cool off so they all went to what?,cool off,train-00000-of-00001,E,"Question:
The kids wanted to cool off so they all went to what?

Which of the following is the best response to the question?

Choices:
A. manual
B. think
C. relief
D. calm down
E. go swimming

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Why is religion so hard to understand?,religion,validation-00000-of-00001,E,"Question:
Why is religion so hard to understand?

Which of the following is the best response to the question?

Choices:
A. both positive and negative
B. unknowable
C. important to people
D. ocean
E. confusing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What country can a marmot be found?,marmot,train-00000-of-00001,C,"Question:
What country can a marmot be found?

Which of the following is the best response to the question?

Choices:
A. american forest
B. north america
C. switzerland
D. northern climates
E. new zealand

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What happens after an extended amount of living for a person?,living,train-00000-of-00001,A,"Question:
What happens after an extended amount of living for a person?

Which of the following is the best response to the question?

Choices:
A. getting old
B. palpitations
C. death
D. perspiration
E. make friends

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where are you likely to find a professional prostitute?,prostitute,train-00000-of-00001,B,"Question:
Where are you likely to find a professional prostitute?

Which of the following is the best response to the question?

Choices:
A. new york
B. whorehouse
C. street corner
D. corner of two streets
E. brother

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What is an object that is not used in a common room likely to be?,common,train-00000-of-00001,E,"Question:
What is an object that is not used in a common room likely to be?

Which of the following is the best response to the question?

Choices:
A. irregular
B. elite
C. rare
D. special
E. personal

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What would you get if you want a painting but cannot afford the original?,original,train-00000-of-00001,A,"Question:
What would you get if you want a painting but cannot afford the original?

Which of the following is the best response to the question?

Choices:
A. reproduction
B. derivative
C. reproduction
D. simile
E. remake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What is a person the leader of after they are inagurated?,leader,train-00000-of-00001,B,"Question:
What is a person the leader of after they are inagurated?

Which of the following is the best response to the question?

Choices:
A. earth
B. country
C. pack
D. organization
E. army

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What happens if you eat hamburger that's very big?,eat hamburger,train-00000-of-00001,C,"Question:
What happens if you eat hamburger that's very big?

Which of the following is the best response to the question?

Choices:
A. hungry
B. choking
C. get full
D. lose weight
E. getting fat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What does an apple tree need to create new trees?,apple tree,train-00000-of-00001,E,"Question:
What does an apple tree need to create new trees?

Which of the following is the best response to the question?

Choices:
A. new york
B. farm yard
C. new jersey
D. grass
E. flowers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
In order to wrestle better you lift weights to?,wrestle,train-00000-of-00001,A,"Question:
In order to wrestle better you lift weights to?

Which of the following is the best response to the question?

Choices:
A. have strength
B. strong
C. take lessons
D. fo brushing
E. get naked

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"The farmer is making grow a tomato, what does he specialize?",making grow,train-00000-of-00001,D,"Question:
The farmer is making grow a tomato, what does he specialize?

Which of the following is the best response to the question?

Choices:
A. flowering
B. barn
C. growth
D. plants
E. more of

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
How might you feel when meeting a friend who company you greatly enjoy?,meeting friend,train-00000-of-00001,E,"Question:
How might you feel when meeting a friend who company you greatly enjoy?

Which of the following is the best response to the question?

Choices:
A. talk
B. relaxation
C. excitement
D. fun
E. joy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Where is the closest place from where you could borrow salt?,salt,validation-00000-of-00001,D,"Question:
Where is the closest place from where you could borrow salt?

Which of the following is the best response to the question?

Choices:
A. ocean water
B. table
C. shaker
D. neighbor's house
E. lake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Which effect of stress could cause death if not treated immediately?,stress,train-00000-of-00001,B,"Question:
Which effect of stress could cause death if not treated immediately?

Which of the following is the best response to the question?

Choices:
A. age grieving person
B. heart attacks
C. depression
D. hair loss
E. headache

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
To think for a long time you need to be able to?,think,train-00000-of-00001,B,"Question:
To think for a long time you need to be able to?

Which of the following is the best response to the question?

Choices:
A. sit quietly
B. concentrate
C. know first
D. relax
E. drink

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What part of a an area would a disco be found in?,disco,train-00000-of-00001,A,"Question:
What part of a an area would a disco be found in?

Which of the following is the best response to the question?

Choices:
A. town
B. rio de janeiro
C. hotel
D. germany
E. club

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
On what would you serve an egg to someone?,egg,train-00000-of-00001,C,"Question:
On what would you serve an egg to someone?

Which of the following is the best response to the question?

Choices:
A. chicken coop
B. henhouse
C. plate
D. glass cup
E. bird's nest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
How would you express information to a deaf person?,express information,validation-00000-of-00001,C,"Question:
How would you express information to a deaf person?

Which of the following is the best response to the question?

Choices:
A. summarize main points
B. close mouth
C. write down
D. may disagree
E. talk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
When do you bring a clock to a clockmaker?,clock,train-00000-of-00001,A,"Question:
When do you bring a clock to a clockmaker?

Which of the following is the best response to the question?

Choices:
A. stop working
B. store
C. time event
D. tell time
E. wind down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What would be considered a success when attempting procreation?,success,train-00000-of-00001,E,"Question:
What would be considered a success when attempting procreation?

Which of the following is the best response to the question?

Choices:
A. celebrate
B. have party
C. hear crowd go mad
D. create success
E. reproduce

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where is there likely to b more than one desk drawer?,desk drawer,train-00000-of-00001,D,"Question:
Where is there likely to b more than one desk drawer?

Which of the following is the best response to the question?

Choices:
A. holding office supplies
B. desk
C. room
D. office
E. school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"The audience watched the principal speaking, where were they seated?",audience,train-00000-of-00001,C,"Question:
The audience watched the principal speaking, where were they seated?

Which of the following is the best response to the question?

Choices:
A. sporting event
B. lecture
C. school
D. concert hall
E. hockey game

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"The keys were black and white, what were they attached to?",keys,train-00000-of-00001,E,"Question:
The keys were black and white, what were they attached to?

Which of the following is the best response to the question?

Choices:
A. front pocket
B. cabinet
C. purse
D. chain
E. piano

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"What is typical of a person with blemish free, flowing skin?",skin,train-00000-of-00001,E,"Question:
What is typical of a person with blemish free, flowing skin?

Which of the following is the best response to the question?

Choices:
A. finger
B. makeup
C. body
D. own family
E. good health

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where would you first look for your dog?,dog,train-00000-of-00001,B,"Question:
Where would you first look for your dog?

Which of the following is the best response to the question?

Choices:
A. road
B. back yard
C. neighbor's house
D. porch
E. farmyard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"If a bum wanted to ride for free, where might he go?",bum,train-00000-of-00001,B,"Question:
If a bum wanted to ride for free, where might he go?

Which of the following is the best response to the question?

Choices:
A. bus depot
B. train station
C. beach
D. bridge
E. taxi

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where would you find an entrance hall that is used by a single family?,entrance hall,train-00000-of-00001,D,"Question:
Where would you find an entrance hall that is used by a single family?

Which of the following is the best response to the question?

Choices:
A. person
B. large building
C. school
D. house
E. mansion

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
John thought that it was relaxing to do what?,relaxing,train-00000-of-00001,B,"Question:
John thought that it was relaxing to do what?

Which of the following is the best response to the question?

Choices:
A. feeling better
B. lie back
C. lower blood pressure
D. feel happy
E. fall asleep

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Collections of atoms called molecules make up everything you can hold in your what?,molecule,train-00000-of-00001,E,"Question:
Collections of atoms called molecules make up everything you can hold in your what?

Which of the following is the best response to the question?

Choices:
A. atom
B. anything
C. air
D. feet
E. hands

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
If you follow a road toward a river what feature are you driving through?,road,train-00000-of-00001,B,"Question:
If you follow a road toward a river what feature are you driving through?

Which of the following is the best response to the question?

Choices:
A. north america
B. valley
C. town
D. road
E. bridge

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where can you see a cannon and learn about the past?,cannon,train-00000-of-00001,E,"Question:
Where can you see a cannon and learn about the past?

Which of the following is the best response to the question?

Choices:
A. war
B. fort
C. pirate ship
D. warship
E. war museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What does the sky look like on a sunny day?,sky,train-00000-of-00001,D,"Question:
What does the sky look like on a sunny day?

Which of the following is the best response to the question?

Choices:
A. dark
B. cloud over
C. rain water
D. appear blue
E. starry

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Where can you find  a pretty flower in the ground?,flower,train-00000-of-00001,C,"Question:
Where can you find  a pretty flower in the ground?

Which of the following is the best response to the question?

Choices:
A. shelf
B. windowsill
C. park
D. in the snow
E. vase

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What do people feel when something good happens?,people,train-00000-of-00001,A,"Question:
What do people feel when something good happens?

Which of the following is the best response to the question?

Choices:
A. experience joy
B. believe in god
C. sadness
D. get sick
E. ask questions

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"After getting high his memory seemed shot, he felt practically what?",memory,train-00000-of-00001,C,"Question:
After getting high his memory seemed shot, he felt practically what?

Which of the following is the best response to the question?

Choices:
A. dead
B. forgotten
C. brainless
D. forgetting
E. forgetfulness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What is the path of the earth around the sun called?,earth,train-00000-of-00001,B,"Question:
What is the path of the earth around the sun called?

Which of the following is the best response to the question?

Choices:
A. fotograph
B. orbit
C. tree
D. solar system
E. attraction

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Where can you find a snake in tall grass?,snake,validation-00000-of-00001,D,"Question:
Where can you find a snake in tall grass?

Which of the following is the best response to the question?

Choices:
A. tree
B. in a jar
C. pet shops
D. feild
E. tropical forest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
After bringing eggs home from the store in what are they held?,eggs,train-00000-of-00001,D,"Question:
After bringing eggs home from the store in what are they held?

Which of the following is the best response to the question?

Choices:
A. chicken coop
B. supermarket
C. box
D. egg carton
E. henhouse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
how might someone get injured when driving a car?,driving car,train-00000-of-00001,D,"Question:
how might someone get injured when driving a car?

Which of the following is the best response to the question?

Choices:
A. getting somewhere
B. go somewhere
C. stoplight
D. car crash
E. pollution

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
If no one wants chicken what round nourishment is a safe bet?,chicken,train-00000-of-00001,C,"Question:
If no one wants chicken what round nourishment is a safe bet?

Which of the following is the best response to the question?

Choices:
A. freezer
B. plate
C. pizza
D. beef
E. fast food restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What is a very unlikely side effect of becoming inebriated?,becoming inebriated,validation-00000-of-00001,E,"Question:
What is a very unlikely side effect of becoming inebriated?

Which of the following is the best response to the question?

Choices:
A. fights
B. drunkenness
C. staggering
D. puke
E. paralysis

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where are you when you're about to use your plane ticket?,plane ticket,validation-00000-of-00001,C,"Question:
Where are you when you're about to use your plane ticket?

Which of the following is the best response to the question?

Choices:
A. pocket
B. terrorists hands
C. airport
D. sea ship
E. briefcase

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where would you put a net if you wanted to use it?,net,validation-00000-of-00001,D,"Question:
Where would you put a net if you wanted to use it?

Which of the following is the best response to the question?

Choices:
A. sports
B. fishing gear
C. soccer game
D. fishing boat
E. badminton

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What do people who are having fun in a big way experience?,having fun,train-00000-of-00001,B,"Question:
What do people who are having fun in a big way experience?

Which of the following is the best response to the question?

Choices:
A. stress relief
B. glee
C. injuries
D. hunger
E. may laugh

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"After beginning work, what did the man do because he was tired?",beginning work,train-00000-of-00001,A,"Question:
After beginning work, what did the man do because he was tired?

Which of the following is the best response to the question?

Choices:
A. sitting down
B. procrastination
C. getting tired
D. stress
E. relax

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where does a blade help you to move from one place to another?,blade,train-00000-of-00001,B,"Question:
Where does a blade help you to move from one place to another?

Which of the following is the best response to the question?

Choices:
A. rollerblade
B. helicopter
C. lawn mower
D. scissors
E. knife

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What will happen if you inject water into yourself?,water,validation-00000-of-00001,B,"Question:
What will happen if you inject water into yourself?

Which of the following is the best response to the question?

Choices:
A. dilute
B. thin blood
C. take several forms
D. wet clothes
E. move mountains

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Which state is the blue ridge mountains roanoke city in?,blue ridge mountains,train-00000-of-00001,C,"Question:
Which state is the blue ridge mountains roanoke city in?

Which of the following is the best response to the question?

Choices:
A. appalachians
B. north carolina
C. virginia
D. pennsylvania
E. montana

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What has happened if you are dancing and you smell bad?,dancing,train-00000-of-00001,E,"Question:
What has happened if you are dancing and you smell bad?

Which of the following is the best response to the question?

Choices:
A. becoming tired
B. fatigue
C. sore feet
D. break up
E. sweat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
If a person isn't being honest they are practicing what?,person,train-00000-of-00001,C,"Question:
If a person isn't being honest they are practicing what?

Which of the following is the best response to the question?

Choices:
A. live in poverty
B. bad feelings
C. deception
D. bipolar
E. schizophrenia

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where would a towel be kept in a gym?,towel,train-00000-of-00001,A,"Question:
Where would a towel be kept in a gym?

Which of the following is the best response to the question?

Choices:
A. locker room
B. in the showers
C. linen closet
D. swimming pool
E. cupboard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What will likely happen after stabbing to death a person?,stabbing to death,validation-00000-of-00001,B,"Question:
What will likely happen after stabbing to death a person?

Which of the following is the best response to the question?

Choices:
A. gruesome
B. being arrested
C. pool of blood
D. mess
E. grisly

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"After a while playing, what was happening to the children?",playing,train-00000-of-00001,D,"Question:
After a while playing, what was happening to the children?

Which of the following is the best response to the question?

Choices:
A. fights
B. competitiveness
C. having fun
D. getting tired
E. learning

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"The tree had thousands of animals living in it, where was it located?",tree,train-00000-of-00001,C,"Question:
The tree had thousands of animals living in it, where was it located?

Which of the following is the best response to the question?

Choices:
A. back yard
B. university
C. rainforest
D. backyard
E. sea

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What does a spider build to capture it's prey?,spider,train-00000-of-00001,A,"Question:
What does a spider build to capture it's prey?

Which of the following is the best response to the question?

Choices:
A. web
B. bridge
C. cellar
D. basement
E. hanging in air

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Why would a person go to school?,person,train-00000-of-00001,D,"Question:
Why would a person go to school?

Which of the following is the best response to the question?

Choices:
A. party
B. own house
C. more leisure time
D. successful in life
E. not feel pain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where event might one obtain an injury via a skate?,injury,train-00000-of-00001,C,"Question:
Where event might one obtain an injury via a skate?

Which of the following is the best response to the question?

Choices:
A. hospital
B. the rink
C. hockey game
D. emergency room
E. accident

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Where could you find a steel cable that has not been completed yet?,steel cable,train-00000-of-00001,B,"Question:
Where could you find a steel cable that has not been completed yet?

Which of the following is the best response to the question?

Choices:
A. winch
B. factory
C. roller coaster
D. ship
E. building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where could you see a sloth that is not real?,sloth,train-00000-of-00001,B,"Question:
Where could you see a sloth that is not real?

Which of the following is the best response to the question?

Choices:
A. bad dream
B. picture book
C. another place
D. universe
E. zoo

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What fruit growing area is not likely to contain an apple tree?,apple tree,train-00000-of-00001,E,"Question:
What fruit growing area is not likely to contain an apple tree?

Which of the following is the best response to the question?

Choices:
A. washington state
B. orchid
C. farmland
D. grape vineyard
E. vineyard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"Joan wants to cook a potato, where should she place it?",potato,validation-00000-of-00001,A,"Question:
Joan wants to cook a potato, where should she place it?

Which of the following is the best response to the question?

Choices:
A. boiling water
B. paper bag
C. restaurants
D. underground
E. cupboard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"She wanted to make a quilt of velvet, where should she look?",velvet,train-00000-of-00001,E,"Question:
She wanted to make a quilt of velvet, where should she look?

Which of the following is the best response to the question?

Choices:
A. grandma
B. clothing
C. jewelry store
D. clothes
E. fabric store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"John was an important person, but when wronged he could be what?",important,train-00000-of-00001,B,"Question:
John was an important person, but when wronged he could be what?

Which of the following is the best response to the question?

Choices:
A. trivial
B. petty
C. slight
D. negligible
E. impoite

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What continent is a marmot likely to be found on?,marmot,train-00000-of-00001,A,"Question:
What continent is a marmot likely to be found on?

Which of the following is the best response to the question?

Choices:
A. south america
B. outside
C. new zealand
D. wilderness
E. jungle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
There are hundreds of bars and eateries in what east coast metropolis?,bar,train-00000-of-00001,D,"Question:
There are hundreds of bars and eateries in what east coast metropolis?

Which of the following is the best response to the question?

Choices:
A. jail
B. michigan
C. nightclub
D. new york city
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What is a prisoner sentenced to do?,prisoner,validation-00000-of-00001,E,"Question:
What is a prisoner sentenced to do?

Which of the following is the best response to the question?

Choices:
A. scape jail
B. dream of freedom
C. become a hairdresser
D. attempt to escape
E. do time

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"If people are competing in dangerous events, what could happen?",competing,train-00000-of-00001,E,"Question:
If people are competing in dangerous events, what could happen?

Which of the following is the best response to the question?

Choices:
A. boredom
B. winning or losing
C. rivalry
D. accomplishment
E. death

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What would you use to see a clip?,clip,train-00000-of-00001,D,"Question:
What would you use to see a clip?

Which of the following is the best response to the question?

Choices:
A. desk drawer
B. woman's hair
C. scissors
D. television show
E. office building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where would you put a board game after you finish using it?,board game,train-00000-of-00001,B,"Question:
Where would you put a board game after you finish using it?

Which of the following is the best response to the question?

Choices:
A. den
B. shelf
C. house
D. toy store
E. closet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Which horseman of the apocalypse is often depicted next to death?,death,train-00000-of-00001,D,"Question:
Which horseman of the apocalypse is often depicted next to death?

Which of the following is the best response to the question?

Choices:
A. battlefield
B. the healer.
C. funeral
D. war
E. hospital

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What could happen after becoming inebriated and then being sent to prison?,becoming inebriated,train-00000-of-00001,B,"Question:
What could happen after becoming inebriated and then being sent to prison?

Which of the following is the best response to the question?

Choices:
A. paralysis
B. regret
C. arrest
D. nudity
E. drunkenness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"The person had always assumed, but discovering the truth came as a what?",discovering truth,train-00000-of-00001,E,"Question:
The person had always assumed, but discovering the truth came as a what?

Which of the following is the best response to the question?

Choices:
A. hurt
B. satisfaction
C. understanding
D. joy
E. shock

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where are the most famous BBQ steakhouses in america?,steakhouse,validation-00000-of-00001,A,"Question:
Where are the most famous BBQ steakhouses in america?

Which of the following is the best response to the question?

Choices:
A. texas
B. building
C. kansas city
D. maine
E. falling down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
The jellyfish was pushed along by the water.  It was caught in what?,jellyfish,train-00000-of-00001,D,"Question:
The jellyfish was pushed along by the water.  It was caught in what?

Which of the following is the best response to the question?

Choices:
A. store
B. book
C. park
D. current
E. lake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"When a couple is together, what does drinking alcohol lead to?",drinking alcohol,train-00000-of-00001,D,"Question:
When a couple is together, what does drinking alcohol lead to?

Which of the following is the best response to the question?

Choices:
A. death
B. sickness
C. children
D. having sex
E. disorientation

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
