ind,activity_label,ctx,answer,final_prompt,len_tk_phi3_mini_4k_instruct
41782.0,Putting in contact lenses,The video begins with various words and instructions on how to insert & remove halloween contact lenses. a contact lens container,B,"Context:
""The video begins with various words and instructions on how to insert & remove halloween contact lenses. a contact lens container""

Which of the following endings best completes the context?

Choices:
A. is replaced with a compact one and the lens is placed into a screen.
B. is then filled with contact solution and the contacts into both sides of the container.
C. is shown and an attachment is taken off by a dvd device.
D. transfers contact time with audiosol.

Reply with exactly one uppercase letter out of A, B, C, or D.
",140
16308.0,Building sandcastles,A group of kids is building a moat filled with water around a sand castle. A little girl with floaters on pour water in the moat. we,D,"Context:
""A group of kids is building a moat filled with water around a sand castle. A little girl with floaters on pour water in the moat. we""

Which of the following endings best completes the context?

Choices:
A. see fireworks going off in the background as the kids continue to build.
B. see an opening title screen.
C. see children on the other side avoiding the water castle.
D. see kids across the beach working on their castles in the wet sand.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
11800.0,Mooping floor,He closes an oven door that is open. He continues to mop the floor. He picks the mop up and puts it in the air. he,C,"Context:
""He closes an oven door that is open. He continues to mop the floor. He picks the mop up and puts it in the air. he""

Which of the following endings best completes the context?

Choices:
A. continues mopping the floor then the door.
B. puts a powder on the mop to dry is then goes back to mopping.
C. sets it down and continues mopping.
D. removes the mop from a position near the oven door.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
32545.0,Welding,A man is wearing protective gear. He is using a welder and creating a bright light as he works on metal. when he,D,"Context:
""A man is wearing protective gear. He is using a welder and creating a bright light as he works on metal. when he""

Which of the following endings best completes the context?

Choices:
A. is done, blue light fills the field.
B. is done, he looks up with a surprised look on his face.
C. is done, he stands up and yells from happiness.
D. is done, he stops and looks at the camera, showing off the completed welding.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
29380.0,Using the pommel horse,A young boy is seen performing gymnastics move. The gymnast boy assembles a gymnastics equipment piece in the living room. at the gymnastics center,C,"Context:
""A young boy is seen performing gymnastics move. The gymnast boy assembles a gymnastics equipment piece in the living room. at the gymnastics center""

Which of the following endings best completes the context?

Choices:
A. , another boy is seen performing gymnastics and falls.
B. , a male performs a shoulder bend routine.
C. , the boy is seen perform gymnastics moves.
D. a group takes pictures to the gymnast.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
25178.0,Wakeboarding,A man is water skiing behind a boat on a lake. Some people show up on the screen who are watching and recording. the water skier,A,"Context:
""A man is water skiing behind a boat on a lake. Some people show up on the screen who are watching and recording. the water skier""

Which of the following endings best completes the context?

Choices:
A. tries to do a flip and ends up crashing into the water.
B. stops water skiing and stands in the water.
C. gets more and more points and starts talking to the camera.
D. is ski boarding while others sit on the boat watching and recording.

Reply with exactly one uppercase letter out of A, B, C, or D.
",140
283.0,Cheerleading,A cheer-leading team begins to hold up posters as their mascot runs behind them. they,C,"Context:
""A cheer-leading team begins to hold up posters as their mascot runs behind them. they""

Which of the following endings best completes the context?

Choices:
A. eventually get the dogs on the field and push them around.
B. begin to perform an athlete's routine on the field.
C. then begin to do a routine and some of the girls run with streamers as the rest of them hold up the girls for their stunt.
D. begin to perform acoustic songs.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
21786.0,Surfing,"A view is seen of people in the ocean. The waters are rough, splashing harshly against the rocks. the people",C,"Context:
""A view is seen of people in the ocean. The waters are rough, splashing harshly against the rocks. the people""

Which of the following endings best completes the context?

Choices:
A. are shown surfing one surfer after another as they all catch their breaths.
B. ride their boat out of the water and a man is interviewed.
C. are being knocked off their surfboards.
D. sail through a turbulent wave, a few breaking the surface.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
41419.0,Surfing,Birds fly into the sky above the water. He surfs the waves in the water. He is in the car talking. he,A,"Context:
""Birds fly into the sky above the water. He surfs the waves in the water. He is in the car talking. he""

Which of the following endings best completes the context?

Choices:
A. surfs in the water some more.
B. hands a woman a bottle of water and shows her how to use it to wash his hands.
C. walks the path to the rope and climbs it.
D. turns the radio on and continues surfing the waves.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
18018.0,Playing rubik cube,A rubiks cube sits on a laptop as a clock counts down. The clock strikes 0 and a person picks up the cube. the cube,B,"Context:
""A rubiks cube sits on a laptop as a clock counts down. The clock strikes 0 and a person picks up the cube. the cube""

Which of the following endings best completes the context?

Choices:
A. is walked down a hallway by a woman, and into a room.
B. is completed in under 15 seconds.
C. splits into 4 segments on the screen.
D. is decorated with several pictures, including the faces of rubiks cube users.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
37907.0,Baton twirling,A couple of girls are standing in a gymnasium. One walks onto the court with her baton. she,B,"Context:
""A couple of girls are standing in a gymnasium. One walks onto the court with her baton. she""

Which of the following endings best completes the context?

Choices:
A. is engaged in her gymnastics routine, performing flips and handsprings in the air.
B. begins to perform, dancing and twirling, throwing and spinning her baton.
C. does several flips on the mat.
D. begins to pull the string back towards her.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
28319.0,Tennis serve with ball bouncing,A woman is hitting tennis balls from a basket while her trainer gives her instructions. She continues to hit the ball while the trainer rakes through the basket. there,D,"Context:
""A woman is hitting tennis balls from a basket while her trainer gives her instructions. She continues to hit the ball while the trainer rakes through the basket. there""

Which of the following endings best completes the context?

Choices:
A. is a timer in the back of the basket.
B. is one person stopping to watch her as the trainer makes certain that she follows her every motion.
C. is a golf cart parked behind the woman.
D. are balls left all over the court.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
5441.0,Shot put,Three people are knelled down holding a measuring tape. One boy gets up and holds a shut put. the boy,A,"Context:
""Three people are knelled down holding a measuring tape. One boy gets up and holds a shut put. the boy""

Which of the following endings best completes the context?

Choices:
A. then spins around and throws the shot put.
B. proceeds to wash his hands in the sink, and then stands in front of the mirror and kisses his fingers.
C. finally gets up and begins to knead.
D. grabs close to his beer making a long drink.

Reply with exactly one uppercase letter out of A, B, C, or D.
",140
4738.0,Getting a piercing,He sanitizes his tools and proceeds to pierce the lip of the young girl. He inserts a ring into the piercing. He tightens the piercing and cleans around the piercing. the girl,B,"Context:
""He sanitizes his tools and proceeds to pierce the lip of the young girl. He inserts a ring into the piercing. He tightens the piercing and cleans around the piercing. the girl""

Which of the following endings best completes the context?

Choices:
A. attempts to get the piercing out, but fails.
B. looks into a mirror handed to her by the piercing artist and looks pleased.
C. returns to talking animated.
D. smiles at the camera.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
43508.0,Raking leaves,A fast motion video is shown of various people raking leaves around a yard. two boys,C,"Context:
""A fast motion video is shown of various people raking leaves around a yard. two boys""

Which of the following endings best completes the context?

Choices:
A. then walk through the woods.
B. are here from back to back raking, throwing the clippings in a pile as they wipe leaves down.
C. look around towards each other and continue raking the leaks until the yard is done.
D. run right back and forth, dancing and clapping as they rake.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
48911.0,Playing badminton,A man is seen speaking to the camera while holding a racket and men standing behind him. the man,A,"Context:
""A man is seen speaking to the camera while holding a racket and men standing behind him. the man""

Which of the following endings best completes the context?

Choices:
A. then demonstrates how to hit the ball over a net while still speaking to the camera.
B. then begins hitting a ball and it knocks down several pins around him.
C. then hits the ball throughout the room while the men play tennis.
D. then hits a ball on the ground and begins running down a track.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
49038.0,Putting in contact lenses,We see the doctor put the contact in the for the lady. The lady wipes her hands on a towel near a sink. we,B,"Context:
""We see the doctor put the contact in the for the lady. The lady wipes her hands on a towel near a sink. we""

Which of the following endings best completes the context?

Choices:
A. see a women sitting in a chair speaking to a camera.
B. see her put them in a cleaning solution in a small clear jar.
C. see the hand towel and the lady dodge hits the kitchen display.
D. switch and see the woman still looking at the contact.

Reply with exactly one uppercase letter out of A, B, C, or D.
",140
400.0,Gargling mouthwash,The mother instructs them on how to brush their teeth while laughing. The boy helps his younger sister brush his teeth. she,D,"Context:
""The mother instructs them on how to brush their teeth while laughing. The boy helps his younger sister brush his teeth. she""

Which of the following endings best completes the context?

Choices:
A. shows how to hit the mom and then kiss his dad as well.
B. brushes past the camera, looking better soon after.
C. glows from the center of the camera as a reaction.
D. gets them some water to gargle in their mouths.

Reply with exactly one uppercase letter out of A, B, C, or D.
",140
6002.0,Shaving,He then takes a razor and begins going over his beard and lining it up. in the middle of it,D,"Context:
""He then takes a razor and begins going over his beard and lining it up. in the middle of it""

Which of the following endings best completes the context?

Choices:
A. an eyepatch presents itself, sitting on its own.
B. 's they put a circular piece of over covered sticker to cover his molars.
C. , he gets back on his feet.
D. , he grabs his phone to take pictures before he continues to shave off his beard.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
29282.0,Kayaking,A pair of kayakers navigate on a river waterway in calm water near a waterfall. a group of kayakers,B,"Context:
""A pair of kayakers navigate on a river waterway in calm water near a waterfall. a group of kayakers""

Which of the following endings best completes the context?

Choices:
A. walk out of a bridge into the water.
B. sit in the kayaks on the shore before pushing off into the river.
C. passes over small waterfalls and dirt trail and then onto rapids and streams.
D. board with inflatable tubes in the semi dark floating down the river.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
40576.0,Doing fencing,A man is seen stretching on the floor followed by people fencing with one another. people,D,"Context:
""A man is seen stretching on the floor followed by people fencing with one another. people""

Which of the following endings best completes the context?

Choices:
A. play the game with one another while others continue to watch on the side.
B. run around backstage and look at the title screens.
C. continuously use fencing gloves in front of a large series of screens.
D. move back and fourth around an arena fencing with one another and the camera capturing their movements.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
18685.0,Baking cookies,"Butter, brown sugar, sugar, vanilla, eggs are mixed and whisked together in a glass bowl. Other ingredients and flour are mixed in a measuring cup. the bowl mixture and the measuring cup mixture",B,"Context:
""Butter, brown sugar, sugar, vanilla, eggs are mixed and whisked together in a glass bowl. Other ingredients and flour are mixed in a measuring cup. the bowl mixture and the measuring cup mixture""

Which of the following endings best completes the context?

Choices:
A. is put together on the small plate.
B. are added together and mixed.
C. are poured into a serving container.
D. is placed in holders of an outdoor table.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
7309.0,Hand car wash,A large white truck with its hood open backs up. marc man,C,"Context:
""A large white truck with its hood open backs up. marc man""

Which of the following endings best completes the context?

Choices:
A. is standing outside with a bag of wood from the garage and a lighter in a bag at his feet swinging around a woodpile.
B. is getting ready to lift a heavy barbell.
C. speaks to the camera by a vintage red car.
D. is shoveling snow from the side and down the sidewalk.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
23792.0,Sailing,A group of sail boats sail together through choppy water on a windy day. two men,A,"Context:
""A group of sail boats sail together through choppy water on a windy day. two men""

Which of the following endings best completes the context?

Choices:
A. pull on the rigging seated on the small sailboat.
B. , one in gray shirt and one in red are sailing on a calm day.
C. wearing sunglasses are seen rowing as the camera pans around.
D. talk to the camera while they row on a calm body of water.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
4663.0,Bathing dog,"After she's done washing, she wipes him dry with a towel. Then she bathes the little puppy the same way with soap and water. the dog",C,"Context:
""After she's done washing, she wipes him dry with a towel. Then she bathes the little puppy the same way with soap and water. the dog""

Which of the following endings best completes the context?

Choices:
A. is redressed and groomed.
B. is all dirty when he is done.
C. is playing on a rug after the bath is over with wet fur on his body.
D. then sits down on the table and it's done.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
31888.0,Canoeing,A man is seen speaking to the camera as well as riding in a canoe with another woman. more people,C,"Context:
""A man is seen speaking to the camera as well as riding in a canoe with another woman. more people""

Which of the following endings best completes the context?

Choices:
A. speak to the camera over the water as well as in canoes.
B. are seen riding while the camera captures their movements.
C. are seen riding down the river in canoes while the man continues to speak.
D. are seen riding in canoes while also speaking to the camera.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
2312.0,Cricket,An intro is shown for a cricket game. Several players begin to play a cricket game on a field. a man,B,"Context:
""An intro is shown for a cricket game. Several players begin to play a cricket game on a field. a man""

Which of the following endings best completes the context?

Choices:
A. talks to another man at each game before ending the game.
B. stumbles over one of the cricket posts.
C. talks to the camera and one of his players in a adjacent room then appears in a similar field talking.
D. speaks to the camera while holding up a trophy.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
2683.0,Playing water polo,"One of the swimmers is underwater, trying to reach the ball. He throws the ball across to another swimmer who catches the ball. two swimmers",C,"Context:
""One of the swimmers is underwater, trying to reach the ball. He throws the ball across to another swimmer who catches the ball. two swimmers""

Which of the following endings best completes the context?

Choices:
A. advance on the beach, trying to catch the balls.
B. are outside, working out as they of the group of swimmers.
C. are under water trying to reach the ball.
D. are together in a diving pool, putting on mask.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
37135.0,Baton twirling,She is dancing next a large drum wheel while balancing a stick on her neck and twirling her body. as the drum wheel,C,"Context:
""She is dancing next a large drum wheel while balancing a stick on her neck and twirling her body. as the drum wheel""

Which of the following endings best completes the context?

Choices:
A. turns she plays switching back and fourth.
B. spins her hands demonstrate and she jumps reactions.
C. rotates, she dances with the sticks in her hands.
D. is swinging she started dancing faster and spinning the stick back and fourth under her arm.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
38642.0,Doing a powerbomb,Two wrestlers are seen facing one another and lead into two more lifting up a wrestler. the men,C,"Context:
""Two wrestlers are seen facing one another and lead into two more lifting up a wrestler. the men""

Which of the following endings best completes the context?

Choices:
A. continue wresting and end with one caught and helped away.
B. continue wresting and ends with no one standing over their fallen opponent.
C. then throw him down on a table and cheer with one another.
D. continue to lift up the other in the air and ends with one final guy walking away.

Reply with exactly one uppercase letter out of A, B, C, or D.
",140
5949.0,Shot put,He bends forward and then swings himself to shoot the ball at a distance. Then he uses a long measuring tape to measure the distance of his throw. he,B,"Context:
""He bends forward and then swings himself to shoot the ball at a distance. Then he uses a long measuring tape to measure the distance of his throw. he""

Which of the following endings best completes the context?

Choices:
A. then turns around and walks away.
B. then aims and shoots another ball in the field.
C. then rakes the grass around him as he continues to play.
D. shows how to measure the distance well in case he missed his shot.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
18431.0,Getting a piercing,She gets a clamp put under her eye pinching the skin. The piercer puts an earring in and she sits up. she,C,"Context:
""She gets a clamp put under her eye pinching the skin. The piercer puts an earring in and she sits up. she""

Which of the following endings best completes the context?

Choices:
A. does another piercing and then shows the sides of her face as she works.
B. puts the earring back in.
C. holds a towel to the piercing to catch the blood.
D. gets a green pin and starts piercing the sides of her eyelid.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
22214.0,BMX,We see a blue intro screen. We see kids riding dirt bikes. We see another title screen and the intermediate riders are seen. we,C,"Context:
""We see a blue intro screen. We see kids riding dirt bikes. We see another title screen and the intermediate riders are seen. we""

Which of the following endings best completes the context?

Choices:
A. see a man talk to the camera as a dj plays music.
B. see the title screen again but it's still dark.
C. see the screen go blue again and we see the experts.
D. see the kids riding dune bikes.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
43088.0,Hand car wash,We see shirtless men in small tight underwear washing cars. The men walk in the parking lot in a line with only underwear on. a man,A,"Context:
""We see shirtless men in small tight underwear washing cars. The men walk in the parking lot in a line with only underwear on. a man""

Which of the following endings best completes the context?

Choices:
A. shakes his wet hair.
B. raises his left arm and other men do the same until the line is half way through.
C. sits on a pay phone and talks.
D. walks on a tight rope with his bare foot.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
17727.0,Layup drill in basketball,An elderly man is standing in a basketball gym watching a young team of athletes practice. another male,A,"Context:
""An elderly man is standing in a basketball gym watching a young team of athletes practice. another male""

Which of the following endings best completes the context?

Choices:
A. then begins shuffling and playing defense as the kids practice their layups.
B. then runs while the coach watches on the sidelines and several students watch on the sides.
C. player is shown mixing his body and bag of tricks.
D. player is in the gym doing the same thing.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
15122.0,Welding,He continues to weld in the same corner. The man pushes his helmet up and replaces the wires and sands the same area again. he,C,"Context:
""He continues to weld in the same corner. The man pushes his helmet up and replaces the wires and sands the same area again. he""

Which of the following endings best completes the context?

Choices:
A. stands up and grabs a helmet.
B. tightens the bolts and holds the welding device upright.
C. places his gloves down and shows the weld he finished.
D. talks to the camera as he continues to weld.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
43823.0,Scuba diving,We see people under water diving. A man holds a white thing and touches it over and over. above water,D,"Context:
""We see people under water diving. A man holds a white thing and touches it over and over. above water""

Which of the following endings best completes the context?

Choices:
A. , we see men diving in pool.
B. , we see flying objects.
C. , the boy smiles and waves while divers calm the sandcastle.
D. people are on the boat and a person falls into the water, we see people underwater diving and looking at sealife at night.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
5727.0,Using uneven bars,A female gymnast is spinning around a bar in a gym. She spins around the bar multiple times before dismounting. she,B,"Context:
""A female gymnast is spinning around a bar in a gym. She spins around the bar multiple times before dismounting. she""

Which of the following endings best completes the context?

Choices:
A. walks off the bar quickly after presenting her arms in the air.
B. lands on the mat, arms in the air.
C. is then seen riding down a hill while the crowd cheers and claps.
D. climbs onto a beam and conducts a routine.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
5814.0,Tumbling,A man is inside of a gym. He starts doing flips inside the gym. He does many tricks as he jumps in the air. he,A,"Context:
""A man is inside of a gym. He starts doing flips inside the gym. He does many tricks as he jumps in the air. he""

Which of the following endings best completes the context?

Choices:
A. lands on his feet after the tricks.
B. stops performing many tricks back and fourth.
C. continues to do the splits as he sports his body from various angles.
D. does more flips from the outside and on inside the gym.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
6599.0,Playing polo,Then a field is shown and various shots of different people. There is a polo match with horses. then some men,B,"Context:
""Then a field is shown and various shots of different people. There is a polo match with horses. then some men""

Which of the following endings best completes the context?

Choices:
A. are interviewed followed by more shots of people including pallbearers and others rowing.
B. are on stage and receive a trophy and a man talks behind a podium.
C. put food in a pan and cook over it.
D. are shown all competing as individual individuals.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
41316.0,Cheerleading,A woman talks to the camera while young girls stand behind her. the woman,C,"Context:
""A woman talks to the camera while young girls stand behind her. the woman""

Which of the following endings best completes the context?

Choices:
A. points to a lady with curls, while in front of her sat teen.
B. wash cups, some spoons.
C. continues to talk to the camera while demonstrating individual dance movements, as the young girls follow along.
D. measures the purse, re folding the purse and place it on a shelf.

Reply with exactly one uppercase letter out of A, B, C, or D.
",140
19053.0,Walking the dog,A large dog is holding on to a blue leash that is on a smaller dog. he,D,"Context:
""A large dog is holding on to a blue leash that is on a smaller dog. he""

Which of the following endings best completes the context?

Choices:
A. puts the leash on the second dog using the camera.
B. is holding onto the leash while the dog walks on it's right hind legs.
C. then begins walking on the leash behind the dog, walking with his regular lead weight.
D. is basically walking her, while the owner walks a third dog.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
1201.0,Sharpening knives,She turns a dial on the appliance and sets it back down. She picks the knife back up and places it on the appliance. she,C,"Context:
""She turns a dial on the appliance and sets it back down. She picks the knife back up and places it on the appliance. she""

Which of the following endings best completes the context?

Choices:
A. gets up and starts brushing the blade.
B. uses a tool to pinch the wax off of the knife.
C. turns the dial again on the appliance.
D. jumps up and throws something into a container shaped like a snowboard.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
30037.0,Shaving legs,She sits back down and then finishes shaving her left leg. The young woman then begins shaving her right leg. the girl,A,"Context:
""She sits back down and then finishes shaving her left leg. The young woman then begins shaving her right leg. the girl""

Which of the following endings best completes the context?

Choices:
A. puts her leg on the bathroom counter and finishes shaving.
B. then picks up a razor in between her legs.
C. stands back up while shaving her left leg.
D. moves down some more and then a young man comes and cleans up the area.

Reply with exactly one uppercase letter out of A, B, C, or D.
",140
34445.0,Playing congas,A small group of people are seen on a stage getting their instruments ready. A woman begins playing the drums while another plays piano and the others watch. the two,B,"Context:
""A small group of people are seen on a stage getting their instruments ready. A woman begins playing the drums while another plays piano and the others watch. the two""

Which of the following endings best completes the context?

Choices:
A. continue to play together while moving along the stage.
B. continue to play their instruments and others on the side watch.
C. continue playing all around and end with people walking off stage.
D. try out their instruments while others watch on the side while a nurse watches.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
