ind,activity_label,ctx,answer,final_prompt,len_tk_phi3_mini_4k_instruct
22811.0,Tai chi,A man is seen standing in a field with his eye closed and standing still. The man then begins moving his arms and legs around his body. he,C,"Context:
""A man is seen standing in a field with his eye closed and standing still. The man then begins moving his arms and legs around his body. he""

Which of the following endings best completes the context?

Choices:
A. then uses his hands to move the objects around and then cuts it all to pieces.
B. is seen in several angles swinging around himself and others as well.
C. continues moving his body around with his eyes closed.
D. moves himself all around the field and ends by brushing off the dirt with his hand.

Reply with exactly one uppercase letter out of A, B, C, or D.
",150
39217.0,Cleaning shoes,A man cleaning a shoe that's sitting on a black mat in front of him. He scrubs the shoe with a brush. he,B,"Context:
""A man cleaning a shoe that's sitting on a black mat in front of him. He scrubs the shoe with a brush. he""

Which of the following endings best completes the context?

Choices:
A. sprays a very cold white solution into the shoe.
B. sprays something on the shoe.
C. grabs a bottle of cleaner and scrubs also the side of the shoe.
D. sprays vinegar on the shoe and scrubs it with a cloth.

Reply with exactly one uppercase letter out of A, B, C, or D.
",149
4449.0,Beer pong,A man wearing a ghost shirt is playing a game of beer pong. he,C,"Context:
""A man wearing a ghost shirt is playing a game of beer pong. he""

Which of the following endings best completes the context?

Choices:
A. washes his eyes and then proceeds to dribble beer from a pitcher onto the glass.
B. fights with a man wearing a mask over his face.
C. lines up four cups, throwing the balls into the cups.
D. is using a mallet to continuously throw the balls one after the other at the people standing around him.

Reply with exactly one uppercase letter out of A, B, C, or D.
",150
45689.0,Making a lemonade,There's a young man and a young woman doing a tutorial on how to make homemade lemonade in their kitchen. the ingredients used for the lemonade,C,"Context:
""There's a young man and a young woman doing a tutorial on how to make homemade lemonade in their kitchen. the ingredients used for the lemonade""

Which of the following endings best completes the context?

Choices:
A. are food preparation materials typed on a computer screen.
B. is then added to a vegetable broth.
C. are placed on the stove top.
D. is under the sink and the girl uses the various ingredients to make some lemonade.

Reply with exactly one uppercase letter out of A, B, C, or D.
",145
43890.0,Starting a campfire,A match is lit and a young man holds up another lit match along with sticks then blows it out. the young man,D,"Context:
""A match is lit and a young man holds up another lit match along with sticks then blows it out. the young man""

Which of the following endings best completes the context?

Choices:
A. light the other pavilion and remove all traces of the fire from the area.
B. dabs his face and then tosses the wrapped present to the other person.
C. blows smoke outside in the summer day where many people are having a good time.
D. builds a ring of rocks near a tent.

Reply with exactly one uppercase letter out of A, B, C, or D.
",144
10748.0,Laying tile,A man in a yellow shirt is on his knees layering cement on the floor. He stops for a second and looks up. the man,B,"Context:
""A man in a yellow shirt is on his knees layering cement on the floor. He stops for a second and looks up. the man""

Which of the following endings best completes the context?

Choices:
A. then puts the cement on the floor and goes back to hammering the concrete.
B. goes back to layering the floor with cement.
C. ramps himself up as he keeps hammering the tiles.
D. then kneels down and fills a bucket with sand.

Reply with exactly one uppercase letter out of A, B, C, or D.
",144
42042.0,Sumo,Sumo wrestlers are standing in stage ready to fight and people are gathered around them and sitting in he terraces. men,B,"Context:
""Sumo wrestlers are standing in stage ready to fight and people are gathered around them and sitting in he terraces. men""

Which of the following endings best completes the context?

Choices:
A. are planish the stage and begins to fight hands and wrestling with people going forward.
B. are talking in the dark room and explaining their point of view.
C. choreogramwate the fight and standing on the missions.
D. places handbags on heads, stands up and begins to fight.

Reply with exactly one uppercase letter out of A, B, C, or D.
",143
24448.0,Mooping floor,A man on the screen begins to describe a mop and bucket set that are used for cleaning floors. he,A,"Context:
""A man on the screen begins to describe a mop and bucket set that are used for cleaning floors. he""

Which of the following endings best completes the context?

Choices:
A. then begins to demonstrate how to use the mop and bucket set.
B. sweeps the floors once more and returns back to speaking about how to clean them correctly.
C. explains the yellow paint job he will be using on the floor.
D. shows how the mopping flows into the sink and into a bucket.

Reply with exactly one uppercase letter out of A, B, C, or D.
",143
38738.0,Washing face,The lady rinses her face in her hands with water. The lady washes her face with a blue towel then rinses her face again. the lady,B,"Context:
""The lady rinses her face in her hands with water. The lady washes her face with a blue towel then rinses her face again. the lady""

Which of the following endings best completes the context?

Choices:
A. dries her face, then turns the water off with a toothbrush.
B. smiles at the camera and the scene ends.
C. sprays her face with water.
D. pulls a card off of the dispenser and invites viewers to watch.

Reply with exactly one uppercase letter out of A, B, C, or D.
",145
14807.0,Carving jack-o-lanterns,"The woman adds chopped vegetables, salsa, and eggs to a large bowl. The woman uses a spatula to mix everything together. a spoon",A,"Context:
""The woman adds chopped vegetables, salsa, and eggs to a large bowl. The woman uses a spatula to mix everything together. a spoon""

Which of the following endings best completes the context?

Choices:
A. is used to add ingredients into the hollow bell peppers.
B. is used to stir everything together, then the woman puts it into an orange bowl.
C. pulls broth out of a bowl.
D. shape is placed on the kitchen counter.

Reply with exactly one uppercase letter out of A, B, C, or D.
",145
7532.0,Canoeing,Several people are shown in canoe riding around in the water and having a great time. then,C,"Context:
""Several people are shown in canoe riding around in the water and having a great time. then""

Which of the following endings best completes the context?

Choices:
A. when they are done, they are shown in a sitting position in in the canoe setting.
B. they come back in their canoe and continue riding around the lake.
C. , they are some learning different methods of canoeing and how to maneuver in the water.
D. , several more people are shown back in the boat riding through the ocean.

Reply with exactly one uppercase letter out of A, B, C, or D.
",152
22618.0,Mowing the lawn,He uses a ruler to show more detailed and then moves the mower to the sidewalk to talk some more. he,D,"Context:
""He uses a ruler to show more detailed and then moves the mower to the sidewalk to talk some more. he""

Which of the following endings best completes the context?

Choices:
A. then moves to the corner to talk again.
B. measures the mower's horsepower and bends down to finish his section of sidewalk.
C. continues to talk about what he is doing and shows two hands stopping to write something on the board from time to time.
D. starts mowing his lawn finally going up and down the lawn.

Reply with exactly one uppercase letter out of A, B, C, or D.
",153
1730.0,Triple jump,They begin to run again but this time the man who had the head start takes his time and the man in the blue runs fast and jumps in the sand. he,D,"Context:
""They begin to run again but this time the man who had the head start takes his time and the man in the blue runs fast and jumps in the sand. he""

Which of the following endings best completes the context?

Choices:
A. catches his momentum and takes off running.
B. takes off his track uniform and begins running again and jumps in the pit.
C. rides the camel around the pit.
D. runs and jumps again, this time they show it again in slow motion.

Reply with exactly one uppercase letter out of A, B, C, or D.
",143
15057.0,Playing squash,Woman wearing black clothes is playing squash in a small wooden room. Man with a stripped shirt is standing in a court room playing squash. a man and a woman,A,"Context:
""Woman wearing black clothes is playing squash in a small wooden room. Man with a stripped shirt is standing in a court room playing squash. a man and a woman""

Which of the following endings best completes the context?

Choices:
A. are standing ni a wooden court playing squash.
B. wearing orange shirts start to play without a net attached to a pole.
C. are standing in a seat playing squash.
D. using hula hoops are in a flat court practicing hula hoops.

Reply with exactly one uppercase letter out of A, B, C, or D.
",150
44623.0,Snow tubing,A person is seen standing on a pair of skis while others move around an area. One person sits on a tube while others walk from behind. a person,D,"Context:
""A person is seen standing on a pair of skis while others move around an area. One person sits on a tube while others walk from behind. a person""

Which of the following endings best completes the context?

Choices:
A. is then seen riding a machine while the camera captures them from far behind.
B. continues riding around on a tube on themselves.
C. manages to pass a jump mark while still looking down.
D. then kicks the person n the tube down the hill.

Reply with exactly one uppercase letter out of A, B, C, or D.
",146
44193.0,Playing saxophone,A man's silhouette is visible and we see the arena in blue light. The man on stage plays lit in a red light. we,A,"Context:
""A man's silhouette is visible and we see the arena in blue light. The man on stage plays lit in a red light. we""

Which of the following endings best completes the context?

Choices:
A. see the arena in blue and the sax player in red.
B. see an indication that play's over.
C. pan back and see a lady and a man seated and then men playing.
D. switch to intro to observe the performer as he tricks the lighting.

Reply with exactly one uppercase letter out of A, B, C, or D.
",146
18129.0,Preparing pasta,A man is shown speaking to the camera and close up of various cook pots and pans. he,C,"Context:
""A man is shown speaking to the camera and close up of various cook pots and pans. he""

Which of the following endings best completes the context?

Choices:
A. then demonstrates how it use to bake cookies.
B. adds pasta to a blender and ends by showing the door and a pan again.
C. pours noodles and salt into a pot and stirs the noodles around while speaking to the camera.
D. then solves a rubik's cube and begins solving the puzzle.

Reply with exactly one uppercase letter out of A, B, C, or D.
",148
46406.0,Carving jack-o-lanterns,A picture is laid out on a pumpkin followed by a person cutting it out. The person carves along the tracing while moving in and out of frame. the person,B,"Context:
""A picture is laid out on a pumpkin followed by a person cutting it out. The person carves along the tracing while moving in and out of frame. the person""

Which of the following endings best completes the context?

Choices:
A. takes a hula hoop and circles around the pumpkin.
B. finishes the pumpkin by putting a light inside.
C. decorates the fireplace before taking a hammer and sharpening it.
D. stops and applies sealing wax to the wood.

Reply with exactly one uppercase letter out of A, B, C, or D.
",149
10014.0,Ironing clothes,A woman is explaining the materials to iron garments. then,A,"Context:
""A woman is explaining the materials to iron garments. then""

Which of the following endings best completes the context?

Choices:
A. , the woman explains step by step how to iron clothes.
B. , the woman demonstrate how to iron a garment and apply to a specific area of body while speaking.
C. , the woman puts on the garments the wearers hair with gel and cleans with a dryer.
D. , the woman takes dirt polish on her shoe and then soaks it, but other woman shows her shoe.

Reply with exactly one uppercase letter out of A, B, C, or D.
",152
43362.0,Zumba,A man in a red shirt starts dancing next to a car with another woman. They join the woman walking with the stereo in her hand. several other people,B,"Context:
""A man in a red shirt starts dancing next to a car with another woman. They join the woman walking with the stereo in her hand. several other people""

Which of the following endings best completes the context?

Choices:
A. begin dancing on the same material.
B. join them as they walk and dance to the music.
C. walk to the room with their arms joined and are seen dancing around a room.
D. are sitting together on a sidewalk near the entrance to a strip club.

Reply with exactly one uppercase letter out of A, B, C, or D.
",145
15282.0,Getting a piercing,A man is seen speaking and smiling to the camera and shows a woman wiping his face. the woman,C,"Context:
""A man is seen speaking and smiling to the camera and shows a woman wiping his face. the woman""

Which of the following endings best completes the context?

Choices:
A. rubs the smooth areas of the man's face and wiping down the surfaces.
B. then wipes his hair and pets him in the end.
C. then holds up a tool to his face and pierces the man's lip.
D. holds his face while the man puts shaving cream on on and speaks to both of them.

Reply with exactly one uppercase letter out of A, B, C, or D.
",152
15189.0,Shot put,"They practice and they do it professionally, it a serious sport that people really enjoy yo be a part of. they",B,"Context:
""They practice and they do it professionally, it a serious sport that people really enjoy yo be a part of. they""

Which of the following endings best completes the context?

Choices:
A. kiss their teammates some times, eat, talk, et cetera.
B. tend to get very excited when they do good on their throws.
C. are front to back in the stands and practicing moving their legs and doing turns in the air.
D. do it again and they do it in many different venues.

Reply with exactly one uppercase letter out of A, B, C, or D.
",146
28020.0,Preparing pasta,A person shows us a package of spaghetti then adds the spaghetti to the boiling water. The man stirs the spaghetti in the pot. the man,D,"Context:
""A person shows us a package of spaghetti then adds the spaghetti to the boiling water. The man stirs the spaghetti in the pot. the man""

Which of the following endings best completes the context?

Choices:
A. begins to finger comb the spaghetti.
B. smells the spaghetti then mixes it with some other ingredients.
C. hangs pasta on a line on the wall.
D. drains the spaghetti and rinses it before putting it into a bowl.

Reply with exactly one uppercase letter out of A, B, C, or D.
",151
37595.0,Sharpening knives,A chef is seen speaking to the camera and begins cutting up ingredients. he,A,"Context:
""A chef is seen speaking to the camera and begins cutting up ingredients. he""

Which of the following endings best completes the context?

Choices:
A. cuts up several pieces of food using different knives.
B. cooks out of a large pan and slowly shapes up a meal.
C. pours pasta into a pot and begins dipping ingredients into the pot mmons boiling water.
D. receives the ingredients in a bowl followed by a bowl filled with salad.

Reply with exactly one uppercase letter out of A, B, C, or D.
",145
49789.0,Hitting a pinata,A man and kids are on a patio at a kids birthday party. a small boy,B,"Context:
""A man and kids are on a patio at a kids birthday party. a small boy""

Which of the following endings best completes the context?

Choices:
A. serves the cake two cups and they raise them high into the air and celebrate.
B. tries to hiy the pinata but is too little.
C. presents a toy sat on table and two adults play foosball with the adults and the children laugh with the man.
D. swings a frisbee, chasing after a pinata.

Reply with exactly one uppercase letter out of A, B, C, or D.
",153
11948.0,Cutting the grass,The person pushes the mower along the edge of the grass and throughout the rest of the grass. the man,B,"Context:
""The person pushes the mower along the edge of the grass and throughout the rest of the grass. the man""

Which of the following endings best completes the context?

Choices:
A. stops and turns around to hand off the frisbee.
B. then grabs a weed wacker and cuts the weeds along the edge.
C. puts the machine on the grass and picks up some leaves to put on the lawn mower.
D. rolls down the lawn mowing path making turns and turns around.

Reply with exactly one uppercase letter out of A, B, C, or D.
",150
40332.0,Horseback riding,The group rides along a dune section and through some low vegetation. The group rides at a gallup through the water and along the beach. the riders,D,"Context:
""The group rides along a dune section and through some low vegetation. The group rides at a gallup through the water and along the beach. the riders""

Which of the following endings best completes the context?

Choices:
A. ride past a fish pond at the beach.
B. loiter in the water enjoying the strong currents.
C. ride a set of rafts along the beach as a piece of scenery.
D. ride slowly and then it becomes later in the day and the sun is getting low.

Reply with exactly one uppercase letter out of A, B, C, or D.
",150
41341.0,Discus throw,A young man is standing in a netted green circular area. the man,D,"Context:
""A young man is standing in a netted green circular area. the man""

Which of the following endings best completes the context?

Choices:
A. swings his arms and diver diving combines his body into large shallow shallow water and performs a somersault.
B. moves into a sheet of dist metal.
C. then crouch in between a series of bleachers with manta bars placed on each side of his higher body.
D. is holding a ball and begins to spin himself around and around multiple times and then throws the ball.

Reply with exactly one uppercase letter out of A, B, C, or D.
",153
40372.0,River tubing,They travel through the lake and arrive at a spot where they get off the boat and jump into the water with their tubes. they,A,"Context:
""They travel through the lake and arrive at a spot where they get off the boat and jump into the water with their tubes. they""

Which of the following endings best completes the context?

Choices:
A. get onto the yellow tubes and float along the water.
B. then pile out of the boat and ge to dry off.
C. are acting very silly as they sit and play on and water ski with their bmx tubes.
D. sail all the way to the end into the water and fish out after them.

Reply with exactly one uppercase letter out of A, B, C, or D.
",147
5311.0,Longboarding,A caucasian male is outside holding up a skateboard. he,D,"Context:
""A caucasian male is outside holding up a skateboard. he""

Which of the following endings best completes the context?

Choices:
A. puts on a skate and snowboards down the hill.
B. separates it's parts on the skateboard and lays them down.
C. walks up to the skateboard and himself.
D. then goes down a winding road and comes down skateboarding and the picture is still until he slides into a trick and then it is paused again.

Reply with exactly one uppercase letter out of A, B, C, or D.
",148
10931.0,Hopscotch,The girl is then seen play hop scotch jumping down the chalk while the boy watches from behind. a woman,A,"Context:
""The girl is then seen play hop scotch jumping down the chalk while the boy watches from behind. a woman""

Which of the following endings best completes the context?

Choices:
A. then helps the boy jump followed by the young girl helping.
B. is shown talking again and places her hand on her abdomen.
C. and a man hold the little girl again as more of her play is shown.
D. then begins to run around next to her playing with her balls, she of course does not know what she is doing going forward.

Reply with exactly one uppercase letter out of A, B, C, or D.
",153
21381.0,Making a sandwich,Sandwiches are displayed in a slideshow. a person,A,"Context:
""Sandwiches are displayed in a slideshow. a person""

Which of the following endings best completes the context?

Choices:
A. spreads mustard sauce on slices of bread, then the person put on top swiss cheese, jam, sauerkraut and a slice of bread on top.
B. wrap a piece of bread in red paper then carve a sandwich.
C. demonstrates how to grind example flour and ppk it into bowls.
D. is mixing ingredients into a pot.

Reply with exactly one uppercase letter out of A, B, C, or D.
",151
2369.0,Camel ride,A little girl is guided as she mounts a camel at a station. A man helps her as he leads the camel around. the girl,D,"Context:
""A little girl is guided as she mounts a camel at a station. A man helps her as he leads the camel around. the girl""

Which of the following endings best completes the context?

Choices:
A. gets on the camel.
B. walks in front of the camel with the man in front.
C. passengers the camel to the finish line while the man guides the camel, as she is led to a sitting position.
D. smiles as she rides the camel around the pen.

Reply with exactly one uppercase letter out of A, B, C, or D.
",149
49861.0,Getting a haircut,The man combs and cuts the woman's hair as she sits. The man dries and styles the woman's short hair. the woman,C,"Context:
""The man combs and cuts the woman's hair as she sits. The man dries and styles the woman's short hair. the woman""

Which of the following endings best completes the context?

Choices:
A. uses a product to dry the other woman's hair.
B. turns around with a towel and waves goodbye while the man and woman exit the room.
C. looks at her hair and gets up from the chair happy.
D. poses with a hair clipper in her hand.

Reply with exactly one uppercase letter out of A, B, C, or D.
",145
22616.0,Mowing the lawn,A man is standing outside in his front lawn with his mower. he,A,"Context:
""A man is standing outside in his front lawn with his mower. he""

Which of the following endings best completes the context?

Choices:
A. talks about different lengths of grass for a while and then bends down to his mower.
B. takes the leaf blower out of the back of his van before beginning to mow the lawn.
C. goes to start it up and maneuvers it around so the back is pointing.
D. spins the mower all around trying to stay afloat.

Reply with exactly one uppercase letter out of A, B, C, or D.
",146
12307.0,Mooping floor,A person is seen shirtless standing in a kitchen and holding a mop. The man looks back and laughs to the camera while holding the mop. he,B,"Context:
""A person is seen shirtless standing in a kitchen and holding a mop. The man looks back and laughs to the camera while holding the mop. he""

Which of the following endings best completes the context?

Choices:
A. continues mashing chocolate in the bucket while the camera captures him from several angles.
B. continues to laugh and dance around while pushing the mop around.
C. is then seen washing dishes and eventually serves them up.
D. pushes the mop back towards the camera.

Reply with exactly one uppercase letter out of A, B, C, or D.
",149
32243.0,Having an ice cream,A young child is seen holding an ice cream cone and speaking to the camera while smiling. she,D,"Context:
""A young child is seen holding an ice cream cone and speaking to the camera while smiling. she""

Which of the following endings best completes the context?

Choices:
A. continues speaking while using her mouth and pointing to the camera.
B. continues speaking more and picking up ice cream and taking a chunk.
C. licks the ice cream cone and continues eating around her toy.
D. speaks to the camera man holding a doll in the other hand, then sits down on the ground.

Reply with exactly one uppercase letter out of A, B, C, or D.
",145
1333.0,Playing drums,Using his foot for the base and drumming on the snare like a natural. A woman is on a piano playing along with the child. they,B,"Context:
""Using his foot for the base and drumming on the snare like a natural. A woman is on a piano playing along with the child. they""

Which of the following endings best completes the context?

Choices:
A. continue playing the drums and playing the music.
B. have a small audience sitting and watching them perform.
C. continue to play the drum better and play till there's no longer a fist drumming loudly in the background.
D. are both playing and singing along very intently while they're playing for joy.

Reply with exactly one uppercase letter out of A, B, C, or D.
",150
34711.0,Hand car wash,"A man wearing glasses is talking in a parking lot. He walks into a car wash, where a green substance is being sprayed on the cars. the soap",B,"Context:
""A man wearing glasses is talking in a parking lot. He walks into a car wash, where a green substance is being sprayed on the cars. the soap""

Which of the following endings best completes the context?

Choices:
A. then appears on the right and he rinses off his hands.
B. is then rinsed away with hoses.
C. is then applied to the face of the car and dried by a hand dryer.
D. gets into various holes in the cars.

Reply with exactly one uppercase letter out of A, B, C, or D.
",147
24085.0,River tubing,A man is seen sitting in a tube speaking and leads into people walking around carrying tubes. shots of the water,C,"Context:
""A man is seen sitting in a tube speaking and leads into people walking around carrying tubes. shots of the water""

Which of the following endings best completes the context?

Choices:
A. had the people walking along with water crashing into their tubes.
B. ride in a tube are shown around the tube.
C. is shown followed by people riding down a river on the tubes.
D. and people occasionally riding the tubes and getting ready to jump all around the world.

Reply with exactly one uppercase letter out of A, B, C, or D.
",143
15801.0,Tai chi,Sun is going out in a presentation with chinese characters. A lot o men are in an open field practicing some kung fu movements outside a temple. men,A,"Context:
""Sun is going out in a presentation with chinese characters. A lot o men are in an open field practicing some kung fu movements outside a temple. men""

Which of the following endings best completes the context?

Choices:
A. are breaking bricks with their hands and doing handstands.
B. are in the gym practicing some martial arts moves outside.
C. go in the street and practice tai chi in a line.
D. run indoors then sit outside in the open area.

Reply with exactly one uppercase letter out of A, B, C, or D.
",145
38325.0,Powerbocking,There's a person shown on a newstime segment going on poweriser stilts across a town through the streets. the news anchor representing newstime,D,"Context:
""There's a person shown on a newstime segment going on poweriser stilts across a town through the streets. the news anchor representing newstime""

Which of the following endings best completes the context?

Choices:
A. styles are speaking to the camera and demonstrates how to use rapid throwing techniques on a target while he is seen.
B. shows a link to the set of stilts he will show.
C. is able to stream in and offer information to the reporter.
D. is talking about the stilts.

Reply with exactly one uppercase letter out of A, B, C, or D.
",150
42371.0,Spinning,Exercises such as yoga and bicycling are demonstrated by those in the gym. The female news reporter continues talking to the fitness instructor. she,C,"Context:
""Exercises such as yoga and bicycling are demonstrated by those in the gym. The female news reporter continues talking to the fitness instructor. she""

Which of the following endings best completes the context?

Choices:
A. shows off her able, and shows viewers the benefits of an excellent workout.
B. demonstrates different techniques for cardio exercises.
C. speaks to the anchor back in the studio.
D. leads into a warm up exercise with a demonstration of yoga moves.

Reply with exactly one uppercase letter out of A, B, C, or D.
",148
4742.0,Getting a tattoo,A person is seen sitting in a chair with his arm out getting a tattoo from a male artist. the men,D,"Context:
""A person is seen sitting in a chair with his arm out getting a tattoo from a male artist. the men""

Which of the following endings best completes the context?

Choices:
A. put the tattoo on his leg and tighten the ring while another woman watches.
B. move all around the shop tattooing his arm.
C. hold up a piece of paper while the man then is seen again in a black shirt.
D. speak back and fourth to one another and the camera zooms in on the arm being done.

Reply with exactly one uppercase letter out of A, B, C, or D.
",152
28992.0,Playing ice hockey,A graphic shows the number 10 followed by clips from a hockey game. a graphic,A,"Context:
""A graphic shows the number 10 followed by clips from a hockey game. a graphic""

Which of the following endings best completes the context?

Choices:
A. shows the number 9 followed by clips from a hockey game.
B. appears with snowflakes and women speaking into the microphone.
C. shows of other men skating and other players interviewing on the ice while his remains are shown skating past officials and other reporters.
D. is shown on the screen of a hockey hit team.

Reply with exactly one uppercase letter out of A, B, C, or D.
",148
10218.0,Preparing salad,She dries and cuts some cucumbers to put in a bowl of salad. She tosses the salad with her hands. she,A,"Context:
""She dries and cuts some cucumbers to put in a bowl of salad. She tosses the salad with her hands. she""

Which of the following endings best completes the context?

Choices:
A. grabs a bottle of vinegar and pours it on top of the salad.
B. comes into the kitchen and pours some water on to a milk jug from a small window.
C. stops to shrug of her coat.
D. jaw to speak to the camera.

Reply with exactly one uppercase letter out of A, B, C, or D.
",146
31374.0,Ice fishing,The man grabs his fishing pole and starts fishing in the hole in the ice. The man appears to have caught something and kneels down to pull his fishing line by hand. the man,D,"Context:
""The man grabs his fishing pole and starts fishing in the hole in the ice. The man appears to have caught something and kneels down to pull his fishing line by hand. the man""

Which of the following endings best completes the context?

Choices:
A. releases the fishing line and drops the fishing pole.
B. grabs his pole and pulls several fish out of the hole.
C. stops fishing and emerges to speak to the camera.
D. pulls a fish out of the water and poses with it.

Reply with exactly one uppercase letter out of A, B, C, or D.
",153
24135.0,Hula hoop,"The word brenmar is in the center of the screen going around, then change to the word uniiqu3 and hoola hoop. three women wearing all black",C,"Context:
""The word brenmar is in the center of the screen going around, then change to the word uniiqu3 and hoola hoop. three women wearing all black""

Which of the following endings best completes the context?

Choices:
A. are shown dancing together in a room while a man dances in their area.
B. are in the backyard.
C. are standing holding a white hoola hoope on her hands.
D. laughing and jumping in place giving a thumbs up sign to the camera.

Reply with exactly one uppercase letter out of A, B, C, or D.
",150
41303.0,Making a lemonade,He is pointing to the lemons. His mother comes and helps him squeeze the juice out of the lemons. both the mother and son,B,"Context:
""He is pointing to the lemons. His mother comes and helps him squeeze the juice out of the lemons. both the mother and son""

Which of the following endings best completes the context?

Choices:
A. then put the lemons into an end bin, and show the finished product.
B. use a lemon juicer to squeeze the juice and add it to the jug of water.
C. go out onto a patio.
D. finish pouring the juice into a bowl.

Reply with exactly one uppercase letter out of A, B, C, or D.
",149
