question,question_concept,_split,answer,final_prompt,len_tk_glm4_9b_chat
"Drinking alcohol should be avoided. In addition to making you sick, it can cause what?",drinking alcohol,train-00000-of-00001,A,"Question:
Drinking alcohol should be avoided. In addition to making you sick, it can cause what?

Which of the following is the best response to the question?

Choices:
A. accidents
B. have fun
C. vomiting
D. wicked
E. frequent urination

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
What could happen after going to bed that could be either good or bad?,going to bed,train-00000-of-00001,D,"Question:
What could happen after going to bed that could be either good or bad?

Which of the following is the best response to the question?

Choices:
A. might dream
B. insomnia
C. needing a nap later on
D. good sleep
E. feeling refreshed

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"They teased him relentlessly for being a girl, this all started when he was caught in the locker room bathroom sitting down to do what?",sitting down,train-00000-of-00001,B,"Question:
They teased him relentlessly for being a girl, this all started when he was caught in the locker room bathroom sitting down to do what?

Which of the following is the best response to the question?

Choices:
A. knit
B. pee
C. relaxing
D. watch tv
E. talk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Sarah was not a little girl anymore.  She learned the hard way when buying new clothes.  What size might she have worn?,little,train-00000-of-00001,A,"Question:
Sarah was not a little girl anymore.  She learned the hard way when buying new clothes.  What size might she have worn?

Which of the following is the best response to the question?

Choices:
A. large
B. big
C. see work
D. lot of
E. bog

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The patient was recovering well but still had a long recovery ahead, while chatting with friends he explained all the what?",chatting with friends,train-00000-of-00001,B,"Question:
The patient was recovering well but still had a long recovery ahead, while chatting with friends he explained all the what?

Which of the following is the best response to the question?

Choices:
A. laughter
B. discomfort
C. glee
D. fun
E. inspiration

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"While people just throw coins down them now, what originally had a pail to be lowered for it's intended use?",pail,validation-00000-of-00001,D,"Question:
While people just throw coins down them now, what originally had a pail to be lowered for it's intended use?

Which of the following is the best response to the question?

Choices:
A. garage
B. utility room
C. slide
D. wishing well
E. garden

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"Sally wanted to buy a house close to a city, but not too far away.  Where did Sally look for a home?",house,train-00000-of-00001,B,"Question:
Sally wanted to buy a house close to a city, but not too far away.  Where did Sally look for a home?

Which of the following is the best response to the question?

Choices:
A. residential area
B. suburbs
C. outskirts of city
D. surface of earth
E. street

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"Billy loved having food, but he didn't like the consequences of overeating.   What is the long-term consequence of having too much food?",having food,train-00000-of-00001,C,"Question:
Billy loved having food, but he didn't like the consequences of overeating.   What is the long-term consequence of having too much food?

Which of the following is the best response to the question?

Choices:
A. digesting
B. constipation
C. weight gain
D. not hungry
E. gas

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"He had just drank poison, and the man who had given it to him was now mockingly showing the what?",poison,train-00000-of-00001,E,"Question:
He had just drank poison, and the man who had given it to him was now mockingly showing the what?

Which of the following is the best response to the question?

Choices:
A. consumable
B. medicine
C. nutrient
D. dosage
E. antidote

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"John wanted respect, but  Lud didn't even act like he was alive.  What was Lud doing?",respect,train-00000-of-00001,C,"Question:
John wanted respect, but  Lud didn't even act like he was alive.  What was Lud doing?

Which of the following is the best response to the question?

Choices:
A. befriending
B. disparagement
C. ignoring
D. dishonor
E. contumely

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
John loves to eat baked potato but he doesn't have time to cook. Where might he go for potatoes?,potato,train-00000-of-00001,A,"Question:
John loves to eat baked potato but he doesn't have time to cook. Where might he go for potatoes?

Which of the following is the best response to the question?

Choices:
A. restaurants
B. pantry
C. store
D. root cellar
E. casserole

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The animals had eaten and taken a mud bath in the sun, what happened to them as a result?",animals,train-00000-of-00001,A,"Question:
The animals had eaten and taken a mud bath in the sun, what happened to them as a result?

Which of the following is the best response to the question?

Choices:
A. feel pleasure
B. die of cancer
C. procreate
D. baked
E. pass water

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Simon bought a cow because he wanted to put it to work.   He didn't want any meat for it.  Where might Simon be taking the cow?,cow,train-00000-of-00001,C,"Question:
Simon bought a cow because he wanted to put it to work.   He didn't want any meat for it.  Where might Simon be taking the cow?

Which of the following is the best response to the question?

Choices:
A. countryside
B. city
C. dairy farm
D. butcher shop
E. canada

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
What would you be building if you designed a place for an annoying critter to stay?,mosquitoes,validation-00000-of-00001,E,"Question:
What would you be building if you designed a place for an annoying critter to stay?

Which of the following is the best response to the question?

Choices:
A. spread disease
B. swamp
C. fly away
D. cat condo
E. bug campers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"Before the game some players knelt to pray, they did this because they what?",pray,train-00000-of-00001,C,"Question:
Before the game some players knelt to pray, they did this because they what?

Which of the following is the best response to the question?

Choices:
A. being watched
B. you're scared
C. were religious
D. god hears
E. talk to god

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"Automation does a lot in a factory these days, but the heart and soul is still in the what?",factory,train-00000-of-00001,C,"Question:
Automation does a lot in a factory these days, but the heart and soul is still in the what?

Which of the following is the best response to the question?

Choices:
A. industrial park
B. russia
C. workers
D. free trade zones
E. bots

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The student explained he had a clue what neuroepithelium was and got really nervous, he then lost his balance because a what issue?",neuroepithelium,validation-00000-of-00001,C,"Question:
The student explained he had a clue what neuroepithelium was and got really nervous, he then lost his balance because a what issue?

Which of the following is the best response to the question?

Choices:
A. tastebud
B. retina
C. inner ear
D. nasal cavity
E. autistic

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
Seeing a shark near Tahiti means you're where?,shark,train-00000-of-00001,E,"Question:
Seeing a shark near Tahiti means you're where?

Which of the following is the best response to the question?

Choices:
A. baltic sea
B. gulf of mexico
C. pool hall
D. mediterranean sea
E. south pacific

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"Seating is usually thought to be best in the center of the room, about halfway back, in what place?",seating,train-00000-of-00001,C,"Question:
Seating is usually thought to be best in the center of the room, about halfway back, in what place?

Which of the following is the best response to the question?

Choices:
A. bus depot
B. rest area
C. theatre
D. church
E. classroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"Ficus are in the family Moraceae, and is part of what much broader spectrum?",ficus,train-00000-of-00001,E,"Question:
Ficus are in the family Moraceae, and is part of what much broader spectrum?

Which of the following is the best response to the question?

Choices:
A. science class
B. garden
C. flowerpot
D. arboretum
E. plant kingdom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
John needed to go across the country so he ordered tickets online and got into his car.  Where might he be going?,tickets,train-00000-of-00001,A,"Question:
John needed to go across the country so he ordered tickets online and got into his car.  Where might he be going?

Which of the following is the best response to the question?

Choices:
A. train station
B. opera
C. car rental shop
D. show
E. race track

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The lady responsible for care that shift was not good at her job, she was always what to the needs of the seniors?",care,train-00000-of-00001,D,"Question:
The lady responsible for care that shift was not good at her job, she was always what to the needs of the seniors?

Which of the following is the best response to the question?

Choices:
A. antipathy
B. disinterest
C. negligence
D. indifferent
E. careless

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Billy was a student taking a course in communications.  Where might he be taking his classes?,student,train-00000-of-00001,E,"Question:
Billy was a student taking a course in communications.  Where might he be taking his classes?

Which of the following is the best response to the question?

Choices:
A. every aspect of life
B. library
C. in a movie hall
D. classroom
E. university

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"If a person is using a computer to talk to their granddaughter, what might the computer cause for them?",using computer,validation-00000-of-00001,C,"Question:
If a person is using a computer to talk to their granddaughter, what might the computer cause for them?

Which of the following is the best response to the question?

Choices:
A. program created
B. stress
C. happiness
D. ocean
E. headache

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"Although the living room was set up for the party, where did people tend to congregate while the mother worked?",room,train-00000-of-00001,B,"Question:
Although the living room was set up for the party, where did people tend to congregate while the mother worked?

Which of the following is the best response to the question?

Choices:
A. wireroom
B. kitchen
C. ocean
D. hallway
E. outside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"If you were looking for a grape, where is one place where you probably wouldn't find one?",grape,train-00000-of-00001,C,"Question:
If you were looking for a grape, where is one place where you probably wouldn't find one?

Which of the following is the best response to the question?

Choices:
A. kitchen
B. plate
C. field
D. winery
E. fruit stand

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
When a union shop decides to go off strike what will they do?,go off strike,train-00000-of-00001,E,"Question:
When a union shop decides to go off strike what will they do?

Which of the following is the best response to the question?

Choices:
A. more money
B. rule the city
C. reasonable
D. not go to work
E. return to work

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"He has lactose intolerant, but was eating dinner made of cheese, what followed for him?",eating dinner,validation-00000-of-00001,D,"Question:
He has lactose intolerant, but was eating dinner made of cheese, what followed for him?

Which of the following is the best response to the question?

Choices:
A. digestive
B. feel better
C. sleepiness
D. indigestion
E. illness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
John is careful about to eating dinner that is healthy because he wants to experience what?,eating dinner,train-00000-of-00001,B,"Question:
John is careful about to eating dinner that is healthy because he wants to experience what?

Which of the following is the best response to the question?

Choices:
A. indigestion
B. living longer
C. eating
D. acid reflux
E. stomach ache

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"He didn't like the walk up, but living on the top floor meant there was nobody above him in the what?",top floor,train-00000-of-00001,A,"Question:
He didn't like the walk up, but living on the top floor meant there was nobody above him in the what?

Which of the following is the best response to the question?

Choices:
A. apartment building
B. tall building
C. go down
D. garden
E. office building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"The religious community was having a bake sale, it took place in the basement of the what?",basement,train-00000-of-00001,E,"Question:
The religious community was having a bake sale, it took place in the basement of the what?

Which of the following is the best response to the question?

Choices:
A. closet
B. parking lot
C. office building
D. own house
E. church

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"Rocks can be found on many planets and moons, but we know of the widest variety of them on the what?",rocks,train-00000-of-00001,C,"Question:
Rocks can be found on many planets and moons, but we know of the widest variety of them on the what?

Which of the following is the best response to the question?

Choices:
A. ground
B. waterfall
C. surface of earth
D. museum
E. atmosphere

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"If something attempted to destroy something but didn't fully succeed, then one might be able to do what to it afterwards?",destroy,train-00000-of-00001,B,"Question:
If something attempted to destroy something but didn't fully succeed, then one might be able to do what to it afterwards?

Which of the following is the best response to the question?

Choices:
A. demolish object
B. repair
C. fix
D. create
E. construct

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"Answering questions followed by saying, ""sir"" or ""ma'am"" is an indication that you are what?",answering questions,train-00000-of-00001,D,"Question:
Answering questions followed by saying, ""sir"" or ""ma'am"" is an indication that you are what?

Which of the following is the best response to the question?

Choices:
A. irritation
B. correct
C. responding
D. polite
E. sadness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"He truly was a marathon runner, even after running twenty six miles he wasn't even beginning to what?",running twenty six miles,train-00000-of-00001,B,"Question:
He truly was a marathon runner, even after running twenty six miles he wasn't even beginning to what?

Which of the following is the best response to the question?

Choices:
A. vomit
B. getting tired
C. excruciating pain
D. tiredness
E. death

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"Not many have a revolving door in their private homes, they're usually found in a what?",revolving door,train-00000-of-00001,A,"Question:
Not many have a revolving door in their private homes, they're usually found in a what?

Which of the following is the best response to the question?

Choices:
A. public place
B. zoo
C. new york
D. hotel lobby
E. bank

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"Talking to others can make you feel better, but when the people you talk to are mean, then can cause what?",talking,train-00000-of-00001,C,"Question:
Talking to others can make you feel better, but when the people you talk to are mean, then can cause what?

Which of the following is the best response to the question?

Choices:
A. dry mouth
B. changing behavior
C. hurt feelings
D. communicating with others
E. anger

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
He didn't know that good things can be posion in large doses.  He thought that he was just eating an essential what?,poison,train-00000-of-00001,C,"Question:
He didn't know that good things can be posion in large doses.  He thought that he was just eating an essential what?

Which of the following is the best response to the question?

Choices:
A. antidote
B. consumable
C. nutrient
D. vitamin
E. medicine

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
james wanted to fight inflation because he didn't like losing value when he did what?,fight inflation,train-00000-of-00001,B,"Question:
james wanted to fight inflation because he didn't like losing value when he did what?

Which of the following is the best response to the question?

Choices:
A. more money
B. save money
C. can
D. costs money
E. pay less

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Dave felt that punishing John for making a mistake would be wrong.  It would not be just. It would only be what?,punishing,train-00000-of-00001,D,"Question:
Dave felt that punishing John for making a mistake would be wrong.  It would not be just. It would only be what?

Which of the following is the best response to the question?

Choices:
A. hatred
B. feel sorry for
C. feel guilty
D. retribution
E. funny

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"She already had many friends, but she never stopped socialising to what?",socialising,train-00000-of-00001,C,"Question:
She already had many friends, but she never stopped socialising to what?

Which of the following is the best response to the question?

Choices:
A. having fun
B. become popular
C. become more popular
D. anxiety
E. she cannot do that when all are for her .

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"They moved out of the city to have a master bedroom, what kind of home did they seek?",master bedroom,train-00000-of-00001,B,"Question:
They moved out of the city to have a master bedroom, what kind of home did they seek?

Which of the following is the best response to the question?

Choices:
A. large house
B. suburban home
C. big house
D. old house
E. keeping personal objects

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"Old cowboy and indians movies always have a horse, they also usually take place in what region?",horse,train-00000-of-00001,D,"Question:
Old cowboy and indians movies always have a horse, they also usually take place in what region?

Which of the following is the best response to the question?

Choices:
A. canada
B. triple crown
C. england
D. american southwest
E. kentucky derby

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The fresh herbs, flowers, and vegetables will shrivel up if people don't do this?",people,validation-00000-of-00001,A,"Question:
The fresh herbs, flowers, and vegetables will shrivel up if people don't do this?

Which of the following is the best response to the question?

Choices:
A. water plants
B. believe in god
C. drive to the nearest pool
D. speaking english
E. raise children

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"If I have a reception with many people attending, where should I be sure to hold it?",reception,train-00000-of-00001,B,"Question:
If I have a reception with many people attending, where should I be sure to hold it?

Which of the following is the best response to the question?

Choices:
A. grand casino
B. large room
C. restaurant
D. country club
E. lobby

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
The teachers needed to get their classrooms ready for the school year.  What is one thing they might do?,teachers,train-00000-of-00001,C,"Question:
The teachers needed to get their classrooms ready for the school year.  What is one thing they might do?

Which of the following is the best response to the question?

Choices:
A. talk too much
B. teach children
C. open boxes
D. answering questions
E. giving homework

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"Sarah knew she was committing perjury, so there was a lot of what feeling between her and the prosecutor?",committing perjury,train-00000-of-00001,B,"Question:
Sarah knew she was committing perjury, so there was a lot of what feeling between her and the prosecutor?

Which of the following is the best response to the question?

Choices:
A. arrest
B. tension
C. shame
D. attraction
E. embarrassment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"Johnny had a number of tools, including a hammer, which is needed because of his work.  Where might he have worked?",hammer,train-00000-of-00001,E,"Question:
Johnny had a number of tools, including a hammer, which is needed because of his work.  Where might he have worked?

Which of the following is the best response to the question?

Choices:
A. garage
B. tool box
C. hardware store
D. house
E. repair shop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Jim's grass didn't get any sunlight because he parked his car over it.  The grass began to do what?,grass,train-00000-of-00001,B,"Question:
Jim's grass didn't get any sunlight because he parked his car over it.  The grass began to do what?

Which of the following is the best response to the question?

Choices:
A. continue to grow
B. turn brown
C. changes color with seasons
D. dry
E. burn

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"A child is in a meadow in spring, what might the child do?",child,train-00000-of-00001,E,"Question:
A child is in a meadow in spring, what might the child do?

Which of the following is the best response to the question?

Choices:
A. clean room
B. set table
C. play with toys
D. form opinions
E. gather flowers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Dan thought that he was bad.  But hid Queen disagreed.  She knighted him.  She thought he was what?,bad,train-00000-of-00001,E,"Question:
Dan thought that he was bad.  But hid Queen disagreed.  She knighted him.  She thought he was what?

Which of the following is the best response to the question?

Choices:
A. exceptional
B. upright
C. choice
D. sufficient
E. worthy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where are you if the person next to you has a briefcase and you're accused of a misdeed?,briefcase,train-00000-of-00001,E,"Question:
Where are you if the person next to you has a briefcase and you're accused of a misdeed?

Which of the following is the best response to the question?

Choices:
A. hand
B. airport
C. desk
D. to help
E. courtroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"The man had to leave work in a hurry, in the middle of work, where was his paper work left?",paperwork,train-00000-of-00001,A,"Question:
The man had to leave work in a hurry, in the middle of work, where was his paper work left?

Which of the following is the best response to the question?

Choices:
A. desk
B. chair
C. meeting
D. office
E. work

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"This will take a long time without an electric motor, where can I find one?",electric motor,train-00000-of-00001,A,"Question:
This will take a long time without an electric motor, where can I find one?

Which of the following is the best response to the question?

Choices:
A. electric mixer
B. electric hammer
C. electrabus
D. electric typewriter
E. drum sander

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"The person took a ibuprofen after experiencing a headache, what happened to him next?",person,train-00000-of-00001,A,"Question:
The person took a ibuprofen after experiencing a headache, what happened to him next?

Which of the following is the best response to the question?

Choices:
A. feel relieved
B. cross street
C. learn to swim
D. walk
E. act responsibly

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
Joe learned some relaxing exercises from his therapist.  They all centered around what sort of action?,relaxing,train-00000-of-00001,B,"Question:
Joe learned some relaxing exercises from his therapist.  They all centered around what sort of action?

Which of the following is the best response to the question?

Choices:
A. feeling good
B. deep breathing
C. sleeping
D. taking a bath
E. fall asleep

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"Violence is present in many human endeavors, including sports.  But Danny doesn't play sports.  He does violence only during what?",violence,train-00000-of-00001,B,"Question:
Violence is present in many human endeavors, including sports.  But Danny doesn't play sports.  He does violence only during what?

Which of the following is the best response to the question?

Choices:
A. warfare
B. war
C. drive to drinkin
D. hockey game
E. being done against

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
Another result of changing society could be what?,changing society,train-00000-of-00001,C,"Question:
Another result of changing society could be what?

Which of the following is the best response to the question?

Choices:
A. confusion and chaos
B. depression
C. better standard of living
D. sometimes bad
E. anger and depression will not change the society .

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"When making a chicken salad, how is the chicken made to be in smaller pieces?",chicken,train-00000-of-00001,B,"Question:
When making a chicken salad, how is the chicken made to be in smaller pieces?

Which of the following is the best response to the question?

Choices:
A. baked in oven
B. chopped
C. bought at store
D. cooked by grilling
E. eaten

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
Bill is a customer of an electric company.  He calls his electric company. Why might he be calling?,customer,train-00000-of-00001,D,"Question:
Bill is a customer of an electric company.  He calls his electric company. Why might he be calling?

Which of the following is the best response to the question?

Choices:
A. order dinner
B. demand better service
C. questions
D. pay bills
E. wait in line

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"He had been stuck in meetings all day, he had to get up and move as he could no longer what?",move,train-00000-of-00001,D,"Question:
He had been stuck in meetings all day, he had to get up and move as he could no longer what?

Which of the following is the best response to the question?

Choices:
A. be still
B. stay put
C. stay still
D. sit still
E. standing still

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
John was 15 and this was the first year he would get to do what?,student,train-00000-of-00001,C,"Question:
John was 15 and this was the first year he would get to do what?

Which of the following is the best response to the question?

Choices:
A. teach class
B. try to get
C. go to high school
D. go to class
E. study book

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Women used to be expected to wear a dress but it's now acceptable for them to wear what?,dress,validation-00000-of-00001,B,"Question:
Women used to be expected to wear a dress but it's now acceptable for them to wear what?

Which of the following is the best response to the question?

Choices:
A. man suit
B. pants
C. naked
D. action
E. long skirt

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"The man was bad at getting a job because of his poor references, what did he need to work on being?",bad,train-00000-of-00001,D,"Question:
The man was bad at getting a job because of his poor references, what did he need to work on being?

Which of the following is the best response to the question?

Choices:
A. famous
B. sufficient
C. benevolent
D. reputable
E. first class

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The jury deliberated for hours, the choice of passing sentence required them to make a what?",passing sentence,train-00000-of-00001,E,"Question:
The jury deliberated for hours, the choice of passing sentence required them to make a what?

Which of the following is the best response to the question?

Choices:
A. court house
B. go to jail
C. death
D. appeals
E. judgement

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"The day of hard work had led to fatigue, during lunch break he fell to what?",fatigue,train-00000-of-00001,E,"Question:
The day of hard work had led to fatigue, during lunch break he fell to what?

Which of the following is the best response to the question?

Choices:
A. go to bed
B. get physical activity
C. have rest
D. earth
E. sleep

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The men talked at length and found they were agreeing with a lot of things, how would they describe their feeling toward one another?",agreeing with,train-00000-of-00001,E,"Question:
The men talked at length and found they were agreeing with a lot of things, how would they describe their feeling toward one another?

Which of the following is the best response to the question?

Choices:
A. problem
B. peace
C. love
D. contract
E. like

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"Skiing can be very risky, it can be the cause of a very serious what?",skiing,train-00000-of-00001,D,"Question:
Skiing can be very risky, it can be the cause of a very serious what?

Which of the following is the best response to the question?

Choices:
A. fall down
B. fall in
C. getting cold
D. accident
E. trip and fall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"The bald eagle was perched on a redwood, what region was it in?",bald eagle,train-00000-of-00001,D,"Question:
The bald eagle was perched on a redwood, what region was it in?

Which of the following is the best response to the question?

Choices:
A. pacific northwest
B. michigan
C. washington state
D. northern california
E. in washington

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The person answered the door when the mailman knocked, what likely happened next?",person,train-00000-of-00001,E,"Question:
The person answered the door when the mailman knocked, what likely happened next?

Which of the following is the best response to the question?

Choices:
A. arm himself
B. cross street
C. feel sleepy
D. dog barked
E. receive mail

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"The person was glad that his father had helped him.   If his father wasn't there, he'd have been what?",glad,train-00000-of-00001,E,"Question:
The person was glad that his father had helped him.   If his father wasn't there, he'd have been what?

Which of the following is the best response to the question?

Choices:
A. regretful
B. hatred
C. downcast
D. unhappy
E. disappointed

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
James loved the flags that had a snake and a motto on it.    It was a symbol of a place located where?,snake,train-00000-of-00001,D,"Question:
James loved the flags that had a snake and a motto on it.    It was a symbol of a place located where?

Which of the following is the best response to the question?

Choices:
A. pet shops
B. ditch
C. feild
D. north america
E. forest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"The mail fell out of my box and scattered in the win, where did it land?",mail,train-00000-of-00001,D,"Question:
The mail fell out of my box and scattered in the win, where did it land?

Which of the following is the best response to the question?

Choices:
A. mailcatcher
B. post office
C. usps
D. neighbor's house
E. table

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"The mascot gathered the children around the campfire, he then began to what them?",children,train-00000-of-00001,B,"Question:
The mascot gathered the children around the campfire, he then began to what them?

Which of the following is the best response to the question?

Choices:
A. go to movies
B. read to
C. imagine
D. eat smores
E. play games

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
If you are getting in shape you cannot do this when trying to achieve your goals?,getting in shape,train-00000-of-00001,D,"Question:
If you are getting in shape you cannot do this when trying to achieve your goals?

Which of the following is the best response to the question?

Choices:
A. jogging
B. drink water
C. period of recovery
D. give up
E. dieting

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
