question,question_concept,_split,answer,final_prompt,len_tk_glm4_9b_chat
"If I am communication, what is my chief motive for doing so?",communicating,train-00000-of-00001,A,"Question:
If I am communication, what is my chief motive for doing so?

Which of the following is the best response to the question?

Choices:
A. distributed information
B. conductor
C. people to think
D. sharing of knowledge
E. confusion

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"The butt was bare, and Sam couldn't stop staring at it.  It was very what?",bare,validation-00000-of-00001,B,"Question:
The butt was bare, and Sam couldn't stop staring at it.  It was very what?

Which of the following is the best response to the question?

Choices:
A. full
B. ample
C. covered
D. bareword
E. ample

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"If I am creating art and have completed it to satisfaction, what is my feeling?",creating art,train-00000-of-00001,A,"Question:
If I am creating art and have completed it to satisfaction, what is my feeling?

Which of the following is the best response to the question?

Choices:
A. enlightenment
B. tired
C. frustration
D. relax
E. controversy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
At what structure can you see people you use a puck professionally?,puck,train-00000-of-00001,A,"Question:
At what structure can you see people you use a puck professionally?

Which of the following is the best response to the question?

Choices:
A. hockey rink
B. locker room
C. sporting goods store
D. used in hockey game
E. teachers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
If your resting and your eyes close what may you be doing?,resting,train-00000-of-00001,E,"Question:
If your resting and your eyes close what may you be doing?

Which of the following is the best response to the question?

Choices:
A. laziness
B. feel better
C. laying down
D. relaxation
E. falling asleep

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where does someone lay with their leg elevated when it's broken?,leg,train-00000-of-00001,C,"Question:
Where does someone lay with their leg elevated when it's broken?

Which of the following is the best response to the question?

Choices:
A. spinning wheel
B. on a ladder
C. hospital bed
D. legroom
E. grand piano

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
The belief that we don't choose what happens in life is called what?,choose,train-00000-of-00001,E,"Question:
The belief that we don't choose what happens in life is called what?

Which of the following is the best response to the question?

Choices:
A. force
B. undecided
C. serendipity
D. reject
E. predetermination

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"Where would you put silverware once they've dried, but you're not ready to use them.",silverware,train-00000-of-00001,C,"Question:
Where would you put silverware once they've dried, but you're not ready to use them.

Which of the following is the best response to the question?

Choices:
A. table
B. restaurant
C. cupboard
D. kitchen
E. sink

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
A person who yawns and paces to help pass the time is likely feeling what?,person,train-00000-of-00001,E,"Question:
A person who yawns and paces to help pass the time is likely feeling what?

Which of the following is the best response to the question?

Choices:
A. ridiculous
B. excitement
C. meanness
D. terrorism
E. boredom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
A helper monkey does what around the home of a disabled person?,monkey,train-00000-of-00001,B,"Question:
A helper monkey does what around the home of a disabled person?

Which of the following is the best response to the question?

Choices:
A. treetops
B. works
C. disturb
D. nigeria
E. south american country

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
He was beginning to regret taking the fight when he saw how what his opponent was?,regret,validation-00000-of-00001,D,"Question:
He was beginning to regret taking the fight when he saw how what his opponent was?

Which of the following is the best response to the question?

Choices:
A. fun
B. joy
C. satisfaction
D. confident
E. pride

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"If a sailor sets off on a voyage, where might they stow a suitcase?",suitcase,train-00000-of-00001,A,"Question:
If a sailor sets off on a voyage, where might they stow a suitcase?

Which of the following is the best response to the question?

Choices:
A. cargo hold
B. airplane
C. baggage compartment
D. movie
E. boat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Sally thought that competing wasn't worth the risk. If she pushed more what might happen?,competing,validation-00000-of-00001,E,"Question:
Sally thought that competing wasn't worth the risk. If she pushed more what might happen?

Which of the following is the best response to the question?

Choices:
A. pressure
B. trying harder
C. put harder
D. enemies
E. death

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
Billy wanted to impress his family.  What might he do to impress people?,people,train-00000-of-00001,A,"Question:
Billy wanted to impress his family.  What might he do to impress people?

Which of the following is the best response to the question?

Choices:
A. make art
B. believe in god
C. leave
D. come home
E. go out

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
James wanted to stop competing.  What might he have been feeling?,competing,train-00000-of-00001,A,"Question:
James wanted to stop competing.  What might he have been feeling?

Which of the following is the best response to the question?

Choices:
A. pressure
B. death
C. trying harder
D. quitting
E. winning or losing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
If you need to go on stage but the stage is elevated you must do what?,go on stage,train-00000-of-00001,B,"Question:
If you need to go on stage but the stage is elevated you must do what?

Which of the following is the best response to the question?

Choices:
A. have talent
B. climb stairs
C. in play
D. crawl
E. teach

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
The old style pop ups literally let you see the story when you did what?,see story,validation-00000-of-00001,C,"Question:
The old style pop ups literally let you see the story when you did what?

Which of the following is the best response to the question?

Choices:
A. giggle
B. visualize
C. open book
D. reading
E. go to movies

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
A poet has to do what when telling stories about exotic locations?,poet,train-00000-of-00001,D,"Question:
A poet has to do what when telling stories about exotic locations?

Which of the following is the best response to the question?

Choices:
A. write verse
B. write poems
C. manipulate language
D. create images using words
E. exotic words

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Frankie found a bone in her good.  It probably belonged to what?,bone,train-00000-of-00001,C,"Question:
Frankie found a bone in her good.  It probably belonged to what?

Which of the following is the best response to the question?

Choices:
A. father
B. arm
C. cow
D. museum
E. human body

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"When people look to store their plastic cutlery, what do they use?",plastic,train-00000-of-00001,A,"Question:
When people look to store their plastic cutlery, what do they use?

Which of the following is the best response to the question?

Choices:
A. cupboard
B. everything
C. own home
D. clothes closet
E. store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What is a person chatting with friends likely hoping to accomplish?,chatting with friends,train-00000-of-00001,E,"Question:
What is a person chatting with friends likely hoping to accomplish?

Which of the following is the best response to the question?

Choices:
A. gathering of information
B. communication
C. feel relaxed
D. kill boredom
E. social bonding

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What area of town is known for having brick row houses?,brick row house,train-00000-of-00001,B,"Question:
What area of town is known for having brick row houses?

Which of the following is the best response to the question?

Choices:
A. baltimore maryland
B. ghetto
C. city center
D. garden
E. england

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What happens to dogs when they want to play?,dogs,train-00000-of-00001,D,"Question:
What happens to dogs when they want to play?

Which of the following is the best response to the question?

Choices:
A. many colours
B. need food
C. sleep soundly
D. go outside
E. they speak english

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Why do some people quit work and go back to school for?,people,train-00000-of-00001,B,"Question:
Why do some people quit work and go back to school for?

Which of the following is the best response to the question?

Choices:
A. face problems
B. better themselves
C. become disillusioned
D. knowledge
E. talk to each other

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"The place felt wrong, but higher up had said this was the right what?",place,train-00000-of-00001,C,"Question:
The place felt wrong, but higher up had said this was the right what?

Which of the following is the best response to the question?

Choices:
A. job
B. map
C. location
D. line
E. almost anywhere

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What does a person do before going into tertiary education?,person,train-00000-of-00001,D,"Question:
What does a person do before going into tertiary education?

Which of the following is the best response to the question?

Choices:
A. catch cold
B. feel lonely
C. enter college
D. graduate from high school
E. finish junior high

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"If you want to find a small dog, perhaps wearing a white coat, where might it be?",small dog,train-00000-of-00001,A,"Question:
If you want to find a small dog, perhaps wearing a white coat, where might it be?

Which of the following is the best response to the question?

Choices:
A. laboratory
B. movies
C. photograph
D. dog pound
E. backyard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"If you cut when waiting at the ticket office, what should your punishment be?",ticket office,train-00000-of-00001,E,"Question:
If you cut when waiting at the ticket office, what should your punishment be?

Which of the following is the best response to the question?

Choices:
A. auditorium
B. humans
C. opera house
D. death
E. end of line

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"If you are prescribed an antibiotic by your doctor, where would you go to get it?",antibiotic,train-00000-of-00001,C,"Question:
If you are prescribed an antibiotic by your doctor, where would you go to get it?

Which of the following is the best response to the question?

Choices:
A. doctor
B. prescribed
C. pharmacy
D. medicine cabinet
E. capsule

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Why would a person drop out of school?,person,train-00000-of-00001,D,"Question:
Why would a person drop out of school?

Which of the following is the best response to the question?

Choices:
A. successful in life
B. done learning
C. own house
D. more leisure time
E. not feel pain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"The audience cheered when a goal was scored, what were they spectating?",audience,validation-00000-of-00001,B,"Question:
The audience cheered when a goal was scored, what were they spectating?

Which of the following is the best response to the question?

Choices:
A. school
B. sporting event
C. concert hall
D. show
E. television

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"A person wanted a seafood dinner, so what did he decide to do?",person,train-00000-of-00001,A,"Question:
A person wanted a seafood dinner, so what did he decide to do?

Which of the following is the best response to the question?

Choices:
A. fish lake
B. gain respect
C. plant flowers
D. wish really hard
E. cross street

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"A gentleman is carrying equipment for golf, what is he likely to have?",gentleman,validation-00000-of-00001,A,"Question:
A gentleman is carrying equipment for golf, what is he likely to have?

Which of the following is the best response to the question?

Choices:
A. club
B. assembly hall
C. meditation center
D. meeting
E. church

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Joe hated taking phone calls during lunch.  He found anything that interrupted his meal to be a what?,taking phone call,train-00000-of-00001,E,"Question:
Joe hated taking phone calls during lunch.  He found anything that interrupted his meal to be a what?

Which of the following is the best response to the question?

Choices:
A. decisions
B. delight
C. communication
D. regret
E. irritation

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
What does someone do when there are dishes astray in the kitchen?,person,train-00000-of-00001,E,"Question:
What does someone do when there are dishes astray in the kitchen?

Which of the following is the best response to the question?

Choices:
A. gain weight
B. wait patiently
C. stand erect
D. promise to do
E. washing dishes

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What does a person typically do when he is in a relationship?,person,train-00000-of-00001,C,"Question:
What does a person typically do when he is in a relationship?

Which of the following is the best response to the question?

Choices:
A. bank money
B. buy clothes
C. let himself go
D. thank god
E. do nothing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What does a police officer in their sixities?,police officer,train-00000-of-00001,A,"Question:
What does a police officer in their sixities?

Which of the following is the best response to the question?

Choices:
A. retire
B. direct traffic
C. case
D. fine person for speeding
E. order to stop running

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
When you want to see new items what do you have to do?,see new,train-00000-of-00001,B,"Question:
When you want to see new items what do you have to do?

Which of the following is the best response to the question?

Choices:
A. go to movies
B. open eyes
C. have eyes open
D. ask
E. look for

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
When you fight inflation you expect to see what at stores?,fight inflation,train-00000-of-00001,A,"Question:
When you fight inflation you expect to see what at stores?

Which of the following is the best response to the question?

Choices:
A. lower prices
B. raise interest rates
C. more demand
D. more money
E. have money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"She created music to share how she felt with another, what was her goal?",music,train-00000-of-00001,A,"Question:
She created music to share how she felt with another, what was her goal?

Which of the following is the best response to the question?

Choices:
A. express emotion
B. quiet mind
C. beautifull
D. boredom
E. irritate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The family was playing cards, what would be a reason for this?",playing cards,train-00000-of-00001,D,"Question:
The family was playing cards, what would be a reason for this?

Which of the following is the best response to the question?

Choices:
A. amusement
B. losing money
C. charmed
D. having fun
E. win money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"The goalie felt blood on his face after blocking a ball, where was he/",blood,train-00000-of-00001,D,"Question:
The goalie felt blood on his face after blocking a ball, where was he/

Which of the following is the best response to the question?

Choices:
A. animals
B. capillaries
C. war
D. soccer game
E. person

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
The woman let her son play with it in his room.  She did not do what?,let,train-00000-of-00001,A,"Question:
The woman let her son play with it in his room.  She did not do what?

Which of the following is the best response to the question?

Choices:
A. forbid
B. annoy
C. prohibit
D. stop
E. disallow

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What will the government do if they find out you fail to file your taxes?,government,train-00000-of-00001,E,"Question:
What will the government do if they find out you fail to file your taxes?

Which of the following is the best response to the question?

Choices:
A. get money
B. school children
C. serve public
D. forgive you
E. take money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
What treatment might an old time doctor have tried to accomplish with leeches?,doctor,train-00000-of-00001,E,"Question:
What treatment might an old time doctor have tried to accomplish with leeches?

Which of the following is the best response to the question?

Choices:
A. heart transplant
B. distance himself
C. perform surgery
D. study medicine
E. let blood

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
When black and white balls are kicked with feet what is being played?,balls,train-00000-of-00001,E,"Question:
When black and white balls are kicked with feet what is being played?

Which of the following is the best response to the question?

Choices:
A. sporting event
B. gym
C. toy store
D. baseball
E. soccer game

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What is learning about the world and it's injustices  likely to cause?,learning about world,train-00000-of-00001,A,"Question:
What is learning about the world and it's injustices  likely to cause?

Which of the following is the best response to the question?

Choices:
A. anger
B. loss of innocence
C. happiness
D. pleasure
E. enlightenment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
If a person is tired how can they be refreshed?,person,train-00000-of-00001,A,"Question:
If a person is tired how can they be refreshed?

Which of the following is the best response to the question?

Choices:
A. rest in bed
B. lie in bed
C. go for a run
D. water plants
E. catch cold

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What are you playing if you're fiddling on a violin?,fiddling,validation-00000-of-00001,A,"Question:
What are you playing if you're fiddling on a violin?

Which of the following is the best response to the question?

Choices:
A. bluegrass music
B. make music
C. drop
D. string instrument
E. troubles

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"I was at the swimming pool with other people focused on exercise, where was I?",swimming pool,train-00000-of-00001,B,"Question:
I was at the swimming pool with other people focused on exercise, where was I?

Which of the following is the best response to the question?

Choices:
A. resort hotel
B. ymca
C. california
D. school
E. kitchen

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"The back courtyard led to a walkout basement, where was it attached to?",back courtyard,train-00000-of-00001,B,"Question:
The back courtyard led to a walkout basement, where was it attached to?

Which of the following is the best response to the question?

Choices:
A. suburbs
B. large house
C. farm house
D. palace
E. country estate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"Doctors gave sedative to the patient complaining of pain, what did he say afterwards?",pain,train-00000-of-00001,D,"Question:
Doctors gave sedative to the patient complaining of pain, what did he say afterwards?

Which of the following is the best response to the question?

Choices:
A. enjoyment
B. good sometimes
C. immobilize
D. feels good
E. good feeling

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"How might we get so far up into the air around Earth, we cannot be seen?",air,train-00000-of-00001,B,"Question:
How might we get so far up into the air around Earth, we cannot be seen?

Which of the following is the best response to the question?

Choices:
A. balloon
B. space shuttle
C. supermarket
D. house
E. rocket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"They were surprised that he enjoy rap, but he explained that every genre has what?",rap,train-00000-of-00001,E,"Question:
They were surprised that he enjoy rap, but he explained that every genre has what?

Which of the following is the best response to the question?

Choices:
A. classical
B. country music
C. hip hop
D. rock
E. good music

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"If you're moving, the people here will forward your letters for you.",letters,train-00000-of-00001,B,"Question:
If you're moving, the people here will forward your letters for you.

Which of the following is the best response to the question?

Choices:
A. envelopes
B. post office
C. mailbox
D. mail box
E. front door

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
James's first priority was finding information.  He wanted to know for his own what?,finding information,train-00000-of-00001,D,"Question:
James's first priority was finding information.  He wanted to know for his own what?

Which of the following is the best response to the question?

Choices:
A. understanding of
B. exciting
C. thoughts
D. gratification
E. hatred

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where are you when you put your birth control pill to the test?,birth control pill,train-00000-of-00001,B,"Question:
Where are you when you put your birth control pill to the test?

Which of the following is the best response to the question?

Choices:
A. drug store
B. bedroom
C. chemist's shop
D. medicine cabinet
E. womans purse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The paper sign had notice of a civic meeting, where should it be posted?",paper sign,train-00000-of-00001,D,"Question:
The paper sign had notice of a civic meeting, where should it be posted?

Which of the following is the best response to the question?

Choices:
A. hallway
B. store window
C. pole
D. public place
E. shop window

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"If a clock is ticking, what is its likely status?",clock,train-00000-of-00001,D,"Question:
If a clock is ticking, what is its likely status?

Which of the following is the best response to the question?

Choices:
A. mechanical
B. fail to work
C. stop working
D. working correctly
E. time event

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Noble citizen of the Roman empire believed those born with lower status were what to them?,noble,validation-00000-of-00001,D,"Question:
Noble citizen of the Roman empire believed those born with lower status were what to them?

Which of the following is the best response to the question?

Choices:
A. loser
B. ignoble
C. peasant
D. inferior
E. plebeian

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"When the baby birds fell out of the nest, the mom bird did what?",birds,train-00000-of-00001,A,"Question:
When the baby birds fell out of the nest, the mom bird did what?

Which of the following is the best response to the question?

Choices:
A. grieve
B. molt
C. poop
D. puff
E. sky

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
At a shop what can you buy to put your spare unused things?,shop,validation-00000-of-00001,E,"Question:
At a shop what can you buy to put your spare unused things?

Which of the following is the best response to the question?

Choices:
A. basement
B. cardboard box
C. ocean floor
D. high school
E. container

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"The children were making each other laugh, they did this via what?",children,train-00000-of-00001,D,"Question:
The children were making each other laugh, they did this via what?

Which of the following is the best response to the question?

Choices:
A. play ball
B. reading a book
C. jump rope
D. tickle
E. see exhibits

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"If someone is fiddling at a hoedown, how do they likely feel?",fiddling,train-00000-of-00001,A,"Question:
If someone is fiddling at a hoedown, how do they likely feel?

Which of the following is the best response to the question?

Choices:
A. being happy
B. frustrated
C. troubles
D. discovery
E. unpredictable

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"If I wanted to get some oxygen, what will I get it from?",oxygen,train-00000-of-00001,B,"Question:
If I wanted to get some oxygen, what will I get it from?

Which of the following is the best response to the question?

Choices:
A. the sky
B. air
C. earth
D. space shuttle
E. water

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
In order to see a story on the big screen what must you do?,see story,train-00000-of-00001,A,"Question:
In order to see a story on the big screen what must you do?

Which of the following is the best response to the question?

Choices:
A. go to movies
B. visualize
C. reading
D. open book
E. sketching a picture

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"Sally had two dogs, so he put newspaper somewhere.  Where did he put it?",newspaper,train-00000-of-00001,B,"Question:
Sally had two dogs, so he put newspaper somewhere.  Where did he put it?

Which of the following is the best response to the question?

Choices:
A. front door
B. floor
C. subway
D. bathtub
E. trash

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"The toilet was filthy with overuse and drunken use, where was it located?",toilet,train-00000-of-00001,D,"Question:
The toilet was filthy with overuse and drunken use, where was it located?

Which of the following is the best response to the question?

Choices:
A. train
B. restaurant
C. motel room
D. stadium
E. space shuttle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What does someone who does not feel alacrity or anything feel?,alacrity,train-00000-of-00001,A,"Question:
What does someone who does not feel alacrity or anything feel?

Which of the following is the best response to the question?

Choices:
A. apathy
B. detachment
C. indifference
D. hesitance
E. reluctance

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
How can music help someone who is down?,music,train-00000-of-00001,D,"Question:
How can music help someone who is down?

Which of the following is the best response to the question?

Choices:
A. beautifull
B. express feelings
C. they cannot heal and feel beautiful
D. provide comfort
E. sound good

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"He grew tired of standing in the kitchen his whole shift, where was he?",kitchen,train-00000-of-00001,C,"Question:
He grew tired of standing in the kitchen his whole shift, where was he?

Which of the following is the best response to the question?

Choices:
A. neighbor's house
B. friend's house
C. restaurant
D. jail
E. fraternity house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
I did not need a servant.  I was not a what?,servant,validation-00000-of-00001,B,"Question:
I did not need a servant.  I was not a what?

Which of the following is the best response to the question?

Choices:
A. freedom
B. rich person
C. hired help
D. in charge
E. busy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Humans who want a sweet snack can do this instead of having candy?,humans,train-00000-of-00001,B,"Question:
Humans who want a sweet snack can do this instead of having candy?

Which of the following is the best response to the question?

Choices:
A. compete with each other
B. eat fruit
C. lay eggs
D. eat burgers
E. draw pictures

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"If a reception is held near a golf course, what is the likely venue?",reception,train-00000-of-00001,E,"Question:
If a reception is held near a golf course, what is the likely venue?

Which of the following is the best response to the question?

Choices:
A. large room
B. golf cart
C. lobby
D. church basement
E. country club

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"The terrace had Kanji written on it, indicating that it was made where?",terrace,validation-00000-of-00001,A,"Question:
The terrace had Kanji written on it, indicating that it was made where?

Which of the following is the best response to the question?

Choices:
A. japan
B. rice paddy
C. garden
D. michigan
E. italy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
While visiting a museum what feeling may you have looking at paintings of pastoral scenes?,visiting museum,train-00000-of-00001,E,"Question:
While visiting a museum what feeling may you have looking at paintings of pastoral scenes?

Which of the following is the best response to the question?

Choices:
A. seeing artifacts
B. joy
C. wonder
D. shock
E. peace

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"The salesperson had to be especially good with children, he did work where after all?",salesperson,train-00000-of-00001,C,"Question:
The salesperson had to be especially good with children, he did work where after all?

Which of the following is the best response to the question?

Choices:
A. closing deal
B. bookstore
C. toy store
D. shop
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"Seeing old things made him what to explore more, it made him very what?",seeing old things,train-00000-of-00001,E,"Question:
Seeing old things made him what to explore more, it made him very what?

Which of the following is the best response to the question?

Choices:
A. painful memories
B. new memories
C. reverence
D. remind
E. curiosity

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What type of moistener might someone who uses sanitizer frequently use?,moistener,train-00000-of-00001,D,"Question:
What type of moistener might someone who uses sanitizer frequently use?

Which of the following is the best response to the question?

Choices:
A. bathroom
B. closet
C. drug store
D. hand lotion
E. zamboni

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"Creating art fulfilled me, what else did it give me therefor?",creating art,train-00000-of-00001,D,"Question:
Creating art fulfilled me, what else did it give me therefor?

Which of the following is the best response to the question?

Choices:
A. strong emotion
B. work of art
C. communication
D. feeling of accomplishment
E. scholarship

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"If I want to write a proper sentence, what must I make sure it is not?",proper,train-00000-of-00001,B,"Question:
If I want to write a proper sentence, what must I make sure it is not?

Which of the following is the best response to the question?

Choices:
A. incorrect
B. incomplete
C. impolite
D. inappropriate
E. prison

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"If a small flying animal picks up a string, where are they taking it?",string,validation-00000-of-00001,A,"Question:
If a small flying animal picks up a string, where are they taking it?

Which of the following is the best response to the question?

Choices:
A. bird's nest
B. park
C. guitar
D. kite
E. quark

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"The alley cats were all beginning to gather together, but one loud crash sent them all what?",gather,train-00000-of-00001,C,"Question:
The alley cats were all beginning to gather together, but one loud crash sent them all what?

Which of the following is the best response to the question?

Choices:
A. disburse
B. charming
C. scattering
D. spread
E. dispense

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
Dan is always giving assistance.  He what does he want to create for people?,giving assistance,train-00000-of-00001,A,"Question:
Dan is always giving assistance.  He what does he want to create for people?

Which of the following is the best response to the question?

Choices:
A. better circumstances
B. happiness
C. people helped
D. learning new skills
E. death

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
What's something bad that is done to people that does not help them?,help,train-00000-of-00001,E,"Question:
What's something bad that is done to people that does not help them?

Which of the following is the best response to the question?

Choices:
A. ignore
B. hinder
C. giving trouble
D. do nothing
E. hurting

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
