question,question_concept,_split,answer,final_prompt,len_tk_mistral_7b_base
"She really wanted her husband to pick a place to have dinner, but he was so used to her choosing he just replied with what?",place,train-00000-of-00001,A,"Question:
She really wanted her husband to pick a place to have dinner, but he was so used to her choosing he just replied with what?

Which of the following is the best response to the question?

Choices:
A. wherever
B. medium
C. void
D. nowhere
E. being

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"Tim flies airplanes, but not passenger planes.  He doesn't have to worry about passengers. All he has to do is what?",airplanes,train-00000-of-00001,E,"Question:
Tim flies airplanes, but not passenger planes.  He doesn't have to worry about passengers. All he has to do is what?

Which of the following is the best response to the question?

Choices:
A. arrive late
B. teach
C. catch on fire
D. taxi
E. carry freight

Reply with exactly one uppercase letter out of A, B, C, D or E.
",101
"If I want a horse from New England, what state should I look in?",horse,train-00000-of-00001,D,"Question:
If I want a horse from New England, what state should I look in?

Which of the following is the best response to the question?

Choices:
A. in kentucky
B. canada
C. engraving
D. new hampshire
E. new england

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"The dumb kid tried to use his student ID at the door, this obviously did not get him into the what?",student,train-00000-of-00001,A,"Question:
The dumb kid tried to use his student ID at the door, this obviously did not get him into the what?

Which of the following is the best response to the question?

Choices:
A. bar
B. gentleman's lounge
C. kindergarten class
D. university
E. school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
"Billy tried to defeat John, but John was just too good.  It seemed that billy could never achieve what?",defeat,train-00000-of-00001,E,"Question:
Billy tried to defeat John, but John was just too good.  It seemed that billy could never achieve what?

Which of the following is the best response to the question?

Choices:
A. winning
B. conquer
C. won
D. control
E. victory

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
What should you do when you need to raise your body temperature when it is chilly at night outdoors?,starting fire,train-00000-of-00001,A,"Question:
What should you do when you need to raise your body temperature when it is chilly at night outdoors?

Which of the following is the best response to the question?

Choices:
A. warmth
B. go to jail
C. sleepover
D. burns
E. damage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"If paramedics are trying to rescue someone who tries to hit them, what will they have to do with their hands?",rescue,train-00000-of-00001,A,"Question:
If paramedics are trying to rescue someone who tries to hit them, what will they have to do with their hands?

Which of the following is the best response to the question?

Choices:
A. bind
B. abandon
C. hurt
D. kidnap
E. endanger

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"The child wasn't allowed in the kitchen but still wanted to help, what could it do to help in the dining room?",child,validation-00000-of-00001,A,"Question:
The child wasn't allowed in the kitchen but still wanted to help, what could it do to help in the dining room?

Which of the following is the best response to the question?

Choices:
A. set table
B. form opinions
C. make honey
D. become adult
E. gather flowers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
"The scientist began to analyse the results of all the tests, he was hoping to do what ideas about the theory?",analyse,train-00000-of-00001,A,"Question:
The scientist began to analyse the results of all the tests, he was hoping to do what ideas about the theory?

Which of the following is the best response to the question?

Choices:
A. learn new
B. think about
C. ball stopped
D. come to conclusion
E. look at

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
If you need more than just a definition perhaps you should put down the dictionary and pick up a what?,dictionary,train-00000-of-00001,E,"Question:
If you need more than just a definition perhaps you should put down the dictionary and pick up a what?

Which of the following is the best response to the question?

Choices:
A. novel
B. see work
C. thesaurus
D. determine word's definition
E. encyclopedia

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
"Billy wants to learn how to socialize, but he doesn't know where to start.  He calls his best friend and asks for what?",socialize,train-00000-of-00001,D,"Question:
Billy wants to learn how to socialize, but he doesn't know where to start.  He calls his best friend and asks for what?

Which of the following is the best response to the question?

Choices:
A. have friends
B. meet new people
C. entertainment
D. input
E. friendship

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
What would a paper be if the typing on the paper was made using foreign characters?,typing,train-00000-of-00001,B,"Question:
What would a paper be if the typing on the paper was made using foreign characters?

Which of the following is the best response to the question?

Choices:
A. communication
B. indeterminate
C. carpal tunnel syndrome
D. communicating
E. japanese

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
Jennifer wanted to connect with other people.  But she was abrasive and clingy. Her attempts to get closer just did what to her connections?,connect,train-00000-of-00001,C,"Question:
Jennifer wanted to connect with other people.  But she was abrasive and clingy. Her attempts to get closer just did what to her connections?

Which of the following is the best response to the question?

Choices:
A. had to say
B. separate
C. sever
D. pull apart
E. sever

Reply with exactly one uppercase letter out of A, B, C, D or E.
",103
"Billy was was going on a long vacation, but before he did he got a bite to eat.  Where might he have eaten?",food,train-00000-of-00001,B,"Question:
Billy was was going on a long vacation, but before he did he got a bite to eat.  Where might he have eaten?

Which of the following is the best response to the question?

Choices:
A. space shuttle
B. friend's house
C. disneyland
D. supermarket
E. gas station

Reply with exactly one uppercase letter out of A, B, C, D or E.
",103
"The fleas made her pet scratch a bare spot below it's whiskers, she felt bad for her pet what?",fleas,train-00000-of-00001,A,"Question:
The fleas made her pet scratch a bare spot below it's whiskers, she felt bad for her pet what?

Which of the following is the best response to the question?

Choices:
A. cat
B. rug
C. dog
D. carpet
E. bird

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"The interior designer didn't like the office just yet, so she tried putting a colorful rug under the computer what?",rug,train-00000-of-00001,C,"Question:
The interior designer didn't like the office just yet, so she tried putting a colorful rug under the computer what?

Which of the following is the best response to the question?

Choices:
A. table
B. sofa
C. desk
D. bedroom
E. living room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
To locate a choker not located in a jewelry box or boutique where would you go?,choker,train-00000-of-00001,A,"Question:
To locate a choker not located in a jewelry box or boutique where would you go?

Which of the following is the best response to the question?

Choices:
A. jewelry store
B. neck
C. jewlery box
D. jewelry box
E. boutique

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"He wasn't able to enjoy the party because he was too worried about his things and cleaning up, where was the party?",party,train-00000-of-00001,A,"Question:
He wasn't able to enjoy the party because he was too worried about his things and cleaning up, where was the party?

Which of the following is the best response to the question?

Choices:
A. home
B. fraternity house
C. boat
D. friend's house
E. blowing off steam

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
"Even though many in his neighborhood dropped out, he still had the ambition to what?",ambition,train-00000-of-00001,E,"Question:
Even though many in his neighborhood dropped out, he still had the ambition to what?

Which of the following is the best response to the question?

Choices:
A. board a train
B. in charge of project
C. begin work
D. run marathon
E. go to school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"He had no issue committing perjury, he had a what that he would get away with it?",committing perjury,validation-00000-of-00001,A,"Question:
He had no issue committing perjury, he had a what that he would get away with it?

Which of the following is the best response to the question?

Choices:
A. confidence
B. go to jail
C. telling lies
D. lying
E. manual

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
John spent an hour in the bath just relaxing.  He enjoyed the sensations of it. He liked doing what?,relaxing,train-00000-of-00001,E,"Question:
John spent an hour in the bath just relaxing.  He enjoyed the sensations of it. He liked doing what?

Which of the following is the best response to the question?

Choices:
A. invigorating
B. being clean
C. fall asleep
D. deep breathing
E. feeling good

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
"The baby heard his mom talk for months, what did he do as a result?",baby,train-00000-of-00001,E,"Question:
The baby heard his mom talk for months, what did he do as a result?

Which of the following is the best response to the question?

Choices:
A. learn to speak
B. talk nonsense
C. talk rubbish
D. boy or girl
E. begin to talk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"Joe was gentle when he was setting the cup on the table, because it didn't want to make any what?",setting cup on table,train-00000-of-00001,D,"Question:
Joe was gentle when he was setting the cup on the table, because it didn't want to make any what?

Which of the following is the best response to the question?

Choices:
A. distractions
B. water mark
C. put down
D. noise
E. picks up

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
"Sam was very orthodox.  This was in opposition to his roommate, who was very what?",orthodox,train-00000-of-00001,A,"Question:
Sam was very orthodox.  This was in opposition to his roommate, who was very what?

Which of the following is the best response to the question?

Choices:
A. liberal
B. heretical
C. recalcitrant
D. conservadox
E. catholic.

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
"Even when not in flight a bald eagle likes to have a lay of the land, because of this you'll see them perched up where?",bald eagle,train-00000-of-00001,D,"Question:
Even when not in flight a bald eagle likes to have a lay of the land, because of this you'll see them perched up where?

Which of the following is the best response to the question?

Choices:
A. colorado
B. natural habitat
C. everglades
D. high places
E. tree

Reply with exactly one uppercase letter out of A, B, C, D or E.
",102
Billy hated watchign the turtle move.  He couldn't stand the silly parts.  He was annoyed by all of the what?,watching film,train-00000-of-00001,D,"Question:
Billy hated watchign the turtle move.  He couldn't stand the silly parts.  He was annoyed by all of the what?

Which of the following is the best response to the question?

Choices:
A. ridiculous
B. enjoyment
C. relaxation
D. stupidity
E. like

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
From where would you normally take a cup when you're about to get a drink?,cup,validation-00000-of-00001,E,"Question:
From where would you normally take a cup when you're about to get a drink?

Which of the following is the best response to the question?

Choices:
A. dishwasher
B. water fountain
C. sand box
D. toilet
E. kitchen cabinet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"Skiing can be very risky, it can be the cause of a very serious what?",skiing,train-00000-of-00001,D,"Question:
Skiing can be very risky, it can be the cause of a very serious what?

Which of the following is the best response to the question?

Choices:
A. fall down
B. fall in
C. getting cold
D. accident
E. trip and fall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"The teacher explained that even though everybody is general each of the students was an individual, she wanted each student to feel what?",general,train-00000-of-00001,C,"Question:
The teacher explained that even though everybody is general each of the students was an individual, she wanted each student to feel what?

Which of the following is the best response to the question?

Choices:
A. specific
B. particular
C. special
D. advance forces to city
E. particular

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"The peanuts were being sold at stalls by the ferris wheel, so where were they being sold?",peanuts,train-00000-of-00001,C,"Question:
The peanuts were being sold at stalls by the ferris wheel, so where were they being sold?

Which of the following is the best response to the question?

Choices:
A. barn
B. ballpark
C. carnival
D. jar
E. plane

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
Billy tried to find the hole but he could not.  He scoured the place many times searching.  What might he have scoured?,hole,train-00000-of-00001,D,"Question:
Billy tried to find the hole but he could not.  He scoured the place many times searching.  What might he have scoured?

Which of the following is the best response to the question?

Choices:
A. notebook paper
B. swiss cheese
C. doughnut
D. golf course
E. bagel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",102
"If the vegetable plants needed watering, you might want to get the hose out of the what?",hose,train-00000-of-00001,C,"Question:
If the vegetable plants needed watering, you might want to get the hose out of the what?

Which of the following is the best response to the question?

Choices:
A. balcony
B. greenhouse
C. garden shed
D. hardware store
E. garage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"John and Grace  live where there are many people, but it's hard for them to move around because of all the what?",people,train-00000-of-00001,E,"Question:
John and Grace  live where there are many people, but it's hard for them to move around because of all the what?

Which of the following is the best response to the question?

Choices:
A. race track
B. populated areas
C. opera
D. commotion
E. roadblock

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
What does a parent tell their child to do after they've played with a lot of toys?,child,train-00000-of-00001,E,"Question:
What does a parent tell their child to do after they've played with a lot of toys?

Which of the following is the best response to the question?

Choices:
A. go to bed
B. become adult
C. read book
D. grow up
E. clean room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
Where do people who use a puck for living go at the end of their work day?,puck,train-00000-of-00001,A,"Question:
Where do people who use a puck for living go at the end of their work day?

Which of the following is the best response to the question?

Choices:
A. locker room
B. desert
C. ice hockey game
D. sporting goods store
E. hockey rink

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
Sam was a short distance runner. He couldn't do long distances.  What might happen if he tried long distances?,runner,train-00000-of-00001,C,"Question:
Sam was a short distance runner. He couldn't do long distances.  What might happen if he tried long distances?

Which of the following is the best response to the question?

Choices:
A. gain ground
B. trip over
C. get tired
D. enter marathon
E. go to sleeping

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
"If person goes to a bar, spends a few hours hitting the bottle, then takes himself home, what might he get?",hitting bottle,train-00000-of-00001,B,"Question:
If person goes to a bar, spends a few hours hitting the bottle, then takes himself home, what might he get?

Which of the following is the best response to the question?

Choices:
A. full bladder
B. ticket
C. alcoholism
D. nausea
E. breaking

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
"If you're releasing energy with another person and you're both naked, what are you likely to be having?",releasing energy,train-00000-of-00001,A,"Question:
If you're releasing energy with another person and you're both naked, what are you likely to be having?

Which of the following is the best response to the question?

Choices:
A. sex
B. movement
C. exercising
D. swimming
E. sweat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
Sam was alone in spite of the fact that he was at a family reunion and mingling with what?,alone,train-00000-of-00001,B,"Question:
Sam was alone in spite of the fact that he was at a family reunion and mingling with what?

Which of the following is the best response to the question?

Choices:
A. with someone
B. many people
C. together
D. party
E. in crowd

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"If I am suffering from boredom, and I am also hungry, what should I do?",boredom,train-00000-of-00001,C,"Question:
If I am suffering from boredom, and I am also hungry, what should I do?

Which of the following is the best response to the question?

Choices:
A. take a nap because you're broke
B. do crossword puzzle
C. grocery shop
D. see art
E. play games

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
"They began moving car with their bare hands to save the child trapped underneath, nobody could explain where they got the what to do so?",moving car,train-00000-of-00001,A,"Question:
They began moving car with their bare hands to save the child trapped underneath, nobody could explain where they got the what to do so?

Which of the following is the best response to the question?

Choices:
A. strength
B. energy
C. force
D. drive
E. mood

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
Where can you learn about a ferret with special abilities far beyond normal ferrets?,ferret,train-00000-of-00001,A,"Question:
Where can you learn about a ferret with special abilities far beyond normal ferrets?

Which of the following is the best response to the question?

Choices:
A. comic book
B. out of doors
C. great britain
D. redwall
E. north carolina

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"A sporting goods store is usually found in shopping squares and malls, but the privately owned shop was just right there in the small what?",sporting goods store,train-00000-of-00001,B,"Question:
A sporting goods store is usually found in shopping squares and malls, but the privately owned shop was just right there in the small what?

Which of the following is the best response to the question?

Choices:
A. village
B. town
C. buy fishing pole
D. jerseys
E. city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",101
"The calm seas weren't going to stay that way long, their sails filled as it got what?",calm,train-00000-of-00001,D,"Question:
The calm seas weren't going to stay that way long, their sails filled as it got what?

Which of the following is the best response to the question?

Choices:
A. disturbed
B. stressed
C. give up
D. windy
E. flustered

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
Billy was searching for leaves to add to his collection.  Where might he have looked for them?,leaf,train-00000-of-00001,E,"Question:
Billy was searching for leaves to add to his collection.  Where might he have looked for them?

Which of the following is the best response to the question?

Choices:
A. compost pile
B. floral arrangement
C. trees
D. bathroom
E. forrest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"What could happen to you if someone threatens to charge you with obstructing justice, even if he or she does not do it?",obstructing justice,train-00000-of-00001,B,"Question:
What could happen to you if someone threatens to charge you with obstructing justice, even if he or she does not do it?

Which of the following is the best response to the question?

Choices:
A. get arrested
B. fear
C. getting arrested
D. going to jail
E. fined

Reply with exactly one uppercase letter out of A, B, C, D or E.
",99
"The producer told them to take out the scene with full nudity, this was because PG-13 only allowed for what kind of nudity?",full,train-00000-of-00001,E,"Question:
The producer told them to take out the scene with full nudity, this was because PG-13 only allowed for what kind of nudity?

Which of the following is the best response to the question?

Choices:
A. close fitting
B. tight
C. empty
D. incomplete
E. partial

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
"She had an interest in the man, what did she want to do with him?",interest,validation-00000-of-00001,D,"Question:
She had an interest in the man, what did she want to do with him?

Which of the following is the best response to the question?

Choices:
A. see particular program
B. see exhibits
C. see people play game
D. have conversation
E. watch film

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"Like with owning a kitten, what is a common danger when participating in the sport of fencing?",fencing,train-00000-of-00001,A,"Question:
Like with owning a kitten, what is a common danger when participating in the sport of fencing?

Which of the following is the best response to the question?

Choices:
A. small cuts
B. puncture wound
C. competition
D. injury
E. panting

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"If I am playing a xylophone with a large, amateur ensemble of young people, what am I a member of?",xylophone,train-00000-of-00001,C,"Question:
If I am playing a xylophone with a large, amateur ensemble of young people, what am I a member of?

Which of the following is the best response to the question?

Choices:
A. chef
B. abc book
C. high school band
D. orchestra
E. museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
Sarah loves giving assistance.  She doesn't ask for anything in returned.  What does Sarah probably care about most?,giving assistance,train-00000-of-00001,C,"Question:
Sarah loves giving assistance.  She doesn't ask for anything in returned.  What does Sarah probably care about most?

Which of the following is the best response to the question?

Choices:
A. her hair
B. better circumstances
C. people helped
D. learning new skills
E. happiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
What would you do with your plumbing to a plumber if it is broken?,plumbing,train-00000-of-00001,C,"Question:
What would you do with your plumbing to a plumber if it is broken?

Which of the following is the best response to the question?

Choices:
A. synagogue
B. water fountain
C. show
D. central
E. oil refineries

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
Sometimes the wealth of another country will cause the greed of the leadership to attempt to do what?,greed,train-00000-of-00001,C,"Question:
Sometimes the wealth of another country will cause the greed of the leadership to attempt to do what?

Which of the following is the best response to the question?

Choices:
A. make friends
B. fight unfairly
C. conquer opponent
D. lie
E. play poker

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"Lizards need the sun's heat to regulate their body temperature, this is why you'll see them still on what?",lizard,train-00000-of-00001,E,"Question:
Lizards need the sun's heat to regulate their body temperature, this is why you'll see them still on what?

Which of the following is the best response to the question?

Choices:
A. bushes
B. dessert
C. books
D. heat lamps
E. rocks

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
Bailey was a real estate agent and good at his job.  He could easily do what to people?,real estate agent,train-00000-of-00001,E,"Question:
Bailey was a real estate agent and good at his job.  He could easily do what to people?

Which of the following is the best response to the question?

Choices:
A. deceive
B. exaggerate
C. incompetent
D. persuade
E. manipulate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
James loved to surf but he wasn't good at it. He would always do what?,surf,validation-00000-of-00001,A,"Question:
James loved to surf but he wasn't good at it. He would always do what?

Which of the following is the best response to the question?

Choices:
A. wipe out
B. enjoy yourself
C. start fighting
D. get wet
E. drown

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"Killing people had become a way of life for the gangster, but surely he would also what?",killing people,train-00000-of-00001,C,"Question:
Killing people had become a way of life for the gangster, but surely he would also what?

Which of the following is the best response to the question?

Choices:
A. feel remorse
B. hate
C. get killed
D. teach children
E. murder

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
Where would you put a folding chair if you do not plan to use it and you do not have any large doors in your house?,folding chair,train-00000-of-00001,D,"Question:
Where would you put a folding chair if you do not plan to use it and you do not have any large doors in your house?

Which of the following is the best response to the question?

Choices:
A. roof
B. school
C. beach
D. closet
E. garage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"I feel hunger, but I don't want to get any food because work has been slow this month, what don't I want to do?",hunger,train-00000-of-00001,E,"Question:
I feel hunger, but I don't want to get any food because work has been slow this month, what don't I want to do?

Which of the following is the best response to the question?

Choices:
A. drink
B. begin work
C. have lunch
D. eat quickly
E. spend money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",101
"Jim was beginning work on his essay the day before it was due, what did Jim suffer from?",beginning work,train-00000-of-00001,E,"Question:
Jim was beginning work on his essay the day before it was due, what did Jim suffer from?

Which of the following is the best response to the question?

Choices:
A. getting tired
B. illiteracy
C. sitting down
D. excitement
E. procrastination

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"The police busted down his door, he realized only then he was just the pawn in his partner's grander what?",pawn,train-00000-of-00001,A,"Question:
The police busted down his door, he realized only then he was just the pawn in his partner's grander what?

Which of the following is the best response to the question?

Choices:
A. scheme
B. chess game
C. chess set
D. business idea
E. playing chess

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
"John lives in Texas. If he takes the highway South and doesn't stop, where will he end up next?",highway,train-00000-of-00001,E,"Question:
John lives in Texas. If he takes the highway South and doesn't stop, where will he end up next?

Which of the following is the best response to the question?

Choices:
A. oklahoma
B. developed land
C. united states
D. desert
E. mexico

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
Sally went to a store and spent money.  Most of her purchases were fresh but some were frozen.  What did she do?,money,train-00000-of-00001,D,"Question:
Sally went to a store and spent money.  Most of her purchases were fresh but some were frozen.  What did she do?

Which of the following is the best response to the question?

Choices:
A. made a mistake
B. control people
C. get things
D. buy food
E. pay bills

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
"The college student much preferred reading during her free time, her roommates on the other hand preferred what?",reading,train-00000-of-00001,A,"Question:
The college student much preferred reading during her free time, her roommates on the other hand preferred what?

Which of the following is the best response to the question?

Choices:
A. watching tv
B. listening
C. sleeping
D. illiterate
E. illiteracy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"Fighting inflation is always a topic in economics, but the soon to be homeowner had to worry about the what?",fighting inflation,train-00000-of-00001,C,"Question:
Fighting inflation is always a topic in economics, but the soon to be homeowner had to worry about the what?

Which of the following is the best response to the question?

Choices:
A. lower interest
B. raising interest rates
C. higher interest rates
D. lowering prices
E. save money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",99
Someone who gets nervous and doesn't know how to dance might do what when they attempt to start dancing?,dance,train-00000-of-00001,D,"Question:
Someone who gets nervous and doesn't know how to dance might do what when they attempt to start dancing?

Which of the following is the best response to the question?

Choices:
A. wallflower
B. stand down
C. sitting still
D. stand still
E. standing still

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
"They made their way down the motorway to watch some car drive in circles, where were they going?",motorway,train-00000-of-00001,D,"Question:
They made their way down the motorway to watch some car drive in circles, where were they going?

Which of the following is the best response to the question?

Choices:
A. indiana
B. new jersey
C. england
D. race track
E. patina

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
Dan wondered where those ball bearings came from.  Ball bearings are used in what sort of thing?,ball bearing,train-00000-of-00001,D,"Question:
Dan wondered where those ball bearings came from.  Ball bearings are used in what sort of thing?

Which of the following is the best response to the question?

Choices:
A. support axial loads
B. can
C. allow movement
D. machines
E. church

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
James tore the antenna off of his boat due to bad reception as he was crossing the channel from France.  Where was he going?,channel,validation-00000-of-00001,D,"Question:
James tore the antenna off of his boat due to bad reception as he was crossing the channel from France.  Where was he going?

Which of the following is the best response to the question?

Choices:
A. river
B. television
C. india
D. england
E. europe

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
"John put  salt on his salad.  Mary suggested that he should spritz what on it, instead?",salt,train-00000-of-00001,C,"Question:
John put  salt on his salad.  Mary suggested that he should spritz what on it, instead?

Which of the following is the best response to the question?

Choices:
A. peppers
B. black pepper
C. vinegar
D. cure meat
E. adding flavor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
